	GTEX.13O61.1226.SM.5KM21	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1	GTEX.R55G.0826.SM.2TC5U	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.BR.4369.01A.01R.1157.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ATP2C1	723.08	387.02	343.89	242.88	316.37	432.53	435.55	441.64	392.44	341.51	231.32	0.78	2875.3	3103.19	1295.13	921.88	974.5	1015.93	1331.57	830.75	1487.87	961.07	878.17	2287.2	708.18	1508.65	1023.0	1044.52	769.69	525.39	1015.93	860.08	660.68	665.29	579.04	540.19	591.22
ATP6V1E2	97.36	23.08	48.18	33.78	43.63	47.84	39.5	45.53	28.65	22.59	31.22	0.29	208.38	103.69	176.29	169.07	111.21	189.02	242.88	98.04	127.89	110.43	120.1	94.67	186.4	173.85	52.08	242.88	102.97	92.7	71.5	143.01	68.07	125.24	82.87	80.01	90.77
C12orf5	215.77	24.63	23.08	36.53	64.34	94.01	80.57	52.08	76.71	70.51	73.54	0.11	389.72	255.0	246.28	371.22	253.23	271.48	316.37	218.79	248.0	525.39	325.29	547.75	106.63	293.07	540.19	429.54	223.41	215.77	121.79	170.25	136.19	309.83	136.19	148.09	295.11
C2orf43	244.57	138.1	206.94	155.5	161.02	150.17	127.89	176.29	139.07	178.77	177.53	0.09	356.05	279.14	406.31	543.96	312.0	297.17	563.18	232.94	389.72	281.09	312.0	426.57	226.54	525.39	426.57	361.04	234.57	195.72	189.02	307.69	244.57	281.09	209.84	204.07	269.6
C5orf58	62.56	2.81	0.0	0.0	0.0	6.11	6.41	0.0	2.16	2.61	4.98	0.74	1.99	0.85	9.78	78.34	46.84	19.25	7.4	12.45	17.51	28.24	66.18	29.06	92.7	21.63	273.37	2.53	1.68	12.74	0.0	20.41	0.0	20.71	12.93	6.46	22.1
CAPRIN1	1119.56	669.92	660.68	638.15	656.11	624.99	738.29	780.44	915.51	764.36	460.44	0.89	2287.2	1427.22	3103.19	5041.77	2271.4	2591.27	3303.0	2004.85	2835.7	4181.07	2133.97	4388.98	1745.2	2956.17	2468.49	2119.22	1819.35	1295.13	1572.76	1832.01	1662.49	1709.26	1477.58	1651.0	1662.49
CCDC132	229.72	92.05	98.04	54.33	47.84	85.82	97.36	99.43	77.79	61.68	33.78	0.0	267.73	351.14	902.89	406.31	346.29	318.57	334.46	209.84	226.54	435.55	312.0	764.36	166.73	507.46	343.89	258.57	229.72	135.24	201.25	223.41	103.69	234.57	137.14	255.0	190.34
CCT6A	1639.59	1322.37	988.12	909.17	921.88	1030.12	1135.2	1135.2	928.3	813.63	409.15	1.19	2047.0	1135.2	8421.31	4298.64	2555.58	2935.74	7803.01	3103.19	3280.18	22535.88	2777.33	4802.93	2434.5	3768.09	5791.62	4066.71	1844.76	1340.84	1331.57	1561.89	1417.35	1721.16	1127.35	1551.09	1662.49
CDK6	137.14	46.5	36.79	53.95	33.3	45.21	76.71	61.25	75.11	135.24	59.97	0.48	64.34	69.03	1119.56	493.56	336.79	563.18	5329.3	178.77	802.41	303.44	361.04	848.22	314.17	303.44	285.03	332.14	166.73	148.09	285.03	285.03	163.28	159.9	153.34	149.12	125.24
CHRNA5	7.69	1.38	2.36	4.7	6.84	0.74	9.27	0.0	4.21	5.02	6.41	0.23	34.75	6.89	201.25	73.03	27.64	127.89	217.27	93.35	122.64	77.25	87.03	348.71	53.19	170.25	289.02	71.0	30.34	44.25	48.87	13.12	37.32	25.91	15.68	33.54	27.05
CPSF3	334.46	275.28	293.07	232.94	223.41	293.07	283.05	258.57	285.03	234.57	232.94	0.03	674.59	599.49	1250.98	723.08	563.18	656.11	1030.12	521.76	651.58	723.08	540.19	748.61	503.95	836.53	642.59	463.65	409.15	329.84	351.14	363.56	320.8	460.44	329.84	376.41	483.38
CPSF6	624.99	327.56	229.72	198.47	232.94	253.23	281.09	265.87	366.09	327.56	150.17	135.24	703.28	379.04	947.83	995.0	884.29	785.88	1023.0	738.29	928.3	1216.75	591.22	1417.35	791.35	1051.79	1167.14	1059.11	674.59	629.35	759.08	620.67	723.08	607.87	536.45	511.0	547.75
CSNK2A1	688.78	289.02	346.29	299.25	312.0	275.28	368.65	368.65	417.77	332.14	190.34	438.59	1340.84	866.07	1250.98	2520.38	1250.98	1447.15	2758.13	1143.1	974.5	2835.7	1540.37	1111.82	1447.15	1508.65	1322.37	1896.65	1111.82	775.05	1008.9	1167.14	988.12	878.17	825.0	995.0	830.75
CWC22	305.55	157.68	180.02	181.28	40.36	169.07	156.59	140.04	112.77	124.37	84.63	0.21	236.21	295.11	403.5	470.14	490.14	291.04	400.71	220.32	307.69	575.03	325.29	403.5	454.09	457.25	327.56	221.86	265.87	149.12	201.25	275.28	163.28	289.02	223.41	241.19	297.17
DCAF13	209.84	209.84	158.79	217.27	127.89	217.27	166.73	201.25	206.94	150.17	105.89	0.0	503.95	323.03	1159.07	1508.65	518.15	780.44	1359.57	703.28	759.08	1628.26	684.02	2573.36	547.75	848.22	1216.75	954.43	511.0	346.29	420.68	432.53	281.09	403.5	289.02	314.17	525.39
DCTN5	473.41	215.77	198.47	185.11	212.78	199.85	217.27	205.5	297.17	169.07	94.67	0.43	1030.12	551.56	941.27	802.41	490.14	679.29	884.29	866.07	872.1	902.89	559.28	921.88	599.49	703.28	1151.06	591.22	583.07	748.61	633.73	708.18	571.05	503.95	503.95	567.1	540.19
DDX1	1225.22	780.44	808.0	693.58	547.75	728.11	902.89	890.44	848.22	718.08	575.03	0.35	1605.83	1340.84	2018.8	2004.85	1340.84	1340.84	1594.73	1259.69	1304.15	1277.29	1233.75	1417.35	1044.52	1806.78	1936.53	1662.49	1111.82	708.18	854.13	1119.56	890.44	954.43	825.0	866.07	1030.12
DHX9	1529.73	954.43	830.75	796.86	693.58	934.76	921.88	836.53	896.64	728.11	728.11	0.85	2061.24	1617.0	3168.41	3235.01	2209.26	2061.24	3212.66	2004.85	2573.36	3103.19	2240.11	2255.7	1883.54	2485.67	3639.7	1977.24	1662.49	1167.14	1313.23	1639.59	1378.57	1583.71	1259.69	1467.37	1487.87
DPH6	218.79	215.77	148.09	91.41	153.34	115.97	151.22	195.72	161.02	133.36	287.01	0.33	353.59	178.77	463.65	303.44	232.94	133.36	287.01	185.11	205.5	339.14	279.14	361.04	50.27	291.04	281.09	339.14	205.5	178.77	153.34	191.67	146.03	147.06	135.24	127.89	180.02
DSCC1	19.11	10.79	16.51	9.27	9.93	6.78	9.63	18.03	10.0	5.45	1.68	0.0	81.71	49.21	236.21	277.2	84.04	154.42	444.72	124.37	113.56	251.48	163.28	624.99	90.14	202.66	206.94	137.14	58.71	48.18	35.0	38.4	39.22	61.68	35.76	45.85	96.01
E2F3	74.58	28.24	16.75	25.35	21.94	35.0	12.93	34.02	47.17	17.13	26.47	103.69	128.79	92.7	138.1	518.15	154.42	127.0	336.79	81.71	232.94	237.86	146.03	265.87	100.13	221.86	336.79	171.45	65.72	77.79	61.25	70.51	73.54	102.25	63.0	44.89	93.35
EFCAB11	64.34	103.69	57.08	82.87	114.36	80.57	95.34	72.01	146.03	81.14	81.14	0.0	217.27	157.68	500.46	195.72	151.22	115.16	273.37	92.05	293.07	329.84	118.43	441.64	205.5	185.11	273.37	105.15	154.42	70.01	98.04	108.14	100.83	120.94	70.51	150.17	180.02
EFTUD2	1081.39	728.11	563.18	656.11	633.73	688.78	684.02	656.11	753.83	587.13	521.76	884.29	1639.59	1104.13	1819.35	1498.22	1135.2	1551.09	2537.92	1304.15	2018.8	2664.15	1096.5	2061.24	1457.23	1583.71	2434.5	1037.29	1044.52	909.17	860.08	1191.69	1015.93	902.89	848.22	674.59	934.76
EIF3J	1044.52	718.08	728.11	748.61	253.23	896.64	743.43	819.3	738.29	708.18	633.73	796.86	1001.93	638.15	1498.22	1781.89	1529.73	1388.16	1583.71	1794.29	830.75	1015.93	2224.63	1685.71	1388.16	2645.74	1286.18	1561.89	915.51	1008.9	915.51	1259.69	830.75	1183.45	1225.22	1733.13	1023.0
ESCO1	139.07	76.71	87.65	80.57	17.64	84.63	63.45	55.1	60.82	75.11	39.79	0.42	92.7	171.45	201.25	194.36	283.05	182.55	212.78	127.89	277.2	279.14	173.85	384.34	447.82	351.14	273.37	265.87	146.03	91.41	101.54	147.06	76.71	171.45	104.42	69.52	172.65
ESF1	177.53	120.94	115.97	104.42	27.44	137.14	120.94	97.36	72.01	82.29	49.21	0.11	234.57	202.66	309.83	642.59	371.22	262.2	493.56	202.66	141.02	551.56	660.68	198.47	246.28	497.0	293.07	543.96	104.42	92.7	86.43	146.03	99.43	162.14	124.37	167.9	97.36
FEZF1	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.67	3.92	13.83	28.65	173.85	28.04	15.91	1.66	86.43	56.68	103.69	54.72	55.89	31.45	0.27	0.0	0.0	0.0	0.0	0.0	2.41	0.0	0.0
GATAD1	642.59	228.13	271.48	172.65	152.28	187.71	185.11	178.77	217.27	197.09	239.52	915.51	305.55	575.03	1745.2	503.95	603.67	555.41	785.88	297.17	536.45	915.51	808.0	1359.57	361.04	902.89	547.75	507.46	497.0	307.69	417.77	555.41	314.17	483.38	412.0	323.03	371.22
GPATCH2	77.79	40.36	46.18	38.12	19.39	47.84	36.01	38.4	22.59	30.34	21.63	0.35	110.43	137.14	169.07	283.05	239.52	171.45	409.15	112.77	279.14	309.83	169.07	251.48	164.42	182.55	426.57	191.67	100.13	60.82	85.22	111.99	76.71	96.01	77.79	96.01	89.51
GPR56	612.11	57.08	50.27	25.54	152.28	139.07	50.63	119.26	43.63	42.71	43.32	0.83	915.51	915.51	5594.3	3235.01	1216.75	2384.37	2664.15	2400.97	2303.12	2796.65	1963.57	5995.9	2520.38	2209.26	1662.49	3325.99	1936.53	1674.06	1896.65	2367.9	1127.35	915.51	1709.26	2075.59	1015.93
GSPT1	967.76	470.14	769.69	665.29	759.08	813.63	825.0	848.22	842.36	728.11	759.08	629.35	2271.4	1268.46	3124.78	2240.11	1721.16	1936.53	2758.13	1832.01	1745.2	1697.45	1540.37	2255.7	1662.49	1819.35	3235.01	2209.26	1388.16	1088.92	1088.92	1498.22	1015.93	1199.98	1059.11	1208.34	1183.45
HEATR1	121.79	53.19	48.18	37.59	32.13	37.05	51.35	52.82	39.79	44.57	15.45	0.33	156.59	138.1	486.75	571.05	301.33	351.14	551.56	231.32	603.67	587.13	387.02	287.01	318.57	450.94	525.39	269.6	149.12	115.97	132.44	162.14	106.63	135.24	110.43	111.99	143.01
HIP1	248.0	88.26	120.1	92.7	139.07	98.73	125.24	140.04	80.57	103.69	85.82	0.66	896.64	348.71	358.54	297.17	264.03	361.04	363.56	212.78	124.37	208.38	583.07	281.09	753.83	148.09	334.46	346.29	128.79	88.26	161.02	166.73	155.5	126.12	159.9	120.1	85.82
HMGXB3	450.94	98.73	81.14	96.01	95.34	111.21	92.7	110.43	141.02	105.15	78.89	0.75	392.44	529.06	503.95	693.58	559.28	616.37	406.31	547.75	579.04	1119.56	532.74	753.83	954.43	543.96	571.05	723.08	403.5	423.61	429.54	384.34	285.03	417.77	371.22	348.71	373.81
HNRNPA2B1	10368.08	7857.29	8479.89	7180.15	5403.7	8191.0	9025.81	5995.9	6471.02	7803.01	7331.05	1.53	11664.82	10368.08	20310.37	19214.73	16611.71	14262.1	18431.96	10084.54	10368.08	14561.8	14461.21	12076.21	8538.88	17317.18	14163.58	12415.75	11267.44	9151.82	7280.4	9279.58	8078.22	9945.68	8421.31	8134.41	11112.3
HOXC6	7.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.73	8.58	0.11	0.23	1.83	0.0	46.5	177.53	13.52	15.34	129.69	21.32	128.79	159.9	77.25	98.04	1.81	60.82	323.03	55.1	3.44	2.76	3.11	1.69	3.72	8.0	1.25	0.88	22.59
INTS8	511.0	209.84	285.03	159.9	98.73	205.5	164.42	211.31	155.5	94.01	96.01	0.4	334.46	320.8	1313.23	1857.6	1008.9	1081.39	2739.08	563.18	743.43	3039.3	1030.12	1295.13	651.58	1594.73	1540.37	1104.13	555.41	400.71	387.02	403.5	371.22	759.08	303.44	348.71	587.13
IQCK	226.54	78.89	53.57	56.28	79.45	63.0	69.52	58.3	49.91	97.36	27.25	0.22	229.72	316.37	547.75	251.48	595.34	389.72	457.25	381.68	271.48	463.65	503.95	571.05	579.04	368.65	329.84	579.04	441.64	307.69	348.71	444.72	199.85	320.8	395.18	329.84	309.83
IWS1	607.87	305.55	323.03	346.29	199.85	450.94	329.84	318.57	343.89	379.04	414.87	0.84	728.11	665.29	775.05	988.12	708.18	470.14	909.17	642.59	629.35	1208.34	543.96	1001.93	423.61	802.41	915.51	583.07	656.11	540.19	599.49	540.19	551.56	511.0	441.64	511.0	435.55
KBTBD6	62.56	53.95	45.21	46.18	22.92	41.81	71.0	55.1	38.67	61.25	32.36	0.0	82.87	84.63	149.12	171.45	92.7	84.04	119.26	88.26	100.13	107.38	138.1	178.77	88.26	102.25	96.68	147.06	62.12	42.71	81.71	58.3	55.1	70.51	55.49	42.11	71.0
KRIT1	591.22	198.47	260.38	173.85	57.89	138.1	167.9	208.38	155.5	143.01	78.89	0.54	387.02	551.56	2163.77	607.87	743.43	536.45	785.88	371.22	540.19	1001.93	665.29	1233.75	329.84	928.3	796.86	579.04	447.82	293.07	412.0	387.02	297.17	486.75	316.37	301.33	412.0
LIN9	35.0	17.64	17.25	7.0	4.82	10.39	18.56	14.03	5.32	20.41	4.1	0.02	120.94	68.07	180.02	217.27	111.99	138.1	232.94	82.29	123.5	162.14	100.13	127.0	144.01	118.43	197.09	109.66	97.36	26.28	42.71	67.59	49.21	57.49	38.4	48.52	100.83
MAP6D1	31.67	19.68	18.16	16.88	4.28	12.45	8.78	8.65	16.75	9.41	2.97	0.45	11.38	31.9	49.21	37.32	30.56	47.17	55.89	30.34	12.93	35.0	66.65	51.35	80.57	27.25	40.93	82.87	18.84	17.0	22.59	16.88	23.42	30.78	14.45	42.11	39.5
MGME1	145.02	161.02	194.36	122.64	126.12	137.14	150.17	129.69	182.55	158.79	128.79	0.44	323.03	271.48	341.51	718.08	346.29	358.54	1001.93	293.07	228.13	1191.69	356.05	291.04	295.11	432.53	392.44	381.68	211.31	231.32	146.03	265.87	251.48	215.77	229.72	178.77	283.05
MIB1	195.72	71.5	75.64	54.33	46.18	80.57	81.14	100.83	86.43	93.35	95.34	0.41	154.42	171.45	228.13	361.04	307.69	237.86	267.73	132.44	255.0	470.14	226.54	511.0	497.0	543.96	283.05	299.25	126.12	96.68	166.73	183.82	131.51	128.79	119.26	70.51	131.51
MOB4	420.68	262.2	277.2	176.29	143.01	283.05	223.41	228.13	117.6	181.28	151.22	0.26	674.59	543.96	748.61	884.29	708.18	629.35	1037.29	647.07	591.22	1340.84	493.56	1331.57	466.88	624.99	896.64	583.07	529.06	325.29	420.68	547.75	417.77	460.44	400.71	379.04	493.56
MRRF	426.57	314.17	343.89	316.37	277.2	327.56	285.03	291.04	224.97	241.19	217.27	0.72	253.23	271.48	1295.13	753.83	748.61	1066.48	1923.14	738.29	559.28	1487.87	759.08	1051.79	493.56	1008.9	872.1	775.05	599.49	669.92	403.5	514.56	708.18	753.83	540.19	633.73	607.87
MTBP	17.0	6.46	8.78	6.11	3.86	3.79	6.31	7.28	13.22	3.59	2.27	0.07	42.41	27.84	145.02	182.55	85.22	94.01	199.85	35.76	70.01	157.68	88.88	187.71	39.5	164.42	131.51	69.03	29.48	14.89	43.02	28.04	17.0	37.85	27.64	31.45	40.36
MTMR2	379.04	40.36	39.79	28.65	20.56	44.89	35.5	47.5	22.59	33.3	22.75	0.48	466.88	251.48	698.41	620.67	463.65	295.11	583.07	748.61	379.04	669.92	503.95	547.75	301.33	591.22	417.77	283.05	341.51	305.55	267.73	441.64	248.0	336.79	277.2	466.88	353.59
MTPAP	102.97	98.73	102.25	87.03	88.88	103.69	95.34	100.13	92.7	78.34	62.12	70.51	137.14	223.41	384.34	316.37	239.52	348.71	536.45	154.42	178.77	318.57	269.6	264.03	152.28	265.87	540.19	255.0	116.78	105.15	103.69	141.02	112.77	134.3	98.04	95.34	130.6
NHS	57.89	1.39	4.5	1.22	0.68	0.77	1.79	1.33	2.51	0.93	0.1	0.39	7.06	18.84	248.0	133.36	78.89	34.51	103.69	40.93	60.82	135.24	77.25	305.55	39.22	102.97	111.99	117.6	39.79	24.46	43.63	62.56	33.06	22.92	52.45	73.03	27.25
NPAS2	438.59	234.57	332.14	198.47	144.01	226.54	33.3	146.03	115.16	57.08	223.41	0.73	228.13	155.5	1870.53	1286.18	583.07	674.59	1467.37	1674.06	896.64	665.29	738.29	1651.0	1175.27	1561.89	1709.26	808.0	587.13	1259.69	748.61	1073.91	1044.52	457.25	860.08	902.89	373.81
NUDCD1	135.24	63.89	95.34	61.25	35.76	81.14	85.82	89.51	44.25	50.98	50.63	0.45	234.57	122.64	412.0	612.11	283.05	318.57	656.11	212.78	339.14	674.59	281.09	318.57	189.02	387.02	540.19	332.14	182.55	98.04	131.51	155.5	117.6	215.77	100.13	141.02	202.66
NUFIP1	67.12	43.63	39.79	47.84	35.5	38.12	48.18	47.5	57.08	59.55	18.7	0.0	92.7	76.71	111.99	173.85	99.43	90.77	149.12	55.49	100.13	178.77	108.9	85.82	122.64	81.14	91.41	152.28	59.55	65.72	53.19	68.55	43.02	83.45	63.0	63.89	82.87
NUP107	299.25	172.65	138.1	112.77	94.67	126.12	123.5	96.68	147.06	165.57	81.14	0.65	356.05	447.82	525.39	607.87	476.71	511.0	713.11	325.29	473.41	1477.58	400.71	1950.0	490.14	669.92	587.13	387.02	301.33	307.69	271.48	256.78	187.71	332.14	178.77	205.5	325.29
NUP133	473.41	138.1	217.27	124.37	158.79	165.57	167.9	175.07	115.97	223.41	117.6	0.56	403.5	423.61	563.18	669.92	624.99	583.07	921.88	332.14	547.75	764.36	518.15	532.74	607.87	547.75	988.12	463.65	336.79	251.48	444.72	314.17	265.87	420.68	299.25	229.72	299.25
NUP160	264.03	142.01	154.42	152.28	115.16	136.19	163.28	161.02	136.19	139.07	80.01	0.73	587.13	414.87	651.58	1104.13	624.99	571.05	830.75	363.56	536.45	1096.5	493.56	480.04	327.56	785.88	575.03	348.71	329.84	226.54	289.02	318.57	251.48	318.57	234.57	218.79	334.46
NUP35	140.04	201.25	178.77	167.9	109.66	187.71	190.34	173.85	186.4	112.77	132.44	0.0	246.28	201.25	579.04	423.61	329.84	303.44	647.07	341.51	406.31	775.05	289.02	571.05	332.14	389.72	392.44	166.73	260.38	204.07	185.11	223.41	152.28	295.11	193.01	228.13	358.54
OLA1	981.29	808.0	728.11	674.59	460.44	1066.48	674.59	718.08	1001.93	679.29	607.87	0.65	2555.58	921.88	2875.3	3467.27	1583.71	2400.97	3540.14	1896.65	2485.67	4268.94	1277.29	2835.7	4769.75	2485.67	1844.76	1709.26	1583.71	1008.9	1175.27	1662.49	1529.73	1551.09	1304.15	1487.87	1870.53
PAX9	11.73	1.19	0.59	0.0	0.0	0.61	0.58	1.13	0.1	0.91	0.19	0.09	23.25	55.49	65.26	16.75	4.86	0.52	13.42	13.03	4.94	6.78	20.86	39.22	0.59	39.79	36.01	7.11	5.36	7.11	12.74	0.89	3.47	6.21	3.44	8.78	4.43
PEX1	336.79	197.09	224.97	194.36	116.78	218.79	217.27	169.07	150.17	236.21	130.6	0.59	162.14	269.6	1407.55	368.65	525.39	403.5	665.29	275.28	267.73	555.41	403.5	796.86	178.77	665.29	616.37	260.38	223.41	177.53	189.02	255.0	177.53	341.51	186.4	126.12	226.54
PGC	8046889.67	4.94	0.0	0.0	0.0	3.63	0.0	0.0	67.12	1.81	5.36	0.0	2511293.86	2729110.67	462789.59	434801.29	2310861.52	2310861.52	1794.29	2310861.52	3200796.55	1111.82	1916442.45	1393227.06	1.011504819E7	53601.03	1600397.78	5128124.01	1851161.35	1956711.0	2068278.89	5690009.96	2025714.3	2025714.3	2126426.15	4885245.74	2654482.97
PIGK	329.84	309.83	299.25	234.57	255.0	339.14	297.17	307.69	258.57	232.94	366.09	0.27	780.44	336.79	444.72	348.71	457.25	403.5	500.46	366.09	423.61	579.04	420.68	420.68	406.31	358.54	547.75	309.83	409.15	265.87	334.46	493.56	307.69	353.59	381.68	281.09	341.51
PNPT1	181.28	126.12	113.56	111.21	63.45	138.1	118.43	128.79	89.51	117.6	62.56	0.54	283.05	149.12	780.44	769.69	303.44	423.61	647.07	275.28	348.71	830.75	351.14	518.15	256.78	511.0	395.18	363.56	214.27	131.51	241.19	170.25	124.37	208.38	115.97	152.28	239.52
PRDM12	0.0	0.78	0.73	0.0	0.0	0.0	1.28	0.74	0.0	0.37	0.0	0.09	1.14	0.0	3.47	4.46	1.62	2.63	5.41	1.48	1.2	2.68	3.32	1.35	2.16	2.14	2.07	3.32	0.44	0.49	1.31	0.6	0.0	0.0	0.62	0.0	0.96
PREPL	532.74	214.27	223.41	251.48	197.09	191.67	246.28	208.38	119.26	202.66	63.0	0.48	518.15	490.14	928.3	669.92	703.28	642.59	1073.91	457.25	693.58	909.17	470.14	878.17	507.46	764.36	1191.69	872.1	423.61	275.28	486.75	567.1	457.25	435.55	312.0	295.11	400.71
