	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.U3ZH.1326.SM.4DXSF	GTEX.PLZ5.1126.SM.3P613	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q2AI.0926.SM.48U1F	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZAB5.1426.SM.5HL9D	GTEX.WHWD.1526.SM.4OORV	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.R55D.1826.SM.48FEF	GTEX.Y8E4.2426.SM.4WWDN	GTEX.131XG.1826.SM.5LZV4	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11P81.1126.SM.5GU5G	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.T5JW.1126.SM.4DM5V	GTEX.ZGAY.2126.SM.4YCFB	GTEX.PX3G.1426.SM.48U1J	GTEX.ZT9W.1826.SM.51MQX	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
MVB12B	194.36	181.28	190.34	191.67	224.97	346.29	177.53	169.07	265.87	147.06	111.99	255.0	139.07	353.59	133.36	132.44	218.79	133.36	363.56	273.37	264.03	285.03	139.07	221.86	327.56	187.71	303.44	173.85	131.51	148.09	232.94	186.4	291.04	155.5	94.67	295.11	265.87	186.4	0.0	0.16
NDST1	351.14	389.72	571.05	281.09	165.57	624.99	241.19	221.86	356.05	480.04	185.11	612.11	387.02	595.34	312.0	289.02	283.05	463.65	595.34	563.18	543.96	547.75	323.03	376.41	579.04	441.64	483.38	629.35	237.86	346.29	490.14	314.17	490.14	177.53	208.38	669.92	620.67	325.29	0.0	0.4
NEK7	529.06	406.31	540.19	327.56	172.65	808.0	316.37	384.34	417.77	267.73	368.65	733.19	356.05	934.76	226.54	307.69	287.01	307.69	988.12	878.17	928.3	567.1	348.71	638.15	995.0	384.34	525.39	389.72	309.83	336.79	872.1	358.54	441.64	253.23	249.73	679.29	642.59	314.17	0.0	0.33
NLRX1	353.59	281.09	242.88	205.5	164.42	343.89	175.07	223.41	185.11	223.41	182.55	256.78	178.77	400.71	178.77	187.71	181.28	159.9	346.29	325.29	336.79	329.84	214.27	224.97	316.37	249.73	314.17	214.27	180.02	218.79	307.69	175.07	248.0	156.59	165.57	275.28	351.14	165.57	0.0	0.1
NR1D2	273.37	262.2	142.01	114.36	110.43	426.57	189.02	134.3	171.45	86.43	115.97	305.55	92.7	457.25	89.51	176.29	164.42	133.36	466.88	480.04	660.68	343.89	182.55	371.22	656.11	117.6	305.55	97.36	97.36	73.54	571.05	139.07	303.44	146.03	84.04	253.23	414.87	173.85	237.86	67.59
PDLIM2	1175.27	1304.15	947.83	825.0	780.44	1111.82	638.15	808.0	896.64	759.08	1378.57	915.51	1127.35	1397.83	490.14	620.67	836.53	974.5	1844.76	1407.55	1806.78	1674.06	571.05	1073.91	1073.91	981.29	1044.52	988.12	567.1	884.29	1417.35	536.45	1183.45	417.77	361.04	981.29	1167.14	620.67	0.0	0.53
PDPR	108.9	145.02	183.82	183.82	44.89	518.15	126.12	125.24	180.02	232.94	92.05	361.04	112.77	400.71	139.07	182.55	88.26	197.09	387.02	409.15	417.77	248.0	176.29	258.57	529.06	211.31	217.27	239.52	246.28	212.78	450.94	175.07	129.69	103.69	99.43	361.04	189.02	82.29	0.0	0.37
PHGR1	783730.52	472513.8	386469.83	313910.86	492579.5	13968.57	329517.51	338781.54	348306.01	301123.38	509950.32	138544.47	320506.81	813.63	299043.36	437825.58	414208.18	311742.51	1909.85	3257.52	379.04	119776.72	290865.98	239554.43	2701.35	338781.54	140478.49	378516.38	253213.41	370726.6	2609.3	322736.12	389157.95	273275.14	400098.69	114103.8	135693.24	294926.33	0.0	0.0
PHOSPHO2	116.78	154.42	211.31	106.63	108.9	124.37	90.14	147.06	135.24	123.5	198.47	152.28	140.04	226.54	73.54	130.6	137.14	98.04	226.54	194.36	237.86	145.02	115.16	237.86	169.07	162.14	171.45	144.01	105.89	145.02	248.0	83.45	130.6	65.72	68.55	155.5	162.14	81.71	0.0	0.01
PIAS1	547.75	332.14	441.64	307.69	193.01	500.46	379.04	265.87	256.78	295.11	301.33	473.41	224.97	665.29	211.31	287.01	224.97	273.37	607.87	579.04	507.46	339.14	318.57	490.14	591.22	291.04	423.61	307.69	265.87	334.46	595.34	329.84	353.59	267.73	170.25	403.5	473.41	239.52	0.0	0.37
PJA2	651.58	825.0	1081.39	540.19	409.15	1769.57	591.22	633.73	595.34	713.11	785.88	1781.89	587.13	2163.77	381.68	599.49	656.11	543.96	1794.29	1832.01	2400.97	1662.49	579.04	1388.16	2434.5	599.49	1259.69	785.88	417.77	624.99	2018.8	633.73	884.29	563.18	429.54	1437.15	1259.69	547.75	0.0	0.59
PLIN5	13.62	49.21	20.26	8.85	5.87	63.89	13.83	17.13	20.11	11.82	11.38	40.64	14.67	15.91	28.04	12.93	31.9	7.46	116.78	88.26	65.72	28.04	24.46	47.84	55.49	57.89	60.39	10.88	35.0	19.25	110.43	36.27	22.43	23.08	24.28	50.27	49.21	18.16	0.0	0.48
PRUNE	277.2	476.71	521.76	379.04	490.14	591.22	466.88	403.5	403.5	289.02	420.68	450.94	358.54	703.28	297.17	361.04	366.09	237.86	796.86	612.11	780.44	486.75	432.53	500.46	629.35	348.71	454.09	384.34	329.84	432.53	665.29	423.61	379.04	363.56	231.32	473.41	559.28	249.73	0.0	0.42
RAB3GAP1	503.95	426.57	595.34	414.87	309.83	796.86	417.77	426.57	454.09	460.44	368.65	764.36	368.65	866.07	368.65	389.72	392.44	435.55	902.89	759.08	743.43	583.07	444.72	595.34	802.41	454.09	647.07	525.39	341.51	409.15	878.17	423.61	616.37	368.65	343.89	612.11	624.99	363.56	0.0	0.72
RALBP1	825.0	791.35	878.17	738.29	490.14	1081.39	642.59	769.69	583.07	688.78	693.58	1073.91	616.37	1159.07	490.14	579.04	583.07	603.67	1685.71	1127.35	941.27	802.41	633.73	1199.98	961.07	567.1	866.07	679.29	563.18	547.75	1030.12	684.02	559.28	638.15	457.25	854.13	688.78	432.53	0.0	0.59
RYR1	1.51	20.71	18.56	5.96	7.57	61.68	34.51	14.67	2.68	11.82	36.79	13.62	12.64	85.22	5.54	13.42	1.33	2.53	53.57	43.32	35.0	53.57	5.87	16.03	56.68	31.0	11.64	7.51	5.45	2.97	24.63	2.05	21.94	8.78	4.98	39.5	29.27	10.0	0.0	0.26
SLC25A23	2555.58	3372.43	2645.74	1963.57	2271.4	2468.49	2032.85	2061.24	1819.35	1769.57	2351.53	3168.41	2303.12	3515.68	1583.71	1977.24	1628.26	1487.87	3467.27	3190.46	4543.8	3467.27	1745.2	2816.11	2956.17	1709.26	2555.58	2319.15	1605.83	1427.22	2451.44	2075.59	2148.82	1417.35	1508.65	2287.2	2555.58	1259.69	1709.26	1467.37
STX7	941.27	551.56	1175.27	514.56	334.46	738.29	466.88	563.18	473.41	753.83	514.56	915.51	579.04	974.5	392.44	438.59	395.18	426.57	1369.04	896.64	928.3	780.44	412.0	1008.9	934.76	454.09	808.0	785.88	348.71	486.75	866.07	466.88	571.05	470.14	271.48	738.29	791.35	339.14	0.0	0.3
TEF	293.07	669.92	384.34	264.03	318.57	813.63	305.55	249.73	265.87	249.73	256.78	438.59	167.9	688.78	208.38	363.56	309.83	239.52	669.92	769.69	1037.29	525.39	281.09	543.96	1030.12	202.66	332.14	221.86	267.73	142.01	915.51	283.05	607.87	277.2	134.3	384.34	802.41	283.05	0.0	0.0
TFDP2	303.44	312.0	314.17	255.0	229.72	629.35	234.57	426.57	251.48	224.97	229.72	412.0	241.19	624.99	283.05	237.86	255.0	336.79	493.56	358.54	463.65	373.81	307.69	314.17	629.35	295.11	329.84	336.79	231.32	339.14	358.54	256.78	361.04	229.72	307.69	406.31	429.54	202.66	0.0	0.59
TP53TG3D	0.97	7.63	0.0	8.0	0.0	9.63	0.88	2.12	1.16	6.52	0.23	4.5	0.21	13.12	0.0	0.0	5.54	0.4	15.0	19.68	7.63	13.72	0.19	7.69	20.86	5.15	1.41	5.15	1.6	6.57	27.64	1.68	3.47	1.66	1.85	11.82	7.63	1.0	0.0	0.15
TRAF6	199.85	154.42	173.85	113.56	78.89	212.78	111.99	120.94	111.99	152.28	166.73	190.34	94.01	221.86	57.49	157.68	80.01	195.72	185.11	186.4	186.4	141.02	102.25	181.28	191.67	120.1	205.5	114.36	100.83	169.07	180.02	123.5	150.17	118.43	82.29	155.5	167.9	116.78	0.0	0.11
ZFYVE1	312.0	297.17	289.02	281.09	109.66	463.65	190.34	218.79	167.9	142.01	159.9	253.23	175.07	371.22	157.68	134.3	135.24	177.53	314.17	332.14	371.22	232.94	163.28	249.73	329.84	189.02	271.48	165.57	129.69	144.01	343.89	156.59	209.84	156.59	105.15	246.28	209.84	143.01	0.0	0.44
ZFYVE26	163.28	127.0	159.9	113.56	41.52	287.01	121.79	135.24	126.12	109.66	71.0	189.02	143.01	273.37	82.29	125.24	108.14	95.34	218.79	204.07	165.57	112.77	94.01	151.22	172.65	137.14	151.22	78.34	99.43	117.6	275.28	98.73	217.27	57.89	44.57	147.06	180.02	87.03	0.0	0.45
ZNF235	37.05	52.08	71.5	45.85	34.02	139.07	38.4	51.71	29.27	34.51	56.28	57.08	42.71	153.34	47.84	32.36	41.22	36.53	118.43	98.73	159.9	86.43	25.72	92.7	136.19	65.26	80.01	38.4	42.41	44.89	142.01	39.22	47.84	19.39	26.1	111.99	90.14	55.49	0.0	0.21
ZNF432	126.12	112.77	118.43	67.12	16.75	143.01	59.97	74.06	68.55	61.25	63.0	162.14	53.95	175.07	72.52	93.35	70.01	72.01	130.6	166.73	116.78	103.69	82.87	117.6	221.86	78.34	122.64	57.49	101.54	84.04	133.36	90.14	124.37	31.0	57.89	135.24	119.26	78.89	65.26	93.35
ZNF613	57.49	101.54	128.79	43.94	59.55	151.22	38.67	64.8	74.58	64.8	90.14	87.03	56.28	112.77	64.34	62.12	73.03	46.18	80.57	98.04	106.63	115.97	66.18	170.25	124.37	79.45	102.25	59.13	59.97	58.3	171.45	54.72	68.07	44.89	40.07	199.85	117.6	80.01	0.0	0.18
ZNF713	9.2	24.11	25.91	18.43	8.25	33.54	16.03	18.16	15.68	14.67	10.24	43.63	12.74	34.26	15.56	17.0	11.55	27.44	27.05	21.16	23.76	22.1	24.46	19.97	30.56	18.16	32.59	8.85	18.56	8.71	31.67	12.27	33.3	8.19	8.13	13.32	24.46	6.94	0.0	0.12
ZNF846	142.01	128.79	165.57	85.22	28.65	277.2	92.7	135.24	115.97	113.56	84.04	151.22	140.04	353.59	132.44	129.69	85.82	98.04	165.57	237.86	264.03	139.07	163.28	169.07	325.29	255.0	180.02	71.5	149.12	155.5	248.0	89.51	173.85	55.89	141.02	180.02	187.71	100.13	0.0	0.37
ZNRF1	665.29	830.75	674.59	450.94	624.99	866.07	463.65	555.41	460.44	563.18	660.68	684.02	579.04	854.13	400.71	629.35	543.96	417.77	748.61	796.86	866.07	854.13	400.71	493.56	728.11	511.0	476.71	587.13	543.96	607.87	612.11	503.95	603.67	476.71	486.75	532.74	638.15	514.56	0.0	0.47
ZYG11B	146.03	98.73	165.57	80.01	74.06	325.29	113.56	133.36	110.43	137.14	157.68	251.48	117.6	299.25	69.03	92.05	110.43	130.6	301.33	258.57	307.69	223.41	103.69	197.09	309.83	115.16	166.73	139.07	84.04	111.99	281.09	118.43	143.01	99.43	81.71	220.32	186.4	120.1	0.0	0.36
