	GTEX.117YW.1826.SM.5PNY5	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.13OVH.1026.SM.5J2NP	GTEX.147F4.0926.SM.5Q5EO	GTEX.11O72.1326.SM.5BC5A	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.144GO.0226.SM.5LUB1	GTEX.131XH.0426.SM.5DUWU	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3T6.11A.11R.A220.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.EL.A3H7.11A.11R.A21D.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
BOLA1	121.79	64.34	90.14	165.57	74.58	110.43	116.78	100.83	127.89	223.41	166.73	44.89	161.02	123.5	151.22	141.02	679.29	693.58	748.61	579.04	674.59	438.59	753.83	718.08	540.19	813.63	358.54	693.58	703.28	748.61	229.72	915.51	703.28	511.0	476.71	486.75	412.0	500.46	575.03	638.15	500.46	674.59	397.93	525.39	429.54	587.13	348.71	543.96	563.18	441.64	819.3	728.11	1044.52	819.3	775.05	336.79	660.68	656.11	884.29	507.46	480.04	665.29	961.07	791.35	579.04	684.02	532.74	753.83	921.88	802.41	708.18	1073.91	571.05	753.83	693.58	698.41	363.56	629.35	660.68	620.67	651.58	575.03	503.95	1059.11	591.22	559.28	698.41	665.29	500.46	444.72	753.83	651.58	1008.9	343.89	551.56	780.44	325.29	651.58	417.77	500.46	785.88	1143.1	607.87	669.92	802.41	866.07	813.63
BRF2	115.16	47.5	33.78	98.73	156.59	82.87	67.12	77.25	153.34	125.24	65.72	37.05	75.11	93.35	62.56	60.39	262.2	267.73	307.69	255.0	231.32	155.5	299.25	297.17	185.11	271.48	123.5	297.17	299.25	281.09	133.36	206.94	358.54	248.0	205.5	223.41	159.9	220.32	253.23	223.41	167.9	256.78	198.47	215.77	173.85	231.32	167.9	246.28	198.47	151.22	295.11	251.48	248.0	258.57	279.14	136.19	253.23	307.69	305.55	226.54	199.85	273.37	309.83	379.04	262.2	187.71	169.07	195.72	303.44	293.07	277.2	379.04	236.21	251.48	186.4	279.14	171.45	244.57	353.59	190.34	320.8	332.14	221.86	248.0	211.31	267.73	206.94	260.38	199.85	255.0	244.57	198.47	269.6	186.4	253.23	187.71	190.34	231.32	154.42	155.5	260.38	299.25	220.32	241.19	248.0	314.17	307.69
BSCL2	1378.57	753.83	1015.93	967.76	497.0	1008.9	1175.27	1745.2	624.99	1268.46	1529.73	967.76	872.1	1030.12	1487.87	1331.57	2468.49	2591.27	1806.78	2701.35	3039.3	1498.22	2645.74	2224.63	1313.23	2400.97	1313.23	2976.74	2976.74	1870.53	1242.34	1870.53	2664.15	1561.89	2018.8	1819.35	2061.24	2004.85	1832.01	2520.38	1781.89	1561.89	1819.35	2047.0	1508.65	1909.85	1286.18	1674.06	1397.83	1794.29	2682.69	1551.09	1832.01	2335.28	1909.85	1044.52	2271.4	2739.08	2335.28	1250.98	2163.77	1963.57	1950.0	2502.97	2319.15	2004.85	2682.69	1870.53	2178.83	2875.3	2520.38	2319.15	1674.06	2351.53	2555.58	2090.03	1104.13	3168.41	2796.65	1963.57	2935.74	2018.8	1832.01	3325.99	1963.57	2520.38	1832.01	1340.84	2367.9	1467.37	3146.52	1977.24	2627.46	1143.1	1781.89	1857.6	1583.71	2193.99	1378.57	1447.15	2520.38	2367.9	2287.2	2119.22	2255.7	2895.31	2537.92
C11orf68	450.94	551.56	825.0	708.18	507.46	1015.93	819.3	860.08	713.11	629.35	403.5	275.28	358.54	629.35	583.07	647.07	1037.29	1088.92	1030.12	1135.2	967.76	1199.98	1487.87	1304.15	642.59	1081.39	813.63	1250.98	1104.13	1242.34	1051.79	1208.34	1457.23	1111.82	1051.79	1015.93	872.1	902.89	974.5	1059.11	921.88	921.88	830.75	1104.13	796.86	921.88	796.86	915.51	830.75	1015.93	1135.2	974.5	1397.83	1008.9	1066.48	669.92	1030.12	1304.15	1417.35	934.76	1015.93	1037.29	1242.34	1359.57	1143.1	909.17	1066.48	890.44	1540.37	1417.35	1119.56	1268.46	1001.93	1081.39	995.0	947.83	836.53	902.89	1104.13	1001.93	1378.57	1417.35	808.0	1388.16	1111.82	819.3	974.5	1059.11	1066.48	836.53	947.83	1044.52	1359.57	532.74	884.29	1066.48	693.58	1277.29	713.11	947.83	825.0	1286.18	934.76	947.83	1008.9	1369.04	1216.75
C12orf52	208.38	130.6	73.54	147.06	92.7	89.51	106.63	111.99	137.14	111.99	301.33	62.12	177.53	164.42	226.54	123.5	470.14	444.72	366.09	334.46	334.46	269.6	567.1	463.65	253.23	361.04	185.11	454.09	567.1	480.04	155.5	323.03	470.14	336.79	379.04	339.14	303.44	400.71	387.02	379.04	265.87	351.14	299.25	389.72	297.17	366.09	229.72	239.52	299.25	318.57	511.0	289.02	366.09	381.68	423.61	269.6	406.31	511.0	432.53	283.05	299.25	361.04	476.71	540.19	450.94	358.54	412.0	299.25	438.59	397.93	432.53	493.56	251.48	381.68	332.14	432.53	283.05	356.05	473.41	351.14	444.72	381.68	289.02	463.65	297.17	423.61	366.09	305.55	299.25	285.03	518.15	334.46	473.41	126.12	412.0	295.11	251.48	460.44	176.29	329.84	444.72	463.65	389.72	343.89	389.72	571.05	361.04
C16orf70	121.79	150.17	82.87	231.32	119.26	155.5	171.45	89.51	334.46	144.01	182.55	108.9	134.3	177.53	108.14	111.99	293.07	283.05	450.94	255.0	289.02	167.9	248.0	303.44	214.27	215.77	181.28	297.17	234.57	228.13	135.24	253.23	249.73	242.88	218.79	279.14	153.34	190.34	239.52	198.47	237.86	209.84	281.09	185.11	138.1	129.69	198.47	182.55	234.57	189.02	224.97	255.0	285.03	239.52	260.38	143.01	262.2	221.86	273.37	242.88	237.86	295.11	348.71	265.87	299.25	229.72	209.84	155.5	320.8	258.57	198.47	320.8	260.38	218.79	209.84	186.4	194.36	228.13	214.27	237.86	327.56	336.79	239.52	244.57	264.03	229.72	253.23	234.57	208.38	271.48	187.71	218.79	271.48	191.67	234.57	237.86	128.79	194.36	166.73	197.09	201.25	271.48	205.5	246.28	269.6	212.78	248.0
C17orf49	1519.15	2032.85	2384.37	2303.12	1477.58	1350.18	1167.14	1819.35	884.29	2178.83	759.08	1378.57	1359.57	995.0	633.73	1268.46	2835.7	2796.65	2119.22	2591.27	2855.44	2451.44	3146.52	1936.53	1883.54	2502.97	1745.2	2287.2	3515.68	2758.13	1295.13	2090.03	2895.31	2061.24	2335.28	1819.35	2573.36	2915.45	2335.28	2875.3	2255.7	2271.4	2209.26	2502.97	1551.09	2997.45	1572.76	2591.27	1561.89	2384.37	3235.01	2682.69	2061.24	2468.49	1977.24	1322.37	2335.28	3124.78	2796.65	1963.57	2271.4	2061.24	2335.28	2555.58	3124.78	2739.08	2935.74	2004.85	2537.92	2915.45	3060.45	2255.7	2502.97	2468.49	2555.58	2855.44	1331.57	2935.74	3168.41	2047.0	4010.71	2609.3	2193.99	2148.82	2367.9	1950.0	2417.67	2018.8	2335.28	1963.57	2591.27	1857.6	3212.66	1388.16	1639.59	2004.85	2061.24	2367.9	1733.13	1883.54	3168.41	3081.75	2609.3	2417.67	2502.97	3081.75	3081.75
C17orf59	176.29	73.54	83.45	79.45	63.45	132.44	157.68	77.79	98.73	76.71	145.02	36.53	90.14	151.22	204.07	142.01	275.28	255.0	441.64	237.86	267.73	163.28	323.03	341.51	154.42	279.14	109.66	269.6	305.55	264.03	115.16	256.78	389.72	211.31	158.79	258.57	116.78	169.07	224.97	248.0	198.47	246.28	204.07	190.34	217.27	255.0	232.94	170.25	181.28	177.53	249.73	248.0	285.03	299.25	262.2	129.69	249.73	251.48	249.73	181.28	180.02	258.57	314.17	295.11	285.03	182.55	187.71	256.78	351.14	305.55	181.28	255.0	204.07	228.13	202.66	255.0	170.25	224.97	279.14	180.02	223.41	223.41	195.72	293.07	287.01	246.28	218.79	214.27	191.67	172.65	249.73	256.78	351.14	106.63	209.84	155.5	126.12	309.83	127.89	226.54	246.28	249.73	189.02	295.11	256.78	283.05	248.0
C18orf21	105.89	217.27	119.26	269.6	166.73	218.79	111.21	146.03	201.25	206.94	249.73	237.86	358.54	206.94	201.25	124.37	480.04	500.46	595.34	532.74	426.57	392.44	470.14	339.14	395.18	441.64	295.11	412.0	454.09	420.68	264.03	473.41	426.57	376.41	320.8	414.87	341.51	379.04	403.5	363.56	285.03	540.19	457.25	384.34	334.46	299.25	275.28	493.56	514.56	323.03	432.53	389.72	363.56	441.64	490.14	312.0	423.61	432.53	379.04	438.59	320.8	444.72	381.68	444.72	466.88	559.28	283.05	307.69	371.22	450.94	483.38	463.65	521.76	473.41	353.59	529.06	423.61	432.53	363.56	454.09	607.87	420.68	432.53	518.15	329.84	438.59	423.61	441.64	368.65	414.87	450.94	470.14	454.09	718.08	466.88	379.04	327.56	420.68	460.44	486.75	595.34	441.64	356.05	409.15	376.41	454.09	466.88
C22orf29	42.41	55.1	92.05	181.28	41.81	117.6	117.6	72.52	173.85	137.14	124.37	31.45	59.55	90.77	71.0	102.25	267.73	258.57	205.5	255.0	392.44	140.04	348.71	392.44	130.6	373.81	139.07	366.09	199.85	218.79	264.03	309.83	293.07	189.02	171.45	287.01	107.38	220.32	277.2	130.6	124.37	309.83	231.32	186.4	231.32	96.68	186.4	206.94	480.04	123.5	195.72	271.48	316.37	262.2	384.34	112.77	234.57	191.67	237.86	249.73	159.9	329.84	463.65	239.52	224.97	137.14	173.85	214.27	368.65	275.28	187.71	316.37	297.17	307.69	211.31	234.57	269.6	185.11	229.72	271.48	253.23	412.0	211.31	371.22	159.9	224.97	241.19	224.97	95.34	224.97	361.04	218.79	241.19	258.57	236.21	159.9	109.66	312.0	176.29	281.09	325.29	273.37	177.53	299.25	258.57	226.54	239.52
C8orf48	2.89	12.18	12.0	3.11	12.0	9.78	14.89	8.92	4.28	2.14	4.06	0.0	0.0	0.67	2.41	3.2	54.33	75.64	93.35	65.72	40.64	44.25	77.79	67.12	40.07	116.78	36.79	139.07	127.0	131.51	28.45	85.82	134.3	105.89	86.43	121.79	40.07	46.84	109.66	63.45	58.3	112.77	80.57	32.13	20.26	81.71	24.63	66.18	73.54	71.0	94.01	51.71	96.68	129.69	58.71	22.59	85.82	98.73	141.02	74.58	33.06	87.65	140.04	99.43	84.04	64.34	75.11	16.51	119.26	93.35	72.01	211.31	56.28	102.25	92.7	47.17	31.67	100.13	75.11	73.03	171.45	94.67	77.79	162.14	58.3	140.04	60.39	124.37	40.64	81.71	80.57	97.36	109.66	34.51	120.94	62.12	44.25	61.25	33.78	55.1	57.08	142.01	51.71	106.63	104.42	136.19	139.07
C9orf69	215.77	135.24	148.09	242.88	153.34	239.52	253.23	149.12	178.77	171.45	262.2	90.14	221.86	271.48	271.48	309.83	327.56	384.34	376.41	376.41	426.57	256.78	384.34	426.57	258.57	363.56	242.88	444.72	463.65	283.05	162.14	301.33	507.46	346.29	277.2	334.46	199.85	202.66	371.22	325.29	206.94	361.04	277.2	273.37	215.77	228.13	212.78	323.03	258.57	267.73	379.04	336.79	389.72	351.14	348.71	167.9	358.54	384.34	400.71	332.14	279.14	341.51	368.65	438.59	400.71	249.73	293.07	299.25	395.18	384.34	373.81	389.72	325.29	341.51	351.14	285.03	197.09	332.14	417.77	332.14	341.51	343.89	323.03	361.04	309.83	351.14	323.03	303.44	182.55	291.04	305.55	309.83	395.18	161.02	314.17	267.73	229.72	397.93	218.79	220.32	423.61	361.04	303.44	361.04	318.57	406.31	406.31
CCDC121	25.35	40.36	24.81	13.32	46.84	66.18	54.72	27.64	27.05	54.72	30.34	17.25	14.03	31.0	32.82	29.48	96.68	115.97	127.89	100.83	136.19	42.71	139.07	127.89	94.01	124.37	58.3	162.14	150.17	209.84	38.12	145.02	193.01	108.9	142.01	115.97	84.63	91.41	135.24	116.78	81.14	140.04	115.16	170.25	39.5	95.34	54.72	92.7	127.0	98.73	145.02	72.01	123.5	183.82	131.51	36.79	127.0	142.01	175.07	114.36	75.11	120.94	189.02	137.14	154.42	103.69	102.25	80.01	186.4	153.34	122.64	190.34	102.97	104.42	161.02	111.21	52.08	99.43	138.1	155.5	190.34	158.79	109.66	159.9	139.07	154.42	130.6	116.78	122.64	124.37	120.1	131.51	167.9	56.28	119.26	101.54	43.32	75.11	40.36	64.34	91.41	170.25	117.6	162.14	155.5	177.53	183.82
CCM2L	13.32	53.19	81.71	64.8	82.87	110.43	191.67	130.6	49.91	121.79	80.01	29.48	19.25	63.0	8.06	34.26	237.86	244.57	297.17	251.48	277.2	92.7	193.01	153.34	96.01	109.66	114.36	149.12	150.17	125.24	33.06	156.59	211.31	123.5	100.13	151.22	84.63	63.89	165.57	98.04	90.14	134.3	148.09	121.79	8.78	87.65	35.0	114.36	78.89	62.12	287.01	141.02	163.28	173.85	95.34	19.82	105.89	212.78	173.85	112.77	131.51	155.5	146.03	228.13	187.71	96.68	132.44	56.28	162.14	120.1	150.17	185.11	111.21	131.51	154.42	107.38	42.41	281.09	224.97	126.12	177.53	193.01	153.34	170.25	131.51	82.87	120.94	55.49	98.73	90.14	114.36	108.9	194.36	38.12	144.01	157.68	57.08	108.14	52.45	32.36	198.47	195.72	127.89	155.5	193.01	279.14	163.28
CDIPT	1143.1	733.19	1369.04	1572.76	713.11	1037.29	1498.22	1331.57	1167.14	1313.23	1059.11	470.14	753.83	1216.75	1769.57	1498.22	2417.67	2485.67	3564.78	2287.2	2287.2	2193.99	2816.11	2451.44	1709.26	2502.97	1733.13	2537.92	2520.38	2090.03	1457.23	2075.59	3018.3	2018.8	2075.59	1977.24	1883.54	2209.26	2163.77	2485.67	1697.45	2209.26	1685.71	2090.03	1721.16	1806.78	2075.59	2004.85	1721.16	1883.54	2451.44	2133.97	2468.49	1857.6	2287.2	1709.26	2303.12	2701.35	2335.28	1844.76	2090.03	2090.03	2287.2	2796.65	2384.37	2133.97	2468.49	2032.85	2384.37	2209.26	2591.27	2573.36	2032.85	2178.83	1857.6	2271.4	1819.35	1745.2	2701.35	2047.0	2193.99	1923.14	1883.54	2119.22	2075.59	954.43	2004.85	1870.53	1733.13	1844.76	2047.0	1745.2	2591.27	1340.84	1896.65	1936.53	2178.83	2537.92	1883.54	1991.0	2739.08	2163.77	2451.44	2224.63	2163.77	2335.28	2271.4
CDK4	1467.37	1088.92	1529.73	1745.2	1963.57	1628.26	854.13	1088.92	1183.45	884.29	825.0	616.37	1111.82	915.51	995.0	563.18	2835.7	3168.41	4358.66	3303.0	2875.3	2178.83	3280.18	2976.74	2777.33	3081.75	2400.97	2976.74	3540.14	2976.74	1806.78	2384.37	3589.58	2895.31	2163.77	2682.69	2335.28	2591.27	2835.7	3124.78	1769.57	2956.17	1883.54	2976.74	2682.69	2758.13	2351.53	2609.3	2209.26	2555.58	2555.58	2627.46	2303.12	1991.0	2701.35	2976.74	3235.01	2935.74	2739.08	2935.74	2417.67	2758.13	3235.01	3280.18	2384.37	2816.11	2645.74	1674.06	3103.19	3280.18	2739.08	3168.41	2502.97	3280.18	1923.14	2555.58	2148.82	2384.37	2701.35	2701.35	2976.74	3212.66	2178.83	2451.44	2434.5	2451.44	2133.97	2664.15	2664.15	2664.15	2935.74	2485.67	2701.35	2209.26	3018.3	2047.0	3168.41	2591.27	2351.53	2119.22	2451.44	3018.3	2720.15	2976.74	2609.3	2875.3	2915.45
CENPB	258.57	521.76	543.96	796.86	759.08	651.58	607.87	587.13	693.58	559.28	595.34	351.14	651.58	688.78	463.65	454.09	1143.1	1286.18	1388.16	1151.06	1208.34	819.3	1216.75	1407.55	836.53	1183.45	961.07	1304.15	1066.48	954.43	733.19	1088.92	1769.57	1059.11	934.76	974.5	909.17	738.29	1104.13	995.0	674.59	1059.11	961.07	934.76	961.07	1001.93	1044.52	1143.1	743.43	866.07	791.35	890.44	1159.07	902.89	1081.39	1242.34	1096.5	1143.1	1313.23	967.76	1051.79	934.76	1023.0	1059.11	878.17	954.43	981.29	884.29	1175.27	1135.2	1159.07	1023.0	1001.93	1143.1	890.44	1498.22	825.0	1073.91	1135.2	995.0	934.76	1233.75	748.61	941.27	860.08	902.89	1001.93	1104.13	842.36	1119.56	981.29	836.53	1081.39	1059.11	974.5	819.3	1044.52	1159.07	1051.79	848.22	1081.39	934.76	1015.93	921.88	961.07	1151.06	1001.93
CENPBD1	12.93	40.36	20.11	69.03	52.08	56.68	49.21	37.05	62.12	35.5	55.1	14.89	20.86	33.78	41.81	22.75	165.57	181.28	277.2	157.68	195.72	80.57	169.07	190.34	95.34	220.32	73.03	211.31	214.27	228.13	60.39	156.59	249.73	187.71	121.79	103.69	106.63	105.15	112.77	146.03	97.36	198.47	172.65	139.07	73.03	97.36	74.58	153.34	151.22	92.7	147.06	132.44	198.47	191.67	197.09	88.88	156.59	182.55	195.72	190.34	97.36	150.17	234.57	178.77	193.01	103.69	131.51	71.0	221.86	221.86	154.42	221.86	154.42	135.24	134.3	135.24	100.13	138.1	167.9	185.11	164.42	199.85	169.07	194.36	105.89	202.66	132.44	204.07	84.04	185.11	181.28	175.07	208.38	82.87	220.32	143.01	81.71	140.04	55.89	129.69	178.77	201.25	151.22	211.31	170.25	206.94	191.67
CHMP6	376.41	291.04	291.04	373.81	212.78	323.03	529.06	289.02	212.78	301.33	295.11	177.53	470.14	368.65	381.68	231.32	713.11	612.11	718.08	679.29	902.89	483.38	674.59	595.34	532.74	708.18	500.46	599.49	647.07	547.75	441.64	603.67	708.18	543.96	660.68	616.37	607.87	503.95	543.96	775.05	536.45	607.87	497.0	529.06	486.75	514.56	438.59	540.19	420.68	575.03	633.73	607.87	642.59	612.11	620.67	397.93	547.75	660.68	718.08	624.99	656.11	567.1	500.46	660.68	599.49	540.19	616.37	486.75	503.95	638.15	791.35	603.67	575.03	612.11	543.96	647.07	503.95	656.11	638.15	547.75	583.07	525.39	536.45	638.15	603.67	503.95	633.73	599.49	551.56	583.07	796.86	575.03	616.37	460.44	493.56	665.29	551.56	738.29	579.04	450.94	660.68	571.05	612.11	559.28	579.04	599.49	579.04
COMMD9	358.54	406.31	358.54	830.75	307.69	346.29	629.35	463.65	607.87	547.75	414.87	363.56	521.76	460.44	295.11	848.22	1037.29	961.07	1044.52	743.43	785.88	674.59	1216.75	1037.29	660.68	1191.69	713.11	995.0	909.17	780.44	373.81	647.07	1143.1	928.3	660.68	825.0	785.88	698.41	954.43	1001.93	872.1	825.0	1001.93	753.83	878.17	759.08	507.46	915.51	1001.93	642.59	878.17	1030.12	1044.52	860.08	902.89	483.38	813.63	836.53	1225.22	665.29	836.53	902.89	934.76	1037.29	848.22	878.17	836.53	575.03	1208.34	775.05	1073.91	813.63	878.17	1023.0	848.22	759.08	473.41	1216.75	934.76	954.43	967.76	1051.79	1030.12	981.29	1015.93	884.29	1151.06	1044.52	764.36	909.17	1159.07	1001.93	738.29	909.17	1059.11	723.08	480.04	698.41	647.07	665.29	718.08	1216.75	934.76	791.35	921.88	819.3	928.3
CRYGS	10.63	4.39	21.01	33.3	14.56	9.34	35.76	10.08	12.83	17.9	29.91	4.35	14.24	27.84	3.99	17.77	100.83	133.36	99.43	107.38	98.04	42.71	68.07	78.89	72.52	97.36	42.41	72.01	18.29	33.3	85.22	68.07	72.52	78.34	32.13	85.22	34.26	31.22	44.57	19.39	34.02	47.84	68.55	20.11	24.28	31.0	46.18	38.95	90.14	34.51	73.03	81.14	71.0	85.82	42.71	20.56	38.12	29.48	51.71	41.22	54.33	74.06	98.73	55.1	82.29	44.25	25.91	57.89	75.64	101.54	29.7	85.22	93.35	34.51	80.01	60.39	39.79	105.89	53.95	48.87	66.18	72.52	102.97	96.68	58.71	87.03	89.51	36.53	32.59	43.02	66.65	84.04	34.75	45.53	63.89	77.79	16.15	57.89	62.12	55.89	76.71	124.37	15.0	54.72	76.17	73.03	81.14
CTD-2192J16.20	1.25	13.12	6.52	11.73	6.78	6.16	13.22	12.09	12.18	14.67	13.12	2.46	5.77	8.06	2.51	7.82	37.32	47.84	34.51	36.27	33.06	11.47	59.55	56.28	19.39	38.95	18.29	72.01	29.7	42.71	16.88	39.22	35.5	40.07	23.25	44.89	18.16	13.52	33.78	34.02	20.86	37.59	37.05	31.9	20.41	9.41	31.22	29.27	30.78	24.81	28.86	32.36	42.11	39.79	42.71	12.0	27.05	33.06	50.98	23.93	17.25	32.82	49.21	29.06	42.11	15.22	16.75	23.59	52.08	48.18	23.25	31.9	28.04	35.76	36.53	23.42	18.43	31.22	21.32	38.12	23.59	52.45	43.32	43.63	25.35	50.98	32.13	31.45	28.45	29.48	42.41	51.35	33.78	19.82	40.36	24.46	11.73	24.28	13.93	30.34	31.22	30.34	28.86	38.67	43.63	44.57	31.45
CTDNEP1	2319.15	1651.0	2255.7	2520.38	1883.54	1963.57	2240.11	1794.29	2148.82	1832.01	2240.11	1350.18	2384.37	2090.03	1819.35	2209.26	2816.11	2835.7	2796.65	2664.15	2609.3	2209.26	3419.52	2976.74	2485.67	2664.15	2400.97	3103.19	3060.45	2777.33	2075.59	2796.65	3235.01	2537.92	2451.44	2701.35	2287.2	2434.5	2537.92	2915.45	2148.82	2468.49	2367.9	2835.7	2520.38	2591.27	2319.15	2537.92	2591.27	2335.28	2573.36	2133.97	2777.33	2303.12	2701.35	2384.37	3146.52	2573.36	2664.15	2335.28	2451.44	2335.28	2682.69	3212.66	2682.69	2758.13	2777.33	2739.08	3146.52	2895.31	2956.17	3349.13	2520.38	2520.38	2609.3	2976.74	2319.15	2367.9	2682.69	2520.38	3257.52	2997.45	2351.53	2609.3	2351.53	2004.85	2609.3	2520.38	2537.92	2796.65	2875.3	2367.9	3081.75	2209.26	2133.97	2537.92	2739.08	2935.74	2148.82	2451.44	3039.3	3103.19	2609.3	2796.65	2335.28	2777.33	2682.69
CTDSP1	688.78	1407.55	1477.58	3146.52	1322.37	1733.13	1651.0	1447.15	1508.65	1183.45	1733.13	981.29	1417.35	1844.76	1199.98	1143.1	2720.15	3467.27	2645.74	3280.18	3190.46	2384.37	3419.52	3982.99	2627.46	3395.89	2627.46	3665.02	3614.55	3146.52	2104.58	3491.39	4543.8	3349.13	3303.0	3303.0	2351.53	2976.74	3146.52	3419.52	2485.67	3515.68	2720.15	3039.3	2758.13	2400.97	2119.22	3124.78	2701.35	2367.9	3257.52	3395.89	4450.27	3018.3	3419.52	2682.69	2739.08	3190.46	3820.7	3212.66	3212.66	3349.13	3103.19	4298.64	3303.0	2976.74	3212.66	2701.35	3874.05	3212.66	3515.68	3467.27	3168.41	3103.19	2573.36	3190.46	2777.33	2895.31	3742.05	3349.13	3349.13	3491.39	2935.74	2895.31	2956.17	2224.63	2796.65	3103.19	2645.74	3235.01	2935.74	3190.46	3742.05	2367.9	2739.08	2645.74	2400.97	3614.55	2335.28	2875.3	2997.45	3564.78	3280.18	2875.3	3395.89	3303.0	3081.75
