	TCGA.LL.A441.01A.11R.A24H.07	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.R6.A6KZ.01A.11R.A31P.31	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.VUSG.0126.SM.4KL1X	TCGA.L9.A5IP.01A.21R.A39D.07	TCGA.43.A56U.01A.11R.A26W.07	TCGA.O2.A52Q.01A.11R.A26W.07	TCGA.66.2773.01A.01R.1201.07	TCGA.22.1000.01A.01R.A32Z.07	TCGA.21.A5DI.01A.31R.A26W.07	TCGA.77.8136.01A.11R.2247.07
C17orf47	0.39	5.06	4.21	2.16	0.42	0.0	0.0	0.0	0.0	0.41	1.58	0.0	0.65	1.38	0.0	0.14	0.0	0.68	4.82	3.06	2.39	1.83	4.35	1.99
C1orf180	0.31	0.0	2.86	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	1.93	2.05	0.39	0.3	1.51
C1orf228	769.69	127.0	211.31	70.01	12.64	49.91	53.19	38.95	31.9	42.71	71.0	23.59	105.89	29.06	60.82	42.71	170.25	108.9	830.75	271.48	113.56	127.89	111.99	105.15
C21orf37	2.76	0.0	2.61	0.0	0.0	28.65	18.43	0.0	0.0	0.0	11.73	0.0	26.67	0.0	0.0	0.0	0.0	0.0	2.94	0.0	1.2	1.13	7.17	3.41
C22orf43	2.39	15.68	31.9	21.63	4.03	2.51	0.95	1.45	0.0	0.67	0.0	0.0	1.35	0.0	0.95	0.67	5.19	4.31	14.67	8.45	15.56	10.0	5.92	10.0
C2orf82	708.18	91.41	172.65	185.11	43.94	84.63	50.98	13.32	16.03	21.78	43.63	25.91	981.29	68.55	441.64	100.13	66.18	42.41	31.67	169.07	49.91	40.64	70.51	5.23
C4orf21	142.01	277.2	154.42	204.07	18.84	23.42	7.11	9.7	15.22	13.62	10.71	9.85	16.88	7.28	2.07	12.45	9.2	60.82	146.03	87.65	88.26	46.5	199.85	78.34
C6ORF50	65.72	99.43	46.18	94.01	2.27	3.26	0.56	0.69	2.94	1.23	0.0	0.0	6.89	0.0	0.0	1.33	0.67	15.0	25.54	15.0	18.29	22.43	26.1	29.91
C7orf49	981.29	884.29	753.83	638.15	555.41	423.61	559.28	490.14	563.18	395.18	587.13	529.06	429.54	346.29	819.3	813.63	1233.75	1015.93	1268.46	854.13	1044.52	878.17	2104.58	934.76
CAND1	1331.57	1457.23	1487.87	1359.57	890.44	412.0	684.02	1151.06	525.39	547.75	587.13	656.11	490.14	878.17	208.38	669.92	629.35	1119.56	1143.1	1088.92	1369.04	1304.15	3515.68	1175.27
CAPN10	575.03	624.99	723.08	647.07	120.1	156.59	65.72	85.22	129.69	92.7	128.79	82.29	127.89	142.01	79.45	128.79	137.14	381.68	836.53	603.67	438.59	376.41	595.34	348.71
CASP2	995.0	603.67	540.19	450.94	145.02	73.03	90.14	100.13	145.02	107.38	92.05	122.64	105.15	44.25	10.47	68.07	37.85	224.97	463.65	299.25	414.87	473.41	693.58	470.14
CBWD2	599.49	559.28	780.44	743.43	412.0	343.89	368.65	275.28	551.56	387.02	353.59	334.46	281.09	432.53	161.02	228.13	202.66	693.58	808.0	466.88	642.59	457.25	854.13	909.17
CCDC84	684.02	1286.18	1369.04	954.43	181.28	256.78	100.83	105.89	241.19	285.03	136.19	149.12	211.31	175.07	124.37	136.19	126.12	518.15	884.29	884.29	379.04	567.1	647.07	423.61
CCNL2	2468.49	8479.89	5479.15	4937.99	1277.29	1208.34	642.59	521.76	842.36	1322.37	819.3	543.96	1225.22	629.35	460.44	1051.79	866.07	1781.89	4937.99	2835.7	2075.59	2335.28	4671.57	3103.19
CHD3	2193.99	2075.59	1857.6	1508.65	466.88	363.56	47.17	91.41	22.26	101.54	100.13	34.75	126.12	61.25	16.27	138.1	209.84	1540.37	1540.37	1407.55	1617.0	1135.2	3124.78	1709.26
CLK1	2895.31	5366.37	2591.27	3235.01	808.0	988.12	743.43	507.46	703.28	854.13	669.92	679.29	836.53	651.58	961.07	967.76	988.12	1844.76	7180.15	4903.87	1896.65	1883.54	4769.75	1417.35
CNOT2	921.88	1757.34	1233.75	1059.11	514.56	339.14	381.68	529.06	536.45	466.88	463.65	406.31	497.0	332.14	164.42	511.0	403.5	1175.27	1015.93	713.11	1044.52	819.3	2193.99	872.1
COPG2	624.99	476.71	848.22	571.05	373.81	293.07	264.03	189.02	146.03	234.57	237.86	307.69	366.09	373.81	214.27	312.0	156.59	132.44	1044.52	836.53	525.39	808.0	1277.29	599.49
CSNK2B-LY6G5B-1181	156.59	98.04	373.81	470.14	13.12	27.64	21.78	12.0	21.63	38.67	36.79	18.03	18.16	34.02	3.86	12.64	8.38	30.34	133.36	86.43	73.03	45.21	169.07	64.8
CTC-360G5.1	23.76	40.64	53.57	27.44	2.71	2.53	2.32	2.12	0.48	3.86	2.18	3.5	10.96	4.06	1.95	0.09	0.0	3.99	15.68	15.11	11.3	5.63	8.38	1.57
CTD-2369P2.10	19.82	41.52	23.59	31.22	8.0	5.28	7.28	4.7	1.14	7.06	8.13	4.28	10.71	8.06	1.57	12.09	7.69	9.93	20.56	8.65	13.03	14.56	26.47	9.13
CTRL	63.0	44.57	27.64	39.5	13.72	2.39	8.13	3.86	16.88	9.2	9.41	4.7	25.91	8.92	0.0	0.42	2.39	20.86	74.06	38.95	37.05	38.95	46.18	40.64
CXorf65	107.38	24.81	72.01	45.53	10.96	44.25	5.36	4.03	41.81	9.48	7.57	4.54	4.98	5.54	1.73	27.84	0.0	15.8	104.42	71.5	14.45	45.21	61.68	4.24
DNAJB6	3168.41	4802.93	3060.45	3039.3	1096.5	728.11	878.17	1104.13	947.83	551.56	854.13	802.41	633.73	802.41	830.75	928.3	1175.27	1605.83	3491.39	2485.67	2555.58	3168.41	6207.38	2061.24
EGFL8	361.04	400.71	567.1	395.18	49.21	32.36	23.59	16.88	56.68	53.95	63.0	21.01	99.43	31.9	79.45	27.64	71.5	138.1	379.04	244.57	140.04	167.9	312.0	150.17
FAM156A	1001.93	830.75	764.36	1059.11	110.43	48.87	57.89	13.93	55.1	29.06	70.01	42.11	53.95	68.07	18.56	54.33	38.95	248.0	660.68	518.15	170.25	193.01	447.82	153.34
FAM160B2	1135.2	2573.36	1781.89	1844.76	521.76	318.57	356.05	111.99	429.54	246.28	190.34	182.55	218.79	202.66	103.69	320.8	412.0	1111.82	1561.89	753.83	1674.06	1096.5	2148.82	902.89
FAM186A	7.51	3.69	6.06	7.94	0.42	0.8	0.73	0.13	0.09	0.55	0.0	0.0	1.11	0.77	0.13	0.99	0.0	3.23	1.87	7.0	7.11	1.77	6.46	1.13
FAM209A	12.36	10.55	30.56	18.97	0.0	4.03	1.46	1.53	1.19	1.89	0.0	1.08	4.21	4.24	1.95	0.87	5.96	3.56	20.56	12.74	9.56	7.22	10.24	9.34
FAM57A	217.27	660.68	339.14	273.37	96.01	20.56	32.59	34.51	318.57	24.11	19.82	37.59	50.98	22.59	12.0	14.78	170.25	146.03	400.71	368.65	503.95	493.56	1963.57	293.07
FLJ00104	147.06	100.13	133.36	123.5	14.67	8.58	5.45	1.01	7.11	8.51	7.22	1.23	5.59	4.94	2.76	4.39	2.25	67.12	53.57	35.5	79.45	30.78	61.25	46.18
GALNT11	1304.15	591.22	547.75	500.46	323.03	277.2	237.86	253.23	291.04	249.73	307.69	178.77	525.39	432.53	277.2	269.6	237.86	265.87	638.15	470.14	397.93	656.11	1151.06	395.18
GEN1	191.67	236.21	212.78	830.75	37.59	55.49	41.52	51.71	23.59	48.87	38.12	44.57	75.11	55.89	30.12	29.91	26.1	93.35	162.14	53.95	155.5	96.01	226.54	186.4
GOLGA6L10	15.68	94.01	0.0	12.93	0.0	2.51	0.0	0.6	0.82	5.63	3.92	0.0	0.01	0.0	0.0	1.36	0.25	13.22	34.51	1.17	2.66	20.86	27.44	36.27
GRIP1	71.0	100.13	55.1	62.12	0.21	10.79	5.36	3.69	6.31	0.0	0.0	1.93	6.36	10.39	0.33	1.45	4.78	12.27	49.56	43.02	42.71	36.79	236.21	51.71
HPX	108.14	76.17	46.84	51.35	762299.34	1155430.26	1345768.59	1048575.0	1393227.06	767601.56	2511293.86	602247.76	2025714.3	632189.57	1472666.19	1204496.53	2011721.67	6.41	36.27	21.78	24.63	19.82	38.4	15.0
IL2	6.21	0.38	0.0	0.35	4.35	4.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	6.67	5.59	3.08	5.45	2.32	3.5
KCNAB3	87.03	176.29	84.63	110.43	23.59	12.09	8.65	7.17	16.27	15.45	5.15	17.0	4.94	18.97	0.84	17.51	0.93	13.62	80.57	44.57	45.21	53.19	127.0	39.5
KLHL17	239.52	866.07	376.41	423.61	43.02	50.63	24.81	23.42	71.0	28.65	43.94	22.1	75.64	18.29	21.01	53.57	127.0	217.27	525.39	490.14	275.28	214.27	500.46	183.82
L3MBTL1	447.82	551.56	400.71	447.82	18.7	5.28	1.53	3.76	10.16	3.0	8.71	4.24	33.78	7.22	5.41	15.68	13.93	97.36	305.55	234.57	236.21	136.19	366.09	182.55
LENG8	4836.35	8778.97	7911.95	5633.22	796.86	713.11	507.46	403.5	591.22	819.3	507.46	536.45	808.0	532.74	299.25	571.05	403.5	3280.18	6840.04	3168.41	2935.74	2303.12	4639.29	2816.11
LRRC39	21.94	10.16	52.08	236.21	3.2	10.24	3.96	15.8	6.89	6.46	4.54	11.82	8.51	8.19	5.63	6.31	5.68	10.39	49.21	29.7	16.15	22.26	54.33	15.22
MAPK7	309.83	728.11	470.14	406.31	187.71	92.7	73.54	77.25	94.01	75.64	101.54	85.22	92.05	66.65	24.28	123.5	218.79	283.05	325.29	373.81	275.28	351.14	669.92	423.61
MDM1	327.56	438.59	348.71	368.65	66.65	69.03	49.56	31.22	12.93	50.27	98.04	47.17	50.63	52.82	21.01	66.18	30.34	91.41	341.51	180.02	260.38	140.04	297.17	162.14
MKRN1	2004.85	1551.09	1540.37	1340.84	1088.92	708.18	400.71	599.49	665.29	497.0	884.29	884.29	785.88	612.11	547.75	878.17	738.29	1167.14	1457.23	1233.75	1407.55	1639.59	1551.09	947.83
MPHOSPH10	718.08	642.59	698.41	1151.06	575.03	356.05	514.56	567.1	397.93	583.07	420.68	500.46	444.72	599.49	209.84	480.04	258.57	555.41	629.35	483.38	684.02	432.53	947.83	651.58
MROH7-TTC4	6.94	43.32	30.56	33.54	2.12	2.23	1.08	1.5	0.0	1.13	0.64	0.52	0.0	1.13	0.27	0.0	3.29	4.31	11.21	6.46	3.79	7.17	13.72	10.31
MSANTD2	267.73	249.73	226.54	329.84	43.94	29.06	19.97	18.97	28.45	22.75	19.39	10.39	26.86	25.54	14.35	29.48	44.25	84.04	153.34	171.45	101.54	107.38	190.34	128.79
MSS51	53.95	82.29	85.82	78.34	6.84	5.28	2.66	0.91	3.0	6.21	3.82	1.16	5.54	2.34	0.95	1.66	2.63	15.56	45.21	25.17	21.63	23.42	37.85	24.99
MYO15B	3146.52	2895.31	5672.41	5329.3	1909.85	470.14	426.57	223.41	181.28	438.59	567.1	236.21	656.11	521.76	142.01	332.14	872.1	2720.15	3467.27	4123.49	1066.48	1388.16	1757.34	902.89
MYSM1	307.69	1304.15	387.02	260.38	104.42	75.64	85.22	66.18	70.51	78.34	52.82	78.89	89.51	71.5	25.35	79.45	39.5	115.97	329.84	271.48	129.69	117.6	248.0	218.79
NCOR1	1066.48	1081.39	1487.87	1143.1	507.46	1242.34	1151.06	961.07	514.56	616.37	1073.91	1088.92	2209.26	1037.29	2645.74	1697.45	1529.73	669.92	759.08	665.29	748.61	723.08	1242.34	759.08
NDEL1	743.43	2895.31	1037.29	733.19	603.67	441.64	595.34	414.87	842.36	423.61	351.14	414.87	599.49	397.93	2537.92	447.82	954.43	825.0	1135.2	890.44	733.19	896.64	1540.37	775.05
NEURL4	429.54	718.08	642.59	571.05	159.9	144.01	108.9	58.71	132.44	155.5	137.14	98.73	180.02	108.14	32.82	139.07	150.17	305.55	559.28	353.59	343.89	209.84	642.59	271.48
NISCH	1447.15	2758.13	1561.89	1950.0	426.57	366.09	253.23	269.6	221.86	334.46	460.44	291.04	540.19	307.69	220.32	379.04	371.22	587.13	1191.69	595.34	738.29	759.08	902.89	764.36
NOXRED1	6.84	18.03	12.55	15.0	1.11	2.34	1.53	4.28	2.23	1.62	4.86	0.91	2.84	1.22	3.23	0.0	2.18	8.92	18.7	10.08	19.25	11.04	15.22	10.96
NPEPL1	780.44	1233.75	1594.73	995.0	156.59	323.03	171.45	91.41	130.6	228.13	241.19	312.0	379.04	176.29	166.73	329.84	169.07	713.11	1208.34	1001.93	1259.69	679.29	1059.11	638.15
NPFF	96.68	93.35	67.12	102.97	7.94	13.03	11.3	6.73	15.45	18.84	12.0	2.63	33.78	19.11	0.0	10.79	4.82	19.68	54.72	30.34	31.0	32.82	96.01	53.95
NPIPA1	2193.99	5441.3	4239.45	4543.8	371.22	403.5	173.85	224.97	239.52	363.56	231.32	215.77	379.04	264.03	104.42	242.88	343.89	934.76	2032.85	915.51	1313.23	1111.82	1781.89	974.5
NPIPA7	808.0	5791.62	3280.18	6250.56	327.56	242.88	339.14	64.34	75.11	159.9	555.41	76.17	297.17	155.5	56.28	291.04	371.22	854.13	1950.0	718.08	1794.29	718.08	2434.5	819.3
NPIPB11	67.12	105.89	183.82	275.28	4.43	5.11	1.97	2.34	3.76	4.78	1.91	3.2	11.21	4.24	1.39	1.36	8.19	34.51	32.36	26.47	68.55	26.28	63.0	15.91
NPIPB4	1832.01	2319.15	2816.11	2895.31	205.5	201.25	103.69	127.89	228.13	305.55	180.02	165.57	307.69	175.07	40.64	171.45	115.16	1519.15	1233.75	796.86	1991.0	679.29	1388.16	500.46
NPIPB5	3039.3	4802.93	5292.48	5255.91	279.14	234.57	101.54	111.21	301.33	260.38	150.17	158.79	159.9	144.01	48.52	141.02	120.94	2335.28	2956.17	1059.11	1883.54	1487.87	2193.99	738.29
NUP205	890.44	1397.83	1167.14	1051.79	267.73	368.65	248.0	224.97	215.77	237.86	171.45	244.57	204.07	215.77	94.67	198.47	161.02	633.73	1081.39	995.0	802.41	808.0	1806.78	836.53
PABPC1L	1721.16	684.02	2193.99	2976.74	185.11	161.02	148.09	74.58	163.28	248.0	155.5	59.13	177.53	118.43	54.72	144.01	111.21	329.84	1733.13	1191.69	1594.73	417.77	1540.37	305.55
PFKFB4	66.18	1733.13	120.94	185.11	36.53	8.85	5.82	8.51	14.24	10.79	8.06	12.83	16.15	7.57	12.93	14.45	33.06	115.97	316.37	454.09	211.31	148.09	483.38	373.81
PLA2G4B	241.19	511.0	336.79	208.38	44.57	49.21	42.11	21.01	39.79	56.28	73.54	30.78	44.25	43.63	36.27	26.67	50.63	100.13	616.37	152.28	381.68	152.28	587.13	320.8
PLEKHG5	161.02	3212.66	785.88	536.45	52.45	34.51	14.56	16.75	26.47	16.75	33.3	9.27	61.25	24.11	1.93	31.9	28.24	110.43	351.14	269.6	217.27	318.57	688.78	420.68
PPT2-EGFL8	85.22	136.19	150.17	124.37	10.39	19.25	8.19	9.85	6.11	17.25	21.63	7.75	30.78	6.31	7.22	16.15	8.06	37.85	84.04	81.14	75.64	35.5	96.01	44.57
PRPF40B	414.87	660.68	441.64	902.89	115.16	59.55	67.59	42.71	71.0	91.41	76.71	50.63	123.5	57.89	38.4	67.59	140.04	412.0	647.07	563.18	423.61	281.09	693.58	412.0
PTBP2	269.6	753.83	660.68	748.61	96.01	80.57	56.68	76.71	62.12	94.67	34.02	95.34	154.42	74.06	36.27	50.98	60.39	105.89	361.04	400.71	176.29	206.94	379.04	256.78
RAB24	1037.29	1457.23	651.58	1340.84	368.65	309.83	297.17	234.57	616.37	204.07	251.48	185.11	334.46	260.38	281.09	287.01	575.03	563.18	1651.0	1233.75	612.11	902.89	1135.2	1233.75
RAB3IP	320.8	147.06	256.78	323.03	167.9	329.84	112.77	256.78	178.77	148.09	119.26	125.24	141.02	149.12	236.21	111.99	143.01	137.14	521.76	346.29	273.37	258.57	1250.98	395.18
RABGGTB	1417.35	2163.77	2004.85	2032.85	2400.97	1350.18	1697.45	1467.37	2119.22	2178.83	988.12	1340.84	878.17	1508.65	684.02	872.1	836.53	988.12	2351.53	2997.45	967.76	1322.37	2119.22	1191.69
RAD51AP2	4.39	12.45	7.51	3.69	0.04	0.4	1.19	0.1	0.08	0.67	1.71	0.35	1.97	0.39	0.11	0.68	0.66	0.82	3.44	0.44	5.63	2.86	5.06	10.63
RECQL4	403.5	748.61	941.27	1883.54	44.89	85.82	41.52	24.46	30.12	33.3	8.25	38.12	84.04	27.84	2.92	68.07	20.86	693.58	1081.39	1088.92	679.29	256.78	1286.18	1066.48
RFPL3S	60.39	32.36	50.63	28.65	3.53	4.94	2.71	0.71	5.63	3.0	2.12	0.0	1.51	1.1	0.4	0.0	3.29	15.8	53.95	47.17	72.01	19.11	34.02	25.72
RP11-268J15.5	57.89	275.28	120.94	127.89	11.64	10.39	1.48	3.82	7.75	6.57	5.41	1.51	3.29	3.29	0.4	8.19	1.43	28.65	187.71	87.65	74.06	146.03	169.07	120.94
RP11-295P9.3	551.56	389.72	587.13	412.0	57.08	48.18	31.45	34.02	33.78	71.0	41.52	27.05	77.25	38.67	13.32	35.25	28.86	154.42	363.56	172.65	197.09	139.07	307.69	176.29
RP11-87C12.2	11.38	336.79	17.25	50.63	0.33	2.43	3.56	0.0	2.34	0.0	0.0	0.08	2.48	1.27	1.62	1.45	2.94	7.75	35.25	49.21	6.57	20.41	24.11	24.99
SLC2A4RG	2104.58	3081.75	1745.2	2682.69	647.07	1896.65	1551.09	1561.89	607.87	1572.76	2935.74	1662.49	3955.48	2004.85	2816.11	1467.37	1216.75	2485.67	1806.78	2032.85	1519.15	1605.83	3716.2	1651.0
STK11IP	669.92	896.64	753.83	995.0	167.9	116.78	88.88	44.57	75.11	111.21	70.01	75.64	127.89	87.65	21.63	94.01	49.56	389.72	775.05	583.07	669.92	529.06	1159.07	358.54
SULT1A3	379.04	555.41	346.29	825.0	283.05	896.64	182.55	98.73	307.69	287.01	356.05	172.65	954.43	371.22	660.68	96.01	206.94	802.41	412.0	567.1	447.82	209.84	808.0	148.09
TAS2R20	34.02	56.28	26.86	30.78	2.36	1.83	2.34	0.0	2.32	2.61	0.0	1.45	2.36	0.8	3.11	3.53	3.29	15.8	21.32	29.91	13.93	8.25	47.17	23.42
TICRR	56.28	543.96	246.28	536.45	0.59	0.93	0.0	0.0	1.66	0.0	0.0	0.99	1.71	0.0	0.0	0.88	5.87	55.89	110.43	59.55	156.59	47.17	172.65	187.71
TNFRSF25	660.68	12589.08	1685.71	2319.15	53.57	59.13	27.05	31.0	16.75	29.91	83.45	12.36	58.3	24.11	13.52	35.76	61.25	180.02	961.07	660.68	540.19	532.74	1143.1	819.3
TNK1	341.51	547.75	177.53	173.85	106.63	82.29	76.71	44.57	126.12	48.18	124.37	57.89	138.1	24.99	85.82	153.34	142.01	236.21	209.84	143.01	173.85	126.12	511.0	175.07
TOP3A	323.03	514.56	454.09	571.05	316.37	143.01	239.52	267.73	291.04	223.41	194.36	229.72	246.28	267.73	123.5	221.86	265.87	309.83	318.57	295.11	323.03	279.14	447.82	432.53
WBP2NL	73.03	22.59	48.18	19.97	1.19	6.89	3.59	0.0	0.75	1.73	4.7	0.67	12.09	1.0	2.51	5.59	3.69	8.65	28.65	9.41	8.32	15.8	28.45	5.77
WDR19	529.06	563.18	435.55	674.59	387.02	297.17	376.41	325.29	483.38	389.72	376.41	281.09	246.28	346.29	281.09	476.71	332.14	361.04	642.59	429.54	166.73	414.87	503.95	170.25
XPOT	1081.39	921.88	813.63	753.83	1175.27	295.11	320.8	376.41	423.61	543.96	346.29	389.72	214.27	500.46	148.09	202.66	444.72	854.13	674.59	1081.39	1745.2	728.11	2645.74	1008.9
YEATS4	470.14	473.41	395.18	423.61	341.51	287.01	323.03	316.37	214.27	171.45	214.27	371.22	389.72	323.03	167.9	244.57	130.6	371.22	450.94	444.72	463.65	392.44	1313.23	500.46
ZC3H8	251.48	397.93	339.14	397.93	75.11	67.12	46.84	44.25	50.63	70.51	64.8	72.52	71.0	115.16	37.59	33.54	58.71	234.57	358.54	244.57	262.2	172.65	363.56	301.33
ZGLP1	110.43	318.57	108.9	232.94	26.28	15.0	8.71	16.39	11.47	24.99	29.27	5.82	21.78	37.32	8.13	16.63	31.0	16.15	117.6	102.97	77.25	52.82	90.77	60.39
ZMYND15	56.68	50.63	128.79	52.08	208.38	96.68	94.01	68.55	218.79	57.08	36.01	138.1	75.11	36.53	12.36	127.0	55.89	46.18	100.13	109.66	48.18	133.36	66.65	66.65
ZNF18	137.14	176.29	181.28	180.02	102.97	107.38	69.52	89.51	38.12	79.45	82.29	82.29	149.12	111.21	107.38	120.94	33.06	96.01	166.73	124.37	125.24	144.01	287.01	116.78
ZNF212	518.15	616.37	281.09	275.28	76.71	115.16	72.52	57.49	85.82	85.82	116.78	73.03	145.02	75.11	49.56	92.05	92.05	136.19	265.87	239.52	146.03	224.97	400.71	205.5
ZNF251	373.81	529.06	647.07	507.46	51.71	70.01	33.54	27.84	33.78	56.28	59.55	54.33	92.7	49.21	27.84	64.8	63.89	175.07	503.95	583.07	229.72	234.57	348.71	299.25
ZNF282	738.29	967.76	447.82	397.93	130.6	248.0	95.34	118.43	209.84	149.12	116.78	143.01	178.77	98.73	60.39	195.72	118.43	262.2	329.84	420.68	265.87	351.14	536.45	358.54
ZNF286A	371.22	287.01	303.44	343.89	99.43	41.52	23.93	20.56	38.95	13.32	21.78	21.16	23.08	39.79	10.88	24.63	61.68	125.24	202.66	264.03	157.68	148.09	316.37	187.71
ZNF286B	53.95	50.98	63.45	51.35	3.47	3.23	11.55	8.19	1.33	2.36	0.0	4.98	10.16	3.08	1.19	1.01	4.54	22.43	24.28	19.82	26.86	28.24	55.1	42.41
ZNF337	373.81	941.27	764.36	567.1	90.14	55.1	44.89	23.59	51.71	53.95	39.5	36.01	63.89	29.48	26.28	45.21	51.35	165.57	379.04	236.21	341.51	244.57	379.04	332.14
ZNF398	189.02	239.52	154.42	116.78	66.65	40.07	40.64	66.65	59.13	58.3	76.17	49.56	56.28	61.68	15.68	40.07	73.54	73.03	122.64	82.29	92.05	111.21	129.69	94.67
ZNF624	38.12	68.55	43.02	36.27	12.64	9.48	8.19	4.78	4.94	4.98	3.89	6.21	24.46	2.27	5.54	3.86	4.86	27.84	24.81	16.15	36.79	30.12	40.36	41.22
ZNF638	1721.16	1950.0	2119.22	2664.15	1066.48	1340.84	878.17	1059.11	1242.34	1119.56	947.83	941.27	1519.15	1081.39	780.44	1242.34	1519.15	1896.65	2148.82	1909.85	1685.71	1119.56	2367.9	2061.24
ZNF710	414.87	713.11	373.81	148.09	293.07	90.14	376.41	72.52	171.45	113.56	149.12	70.01	106.63	140.04	44.89	90.77	237.86	551.56	435.55	497.0	432.53	500.46	454.09	438.59
ZNF783	684.02	603.67	555.41	420.68	55.1	49.21	14.78	29.48	28.65	66.65	34.75	22.26	29.48	23.42	9.56	28.65	16.88	140.04	323.03	194.36	144.01	172.65	441.64	147.06
ZNF786	187.71	166.73	96.68	147.06	46.18	30.34	34.51	37.59	28.04	55.49	50.63	31.22	31.9	48.18	11.91	29.48	67.12	47.5	125.24	56.68	64.8	72.01	199.85	80.01
ZRANB2	1709.26	2090.03	1651.0	1896.65	403.5	273.37	255.0	275.28	291.04	267.73	341.51	194.36	312.0	392.44	182.55	223.41	156.59	620.67	1498.22	1437.15	1044.52	733.19	1044.52	825.0
