	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.YFC4.1426.SM.5IFJG	TCGA.ZH.A8Y5.01A.11R.A41I.07	TCGA.W5.AA2T.01A.12R.A41I.07	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.W5.AA33.01A.11R.A41I.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.DD.A1EJ.01A.11R.A155.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.LG.A6GG.01A.11R.A311.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVZ.01A.11R.A41C.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13113.1326.SM.5GCOI	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH
CLHC1	273.37	205.5	236.21	120.94	175.07	201.25	140.04	86.43	17.77	40.64	59.13	46.5	170.25	60.82	59.55	21.94	62.12	10.79	47.5	89.51	50.98	37.05	3.99	9.13	10.63	30.78	17.51	21.47	17.25	91.41	11.73	13.62	10.96	29.91	102.97	17.51	23.42	9.85	32.36
CPT1B	713.11	738.29	2163.77	1697.45	2468.49	1617.0	854.13	1487.87	392.44	638.15	389.72	642.59	941.27	698.41	466.88	134.3	571.05	76.17	253.23	1119.56	435.55	332.14	34.75	20.41	39.22	228.13	84.04	293.07	108.14	460.44	76.71	135.24	85.22	116.78	163.28	88.88	47.84	31.67	248.0
DAND5	2.48	1.64	9.06	19.11	65.72	10.0	20.41	9.63	1.53	6.57	6.06	0.0	2.86	9.85	5.23	1.46	2.34	0.0	2.18	2.03	1.41	1.39	0.0	0.57	0.16	0.84	0.0	0.0	1.17	0.0	0.0	0.0	2.43	1.01	0.0	0.0	0.0	0.37	0.96
DFNB59	132.44	177.53	166.73	78.34	249.73	93.35	83.45	159.9	14.78	50.63	94.01	44.57	145.02	67.59	67.59	32.13	92.7	41.81	47.84	30.34	42.71	29.27	3.0	15.22	28.45	9.85	14.03	35.76	14.35	33.06	5.32	21.32	28.24	15.11	28.86	18.03	35.0	26.1	26.86
DIDO1	954.43	1295.13	819.3	1477.58	1030.12	616.37	669.92	995.0	403.5	928.3	1369.04	336.79	624.99	728.11	728.11	204.07	417.77	387.02	848.22	490.14	397.93	358.54	193.01	236.21	195.72	312.0	132.44	426.57	197.09	283.05	86.43	198.47	329.84	314.17	309.83	183.82	246.28	131.51	358.54
DIP2A	529.06	633.73	575.03	435.55	463.65	403.5	567.1	287.01	229.72	277.2	371.22	176.29	435.55	412.0	244.57	126.12	158.79	104.42	209.84	299.25	146.03	209.84	75.64	68.55	47.17	99.43	77.79	170.25	65.26	149.12	75.11	71.0	104.42	117.6	76.17	71.0	60.82	82.29	102.25
DIP2B	373.81	536.45	297.17	229.72	303.44	187.71	403.5	293.07	142.01	269.6	348.71	138.1	239.52	303.44	190.34	147.06	177.53	135.24	131.51	387.02	122.64	152.28	77.79	64.8	105.15	147.06	88.88	153.34	159.9	105.15	264.03	57.89	96.68	142.01	98.73	178.77	137.14	51.71	127.89
EPOR	165.57	201.25	624.99	291.04	1151.06	251.48	454.09	373.81	236.21	220.32	273.37	129.69	202.66	159.9	139.07	157.68	185.11	127.0	152.28	285.03	68.55	129.69	81.14	60.82	59.97	82.29	101.54	256.78	95.34	281.09	40.07	81.14	123.5	126.12	122.64	114.36	83.45	54.33	152.28
ERCC3	967.76	941.27	1242.34	808.0	988.12	896.64	1030.12	728.11	454.09	587.13	679.29	532.74	909.17	775.05	620.67	334.46	483.38	473.41	595.34	591.22	325.29	476.71	258.57	229.72	299.25	381.68	211.31	353.59	269.6	371.22	299.25	323.03	381.68	379.04	314.17	334.46	197.09	139.07	348.71
EXD2	674.59	934.76	1059.11	151.22	186.4	269.6	444.72	389.72	125.24	275.28	246.28	113.56	220.32	248.0	181.28	131.51	120.94	128.79	94.01	307.69	86.43	143.01	115.16	86.43	159.9	129.69	108.9	149.12	131.51	138.1	116.78	102.97	198.47	126.12	128.79	83.45	107.38	61.68	191.67
GMNN	1151.06	896.64	2701.35	8022.41	8421.31	5076.84	8078.22	5751.61	2287.2	2163.77	6079.61	1369.04	1498.22	2271.4	5751.61	571.05	775.05	866.07	1127.35	1259.69	299.25	2163.77	191.67	183.82	1909.85	291.04	88.26	688.78	173.85	167.9	47.84	76.71	674.59	353.59	201.25	224.97	77.79	172.65	356.05
GPR137C	19.11	56.68	49.91	25.17	61.68	17.0	18.56	68.07	29.27	33.54	34.75	18.03	33.3	90.77	40.93	7.69	48.18	37.05	19.97	55.89	7.4	21.47	1.73	6.67	15.22	3.72	2.53	6.41	4.39	3.41	2.63	1.36	18.03	5.73	10.0	2.43	1.79	1.55	19.53
KANSL1	1304.15	1467.37	2004.85	708.18	665.29	497.0	791.35	563.18	379.04	423.61	703.28	307.69	616.37	500.46	417.77	215.77	291.04	297.17	457.25	417.77	224.97	283.05	111.99	164.42	92.7	228.13	129.69	253.23	125.24	244.57	120.94	148.09	205.5	146.03	158.79	149.12	175.07	85.22	260.38
KRBA2	125.24	108.9	191.67	53.19	46.84	46.5	76.17	29.7	9.34	25.54	24.99	9.06	33.06	25.72	24.46	8.38	30.12	6.94	13.93	32.82	8.99	11.55	2.36	4.24	6.16	13.83	2.41	7.4	6.06	8.0	0.0	2.16	15.22	8.13	6.52	4.46	7.63	5.32	12.27
L3MBTL1	209.84	297.17	441.64	185.11	277.2	161.02	205.5	176.29	105.89	99.43	165.57	60.39	111.99	105.89	112.77	21.32	67.59	70.01	81.14	156.59	45.53	53.19	14.78	9.78	2.01	18.7	1.53	22.1	3.76	29.27	10.16	3.0	40.93	15.91	8.71	4.24	7.22	5.41	16.15
LLGL1	368.65	412.0	624.99	293.07	299.25	241.19	260.38	441.64	173.85	59.13	218.79	129.69	190.34	70.01	204.07	52.08	128.79	40.64	181.28	152.28	47.17	81.14	31.22	13.72	57.89	63.0	38.4	60.39	30.34	57.49	37.59	20.86	60.39	57.49	40.64	35.76	40.64	9.41	49.56
LRRC37B	395.18	339.14	412.0	368.65	529.06	226.54	307.69	336.79	60.39	155.5	190.34	82.29	231.32	191.67	164.42	54.72	98.04	40.36	69.03	151.22	38.67	130.6	13.83	37.05	29.27	35.0	11.82	112.77	7.11	72.52	31.0	20.26	50.63	31.9	38.12	22.43	23.59	22.26	50.98
MAML1	591.22	529.06	607.87	327.56	376.41	244.57	384.34	351.14	133.36	312.0	414.87	152.28	285.03	353.59	221.86	100.13	163.28	191.67	217.27	281.09	142.01	163.28	60.39	82.29	36.27	98.73	78.89	127.89	49.91	94.67	92.7	72.01	94.01	76.71	78.89	72.52	56.68	70.51	111.21
MAPKBP1	435.55	361.04	444.72	152.28	165.57	120.1	236.21	86.43	88.26	96.01	130.6	59.55	109.66	120.94	116.78	49.56	83.45	74.58	69.03	205.5	80.01	87.03	29.7	18.16	18.56	52.82	25.72	33.06	21.78	65.72	39.79	36.53	64.34	36.79	47.84	38.95	32.82	8.25	66.18
MED12	665.29	591.22	878.17	511.0	651.58	521.76	647.07	395.18	312.0	363.56	647.07	307.69	457.25	409.15	336.79	305.55	291.04	258.57	406.31	291.04	157.68	373.81	105.89	102.97	101.54	189.02	81.71	218.79	120.94	150.17	153.34	73.54	193.01	144.01	120.1	77.25	138.1	63.45	206.94
MON2	723.08	1066.48	878.17	332.14	629.35	525.39	587.13	403.5	358.54	275.28	414.87	223.41	420.68	525.39	211.31	177.53	236.21	221.86	197.09	679.29	151.22	343.89	158.79	223.41	140.04	214.27	236.21	242.88	173.85	293.07	193.01	244.57	181.28	221.86	264.03	177.53	194.36	195.72	220.32
PAK6	165.57	130.6	162.14	176.29	163.28	49.56	55.1	50.98	1.07	3.79	25.17	5.23	22.26	71.5	74.58	1.87	3.96	0.53	11.73	12.45	5.28	19.82	7.11	3.53	5.32	18.56	0.0	0.0	1.04	6.21	1.58	0.0	1.25	17.13	2.03	4.78	0.29	0.0	1.43
PCNXL4	748.61	743.43	860.08	547.75	420.68	423.61	511.0	429.54	229.72	301.33	518.15	281.09	400.71	460.44	291.04	205.5	253.23	177.53	242.88	466.88	332.14	265.87	126.12	147.06	98.04	201.25	108.9	295.11	105.15	208.38	95.34	102.97	177.53	131.51	132.44	102.25	165.57	94.01	117.6
PHF3	1066.48	1119.56	872.1	312.0	476.71	236.21	325.29	1417.35	246.28	595.34	483.38	450.94	620.67	351.14	271.48	236.21	273.37	366.09	232.94	318.57	190.34	297.17	58.3	237.86	212.78	201.25	159.9	397.93	325.29	237.86	142.01	163.28	198.47	223.41	228.13	318.57	234.57	248.0	269.6
PIP4K2B	909.17	1295.13	1794.29	403.5	540.19	423.61	587.13	493.56	320.8	447.82	599.49	381.68	500.46	563.18	363.56	226.54	356.05	229.72	476.71	366.09	236.21	253.23	148.09	117.6	127.0	209.84	122.64	162.14	139.07	194.36	90.14	116.78	194.36	206.94	195.72	129.69	137.14	67.59	217.27
PNN	1709.26	1498.22	1540.37	2645.74	1216.75	1369.04	1733.13	1081.39	718.08	1388.16	1059.11	753.83	1572.76	1844.76	1225.22	441.64	896.64	791.35	796.86	1721.16	684.02	1208.34	158.79	555.41	341.51	450.94	435.55	567.1	361.04	624.99	363.56	571.05	551.56	603.67	476.71	457.25	395.18	299.25	567.1
PRPF39	660.68	860.08	909.17	848.22	389.72	438.59	547.75	409.15	318.57	503.95	728.11	204.07	518.15	514.56	341.51	140.04	281.09	144.01	273.37	490.14	158.79	283.05	27.64	102.97	81.71	105.89	103.69	228.13	69.03	205.5	137.14	108.14	127.0	119.26	76.17	53.57	69.52	30.34	180.02
PSIP1	1135.2	1923.14	921.88	486.75	616.37	503.95	688.78	1023.0	170.25	511.0	988.12	591.22	1183.45	1001.93	432.53	441.64	607.87	277.2	327.56	480.04	244.57	218.79	109.66	185.11	540.19	426.57	127.0	305.55	327.56	173.85	470.14	131.51	457.25	323.03	189.02	206.94	248.0	106.63	346.29
RAB3IP	318.57	500.46	432.53	764.36	1407.55	616.37	638.15	884.29	281.09	191.67	587.13	258.57	299.25	366.09	450.94	329.84	438.59	191.67	204.07	334.46	293.07	403.5	118.43	186.4	198.47	167.9	112.77	301.33	256.78	148.09	178.77	148.09	186.4	329.84	119.26	125.24	149.12	236.21	366.09
RAD51D	194.36	186.4	291.04	185.11	262.2	228.13	228.13	275.28	46.84	92.7	334.46	130.6	187.71	275.28	95.34	78.34	98.73	80.01	122.64	90.77	103.69	72.01	78.34	52.45	88.26	154.42	68.55	46.5	40.36	45.53	73.03	59.97	89.51	72.01	77.25	53.19	115.16	42.41	58.3
RFX7	295.11	277.2	305.55	96.68	89.51	90.77	173.85	53.57	44.89	67.59	130.6	52.82	182.55	122.64	50.27	31.0	42.11	29.06	68.55	89.51	36.01	54.72	17.51	10.47	26.28	21.16	11.73	22.92	26.86	19.39	13.83	20.41	39.79	35.25	36.27	36.27	44.25	16.15	37.59
RGPD5	220.32	271.48	111.99	171.45	291.04	94.01	161.02	206.94	78.89	78.89	162.14	62.56	103.69	182.55	47.17	73.03	132.44	57.08	77.79	198.47	102.25	94.67	49.91	38.4	37.05	66.18	8.99	138.1	65.26	99.43	98.73	108.9	53.95	88.88	61.25	75.11	36.27	12.74	78.89
RUFY2	353.59	483.38	316.37	493.56	264.03	177.53	301.33	187.71	82.29	176.29	175.07	82.87	187.71	197.09	126.12	67.59	75.11	69.52	106.63	141.02	74.58	108.14	13.03	44.25	44.25	56.28	34.26	89.51	21.78	63.89	50.63	27.44	33.54	57.89	35.5	33.3	68.55	32.36	71.0
SBK1	84.04	72.01	107.38	106.63	81.71	35.0	23.93	24.28	3.03	10.63	76.17	0.92	40.93	13.03	89.51	1.58	2.92	1.79	4.94	8.85	3.2	1.93	2.51	1.71	0.92	3.38	0.0	2.81	0.42	0.0	0.0	0.0	1.85	9.48	9.06	3.03	0.92	2.97	15.68
TOP3A	441.64	503.95	511.0	343.89	532.74	373.81	507.46	483.38	371.22	279.14	353.59	212.78	323.03	387.02	423.61	145.02	356.05	224.97	514.56	366.09	173.85	267.73	194.36	195.72	258.57	316.37	239.52	312.0	267.73	293.07	291.04	223.41	228.13	239.52	194.36	229.72	267.73	123.5	198.47
USP49	75.11	108.9	112.77	43.94	57.08	28.04	74.58	43.32	26.28	72.01	101.54	22.92	39.79	71.5	28.86	10.39	19.68	18.56	39.5	51.35	23.93	27.84	1.91	5.45	2.39	7.51	2.84	8.85	4.17	18.29	3.63	3.06	7.22	10.0	6.36	6.11	7.88	2.48	7.11
ZNF133	525.39	656.11	624.99	384.34	571.05	371.22	432.53	493.56	177.53	325.29	432.53	183.82	283.05	334.46	363.56	76.17	195.72	137.14	246.28	204.07	181.28	137.14	92.7	77.79	52.82	102.97	57.49	149.12	44.57	108.14	107.38	93.35	91.41	64.8	66.18	47.5	52.82	42.71	120.94
ZNF22	728.11	647.07	395.18	723.08	547.75	583.07	579.04	941.27	463.65	1216.75	607.87	358.54	723.08	503.95	503.95	332.14	493.56	267.73	718.08	476.71	397.93	500.46	186.4	395.18	325.29	279.14	551.56	381.68	329.84	190.34	358.54	249.73	305.55	173.85	397.93	325.29	361.04	417.77	543.96
ZNF260	249.73	368.65	397.93	146.03	169.07	129.69	320.8	218.79	65.26	134.3	291.04	70.01	126.12	153.34	180.02	50.98	70.01	58.3	81.14	123.5	59.13	103.69	10.79	26.1	30.34	34.26	22.59	42.41	31.67	24.99	44.89	24.11	30.78	32.59	40.36	19.11	24.11	21.47	57.08
ZNF514	320.8	511.0	293.07	493.56	460.44	224.97	265.87	323.03	161.02	171.45	267.73	129.69	260.38	269.6	148.09	65.72	164.42	79.45	154.42	173.85	189.02	101.54	27.64	63.89	37.05	45.85	55.1	65.26	41.52	44.57	23.08	35.25	79.45	69.52	46.84	35.0	51.35	61.25	100.83
ZNF594	169.07	181.28	209.84	98.73	92.05	64.8	134.3	113.56	20.56	70.51	59.55	20.56	74.58	63.89	37.05	4.54	60.82	4.54	48.18	56.28	10.71	30.78	1.13	7.22	3.66	10.63	2.34	6.52	3.69	10.39	2.86	2.92	19.11	6.26	6.21	1.51	2.89	1.19	10.39
ZNF774	137.14	120.1	85.82	38.67	54.72	16.51	44.89	65.26	10.88	22.59	43.02	15.22	31.45	63.0	21.47	13.52	30.34	15.91	30.34	20.11	23.25	41.22	13.83	13.72	11.13	7.57	13.03	13.62	8.38	9.2	16.39	3.92	27.05	15.11	15.68	17.77	3.56	9.06	20.26
ZSCAN30	406.31	540.19	718.08	384.34	483.38	187.71	332.14	246.28	155.5	112.77	145.02	82.87	226.54	176.29	104.42	80.57	109.66	108.9	128.79	112.77	66.18	89.51	32.13	44.57	29.48	68.55	36.27	72.01	36.01	58.71	19.68	28.24	60.82	50.27	51.35	28.24	38.67	28.04	73.03
ZSWIM1	165.57	241.19	208.38	163.28	221.86	173.85	224.97	191.67	105.15	100.83	305.55	113.56	169.07	180.02	206.94	63.45	126.12	111.99	258.57	155.5	120.94	77.25	49.56	39.5	59.55	60.39	43.94	65.72	30.34	66.18	38.4	39.22	74.06	61.25	56.28	29.27	51.71	27.44	69.52
