	TCGA.CA.5256.01A.01R.1410.07	TCGA.A6.2677.01A.01R.A278.07	TCGA.AA.3685.01A.02R.A32Z.07	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.VR.A8EP.01A.31R.A406.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.BA.4075.01A.01R.1436.07	TCGA.50.5045.01A.01R.1628.07	TCGA.35.4123.01A.01R.1107.07	TCGA.38.4625.01A.01R.1206.07	TCGA.50.5055.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5049.01A.01R.1628.07	TCGA.49.4506.01A.01R.1206.07	TCGA.38.4632.01A.01R.1755.07	TCGA.50.5068.01A.01R.1628.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.DC.5869.01A.01R.1660.07	TCGA.DC.4745.01A.01R.A32Z.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
FAM46B	4.94	16.39	10.96	236.21	2004.85	3540.14	1628.26	1331.57	2502.97	1832.01	2720.15	2485.67	4010.71	2720.15	1477.58	6652.97	202.66	30.12	29.7	0.0	51.35	0.06	42.71	6.84	62.12	20.26	19.97	16.15	7.51	5006.93	1175.27	61571.56	8901.53	6935.54	1378.57	24832.5	17927.91	22692.63
FAM83G	19.68	79.45	95.34	1340.84	575.03	2367.9	830.75	547.75	1477.58	688.78	909.17	1030.12	2555.58	902.89	486.75	3564.78	559.28	62.12	68.55	0.0	115.97	0.16	126.12	170.25	82.29	26.28	110.43	201.25	139.07	1963.57	703.28	4543.8	3303.0	1721.16	928.3	4038.61	2520.38	4210.15
FGD1	19.97	31.0	46.5	77.79	89.51	159.9	90.77	258.57	133.36	94.01	130.6	197.09	146.03	127.89	86.43	153.34	30.56	54.72	31.9	0.0	76.17	0.58	67.12	65.26	133.36	20.26	30.12	49.56	49.56	159.9	102.25	348.71	221.86	121.79	209.84	236.21	124.37	178.77
GID4	52.08	85.22	105.89	249.73	187.71	275.28	145.02	346.29	299.25	154.42	262.2	234.57	395.18	142.01	134.3	587.13	136.19	70.01	49.21	0.0	87.65	0.38	113.56	46.5	78.34	59.13	112.77	139.07	195.72	299.25	132.44	255.0	211.31	214.27	156.59	275.28	307.69	460.44
HS6ST1	312.0	211.31	346.29	529.06	813.63	890.44	665.29	775.05	595.34	387.02	1073.91	1508.65	743.43	1015.93	599.49	780.44	332.14	289.02	241.19	0.0	583.07	0.59	463.65	269.6	275.28	275.28	363.56	450.94	289.02	665.29	543.96	902.89	1030.12	1104.13	1167.14	1167.14	954.43	728.11
HSPA4L	50.63	92.7	35.76	239.52	403.5	414.87	239.52	297.17	884.29	318.57	567.1	595.34	397.93	412.0	258.57	381.68	224.97	21.32	83.45	0.0	40.07	0.2	42.71	32.36	112.77	66.18	21.32	18.56	43.02	587.13	463.65	1191.69	1447.15	759.08	497.0	974.5	518.15	1135.2
IGSF3	66.18	163.28	25.91	493.56	256.78	403.5	325.29	743.43	454.09	120.94	748.61	595.34	389.72	251.48	136.19	423.61	161.02	96.01	109.66	0.0	156.59	0.15	208.38	48.52	12.0	108.14	31.9	50.98	47.84	967.76	463.65	1304.15	743.43	848.22	441.64	1639.59	842.36	1127.35
KCTD1	23.59	21.47	33.3	1923.14	647.07	1417.35	890.44	1081.39	1167.14	559.28	1467.37	1594.73	1857.6	1066.48	540.19	1883.54	267.73	117.6	37.85	0.0	224.97	0.49	142.01	83.45	57.89	132.44	19.53	40.07	19.11	3257.52	830.75	2895.31	1037.29	1674.06	1111.82	1529.73	1963.57	2816.11
KCTD15	236.21	116.78	115.97	902.89	629.35	842.36	441.64	854.13	775.05	334.46	974.5	1259.69	733.19	738.29	397.93	915.51	172.65	191.67	86.43	47.17	201.25	104.42	193.01	273.37	76.71	84.63	75.64	110.43	134.3	529.06	703.28	1111.82	738.29	532.74	371.22	555.41	575.03	1119.56
KIAA0247	153.34	133.36	190.34	305.55	536.45	713.11	616.37	808.0	473.41	293.07	713.11	669.92	872.1	825.0	713.11	890.44	323.03	450.94	381.68	281.09	595.34	624.99	567.1	181.28	297.17	170.25	148.09	194.36	178.77	493.56	432.53	525.39	361.04	928.3	620.67	928.3	830.75	500.46
KIAA1671	91.41	189.02	45.53	842.36	441.64	698.41	521.76	688.78	708.18	638.15	536.45	547.75	575.03	493.56	497.0	563.18	59.55	92.7	71.0	154.42	166.73	37.85	205.5	64.8	73.54	98.04	64.34	154.42	154.42	400.71	454.09	497.0	525.39	1175.27	480.04	791.35	854.13	1135.2
KIF21A	139.07	325.29	87.03	209.84	262.2	303.44	208.38	656.11	723.08	332.14	708.18	312.0	819.3	287.01	256.78	928.3	127.0	142.01	153.34	0.0	94.67	0.13	108.14	178.77	82.29	115.16	157.68	206.94	72.52	848.22	796.86	490.14	358.54	836.53	309.83	529.06	1208.34	718.08
KLF8	13.93	28.86	13.22	656.11	595.34	860.08	363.56	921.88	860.08	348.71	764.36	591.22	1008.9	796.86	463.65	1268.46	59.13	67.12	63.0	0.0	69.52	0.66	117.6	9.48	43.32	88.88	13.32	28.04	21.63	1191.69	155.5	3955.48	514.56	1191.69	629.35	1295.13	1191.69	1135.2
LIMK2	314.17	638.15	356.05	1008.9	1583.71	2520.38	915.51	2163.77	2720.15	728.11	2032.85	2303.12	2090.03	1844.76	848.22	2075.59	1183.45	486.75	312.0	0.0	713.11	0.6	551.56	376.41	387.02	307.69	480.04	397.93	447.82	1096.5	1088.92	1674.06	995.0	1977.24	1059.11	2351.53	1781.89	1950.0
LINC00696	0.0	0.0	0.0	3.59	0.0	11.21	4.86	3.92	1.45	9.2	3.72	10.55	3.69	7.0	3.0	5.73	1.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.94	16.27	85.22	0.0	0.0	0.0	0.0	6.67
LTB4R	36.27	110.43	90.77	791.35	3257.52	4066.71	738.29	1498.22	4298.64	1015.93	3690.52	5555.65	4704.07	3768.09	1081.39	3372.43	167.9	82.87	232.94	100.13	134.3	131.51	96.01	201.25	56.68	38.67	32.36	51.71	65.26	1159.07	454.09	5751.61	3794.3	1066.48	1745.2	2384.37	1745.2	5555.65
LTB4R2	2.81	27.64	3.41	204.07	1477.58	2090.03	327.56	808.0	2485.67	392.44	1447.15	3168.41	2209.26	1963.57	444.72	2485.67	40.64	2.63	41.81	0.0	19.97	0.61	17.13	26.47	7.11	5.87	8.51	17.25	5.54	624.99	214.27	2645.74	2240.11	651.58	1023.0	1572.76	1151.06	1508.65
MUC15	0.0	0.0	0.0	134.3	660.68	633.73	249.73	503.95	1088.92	208.38	507.46	536.45	1175.27	525.39	595.34	860.08	1.77	63.89	49.21	175.07	134.3	158.79	67.59	1.43	7.63	117.6	0.0	0.47	0.51	921.88	37.32	4210.15	532.74	1781.89	563.18	1066.48	1757.34	1304.15
NDST1	87.65	110.43	153.34	563.18	743.43	1427.22	753.83	854.13	974.5	285.03	884.29	1096.5	1662.49	1135.2	497.0	1923.14	197.09	229.72	100.83	0.0	395.18	0.4	264.03	131.51	167.9	58.3	111.21	167.9	265.87	1397.83	775.05	2956.17	595.34	1001.93	595.34	1745.2	1457.23	1540.37
OXCT1	61.25	100.83	201.25	153.34	269.6	295.11	246.28	361.04	265.87	144.01	486.75	262.2	332.14	204.07	190.34	536.45	647.07	429.54	246.28	0.0	255.0	0.6	232.94	47.17	190.34	318.57	348.71	70.01	190.34	981.29	603.67	981.29	624.99	733.19	351.14	974.5	579.04	884.29
PACSIN3	473.41	500.46	323.03	1081.39	967.76	1331.57	607.87	1331.57	884.29	423.61	928.3	1051.79	1250.98	1250.98	775.05	1447.15	595.34	429.54	226.54	0.0	293.07	0.77	607.87	547.75	194.36	450.94	301.33	289.02	187.71	1457.23	1447.15	2193.99	2104.58	2287.2	1250.98	2502.97	2287.2	2209.26
PEX26	88.26	197.09	138.1	206.94	154.42	318.57	363.56	339.14	212.78	228.13	214.27	334.46	221.86	312.0	211.31	231.32	170.25	155.5	201.25	283.05	156.59	63.89	279.14	100.83	178.77	141.02	112.77	161.02	94.67	406.31	273.37	320.8	327.56	511.0	260.38	316.37	432.53	106.63
PHC1	79.45	55.49	223.41	273.37	343.89	656.11	525.39	579.04	387.02	236.21	591.22	759.08	890.44	358.54	332.14	947.83	72.01	242.88	155.5	0.0	356.05	0.8	218.79	58.3	133.36	190.34	77.79	152.28	212.78	101.54	102.97	624.99	209.84	660.68	642.59	379.04	145.02	195.72
PHLDB3	169.07	175.07	142.01	981.29	1199.98	3060.45	473.41	1909.85	1639.59	860.08	1191.69	1111.82	2119.22	3146.52	1259.69	6337.83	68.55	228.13	114.36	0.0	231.32	0.46	356.05	83.45	246.28	136.19	85.82	131.51	58.3	1628.26	1167.14	5366.37	1388.16	1832.01	890.44	3039.3	2835.7	3146.52
PLD1	68.07	183.82	77.79	974.5	872.1	1757.34	599.49	1119.56	1733.13	559.28	1909.85	1427.22	4210.15	769.69	743.43	3124.78	199.85	111.99	118.43	0.0	131.51	0.69	108.9	105.15	132.44	98.73	50.27	94.01	119.26	1183.45	769.69	2090.03	551.56	2178.83	309.83	1721.16	1350.18	2255.7
PLEKHM2	226.54	275.28	441.64	1111.82	915.51	1242.34	1023.0	988.12	1088.92	909.17	1225.22	1167.14	1208.34	1001.93	830.75	1259.69	532.74	753.83	579.04	0.0	848.22	0.92	808.0	346.29	684.02	400.71	193.01	316.37	392.44	1417.35	753.83	1991.0	1407.55	1359.57	1051.79	1883.54	1662.49	1923.14
PPP2R3A	28.24	63.0	9.13	95.34	53.19	59.97	43.02	98.73	80.57	42.11	77.79	81.14	73.03	53.95	49.56	105.89	80.57	61.68	70.01	0.0	28.04	0.34	57.08	12.27	73.03	40.07	40.93	47.84	18.43	371.22	144.01	301.33	157.68	195.72	115.16	181.28	215.77	293.07
PTPRF	738.29	1551.09	309.83	1844.76	1733.13	3018.3	3060.45	3614.55	1639.59	1359.57	3443.31	4328.55	2537.92	2090.03	2047.0	3190.46	1216.75	1001.93	1081.39	1359.57	954.43	884.29	1088.92	607.87	1233.75	620.67	616.37	444.72	563.18	2047.0	2895.31	3467.27	1883.54	3419.52	1594.73	3955.48	3589.58	2627.46
RIPK4	49.91	140.04	39.22	3146.52	2875.3	5954.47	791.35	1059.11	1088.92	208.38	1350.18	1936.53	4903.87	1909.85	2555.58	5041.77	215.77	103.69	109.66	0.0	117.6	0.24	96.01	37.05	106.63	50.27	48.18	87.65	27.84	974.5	457.25	4239.45	2400.97	1721.16	947.83	5006.93	2178.83	3419.52
SEPT5	63.89	65.72	66.65	780.44	1001.93	1806.78	842.36	1709.26	1167.14	423.61	1044.52	1508.65	2335.28	1295.13	543.96	2335.28	172.65	269.6	124.37	0.0	412.0	0.91	447.82	155.5	226.54	180.02	75.64	119.26	142.01	2240.11	518.15	9409.14	995.0	1674.06	693.58	2682.69	3349.13	3257.52
SH3PXD2A	164.42	138.1	114.36	466.88	540.19	819.3	540.19	603.67	759.08	373.81	764.36	733.19	902.89	743.43	466.88	1044.52	190.34	248.0	223.41	0.0	275.28	0.71	293.07	52.82	158.79	154.42	101.54	170.25	231.32	941.27	429.54	1388.16	738.29	769.69	511.0	1378.57	723.08	1111.82
SLC12A6	30.34	101.54	35.25	1175.27	928.3	902.89	473.41	679.29	1540.37	454.09	1030.12	647.07	1594.73	1286.18	860.08	1662.49	91.41	77.79	61.25	0.0	94.01	0.61	118.43	129.69	70.01	38.67	24.99	59.13	63.45	559.28	239.52	1369.04	1159.07	656.11	507.46	1023.0	1268.46	1030.12
SLC20A2	660.68	669.92	536.45	2956.17	1044.52	1467.37	1127.35	2875.3	2004.85	1487.87	1769.57	1437.15	1073.91	1427.22	1225.22	1015.93	1304.15	406.31	441.64	0.0	575.03	0.77	334.46	486.75	420.68	466.88	426.57	457.25	334.46	1651.0	954.43	1909.85	3589.58	2148.82	915.51	3589.58	2720.15	3146.52
SLC22A23	65.26	89.51	85.22	651.58	289.02	441.64	660.68	178.77	555.41	176.29	327.56	518.15	698.41	389.72	269.6	624.99	153.34	87.65	8.51	0.0	144.01	0.52	202.66	137.14	205.5	68.07	58.71	86.43	55.49	543.96	1857.6	2335.28	327.56	567.1	305.55	785.88	684.02	890.44
SMAD1	141.02	105.15	182.55	339.14	316.37	368.65	429.54	403.5	429.54	212.78	599.49	642.59	363.56	426.57	320.8	316.37	159.9	215.77	156.59	0.0	285.03	0.35	314.17	189.02	204.07	218.79	157.68	197.09	229.72	460.44	316.37	470.14	229.72	595.34	426.57	341.51	406.31	256.78
SMO	119.26	130.6	158.79	343.89	170.25	267.73	139.07	503.95	228.13	67.59	255.0	444.72	293.07	206.94	138.1	435.55	125.24	132.44	58.3	0.0	246.28	0.54	127.89	36.53	38.4	85.82	202.66	149.12	57.49	141.02	148.09	559.28	156.59	373.81	327.56	1561.89	373.81	248.0
TCEB3	176.29	199.85	234.57	438.59	273.37	397.93	379.04	332.14	406.31	327.56	417.77	438.59	392.44	384.34	287.01	412.0	291.04	348.71	353.59	412.0	341.51	75.11	381.68	260.38	343.89	309.83	236.21	309.83	246.28	947.83	651.58	1081.39	1721.16	629.35	563.18	633.73	775.05	738.29
THEM5	0.0	1.39	0.65	105.89	29.27	26.67	5.45	59.97	175.07	15.91	19.53	37.85	68.07	8.65	21.47	80.57	3.41	1.0	20.26	0.0	6.36	0.22	4.7	52.82	6.46	1.73	0.91	0.0	0.0	4836.35	72.52	9025.81	228.13	361.04	8.32	665.29	2591.27	2591.27
TLE4	45.53	64.34	52.08	165.57	279.14	356.05	361.04	371.22	356.05	285.03	483.38	323.03	379.04	366.09	336.79	500.46	99.43	161.02	74.06	0.0	209.84	0.68	198.47	67.12	72.01	142.01	120.94	98.73	105.89	713.11	249.73	1015.93	642.59	764.36	314.17	928.3	703.28	902.89
TMEM154	8.51	22.1	17.9	486.75	1313.23	2209.26	389.72	1001.93	2720.15	830.75	2537.92	2224.63	4671.57	1477.58	860.08	4388.98	138.1	33.78	18.7	76.17	86.43	66.65	48.18	34.02	11.13	76.17	8.78	17.9	12.83	1340.84	189.02	2090.03	1008.9	1081.39	341.51	2351.53	1304.15	1991.0
TNNT2	3.63	33.06	14.67	88.88	223.41	253.23	73.03	140.04	320.8	265.87	493.56	120.94	559.28	146.03	145.02	529.06	31.0	76.17	4.31	0.0	49.56	0.67	30.34	231.32	22.1	12.55	3.53	18.84	6.73	1806.78	151.22	384.34	110.43	80.01	90.77	540.19	82.87	420.68
TRPS1	10.79	22.26	9.63	224.97	241.19	432.53	264.03	426.57	387.02	325.29	429.54	438.59	503.95	281.09	256.78	543.96	25.35	64.8	88.26	0.0	67.12	0.58	115.97	28.24	21.78	23.59	12.27	10.79	10.16	281.09	142.01	842.36	486.75	426.57	215.77	624.99	435.55	854.13
ULK3	323.03	287.01	764.36	1769.57	1407.55	3955.48	1551.09	2303.12	2075.59	733.19	3168.41	1250.98	4736.79	2976.74	1388.16	6079.61	149.12	490.14	497.0	0.0	532.74	0.68	368.65	981.29	703.28	551.56	466.88	343.89	460.44	1617.0	1286.18	2645.74	660.68	1407.55	1331.57	1896.65	2400.97	1457.23
WDFY2	29.48	13.62	47.84	98.73	195.72	281.09	111.21	325.29	309.83	159.9	309.83	209.84	301.33	177.53	161.02	265.87	178.77	86.43	84.04	0.0	120.94	0.62	94.67	33.78	96.01	61.68	44.25	50.98	48.87	260.38	202.66	738.29	339.14	246.28	353.59	400.71	346.29	334.46
WNT2B	21.01	22.92	37.32	242.88	63.89	102.97	49.56	334.46	85.22	39.5	78.34	60.82	72.52	60.39	43.02	121.79	26.47	28.04	13.83	21.47	22.75	114.36	11.82	14.14	10.39	15.11	10.16	51.71	30.12	139.07	30.12	211.31	36.27	191.67	76.17	152.28	164.42	336.79
ZBTB7C	0.14	16.27	11.21	1467.37	273.37	902.89	579.04	262.2	444.72	34.51	563.18	423.61	1059.11	476.71	194.36	1088.92	4.46	31.67	4.62	0.0	62.56	0.39	50.63	10.08	13.93	9.34	12.74	2.89	1.77	1977.24	1457.23	6337.83	444.72	3103.19	1769.57	3491.39	3190.46	5633.22
ZNF750	1.2	11.04	2.07	3372.43	4481.23	11827.67	1733.13	6652.97	9279.58	1697.45	7280.4	6840.04	12244.81	10368.08	2976.74	25179.16	25.35	43.63	1.53	0.0	79.45	0.2	20.56	8.06	29.06	7.11	1.97	1.55	4.21	9673.69	1883.54	25354.3	6164.49	8078.22	2400.97	20451.65	10512.82	10512.82
