	TCGA.LD.A7W5.01A.22R.A352.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.A2.A4RY.01A.31R.A266.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11OF3.2326.SM.5GU73	GTEX.S4P3.0426.SM.4AD56	GTEX.PSDG.1326.SM.48TD2	GTEX.S7SF.0926.SM.4AD4M	GTEX.T2IS.0826.SM.4DM6L	GTEX.PLZ5.0926.SM.3TW8L	GTEX.11DXX.1126.SM.5GZZK	TCGA.CV.7183.11A.01R.2016.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.HC.7079.01A.11R.1965.07	GTEX.UTHO.2726.SM.4JBH9	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13NZ9.1126.SM.5MR37	GTEX.13VXT.1626.SM.5IJES
IFT140	1008.9	1225.22	703.28	84.04	173.85	148.09	114.36	112.77	444.72	95.34	316.37	185.11	204.07	255.0	134.3	48.87	583.07	387.02	785.88	54.72	98.04	129.69	169.07	49.91	87.03	59.55	995.0	830.75
IL11RA	466.88	656.11	961.07	62.56	341.51	325.29	229.72	269.6	2178.83	153.34	316.37	264.03	708.18	332.14	163.28	73.54	540.19	400.71	703.28	120.94	231.32	161.02	95.34	94.01	90.77	67.59	1977.24	2502.97
KCNIP3	180.02	85.82	158.79	2.05	91.41	59.97	32.13	32.82	339.14	24.63	74.06	49.21	119.26	99.43	57.49	6.16	158.79	108.14	423.61	33.06	5.54	26.67	80.57	26.67	64.8	44.57	954.43	473.41
KRBA1	251.48	283.05	256.78	265.87	162.14	169.07	180.02	169.07	543.96	53.95	199.85	88.88	161.02	163.28	55.89	23.93	297.17	187.71	211.31	27.25	28.45	128.79	76.71	78.34	57.89	35.76	175.07	287.01
KRI1	1183.45	890.44	819.3	612.11	723.08	909.17	587.13	607.87	884.29	392.44	830.75	591.22	878.17	785.88	521.76	132.44	1066.48	791.35	921.88	151.22	438.59	947.83	327.56	500.46	381.68	473.41	1159.07	988.12
KRT4	19.68	0.84	5.82	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	3.109113511E7	12.09	94628.34	46019.85	353168.2	201440.3	172949.54	95949.32	951601.81	90.77	4.86	674.59	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	0.0	8.25
LCA5L	124.37	157.68	97.36	19.11	17.0	35.25	25.17	9.78	17.38	13.42	32.59	33.3	28.24	23.25	8.51	27.05	71.0	27.25	75.11	16.63	8.06	5.23	21.94	2.03	5.68	10.0	47.17	279.14
LRRC29	157.68	149.12	198.47	46.84	41.81	57.89	50.98	48.87	325.29	18.03	74.06	64.8	115.16	47.84	27.25	30.12	177.53	135.24	139.07	38.4	12.18	23.08	45.21	33.54	33.78	14.35	175.07	178.77
LTC4S	193.01	325.29	194.36	249.73	185.11	82.29	107.38	152.28	205.5	37.05	148.09	134.3	309.83	77.79	84.63	53.19	285.03	146.03	223.41	48.87	104.42	52.08	63.89	100.83	61.25	52.45	185.11	323.03
LYSMD1	279.14	387.02	226.54	78.34	125.24	150.17	114.36	128.79	152.28	49.91	158.79	135.24	138.1	152.28	151.22	121.79	170.25	139.07	204.07	70.01	42.11	58.3	154.42	106.63	129.69	84.04	175.07	165.57
MAN1B1	1685.71	1870.53	1883.54	1159.07	1073.91	1143.1	967.76	1151.06	1769.57	808.0	1073.91	1066.48	1477.58	934.76	738.29	1015.93	1417.35	1295.13	1651.0	470.14	698.41	480.04	563.18	651.58	571.05	500.46	1487.87	1529.73
MEF2B	101.54	62.56	189.02	48.52	57.89	44.25	27.05	88.26	171.45	23.25	63.89	46.18	80.01	37.05	19.68	41.52	63.0	289.02	161.02	2.23	23.93	11.55	20.26	34.51	4.39	12.93	409.15	114.36
MOV10	3103.19	1594.73	1540.37	1250.98	1909.85	1529.73	2047.0	1498.22	2193.99	884.29	1685.71	1498.22	1628.26	1208.34	967.76	529.06	2367.9	2193.99	1950.0	343.89	995.0	836.53	1001.93	1151.06	1081.39	483.38	1674.06	1819.35
MUM1	656.11	1111.82	1167.14	356.05	633.73	583.07	432.53	579.04	1066.48	299.25	660.68	629.35	651.58	567.1	341.51	132.44	1066.48	723.08	974.5	108.9	199.85	293.07	281.09	145.02	212.78	126.12	1059.11	1991.0
MYO9B	1909.85	1088.92	1697.45	1081.39	1208.34	1073.91	934.76	1030.12	1857.6	1233.75	1437.15	1088.92	1259.69	1286.18	854.13	232.94	1457.23	2319.15	1250.98	426.57	473.41	1051.79	551.56	518.15	525.39	373.81	2209.26	1268.46
NME3	3124.78	4736.79	3081.75	571.05	1159.07	1437.15	1023.0	1159.07	4704.07	450.94	1304.15	1008.9	1467.37	1066.48	567.1	708.18	4450.27	2351.53	4152.18	339.14	343.89	693.58	521.76	454.09	521.76	470.14	2915.45	6037.61
OBSL1	2796.65	2075.59	2018.8	7.46	543.96	679.29	403.5	483.38	3103.19	265.87	555.41	547.75	941.27	521.76	283.05	84.04	2835.7	1540.37	1733.13	109.66	147.06	231.32	366.09	177.53	206.94	129.69	3146.52	28923.41
PARP10	2075.59	1477.58	1857.6	988.12	1135.2	921.88	1104.13	647.07	1529.73	376.41	1175.27	836.53	1407.55	1617.0	486.75	215.77	1540.37	1844.76	2451.44	154.42	503.95	358.54	379.04	486.75	435.55	253.23	2451.44	2133.97
PARP3	307.69	808.0	759.08	269.6	376.41	353.59	332.14	314.17	579.04	175.07	547.75	251.48	470.14	379.04	201.25	131.51	775.05	738.29	884.29	138.1	171.45	147.06	299.25	228.13	212.78	172.65	961.07	514.56
PIGQ	3589.58	2148.82	1457.23	236.21	647.07	414.87	514.56	540.19	1135.2	343.89	616.37	595.34	780.44	583.07	341.51	190.34	1023.0	785.88	1111.82	205.5	201.25	253.23	368.65	215.77	314.17	212.78	1378.57	2178.83
PIP4K2B	470.14	713.11	836.53	124.37	575.03	397.93	353.59	363.56	775.05	185.11	438.59	373.81	540.19	514.56	327.56	103.69	684.02	679.29	785.88	226.54	289.02	314.17	341.51	217.27	299.25	164.42	802.41	1001.93
PNPLA6	1617.0	1295.13	1051.79	351.14	1457.23	967.76	1167.14	1286.18	1721.16	575.03	1135.2	1111.82	1159.07	1151.06	1051.79	444.72	1467.37	1540.37	1540.37	521.76	486.75	1127.35	813.63	511.0	529.06	595.34	2351.53	1268.46
POFUT2	669.92	830.75	813.63	54.33	241.19	239.52	146.03	177.53	703.28	305.55	400.71	297.17	387.02	336.79	208.38	76.17	647.07	532.74	551.56	41.81	75.11	101.54	103.69	69.03	105.89	44.89	860.08	915.51
PRKCSH	6935.54	6471.02	6426.31	3235.01	3372.43	3614.55	2739.08	2777.33	4543.8	2573.36	4095.0	3716.2	4038.61	3874.05	3491.39	1477.58	7081.29	4972.34	6745.86	2018.8	1870.53	2032.85	2591.27	2032.85	2384.37	2004.85	6164.49	6426.31
PRR3	361.04	287.01	412.0	78.34	197.09	262.2	154.42	165.57	460.44	79.45	267.73	212.78	220.32	180.02	130.6	47.84	373.81	275.28	403.5	55.89	61.25	134.3	87.03	65.72	114.36	60.39	403.5	813.63
PRRC2B	2573.36	2061.24	2319.15	543.96	1674.06	1583.71	1594.73	1832.01	2148.82	1015.93	1259.69	1388.16	1806.78	1685.71	1044.52	220.32	2018.8	1991.0	1769.57	297.17	813.63	808.0	1175.27	802.41	866.07	679.29	2032.85	2193.99
PTOV1	4607.24	4268.94	3847.29	1697.45	2367.9	2664.15	1909.85	2739.08	4972.34	1794.29	3168.41	2451.44	3018.3	2816.11	1674.06	1388.16	5479.15	3235.01	5403.7	836.53	1331.57	1605.83	1896.65	1359.57	1417.35	1277.29	6079.61	8022.41
PYGO2	995.0	1529.73	988.12	679.29	698.41	647.07	638.15	583.07	723.08	253.23	540.19	633.73	708.18	665.29	423.61	293.07	819.3	733.19	866.07	332.14	320.8	279.14	529.06	529.06	507.46	414.87	1119.56	780.44
REPIN1	2875.3	3901.01	2075.59	796.86	1191.69	947.83	1073.91	1250.98	1963.57	595.34	1477.58	1322.37	2061.24	1447.15	1127.35	392.44	1896.65	2018.8	1896.65	275.28	258.57	555.41	791.35	514.56	1023.0	251.48	1977.24	2018.8
RNF44	1225.22	1088.92	1066.48	603.67	909.17	738.29	718.08	785.88	928.3	616.37	1594.73	890.44	1350.18	1259.69	579.04	212.78	878.17	1119.56	808.0	201.25	647.07	651.58	791.35	748.61	567.1	603.67	1572.76	723.08
RP11-347C12.3	66.18	110.43	72.01	8.85	18.43	26.47	8.71	3.44	62.12	0.47	15.8	6.21	47.84	6.57	5.06	2.46	199.85	107.38	264.03	1.81	3.82	7.88	34.51	10.24	4.39	4.31	108.9	150.17
RPAIN	1023.0	934.76	775.05	660.68	575.03	536.45	511.0	529.06	629.35	366.09	825.0	633.73	651.58	902.89	351.14	603.67	884.29	679.29	928.3	314.17	470.14	305.55	341.51	476.71	400.71	309.83	669.92	1331.57
SH2B1	1175.27	1909.85	1572.76	444.72	848.22	679.29	620.67	819.3	2133.97	579.04	1167.14	954.43	1498.22	1044.52	483.38	248.0	1617.0	1119.56	1561.89	176.29	397.93	346.29	693.58	371.22	366.09	242.88	2075.59	2573.36
SIGIRR	1697.45	2193.99	1397.83	785.88	848.22	738.29	583.07	836.53	2777.33	444.72	1191.69	769.69	1135.2	532.74	486.75	579.04	1709.26	1733.13	2816.11	217.27	121.79	412.0	540.19	368.65	236.21	181.28	2701.35	2417.67
SLC25A42	253.23	190.34	234.57	69.52	127.89	105.89	166.73	139.07	473.41	38.12	182.55	150.17	246.28	145.02	62.12	99.43	264.03	299.25	470.14	33.06	62.12	97.36	68.55	57.49	57.89	38.67	1008.9	974.5
SLC26A11	400.71	503.95	575.03	135.24	226.54	193.01	204.07	186.4	674.59	111.99	256.78	236.21	251.48	249.73	113.56	67.59	651.58	435.55	551.56	41.22	22.26	73.54	96.01	82.29	52.08	73.03	830.75	555.41
SLC35C2	1572.76	1191.69	1417.35	743.43	1259.69	1044.52	909.17	1059.11	1242.34	633.73	1216.75	1127.35	1369.04	1135.2	842.36	718.08	1304.15	1359.57	1208.34	620.67	660.68	417.77	860.08	896.64	769.69	665.29	1477.58	1844.76
STARD3	1529.73	1295.13	1551.09	647.07	1572.76	1286.18	1167.14	1088.92	1529.73	651.58	1388.16	1001.93	1639.59	1467.37	753.83	718.08	1277.29	1477.58	1832.01	343.89	748.61	854.13	656.11	780.44	571.05	420.68	1923.14	2061.24
STX4	2287.2	1936.53	1639.59	1143.1	1529.73	1304.15	1111.82	1268.46	1709.26	1037.29	1427.22	1051.79	1313.23	1407.55	1096.5	500.46	1583.71	1651.0	1594.73	872.1	1540.37	1081.39	947.83	981.29	915.51	1001.93	1685.71	1605.83
TATDN2	514.56	490.14	583.07	409.15	521.76	460.44	466.88	490.14	525.39	460.44	599.49	470.14	759.08	571.05	426.57	239.52	733.19	753.83	579.04	320.8	384.34	371.22	429.54	555.41	438.59	366.09	934.76	651.58
TBC1D17	1199.98	1487.87	1498.22	543.96	1191.69	1369.04	1044.52	1037.29	1963.57	575.03	1104.13	884.29	1037.29	1199.98	521.76	441.64	1447.15	1159.07	1685.71	417.77	514.56	381.68	872.1	476.71	591.22	575.03	1594.73	2835.7
THAP3	423.61	769.69	563.18	339.14	363.56	341.51	262.2	301.33	796.86	145.02	348.71	323.03	444.72	351.14	236.21	297.17	679.29	444.72	825.0	191.67	128.79	204.07	231.32	181.28	159.9	201.25	836.53	909.17
TJAP1	733.19	890.44	860.08	234.57	529.06	497.0	329.84	325.29	1233.75	260.38	575.03	429.54	713.11	595.34	279.14	147.06	866.07	723.08	813.63	108.9	138.1	123.5	318.57	198.47	120.94	76.17	988.12	1277.29
TMEM129	743.43	1008.9	878.17	265.87	612.11	400.71	463.65	684.02	1794.29	318.57	723.08	819.3	1030.12	693.58	638.15	258.57	1183.45	791.35	1295.13	267.73	307.69	220.32	559.28	447.82	463.65	312.0	1721.16	1923.14
TMEM133	38.67	64.8	100.13	7.57	22.59	27.44	20.11	25.54	297.17	25.72	92.05	71.0	81.14	54.72	30.78	12.74	80.01	85.82	78.34	28.04	26.86	15.34	22.1	22.43	27.44	49.21	149.12	120.1
TMEM8B	521.76	406.31	595.34	81.71	127.0	116.78	108.9	146.03	836.53	98.04	183.82	150.17	249.73	194.36	86.43	51.35	587.13	450.94	579.04	17.38	22.1	54.72	119.26	65.72	46.5	13.62	409.15	1447.15
TNFRSF14	2240.11	3103.19	2796.65	514.56	1417.35	934.76	1151.06	1111.82	4769.75	551.56	2209.26	1457.23	2451.44	1268.46	684.02	395.18	2976.74	4802.93	3280.18	126.12	438.59	287.01	525.39	285.03	297.17	256.78	2875.3	3124.78
UBA7	1135.2	1477.58	1721.16	438.59	1030.12	974.5	1127.35	884.29	4298.64	460.44	2163.77	1268.46	2287.2	1457.23	733.19	262.2	2255.7	2609.3	1662.49	100.13	486.75	176.29	387.02	579.04	249.73	55.89	2816.11	2468.49
UBTF	1709.26	1709.26	1832.01	1199.98	1427.22	1572.76	1143.1	1250.98	1467.37	848.22	1286.18	1175.27	1397.83	1407.55	961.07	441.64	1447.15	1437.15	1508.65	896.64	1051.79	1051.79	967.76	825.0	1037.29	651.58	2193.99	1896.65
UQCC1	599.49	769.69	684.02	384.34	647.07	490.14	490.14	547.75	1023.0	406.31	791.35	540.19	743.43	743.43	595.34	476.71	723.08	486.75	624.99	444.72	500.46	466.88	490.14	450.94	387.02	287.01	764.36	866.07
XAB2	1572.76	1551.09	1407.55	460.44	785.88	642.59	708.18	753.83	1044.52	490.14	836.53	703.28	780.44	713.11	483.38	297.17	1487.87	947.83	1044.52	253.23	384.34	435.55	567.1	379.04	447.82	414.87	1175.27	2061.24
YPEL3	4450.27	4972.34	3212.66	3395.89	3235.01	2178.83	4358.66	3901.01	5076.84	1709.26	2758.13	3018.3	3540.14	2895.31	1594.73	1583.71	3847.29	3928.15	4512.4	1104.13	1104.13	708.18	3039.3	1977.24	1883.54	2682.69	3146.52	4543.8
ZBTB12	309.83	423.61	182.55	120.1	80.57	91.41	42.71	50.27	75.64	18.29	79.45	91.41	102.25	98.04	41.52	22.1	169.07	95.34	175.07	31.45	43.02	52.45	58.3	31.45	43.94	18.43	166.73	309.83
ZC3H10	161.02	297.17	197.09	52.45	158.79	104.42	100.13	99.43	182.55	35.0	104.42	120.1	132.44	144.01	102.97	105.89	226.54	189.02	214.27	140.04	56.28	85.22	129.69	84.04	102.25	62.56	223.41	318.57
ZDHHC7	941.27	679.29	713.11	379.04	624.99	842.36	521.76	651.58	1030.12	607.87	1001.93	651.58	819.3	866.07	665.29	265.87	896.64	1044.52	1023.0	420.68	279.14	376.41	559.28	551.56	529.06	460.44	1008.9	878.17
ZGPAT	981.29	791.35	791.35	379.04	642.59	638.15	567.1	624.99	878.17	497.0	743.43	571.05	785.88	547.75	351.14	242.88	764.36	713.11	718.08	199.85	429.54	543.96	463.65	547.75	473.41	384.34	848.22	1044.52
ZNF174	269.6	303.44	244.57	106.63	147.06	157.68	146.03	165.57	285.03	75.64	129.69	166.73	185.11	162.14	115.97	98.04	301.33	185.11	228.13	98.73	95.34	63.0	125.24	143.01	124.37	96.68	234.57	400.71
ZNF205	612.11	698.41	511.0	215.77	251.48	291.04	231.32	223.41	571.05	126.12	265.87	218.79	320.8	318.57	137.14	113.56	518.15	218.79	432.53	125.24	163.28	120.94	277.2	183.82	204.07	194.36	353.59	656.11
ZNF415	132.44	175.07	242.88	38.67	46.5	41.52	51.71	100.13	450.94	37.32	70.01	136.19	105.89	42.41	27.44	21.47	198.47	132.44	387.02	17.0	10.08	2.97	29.7	28.24	7.28	8.13	363.56	166.73
ZNF454	8.65	13.93	32.36	1.31	6.57	2.71	3.44	5.54	39.22	5.87	15.22	11.64	11.82	9.78	1.68	2.01	24.28	20.41	44.89	4.62	0.14	1.79	6.11	1.27	6.16	0.19	45.21	42.71
ZNF527	66.65	57.89	100.13	10.0	37.05	31.22	29.27	35.76	140.04	39.5	65.72	63.89	68.07	39.79	25.91	57.89	70.51	67.12	114.36	65.26	38.67	18.03	39.5	35.5	40.07	22.43	108.9	133.36
ZNF577	514.56	287.01	669.92	83.45	126.12	111.21	108.14	186.4	1313.23	71.5	255.0	253.23	441.64	241.19	44.89	34.51	753.83	256.78	738.29	17.51	40.36	18.16	46.5	35.25	43.94	16.03	872.1	1250.98
ZNF594	75.64	102.25	120.94	16.27	34.26	34.51	41.52	35.25	98.04	14.35	66.65	59.97	80.57	87.65	18.56	5.11	125.24	104.42	139.07	7.11	4.7	12.74	29.06	6.41	13.22	1.35	224.97	118.43
ZNF653	251.48	258.57	246.28	97.36	139.07	103.69	105.15	161.02	287.01	141.02	170.25	145.02	236.21	182.55	120.1	74.58	327.56	194.36	228.13	84.04	143.01	49.21	145.02	89.51	107.38	163.28	285.03	389.72
ZNF667	21.47	109.66	133.36	0.11	23.76	31.9	26.67	21.78	123.5	8.32	38.95	30.56	51.71	35.5	19.25	2.25	158.79	87.03	114.36	1.33	1.28	1.3	4.13	2.27	0.72	0.39	172.65	518.15
ZNF691	371.22	406.31	332.14	191.67	164.42	155.5	119.26	138.1	351.14	57.89	177.53	198.47	193.01	182.55	131.51	115.97	441.64	253.23	381.68	105.15	30.34	112.77	147.06	77.25	84.04	57.89	389.72	567.1
ZNF775	708.18	708.18	473.41	169.07	197.09	159.9	186.4	220.32	1322.37	84.63	336.79	244.57	441.64	297.17	106.63	73.54	551.56	555.41	884.29	39.22	81.14	94.01	91.41	87.03	71.5	78.89	860.08	1794.29
ZSCAN21	211.31	470.14	253.23	82.29	144.01	234.57	86.43	111.99	339.14	56.28	163.28	106.63	166.73	143.01	100.83	83.45	356.05	194.36	271.48	64.34	40.64	55.89	120.1	75.64	70.01	48.52	249.73	264.03
ZSCAN30	237.86	255.0	277.2	108.14	137.14	141.02	153.34	121.79	450.94	76.17	171.45	156.59	205.5	220.32	93.35	85.22	241.19	246.28	256.78	36.79	41.52	43.63	90.77	46.18	55.89	25.91	332.14	500.46
ZSCAN9	426.57	463.65	429.54	91.41	146.03	173.85	132.44	119.26	791.35	95.34	221.86	185.11	228.13	187.71	70.01	70.01	441.64	246.28	447.82	46.5	36.53	48.18	118.43	59.13	71.5	37.59	392.44	363.56
