	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.BC.A112.01A.11R.A131.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.13N11.0926.SM.5IJG2	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AARR.01A.11R.A41B.07	TCGA.97.8552.01A.11R.2403.07	TCGA.NJ.A55A.01A.11R.A262.07	TCGA.91.6835.11A.01R.1858.07	TCGA.55.6986.11A.01R.1949.07	TCGA.50.6595.11A.01R.1858.07	GTEX.P44H.1126.SM.48TBU	GTEX.145MH.0626.SM.5NQAK	GTEX.12696.1026.SM.5FQUV	GTEX.PWOO.0726.SM.2I3EB	GTEX.UPK5.1126.SM.3GAEJ	GTEX.13QBU.1626.SM.5LU4S
CCDC39	209.84	237.86	2.97	3.29	7.88	8.51	8.99	0.0	454.09	205.5	366.09	356.05	348.71	57.08	137.14	454.09	193.01	25.35	142.01	19.68
CCDC40	277.2	2777.33	87.65	80.01	63.0	67.59	36.79	0.0	1709.26	563.18	769.69	860.08	629.35	92.7	226.54	1030.12	215.77	242.88	320.8	264.03
CCDC42B	4358.66	30572.63	2.94	35.76	5.23	1.41	1.79	0.0	2537.92	1167.14	1950.0	1369.04	1159.07	119.26	159.9	2255.7	314.17	260.38	353.59	21.47
CCDC60	988.12	5147.73	0.0	1.03	0.0	1.33	0.0	0.0	525.39	150.17	423.61	241.19	262.2	35.25	44.25	1023.0	91.41	51.71	281.09	15.34
CCDC65	713.11	5954.47	25.91	27.64	19.11	6.84	10.63	0.0	1073.91	466.88	967.76	723.08	775.05	89.51	124.37	1331.57	275.28	127.89	397.93	54.72
CCDC67	24.99	209.84	1.23	0.0	0.42	0.0	0.0	0.0	57.08	27.44	35.25	57.89	52.08	6.89	17.51	88.88	29.27	8.71	38.67	4.31
CCDC78	5006.93	31650.8	36.01	13.93	13.83	6.73	6.16	0.0	6207.38	3280.18	5872.48	3820.7	2591.27	217.27	532.74	6471.02	921.88	703.28	866.07	65.26
CCDC81	76.17	543.96	126.12	11.91	15.34	12.09	5.28	0.0	265.87	185.11	521.76	358.54	197.09	71.5	29.06	293.07	83.45	32.82	165.57	114.36
CCDC96	417.77	1844.76	33.78	18.43	27.84	21.63	30.78	0.0	718.08	299.25	607.87	473.41	511.0	70.51	95.34	547.75	178.77	105.89	269.6	104.42
CD164L2	1096.5	2976.74	1.71	0.0	0.0	1.08	1.16	0.0	1519.15	860.08	1104.13	1369.04	679.29	80.01	208.38	1936.53	368.65	281.09	409.15	14.03
CDS1	279.14	414.87	60.82	16.03	2.34	4.43	10.16	0.0	988.12	620.67	954.43	633.73	743.43	339.14	229.72	878.17	228.13	248.0	463.65	23.25
CHDC2	438.59	3303.0	0.0	0.71	8.32	0.69	0.0	0.0	50.63	33.78	72.52	53.19	69.03	8.45	2.18	52.82	11.13	9.56	24.81	0.0
CHST5	30.12	27.64	0.85	0.0	0.0	6.41	0.02	0.0	44.57	29.7	31.67	28.86	47.17	0.97	9.85	31.45	3.2	2.71	3.29	25.17
CHST9	1977.24	11827.67	37.59	275.28	84.04	7.28	85.22	0.0	1066.48	441.64	1277.29	420.68	848.22	60.39	267.73	3443.31	490.14	30.12	642.59	0.0
CXorf22	384.34	3768.09	0.0	0.37	7.82	0.36	0.0	0.0	119.26	31.45	57.89	48.87	48.18	8.25	11.38	50.27	9.13	7.63	16.63	0.0
CXorf30	1119.56	15499.21	0.0	0.47	9.48	4.82	0.08	0.0	305.55	110.43	275.28	147.06	194.36	16.51	15.8	199.85	32.36	28.86	56.28	17.9
DLEC1	1639.59	13586.57	12.83	2.84	3.76	1.79	50.63	0.0	2018.8	878.17	1015.93	896.64	769.69	73.03	211.31	1519.15	147.06	195.72	450.94	18.56
DNAAF1	12415.75	72213.45	40.07	0.84	1.51	58.3	11.82	0.0	4903.87	1781.89	4704.07	2520.38	2104.58	198.47	395.18	3124.78	802.41	444.72	1037.29	20.11
DNAAF3	2303.12	9088.59	23.42	57.08	6.21	10.96	18.97	0.0	2720.15	1037.29	1991.0	2004.85	1277.29	104.42	197.09	2502.97	389.72	381.68	854.13	4.82
DNAH1	301.33	624.99	57.89	51.35	215.77	92.7	72.01	0.0	974.5	406.31	595.34	543.96	500.46	149.12	412.0	1551.09	320.8	167.9	199.85	153.34
DNAH10	242.88	1639.59	88.88	12.55	3.32	4.21	3.11	0.0	954.43	376.41	728.11	647.07	591.22	69.03	139.07	947.83	144.01	158.79	389.72	32.82
DNAH12	4152.18	21320.18	2.94	20.56	31.45	34.26	3.32	0.0	1639.59	688.78	1685.71	1037.29	1037.29	60.82	139.07	1896.65	206.94	187.71	532.74	4.74
DNAH2	571.05	1896.65	4.58	4.06	0.71	3.2	2.81	0.0	860.08	351.14	665.29	392.44	341.51	52.45	94.67	954.43	152.28	100.83	267.73	2.78
DNAH6	131.51	738.29	9.56	20.11	7.75	5.68	19.53	0.0	420.68	124.37	325.29	275.28	234.57	23.08	106.63	620.67	68.07	65.26	156.59	121.79
DNAH7	1870.53	7433.4	7.22	15.56	15.34	5.87	2.01	0.0	713.11	318.57	607.87	432.53	486.75	46.18	66.18	988.12	108.14	89.51	251.48	72.52
DNAH9	4512.4	95949.32	8.38	0.38	0.0	1.06	10.79	0.0	2209.26	802.41	2193.99	1467.37	1447.15	133.36	323.03	3303.0	457.25	387.02	769.69	251.48
DNAI1	4769.75	19892.37	18.7	0.0	7.46	0.85	10.79	0.0	2835.7	890.44	2271.4	1572.76	1233.75	101.54	167.9	1870.53	289.02	267.73	738.29	185.11
DNAI2	3690.52	13123.73	0.0	3.23	0.89	0.0	0.0	0.0	1832.01	728.11	1225.22	974.5	1001.93	53.95	130.6	2178.83	256.78	253.23	543.96	14.67
DNAJA4	954.43	1191.69	224.97	31.9	37.59	41.22	32.13	0.0	3325.99	1936.53	3039.3	2061.24	2976.74	363.56	387.02	2335.28	381.68	314.17	1059.11	202.66
DNAJB13	53973.86	191899.64	5.59	11.47	3.66	4.46	5.77	0.0	1119.56	708.18	854.13	679.29	575.03	53.57	120.1	2485.67	194.36	169.07	368.65	88.26
DRC1	4736.79	40904.3	1.68	2.43	3.08	6.11	3.17	0.0	1407.55	417.77	1175.27	1639.59	1322.37	67.59	119.26	1447.15	289.02	187.71	555.41	127.0
DTHD1	312.0	1572.76	6.26	0.48	3.96	0.48	0.72	0.0	656.11	224.97	476.71	435.55	486.75	81.14	75.64	909.17	95.34	26.1	186.4	9.63
DYDC2	23492.92	82951.62	0.0	2.78	0.0	5.5	172.65	0.0	1059.11	1015.93	1769.57	1111.82	890.44	116.78	281.09	2537.92	260.38	189.02	1059.11	0.0
DYNC2H1	327.56	674.59	100.13	41.81	48.52	52.82	50.98	0.0	836.53	423.61	909.17	872.1	860.08	293.07	334.46	1561.89	463.65	241.19	642.59	536.45
DYNLRB2	1733.13	20737.16	16.75	44.89	34.75	5.73	32.59	0.0	2520.38	1135.2	3280.18	2367.9	2178.83	153.34	387.02	4769.75	723.08	441.64	1685.71	323.03
DZIP1L	214.27	224.97	83.45	26.47	31.9	10.16	54.33	0.0	1037.29	368.65	718.08	507.46	529.06	115.16	392.44	1950.0	392.44	140.04	287.01	688.78
ECT2L	44.25	189.02	1.27	0.89	0.87	1.73	0.43	0.0	703.28	135.24	802.41	273.37	490.14	37.85	99.43	638.15	115.16	30.56	191.67	19.39
EFCAB10	363.56	909.17	7.63	6.73	8.99	4.58	5.23	0.0	890.44	325.29	872.1	624.99	669.92	86.43	76.17	1427.22	212.78	75.64	283.05	28.86
EFCAB12	1216.75	5329.3	15.22	24.81	9.34	256.78	215.77	0.0	743.43	368.65	660.68	703.28	599.49	73.54	108.14	1037.29	180.02	114.36	420.68	29.27
EFCAB6	127.0	813.63	10.96	22.26	9.48	9.34	5.11	0.0	346.29	157.68	299.25	260.38	246.28	39.5	38.67	503.95	74.06	66.18	113.56	22.43
EFHC1	1119.56	2209.26	92.05	128.79	149.12	52.08	38.67	0.0	2701.35	1073.91	2835.7	1781.89	1519.15	279.14	493.56	2417.67	397.93	412.0	665.29	287.01
EFHC2	470.14	3349.13	12.09	19.53	0.55	0.0	1.35	0.0	361.04	358.54	532.74	389.72	503.95	66.65	82.87	708.18	115.16	98.73	185.11	884.29
ENKUR	1685.71	17197.56	4.13	2.16	23.25	17.38	3.99	0.0	1350.18	579.04	1259.69	961.07	1015.93	98.73	37.59	2591.27	198.47	79.45	723.08	16.03
ENO4	76.71	187.71	5.92	27.25	6.78	5.23	4.94	0.0	283.05	105.89	237.86	154.42	151.22	33.06	58.71	142.01	39.22	9.06	65.26	64.8
EYA1	129.69	217.27	2.51	80.01	1.48	0.0	0.16	0.0	226.54	59.55	183.82	95.34	140.04	18.16	40.07	358.54	39.5	12.83	87.65	0.0
FAM154B	218.79	728.11	49.56	1.66	4.28	10.31	12.74	0.0	2104.58	872.1	1896.65	1467.37	1295.13	162.14	281.09	2417.67	466.88	231.32	753.83	111.99
FAM166B	4869.99	49322.93	6.31	4.24	17.64	37.05	15.0	0.0	3614.55	1277.29	2193.99	2004.85	1709.26	158.79	253.23	3103.19	708.18	329.84	1119.56	128.79
FAM179A	1008.9	3665.02	12.55	38.4	26.67	16.88	5.23	0.0	1721.16	878.17	1674.06	1259.69	1008.9	115.16	121.79	1745.2	275.28	175.07	473.41	31.9
FAM183A	7911.95	29327.18	19.82	49.56	30.34	15.68	19.39	0.0	6699.25	3467.27	7749.1	8901.53	5006.93	432.53	748.61	7911.95	1769.57	780.44	3146.52	49.21
FAM216B	4181.07	51417.5	0.41	0.0	0.96	0.0	0.0	0.0	1417.35	629.35	1457.23	1313.23	1487.87	218.79	441.64	3690.52	579.04	107.38	878.17	0.0
FAM227A	111.21	389.72	1.31	6.46	5.54	0.64	3.63	0.0	297.17	153.34	202.66	153.34	153.34	18.03	20.41	265.87	35.25	49.21	130.6	38.67
FAM92B	8718.32	32315.87	52.82	0.0	0.38	0.39	0.33	0.0	2193.99	890.44	2104.58	1467.37	1119.56	82.29	231.32	2417.67	403.5	229.72	748.61	0.0
FANK1	1498.22	8305.36	91.41	9.93	7.46	3.86	17.51	0.0	2287.2	884.29	1709.26	1199.98	1073.91	92.05	269.6	2303.12	314.17	299.25	525.39	457.25
FHAD1	1159.07	3874.05	66.65	8.99	12.74	9.27	13.72	0.0	1457.23	392.44	1167.14	860.08	808.0	126.12	127.89	1286.18	332.14	223.41	457.25	38.67
GAS2L2	2434.5	16157.44	1.25	0.0	0.0	0.0	0.27	0.0	764.36	376.41	587.13	518.15	466.88	39.79	100.83	1088.92	136.19	105.89	237.86	0.0
GP5	2.97	6.78	0.84	0.51	0.87	0.49	0.22	0.0	18.84	7.28	12.27	9.27	11.91	4.21	0.92	17.51	1.97	2.03	6.67	3.89
HYDIN	205.5	1529.73	28.65	4.5	6.36	7.17	15.11	0.0	1104.13	387.02	780.44	896.64	764.36	88.26	147.06	1088.92	159.9	109.66	303.44	186.4
IFLTD1	150.17	896.64	0.0	0.0	0.0	0.0	0.0	0.0	275.28	89.51	190.34	157.68	156.59	16.39	36.53	171.45	46.5	17.38	96.01	0.0
IFT172	1030.12	1594.73	256.78	688.78	323.03	127.0	127.0	0.0	2609.3	1388.16	2271.4	1909.85	1551.09	400.71	764.36	3081.75	780.44	941.27	1059.11	466.88
IL5RA	86.43	217.27	30.34	0.0	0.0	0.0	0.0	0.0	201.25	88.26	185.11	241.19	177.53	52.08	72.01	480.04	140.04	13.83	111.99	1.58
IQCD	713.11	4066.71	60.82	56.68	13.42	17.64	7.75	0.0	872.1	312.0	780.44	579.04	529.06	60.39	65.26	1073.91	204.07	74.06	299.25	83.45
IQCG	1119.56	6207.38	171.45	343.89	140.04	87.03	175.07	0.0	1832.01	842.36	1923.14	1583.71	1378.57	251.48	397.93	3564.78	698.41	438.59	791.35	555.41
KCNRG	327.56	1617.0	6.67	0.0	2.48	0.95	1.35	0.0	713.11	316.37	684.02	540.19	571.05	53.95	105.15	954.43	201.25	74.06	273.37	44.89
KIAA0556	500.46	559.28	125.24	312.0	127.89	125.24	103.69	0.0	921.88	435.55	607.87	633.73	529.06	182.55	332.14	1030.12	277.2	265.87	397.93	327.56
KIF19	137.14	379.04	15.91	1.17	2.56	3.35	28.24	0.0	660.68	279.14	660.68	629.35	536.45	48.18	78.89	995.0	229.72	105.15	234.57	5.68
LPPR3	1073.91	13968.57	13.72	0.82	0.0	3.86	1.28	136.19	525.39	295.11	444.72	325.29	366.09	53.95	79.45	1950.0	161.02	44.25	66.18	0.0
LRGUK	39.5	232.94	2.14	7.34	4.43	13.03	0.48	0.0	159.9	57.08	116.78	77.25	67.12	10.96	33.3	108.9	24.99	7.22	31.45	6.31
LRRC10B	141.02	698.41	14.45	8.99	0.85	8.45	0.51	0.0	1662.49	612.11	1104.13	1037.29	1081.39	105.89	148.09	3372.43	316.37	287.01	591.22	466.88
LRRC18	536.45	2351.53	0.0	1.13	0.0	0.0	0.0	0.0	387.02	137.14	348.71	295.11	297.17	48.52	68.55	490.14	204.07	62.56	195.72	0.0
LRRC23	2255.7	15392.14	329.84	173.85	133.36	127.0	182.55	0.0	4095.0	2133.97	4152.18	3982.99	3280.18	579.04	698.41	4903.87	1250.98	708.18	1605.83	273.37
LRRC46	3614.55	17927.91	23.08	55.49	42.11	29.06	17.38	0.0	3742.05	1733.13	4181.07	3190.46	3081.75	234.57	295.11	4123.49	633.73	373.81	1487.87	85.82
LRRC48	896.64	6745.86	68.07	47.84	129.69	21.63	28.24	0.0	2956.17	1159.07	2855.44	1844.76	1733.13	176.29	287.01	2956.17	603.67	279.14	656.11	205.5
LRRC49	167.9	251.48	60.39	35.25	11.55	7.28	60.39	0.0	353.59	170.25	389.72	312.0	329.84	100.13	62.56	638.15	231.32	76.71	303.44	400.71
LRRC56	303.44	540.19	21.94	19.97	9.85	17.64	3.5	0.0	547.75	289.02	463.65	438.59	389.72	62.56	147.06	1781.89	146.03	110.43	111.99	18.03
LRRC71	1487.87	6983.79	0.91	2.07	2.01	0.61	1.68	0.0	974.5	466.88	713.11	825.0	620.67	60.39	101.54	1628.26	197.09	133.36	320.8	21.94
LRRIQ1	327.56	2119.22	4.21	20.26	6.16	2.46	0.75	0.0	620.67	241.19	796.86	532.74	656.11	69.03	105.15	842.36	149.12	110.43	289.02	72.01
MAP3K19	2400.97	68793.23	2.53	0.92	0.47	0.0	0.0	0.0	738.29	241.19	748.61	454.09	476.71	45.85	88.26	954.43	93.35	71.5	237.86	71.0
MARCH10	500.46	1088.92	0.42	8.85	0.0	1.99	1.99	0.0	825.0	366.09	866.07	753.83	547.75	54.72	115.97	500.46	116.78	99.43	215.77	39.5
MOBP	1.77	26.28	2.56	1.51	0.53	1.5	0.49	0.0	115.16	45.85	82.87	95.34	102.25	13.72	29.91	147.06	34.51	21.01	5.77	21.01
MORN3	197.09	571.05	36.79	0.99	3.11	4.1	10.63	0.0	540.19	211.31	381.68	320.8	291.04	48.52	59.55	607.87	133.36	89.51	146.03	19.68
MORN5	647.07	2835.7	14.45	0.0	8.38	0.0	0.0	0.0	2835.7	1008.9	2796.65	2224.63	1806.78	153.34	392.44	4512.4	723.08	384.34	1806.78	2224.63
MROH9	248.0	660.68	0.0	0.0	0.0	0.0	0.0	0.0	151.22	62.12	190.34	198.47	154.42	32.82	21.32	111.99	35.5	38.4	97.36	4.31
MYCBPAP	76.71	214.27	4.7	0.0	9.78	6.78	1.89	0.0	642.59	297.17	389.72	269.6	214.27	31.0	32.13	387.02	67.12	38.4	75.64	91.41
NEK10	379.04	1167.14	5.82	48.87	4.35	5.5	15.56	0.0	902.89	318.57	708.18	327.56	497.0	55.89	101.54	463.65	103.69	91.41	191.67	1.71
NEK5	64.34	854.13	1.25	6.11	0.42	16.03	0.26	0.0	595.34	199.85	460.44	316.37	392.44	40.64	78.89	426.57	85.82	66.18	183.82	0.0
NHLRC4	444.72	2224.63	32.82	4.78	6.36	6.11	1.97	0.0	665.29	275.28	612.11	358.54	444.72	63.89	91.41	902.89	197.09	79.45	120.1	52.82
NME9	1923.14	3039.3	14.24	7.17	6.52	0.95	2.97	0.0	825.0	361.04	674.59	536.45	493.56	50.27	138.1	1051.79	162.14	100.83	217.27	57.49
NOXRED1	24.46	30.56	1.69	3.76	5.92	6.94	1.23	0.0	49.56	21.63	30.56	23.25	29.48	5.02	10.39	29.91	8.51	12.36	10.55	13.42
NWD1	3742.05	45386.27	2.43	0.41	2.34	0.4	0.29	0.0	514.56	155.5	473.41	170.25	239.52	29.06	37.59	1268.46	84.63	20.26	102.97	3.56
PIH1D3	2075.59	8538.88	0.0	0.0	0.0	0.0	0.0	0.0	457.25	156.59	457.25	325.29	392.44	39.22	34.26	738.29	97.36	34.02	239.52	0.0
PPP1R32	603.67	878.17	31.67	23.08	42.41	69.03	76.17	0.0	1651.0	674.59	1733.13	1806.78	1096.5	201.25	447.82	1745.2	320.8	255.0	503.95	91.41
RABL2A	656.11	1159.07	125.24	114.36	275.28	161.02	122.64	0.0	1674.06	1350.18	1963.57	1388.16	1322.37	392.44	500.46	2434.5	693.58	361.04	743.43	529.06
