	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A22L.01A.11R.A180.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.ET.A3DS.01A.11R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A3W9.01A.11R.A22L.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.FY.A3WA.01A.11R.A22L.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A2CJ.01A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
CBY1	0.0	0.34	525.39	866.07	769.69	579.04	603.67	595.34	723.08	967.76	748.61	480.04	890.44	674.59	591.22	909.17	1551.09	1477.58	1733.13	1073.91	836.53	1304.15	1023.0	1388.16	896.64	1498.22	1417.35	1498.22	1487.87	1781.89	1250.98	1295.13	1191.69	1498.22	1388.16	1529.73	1151.06	1950.0	1199.98	1277.29	928.3	1135.2	1044.52	1208.34	1322.37	1487.87	902.89	1508.65	1487.87
CCDC54	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.38	0.0	2.68	0.41	1.46	1.51	0.0	3.2	1.45	2.68	1.66	3.53	3.59	0.91	4.43	2.68	1.66	5.73	0.93	2.56	0.0	0.93	1.87	0.99	3.5	3.47	1.17	1.25	4.86	1.22	0.0	0.97	1.71	1.66	0.68	3.06	0.0	1.0	0.68	1.83
CDO1	0.0	0.28	303.44	9.2	180.02	59.55	17.64	121.79	127.89	6.94	214.27	37.05	287.01	5.36	82.87	15.56	409.15	629.35	400.71	175.07	67.59	738.29	20.71	260.38	248.0	271.48	264.03	289.02	909.17	624.99	68.07	796.86	185.11	138.1	1208.34	813.63	217.27	476.71	148.09	118.43	85.82	152.28	10.71	27.64	151.22	511.0	75.11	63.45	460.44
CIB2	0.0	0.38	91.41	139.07	81.71	62.56	85.82	173.85	164.42	111.99	249.73	116.78	131.51	28.24	175.07	162.14	314.17	251.48	236.21	119.26	57.08	198.47	87.65	186.4	215.77	166.73	486.75	162.14	209.84	212.78	221.86	204.07	113.56	327.56	154.42	373.81	133.36	332.14	195.72	92.7	283.05	170.25	84.04	107.38	199.85	44.25	194.36	320.8	291.04
COLEC12	0.0	0.42	21.32	43.94	22.1	8.13	41.22	5.19	14.24	10.24	23.76	14.14	78.34	18.29	15.45	12.55	262.2	466.88	384.34	197.09	51.71	237.86	1.95	120.94	104.42	693.58	239.52	728.11	567.1	336.79	115.97	669.92	271.48	285.03	819.3	1167.14	229.72	191.67	43.94	19.97	69.03	76.17	13.03	32.36	75.64	161.02	70.01	78.89	260.38
CPXM2	0.0	0.29	37.32	28.45	13.72	4.9	52.82	17.13	5.82	44.57	70.01	34.02	167.9	25.72	22.59	24.81	265.87	264.03	563.18	228.13	49.91	118.43	30.34	371.22	85.22	878.17	480.04	848.22	674.59	547.75	148.09	808.0	293.07	271.48	872.1	665.29	90.77	595.34	84.04	80.01	126.12	40.64	22.75	48.87	124.37	154.42	74.06	99.43	318.57
CTF1	253.23	215.77	170.25	165.57	176.29	412.0	212.78	291.04	102.25	212.78	293.07	226.54	291.04	336.79	295.11	327.56	463.65	493.56	842.36	358.54	232.94	583.07	339.14	309.83	170.25	343.89	679.29	848.22	612.11	665.29	470.14	507.46	395.18	607.87	339.14	318.57	318.57	638.15	438.59	603.67	291.04	595.34	258.57	273.37	255.0	343.89	193.01	463.65	529.06
DEPDC5	0.0	0.31	141.02	163.28	108.9	148.09	103.69	147.06	110.43	131.51	121.79	152.28	150.17	138.1	202.66	88.88	287.01	217.27	289.02	232.94	285.03	142.01	121.79	287.01	239.52	258.57	224.97	318.57	305.55	226.54	150.17	293.07	241.19	220.32	140.04	237.86	191.67	224.97	224.97	161.02	191.67	191.67	253.23	221.86	214.27	236.21	229.72	144.01	231.32
DET1	0.0	0.0	67.59	126.12	91.41	70.01	81.71	94.67	107.38	87.03	101.54	73.54	85.82	101.54	118.43	97.36	214.27	181.28	159.9	135.24	129.69	126.12	85.82	186.4	105.15	167.9	176.29	153.34	158.79	167.9	124.37	161.02	187.71	165.57	212.78	195.72	128.79	186.4	139.07	113.56	130.6	139.07	128.79	108.14	106.63	156.59	115.97	102.97	177.53
DNAL4	0.0	0.0	376.41	660.68	536.45	147.06	603.67	473.41	406.31	836.53	579.04	633.73	620.67	339.14	426.57	633.73	1467.37	1175.27	1135.2	698.41	813.63	1159.07	406.31	1051.79	866.07	1277.29	1268.46	1277.29	1286.18	1313.23	884.29	1081.39	947.83	1295.13	1350.18	1242.34	1015.93	1295.13	1051.79	1127.35	703.28	967.76	819.3	848.22	896.64	1250.98	718.08	1008.9	1023.0
EPHA6	0.0	0.17	5.96	7.46	15.8	10.79	11.13	6.62	5.87	4.1	5.28	38.12	5.96	5.02	7.51	5.63	46.18	53.19	36.53	29.06	25.72	46.84	58.3	29.48	18.03	38.4	48.87	30.34	26.28	26.47	13.03	34.75	18.43	46.84	92.05	38.67	25.91	59.55	24.99	30.78	21.63	42.71	28.04	9.56	28.24	11.3	48.52	2.58	29.48
F10	0.0	0.4	18.16	5.77	4.98	2.76	13.72	8.78	5.96	24.11	7.17	1.51	38.95	7.17	8.19	3.86	314.17	297.17	563.18	201.25	46.84	221.86	6.84	239.52	102.97	575.03	145.02	511.0	693.58	543.96	133.36	813.63	149.12	180.02	503.95	890.44	136.19	409.15	85.82	27.44	37.32	42.71	32.13	51.71	84.04	116.78	56.68	100.13	346.29
FAHD2B	0.0	0.44	33.3	24.11	42.41	15.8	55.1	32.82	18.03	42.11	17.9	15.34	51.35	21.32	25.17	54.33	185.11	122.64	176.29	99.43	88.26	122.64	17.77	183.82	58.3	187.71	128.79	251.48	229.72	258.57	120.1	183.82	94.01	120.94	111.99	180.02	88.26	94.01	75.11	59.13	52.82	106.63	40.36	52.82	72.01	155.5	62.12	103.69	116.78
FAM180B	0.0	0.0	1.41	0.23	0.0	0.19	7.22	0.0	0.19	1.6	11.82	0.79	25.91	0.0	2.58	0.18	417.77	346.29	1167.14	80.57	16.27	299.25	10.24	271.48	85.22	813.63	145.02	283.05	624.99	616.37	52.82	813.63	52.08	291.04	327.56	638.15	27.64	316.37	65.26	4.39	24.81	23.93	5.82	6.89	78.34	36.27	25.35	20.71	295.11
FAM213A	728.11	1259.69	1551.09	1498.22	2303.12	1561.89	1127.35	1685.71	1685.71	2061.24	2090.03	1233.75	1991.0	1594.73	2032.85	1167.14	2434.5	2119.22	2271.4	2351.53	1594.73	2895.31	1628.26	2163.77	1225.22	1781.89	1806.78	1832.01	2148.82	2502.97	2119.22	2018.8	1991.0	1963.57	2133.97	2075.59	1594.73	1662.49	1651.0	1844.76	1159.07	1417.35	1427.22	1417.35	1745.2	2119.22	1551.09	2032.85	1963.57
FAM46C	0.0	0.27	182.55	228.13	224.97	180.02	241.19	170.25	183.82	260.38	151.22	244.57	217.27	143.01	136.19	150.17	336.79	775.05	256.78	256.78	444.72	277.2	185.11	224.97	409.15	371.22	414.87	209.84	387.02	361.04	211.31	249.73	503.95	403.5	665.29	409.15	432.53	376.41	334.46	470.14	351.14	341.51	228.13	305.55	426.57	525.39	339.14	406.31	412.0
FEZ1	0.0	0.69	76.17	76.71	60.82	33.06	81.71	62.12	55.49	74.58	68.07	76.17	127.89	55.49	69.52	105.89	208.38	285.03	334.46	167.9	143.01	173.85	31.45	269.6	173.85	435.55	212.78	376.41	297.17	426.57	145.02	466.88	193.01	209.84	420.68	373.81	197.09	269.6	132.44	88.88	60.39	150.17	50.98	122.64	67.12	303.44	135.24	100.83	204.07
FGL2	0.0	0.31	77.79	72.01	46.84	56.68	98.04	116.78	27.44	64.34	104.42	54.33	132.44	57.49	54.72	38.4	836.53	1322.37	1001.93	293.07	176.29	616.37	76.17	813.63	197.09	1685.71	334.46	890.44	808.0	1151.06	400.71	1199.98	559.28	543.96	884.29	1023.0	403.5	848.22	148.09	87.03	191.67	137.14	109.66	186.4	116.78	305.55	197.09	287.01	698.41
FOXD3	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	1.13	1.17	0.0	0.0	0.0	0.0	0.0	0.0	3.23	2.29	4.13	1.03	1.5	5.23	0.0	3.82	1.6	7.46	4.98	12.36	2.05	8.51	3.72	5.02	1.93	2.16	3.14	1.57	2.73	2.84	1.35	1.35	2.53	1.66	1.33	0.52	1.99	1.04	0.0	1.66	5.28
FOXJ1	0.0	0.0	36.79	82.87	81.14	5.45	30.78	42.11	12.55	14.35	61.68	253.23	23.59	0.01	38.67	5.63	231.32	236.21	441.64	52.45	75.11	154.42	2.66	85.22	125.24	384.34	343.89	212.78	94.01	429.54	67.12	281.09	181.28	191.67	84.63	275.28	253.23	1001.93	178.77	258.57	133.36	40.93	0.46	159.9	212.78	379.04	106.63	117.6	791.35
FOXRED2	0.0	0.21	19.97	72.01	55.49	70.01	50.63	40.07	43.02	67.59	35.76	24.11	57.89	69.52	35.5	31.22	162.14	190.34	279.14	98.04	120.1	125.24	51.35	92.05	139.07	175.07	242.88	153.34	244.57	249.73	154.42	177.53	190.34	169.07	248.0	265.87	158.79	156.59	171.45	115.97	108.14	97.36	114.36	101.54	125.24	135.24	153.34	51.35	248.0
FREM1	0.0	0.17	1.53	0.73	0.69	2.14	1.51	2.36	0.0	4.39	1.87	1.87	6.11	2.66	1.53	3.41	47.84	92.7	49.91	7.63	5.32	20.11	1.55	51.71	10.0	75.11	43.63	73.54	71.0	68.07	20.11	71.5	9.63	70.51	76.17	111.21	28.86	30.34	8.58	9.78	12.27	19.68	5.19	2.27	5.06	19.39	7.17	10.47	25.35
FXYD1	0.0	0.34	51.71	49.56	49.21	18.43	96.01	21.78	22.75	52.08	82.87	35.0	255.0	23.59	39.79	33.06	860.08	1066.48	2104.58	684.02	256.78	780.44	40.36	1757.34	281.09	2400.97	723.08	2224.63	2609.3	2682.69	836.53	2537.92	684.02	860.08	1216.75	1551.09	723.08	1781.89	242.88	309.83	72.52	368.65	93.35	209.84	116.78	567.1	228.13	559.28	1199.98
FZD7	0.0	0.41	57.89	85.82	123.5	120.94	49.56	66.18	153.34	73.54	165.57	54.33	98.04	91.41	84.04	45.53	224.97	161.02	237.86	267.73	237.86	111.99	38.12	96.01	170.25	212.78	185.11	215.77	199.85	208.38	84.63	142.01	293.07	220.32	684.02	295.11	244.57	177.53	185.11	156.59	283.05	204.07	242.88	141.02	127.89	262.2	177.53	144.01	172.65
GJD3	0.0	0.17	7.51	0.0	0.0	4.24	1.58	3.82	15.45	0.0	4.9	0.0	0.0	0.0	0.0	0.0	25.72	9.85	15.68	8.45	7.06	4.54	6.57	4.43	1.68	10.24	17.77	1.85	11.3	7.06	0.0	14.14	5.32	0.0	5.5	13.93	6.73	12.83	1.5	0.0	17.25	5.63	4.39	5.54	8.78	24.46	14.35	1.13	11.38
GNB1	2895.31	575.03	3124.78	3124.78	2720.15	3395.89	3901.01	2997.45	2835.7	3168.41	2875.3	3235.01	3257.52	3103.19	2997.45	2645.74	3325.99	3982.99	4802.93	3716.2	3639.7	4123.49	2303.12	3372.43	3443.31	4575.41	3467.27	3901.01	3081.75	3768.09	3491.39	4066.71	4066.71	3742.05	3768.09	3690.52	3768.09	3467.27	3280.18	3168.41	2976.74	3540.14	3060.45	3018.3	3103.19	3395.89	3280.18	3395.89	3060.45
GPC3	0.0	0.93	17.51	3.0	4.74	3.69	33.78	18.29	59.55	16.27	27.84	5.23	69.03	2.89	14.67	34.26	583.07	1844.76	2163.77	358.54	118.43	500.46	12.09	579.04	181.28	1066.48	126.12	529.06	1397.83	426.57	199.85	1457.23	595.34	591.22	1617.0	2018.8	267.73	616.37	172.65	59.13	21.47	39.5	53.19	31.22	53.19	237.86	104.42	148.09	679.29
GRM7	0.0	0.03	0.0	0.0	0.0	0.41	0.44	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	3.14	7.82	0.83	2.46	2.51	3.41	0.24	1.33	0.55	4.24	4.9	1.85	4.06	2.68	1.07	2.94	3.86	4.28	3.14	4.1	1.45	2.07	3.53	0.27	5.06	0.27	0.27	0.25	0.88	3.53	0.87	0.25	0.26
GSTM5	0.0	0.21	18.16	0.0	8.38	2.61	21.78	4.82	1.87	10.0	4.24	8.92	66.18	0.0	2.81	10.24	571.05	642.59	381.68	100.83	98.04	406.31	5.28	612.11	334.46	1001.93	253.23	780.44	1487.87	660.68	186.4	1088.92	150.17	381.68	941.27	1135.2	642.59	551.56	186.4	77.79	60.39	81.14	58.71	119.26	90.77	137.14	115.97	119.26	660.68
IGSF10	0.0	0.49	1.68	20.56	0.0	0.74	22.75	1.69	0.74	6.36	4.94	3.29	17.64	1.2	1.23	16.88	165.57	162.14	403.5	30.56	58.71	46.5	6.16	163.28	33.78	277.2	82.87	361.04	343.89	426.57	98.73	149.12	297.17	208.38	161.02	239.52	90.14	265.87	26.47	52.45	66.18	45.85	20.41	18.7	34.26	127.89	76.71	138.1	126.12
KIAA1755	0.0	0.21	7.0	1.45	8.25	2.43	15.68	1.45	2.43	1.95	14.45	4.17	32.82	3.66	1.43	5.77	137.14	53.95	239.52	28.45	26.86	35.5	1.2	115.16	31.45	246.28	74.06	123.5	100.83	277.2	26.1	122.64	48.87	56.68	98.73	169.07	48.52	109.66	23.25	31.22	68.55	10.96	21.47	24.81	9.93	28.65	31.0	38.67	85.22
KLF2	144.01	1066.48	540.19	316.37	234.57	124.37	256.78	995.0	457.25	285.03	743.43	417.77	587.13	205.5	201.25	389.72	2520.38	1081.39	1167.14	902.89	595.34	961.07	89.51	1819.35	246.28	1950.0	679.29	1639.59	2271.4	1135.2	336.79	1991.0	348.71	511.0	591.22	981.29	1350.18	2104.58	463.65	769.69	239.52	301.33	82.87	486.75	629.35	1733.13	153.34	291.04	693.58
LGI4	0.0	0.3	40.07	37.85	24.63	30.34	39.5	16.63	26.67	28.24	102.25	34.26	109.66	42.11	41.52	40.36	708.18	131.51	211.31	395.18	220.32	236.21	48.52	314.17	42.71	164.42	161.02	341.51	275.28	220.32	273.37	316.37	134.3	86.43	323.03	258.57	145.02	99.43	68.55	193.01	27.64	132.44	61.25	78.89	90.77	316.37	70.51	157.68	202.66
LRRN4CL	0.0	0.21	1.6	0.0	1.08	0.0	5.15	1.11	0.0	2.43	2.92	2.03	23.59	0.0	1.11	1.46	65.72	62.56	127.0	53.19	32.36	92.7	1.19	39.79	26.1	96.68	45.21	202.66	187.71	125.24	45.85	264.03	19.25	57.08	98.04	353.59	64.8	69.03	43.94	35.5	29.7	36.79	2.32	23.42	14.67	89.51	37.05	30.34	96.01
LTBP2	0.0	0.47	1081.39	1896.65	1037.29	1605.83	974.5	1250.98	1008.9	1417.35	679.29	551.56	1378.57	896.64	1477.58	1059.11	2178.83	2434.5	2935.74	1572.76	1313.23	2400.97	2255.7	2417.67	1304.15	2384.37	3349.13	3103.19	4239.45	2664.15	1832.01	2739.08	1295.13	2609.3	3235.01	2720.15	1350.18	2367.9	1883.54	1167.14	1096.5	2271.4	1304.15	848.22	1909.85	1572.76	1208.34	1674.06	3614.55
MAP7D3	0.0	0.61	161.02	218.79	118.43	147.06	209.84	159.9	186.4	148.09	129.69	244.57	162.14	108.14	202.66	165.57	348.71	295.11	346.29	228.13	181.28	198.47	246.28	232.94	253.23	387.02	303.44	336.79	271.48	303.44	242.88	297.17	264.03	271.48	297.17	277.2	181.28	248.0	176.29	169.07	178.77	358.54	133.36	185.11	211.31	260.38	220.32	218.79	211.31
MYCN	0.0	0.21	34.75	27.64	31.22	12.74	52.82	8.58	65.26	20.71	30.56	21.94	59.97	18.84	12.74	46.5	157.68	53.57	138.1	27.25	70.51	48.87	16.27	150.17	38.67	70.51	223.41	55.89	46.5	75.11	54.33	28.24	96.68	26.1	92.05	70.51	101.54	87.03	85.82	100.83	96.68	85.82	46.18	77.25	27.64	40.64	47.84	39.79	248.0
NKX3-2	0.0	0.17	0.82	1.3	1.22	0.0	2.12	0.0	1.58	1.64	1.23	1.23	4.78	1.68	0.82	2.32	0.87	0.69	0.01	2.32	6.94	4.9	0.0	1.75	5.45	5.5	2.16	27.05	10.16	6.73	0.41	6.21	1.91	2.81	13.72	9.78	0.26	5.15	0.69	6.16	1.62	2.92	0.23	3.53	1.73	19.97	0.49	0.39	5.32
NMRK2	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	2.32	0.0	10.55	36.79	12.27	6.01	0.57	3.96	3.69	1.11	2.89	17.64	10.47	10.96	3.66	12.93	5.77	1.48	9.78	0.71	5.59	2.48	3.92	9.2	6.41	0.24	3.11	11.73	1.01	1.23	0.61	0.72	4.78	0.47	2.66
NOL12	0.0	0.41	361.04	575.03	473.41	351.14	420.68	423.61	483.38	660.68	463.65	381.68	559.28	414.87	409.15	429.54	764.36	579.04	656.11	738.29	679.29	579.04	371.22	878.17	915.51	743.43	703.28	866.07	718.08	633.73	612.11	728.11	872.1	808.0	603.67	909.17	759.08	791.35	688.78	738.29	981.29	529.06	620.67	830.75	638.15	738.29	591.22	559.28	780.44
NOS1	0.0	0.0	1.27	1.64	0.0	0.0	0.0	0.28	0.0	0.88	0.27	1.53	1.6	0.27	1.27	0.0	15.11	1.87	2.94	3.35	2.27	22.1	1.71	10.47	13.52	11.3	21.78	7.94	8.0	9.27	9.06	9.34	6.57	16.88	47.5	14.56	8.65	6.73	9.56	5.32	6.01	5.02	0.77	1.07	2.36	10.31	11.04	5.96	2.16
