	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.13OVI.1126.SM.5KLZF	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.A4.A7UZ.01A.12R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
CEP120	81.14	67.12	201.25	153.34	108.9	165.57	178.77	155.5	156.59	87.65	126.12	132.44	154.42	743.43	293.07	116.78	153.34	132.44	129.69	108.14	195.72	115.97	137.14	206.94	214.27	198.47	265.87	211.31	229.72	246.28	224.97	166.73	234.57	206.94	178.77	223.41	164.42	226.54	249.73	194.36	166.73	229.72	211.31	183.82	165.57	289.02	217.27	191.67	191.67	202.66	220.32	253.23	214.27	74.06	87.03	118.43	113.56	101.54	65.72	44.57	109.66	96.68	16.15	62.56	73.03	136.19	85.22	99.43	41.22	68.07	85.82	159.9	155.5	204.07	162.14	145.02	172.65	170.25	150.17	138.1	159.9	141.02	156.59	201.25	128.79	147.06	75.64	82.87	68.07	78.89	273.37	234.57	248.0	267.73	271.48	186.4	289.02	392.44	249.73	189.02
CLMP	1.66	19.97	80.57	47.5	37.32	28.45	115.97	100.83	4.54	27.44	35.0	14.45	176.29	124.37	33.3	13.72	3.47	19.11	0.41	31.22	8.45	17.25	64.8	88.26	59.13	195.72	80.01	41.22	11.55	111.21	84.04	73.03	124.37	35.76	72.52	30.56	46.5	52.45	101.54	37.32	41.81	129.69	84.04	68.07	56.28	161.02	65.26	49.21	27.64	63.89	38.4	85.22	34.02	0.79	3.26	9.93	4.78	17.9	0.39	6.73	13.12	3.44	2.2	1.22	1.1	14.89	9.85	2.56	3.0	10.71	9.56	28.04	29.7	85.22	29.27	25.17	157.68	56.68	31.67	30.12	20.11	49.21	56.68	75.64	43.32	74.58	13.93	2.25	6.62	1.83	16.51	71.0	8.38	29.7	36.01	7.06	43.32	18.29	148.09	45.85
CLOCK	82.29	75.64	178.77	120.94	87.65	159.9	120.1	115.16	193.01	94.01	123.5	143.01	153.34	329.84	301.33	231.32	58.71	137.14	117.6	102.97	209.84	91.41	201.25	299.25	287.01	224.97	271.48	237.86	242.88	255.0	228.13	211.31	305.55	212.78	149.12	269.6	162.14	281.09	285.03	218.79	226.54	236.21	256.78	182.55	153.34	320.8	271.48	264.03	197.09	208.38	228.13	244.57	256.78	69.52	91.41	105.89	85.22	68.55	67.59	65.72	134.3	82.29	30.78	45.53	54.33	100.13	78.34	94.67	47.17	58.71	106.63	82.29	128.79	157.68	142.01	144.01	187.71	178.77	185.11	169.07	158.79	195.72	161.02	231.32	135.24	167.9	65.72	54.72	51.71	45.21	234.57	218.79	371.22	224.97	155.5	92.7	249.73	228.13	217.27	253.23
CNST	82.87	69.03	206.94	205.5	173.85	194.36	211.31	185.11	181.28	100.83	124.37	166.73	201.25	376.41	220.32	197.09	182.55	134.3	115.97	131.51	187.71	103.69	175.07	277.2	253.23	239.52	289.02	223.41	255.0	262.2	305.55	201.25	283.05	251.48	189.02	281.09	211.31	262.2	299.25	224.97	220.32	275.28	236.21	205.5	180.02	262.2	234.57	223.41	234.57	283.05	229.72	269.6	228.13	71.0	67.59	107.38	99.43	53.95	64.34	68.07	101.54	53.57	50.98	64.8	90.77	103.69	63.45	93.35	67.12	53.57	69.52	157.68	176.29	181.28	205.5	169.07	189.02	265.87	161.02	180.02	175.07	211.31	170.25	197.09	172.65	178.77	136.19	157.68	92.7	115.16	454.09	220.32	334.46	301.33	329.84	221.86	435.55	291.04	450.94	212.78
COG6	134.3	162.14	353.59	299.25	379.04	291.04	323.03	356.05	409.15	202.66	271.48	244.57	325.29	409.15	417.77	293.07	182.55	178.77	289.02	208.38	318.57	115.16	358.54	316.37	316.37	314.17	379.04	289.02	312.0	466.88	336.79	287.01	368.65	332.14	316.37	371.22	412.0	403.5	503.95	346.29	323.03	309.83	295.11	368.65	438.59	389.72	356.05	435.55	303.44	309.83	336.79	279.14	361.04	221.86	258.57	190.34	115.97	125.24	100.13	135.24	156.59	148.09	46.5	111.99	138.1	146.03	129.69	164.42	46.5	128.79	190.34	232.94	305.55	301.33	314.17	234.57	283.05	249.73	267.73	265.87	301.33	341.51	264.03	289.02	223.41	283.05	80.01	96.68	82.29	111.21	312.0	279.14	334.46	384.34	318.57	271.48	426.57	297.17	351.14	256.78
DHX29	172.65	163.28	271.48	392.44	255.0	420.68	373.81	303.44	514.56	332.14	234.57	361.04	441.64	389.72	733.19	384.34	256.78	194.36	303.44	262.2	599.49	237.86	329.84	490.14	473.41	438.59	529.06	397.93	432.53	476.71	454.09	457.25	563.18	497.0	457.25	518.15	334.46	665.29	547.75	476.71	521.76	438.59	493.56	435.55	363.56	450.94	490.14	406.31	406.31	403.5	466.88	476.71	514.56	131.51	167.9	251.48	246.28	191.67	231.32	209.84	198.47	164.42	68.07	166.73	186.4	181.28	163.28	217.27	87.03	149.12	144.01	303.44	373.81	426.57	460.44	379.04	460.44	353.59	373.81	457.25	444.72	532.74	371.22	423.61	417.77	466.88	193.01	167.9	177.53	104.42	381.68	412.0	379.04	320.8	525.39	371.22	808.0	325.29	607.87	417.77
DNMBP	312.0	202.66	358.54	314.17	146.03	291.04	248.0	185.11	183.82	256.78	253.23	273.37	363.56	376.41	341.51	239.52	86.43	81.71	183.82	132.44	217.27	133.36	208.38	366.09	291.04	281.09	299.25	301.33	283.05	466.88	277.2	199.85	361.04	303.44	228.13	353.59	182.55	423.61	490.14	368.65	325.29	329.84	414.87	291.04	277.2	490.14	379.04	176.29	289.02	277.2	229.72	497.0	346.29	114.36	77.79	142.01	73.03	120.94	76.71	105.15	144.01	85.82	90.77	69.52	144.01	132.44	108.14	56.28	111.99	58.3	94.01	191.67	218.79	244.57	191.67	297.17	323.03	301.33	339.14	201.25	215.77	295.11	248.0	223.41	316.37	279.14	206.94	193.01	130.6	92.7	180.02	258.57	332.14	202.66	231.32	193.01	269.6	251.48	297.17	194.36
DR1	343.89	283.05	651.58	563.18	591.22	633.73	629.35	679.29	1167.14	366.09	432.53	620.67	836.53	665.29	759.08	412.0	358.54	514.56	289.02	460.44	397.93	312.0	660.68	679.29	723.08	688.78	748.61	674.59	723.08	775.05	796.86	629.35	708.18	656.11	595.34	764.36	759.08	684.02	813.63	595.34	575.03	738.29	723.08	607.87	647.07	651.58	688.78	830.75	708.18	708.18	708.18	854.13	612.11	155.5	291.04	339.14	251.48	237.86	285.03	283.05	371.22	220.32	237.86	226.54	420.68	303.44	314.17	332.14	255.0	221.86	307.69	518.15	511.0	660.68	521.76	514.56	547.75	595.34	435.55	532.74	603.67	555.41	540.19	629.35	540.19	529.06	327.56	264.03	429.54	323.03	490.14	470.14	423.61	493.56	629.35	392.44	521.76	312.0	665.29	400.71
EEA1	51.71	78.34	147.06	104.42	59.13	103.69	98.73	68.55	104.42	62.12	88.26	90.77	120.94	281.09	141.02	146.03	38.67	85.22	59.13	57.89	111.21	78.34	113.56	202.66	211.31	148.09	212.78	159.9	152.28	208.38	182.55	129.69	223.41	145.02	105.15	223.41	108.14	193.01	191.67	162.14	150.17	198.47	175.07	139.07	111.21	208.38	154.42	127.0	120.94	152.28	149.12	173.85	172.65	53.95	62.56	91.41	53.19	49.56	25.35	34.51	62.12	56.68	16.51	39.5	18.29	75.11	76.17	45.21	27.64	38.95	80.01	88.26	98.04	127.0	96.68	108.9	133.36	115.16	119.26	112.77	98.73	150.17	105.15	138.1	83.45	97.36	50.98	54.33	49.21	60.82	152.28	96.68	143.01	122.64	130.6	74.58	152.28	120.94	154.42	101.54
EIF4G3	373.81	303.44	642.59	420.68	171.45	500.46	441.64	312.0	397.93	389.72	409.15	493.56	679.29	830.75	607.87	387.02	323.03	251.48	540.19	656.11	341.51	277.2	366.09	400.71	571.05	476.71	660.68	395.18	450.94	647.07	525.39	376.41	540.19	518.15	371.22	525.39	265.87	583.07	890.44	466.88	480.04	507.46	579.04	470.14	351.14	796.86	457.25	281.09	420.68	620.67	366.09	563.18	559.28	269.6	389.72	470.14	265.87	332.14	236.21	307.69	285.03	314.17	175.07	191.67	392.44	463.65	312.0	341.51	102.97	187.71	320.8	255.0	348.71	603.67	395.18	412.0	397.93	493.56	387.02	414.87	412.0	457.25	397.93	591.22	403.5	376.41	204.07	183.82	269.6	187.71	884.29	723.08	988.12	830.75	1066.48	764.36	1322.37	1242.34	1216.75	723.08
FBXL4	84.63	101.54	307.69	260.38	264.03	189.02	244.57	241.19	379.04	215.77	183.82	295.11	447.82	318.57	214.27	226.54	117.6	105.89	154.42	287.01	241.19	73.03	242.88	297.17	289.02	260.38	351.14	283.05	329.84	551.56	303.44	281.09	392.44	303.44	271.48	366.09	248.0	387.02	532.74	295.11	329.84	361.04	325.29	297.17	325.29	497.0	312.0	285.03	283.05	214.27	279.14	507.46	307.69	57.08	123.5	144.01	97.36	85.82	110.43	115.97	94.67	88.88	108.14	119.26	131.51	111.99	154.42	140.04	97.36	101.54	114.36	244.57	267.73	231.32	226.54	299.25	323.03	244.57	242.88	244.57	253.23	303.44	246.28	279.14	221.86	299.25	101.54	135.24	98.04	117.6	248.0	231.32	226.54	269.6	269.6	201.25	293.07	155.5	269.6	220.32
G2E3	50.98	85.82	129.69	97.36	93.35	92.05	95.34	104.42	94.67	44.25	63.0	100.83	120.94	343.89	116.78	69.03	40.64	46.84	42.71	47.84	77.25	55.1	108.9	146.03	162.14	176.29	166.73	111.21	133.36	157.68	151.22	98.73	145.02	119.26	107.38	152.28	111.99	159.9	173.85	118.43	141.02	130.6	138.1	136.19	97.36	151.22	126.12	171.45	98.73	128.79	144.01	181.28	135.24	26.67	43.94	47.84	39.5	25.35	25.91	24.11	54.33	59.97	9.48	22.26	50.63	56.28	38.4	48.52	13.72	16.63	55.49	89.51	94.01	97.36	90.14	91.41	117.6	124.37	109.66	88.26	90.77	115.16	112.77	100.13	91.41	94.67	37.85	28.65	39.5	36.53	193.01	134.3	180.02	131.51	116.78	76.71	143.01	167.9	206.94	134.3
