	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5507.01A.01R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
CASP6	854.13	902.89	769.69	674.59	547.75	1096.5	327.56	403.5	426.57	447.82	327.56	466.88	403.5	543.96	299.25	312.0	480.04	277.2	400.71	363.56	273.37	234.57	351.14	444.72	409.15	176.29	368.65	743.43	493.56	497.0	307.69	420.68	273.37	229.72	368.65	521.76	454.09	301.33	387.02	435.55	775.05	480.04	265.87	417.77	540.19	387.02	334.46	532.74	409.15	400.71	420.68	381.68	435.55
CBX3	4152.18	4769.75	3928.15	4239.45	5954.47	6840.04	1388.16	1697.45	2758.13	3235.01	1313.23	2682.69	1769.57	2319.15	1662.49	2520.38	2701.35	2682.69	1378.57	1151.06	2047.0	2119.22	1457.23	1551.09	2451.44	1870.53	1781.89	2758.13	2434.5	2855.44	2209.26	1498.22	1605.83	1709.26	1963.57	2664.15	3419.52	1883.54	1540.37	1487.87	3349.13	2351.53	1757.34	2417.67	2520.38	2075.59	1628.26	1295.13	1605.83	2400.97	1617.0	1457.23	1617.0
CCDC132	466.88	529.06	555.41	529.06	738.29	579.04	146.03	211.31	346.29	353.59	185.11	320.8	156.59	307.69	147.06	206.94	358.54	239.52	211.31	167.9	148.09	164.42	215.77	201.25	215.77	180.02	121.79	336.79	161.02	325.29	129.69	132.44	314.17	186.4	241.19	287.01	251.48	246.28	193.01	159.9	414.87	277.2	122.64	209.84	289.02	201.25	155.5	186.4	161.02	217.27	283.05	215.77	175.07
CCNI	7642.41	7803.01	11267.44	10440.2	18950.18	9215.48	4671.57	5255.91	7911.95	9945.68	3955.48	9945.68	5791.62	8778.97	5517.27	5555.65	6426.31	4298.64	4736.79	6652.97	3665.02	7695.57	6121.9	4704.07	7803.01	7966.99	4972.34	6079.61	3794.3	7485.11	5751.61	5872.48	6983.79	7803.01	4607.24	7857.29	7130.55	5913.33	5147.73	4095.0	7911.95	6792.79	3665.02	4639.29	7642.41	6561.36	4419.52	6079.61	4010.71	3820.7	6121.9	5219.6	5913.33
CENPQ	195.72	163.28	208.38	186.4	237.86	165.57	61.25	55.1	142.01	105.15	45.85	127.0	66.18	166.73	59.97	63.0	102.97	59.55	66.18	63.45	56.68	47.5	51.71	51.71	68.55	55.89	49.56	162.14	61.68	120.94	58.71	45.21	59.13	79.45	66.18	92.05	135.24	70.51	46.5	55.1	104.42	133.36	51.35	60.82	77.25	40.07	64.34	89.51	56.68	80.01	86.43	76.17	116.78
CGGBP1	1498.22	1857.6	1757.34	1508.65	2303.12	1369.04	260.38	612.11	1233.75	1159.07	551.56	1175.27	660.68	1208.34	612.11	759.08	1225.22	409.15	638.15	624.99	521.76	647.07	723.08	633.73	1008.9	223.41	420.68	1066.48	511.0	1295.13	490.14	563.18	718.08	651.58	743.43	961.07	909.17	825.0	532.74	521.76	1208.34	1081.39	395.18	620.67	1199.98	642.59	587.13	684.02	559.28	121.79	995.0	718.08	669.92
COG2	507.46	607.87	543.96	559.28	674.59	583.07	323.03	454.09	435.55	476.71	395.18	543.96	412.0	518.15	307.69	371.22	470.14	303.44	447.82	395.18	271.48	384.34	384.34	447.82	480.04	156.59	343.89	603.67	376.41	521.76	381.68	387.02	258.57	392.44	423.61	507.46	460.44	457.25	395.18	420.68	525.39	438.59	348.71	438.59	529.06	450.94	363.56	255.0	358.54	392.44	551.56	450.94	368.65
COPG2	1697.45	1233.75	1159.07	1662.49	1745.2	1081.39	961.07	599.49	921.88	713.11	769.69	1127.35	775.05	1066.48	490.14	830.75	1015.93	638.15	860.08	684.02	669.92	915.51	753.83	921.88	961.07	684.02	693.58	1191.69	669.92	842.36	435.55	587.13	890.44	890.44	329.84	1001.93	1023.0	909.17	575.03	848.22	1143.1	723.08	842.36	884.29	656.11	679.29	703.28	967.76	728.11	642.59	872.1	830.75	860.08
COPS8	1467.37	1378.57	1340.84	1697.45	2163.77	2287.2	836.53	1096.5	1059.11	1135.2	954.43	1088.92	909.17	1199.98	1023.0	921.88	995.0	624.99	921.88	961.07	884.29	842.36	854.13	872.1	1135.2	854.13	878.17	1250.98	854.13	1135.2	988.12	842.36	954.43	1199.98	1081.39	848.22	1073.91	1096.5	738.29	954.43	1015.93	1030.12	890.44	884.29	995.0	981.29	842.36	878.17	961.07	638.15	1159.07	1216.75	1008.9
CPNE8	215.77	158.79	242.88	343.89	708.18	267.73	17.38	59.13	71.0	100.13	4.58	157.68	55.1	154.42	41.22	31.67	81.71	16.63	16.15	42.71	35.76	19.39	19.97	17.9	58.3	5.54	21.16	205.5	50.27	68.07	12.74	47.17	50.27	60.39	37.32	92.7	38.12	35.25	14.03	22.75	84.04	75.64	23.25	48.52	115.16	25.54	23.08	23.59	39.79	23.93	29.48	48.87	34.02
CRIPT	397.93	379.04	540.19	503.95	483.38	620.67	316.37	265.87	376.41	341.51	215.77	466.88	316.37	371.22	295.11	244.57	332.14	183.82	255.0	309.83	325.29	341.51	228.13	332.14	336.79	199.85	237.86	450.94	273.37	341.51	166.73	248.0	307.69	214.27	339.14	351.14	228.13	241.19	195.72	202.66	353.59	384.34	237.86	221.86	295.11	312.0	244.57	361.04	258.57	253.23	339.14	265.87	438.59
CTD-2207O23.12	223.41	242.88	157.68	234.57	10659.59	4181.07	24.28	26.67	127.0	165.57	66.65	249.73	47.5	142.01	0.0	169.07	121.79	5.23	51.35	83.45	0.0	120.1	54.33	5.63	291.04	110.43	0.0	182.55	0.0	201.25	35.0	0.0	186.4	25.54	40.64	334.46	43.32	52.08	13.72	48.87	201.25	224.97	7.34	0.0	131.51	218.79	0.0	159.9	0.0	48.52	18.43	127.0	70.51
CTR9	688.78	954.43	941.27	728.11	1259.69	583.07	334.46	529.06	629.35	728.11	389.72	665.29	426.57	674.59	366.09	466.88	674.59	312.0	518.15	417.77	301.33	426.57	529.06	435.55	559.28	226.54	287.01	698.41	301.33	703.28	373.81	356.05	511.0	457.25	444.72	603.67	674.59	518.15	356.05	363.56	713.11	567.1	339.14	444.72	555.41	536.45	406.31	463.65	371.22	320.8	579.04	454.09	400.71
DDX59	642.59	665.29	708.18	708.18	796.86	733.19	287.01	327.56	571.05	429.54	429.54	332.14	262.2	514.56	303.44	327.56	387.02	269.6	368.65	244.57	291.04	253.23	293.07	387.02	397.93	381.68	262.2	587.13	368.65	397.93	320.8	236.21	320.8	379.04	412.0	376.41	423.61	332.14	295.11	325.29	392.44	320.8	361.04	371.22	318.57	343.89	353.59	325.29	262.2	379.04	403.5	473.41	262.2
DLD	1963.57	1651.0	1721.16	1806.78	2271.4	1896.65	954.43	1127.35	1111.82	1540.37	1081.39	1617.0	878.17	1519.15	848.22	1030.12	1457.23	988.12	961.07	928.3	842.36	921.88	902.89	988.12	1417.35	698.41	878.17	1295.13	915.51	1388.16	860.08	884.29	1030.12	1037.29	988.12	1417.35	1369.04	1286.18	728.11	842.36	1991.0	1617.0	808.0	1096.5	1477.58	947.83	759.08	902.89	764.36	679.29	1001.93	995.0	988.12
DNAJA2	1313.23	3325.99	1208.34	1313.23	1819.35	1963.57	813.63	1111.82	1268.46	1498.22	981.29	1350.18	974.5	1457.23	909.17	1151.06	1313.23	607.87	872.1	934.76	836.53	1008.9	1066.48	1001.93	1304.15	759.08	638.15	1322.37	854.13	1313.23	884.29	921.88	791.35	1066.48	1143.1	1350.18	941.27	1119.56	830.75	848.22	1378.57	1216.75	708.18	915.51	1233.75	1044.52	954.43	1051.79	921.88	860.08	1030.12	848.22	967.76
DOCK7	575.03	432.53	633.73	521.76	1104.13	521.76	181.28	309.83	420.68	688.78	170.25	460.44	169.07	423.61	253.23	403.5	454.09	194.36	389.72	220.32	198.47	339.14	361.04	195.72	289.02	201.25	195.72	373.81	163.28	450.94	248.0	189.02	460.44	371.22	232.94	336.79	305.55	237.86	285.03	336.79	438.59	432.53	325.29	289.02	332.14	346.29	368.65	348.71	183.82	318.57	329.84	329.84	206.94
DSEL	171.45	122.64	153.34	165.57	163.28	66.18	35.25	29.06	107.38	92.7	53.19	84.04	32.59	115.16	66.65	40.07	102.97	59.97	142.01	28.45	16.63	26.67	56.28	72.52	48.52	15.22	22.43	39.5	27.84	115.16	16.63	36.79	29.48	43.94	37.05	88.26	47.84	80.57	31.67	46.18	100.13	55.1	36.27	44.57	60.39	49.91	15.91	47.84	42.11	25.54	59.55	34.75	39.5
EHBP1	954.43	703.28	825.0	934.76	1651.0	665.29	253.23	403.5	612.11	698.41	316.37	791.35	295.11	486.75	429.54	507.46	473.41	281.09	423.61	348.71	329.84	417.77	312.0	320.8	447.82	198.47	226.54	525.39	318.57	651.58	149.12	299.25	420.68	624.99	503.95	432.53	237.86	432.53	256.78	483.38	595.34	395.18	299.25	460.44	536.45	575.03	205.5	332.14	536.45	262.2	361.04	348.71	297.17
ERBB4	108.14	193.01	164.42	129.69	406.31	234.57	3.5	3.99	11.47	12.55	11.73	14.14	5.92	9.41	14.35	0.49	7.4	9.34	8.92	5.32	3.82	2.53	3.03	5.15	8.65	2.29	1.06	17.77	3.14	8.85	4.24	3.63	2.61	1.69	2.27	5.96	5.15	9.34	4.31	11.64	8.38	16.27	3.69	9.34	19.25	5.87	1.91	7.46	1.41	1.93	10.96	8.71	6.31
EXOC5	961.07	878.17	878.17	1037.29	2303.12	878.17	169.07	339.14	500.46	848.22	212.78	775.05	264.03	860.08	264.03	295.11	688.78	226.54	329.84	258.57	187.71	249.73	309.83	269.6	466.88	138.1	154.42	571.05	187.71	738.29	171.45	260.38	297.17	267.73	258.57	532.74	339.14	406.31	215.77	236.21	698.41	642.59	209.84	289.02	579.04	314.17	237.86	309.83	197.09	202.66	460.44	406.31	246.28
FAM13A	1044.52	571.05	890.44	884.29	1159.07	2163.77	82.87	423.61	429.54	665.29	371.22	540.19	332.14	567.1	194.36	312.0	483.38	187.71	264.03	299.25	199.85	189.02	283.05	241.19	318.57	301.33	145.02	981.29	185.11	457.25	191.67	260.38	256.78	175.07	368.65	511.0	447.82	503.95	289.02	376.41	507.46	406.31	157.68	500.46	529.06	373.81	241.19	189.02	241.19	228.13	423.61	343.89	275.28
FAM208A	1175.27	954.43	1487.87	1250.98	2178.83	1191.69	441.64	591.22	928.3	981.29	616.37	848.22	575.03	961.07	470.14	476.71	860.08	507.46	409.15	480.04	435.55	406.31	460.44	409.15	656.11	559.28	412.0	1216.75	633.73	961.07	575.03	450.94	633.73	595.34	738.29	718.08	974.5	638.15	466.88	532.74	808.0	684.02	563.18	559.28	1081.39	473.41	595.34	529.06	490.14	665.29	555.41	529.06	438.59
FAM3C	1378.57	1359.57	1350.18	1909.85	1963.57	1819.35	507.46	775.05	1268.46	1191.69	684.02	1023.0	775.05	1216.75	647.07	813.63	1023.0	713.11	521.76	529.06	743.43	703.28	728.11	660.68	947.83	397.93	529.06	1119.56	674.59	1135.2	1066.48	503.95	1135.2	785.88	587.13	947.83	1119.56	902.89	599.49	514.56	1259.69	934.76	748.61	571.05	1127.35	854.13	703.28	1135.2	420.68	518.15	718.08	733.19	1015.93
FBXO3	1051.79	1001.93	1191.69	1250.98	1857.6	1183.45	332.14	543.96	830.75	759.08	460.44	808.0	470.14	775.05	450.94	497.0	785.88	291.04	473.41	514.56	397.93	356.05	540.19	435.55	688.78	267.73	332.14	780.44	371.22	791.35	441.64	450.94	583.07	500.46	529.06	624.99	708.18	583.07	341.51	368.65	723.08	775.05	297.17	450.94	693.58	559.28	486.75	521.76	406.31	381.68	733.19	563.18	583.07
FBXO5	167.9	185.11	239.52	172.65	170.25	181.28	60.39	68.07	139.07	152.28	90.77	109.66	77.25	130.6	74.06	111.99	139.07	79.45	70.51	52.08	90.14	91.41	93.35	84.04	94.01	61.25	75.64	114.36	49.21	121.79	105.15	63.0	99.43	105.89	107.38	102.25	162.14	116.78	52.08	54.72	139.07	99.43	54.72	68.55	100.83	72.52	74.58	78.34	52.82	38.95	110.43	64.34	91.41
FUBP3	848.22	830.75	743.43	738.29	854.13	642.59	332.14	866.07	1268.46	1088.92	698.41	974.5	733.19	1066.48	638.15	791.35	1088.92	521.76	669.92	708.18	563.18	688.78	802.41	595.34	909.17	412.0	435.55	1051.79	518.15	995.0	651.58	607.87	743.43	674.59	791.35	1059.11	769.69	974.5	518.15	536.45	1037.29	954.43	483.38	665.29	921.88	884.29	775.05	647.07	514.56	567.1	718.08	607.87	629.35
FYTTD1	1467.37	2319.15	1508.65	1561.89	1883.54	1991.0	343.89	884.29	1175.27	1242.34	633.73	1313.23	579.04	1286.18	674.59	866.07	1259.69	529.06	688.78	674.59	486.75	733.19	848.22	583.07	1081.39	371.22	412.0	1096.5	507.46	1208.34	447.82	575.03	703.28	703.28	728.11	1044.52	995.0	934.76	460.44	536.45	1135.2	1159.07	463.65	713.11	836.53	791.35	708.18	642.59	543.96	555.41	890.44	656.11	743.43
GABPA	647.07	583.07	703.28	647.07	1088.92	718.08	94.01	176.29	460.44	389.72	129.69	470.14	202.66	457.25	171.45	220.32	426.57	157.68	185.11	183.82	158.79	158.79	199.85	182.55	303.44	82.29	108.9	260.38	144.01	417.77	167.9	143.01	201.25	186.4	226.54	336.79	277.2	262.2	120.94	147.06	432.53	339.14	125.24	176.29	381.68	194.36	201.25	191.67	115.97	173.85	283.05	212.78	208.38
GNPAT	854.13	836.53	1008.9	981.29	1639.59	860.08	813.63	854.13	854.13	1044.52	764.36	1015.93	921.88	1250.98	708.18	791.35	967.76	642.59	830.75	791.35	563.18	703.28	733.19	733.19	967.76	361.04	796.86	1183.45	974.5	1073.91	679.29	780.44	500.46	713.11	733.19	1051.79	921.88	698.41	759.08	785.88	947.83	934.76	764.36	860.08	988.12	813.63	728.11	480.04	703.28	785.88	961.07	842.36	836.53
GPR12	28.04	12.18	34.75	23.93	56.68	67.59	0.0	0.33	0.34	1.01	0.0	0.34	0.32	0.34	0.0	0.33	2.1	0.0	0.0	0.0	0.37	0.33	0.0	0.0	0.35	0.0	0.0	0.31	0.0	0.67	0.97	0.0	0.0	0.0	0.0	1.01	0.33	0.0	0.33	0.36	0.99	0.68	0.32	0.32	1.04	0.0	0.0	0.0	0.0	0.0	0.64	0.33	0.97
HNRNPU	5183.54	5329.3	5995.9	5183.54	6887.62	5041.77	2875.3	3564.78	4575.41	5219.6	2976.74	4450.27	3419.52	4575.41	3491.39	3589.58	4903.87	2777.33	3847.29	3349.13	3467.27	4066.71	3955.48	3419.52	4607.24	3168.41	2537.92	5006.93	2777.33	4575.41	2956.17	3103.19	3564.78	3395.89	3874.05	4607.24	4010.71	3325.99	2739.08	2855.44	4937.99	3768.09	2555.58	3303.0	4298.64	3955.48	3589.58	3564.78	2976.74	3146.52	3081.75	3372.43	3212.66
HSD17B12	1437.15	1369.04	2148.82	1883.54	3235.01	1832.01	698.41	1769.57	1844.76	3081.75	995.0	1540.37	1757.34	2367.9	1242.34	1096.5	1313.23	733.19	941.27	1233.75	738.29	1286.18	1030.12	884.29	1832.01	860.08	915.51	1397.83	902.89	1662.49	1628.26	1250.98	1359.57	1250.98	1250.98	1397.83	1540.37	1457.23	866.07	1119.56	1277.29	2163.77	713.11	547.75	1757.34	830.75	791.35	1268.46	872.1	743.43	1923.14	698.41	1295.13
IBTK	638.15	759.08	728.11	743.43	1191.69	854.13	309.83	463.65	656.11	698.41	543.96	616.37	381.68	733.19	361.04	460.44	698.41	218.79	490.14	323.03	403.5	414.87	525.39	450.94	665.29	540.19	384.34	738.29	381.68	703.28	387.02	334.46	334.46	348.71	532.74	629.35	723.08	669.92	323.03	500.46	688.78	607.87	384.34	389.72	612.11	432.53	718.08	316.37	351.14	325.29	497.0	392.44	406.31
IFT74	414.87	532.74	507.46	543.96	854.13	525.39	303.44	277.2	381.68	329.84	285.03	371.22	199.85	297.17	264.03	258.57	379.04	190.34	299.25	206.94	291.04	229.72	228.13	299.25	341.51	156.59	193.01	351.14	316.37	309.83	221.86	171.45	265.87	299.25	293.07	353.59	189.02	271.48	271.48	232.94	336.79	303.44	217.27	334.46	316.37	241.19	361.04	220.32	162.14	363.56	277.2	262.2	195.72
INIP	575.03	688.78	679.29	713.11	624.99	708.18	277.2	339.14	444.72	450.94	348.71	379.04	251.48	423.61	332.14	256.78	373.81	189.02	325.29	285.03	217.27	309.83	289.02	323.03	426.57	285.03	202.66	447.82	166.73	406.31	249.73	248.0	285.03	256.78	366.09	426.57	384.34	373.81	223.41	256.78	361.04	426.57	206.94	291.04	356.05	316.37	334.46	283.05	312.0	293.07	412.0	275.28	373.81
ISCA1	1183.45	1331.57	1277.29	1437.15	1350.18	1359.57	563.18	769.69	934.76	988.12	684.02	988.12	698.41	915.51	591.22	764.36	802.41	571.05	603.67	665.29	529.06	753.83	684.02	713.11	808.0	497.0	669.92	1088.92	563.18	808.0	665.29	638.15	872.1	819.3	591.22	1175.27	1051.79	698.41	543.96	473.41	995.0	748.61	497.0	708.18	819.3	748.61	591.22	753.83	698.41	599.49	728.11	651.58	753.83
ISOC1	743.43	780.44	703.28	718.08	486.75	1096.5	351.14	591.22	679.29	540.19	536.45	674.59	665.29	780.44	514.56	563.18	713.11	273.37	674.59	633.73	555.41	603.67	299.25	529.06	813.63	256.78	457.25	825.0	285.03	743.43	514.56	426.57	438.59	406.31	587.13	785.88	607.87	551.56	403.5	500.46	884.29	660.68	412.0	575.03	780.44	486.75	397.93	518.15	571.05	476.71	693.58	500.46	698.41
KATNA1	463.65	423.61	476.71	603.67	595.34	366.09	244.57	251.48	325.29	307.69	190.34	303.44	248.0	318.57	221.86	269.6	323.03	182.55	198.47	234.57	182.55	231.32	159.9	239.52	269.6	215.77	287.01	353.59	264.03	279.14	260.38	262.2	291.04	248.0	206.94	309.83	303.44	226.54	239.52	218.79	305.55	293.07	211.31	224.97	267.73	236.21	283.05	244.57	208.38	242.88	305.55	253.23	234.57
KCNIP4	32.13	33.78	46.84	42.71	34.75	15.91	8.45	9.27	15.45	24.63	11.21	21.63	3.99	18.84	5.36	9.48	13.62	27.84	5.02	7.63	7.82	8.32	7.4	6.01	7.17	12.45	5.28	21.16	8.78	13.42	7.57	11.47	15.68	9.41	7.11	24.99	10.55	15.56	7.06	6.21	16.75	17.77	5.68	7.22	13.93	8.85	8.19	7.63	6.57	4.03	13.12	10.63	7.94
