	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.K7.A6G5.01A.11R.A311.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.14753.1626.SM.5NQ9L	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.AB1V.01A.21R.A414.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31
FAN1	450.94	163.28	115.97	256.78	178.77	332.14	271.48	244.57	164.42	339.14	204.07	323.03	164.42	78.34	58.71	75.11	62.12	68.07	82.87	106.63	163.28	73.54	87.03	65.26	312.0	373.81	329.84
FLJ00273	769.69	2434.5	0.0	0.0	0.88	8.71	3.53	2.63	0.19	6.06	6.84	5.96	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	12.27	29.06	17.0
GATAD1	819.3	633.73	283.05	371.22	339.14	612.11	532.74	341.51	323.03	723.08	327.56	629.35	312.0	199.85	108.14	228.13	239.52	106.63	137.14	90.77	166.73	100.13	152.28	100.83	651.58	703.28	902.89
GIT2	1233.75	1498.22	248.0	231.32	435.55	583.07	497.0	400.71	429.54	660.68	447.82	555.41	384.34	153.34	102.97	75.64	71.0	148.09	189.02	172.65	224.97	194.36	199.85	124.37	620.67	1216.75	780.44
KRIT1	1583.71	1427.22	303.44	567.1	529.06	738.29	638.15	579.04	514.56	1081.39	447.82	591.22	435.55	114.36	111.21	166.73	78.89	194.36	287.01	169.07	379.04	206.94	229.72	224.97	651.58	941.27	928.3
MED12	567.1	1119.56	214.27	136.19	503.95	551.56	435.55	567.1	463.65	769.69	441.64	555.41	532.74	101.54	54.33	101.54	63.45	86.43	198.47	260.38	356.05	195.72	305.55	155.5	909.17	1268.46	967.76
MGA	1175.27	723.08	35.5	79.45	123.5	177.53	122.64	139.07	106.63	180.02	102.25	137.14	145.02	28.24	15.45	27.25	9.7	71.5	54.33	94.01	69.03	38.67	57.08	24.11	220.32	392.44	231.32
MTMR4	656.11	525.39	137.14	258.57	387.02	353.59	351.14	392.44	389.72	521.76	325.29	447.82	334.46	113.56	148.09	325.29	221.86	124.37	221.86	135.24	187.71	198.47	214.27	110.43	493.56	624.99	688.78
MTX3	438.59	199.85	19.97	25.91	59.13	82.87	85.22	87.65	63.89	106.63	49.21	80.57	57.08	6.26	13.52	14.24	5.41	43.32	39.5	15.11	65.72	29.27	31.45	10.55	96.01	182.55	132.44
MUC21	0.0	2.07	1019901.63	311742.51	645473.24	64186.29	275175.93	112532.89	964885.69	24.28	193234.41	2104.58	906531.99	0.0	0.0	0.0	2.39	280957.98	405683.88	165904.25	443937.41	741454.2	762299.34	834179.46	12853.63	0.71	0.39
MYSM1	1096.5	603.67	65.26	120.94	244.57	376.41	314.17	236.21	226.54	423.61	202.66	384.34	232.94	50.27	34.51	28.65	25.35	33.54	96.68	50.63	76.71	69.03	66.65	57.08	406.31	500.46	463.65
NKTR	2682.69	2032.85	271.48	307.69	575.03	1313.23	848.22	612.11	665.29	1167.14	612.11	1685.71	638.15	90.77	34.26	37.59	32.36	22.75	151.22	82.87	93.35	114.36	94.67	63.89	1467.37	1832.01	1769.57
OGT	4802.93	5366.37	571.05	651.58	1447.15	2701.35	1551.09	1639.59	1378.57	2520.38	1088.92	2335.28	1322.37	244.57	96.68	154.42	120.94	79.45	318.57	260.38	435.55	258.57	236.21	153.34	2537.92	4704.07	2758.13
OPHN1	348.71	435.55	41.52	41.81	57.89	78.89	45.85	45.53	47.5	108.14	39.22	98.73	68.07	1.62	2.76	13.22	1.87	30.34	25.35	19.53	35.5	12.55	24.46	12.09	122.64	88.26	69.03
PEX1	688.78	607.87	190.34	251.48	323.03	540.19	514.56	366.09	366.09	733.19	303.44	395.18	277.2	163.28	99.43	176.29	130.6	50.27	182.55	151.22	127.89	139.07	118.43	119.26	438.59	483.38	665.29
PHF8	511.0	884.29	99.43	170.25	353.59	423.61	329.84	351.14	332.14	507.46	314.17	353.59	329.84	301.33	116.78	208.38	155.5	47.5	166.73	226.54	318.57	158.79	198.47	88.88	476.71	647.07	518.15
PHIP	848.22	571.05	103.69	116.78	161.02	327.56	255.0	289.02	164.42	423.61	171.45	267.73	134.3	15.68	44.57	39.79	14.45	53.57	112.77	52.82	103.69	64.34	75.64	68.07	432.53	483.38	540.19
PPP6R3	2384.37	1832.01	698.41	450.94	1008.9	1594.73	1350.18	1844.76	967.76	1191.69	915.51	1175.27	1044.52	299.25	199.85	244.57	379.04	343.89	718.08	518.15	693.58	854.13	723.08	547.75	1250.98	1561.89	1963.57
PROSER1	1208.34	1259.69	239.52	283.05	376.41	708.18	480.04	395.18	395.18	607.87	368.65	444.72	363.56	90.14	32.82	43.32	32.13	129.69	201.25	151.22	246.28	183.82	218.79	198.47	743.43	813.63	921.88
PRSS48	426.57	133.36	0.0	0.0	0.67	1.01	2.81	0.17	0.25	0.12	3.2	1.97	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45	3.47	10.63
PTCD3	1199.98	1674.06	426.57	438.59	1073.91	1191.69	1119.56	1159.07	836.53	1794.29	1008.9	1044.52	808.0	356.05	432.53	624.99	260.38	316.37	521.76	934.76	381.68	412.0	341.51	353.59	1008.9	1407.55	1583.71
RBM12B	389.72	603.67	50.63	71.5	117.6	220.32	119.26	190.34	96.01	387.02	119.26	172.65	98.04	18.43	13.22	18.03	19.82	51.71	32.82	58.71	72.01	26.1	43.32	19.25	201.25	297.17	262.2
RBM12B-AS1	202.66	325.29	7.51	9.2	34.26	62.12	21.47	38.95	17.13	158.79	31.9	42.71	28.04	2.56	2.36	2.76	1.33	1.11	2.92	4.74	8.65	2.76	1.41	0.0	40.36	92.7	66.65
RBM33	1233.75	2367.9	281.09	285.03	480.04	698.41	518.15	571.05	536.45	656.11	420.68	629.35	599.49	224.97	105.89	141.02	146.03	108.9	325.29	234.57	297.17	237.86	199.85	239.52	791.35	1051.79	808.0
RICTOR	651.58	432.53	87.03	94.01	152.28	346.29	303.44	172.65	193.01	426.57	173.85	226.54	120.1	45.21	37.05	40.93	43.94	35.5	99.43	60.39	78.89	75.11	76.17	56.28	312.0	466.88	348.71
SCAI	167.9	181.28	32.36	25.72	45.53	74.58	48.52	50.98	56.68	111.21	52.82	59.97	44.25	8.38	7.28	13.72	21.63	12.93	31.45	24.28	23.42	27.44	21.32	15.22	95.34	147.06	135.24
SETD2	1127.35	1051.79	231.32	336.79	366.09	540.19	423.61	435.55	397.93	417.77	368.65	571.05	387.02	156.59	170.25	130.6	165.57	236.21	264.03	353.59	376.41	432.53	358.54	507.46	703.28	808.0	738.29
SHPRH	764.36	525.39	34.51	23.93	68.55	125.24	91.41	91.41	71.0	137.14	63.45	125.24	70.51	8.25	16.27	14.45	7.22	42.11	77.25	49.91	69.52	31.9	59.55	24.63	144.01	191.67	135.24
SUV420H1	1066.48	1331.57	178.77	473.41	406.31	660.68	536.45	1127.35	426.57	595.34	423.61	521.76	397.93	138.1	199.85	239.52	124.37	218.79	228.13	148.09	264.03	346.29	291.04	194.36	583.07	583.07	808.0
TBC1D3C	159.9	343.89	52.82	102.25	96.68	262.2	96.01	89.51	260.38	351.14	277.2	120.94	133.36	30.78	3.32	0.13	1.73	8.99	10.31	42.11	9.93	4.17	13.83	1.11	295.11	143.01	139.07
TNKS	759.08	607.87	94.01	140.04	169.07	208.38	221.86	186.4	186.4	291.04	135.24	206.94	156.59	54.72	36.01	39.22	57.89	73.54	115.97	52.45	120.94	120.1	75.64	72.01	232.94	348.71	444.72
TRMT13	248.0	185.11	96.68	191.67	152.28	297.17	258.57	249.73	177.53	400.71	143.01	281.09	135.24	65.72	32.36	55.1	21.01	72.52	84.63	90.77	103.69	74.58	97.36	59.55	301.33	403.5	429.54
UBN2	708.18	1023.0	48.18	71.5	84.63	143.01	94.67	110.43	108.9	115.16	83.45	124.37	101.54	17.25	7.11	18.29	14.45	17.77	53.57	29.91	50.27	30.56	44.25	26.1	169.07	165.57	163.28
UNK	1259.69	854.13	190.34	587.13	638.15	612.11	642.59	660.68	629.35	738.29	753.83	518.15	624.99	165.57	170.25	67.12	76.17	384.34	493.56	195.72	575.03	403.5	423.61	307.69	575.03	684.02	555.41
USP7	2502.97	1936.53	1111.82	890.44	1709.26	1977.24	2018.8	1819.35	1857.6	2047.0	1628.26	1819.35	1769.57	420.68	426.57	591.22	353.59	825.0	1388.16	1216.75	1135.2	1250.98	1651.0	1477.58	2178.83	2178.83	2061.24
ZMYM3	432.53	457.25	186.4	166.73	312.0	318.57	258.57	397.93	303.44	493.56	232.94	353.59	339.14	120.94	85.22	82.29	88.88	78.89	182.55	94.67	194.36	221.86	152.28	108.14	493.56	444.72	384.34
ZNF292	1030.12	1175.27	193.01	125.24	148.09	255.0	211.31	221.86	150.17	229.72	125.24	204.07	133.36	14.24	9.56	16.27	23.42	77.25	88.26	59.55	95.34	92.7	88.26	44.57	287.01	400.71	400.71
ZNF391	87.03	143.01	20.86	23.08	30.78	42.71	47.5	29.27	43.63	64.8	21.16	48.18	36.53	2.05	5.92	1.2	0.0	11.82	10.08	4.28	24.99	2.81	12.93	3.82	87.03	69.03	38.4
ZNF507	521.76	693.58	47.17	154.42	115.97	255.0	211.31	164.42	105.15	285.03	85.82	183.82	92.7	42.41	30.12	25.91	33.78	38.95	89.51	42.41	100.13	67.12	49.91	56.68	183.82	283.05	289.02
ZNF514	555.41	423.61	144.01	211.31	258.57	346.29	256.78	201.25	197.09	500.46	218.79	483.38	218.79	69.52	28.65	37.05	61.25	55.1	93.35	107.38	220.32	104.42	66.65	57.08	406.31	432.53	265.87
ZNF81	208.38	211.31	25.17	40.36	41.81	111.21	47.84	53.57	51.35	94.67	62.12	77.25	49.56	17.64	43.02	17.38	17.51	47.84	37.05	31.67	24.11	35.25	35.76	32.36	57.08	128.79	90.14
ZSCAN29	595.34	366.09	77.79	140.04	234.57	303.44	223.41	253.23	178.77	301.33	231.32	262.2	171.45	58.71	70.51	76.71	14.56	78.34	106.63	87.65	155.5	125.24	152.28	86.43	323.03	473.41	409.15
