	TCGA.AZ.6605.11A.01R.1839.07	GTEX.1399U.1926.SM.5IFH7	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.ZPIC.2226.SM.57WDX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.13OVG.0926.SM.5J2OJ	GTEX.RM2N.0626.SM.48FD6	GTEX.131XF.0926.SM.5BC69	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.PLZ6.0626.SM.3P61B	GTEX.YF7O.0826.SM.4W21F	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZPCL.1226.SM.4WWFF	GTEX.XBEW.1426.SM.4AT4J	GTEX.13111.0926.SM.5DUVQ	GTEX.PWCY.0826.SM.48TCR	TCGA.BC.A110.11A.11R.A131.07	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.TKQ1.0526.SM.4DXTG	GTEX.XPVG.1526.SM.4B66C
EDNRA	91.41	8.06	12.55	9.48	8.45	3.89	68.07	26.28	49.21	38.12	26.28	52.08	45.85	111.99	30.34	25.91	35.25	55.1	38.95	42.41	59.55	48.52	21.78	19.25	0.0	0.29	1111.82	444.72	555.41	356.05	312.0	785.88	466.88	406.31	368.65	647.07	283.05	255.0	301.33	361.04	343.89	728.11	138.1	483.38	348.71	176.29	384.34	244.57	299.25
EPHB6	244.57	27.84	91.41	36.27	22.59	34.02	78.89	115.97	153.34	72.52	74.58	111.99	102.25	85.82	158.79	152.28	108.14	73.54	109.66	88.88	94.01	123.5	58.3	3.06	0.0	0.55	129.69	186.4	145.02	142.01	59.55	1183.45	878.17	759.08	204.07	60.82	785.88	457.25	269.6	316.37	802.41	116.78	435.55	239.52	87.03	529.06	285.03	366.09	339.14
EVA1B	642.59	130.6	246.28	85.22	122.64	145.02	780.44	447.82	444.72	511.0	438.59	563.18	536.45	836.53	543.96	327.56	551.56	599.49	854.13	647.07	536.45	532.74	67.12	285.03	0.0	0.71	525.39	1143.1	599.49	642.59	529.06	819.3	1359.57	1857.6	1277.29	587.13	1397.83	620.67	1044.52	698.41	514.56	1639.59	1183.45	775.05	1143.1	353.59	1127.35	928.3	674.59
EXOC7	2133.97	660.68	902.89	785.88	698.41	629.35	1757.34	1304.15	1167.14	1135.2	1529.73	1437.15	1175.27	2104.58	1167.14	1397.83	1001.93	1350.18	1111.82	1508.65	1674.06	1127.35	366.09	500.46	0.0	0.8	2090.03	2148.82	2004.85	1909.85	1794.29	2018.8	1991.0	1896.65	2178.83	1709.26	2104.58	1794.29	2303.12	1950.0	2303.12	2796.65	1819.35	1757.34	2591.27	1923.14	1745.2	2090.03	2104.58
FAM104B	693.58	197.09	262.2	297.17	307.69	303.44	536.45	656.11	551.56	412.0	450.94	532.74	435.55	563.18	417.77	426.57	441.64	387.02	525.39	563.18	414.87	309.83	215.77	242.88	0.0	0.16	595.34	780.44	909.17	819.3	802.41	616.37	536.45	660.68	941.27	624.99	511.0	866.07	540.19	708.18	595.34	708.18	511.0	753.83	591.22	665.29	669.92	575.03	753.83
FBXO27	301.33	5.45	17.13	7.94	5.23	7.57	208.38	68.07	81.14	80.57	53.95	120.94	76.17	135.24	48.52	56.68	29.06	92.7	106.63	91.41	66.65	35.0	32.82	186.4	0.0	0.42	211.31	287.01	358.54	334.46	371.22	139.07	400.71	540.19	497.0	69.03	301.33	130.6	255.0	113.56	400.71	1250.98	152.28	532.74	269.6	130.6	256.78	669.92	309.83
FHL3	5255.91	69.03	96.01	109.66	74.58	72.01	2701.35	1304.15	854.13	796.86	486.75	1322.37	872.1	1001.93	988.12	567.1	884.29	796.86	967.76	1350.18	974.5	733.19	144.01	417.77	0.0	0.45	2104.58	3124.78	1733.13	1583.71	1467.37	2485.67	1088.92	1081.39	961.07	934.76	1268.46	819.3	1001.93	669.92	642.59	1066.48	878.17	1427.22	693.58	532.74	1378.57	1397.83	743.43
FREM1	624.99	3.03	9.2	18.56	5.59	5.68	55.1	30.12	9.56	19.39	11.3	27.05	6.26	48.87	10.08	21.01	12.09	17.0	22.43	15.22	30.12	34.75	6.01	0.0	0.0	0.17	123.5	126.12	77.79	140.04	75.64	167.9	171.45	848.22	493.56	182.55	123.5	87.03	76.71	71.5	80.57	470.14	40.93	63.89	111.21	91.41	70.01	98.73	43.63
GAREML	152.28	90.14	32.13	61.68	78.89	105.15	164.42	120.94	75.11	53.19	94.01	102.25	49.91	116.78	94.01	63.45	87.65	65.26	95.34	106.63	104.42	75.64	1.13	54.33	0.0	0.48	186.4	211.31	182.55	242.88	181.28	147.06	204.07	325.29	221.86	159.9	194.36	255.0	120.94	244.57	205.5	279.14	123.5	232.94	303.44	180.02	169.07	253.23	144.01
GP1BB	120.94	5.19	8.85	6.36	5.41	10.08	119.26	8.71	30.34	25.35	21.01	22.75	27.64	31.45	14.78	33.78	17.64	59.13	70.51	24.46	34.02	38.67	3.2	13.62	0.0	0.51	25.35	119.26	47.84	121.79	87.03	17.25	150.17	366.09	255.0	24.28	55.89	52.08	81.71	28.04	65.72	141.02	149.12	11.13	108.14	16.15	17.38	50.63	38.4
