	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.P3.A6T4.01A.11R.A34R.07	TCGA.CV.7424.01A.11R.2081.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.WQUQ.1926.SM.4OOSA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.21.5782.01A.01R.1635.07	TCGA.NC.A5HQ.01A.11R.A26W.07	TCGA.98.A53J.01A.11R.A26W.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO
CD9	55877.28	15075.35	29327.18	31870.96	3639.7	1963.57	1963.57	775.05	2193.99	1001.93	9215.48	11504.21	40341.14	53973.86	47313.67	25005.23	53601.03	24832.5	48307.85	33455.53	40621.74	32767.0	53230.77
CDH8	38.12	29.7	32.13	175.07	0.0	0.99	4.03	0.0	2.58	0.0	0.0	0.1	120.1	12.45	43.63	86.43	24.63	31.0	26.1	76.71	31.0	58.3	38.95
CLDND1	5255.91	1794.29	3564.78	4010.71	244.57	438.59	486.75	356.05	616.37	441.64	3081.75	1037.29	3716.2	4358.66	4543.8	1059.11	571.05	743.43	660.68	1151.06	563.18	860.08	915.51
CNBP	10585.95	13872.08	14765.09	18819.27	5292.48	3190.46	3847.29	4095.0	6250.56	6207.38	7081.29	13968.57	7857.29	10440.2	12502.12	9876.98	8363.13	9474.59	7966.99	9215.48	8421.31	8963.45	7537.18
COMMD2	769.69	1119.56	915.51	1015.93	209.84	170.25	143.01	137.14	175.07	165.57	693.58	400.71	1088.92	1159.07	954.43	226.54	194.36	295.11	336.79	283.05	256.78	366.09	301.33
COX17	2855.44	2255.7	4937.99	3589.58	2384.37	2739.08	2777.33	2303.12	3168.41	2645.74	0.0	0.78	3303.0	3212.66	5441.3	1896.65	7032.37	3742.05	5147.73	4358.66	5006.93	5183.54	4210.15
CRABP2	53601.03	12502.12	1037.29	53601.03	15.45	43.02	17.64	13.72	13.22	24.28	0.0	0.74	1709.26	1073.91	14561.8	3614.55	7803.01	3820.7	6337.83	4769.75	7130.55	6426.31	11992.79
CSNK1D	2133.97	3124.78	2627.46	2287.2	1183.45	1295.13	961.07	915.51	961.07	1127.35	0.0	1.04	3060.45	3372.43	3124.78	2384.37	2224.63	1909.85	2047.0	2047.0	2209.26	2163.77	1936.53
CTC-349C3.1	521.76	78.89	44.57	54.72	5.41	14.24	8.25	6.84	16.15	8.19	0.0	0.62	77.25	802.41	1001.93	13.72	19.97	17.25	17.13	24.46	14.78	34.02	42.71
CUL3	1487.87	1295.13	1073.91	1268.46	713.11	884.29	915.51	361.04	974.5	780.44	728.11	928.3	1023.0	1487.87	1806.78	878.17	1151.06	1119.56	1066.48	1037.29	1030.12	1313.23	928.3
DAPK2	75.64	120.94	158.79	379.04	346.29	158.79	150.17	31.67	48.87	18.84	0.0	0.39	301.33	157.68	118.43	150.17	262.2	112.77	356.05	320.8	299.25	780.44	392.44
DCUN1D1	674.59	1081.39	954.43	1183.45	221.86	111.21	146.03	125.24	177.53	218.79	356.05	149.12	884.29	656.11	909.17	435.55	232.94	395.18	267.73	454.09	336.79	363.56	309.83
DHX36	1378.57	1857.6	1508.65	1388.16	285.03	209.84	293.07	158.79	289.02	341.51	497.0	177.53	1477.58	1572.76	1628.26	567.1	674.59	620.67	591.22	748.61	607.87	769.69	733.19
DVL3	2835.7	1350.18	3419.52	1685.71	507.46	358.54	417.77	358.54	305.55	356.05	0.0	1.39	2855.44	3349.13	2895.31	1378.57	1030.12	934.76	921.88	1044.52	1037.29	961.07	896.64
EIF2A	3168.41	3467.27	3443.31	3168.41	1208.34	1191.69	842.36	532.74	1081.39	1059.11	0.0	0.89	2119.22	3564.78	2835.7	1295.13	1709.26	2018.8	1662.49	1733.13	1551.09	2061.24	2090.03
EIF2B5	2303.12	1883.54	2520.38	1519.15	603.67	738.29	674.59	571.05	703.28	780.44	0.0	1.3	2609.3	3515.68	3146.52	947.83	1628.26	961.07	1268.46	1143.1	1119.56	1250.98	1417.35
EIF4G1	8963.45	14163.58	10084.54	15180.22	6935.54	6840.04	7032.37	5633.22	5872.48	8901.53	4736.79	579.04	16727.26	9808.75	10154.69	4038.61	5441.3	4123.49	4268.94	3847.29	4388.98	3794.3	4210.15
EPHB3	438.59	872.1	1104.13	2163.77	0.79	8.65	9.2	5.11	7.51	3.92	0.0	0.59	1378.57	579.04	954.43	134.3	21.78	31.0	31.67	51.71	34.51	70.01	366.09
FAM102A	651.58	1051.79	1572.76	1936.53	432.53	251.48	186.4	647.07	540.19	248.0	0.0	0.72	1119.56	1540.37	2816.11	1030.12	1081.39	1199.98	961.07	836.53	1127.35	1051.79	764.36
FAM110C	1044.52	540.19	466.88	1183.45	65.72	57.89	158.79	149.12	215.77	114.36	0.0	0.57	305.55	381.68	723.08	607.87	2287.2	785.88	934.76	532.74	409.15	1225.22	1651.0
FBXO45	397.93	1051.79	329.84	860.08	85.22	69.52	59.13	39.5	54.72	74.06	0.0	0.29	728.11	511.0	470.14	114.36	101.54	100.13	115.97	146.03	107.38	103.69	125.24
FMNL2	255.0	395.18	316.37	532.74	45.85	56.68	56.68	24.11	30.34	63.0	0.0	0.57	281.09	457.25	409.15	197.09	104.42	173.85	109.66	204.07	106.63	232.94	190.34
GFM1	934.76	1259.69	693.58	915.51	551.56	406.31	450.94	638.15	656.11	825.0	551.56	195.72	688.78	1397.83	1088.92	447.82	483.38	624.99	579.04	571.05	571.05	460.44	500.46
GMPS	1594.73	2240.11	2855.44	1963.57	460.44	447.82	480.04	312.0	336.79	493.56	0.0	0.95	3103.19	2520.38	2400.97	540.19	638.15	718.08	656.11	633.73	607.87	651.58	583.07
GRB7	1286.18	713.11	435.55	1572.76	36.79	91.41	232.94	105.89	105.15	94.67	0.0	0.16	599.49	1111.82	878.17	543.96	417.77	1127.35	1111.82	775.05	836.53	708.18	555.41
GTPBP8	255.0	293.07	551.56	291.04	98.73	63.0	76.17	73.54	115.16	108.14	0.0	0.36	480.04	366.09	457.25	140.04	144.01	134.3	123.5	143.01	162.14	171.45	164.42
HAT1	934.76	825.0	921.88	1066.48	403.5	450.94	463.65	229.72	432.53	363.56	0.0	0.61	1175.27	1073.91	1250.98	529.06	543.96	693.58	748.61	651.58	599.49	629.35	713.11
HIST1H4K	5.87	21.94	28.45	15.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	19.53	72.52	0.0	0.0	0.0	9.41	0.0	0.0	0.0	0.0	52.45
HMCES	2400.97	1745.2	3690.52	2682.69	728.11	842.36	872.1	769.69	819.3	842.36	0.0	0.88	1909.85	1437.15	2976.74	866.07	728.11	896.64	748.61	713.11	688.78	860.08	802.41
HOXC10	161.02	441.64	223.41	115.97	0.0	0.0	0.0	0.0	0.0	9.63	0.0	0.4	138.1	51.35	81.71	11.91	18.56	14.67	2.25	13.42	7.34	12.93	20.56
HOXC11	34.02	96.01	66.65	62.56	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.27	33.54	51.71	24.81	4.43	1.13	1.1	3.14	3.76	3.63	2.63	15.45
ITPKC	2502.97	1745.2	642.59	2520.38	336.79	444.72	420.68	157.68	208.38	264.03	0.0	0.09	633.73	2133.97	813.63	438.59	368.65	567.1	518.15	463.65	381.68	423.61	457.25
JMJD6	1806.78	733.19	872.1	764.36	348.71	674.59	543.96	258.57	384.34	426.57	0.0	0.16	647.07	1175.27	1242.34	543.96	713.11	316.37	599.49	660.68	381.68	476.71	583.07
KIAA1257	8.99	20.71	92.7	34.75	0.0	1.83	2.16	0.0	2.32	0.0	0.0	0.19	13.03	4.5	18.97	6.73	7.34	8.78	3.47	8.78	3.89	11.13	8.19
KIAA2018	289.02	150.17	420.68	249.73	144.01	105.15	173.85	151.22	193.01	239.52	0.0	0.45	115.97	293.07	356.05	155.5	182.55	190.34	159.9	189.02	155.5	211.31	172.65
KPNA4	759.08	1447.15	902.89	967.76	190.34	152.28	162.14	88.26	154.42	193.01	397.93	277.2	532.74	753.83	808.0	466.88	260.38	368.65	267.73	486.75	329.84	417.77	309.83
KRT85	0.68	18.97	3.29	2.01	0.52	3.35	0.0	6.16	0.64	0.0	0.0	0.0	6.06	1.79	0.45	1.41	0.68	6.01	0.0	3.44	1.48	0.0	0.89
KRTAP17-1	3.38	0.97	5.45	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.46	3.63	9.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LNX1	432.53	103.69	693.58	269.6	110.43	32.82	27.84	32.59	67.59	22.75	0.0	0.16	511.0	170.25	212.78	275.28	497.0	457.25	511.0	595.34	529.06	435.55	1143.1
LSG1	1143.1	1540.37	967.76	825.0	341.51	327.56	202.66	175.07	271.48	373.81	514.56	599.49	1508.65	1721.16	1487.87	457.25	753.83	463.65	417.77	629.35	432.53	503.95	447.82
MBD4	884.29	995.0	1088.92	981.29	205.5	420.68	363.56	146.03	400.71	483.38	0.0	0.85	708.18	1208.34	1295.13	426.57	403.5	466.88	454.09	470.14	420.68	579.04	429.54
MCCC1	688.78	967.76	1313.23	438.59	842.36	603.67	493.56	896.64	1159.07	825.0	0.0	0.11	854.13	1397.83	1322.37	490.14	493.56	493.56	536.45	420.68	454.09	638.15	563.18
MFF	1617.0	1286.18	1295.13	1806.78	1135.2	1143.1	961.07	921.88	1073.91	679.29	0.0	1.07	1594.73	1467.37	1909.85	1662.49	1572.76	1709.26	1540.37	1757.34	1832.01	1733.13	1250.98
MFN1	915.51	1119.56	660.68	1044.52	139.07	82.29	113.56	81.71	110.43	162.14	348.71	348.71	738.29	1551.09	1073.91	343.89	339.14	384.34	463.65	414.87	371.22	420.68	497.0
MRPS22	1721.16	2255.7	1685.71	1721.16	854.13	848.22	1208.34	967.76	1111.82	1127.35	1250.98	392.44	1350.18	1583.71	1605.83	656.11	708.18	718.08	718.08	679.29	708.18	713.11	679.29
MYNN	403.5	470.14	543.96	423.61	116.78	100.83	92.7	71.0	102.25	109.66	0.0	0.6	441.64	511.0	486.75	206.94	234.57	180.02	208.38	255.0	209.84	241.19	228.13
NDRG4	555.41	1111.82	934.76	2976.74	24.28	75.64	7.0	15.45	7.51	65.26	0.0	0.65	587.13	363.56	3742.05	1936.53	3690.52	3349.13	2090.03	2335.28	2976.74	2758.13	1350.18
NDUFB4	8134.41	5219.6	12676.65	8658.09	4704.07	4575.41	5366.37	5711.87	4181.07	4903.87	0.0	1.28	6607.01	8247.98	15499.21	4512.4	6294.04	5255.91	5183.54	4736.79	5954.47	5112.16	4152.18
NDUFB5	2485.67	2935.74	4937.99	2739.08	1407.55	1685.71	2163.77	2271.4	2104.58	1819.35	1963.57	106.63	3874.05	4268.94	7180.15	1605.83	1936.53	1819.35	1832.01	2193.99	1697.45	2209.26	2255.7
NMNAT3	267.73	248.0	511.0	320.8	46.18	76.17	45.21	73.03	61.25	17.0	0.0	0.47	318.57	297.17	134.3	164.42	77.79	106.63	82.87	114.36	115.97	88.88	109.66
NRARP	447.82	454.09	329.84	872.1	50.27	121.79	63.0	34.51	35.76	23.93	0.0	0.61	607.87	713.11	1119.56	76.71	75.11	33.3	19.11	48.18	39.5	82.87	220.32
PCYT1A	1159.07	1870.53	1191.69	2520.38	493.56	470.14	447.82	275.28	281.09	312.0	0.0	0.96	1427.22	3168.41	2485.67	665.29	525.39	493.56	571.05	629.35	567.1	563.18	547.75
PDCD10	2627.46	2796.65	1757.34	2434.5	426.57	454.09	571.05	190.34	457.25	371.22	0.0	0.87	2434.5	3349.13	3257.52	591.22	607.87	718.08	718.08	642.59	642.59	674.59	633.73
PIK3R4	1001.93	878.17	1447.15	1167.14	521.76	493.56	514.56	567.1	647.07	620.67	0.0	0.55	902.89	1104.13	1127.35	536.45	669.92	738.29	559.28	514.56	511.0	642.59	813.63
PLCB1	63.0	332.14	143.01	173.85	72.52	59.13	15.56	2.18	32.13	13.12	0.0	0.27	258.57	63.89	155.5	525.39	454.09	503.95	450.94	571.05	497.0	392.44	536.45
PLD1	1008.9	1242.34	1268.46	1896.65	178.77	92.7	146.03	249.73	305.55	43.02	0.0	0.69	500.46	603.67	1519.15	108.14	45.85	202.66	97.36	113.56	82.87	76.17	90.14
PLEKHG6	616.37	123.5	616.37	854.13	44.25	511.0	85.22	71.0	116.78	287.01	0.0	0.27	497.0	532.74	713.11	59.55	62.12	46.18	61.25	39.22	51.35	59.97	94.67
PPP1R2	1628.26	1844.76	1457.23	1447.15	271.48	226.54	237.86	124.37	241.19	209.84	733.19	521.76	2367.9	1508.65	1936.53	988.12	928.3	1023.0	791.35	934.76	890.44	1104.13	813.63
PRKCI	738.29	909.17	1066.48	679.29	68.07	80.01	72.52	46.84	73.54	87.65	283.05	84.04	473.41	995.0	1378.57	262.2	178.77	356.05	201.25	277.2	198.47	438.59	320.8
RAB7A	8538.88	8598.28	9409.14	16269.83	2701.35	2367.9	2367.9	2664.15	2816.11	3235.01	4802.93	1781.89	5006.93	7280.4	11745.96	3280.18	3515.68	3847.29	3235.01	3467.27	3395.89	3589.58	2796.65
RNF168	457.25	486.75	603.67	748.61	94.01	52.45	46.84	55.49	145.02	83.45	0.0	0.79	1073.91	679.29	432.53	133.36	139.07	133.36	119.26	169.07	126.12	164.42	105.89
RP11-697E2.6	10.79	7.88	4.82	11.38	3.17	2.12	3.44	1.89	4.74	2.76	0.0	0.15	9.93	6.11	12.27	5.45	7.57	4.46	5.19	4.86	4.17	5.23	6.41
RPS6KB1	441.64	1143.1	339.14	384.34	195.72	154.42	114.36	70.51	212.78	140.04	0.0	0.54	356.05	743.43	536.45	273.37	248.0	297.17	318.57	327.56	275.28	318.57	320.8
SEC22A	521.76	764.36	457.25	825.0	220.32	177.53	283.05	183.82	175.07	201.25	0.0	0.55	511.0	525.39	934.76	224.97	197.09	262.2	307.69	242.88	197.09	265.87	255.0
SELT	2400.97	5329.3	2855.44	5672.41	1313.23	1073.91	2104.58	1143.1	1583.71	1572.76	3540.14	860.08	3690.52	4152.18	3349.13	2104.58	2956.17	2520.38	3257.52	2758.13	2591.27	3103.19	2319.15
SEMG1	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	6.52	0.0	4.86	2232145.06	3134925.09	2636147.11	4817989.11	3576208.94	4433454.0	3336720.86	4817989.11
SENP2	698.41	1059.11	872.1	698.41	197.09	122.64	115.16	180.02	190.34	199.85	346.29	275.28	1167.14	866.07	1066.48	363.56	368.65	438.59	341.51	420.68	414.87	417.77	441.64
SERP1	2335.28	4152.18	3103.19	3060.45	1923.14	1781.89	1594.73	1639.59	2591.27	2609.3	0.0	0.72	3515.68	3349.13	3190.46	2701.35	4388.98	3419.52	3716.2	3372.43	4095.0	3901.01	4268.94
SIAH2	1844.76	1388.16	3639.7	2255.7	595.34	669.92	651.58	1313.23	1037.29	718.08	0.0	0.88	3874.05	2895.31	1617.0	860.08	1175.27	808.0	583.07	1233.75	435.55	848.22	571.05
SRRM3	457.25	299.25	379.04	543.96	1.85	11.91	5.28	2.27	1.99	0.99	0.0	0.57	273.37	698.41	638.15	28.45	25.35	24.63	14.45	41.22	24.28	48.87	50.98
STK35	441.64	285.03	264.03	463.65	101.54	146.03	70.01	92.7	63.0	103.69	0.0	0.67	368.65	309.83	376.41	186.4	180.02	186.4	164.42	177.53	172.65	187.71	224.97
TACC2	1397.83	802.41	1073.91	1561.89	497.0	371.22	269.6	226.54	170.25	384.34	0.0	0.14	1216.75	1268.46	1322.37	775.05	500.46	603.67	384.34	551.56	525.39	420.68	808.0
TDRD12	7.51	3.23	13.42	0.4	0.54	0.95	0.51	0.0	0.0	0.12	0.0	0.15	6.73	2.1	2.86	1.35	20.11	4.5	14.14	0.97	1.87	6.73	13.12
TFDP2	591.22	1487.87	1250.98	981.29	132.44	154.42	115.16	190.34	271.48	295.11	0.0	0.59	878.17	872.1	1167.14	384.34	281.09	414.87	412.0	470.14	343.89	376.41	423.61
TIMMDC1	4038.61	3081.75	3665.02	3639.7	1378.57	1477.58	1674.06	791.35	1199.98	1369.04	0.0	0.84	3146.52	3467.27	5006.93	2400.97	3081.75	2555.58	2816.11	2758.13	3280.18	3325.99	2935.74
TMPRSS4	3467.27	2796.65	3280.18	3614.55	0.0	6.06	3.08	5.92	1.73	0.0	0.0	0.0	7130.55	6561.36	5076.84	0.0	7.51	23.25	9.85	1.89	0.59	65.72	20.41
TMUB2	1183.45	703.28	967.76	612.11	239.52	591.22	665.29	476.71	441.64	536.45	0.0	0.64	738.29	1191.69	1313.23	1135.2	1216.75	785.88	1051.79	1159.07	1081.39	981.29	1378.57
U2SURP	2075.59	1794.29	1977.24	2485.67	262.2	483.38	289.02	61.25	251.48	209.84	0.0	1.13	1794.29	2271.4	1733.13	651.58	603.67	638.15	629.35	698.41	543.96	796.86	633.73
UGT1A10	420.68	143.01	123.5	120.94	76.71	248.0	150.17	96.68	101.54	0.0	0.0	0.0	98.73	1757.34	6.57	1.73	0.0	0.0	0.0	0.0	0.46	0.0	5.36
VPS8	698.41	575.03	444.72	353.59	97.36	111.99	91.41	102.25	102.97	127.0	0.0	0.79	563.18	1081.39	748.61	293.07	223.41	244.57	217.27	220.32	209.84	258.57	460.44
WDR45B	1369.04	1457.23	2287.2	1477.58	848.22	599.49	796.86	638.15	743.43	713.11	0.0	1.03	3372.43	2591.27	3325.99	1081.39	1073.91	974.5	1008.9	1059.11	1001.93	1030.12	1191.69
WDR53	432.53	1216.75	503.95	796.86	132.44	175.07	108.9	66.65	115.16	128.79	0.0	0.39	981.29	728.11	718.08	180.02	183.82	175.07	249.73	224.97	144.01	186.4	199.85
WDR5B	87.03	51.35	154.42	90.77	34.51	43.32	43.32	33.78	45.53	40.93	0.0	0.0	46.84	162.14	248.0	88.88	113.56	108.14	120.94	130.6	120.1	139.07	178.77
WISP3	8.58	346.29	6.46	64.8	1.48	1.0	1.83	7.46	4.94	2.89	0.0	0.33	73.03	11.91	3.32	3.56	1.87	3.11	1.01	3.41	1.91	5.5	27.84
ZXDC	486.75	547.75	620.67	432.53	212.78	153.34	236.21	228.13	316.37	251.48	0.0	0.23	389.72	511.0	961.07	334.46	260.38	285.03	339.14	291.04	264.03	334.46	260.38
