	TCGA.AZ.4323.01A.21R.1839.07	GTEX.Y111.1826.SM.4SOIR	GTEX.11DYG.1326.SM.5N9DO	GTEX.X585.1226.SM.46MW7	GTEX.P78B.1026.SM.3NMC4	GTEX.Y111.1726.SM.4SOIQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	GTEX.T2IS.0926.SM.4DM5B	TCGA.BP.4988.01A.01R.1334.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.145MO.2326.SM.5NQ9K	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.11ZVC.0726.SM.5FQT9	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.MP.A4TH.01A.31R.A262.07	TCGA.38.4625.01A.01R.1206.07	TCGA.MP.A4T6.01A.32R.A262.07	TCGA.44.A4SU.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.91.8497.01A.11R.2403.07	TCGA.55.8097.01A.11R.2241.07	TCGA.55.8087.01A.11R.2241.07	TCGA.85.A4PA.01A.11R.A24Z.07
CENPT	1331.57	2855.44	1857.6	2520.38	1745.2	3235.01	2645.74	2645.74	2271.4	2502.97	327.56	283.05	206.94	346.29	172.65	435.55	320.8	389.72	642.59	579.04	309.83	457.25	293.07	305.55	518.15	708.18	348.71	244.57	660.68	255.0	607.87	271.48	201.25	287.01	305.55	438.59	414.87	447.82	708.18	332.14	258.57	265.87	314.17	406.31	409.15	497.0	251.48	186.4	463.65	511.0	327.56	336.79	368.65	371.22	540.19	194.36	221.86	480.04	332.14	206.94	1044.52	713.11	813.63	1096.5	0.0	1909.85	1359.57	1.17	954.43	796.86	764.36	1923.14
CHKB	1870.53	3303.0	3124.78	3794.3	2400.97	3901.01	3212.66	3081.75	3039.3	4328.55	473.41	656.11	201.25	373.81	323.03	928.3	624.99	842.36	890.44	808.0	607.87	785.88	559.28	748.61	1295.13	1059.11	575.03	599.49	1135.2	412.0	1191.69	441.64	295.11	473.41	529.06	808.0	1030.12	884.29	1757.34	414.87	334.46	738.29	529.06	624.99	1225.22	878.17	466.88	258.57	1001.93	909.17	466.88	616.37	830.75	567.1	825.0	356.05	551.56	1023.0	529.06	351.14	1628.26	1721.16	2895.31	2682.69	0.0	2875.3	1617.0	1.22	2255.7	2075.59	1594.73	4123.49
CHKB-CPT1B	277.2	141.02	176.29	543.96	366.09	183.82	109.66	65.26	143.01	307.69	74.06	75.11	5.87	81.71	3.03	143.01	12.45	35.25	104.42	98.73	52.82	65.26	71.0	42.41	53.57	141.02	31.9	144.01	51.71	21.16	18.29	40.36	2.48	29.48	59.97	73.54	52.45	10.88	271.48	28.86	63.0	16.51	36.01	146.03	82.87	64.8	28.04	33.3	105.89	94.01	58.71	21.32	79.45	101.54	165.57	4.78	29.48	27.44	24.11	80.57	376.41	190.34	269.6	279.14	0.0	258.57	334.46	1.03	363.56	417.77	309.83	796.86
CLK2	2271.4	1605.83	2032.85	2451.44	2178.83	1794.29	1697.45	1844.76	1487.87	2468.49	438.59	305.55	86.43	273.37	195.72	629.35	423.61	595.34	866.07	941.27	423.61	753.83	329.84	316.37	629.35	896.64	438.59	397.93	616.37	253.23	780.44	346.29	277.2	450.94	358.54	366.09	480.04	595.34	909.17	239.52	303.44	341.51	595.34	500.46	438.59	591.22	262.2	275.28	718.08	830.75	229.72	346.29	591.22	389.72	819.3	87.65	244.57	514.56	376.41	242.88	2133.97	1467.37	2319.15	1709.26	0.0	3395.89	2335.28	0.82	1304.15	1167.14	1697.45	2148.82
CPT1B	1066.48	1030.12	1313.23	2976.74	1697.45	1313.23	1233.75	961.07	1427.22	1745.2	500.46	205.5	20.56	197.09	39.22	414.87	124.37	215.77	713.11	334.46	265.87	224.97	218.79	134.3	336.79	693.58	110.43	253.23	312.0	132.44	123.5	178.77	10.71	197.09	198.47	231.32	231.32	50.63	941.27	202.66	163.28	86.43	244.57	493.56	253.23	336.79	170.25	92.05	376.41	224.97	275.28	158.79	507.46	303.44	490.14	31.67	115.16	148.09	136.19	226.54	1388.16	679.29	1015.93	902.89	0.0	974.5	1135.2	1.3	1023.0	1757.34	1350.18	3039.3
CTC1	878.17	759.08	674.59	884.29	872.1	819.3	1023.0	967.76	738.29	1286.18	180.02	211.31	93.35	136.19	83.45	264.03	241.19	381.68	381.68	303.44	291.04	191.67	183.82	329.84	279.14	366.09	127.0	141.02	211.31	218.79	327.56	172.65	137.14	158.79	343.89	193.01	127.89	214.27	267.73	138.1	132.44	130.6	167.9	341.51	366.09	129.69	202.66	181.28	267.73	295.11	155.5	392.44	368.65	214.27	229.72	144.01	182.55	194.36	80.01	158.79	656.11	708.18	921.88	1277.29	0.0	660.68	785.88	0.96	896.64	392.44	638.15	1427.22
CTRL	75.11	55.89	49.21	44.89	42.41	74.58	45.53	77.79	33.06	204.07	1.71	3.17	3.79	9.93	3.41	17.13	11.64	2.05	13.42	4.28	7.4	22.75	6.52	3.89	16.75	16.27	11.91	2.1	18.97	3.44	16.39	14.35	10.24	10.39	3.56	13.12	12.36	22.26	26.47	6.78	9.41	17.77	15.91	6.84	12.0	12.55	2.89	2.32	13.42	6.26	8.13	11.64	10.47	5.63	16.63	0.0	25.54	33.06	27.84	6.52	15.45	18.16	8.58	30.34	0.0	32.82	24.63	0.56	16.63	8.25	8.32	176.29
CUL9	934.76	1437.15	1844.76	2075.59	2032.85	1794.29	1369.04	1477.58	1088.92	1950.0	356.05	201.25	118.43	301.33	162.14	414.87	376.41	329.84	684.02	688.78	379.04	587.13	267.73	325.29	406.31	529.06	432.53	423.61	457.25	224.97	406.31	295.11	234.57	334.46	244.57	395.18	376.41	358.54	638.15	234.57	301.33	406.31	379.04	323.03	343.89	444.72	220.32	297.17	514.56	521.76	237.86	175.07	403.5	258.57	486.75	99.43	186.4	329.84	279.14	341.51	1030.12	890.44	1051.79	890.44	0.0	1378.57	1286.18	0.96	860.08	974.5	748.61	1794.29
DENND4B	1388.16	1250.98	1030.12	1242.34	1216.75	1199.98	1397.83	1529.73	1008.9	2739.08	170.25	117.6	96.68	165.57	87.65	199.85	149.12	234.57	497.0	361.04	343.89	208.38	155.5	204.07	293.07	423.61	224.97	271.48	206.94	162.14	289.02	114.36	175.07	183.82	164.42	197.09	159.9	281.09	454.09	172.65	265.87	226.54	205.5	242.88	260.38	226.54	92.7	175.07	299.25	351.14	130.6	264.03	267.73	195.72	293.07	55.49	104.42	191.67	155.5	209.84	1340.84	890.44	1167.14	1417.35	379.04	1605.83	1015.93	684.02	1259.69	713.11	759.08	2997.45
DGCR8	575.03	713.11	785.88	460.44	954.43	791.35	748.61	928.3	587.13	563.18	293.07	171.45	115.97	159.9	123.5	201.25	575.03	229.72	232.94	392.44	212.78	198.47	199.85	231.32	218.79	429.54	209.84	218.79	147.06	100.83	289.02	158.79	178.77	246.28	493.56	150.17	197.09	297.17	371.22	197.09	271.48	140.04	229.72	209.84	215.77	163.28	111.99	144.01	275.28	559.28	100.13	144.01	476.71	173.85	271.48	111.99	187.71	228.13	181.28	143.01	480.04	480.04	532.74	612.11	0.0	583.07	684.02	0.65	518.15	599.49	438.59	620.67
DMAP1	896.64	872.1	1008.9	1081.39	1104.13	1119.56	1037.29	1259.69	974.5	1135.2	486.75	432.53	329.84	656.11	376.41	753.83	595.34	748.61	1216.75	612.11	733.19	878.17	551.56	483.38	769.69	884.29	633.73	703.28	890.44	698.41	1008.9	607.87	633.73	555.41	429.54	759.08	947.83	848.22	981.29	400.71	409.15	647.07	624.99	808.0	669.92	878.17	480.04	642.59	860.08	836.53	808.0	490.14	684.02	769.69	688.78	275.28	264.03	583.07	551.56	802.41	780.44	1044.52	896.64	954.43	547.75	2090.03	1259.69	100.83	1081.39	836.53	947.83	1259.69
DPH7	1143.1	1594.73	1457.23	1551.09	1044.52	1844.76	1697.45	1551.09	1313.23	1388.16	249.73	169.07	54.33	169.07	100.83	267.73	214.27	287.01	555.41	353.59	242.88	279.14	231.32	223.41	305.55	361.04	218.79	180.02	339.14	226.54	287.01	237.86	116.78	183.82	239.52	241.19	201.25	307.69	511.0	221.86	165.57	195.72	197.09	381.68	237.86	423.61	183.82	112.77	295.11	518.15	221.86	275.28	251.48	260.38	346.29	103.69	231.32	348.71	206.94	119.26	764.36	521.76	555.41	669.92	0.0	921.88	1008.9	0.93	748.61	679.29	733.19	1437.15
ELMOD3	379.04	780.44	540.19	656.11	669.92	836.53	785.88	688.78	688.78	723.08	264.03	193.01	96.01	186.4	121.79	291.04	191.67	228.13	223.41	341.51	255.0	289.02	265.87	138.1	289.02	353.59	224.97	264.03	269.6	175.07	205.5	217.27	155.5	305.55	186.4	251.48	224.97	256.78	447.82	265.87	172.65	171.45	226.54	264.03	209.84	267.73	201.25	209.84	262.2	267.73	297.17	118.43	273.37	167.9	295.11	130.6	97.36	253.23	248.0	212.78	403.5	470.14	334.46	450.94	0.0	466.88	547.75	0.65	444.72	318.57	403.5	514.56
ENTHD2	866.07	1191.69	1191.69	1519.15	1304.15	995.0	1295.13	995.0	890.44	1594.73	224.97	234.57	70.01	178.77	99.43	202.66	158.79	204.07	281.09	283.05	205.5	248.0	185.11	241.19	309.83	429.54	158.79	332.14	343.89	148.09	332.14	162.14	190.34	255.0	186.4	231.32	244.57	295.11	620.67	232.94	202.66	234.57	205.5	312.0	258.57	293.07	126.12	172.65	316.37	412.0	151.22	180.02	249.73	267.73	389.72	103.69	120.1	273.37	208.38	215.77	651.58	559.28	583.07	1030.12	0.0	1088.92	934.76	0.99	733.19	743.43	447.82	1832.01
GGA1	1183.45	1397.83	1572.76	2287.2	1662.49	1551.09	1417.35	1304.15	1277.29	2224.63	511.0	476.71	271.48	599.49	193.01	733.19	406.31	579.04	854.13	748.61	642.59	703.28	486.75	334.46	693.58	728.11	607.87	563.18	813.63	356.05	921.88	435.55	389.72	463.65	381.68	633.73	629.35	599.49	1015.93	409.15	325.29	567.1	651.58	616.37	642.59	738.29	356.05	387.02	802.41	974.5	575.03	414.87	660.68	629.35	825.0	256.78	236.21	595.34	480.04	423.61	1175.27	1295.13	1674.06	1477.58	0.0	1104.13	1674.06	0.92	1242.34	1233.75	1304.15	1896.65
HIC2	115.16	79.45	53.57	52.45	81.14	92.7	82.87	75.64	92.05	52.82	19.53	43.94	13.72	30.12	5.45	10.24	21.32	14.14	19.39	51.71	11.47	18.16	16.75	4.9	17.38	45.85	9.93	19.53	4.94	5.59	12.55	11.91	9.27	31.0	8.0	33.3	12.27	33.3	37.59	19.68	11.21	4.5	9.93	10.63	8.92	18.16	12.18	6.16	19.11	61.68	13.72	46.5	25.91	16.63	11.3	9.7	4.62	8.71	10.24	8.32	36.79	51.35	90.14	58.71	0.0	47.5	49.21	0.48	60.39	52.45	48.87	64.34
HINFP	529.06	1008.9	679.29	764.36	860.08	1008.9	921.88	808.0	813.63	836.53	187.71	175.07	76.71	154.42	57.49	166.73	131.51	139.07	181.28	283.05	172.65	181.28	144.01	147.06	267.73	236.21	146.03	167.9	212.78	111.21	289.02	143.01	103.69	229.72	152.28	186.4	191.67	221.86	303.44	137.14	139.07	142.01	162.14	152.28	169.07	178.77	105.89	112.77	205.5	248.0	136.19	152.28	226.54	144.01	212.78	66.65	152.28	164.42	120.1	144.01	438.59	476.71	423.61	518.15	0.0	713.11	591.22	0.56	473.41	583.07	521.76	603.67
HPS4	480.04	579.04	684.02	848.22	753.83	543.96	591.22	612.11	435.55	1233.75	265.87	148.09	86.43	130.6	126.12	249.73	189.02	194.36	285.03	281.09	277.2	191.67	157.68	101.54	269.6	323.03	153.34	139.07	323.03	164.42	289.02	173.85	142.01	166.73	162.14	178.77	291.04	314.17	253.23	99.43	101.54	180.02	220.32	199.85	220.32	271.48	117.6	163.28	334.46	395.18	146.03	155.5	208.38	185.11	241.19	90.77	92.05	246.28	165.57	191.67	329.84	486.75	551.56	438.59	0.0	665.29	587.13	0.68	463.65	460.44	483.38	638.15
ITFG2	1369.04	1096.5	1250.98	1111.82	1477.58	1135.2	1104.13	1073.91	934.76	1806.78	281.09	341.51	115.16	334.46	204.07	358.54	277.2	392.44	432.53	476.71	312.0	376.41	307.69	220.32	412.0	571.05	253.23	218.79	441.64	132.44	384.34	281.09	202.66	420.68	255.0	281.09	536.45	514.56	575.03	267.73	194.36	351.14	312.0	348.71	295.11	414.87	269.6	246.28	366.09	540.19	223.41	273.37	518.15	312.0	348.71	119.26	176.29	332.14	303.44	157.68	624.99	629.35	728.11	909.17	0.0	1008.9	669.92	0.21	988.12	954.43	490.14	1233.75
KCNAB3	260.38	80.57	169.07	119.26	118.43	74.58	114.36	54.33	99.43	242.88	16.51	16.88	4.54	16.75	7.28	7.46	12.74	11.91	12.36	9.2	8.92	19.11	9.27	18.29	11.13	39.22	8.25	1.35	19.11	4.43	13.22	3.14	1.25	8.85	5.54	8.85	16.88	14.35	26.86	1.89	5.15	8.99	20.86	3.82	33.06	23.93	3.29	2.89	29.91	38.95	13.32	18.97	23.42	28.65	13.12	0.84	46.18	22.92	9.41	2.03	84.04	62.12	84.04	96.68	0.0	145.02	197.09	0.8	95.34	94.67	75.11	253.23
KCNMB3	187.71	249.73	73.03	125.24	115.97	159.9	199.85	186.4	176.29	108.14	99.43	127.0	29.06	84.63	42.11	109.66	39.79	162.14	106.63	70.01	65.26	65.26	57.49	31.9	82.87	37.85	59.55	59.13	78.89	43.63	124.37	31.22	25.54	49.56	24.28	17.77	92.05	60.39	95.34	50.98	34.51	68.07	41.81	51.71	51.35	69.52	114.36	15.34	90.14	97.36	25.35	71.5	67.59	131.51	94.01	34.75	34.02	81.14	72.52	32.36	121.79	102.25	118.43	108.9	0.0	351.14	102.25	0.64	121.79	129.69	162.14	165.57
KIAA0895L	1159.07	1359.57	791.35	902.89	981.29	1540.37	1304.15	1407.55	1111.82	1583.71	149.12	110.43	14.14	77.79	13.72	88.88	66.65	105.89	162.14	135.24	116.78	108.9	57.08	102.97	151.22	163.28	44.57	122.64	142.01	69.52	105.15	67.59	33.06	154.42	55.1	53.19	120.94	98.04	242.88	70.51	66.18	24.99	89.51	182.55	102.97	102.25	42.41	78.89	156.59	120.1	78.89	78.34	102.25	131.51	125.24	22.26	17.13	93.35	66.65	45.53	1322.37	575.03	884.29	830.75	0.0	1674.06	819.3	1.23	825.0	713.11	684.02	353.59
KIAA1683	41.81	234.57	121.79	133.36	82.87	249.73	149.12	323.03	159.9	255.0	30.12	24.81	14.56	15.0	27.64	13.42	14.35	60.82	43.63	37.05	32.36	59.97	24.99	9.2	36.53	150.17	27.05	37.05	61.25	22.43	35.25	24.11	11.38	20.26	27.25	28.04	62.56	84.04	38.4	36.01	37.32	118.43	50.63	27.25	197.09	14.24	1.55	10.55	45.53	111.99	19.97	12.18	31.67	21.78	32.13	5.92	12.55	33.06	30.56	30.56	91.41	36.79	166.73	49.56	0.0	76.71	130.6	0.0	71.5	100.83	102.97	120.94
KLHL17	791.35	441.64	521.76	1073.91	529.06	497.0	567.1	486.75	460.44	389.72	49.56	53.57	16.27	59.97	23.76	77.25	45.85	69.03	120.94	122.64	61.25	81.71	40.64	48.52	82.87	119.26	52.82	50.98	93.35	28.86	100.13	48.87	31.0	46.5	40.36	100.13	55.1	84.63	123.5	63.45	43.94	44.57	52.82	79.45	50.98	72.52	40.36	36.27	87.65	80.01	60.39	55.1	54.33	60.39	74.58	21.01	17.38	58.3	49.56	64.8	303.44	332.14	253.23	457.25	0.0	1030.12	775.05	1.22	353.59	470.14	336.79	543.96
LZTR1	1242.34	2178.83	1519.15	1583.71	1806.78	2287.2	1950.0	2104.58	1857.6	2047.0	454.09	348.71	156.59	397.93	189.02	547.75	400.71	470.14	612.11	723.08	490.14	514.56	379.04	616.37	551.56	521.76	426.57	454.09	301.33	255.0	463.65	426.57	309.83	529.06	426.57	493.56	457.25	384.34	723.08	432.53	379.04	395.18	525.39	665.29	493.56	414.87	291.04	314.17	483.38	583.07	403.5	450.94	441.64	432.53	543.96	231.32	297.17	343.89	341.51	540.19	967.76	748.61	1191.69	669.92	0.0	1359.57	1674.06	0.99	1073.91	988.12	995.0	1477.58
MAN2A2	1143.1	1819.35	1111.82	1167.14	1477.58	1721.16	1697.45	1697.45	1639.59	1467.37	457.25	361.04	205.5	403.5	297.17	204.07	262.2	403.5	563.18	514.56	551.56	429.54	287.01	674.59	387.02	733.19	395.18	567.1	341.51	231.32	397.93	271.48	444.72	426.57	334.46	358.54	255.0	400.71	1199.98	232.94	555.41	397.93	454.09	579.04	500.46	320.8	198.47	529.06	514.56	633.73	171.45	547.75	638.15	723.08	483.38	212.78	406.31	381.68	202.66	854.13	1259.69	780.44	669.92	1127.35	0.0	995.0	890.44	1.13	1322.37	884.29	813.63	1199.98
