	TCGA.AC.A3YI.01A.21R.A239.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.S3.A6ZG.01A.22R.A32P.07	TCGA.A7.A13H.01A.11R.A22K.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.LD.A7W6.01A.81R.A352.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.11ZTT.2326.SM.5EQLG	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.SE5C.2126.SM.4BRUJ	GTEX.YB5K.1626.SM.5IFIN	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.UJHI.1426.SM.3DB9C	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	GTEX.1399S.0526.SM.5IJG8
CGN	400.71	616.37	356.05	947.83	400.71	1331.57	1757.34	1111.82	629.35	713.11	0.49	67.59	890.44	0.0	17.0	190.34	19.82	2.68	0.2	158.79	269.6	2.63	9.7	8.85	105.89	332.14	1.48	1.28	890.44	82.29	157.68	82.29	6.46	35.5	3.5	124.37	201.25	12.0	183.82	412.0	15.0	258.57	27.44	141.02	24.28	42.71	307.69	172.65	366.09	267.73	18.7	12.93	68.55	387.02	67.12	318.57	181.28	303.44	30.12	341.51	854.13	226.54	351.14
CHERP	785.88	854.13	921.88	780.44	825.0	878.17	884.29	764.36	1119.56	547.75	256.78	339.14	429.54	376.41	297.17	480.04	228.13	244.57	267.73	376.41	511.0	297.17	287.01	363.56	301.33	409.15	339.14	289.02	429.54	336.79	305.55	297.17	269.6	353.59	438.59	323.03	490.14	334.46	403.5	532.74	212.78	470.14	318.57	493.56	327.56	339.14	323.03	295.11	551.56	571.05	343.89	205.5	244.57	441.64	389.72	599.49	511.0	441.64	379.04	693.58	466.88	466.88	493.56
CLSTN1	1923.14	2835.7	2335.28	2451.44	2400.97	1529.73	2417.67	2148.82	2319.15	2434.5	1051.79	1331.57	1674.06	1143.1	764.36	2163.77	679.29	872.1	616.37	1225.22	1794.29	1259.69	866.07	928.3	1216.75	1331.57	1059.11	743.43	1674.06	1159.07	1388.16	1259.69	796.86	723.08	825.0	1250.98	1651.0	915.51	1487.87	2148.82	718.08	1977.24	1135.2	1844.76	1295.13	1259.69	2032.85	1096.5	2004.85	2178.83	674.59	674.59	723.08	2224.63	1437.15	2573.36	1088.92	1883.54	1340.84	2255.7	1977.24	1175.27	2537.92
CNNM4	255.0	293.07	420.68	406.31	305.55	229.72	466.88	275.28	567.1	285.03	57.89	115.97	368.65	46.84	73.03	130.6	65.72	71.0	48.87	127.0	223.41	83.45	71.0	85.82	90.14	214.27	70.01	45.85	368.65	103.69	127.0	110.43	60.82	64.34	45.85	148.09	182.55	84.04	151.22	283.05	56.28	226.54	106.63	170.25	92.05	89.51	224.97	148.09	166.73	202.66	68.07	69.52	54.72	228.13	141.02	237.86	193.01	211.31	127.89	228.13	536.45	283.05	151.22
CPSF3L	2075.59	2434.5	2739.08	2255.7	3124.78	1909.85	2520.38	2502.97	2701.35	1977.24	1073.91	1119.56	1477.58	1199.98	1051.79	1936.53	1127.35	1051.79	1044.52	1081.39	1397.83	1286.18	1225.22	1096.5	1313.23	1427.22	1322.37	1008.9	1477.58	1437.15	1295.13	1023.0	1295.13	1268.46	1617.0	1051.79	1498.22	934.76	1617.0	1551.09	785.88	1583.71	1529.73	2104.58	1322.37	1037.29	1639.59	1111.82	2224.63	1923.14	1008.9	941.27	830.75	1896.65	1397.83	2178.83	2090.03	1331.57	1540.37	1923.14	1757.34	1685.71	1242.34
CXorf40A	423.61	638.15	1081.39	1030.12	836.53	1268.46	860.08	1277.29	638.15	540.19	320.8	301.33	620.67	371.22	281.09	417.77	271.48	540.19	316.37	275.28	334.46	325.29	332.14	376.41	351.14	373.81	309.83	316.37	620.67	334.46	371.22	299.25	262.2	332.14	384.34	301.33	327.56	194.36	473.41	423.61	279.14	679.29	234.57	363.56	190.34	218.79	142.01	291.04	346.29	403.5	218.79	297.17	323.03	289.02	190.34	656.11	450.94	217.27	320.8	289.02	283.05	341.51	285.03
CXorf40B	1208.34	1340.84	1697.45	1936.53	1487.87	878.17	2018.8	2075.59	1225.22	878.17	808.0	669.92	1259.69	638.15	642.59	921.88	547.75	339.14	684.02	684.02	684.02	633.73	728.11	674.59	616.37	780.44	555.41	688.78	1259.69	591.22	802.41	651.58	476.71	708.18	575.03	460.44	341.51	371.22	860.08	693.58	503.95	1277.29	674.59	866.07	343.89	470.14	571.05	616.37	764.36	796.86	633.73	329.84	575.03	638.15	450.94	532.74	713.11	693.58	688.78	836.53	688.78	616.37	620.67
CYB561	1540.37	1487.87	1250.98	1977.24	1651.0	1950.0	2047.0	1991.0	1369.04	1286.18	547.75	555.41	1104.13	466.88	283.05	941.27	297.17	361.04	318.57	629.35	848.22	620.67	466.88	540.19	633.73	587.13	536.45	358.54	1104.13	305.55	688.78	607.87	312.0	305.55	423.61	642.59	629.35	293.07	1135.2	1088.92	223.41	1388.16	521.76	909.17	1096.5	470.14	1857.6	470.14	802.41	1340.84	244.57	151.22	173.85	928.3	483.38	1369.04	567.1	780.44	603.67	1322.37	595.34	688.78	909.17
DDX51	571.05	483.38	251.48	406.31	470.14	353.59	361.04	764.36	420.68	256.78	130.6	134.3	231.32	218.79	161.02	351.14	92.7	88.26	167.9	205.5	234.57	162.14	155.5	159.9	151.22	195.72	229.72	159.9	231.32	134.3	193.01	193.01	119.26	205.5	301.33	127.0	208.38	117.6	199.85	239.52	99.43	253.23	239.52	180.02	185.11	142.01	224.97	94.01	397.93	307.69	183.82	102.25	139.07	265.87	204.07	265.87	208.38	212.78	217.27	376.41	157.68	314.17	218.79
DHX30	1104.13	1059.11	981.29	1044.52	1151.06	738.29	1001.93	1437.15	1199.98	703.28	514.56	532.74	718.08	679.29	529.06	748.61	373.81	400.71	493.56	647.07	753.83	473.41	497.0	583.07	563.18	629.35	620.67	543.96	718.08	497.0	563.18	507.46	409.15	567.1	660.68	432.53	688.78	389.72	684.02	551.56	305.55	825.0	708.18	830.75	476.71	500.46	703.28	457.25	909.17	921.88	543.96	356.05	341.51	764.36	796.86	738.29	718.08	642.59	607.87	1059.11	607.87	728.11	1104.13
DMAP1	764.36	1030.12	896.64	1119.56	1250.98	647.07	947.83	1135.2	1119.56	563.18	591.22	532.74	961.07	884.29	567.1	1051.79	392.44	384.34	575.03	521.76	785.88	579.04	688.78	660.68	629.35	693.58	575.03	583.07	961.07	536.45	624.99	483.38	493.56	616.37	708.18	497.0	567.1	336.79	620.67	981.29	373.81	860.08	651.58	743.43	435.55	563.18	571.05	435.55	802.41	791.35	343.89	334.46	403.5	775.05	599.49	902.89	529.06	587.13	591.22	718.08	651.58	551.56	1001.93
EFCAB4A	3690.52	7966.99	14361.31	9540.5	7749.1	4298.64	4869.99	10014.87	4802.93	1561.89	121.79	384.34	947.83	454.09	212.78	2018.8	176.29	77.79	191.67	733.19	1896.65	111.99	202.66	199.85	406.31	1359.57	264.03	143.01	947.83	273.37	583.07	348.71	100.83	241.19	447.82	514.56	842.36	226.54	1583.71	1721.16	403.5	1923.14	180.02	878.17	164.42	193.01	1111.82	1304.15	2319.15	1437.15	81.14	205.5	255.0	1794.29	249.73	1870.53	1183.45	890.44	258.57	2209.26	909.17	688.78	172.65
EFNA4	500.46	633.73	1350.18	860.08	961.07	708.18	1175.27	1277.29	417.77	267.73	134.3	102.97	236.21	106.63	103.69	397.93	52.08	44.25	55.89	121.79	204.07	142.01	57.08	90.14	120.94	267.73	67.59	48.87	236.21	92.05	172.65	126.12	47.5	70.51	66.65	131.51	190.34	63.45	224.97	346.29	45.85	234.57	105.89	120.94	157.68	78.34	327.56	166.73	260.38	438.59	35.0	41.81	83.45	234.57	85.22	293.07	211.31	177.53	76.71	490.14	255.0	154.42	236.21
ELMO3	265.87	540.19	620.67	693.58	547.75	251.48	400.71	830.75	486.75	403.5	9.34	49.21	165.57	11.47	10.16	262.2	16.15	7.75	6.94	86.43	182.55	12.45	15.91	24.99	56.28	140.04	10.16	8.78	165.57	55.1	90.14	54.72	11.91	24.46	17.51	90.77	88.88	29.7	150.17	223.41	25.72	141.02	44.57	87.65	43.02	36.01	242.88	102.97	194.36	231.32	35.0	31.45	22.1	194.36	52.08	211.31	171.45	140.04	30.34	249.73	202.66	182.55	187.71
EME2	185.11	171.45	500.46	223.41	490.14	480.04	334.46	1135.2	307.69	71.0	24.11	39.22	127.0	24.63	39.5	102.97	17.9	15.8	36.53	57.89	56.28	23.76	30.34	42.71	33.78	50.63	68.07	28.45	127.0	29.7	48.52	32.82	38.4	29.27	27.64	26.1	36.53	20.71	130.6	47.84	36.53	74.58	59.97	50.98	83.45	37.59	79.45	41.52	92.05	58.71	47.84	21.63	28.45	67.59	47.5	38.12	62.56	89.51	74.58	120.94	86.43	90.14	63.0
ENTPD6	1477.58	1359.57	2018.8	1331.57	1721.16	1508.65	1883.54	1709.26	1651.0	1498.22	587.13	642.59	1023.0	718.08	571.05	1359.57	500.46	638.15	708.18	759.08	1167.14	775.05	633.73	764.36	647.07	718.08	866.07	674.59	1023.0	688.78	802.41	669.92	591.22	703.28	842.36	738.29	775.05	473.41	974.5	1119.56	665.29	1073.91	813.63	769.69	791.35	603.67	1378.57	728.11	1199.98	1159.07	836.53	684.02	476.71	981.29	536.45	961.07	1030.12	878.17	559.28	1369.04	1088.92	1216.75	981.29
EPS8L2	2609.3	2303.12	3901.01	1977.24	3540.14	1806.78	2287.2	4152.18	2664.15	1167.14	169.07	312.0	947.83	262.2	84.63	928.3	82.87	79.45	81.71	555.41	836.53	135.24	136.19	172.65	348.71	563.18	232.94	94.01	947.83	182.55	532.74	389.72	48.87	87.03	81.71	547.75	532.74	166.73	769.69	981.29	100.13	728.11	253.23	551.56	197.09	336.79	1023.0	392.44	1167.14	1135.2	113.56	75.64	96.01	1066.48	358.54	1030.12	718.08	674.59	242.88	1295.13	988.12	511.0	2004.85
EXOSC7	1088.92	896.64	785.88	1008.9	909.17	674.59	738.29	1066.48	830.75	808.0	860.08	669.92	830.75	753.83	511.0	1143.1	575.03	547.75	642.59	728.11	764.36	753.83	603.67	583.07	638.15	591.22	642.59	595.34	830.75	571.05	780.44	703.28	423.61	647.07	764.36	607.87	435.55	403.5	620.67	884.29	559.28	934.76	624.99	473.41	563.18	723.08	769.69	547.75	764.36	884.29	713.11	361.04	743.43	669.92	620.67	791.35	780.44	836.53	693.58	791.35	444.72	503.95	941.27
FABP4	1088.92	10296.45	1674.06	1757.34	6887.62	341.51	1709.26	13399.51	2739.08	48.18	313910.86	228208.61	103551.29	365622.68	253213.41	211455.3	322736.12	386469.83	394590.4	215898.44	82951.62	201440.3	258533.99	253213.41	348306.01	279017.26	327241.36	358098.26	103551.29	370726.6	263966.36	212926.09	489177.0	292889.12	273275.14	447025.24	716197.51	602247.76	360589.03	198667.0	184082.4	102836.01	345900.08	282912.21	569761.05	327241.36	198667.0	220434.95	110216.97	147462.67	558035.51	906531.99	417089.23	220434.95	1078054.48	139508.13	1838374.44	394590.4	394590.4	292889.12	636586.81	292889.12	318292.9
FBXO46	339.14	457.25	669.92	583.07	669.92	708.18	669.92	511.0	595.34	312.0	87.03	131.51	258.57	156.59	140.04	202.66	82.29	110.43	95.34	144.01	253.23	134.3	103.69	145.02	132.44	231.32	143.01	94.67	258.57	187.71	132.44	117.6	109.66	124.37	183.82	153.34	287.01	146.03	150.17	295.11	91.41	211.31	193.01	260.38	177.53	111.99	183.82	127.89	205.5	251.48	91.41	96.68	104.42	271.48	194.36	318.57	248.0	211.31	131.51	234.57	224.97	205.5	187.71
GGA1	808.0	1143.1	1008.9	1359.57	1088.92	1216.75	1023.0	921.88	1001.93	947.83	518.15	500.46	785.88	500.46	514.56	1044.52	341.51	343.89	470.14	583.07	733.19	674.59	529.06	607.87	540.19	738.29	647.07	555.41	785.88	555.41	571.05	497.0	543.96	486.75	587.13	490.14	785.88	387.02	718.08	769.69	403.5	884.29	728.11	819.3	693.58	583.07	759.08	511.0	954.43	1023.0	470.14	412.0	392.44	872.1	674.59	967.76	842.36	651.58	693.58	890.44	713.11	738.29	860.08
GMPPB	660.68	633.73	902.89	656.11	651.58	409.15	616.37	1127.35	579.04	567.1	275.28	183.82	366.09	249.73	208.38	555.41	124.37	136.19	271.48	253.23	426.57	289.02	215.77	234.57	205.5	190.34	262.2	191.67	366.09	135.24	239.52	215.77	96.01	248.0	232.94	209.84	145.02	142.01	295.11	316.37	341.51	384.34	336.79	229.72	329.84	212.78	540.19	211.31	287.01	447.82	297.17	199.85	138.1	305.55	260.38	255.0	251.48	187.71	109.66	476.71	392.44	723.08	503.95
GTPBP3	423.61	555.41	591.22	595.34	733.19	813.63	629.35	612.11	1781.89	267.73	103.69	134.3	258.57	166.73	136.19	316.37	76.17	81.14	146.03	147.06	195.72	152.28	157.68	212.78	150.17	208.38	199.85	149.12	258.57	144.01	186.4	169.07	137.14	147.06	199.85	172.65	275.28	114.36	271.48	224.97	149.12	197.09	320.8	246.28	193.01	151.22	320.8	170.25	127.0	237.86	218.79	110.43	108.9	295.11	275.28	327.56	255.0	127.89	241.19	480.04	305.55	309.83	249.73
IGSF9	454.09	384.34	1023.0	450.94	497.0	651.58	1350.18	1096.5	603.67	144.01	0.79	12.83	91.41	0.78	7.34	107.38	4.94	0.53	0.18	21.63	107.38	2.97	1.6	9.63	16.15	115.16	1.79	0.91	91.41	12.64	27.84	16.51	0.58	6.89	0.18	42.11	73.54	0.0	75.64	103.69	4.98	72.52	7.46	56.68	7.51	22.26	94.67	71.5	78.89	94.01	5.77	0.0	4.94	80.57	32.13	94.67	75.11	79.45	8.32	134.3	90.14	55.89	11.3
IP6K2	1844.76	3303.0	3982.99	3257.52	3419.52	2555.58	2224.63	3614.55	2855.44	2209.26	1242.34	1350.18	1870.53	1175.27	1199.98	2075.59	1044.52	1427.22	1175.27	1313.23	2335.28	1143.1	1359.57	1304.15	1250.98	1794.29	1183.45	1183.45	1870.53	2032.85	1508.65	1437.15	1216.75	1037.29	1397.83	1331.57	1733.13	1340.84	1909.85	2485.67	1685.71	2335.28	1709.26	1745.2	1407.55	1397.83	1407.55	1733.13	2777.33	2485.67	1159.07	1037.29	1709.26	2209.26	1225.22	1662.49	1794.29	2976.74	1378.57	2664.15	2451.44	1388.16	1397.83
KIAA1522	1331.57	1674.06	3349.13	2163.77	1331.57	1551.09	2468.49	1487.87	1870.53	1427.22	159.9	297.17	961.07	170.25	130.6	612.11	190.34	138.1	98.04	414.87	872.1	249.73	182.55	256.78	320.8	854.13	214.27	103.69	961.07	281.09	444.72	356.05	94.67	197.09	97.36	555.41	616.37	226.54	780.44	1030.12	251.48	974.5	323.03	507.46	309.83	363.56	995.0	551.56	674.59	981.29	226.54	201.25	258.57	1030.12	325.29	1127.35	620.67	718.08	332.14	1119.56	647.07	547.75	660.68
LIG1	547.75	708.18	860.08	674.59	934.76	1286.18	656.11	961.07	1059.11	1359.57	115.16	147.06	351.14	85.22	80.01	559.28	73.03	61.25	75.11	159.9	329.84	195.72	114.36	134.3	125.24	246.28	88.26	111.99	351.14	111.21	205.5	139.07	131.51	100.83	116.78	176.29	343.89	134.3	312.0	486.75	137.14	353.59	194.36	301.33	237.86	173.85	271.48	197.09	361.04	312.0	122.64	113.56	130.6	392.44	195.72	429.54	301.33	307.69	291.04	395.18	334.46	228.13	277.2
LRRC56	48.52	109.66	275.28	194.36	258.57	202.66	309.83	429.54	264.03	46.5	7.63	10.16	72.52	3.47	3.69	34.75	2.63	2.18	3.0	17.0	35.5	3.76	5.06	6.62	5.96	17.9	5.06	3.89	72.52	3.79	10.96	6.78	5.87	4.74	6.84	12.64	20.26	9.41	36.79	30.56	2.23	45.21	10.24	16.63	7.75	5.36	29.06	14.45	26.28	47.5	8.13	2.48	2.12	47.17	7.69	23.93	13.12	19.97	18.7	29.7	28.45	24.81	36.27
MARK2	656.11	651.58	884.29	928.3	665.29	366.09	896.64	759.08	733.19	579.04	226.54	281.09	429.54	166.73	237.86	371.22	260.38	285.03	226.54	406.31	500.46	267.73	242.88	277.2	287.01	567.1	299.25	226.54	429.54	341.51	384.34	387.02	229.72	255.0	198.47	376.41	583.07	289.02	486.75	713.11	239.52	476.71	381.68	435.55	414.87	339.14	493.56	381.68	532.74	629.35	249.73	283.05	260.38	660.68	444.72	733.19	507.46	503.95	297.17	656.11	511.0	444.72	490.14
NECAB3	559.28	819.3	1331.57	1044.52	1605.83	842.36	915.51	1457.23	1651.0	854.13	273.37	291.04	872.1	463.65	295.11	483.38	214.27	234.57	285.03	329.84	371.22	297.17	279.14	432.53	293.07	454.09	299.25	332.14	872.1	379.04	316.37	217.27	323.03	303.44	540.19	295.11	466.88	154.42	591.22	241.19	507.46	406.31	454.09	583.07	470.14	285.03	271.48	713.11	309.83	536.45	320.8	403.5	195.72	244.57	395.18	325.29	353.59	267.73	256.78	441.64	450.94	591.22	279.14
