	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.13QIC.2326.SM.5LU5N	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.13SLX.1226.SM.5S2Q6	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.SIU8.0926.SM.5SI87	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ
EIF4E	1015.93	1519.15	1529.73	1519.15	2061.24	1769.57	1529.73	312.0	289.02	232.94	358.54	954.43	1477.58	660.68	1096.5	967.76	967.76	728.11	1135.2	651.58	567.1	1023.0
EXOSC9	555.41	493.56	785.88	796.86	842.36	665.29	647.07	209.84	127.89	197.09	267.73	497.0	525.39	555.41	194.36	169.07	373.81	514.56	454.09	429.54	457.25	307.69
FAM114A2	450.94	536.45	473.41	457.25	995.0	688.78	480.04	163.28	127.0	143.01	111.21	307.69	180.02	248.0	113.56	92.05	260.38	358.54	305.55	154.42	172.65	249.73
FAM122A	406.31	329.84	620.67	507.46	651.58	836.53	651.58	131.51	137.14	149.12	107.38	201.25	202.66	269.6	80.57	128.79	224.97	137.14	152.28	169.07	90.14	147.06
FAM172A	511.0	371.22	612.11	532.74	1030.12	785.88	543.96	54.72	39.79	64.8	32.82	264.03	248.0	241.19	166.73	65.72	220.32	273.37	356.05	295.11	144.01	242.88
FAM204A	1350.18	1781.89	1437.15	1781.89	2777.33	1540.37	1529.73	420.68	162.14	514.56	376.41	1088.92	1199.98	813.63	480.04	616.37	500.46	1015.93	872.1	813.63	660.68	620.67
FBXL5	2148.82	2004.85	2720.15	3146.52	4836.35	2816.11	2609.3	743.43	728.11	547.75	688.78	1605.83	1313.23	1277.29	1233.75	759.08	1963.57	1745.2	2434.5	2178.83	1857.6	2367.9
FBXO30	127.0	146.03	211.31	194.36	579.04	218.79	170.25	23.76	15.68	24.46	32.36	73.03	109.66	65.72	43.02	43.32	54.72	95.34	79.45	61.68	68.07	60.82
FRG1	1259.69	1096.5	1551.09	1583.71	2875.3	1674.06	1540.37	660.68	212.78	444.72	435.55	1407.55	1159.07	1477.58	429.54	486.75	693.58	1685.71	967.76	1023.0	854.13	878.17
G2E3	373.81	269.6	397.93	353.59	463.65	279.14	231.32	24.28	13.93	34.26	38.95	119.26	112.77	142.01	105.15	40.36	74.06	134.3	77.79	96.68	140.04	120.94
G3BP1	2303.12	2485.67	2303.12	1806.78	2335.28	2047.0	1936.53	599.49	583.07	457.25	698.41	583.07	1199.98	954.43	1233.75	603.67	802.41	684.02	947.83	647.07	563.18	819.3
G3BP2	1457.23	2018.8	2319.15	2434.5	2468.49	3768.09	2163.77	450.94	532.74	356.05	301.33	1594.73	1991.0	1259.69	2032.85	1378.57	2075.59	1757.34	2367.9	1359.57	2224.63	1923.14
GEMIN5	223.41	242.88	346.29	226.54	346.29	234.57	221.86	70.51	60.39	47.5	39.5	87.65	116.78	177.53	55.49	47.17	59.97	92.7	105.15	67.12	112.77	78.89
GPD2	656.11	748.61	825.0	665.29	642.59	896.64	1015.93	23.08	19.97	31.0	50.98	206.94	435.55	191.67	202.66	79.45	293.07	316.37	368.65	371.22	161.02	244.57
GPN3	830.75	603.67	738.29	860.08	1044.52	638.15	587.13	486.75	236.21	283.05	447.82	423.61	426.57	567.1	283.05	316.37	217.27	373.81	368.65	316.37	511.0	234.57
GTF3C4	450.94	325.29	423.61	277.2	373.81	177.53	346.29	48.87	36.01	49.56	36.79	111.21	85.22	201.25	85.82	58.71	88.88	105.89	110.43	44.57	71.5	70.01
GYG1	1519.15	1191.69	1001.93	1572.76	1857.6	1159.07	1066.48	164.42	256.78	244.57	133.36	848.22	848.22	624.99	312.0	457.25	878.17	748.61	708.18	836.53	607.87	718.08
HNRNPK	13586.57	12076.21	11345.82	11267.44	13033.07	12502.12	10440.2	4038.61	3928.15	3491.39	3901.01	6516.03	7642.41	6471.02	9088.59	6426.31	8840.04	7180.15	8247.98	6935.54	6561.36	9606.86
IPO11	651.58	463.65	748.61	878.17	854.13	693.58	802.41	147.06	99.43	153.34	141.02	217.27	181.28	447.82	205.5	125.24	100.83	167.9	412.0	137.14	215.77	187.71
KDM4C	397.93	387.02	480.04	358.54	371.22	366.09	358.54	97.36	74.06	115.97	104.42	249.73	297.17	384.34	194.36	89.51	130.6	379.04	336.79	314.17	221.86	209.84
KIAA1143	791.35	633.73	848.22	808.0	872.1	518.15	579.04	105.15	35.25	104.42	166.73	497.0	387.02	314.17	236.21	234.57	301.33	381.68	395.18	320.8	287.01	329.84
KIAA1430	775.05	819.3	1268.46	1127.35	1977.24	1216.75	1088.92	101.54	63.89	91.41	147.06	249.73	466.88	303.44	146.03	86.43	384.34	297.17	470.14	183.82	205.5	341.51
KLHL28	295.11	260.38	353.59	251.48	379.04	140.04	186.4	53.57	22.43	19.97	69.03	98.04	112.77	166.73	98.04	53.95	111.21	144.01	124.37	93.35	80.01	115.16
KLHL8	190.34	165.57	279.14	159.9	629.35	209.84	159.9	93.35	53.95	114.36	61.68	166.73	156.59	116.78	105.15	38.67	118.43	108.14	117.6	112.77	197.09	161.02
LEMD3	518.15	346.29	591.22	532.74	728.11	414.87	379.04	77.79	63.89	67.12	91.41	220.32	173.85	412.0	356.05	264.03	392.44	220.32	346.29	343.89	285.03	343.89
LSM11	67.12	72.52	110.43	61.25	108.14	93.35	51.35	10.31	12.0	17.77	28.45	37.05	38.95	38.4	47.5	51.71	46.84	54.72	28.86	40.93	54.33	59.13
MED21	1208.34	738.29	1159.07	1104.13	1322.37	759.08	1030.12	133.36	118.43	115.97	234.57	555.41	1119.56	358.54	536.45	403.5	629.35	320.8	599.49	371.22	236.21	500.46
MFAP3	571.05	808.0	674.59	638.15	854.13	2777.33	884.29	98.73	110.43	120.94	154.42	301.33	312.0	221.86	289.02	325.29	397.93	283.05	232.94	253.23	193.01	312.0
MIER3	397.93	279.14	476.71	348.71	525.39	267.73	253.23	85.82	49.56	84.04	113.56	136.19	114.36	167.9	139.07	123.5	190.34	201.25	172.65	146.03	147.06	122.64
MKRN2	450.94	429.54	536.45	438.59	633.73	441.64	599.49	165.57	187.71	198.47	140.04	329.84	314.17	397.93	285.03	246.28	220.32	236.21	323.03	217.27	307.69	341.51
MRPL42	1388.16	1313.23	1208.34	1437.15	1662.49	1216.75	1111.82	486.75	518.15	332.14	688.78	435.55	902.89	536.45	325.29	241.19	271.48	287.01	688.78	336.79	237.86	297.17
MTF1	206.94	246.28	277.2	214.27	295.11	106.63	144.01	35.25	13.62	49.91	30.78	84.04	140.04	154.42	131.51	45.53	93.35	76.71	110.43	105.15	71.0	85.22
MTX3	312.0	180.02	295.11	159.9	332.14	127.89	229.72	5.41	4.7	8.65	12.27	48.87	62.56	159.9	26.28	3.66	44.57	77.79	87.65	24.63	40.36	32.36
NAA15	429.54	483.38	647.07	521.76	1015.93	454.09	412.0	75.64	31.22	67.59	96.01	191.67	327.56	154.42	229.72	262.2	220.32	145.02	339.14	189.02	117.6	217.27
NEDD1	507.46	429.54	612.11	575.03	536.45	684.02	587.13	21.94	17.9	63.0	59.55	139.07	164.42	218.79	71.5	31.0	120.1	180.02	269.6	148.09	95.34	100.13
OXCT1	435.55	332.14	647.07	599.49	638.15	450.94	490.14	2.48	8.25	12.36	45.53	103.69	124.37	441.64	72.52	32.59	157.68	167.9	191.67	85.22	87.03	208.38
PAK2	1304.15	1304.15	921.88	1066.48	1143.1	1407.55	842.36	353.59	264.03	255.0	287.01	612.11	981.29	435.55	532.74	301.33	703.28	500.46	674.59	595.34	429.54	703.28
PARP11	277.2	336.79	241.19	246.28	536.45	232.94	629.35	33.78	32.13	32.82	39.22	108.14	92.7	236.21	101.54	83.45	106.63	88.88	88.88	67.59	83.45	102.25
PBRM1	848.22	638.15	884.29	620.67	1397.83	854.13	890.44	106.63	59.55	100.13	80.01	208.38	255.0	400.71	209.84	118.43	379.04	466.88	543.96	299.25	220.32	251.48
PDCD6IP	3564.78	2701.35	2682.69	2915.45	3564.78	3419.52	2209.26	698.41	764.36	941.27	769.69	2816.11	3419.52	2104.58	2468.49	679.29	1844.76	4210.15	2335.28	3372.43	1529.73	2555.58
PDE12	299.25	277.2	384.34	358.54	242.88	198.47	181.28	108.14	98.73	100.13	97.36	186.4	260.38	157.68	118.43	91.41	201.25	143.01	173.85	143.01	128.79	128.79
PGGT1B	723.08	536.45	599.49	607.87	780.44	507.46	890.44	161.02	129.69	93.35	175.07	236.21	285.03	244.57	111.21	90.14	181.28	229.72	226.54	194.36	131.51	183.82
PHF6	587.13	332.14	551.56	323.03	470.14	264.03	447.82	42.41	36.27	50.63	82.87	143.01	244.57	156.59	287.01	181.28	165.57	215.77	220.32	305.55	172.65	236.21
POLE3	1457.23	1259.69	1322.37	1242.34	1605.83	708.18	1059.11	417.77	518.15	435.55	366.09	1167.14	679.29	902.89	327.56	688.78	698.41	595.34	587.13	620.67	769.69	660.68
PPA2	2335.28	2351.53	2451.44	3018.3	2915.45	1819.35	3372.43	1733.13	1896.65	785.88	1806.78	1757.34	2018.8	902.89	954.43	587.13	1030.12	1378.57	2468.49	1662.49	2018.8	1191.69
PPP1CC	3039.3	2400.97	3419.52	3124.78	6381.92	2193.99	3124.78	571.05	583.07	836.53	860.08	1733.13	2193.99	2163.77	1369.04	1487.87	854.13	1477.58	1721.16	1963.57	1369.04	1769.57
PRKAR2A	612.11	624.99	629.35	551.56	684.02	371.22	417.77	159.9	158.79	147.06	88.88	248.0	224.97	343.89	157.68	116.78	269.6	218.79	368.65	122.64	239.52	239.52
PRKRIR	1066.48	921.88	1397.83	1551.09	2119.22	866.07	884.29	182.55	105.15	202.66	271.48	500.46	708.18	738.29	314.17	295.11	529.06	417.77	583.07	429.54	346.29	368.65
PSMD6	1757.34	1529.73	1844.76	2133.97	2319.15	1487.87	1781.89	967.76	1127.35	825.0	1175.27	1769.57	1378.57	1277.29	1208.34	1561.89	1697.45	1259.69	1794.29	1733.13	1498.22	1295.13
RAP1GDS1	563.18	1030.12	698.41	616.37	1059.11	493.56	679.29	232.94	194.36	301.33	127.89	320.8	665.29	420.68	363.56	173.85	329.84	463.65	543.96	486.75	363.56	518.15
RBM27	493.56	353.59	536.45	426.57	693.58	563.18	435.55	74.06	22.26	75.64	94.01	158.79	193.01	185.11	115.97	80.57	152.28	142.01	206.94	112.77	111.99	138.1
RNF139	928.3	1073.91	1023.0	1096.5	1745.2	896.64	836.53	371.22	295.11	279.14	397.93	669.92	307.69	703.28	371.22	429.54	718.08	555.41	325.29	599.49	642.59	607.87
RNF219	262.2	242.88	297.17	289.02	708.18	339.14	212.78	25.54	11.3	38.12	33.78	99.43	131.51	171.45	77.25	43.94	78.89	104.42	102.97	92.05	92.7	60.82
RPP14	591.22	540.19	693.58	656.11	915.51	620.67	785.88	332.14	336.79	146.03	447.82	332.14	320.8	341.51	199.85	187.71	218.79	279.14	231.32	223.41	215.77	258.57
RTF1	941.27	748.61	921.88	708.18	921.88	1233.75	819.3	178.77	114.36	190.34	170.25	500.46	660.68	547.75	239.52	246.28	684.02	563.18	480.04	435.55	420.68	555.41
RWDD4	444.72	555.41	759.08	854.13	1199.98	403.5	563.18	228.13	180.02	190.34	158.79	275.28	318.57	295.11	105.89	115.97	182.55	258.57	334.46	154.42	172.65	249.73
SCAMP1	1225.22	825.0	1331.57	1208.34	1923.14	2090.03	1551.09	98.04	73.54	72.01	169.07	318.57	417.77	260.38	264.03	146.03	251.48	307.69	500.46	303.44	269.6	387.02
SEC24B	563.18	583.07	988.12	764.36	1088.92	1030.12	698.41	420.68	198.47	414.87	376.41	387.02	299.25	323.03	429.54	303.44	507.46	543.96	575.03	551.56	612.11	525.39
SET	6294.04	6516.03	7280.4	6561.36	10733.74	5292.48	5555.65	1437.15	1096.5	1135.2	1651.0	3212.66	4836.35	2485.67	2956.17	3467.27	2796.65	2555.58	3874.05	2664.15	2004.85	4419.52
SH2B3	521.76	356.05	283.05	417.77	503.95	587.13	460.44	132.44	239.52	154.42	187.71	1111.82	1350.18	417.77	733.19	1111.82	974.5	633.73	307.69	1015.93	674.59	1030.12
SHQ1	392.44	400.71	368.65	301.33	423.61	232.94	473.41	88.88	87.03	70.51	69.03	152.28	161.02	189.02	98.73	62.56	125.24	105.15	195.72	105.15	124.37	75.64
SMARCA2	2520.38	2224.63	2758.13	3018.3	4639.29	2777.33	4450.27	860.08	915.51	693.58	679.29	1447.15	954.43	3639.7	1313.23	884.29	1225.22	2816.11	1250.98	1896.65	1923.14	2104.58
SNRPB2	1199.98	1073.91	1427.22	1477.58	2004.85	1151.06	1096.5	521.76	353.59	361.04	392.44	688.78	974.5	748.61	376.41	400.71	529.06	642.59	802.41	500.46	529.06	529.06
SNX3	3690.52	4095.0	5872.48	7032.37	7331.05	5751.61	5329.3	2627.46	2701.35	2004.85	3768.09	3716.2	5995.9	3614.55	3589.58	2434.5	2956.17	3690.52	4419.52	3901.01	2895.31	4671.57
SPCS3	1183.45	1331.57	1628.26	1685.71	1066.48	1605.83	1487.87	529.06	291.04	500.46	651.58	941.27	1628.26	753.83	1369.04	947.83	1127.35	941.27	1806.78	1561.89	1135.2	1295.13
SPIN1	2119.22	1721.16	2090.03	1794.29	2816.11	1583.71	1733.13	177.53	183.82	205.5	264.03	595.34	808.0	1001.93	638.15	285.03	808.0	1088.92	660.68	665.29	503.95	884.29
SRFBP1	325.29	249.73	420.68	336.79	334.46	226.54	366.09	39.79	15.68	60.39	49.91	98.73	186.4	83.45	78.89	92.05	121.79	112.77	149.12	74.58	71.0	104.42
SRP72	1963.57	2287.2	3018.3	2468.49	3124.78	2351.53	2591.27	555.41	450.94	536.45	511.0	928.3	1572.76	1030.12	429.54	633.73	909.17	651.58	1151.06	480.04	1051.79	1044.52
ST13	5711.87	7589.61	7695.57	5441.3	12943.04	8538.88	7485.11	5006.93	5076.84	2739.08	4575.41	5041.77	5711.87	4836.35	5112.16	2367.9	4152.18	6699.25	6079.61	3794.3	6250.56	7749.1
STAG2	1757.34	1151.06	1883.54	1487.87	1794.29	1923.14	1923.14	201.25	94.67	141.02	241.19	633.73	624.99	633.73	981.29	748.61	759.08	713.11	728.11	866.07	651.58	902.89
TAMM41	400.71	271.48	616.37	438.59	547.75	309.83	423.61	126.12	115.97	195.72	167.9	145.02	166.73	214.27	68.55	60.39	82.29	165.57	178.77	111.99	125.24	70.51
TCERG1	1225.22	660.68	1674.06	941.27	1167.14	679.29	842.36	147.06	39.5	285.03	202.66	493.56	656.11	567.1	406.31	271.48	486.75	591.22	713.11	438.59	466.88	567.1
THOC7	1685.71	1628.26	2224.63	2591.27	4066.71	2555.58	2367.9	928.3	547.75	775.05	947.83	1331.57	1950.0	988.12	587.13	403.5	486.75	909.17	1721.16	878.17	961.07	954.43
TNPO1	1745.2	967.76	1322.37	1073.91	1268.46	1832.01	1844.76	118.43	116.78	133.36	112.77	348.71	536.45	320.8	555.41	246.28	400.71	638.15	624.99	607.87	389.72	703.28
TRAPPC11	536.45	543.96	759.08	688.78	1088.92	536.45	599.49	239.52	146.03	244.57	164.42	279.14	293.07	483.38	136.19	76.71	232.94	447.82	414.87	318.57	318.57	287.01
TRIM33	769.69	493.56	603.67	490.14	642.59	476.71	473.41	70.51	55.49	76.17	128.79	287.01	237.86	334.46	246.28	169.07	351.14	438.59	414.87	318.57	309.83	376.41
TRNT1	507.46	473.41	500.46	463.65	500.46	392.44	327.56	130.6	111.21	175.07	110.43	141.02	206.94	293.07	195.72	173.85	209.84	236.21	185.11	208.38	170.25	241.19
UBA3	1277.29	1191.69	1540.37	1487.87	2163.77	780.44	1159.07	248.0	212.78	426.57	389.72	638.15	825.0	1088.92	748.61	277.2	460.44	486.75	713.11	830.75	450.94	708.18
UBE2N	2303.12	2148.82	2209.26	2816.11	2664.15	1467.37	1844.76	764.36	718.08	642.59	915.51	1540.37	2303.12	1540.37	1225.22	1709.26	2004.85	1051.79	1950.0	1233.75	808.0	1605.83
UBE2Q2	915.51	1030.12	769.69	1127.35	1639.59	1233.75	928.3	56.28	57.49	115.97	39.22	473.41	607.87	521.76	376.41	239.52	432.53	426.57	591.22	543.96	476.71	490.14
UBP1	2367.9	1583.71	1467.37	1388.16	1508.65	1832.01	1030.12	312.0	255.0	420.68	514.56	1127.35	860.08	1628.26	679.29	616.37	854.13	1757.34	1044.52	1001.93	981.29	1540.37
UGGT2	295.11	248.0	460.44	503.95	470.14	563.18	438.59	95.34	45.21	76.71	139.07	242.88	236.21	154.42	100.83	33.3	277.2	229.72	361.04	273.37	267.73	190.34
UHRF2	808.0	525.39	1208.34	684.02	1081.39	775.05	651.58	118.43	82.87	166.73	193.01	307.69	197.09	1051.79	234.57	214.27	379.04	514.56	346.29	329.84	733.19	400.71
USP37	258.57	189.02	289.02	178.77	229.72	130.6	187.71	23.08	4.24	11.38	19.25	61.68	68.07	72.01	91.41	39.22	105.89	55.89	52.82	44.89	73.54	59.97
USP45	157.68	163.28	215.77	176.29	223.41	156.59	105.15	48.87	24.11	48.18	46.84	112.77	87.65	128.79	85.82	18.7	77.79	136.19	158.79	119.26	99.43	51.35
VBP1	1359.57	1104.13	1233.75	1427.22	1819.35	934.76	1135.2	267.73	237.86	279.14	339.14	423.61	684.02	511.0	438.59	327.56	301.33	346.29	529.06	327.56	264.03	490.14
WDR36	368.65	303.44	480.04	387.02	551.56	246.28	343.89	105.15	69.52	91.41	105.15	83.45	175.07	169.07	91.41	134.3	72.01	108.14	149.12	118.43	73.54	82.87
WDR47	379.04	251.48	303.44	323.03	470.14	381.68	277.2	21.01	19.25	40.93	15.91	173.85	111.21	229.72	120.1	57.08	281.09	154.42	332.14	144.01	138.1	148.09
ZNF35	186.4	177.53	151.22	171.45	135.24	115.16	116.78	29.48	16.39	22.1	20.56	126.12	158.79	83.45	40.93	70.51	98.73	70.01	84.04	41.22	53.57	70.51
ZNF420	277.2	226.54	334.46	217.27	457.25	281.09	232.94	31.67	39.79	69.03	53.95	164.42	130.6	223.41	33.78	105.89	61.25	170.25	95.34	73.54	94.67	29.7
ZNF79	158.79	112.77	83.45	64.8	180.02	102.97	114.36	32.13	47.84	50.98	21.01	49.56	61.68	117.6	26.47	32.36	33.54	46.84	46.18	33.54	38.67	31.9
