	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.E2.A1LK.01A.21R.A14D.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QA.01A.11R.A37O.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EX.A3L1.01A.11R.A32Y.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CV.5976.01A.11R.1686.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.UF.A718.01A.22R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BB.A5HU.01A.11R.A28V.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.CV.7438.01A.21R.2132.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7238.01A.11R.2016.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.43.6771.01A.11R.1820.07	GTEX.11WQK.2926.SM.5EQKT
COPS5	1697.45	884.29	1313.23	2664.15	2335.28	1407.55	5831.91	1199.98	780.44	2758.13	775.05	1551.09	2209.26	1781.89	1066.48	1819.35	2090.03	1594.73	1697.45	1923.14	1896.65	1331.57	2367.9	1250.98	1167.14	1529.73	2319.15	902.89	1277.29	2075.59	1340.84	1407.55	1259.69	1857.6	3280.18	915.51	1340.84	1745.2	2104.58	1119.56	848.22	1233.75	1259.69	1268.46	1963.57	2520.38	1037.29	1457.23	1977.24	2303.12	1467.37	1923.14	1111.82	2104.58	1991.0	1127.35	1216.75	2335.28	1745.2	1159.07	1561.89	1259.69	775.05	599.49
CYC1	5147.73	2133.97	3395.89	6983.79	4903.87	7331.05	17078.76	2682.69	1651.0	3955.48	1199.98	2758.13	5076.84	5112.16	2701.35	5255.91	4836.35	3235.01	4388.98	4512.4	3901.01	3955.48	6207.38	2520.38	3060.45	5441.3	3491.39	1447.15	3039.3	4419.52	3124.78	5147.73	3639.7	2895.31	7966.99	2178.83	3146.52	3955.48	5555.65	2133.97	2104.58	2835.7	4450.27	3768.09	10084.54	6294.04	4181.07	2319.15	4869.99	3901.01	2303.12	3928.15	2255.7	6561.36	5006.93	3491.39	3820.7	5076.84	3419.52	3257.52	4210.15	3982.99	1651.0	2609.3
CYHR1	2271.4	688.78	802.41	1594.73	1963.57	1250.98	7642.41	753.83	460.44	1277.29	473.41	684.02	1819.35	1709.26	612.11	1639.59	981.29	733.19	1259.69	1037.29	1023.0	813.63	2303.12	629.35	567.1	921.88	1268.46	947.83	708.18	1572.76	872.1	830.75	780.44	1199.98	1447.15	583.07	878.17	947.83	1051.79	525.39	642.59	693.58	1216.75	813.63	3303.0	2004.85	708.18	674.59	941.27	1561.89	483.38	1551.09	728.11	1407.55	1427.22	563.18	775.05	1757.34	1135.2	483.38	967.76	521.76	595.34	371.22
DCAF13	1583.71	656.11	688.78	1159.07	941.27	1340.84	3540.14	620.67	244.57	860.08	327.56	536.45	1487.87	1191.69	620.67	1819.35	1081.39	1066.48	2090.03	1030.12	684.02	802.41	1216.75	718.08	447.82	961.07	1277.29	244.57	543.96	1250.98	536.45	1088.92	723.08	921.88	1936.53	563.18	567.1	703.28	974.5	718.08	400.71	708.18	674.59	423.61	1369.04	1369.04	688.78	651.58	1250.98	1963.57	703.28	1088.92	346.29	1023.0	1397.83	414.87	708.18	1551.09	1175.27	921.88	718.08	884.29	323.03	1051.79
DERL1	1685.71	759.08	1059.11	1832.01	2240.11	3491.39	4575.41	825.0	497.0	1709.26	878.17	1023.0	1233.75	2855.44	1096.5	2119.22	1844.76	1605.83	2855.44	2090.03	1477.58	1551.09	1487.87	1844.76	1225.22	1594.73	1923.14	813.63	1175.27	1709.26	1498.22	1757.34	1397.83	1639.59	2434.5	1757.34	1498.22	1540.37	2047.0	928.3	1745.2	1268.46	1832.01	1216.75	2609.3	2075.59	1447.15	1096.5	1896.65	4123.49	1233.75	2133.97	1151.06	1685.71	2240.11	1096.5	1286.18	2976.74	1540.37	1529.73	1447.15	954.43	947.83	2104.58
EBAG9	780.44	384.34	329.84	954.43	660.68	1096.5	2400.97	301.33	309.83	796.86	269.6	473.41	571.05	884.29	389.72	1001.93	830.75	769.69	656.11	775.05	660.68	371.22	1059.11	483.38	400.71	503.95	813.63	193.01	373.81	738.29	563.18	587.13	532.74	616.37	1277.29	397.93	429.54	540.19	656.11	441.64	363.56	536.45	575.03	460.44	1950.0	1066.48	351.14	454.09	718.08	872.1	511.0	748.61	224.97	728.11	860.08	341.51	403.5	954.43	638.15	387.02	647.07	366.09	178.77	392.44
EMC2	2047.0	647.07	836.53	2271.4	1529.73	1733.13	4512.4	1769.57	379.04	1437.15	432.53	995.0	1697.45	1709.26	848.22	1806.78	1487.87	1167.14	1721.16	1286.18	860.08	1119.56	2090.03	836.53	836.53	967.76	1417.35	961.07	1051.79	1745.2	1225.22	1044.52	1208.34	1583.71	1605.83	819.3	988.12	1427.22	1498.22	848.22	656.11	591.22	961.07	890.44	2351.53	1721.16	769.69	878.17	1508.65	1457.23	1313.23	1208.34	813.63	1529.73	1378.57	1059.11	603.67	1427.22	1572.76	529.06	1250.98	842.36	503.95	909.17
ENY2	6037.61	1936.53	1923.14	5076.84	5219.6	6516.03	8840.04	1359.57	1733.13	4972.34	2047.0	2816.11	4358.66	4972.34	1745.2	5292.48	3257.52	3018.3	4836.35	3325.99	2835.7	2047.0	6561.36	2758.13	1250.98	2209.26	3395.89	1096.5	2104.58	3540.14	2119.22	2090.03	2739.08	3768.09	7803.01	1781.89	1733.13	2502.97	5517.27	2255.7	1519.15	2004.85	2701.35	1769.57	6294.04	8901.53	2119.22	2537.92	3901.01	6652.97	2720.15	3639.7	1519.15	5403.7	4512.4	1651.0	2090.03	4869.99	3443.31	1508.65	2645.74	2104.58	1457.23	1883.54
EXOSC4	3515.68	764.36	753.83	1909.85	3103.19	1639.59	7382.04	974.5	299.25	1437.15	629.35	642.59	1870.53	2434.5	1030.12	1991.0	1331.57	1268.46	1844.76	1674.06	1277.29	1175.27	1963.57	1304.15	733.19	1277.29	1378.57	884.29	1313.23	2367.9	1037.29	1295.13	1277.29	1651.0	3103.19	651.58	1350.18	1551.09	2739.08	860.08	679.29	928.3	1268.46	1159.07	2502.97	3039.3	1135.2	1081.39	1540.37	3874.05	595.34	2209.26	961.07	2303.12	2163.77	1233.75	1295.13	2104.58	1427.22	1111.82	1617.0	1277.29	620.67	1073.91
FAM203A	1508.65	366.09	551.56	759.08	595.34	753.83	4543.8	248.0	167.9	460.44	194.36	348.71	470.14	728.11	412.0	733.19	555.41	555.41	791.35	688.78	591.22	215.77	743.43	363.56	249.73	214.27	351.14	177.53	220.32	669.92	303.44	563.18	373.81	332.14	854.13	291.04	389.72	603.67	693.58	463.65	260.38	297.17	441.64	376.41	1259.69	1242.34	444.72	503.95	547.75	540.19	144.01	665.29	269.6	780.44	723.08	376.41	503.95	738.29	384.34	122.64	791.35	320.8	248.0	197.09
FBXL6	1350.18	312.0	575.03	902.89	928.3	1030.12	2956.17	260.38	301.33	921.88	281.09	490.14	624.99	1225.22	351.14	647.07	612.11	703.28	1151.06	981.29	660.68	285.03	1769.57	447.82	201.25	612.11	361.04	514.56	454.09	1529.73	525.39	536.45	679.29	525.39	698.41	258.57	656.11	723.08	967.76	551.56	312.0	343.89	358.54	480.04	872.1	2163.77	412.0	406.31	529.06	941.27	387.02	1208.34	307.69	785.88	633.73	371.22	791.35	1111.82	612.11	343.89	587.13	264.03	473.41	143.01
GLI4	536.45	155.5	299.25	660.68	603.67	351.14	2104.58	529.06	156.59	406.31	121.79	150.17	651.58	348.71	73.54	521.76	403.5	144.01	303.44	299.25	269.6	140.04	555.41	154.42	157.68	185.11	237.86	136.19	171.45	371.22	115.97	249.73	320.8	248.0	309.83	73.03	244.57	267.73	353.59	211.31	125.24	78.34	334.46	291.04	1104.13	403.5	130.6	198.47	161.02	595.34	88.88	351.14	195.72	193.01	376.41	115.16	165.57	612.11	507.46	84.04	264.03	147.06	131.51	47.84
GPAA1	4639.29	1388.16	1721.16	2915.45	2777.33	2609.3	7331.05	988.12	1183.45	4066.71	1417.35	1268.46	2193.99	2502.97	1477.58	4802.93	2119.22	1883.54	3515.68	2875.3	1540.37	1806.78	1397.83	1183.45	1457.23	1540.37	1857.6	1397.83	1487.87	2434.5	1674.06	2895.31	2119.22	1709.26	2468.49	1304.15	1662.49	2090.03	2119.22	1529.73	1417.35	1417.35	1781.89	1781.89	4639.29	3190.46	1819.35	1259.69	1628.26	2835.7	860.08	2335.28	1487.87	3018.3	2701.35	1561.89	1277.29	2468.49	2047.0	571.05	2271.4	1498.22	1135.2	785.88
HSF1	3491.39	1233.75	1977.24	3212.66	3146.52	3124.78	11992.79	1191.69	791.35	2835.7	1175.27	1111.82	3639.7	3257.52	1519.15	2816.11	1806.78	1498.22	4010.71	2417.67	2163.77	2400.97	4010.71	1769.57	1295.13	1721.16	2303.12	1037.29	1508.65	3639.7	1883.54	1832.01	2193.99	2119.22	5076.84	1286.18	2061.24	2255.7	2796.65	1295.13	1427.22	1662.49	2240.11	1407.55	7032.37	3325.99	2335.28	1950.0	1844.76	3874.05	1104.13	3103.19	1340.84	2400.97	3372.43	1225.22	2018.8	3257.52	2485.67	1721.16	1950.0	1561.89	1388.16	2777.33
INTS8	503.95	521.76	679.29	1159.07	521.76	967.76	3257.52	283.05	201.25	909.17	273.37	567.1	1088.92	748.61	376.41	693.58	909.17	669.92	1322.37	642.59	587.13	529.06	954.43	591.22	343.89	400.71	647.07	318.57	429.54	575.03	514.56	591.22	441.64	476.71	825.0	368.65	497.0	669.92	567.1	417.77	358.54	423.61	532.74	429.54	974.5	1008.9	353.59	583.07	624.99	866.07	466.88	563.18	267.73	669.92	819.3	463.65	426.57	909.17	854.13	293.07	403.5	303.44	358.54	234.57
KIAA0196	1104.13	480.04	532.74	890.44	698.41	860.08	2303.12	575.03	215.77	769.69	358.54	567.1	728.11	995.0	587.13	748.61	753.83	769.69	1059.11	896.64	603.67	620.67	902.89	536.45	384.34	616.37	679.29	361.04	412.0	836.53	866.07	791.35	708.18	813.63	890.44	579.04	647.07	748.61	603.67	559.28	540.19	493.56	684.02	486.75	819.3	1167.14	500.46	379.04	743.43	728.11	612.11	543.96	447.82	753.83	866.07	403.5	571.05	1008.9	884.29	480.04	587.13	500.46	412.0	457.25
KIAA1429	1023.0	825.0	629.35	1225.22	1757.34	1628.26	3742.05	518.15	332.14	1340.84	384.34	775.05	967.76	1250.98	595.34	1467.37	1159.07	941.27	1388.16	928.3	1216.75	713.11	1340.84	743.43	486.75	743.43	1008.9	536.45	624.99	1407.55	1051.79	878.17	698.41	995.0	1844.76	624.99	995.0	819.3	1519.15	532.74	457.25	708.18	988.12	642.59	1477.58	2047.0	583.07	543.96	921.88	1529.73	684.02	1697.45	518.15	1242.34	1561.89	579.04	796.86	1617.0	961.07	511.0	808.0	587.13	503.95	476.71
KRT17	254974.66	381149.17	348306.01	309589.14	450134.56	472513.8	19082.0	4953441.24	7180.15	462789.59	311742.51	381149.17	475800.4	280957.98	971597.0	217400.14	542775.98	485798.0	148488.36	368165.8	589853.66	462789.59	453265.5	389157.95	431797.89	466008.55	716197.51	701458.36	593956.43	437825.58	365622.68	524287.0	524287.0	440870.9	542775.98	294926.33	565825.41	645473.24	513497.31	237899.7	397335.0	546551.29	632189.57	334117.42	159145.95	273275.14	485798.0	450134.56	466008.55	405683.88	425853.18	585779.24	912837.43	215898.44	179048.63	417089.23	546551.29	190574.09	475800.4	284880.02	506427.83	378516.38	211455.3	472513.8
LRRC14	791.35	232.94	237.86	921.88	432.53	269.6	1806.78	215.77	429.54	665.29	173.85	320.8	503.95	743.43	104.42	587.13	503.95	214.27	620.67	567.1	348.71	253.23	842.36	185.11	140.04	403.5	392.44	291.04	368.65	616.37	414.87	234.57	325.29	406.31	860.08	186.4	264.03	444.72	389.72	363.56	301.33	183.82	295.11	301.33	591.22	674.59	211.31	327.56	363.56	441.64	118.43	532.74	185.11	483.38	463.65	251.48	307.69	878.17	432.53	229.72	275.28	218.79	183.82	100.13
MAF1	5112.16	1806.78	1950.0	2701.35	3235.01	3928.15	9474.59	1066.48	1313.23	2609.3	1407.55	1175.27	4358.66	4152.18	1457.23	3564.78	2178.83	1769.57	3081.75	2104.58	2573.36	1662.49	3955.48	2090.03	1167.14	1651.0	2004.85	902.89	1350.18	2032.85	1870.53	1832.01	1832.01	2417.67	5672.41	1447.15	1781.89	1857.6	2682.69	1135.2	1605.83	1487.87	2434.5	1519.15	6607.01	3467.27	1757.34	1781.89	2148.82	3794.3	1088.92	2816.11	1242.34	2895.31	3955.48	1447.15	1844.76	3955.48	1832.01	1685.71	2468.49	1697.45	1111.82	974.5
MED30	417.77	387.02	518.15	1225.22	607.87	638.15	1191.69	343.89	287.01	660.68	217.27	387.02	1250.98	587.13	193.01	633.73	435.55	297.17	595.34	483.38	384.34	379.04	988.12	309.83	212.78	273.37	599.49	121.79	236.21	412.0	417.77	303.44	473.41	466.88	1037.29	204.07	351.14	327.56	409.15	293.07	262.2	295.11	343.89	262.2	1023.0	743.43	438.59	389.72	381.68	825.0	409.15	395.18	186.4	620.67	748.61	232.94	307.69	698.41	373.81	346.29	307.69	269.6	231.32	215.77
MRPL13	1216.75	1073.91	1268.46	2875.3	2573.36	2271.4	5147.73	1191.69	674.59	1963.57	532.74	1388.16	1721.16	1923.14	995.0	1674.06	1857.6	1437.15	1769.57	1662.49	1159.07	1127.35	1963.57	1119.56	884.29	1639.59	2193.99	872.1	961.07	1628.26	1331.57	1359.57	1819.35	1651.0	2555.58	703.28	1059.11	1508.65	1870.53	1088.92	559.28	1008.9	1322.37	988.12	2816.11	2664.15	934.76	1119.56	1923.14	1447.15	1369.04	1709.26	934.76	2148.82	2018.8	878.17	1015.93	1662.49	1605.83	915.51	1551.09	1143.1	567.1	854.13
MRPL15	2855.44	1088.92	1225.22	2178.83	1963.57	1697.45	11189.6	1447.15	575.03	2555.58	836.53	1151.06	1923.14	2573.36	1096.5	1617.0	2591.27	1991.0	2075.59	2303.12	1051.79	1250.98	2319.15	1369.04	1135.2	1857.6	2485.67	1066.48	1529.73	3467.27	1167.14	1936.53	1519.15	1359.57	4181.07	825.0	1437.15	2047.0	3540.14	1397.83	1044.52	1233.75	1605.83	1295.13	2193.99	5076.84	1508.65	1605.83	1551.09	2956.17	1350.18	2367.9	854.13	3280.18	2682.69	1417.35	2240.11	2609.3	1950.0	1388.16	2777.33	1111.82	684.02	540.19
MRPS28	1457.23	954.43	1135.2	2701.35	2400.97	3614.55	5112.16	1594.73	848.22	1963.57	595.34	1119.56	1950.0	2664.15	1037.29	2468.49	2047.0	1757.34	2148.82	1697.45	1540.37	1111.82	3349.13	1268.46	830.75	1242.34	1991.0	723.08	1143.1	2209.26	921.88	1561.89	1407.55	1697.45	2796.65	780.44	1059.11	1733.13	2075.59	1250.98	679.29	1225.22	1023.0	1001.93	2537.92	3257.52	1295.13	1286.18	1417.35	2384.37	1286.18	2351.53	591.22	2816.11	2573.36	967.76	1427.22	2061.24	1639.59	1250.98	1662.49	1467.37	708.18	518.15
MTERFD1	521.76	423.61	351.14	866.07	718.08	708.18	3168.41	242.88	244.57	603.67	171.45	444.72	1208.34	698.41	231.32	708.18	620.67	486.75	748.61	536.45	624.99	297.17	738.29	441.64	190.34	320.8	583.07	189.02	293.07	529.06	255.0	312.0	409.15	543.96	1268.46	220.32	217.27	480.04	599.49	339.14	248.0	236.21	320.8	281.09	995.0	1081.39	318.57	351.14	551.56	738.29	381.68	693.58	155.5	890.44	620.67	277.2	334.46	836.53	563.18	373.81	432.53	301.33	132.44	293.07
NDUFAF6	403.5	267.73	353.59	521.76	579.04	361.04	1709.26	242.88	253.23	500.46	121.79	351.14	579.04	493.56	273.37	559.28	607.87	389.72	518.15	309.83	262.2	242.88	616.37	185.11	202.66	381.68	656.11	199.85	309.83	567.1	277.2	409.15	303.44	536.45	679.29	127.0	267.73	376.41	500.46	287.01	209.84	246.28	397.93	289.02	896.64	693.58	220.32	320.8	366.09	429.54	316.37	381.68	208.38	660.68	591.22	218.79	318.57	629.35	426.57	271.48	540.19	336.79	140.04	84.04
NDUFB9	12329.98	4543.8	7537.18	10512.82	29327.18	19754.96	35856.82	4512.4	3280.18	8963.45	2875.3	5995.9	8778.97	12415.75	5954.47	12943.04	12502.12	11992.79	9344.14	7433.4	8538.88	7230.1	14971.21	6207.38	5517.27	9540.5	14765.09	3901.01	6207.38	7331.05	5479.15	9088.59	8191.0	11267.44	19482.97	3639.7	6207.38	7911.95	16045.82	4450.27	3395.89	6792.79	10512.82	6294.04	21768.19	11112.3	6381.92	6164.49	12244.81	18431.96	5219.6	10440.2	5147.73	11909.94	14867.79	4607.24	5147.73	16269.83	9740.98	5954.47	7537.18	6983.79	2520.38	6294.04
