	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.C8.A26X.01A.31R.A16F.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.11EMC.2026.SM.5A5JV	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.BA.5558.01A.01R.1514.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN
METTL16	269.6	728.11	267.73	363.56	305.55	423.61	423.61	226.54	579.04	928.3	642.59	808.0	878.17	612.11	435.55	329.84	199.85	327.56	209.84	412.0
MKS1	256.78	514.56	144.01	332.14	248.0	392.44	334.46	450.94	363.56	518.15	532.74	567.1	698.41	791.35	299.25	150.17	0.0	0.0	130.6	220.32
MTHFSD	182.55	320.8	127.89	234.57	208.38	246.28	368.65	316.37	348.71	583.07	497.0	423.61	521.76	571.05	267.73	155.5	0.0	0.05	110.43	180.02
MUCL1	2216726.5	550352.86	241220.67	386469.83	828417.36	602247.76	593956.43	1255646.43	253213.41	294926.33	292889.12	887875.81	677564.08	524287.0	1299926.74	1127.35	0.0	0.22	2.34	9635979.21
NEK3	204.07	329.84	108.14	224.97	61.25	180.02	208.38	204.07	279.14	343.89	397.93	269.6	258.57	279.14	94.01	44.57	0.0	0.48	75.64	98.04
NUMA1	3443.31	5831.91	1991.0	4704.07	2240.11	8247.98	5594.3	2367.9	5872.48	8247.98	7966.99	8305.36	6294.04	10585.95	3018.3	2777.33	0.0	0.95	830.75	1936.53
PFN2	660.68	2061.24	1745.2	728.11	417.77	2224.63	884.29	1277.29	1963.57	2434.5	4972.34	2468.49	1397.83	1277.29	1721.16	72.01	0.0	1.01	1378.57	759.08
PHF13	267.73	463.65	267.73	316.37	285.03	450.94	376.41	279.14	429.54	638.15	583.07	361.04	406.31	547.75	307.69	262.2	0.0	0.1	173.85	204.07
PHF2	303.44	660.68	221.86	490.14	218.79	441.64	483.38	500.46	595.34	780.44	651.58	674.59	684.02	780.44	447.82	143.01	173.85	269.6	158.79	463.65
PLGLB1	27.25	78.89	33.3	32.13	10.31	53.95	67.59	27.84	98.73	167.9	134.3	144.01	94.67	134.3	76.17	19.53	0.0	0.46	3.38	17.0
PNMAL2	23.59	16.03	7.0	14.35	6.73	8.06	15.56	56.68	64.8	154.42	71.0	98.73	80.01	40.07	27.64	6.62	0.0	0.06	5.5	15.56
RAB6C	19.39	63.45	0.84	46.5	3.96	22.59	55.89	7.75	67.12	173.85	563.18	153.34	253.23	242.88	30.56	1.75	0.0	0.0	0.55	1.83
SLC24A5	3.79	12.18	4.21	8.58	3.44	18.97	13.12	1.57	15.68	31.0	11.04	8.78	4.98	24.63	1.14	0.0	0.0	0.17	3.66	2.23
SMO	100.83	130.6	62.12	130.6	45.21	208.38	111.99	320.8	327.56	595.34	780.44	629.35	412.0	403.5	178.77	87.65	0.0	0.54	141.02	37.59
SPEF2	58.71	339.14	18.84	80.01	14.14	217.27	158.79	41.52	283.05	507.46	460.44	384.34	305.55	490.14	120.1	3.17	0.0	0.18	4.06	25.54
STPG1	130.6	212.78	78.34	124.37	137.14	234.57	209.84	107.38	186.4	255.0	205.5	217.27	209.84	191.67	125.24	154.42	0.0	0.0	169.07	85.82
SUPT3H	108.9	191.67	86.43	148.09	77.79	191.67	96.01	78.34	189.02	283.05	251.48	368.65	120.94	175.07	104.42	86.43	0.0	0.39	57.49	43.94
TCTN1	587.13	1242.34	808.0	995.0	543.96	1143.1	928.3	400.71	1167.14	1662.49	1733.13	1487.87	1259.69	1199.98	961.07	102.25	0.0	0.39	172.65	232.94
TCTN2	107.38	397.93	221.86	289.02	170.25	473.41	373.81	93.35	441.64	587.13	486.75	698.41	441.64	587.13	339.14	56.68	105.89	246.28	42.71	62.56
THOC1	289.02	620.67	285.03	332.14	255.0	708.18	575.03	563.18	679.29	1030.12	854.13	764.36	981.29	1073.91	318.57	163.28	0.0	0.85	88.88	748.61
TRMT10B	81.14	283.05	99.43	91.41	85.22	177.53	202.66	89.51	258.57	358.54	305.55	366.09	336.79	429.54	165.57	66.18	0.0	0.48	42.71	121.79
TTC18	63.0	190.34	15.0	47.84	4.35	54.33	77.79	17.77	96.68	341.51	444.72	220.32	287.01	583.07	74.06	1.62	0.0	0.22	0.97	14.03
UNKL	156.59	457.25	103.69	121.79	141.02	151.22	265.87	98.73	480.04	595.34	591.22	603.67	575.03	629.35	339.14	159.9	0.0	0.73	23.42	127.0
VPS37D	32.36	81.14	28.45	73.54	121.79	65.72	89.51	74.06	92.05	140.04	140.04	144.01	78.89	127.0	62.56	7.34	0.0	0.27	2.12	7.82
WDR27	104.42	229.72	87.65	109.66	96.68	305.55	353.59	44.89	511.0	1073.91	961.07	529.06	738.29	878.17	226.54	186.4	0.0	1.04	19.82	143.01
ZMAT1	107.38	389.72	80.01	105.89	29.7	108.9	228.13	46.5	253.23	1015.93	684.02	616.37	764.36	961.07	99.43	5.02	0.0	0.65	0.0	15.11
ZNF250	134.3	258.57	88.88	215.77	181.28	253.23	141.02	77.79	264.03	363.56	353.59	381.68	281.09	279.14	170.25	163.28	0.0	0.25	33.78	132.44
ZNF251	186.4	423.61	109.66	232.94	151.22	387.02	260.38	76.71	334.46	503.95	463.65	536.45	473.41	423.61	231.32	62.56	0.0	0.77	18.43	108.14
ZNF263	514.56	1015.93	389.72	403.5	500.46	791.35	638.15	307.69	764.36	1127.35	860.08	995.0	728.11	693.58	743.43	447.82	0.0	0.58	314.17	389.72
ZNF34	71.0	154.42	49.21	105.89	85.22	113.56	137.14	30.78	149.12	194.36	130.6	212.78	215.77	147.06	124.37	63.89	0.0	0.34	59.55	55.1
ZNF415	105.89	295.11	50.27	193.01	60.39	271.48	169.07	66.18	336.79	656.11	529.06	351.14	358.54	460.44	221.86	6.52	0.0	0.45	17.0	37.59
ZNF512	217.27	454.09	223.41	575.03	97.36	591.22	435.55	265.87	1030.12	1286.18	1111.82	1037.29	967.76	612.11	457.25	92.05	0.0	0.72	112.77	253.23
ZNF517	189.02	351.14	87.65	237.86	110.43	181.28	182.55	25.17	251.48	297.17	358.54	336.79	234.57	242.88	224.97	65.72	0.0	0.31	31.9	97.36
ZNF572	24.11	42.11	24.81	5.15	6.41	29.06	19.82	19.97	43.02	88.26	109.66	91.41	25.91	21.78	17.38	7.94	0.0	0.04	14.24	4.66
ZNF577	182.55	603.67	121.79	275.28	61.25	376.41	551.56	108.14	497.0	723.08	620.67	759.08	1199.98	1628.26	346.29	20.11	0.0	0.65	17.51	60.39
ZNF594	27.25	116.78	16.88	37.05	26.86	97.36	38.95	20.26	180.02	181.28	232.94	139.07	102.97	94.67	78.89	14.78	0.0	0.12	7.11	25.72
ZNF7	400.71	571.05	218.79	361.04	301.33	612.11	486.75	155.5	507.46	703.28	514.56	753.83	583.07	486.75	638.15	361.04	0.0	0.54	151.22	279.14
ZSCAN18	842.36	1819.35	595.34	981.29	137.14	1208.34	1745.2	480.04	1467.37	2976.74	2133.97	2645.74	2133.97	3589.58	1286.18	63.89	0.0	0.92	41.52	1159.07
