	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.DQ.7593.01A.11R.2232.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.73.7499.01A.11R.2187.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.11P81.0226.SM.5HL5M	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
CDC26	1208.34	1167.14	1175.27	1167.14	1081.39	0.0	2335.28	0.67	1023.0	1508.65	836.53	435.55	764.36	813.63	503.95	532.74	909.17	884.29	775.05	551.56	961.07	713.11
CETN3	1697.45	1111.82	1044.52	1143.1	872.1	0.0	1295.13	0.0	460.44	480.04	890.44	156.59	197.09	109.66	199.85	438.59	190.34	1111.82	171.45	244.57	299.25	178.77
COQ5	764.36	878.17	961.07	1225.22	791.35	0.0	1081.39	0.08	507.46	318.57	599.49	273.37	206.94	107.38	256.78	435.55	271.48	728.11	343.89	329.84	285.03	343.89
DNAJC19	5555.65	947.83	1883.54	902.89	896.64	0.0	2777.33	0.77	532.74	813.63	836.53	212.78	258.57	80.01	138.1	713.11	291.04	988.12	358.54	567.1	363.56	211.31
ERMARD	486.75	748.61	679.29	379.04	400.71	0.0	507.46	0.26	368.65	400.71	728.11	145.02	165.57	94.67	162.14	466.88	426.57	366.09	131.51	447.82	169.07	195.72
FAM32A	1977.24	2178.83	2303.12	2104.58	1662.49	0.0	1909.85	0.51	2148.82	1529.73	2090.03	1135.2	825.0	1322.37	1216.75	1508.65	1167.14	2682.69	1191.69	1277.29	1662.49	1023.0
FPGT	325.29	237.86	309.83	231.32	214.27	0.0	223.41	0.0	116.78	229.72	189.02	68.07	70.01	52.82	76.17	218.79	136.19	299.25	93.35	127.89	114.36	135.24
FTSJ2	748.61	830.75	780.44	753.83	728.11	0.0	974.5	0.0	432.53	395.18	587.13	144.01	159.9	199.85	205.5	339.14	244.57	629.35	231.32	318.57	299.25	242.88
GPN3	780.44	599.49	543.96	651.58	346.29	0.0	748.61	0.24	423.61	426.57	567.1	224.97	283.05	316.37	217.27	373.81	316.37	819.3	409.15	511.0	329.84	234.57
GTF2H5	126.12	99.43	195.72	146.03	73.54	0.0	120.94	0.0	82.29	100.83	97.36	40.93	35.25	32.82	60.39	74.06	56.28	143.01	59.55	58.71	61.25	65.26
HARS	1806.78	1594.73	1769.57	2451.44	1745.2	0.0	1233.75	0.8	1081.39	713.11	1628.26	836.53	540.19	1023.0	796.86	890.44	1051.79	1175.27	860.08	669.92	759.08	595.34
HARS2	728.11	599.49	819.3	651.58	616.37	0.0	473.41	0.64	318.57	341.51	642.59	242.88	307.69	176.29	299.25	532.74	400.71	587.13	223.41	339.14	339.14	289.02
HDAC3	2018.8	1605.83	1199.98	1225.22	1233.75	0.0	1369.04	0.8	1081.39	1104.13	1923.14	723.08	825.0	1081.39	775.05	1417.35	1519.15	1583.71	775.05	1073.91	854.13	703.28
MED7	438.59	283.05	457.25	438.59	373.81	0.0	299.25	0.27	283.05	567.1	251.48	146.03	130.6	132.44	90.77	239.52	260.38	309.83	131.51	176.29	181.28	158.79
MEF2BNB	500.46	511.0	536.45	638.15	460.44	387.02	665.29	212.78	642.59	638.15	620.67	381.68	293.07	303.44	400.71	638.15	435.55	819.3	412.0	339.14	412.0	392.44
METTL5	1350.18	928.3	1991.0	1709.26	1175.27	0.0	1111.82	0.59	813.63	909.17	974.5	423.61	277.2	151.22	316.37	587.13	406.31	921.88	473.41	555.41	612.11	500.46
MPHOSPH10	780.44	961.07	497.0	444.72	397.93	0.0	728.11	0.14	301.33	412.0	651.58	269.6	212.78	166.73	214.27	258.57	191.67	429.54	181.28	253.23	295.11	201.25
MRPL22	1896.65	1508.65	2335.28	2271.4	1594.73	0.0	1991.0	0.79	995.0	902.89	507.46	473.41	301.33	381.68	226.54	651.58	571.05	988.12	503.95	480.04	941.27	423.61
MRPS27	934.76	1001.93	836.53	1896.65	890.44	0.0	728.11	0.28	559.28	473.41	796.86	237.86	228.13	121.79	283.05	543.96	346.29	785.88	234.57	438.59	336.79	332.14
MRPS33	1883.54	2018.8	2573.36	2555.58	3060.45	0.0	3146.52	0.0	1030.12	769.69	1369.04	297.17	450.94	269.6	279.14	660.68	514.56	1909.85	536.45	684.02	486.75	397.93
MRPS36	1639.59	1529.73	2875.3	1806.78	2855.44	1051.79	1936.53	336.79	884.29	1096.5	909.17	441.64	500.46	500.46	543.96	698.41	603.67	1250.98	1023.0	947.83	753.83	532.74
MRPS9	708.18	698.41	651.58	1066.48	559.28	0.0	420.68	0.06	432.53	293.07	571.05	170.25	183.82	131.51	223.41	420.68	212.78	660.68	236.21	312.0	260.38	191.67
MTX2	1540.37	848.22	1378.57	748.61	769.69	0.0	1030.12	0.0	540.19	665.29	708.18	265.87	226.54	107.38	191.67	532.74	420.68	830.75	334.46	447.82	368.65	269.6
MYCBP	921.88	728.11	733.19	358.54	287.01	0.0	988.12	0.16	825.0	718.08	563.18	329.84	341.51	279.14	275.28	476.71	473.41	669.92	387.02	253.23	486.75	460.44
NDUFB2	8078.22	4802.93	18689.27	8840.04	9945.68	0.0	9606.86	0.64	5076.84	9409.14	4066.71	2682.69	3349.13	2997.45	2720.15	4704.07	4152.18	7433.4	4010.71	2758.13	3372.43	3419.52
NDUFB3	2935.74	1950.0	3874.05	2400.97	2090.03	0.0	2664.15	0.24	1896.65	2240.11	1167.14	753.83	954.43	567.1	836.53	934.76	1167.14	2627.46	1216.75	825.0	915.51	1216.75
NIF3L1	651.58	665.29	559.28	543.96	363.56	0.0	629.35	0.0	432.53	271.48	587.13	199.85	122.64	151.22	228.13	426.57	234.57	629.35	157.68	323.03	241.19	190.34
NSA2	1963.57	3212.66	2758.13	10585.95	2682.69	0.0	2061.24	0.68	1216.75	2047.0	3060.45	896.64	1037.29	409.15	642.59	1594.73	1268.46	2047.0	1037.29	1498.22	1313.23	1628.26
NUDCD2	947.83	583.07	543.96	669.92	543.96	0.0	791.35	0.46	447.82	420.68	507.46	273.37	242.88	305.55	241.19	503.95	201.25	571.05	255.0	339.14	536.45	204.07
NUP35	351.14	339.14	318.57	281.09	237.86	0.0	232.94	0.0	108.9	159.9	197.09	81.14	76.17	88.26	53.19	80.57	66.18	293.07	86.43	64.8	100.83	63.89
NVL	620.67	454.09	309.83	348.71	255.0	0.0	896.64	0.27	267.73	228.13	420.68	108.14	140.04	95.34	162.14	285.03	212.78	423.61	126.12	214.27	189.02	176.29
OARD1	981.29	836.53	902.89	743.43	656.11	0.0	1023.0	0.16	536.45	450.94	733.19	283.05	189.02	131.51	262.2	514.56	297.17	759.08	231.32	417.77	361.04	264.03
PEX7	211.31	224.97	195.72	226.54	121.79	0.0	191.67	0.01	275.28	221.86	150.17	116.78	82.29	61.68	105.15	191.67	141.02	267.73	127.89	165.57	117.6	121.79
PHB	3901.01	3419.52	5329.3	5555.65	3467.27	0.0	6652.97	0.25	2032.85	2384.37	2271.4	1313.23	1286.18	1159.07	1697.45	2417.67	1583.71	3491.39	1819.35	1896.65	2193.99	2018.8
PSMD9	1950.0	1617.0	1709.26	1572.76	1628.26	0.0	2061.24	0.54	1127.35	1096.5	1191.69	669.92	660.68	624.99	624.99	988.12	733.19	1605.83	802.41	785.88	878.17	775.05
RAD17	417.77	490.14	381.68	540.19	400.71	0.0	299.25	0.0	248.0	223.41	423.61	129.69	106.63	100.83	167.9	215.77	182.55	395.18	165.57	215.77	228.13	141.02
RBM22	974.5	934.76	974.5	1175.27	764.36	0.0	808.0	0.67	633.73	698.41	1081.39	466.88	603.67	607.87	493.56	583.07	532.74	866.07	514.56	698.41	463.65	423.61
RIOK2	559.28	583.07	607.87	547.75	490.14	0.0	583.07	0.21	211.31	336.79	381.68	134.3	170.25	163.28	204.07	239.52	255.0	387.02	275.28	303.44	303.44	167.9
RPP25L	890.44	974.5	842.36	830.75	872.1	0.0	1340.84	0.0	346.29	346.29	808.0	165.57	139.07	84.04	198.47	329.84	186.4	764.36	148.09	303.44	190.34	158.79
RWDD3	679.29	441.64	454.09	201.25	299.25	0.0	507.46	0.0	303.44	275.28	486.75	135.24	87.03	120.94	214.27	307.69	267.73	384.34	113.56	291.04	153.34	131.51
SASS6	176.29	157.68	40.64	25.54	40.93	0.0	68.07	0.27	21.63	14.45	47.84	12.09	7.57	5.92	9.63	24.28	25.72	54.72	8.92	21.01	15.11	10.55
SERF1B	1923.14	1295.13	896.64	1437.15	961.07	0.0	1369.04	0.51	1388.16	1208.34	808.0	684.02	540.19	693.58	836.53	808.0	723.08	988.12	1191.69	698.41	753.83	368.65
SIRT4	86.43	65.26	46.5	41.22	87.03	0.0	88.26	0.0	21.94	9.48	60.82	3.99	10.88	11.47	9.63	18.84	0.0	52.45	7.69	24.46	30.78	11.38
SMN2	1030.12	1340.84	293.07	599.49	281.09	0.0	1304.15	0.67	497.0	1135.2	738.29	228.13	277.2	43.63	221.86	543.96	190.34	928.3	258.57	236.21	215.77	194.36
SNF8	2816.11	2303.12	3146.52	3372.43	2502.97	3564.78	4512.4	796.86	2271.4	1594.73	2047.0	1304.15	848.22	1388.16	1191.69	1467.37	1551.09	2627.46	1208.34	1551.09	1350.18	1437.15
SSB	2645.74	1583.71	2075.59	2255.7	1477.58	0.0	1721.16	0.83	1407.55	2682.69	1583.71	1051.79	954.43	679.29	995.0	1388.16	1199.98	1832.01	1331.57	842.36	1167.14	1066.48
STAMBP	1030.12	825.0	947.83	872.1	629.35	0.0	896.64	0.48	497.0	587.13	684.02	283.05	209.84	169.07	258.57	470.14	325.29	656.11	318.57	381.68	373.81	320.8
STXBP3	988.12	902.89	718.08	493.56	723.08	0.0	607.87	0.66	599.49	616.37	780.44	412.0	466.88	299.25	547.75	684.02	866.07	738.29	583.07	423.61	514.56	480.04
TAF12	1233.75	988.12	813.63	633.73	703.28	0.0	1119.56	0.34	466.88	629.35	547.75	273.37	181.28	178.77	234.57	381.68	273.37	819.3	281.09	426.57	381.68	256.78
TAF9	2520.38	1870.53	2061.24	2032.85	2061.24	1508.65	2287.2	366.09	1572.76	2400.97	1183.45	1617.0	854.13	878.17	1015.93	1066.48	1135.2	1551.09	1340.84	1051.79	1250.98	1059.11
TBCA	10084.54	5954.47	10225.32	16960.78	10084.54	0.0	7966.99	0.92	6207.38	9279.58	3540.14	2133.97	2255.7	1617.0	1551.09	3395.89	3257.52	6516.03	4358.66	2178.83	3768.09	2720.15
TMEM167A	1923.14	1208.34	2271.4	1268.46	1175.27	0.0	1963.57	0.56	808.0	1709.26	543.96	547.75	669.92	397.93	656.11	656.11	1313.23	1143.1	521.76	583.07	647.07	708.18
TMEM5	511.0	339.14	334.46	460.44	283.05	0.0	536.45	0.28	189.02	251.48	327.56	139.07	61.68	74.58	96.01	180.02	136.19	260.38	130.6	111.99	152.28	115.16
TPRKB	1551.09	1331.57	1733.13	1427.22	988.12	0.0	1594.73	0.51	480.04	620.67	988.12	289.02	251.48	178.77	165.57	511.0	429.54	1044.52	353.59	713.11	346.29	301.33
TRIAP1	1135.2	988.12	813.63	728.11	624.99	0.0	1397.83	0.0	470.14	603.67	547.75	318.57	159.9	212.78	218.79	392.44	256.78	684.02	299.25	348.71	358.54	226.54
TRIT1	595.34	486.75	356.05	146.03	307.69	0.0	518.15	0.74	400.71	255.0	403.5	125.24	141.02	68.07	129.69	387.02	249.73	283.05	84.04	277.2	212.78	143.01
TRMT11	454.09	435.55	248.0	177.53	147.06	0.0	221.86	0.55	265.87	339.14	158.79	155.5	125.24	74.06	162.14	299.25	138.1	271.48	143.01	186.4	150.17	139.07
TRMT13	366.09	231.32	122.64	103.69	130.6	0.0	185.11	0.07	73.03	132.44	221.86	38.67	56.68	21.47	48.18	123.5	74.58	211.31	72.52	60.82	65.72	67.12
TSPAN6	1250.98	1073.91	1001.93	511.0	480.04	0.0	1397.83	0.37	764.36	220.32	974.5	514.56	426.57	197.09	435.55	381.68	381.68	669.92	361.04	698.41	283.05	307.69
TUBG1	1447.15	1268.46	1088.92	1001.93	796.86	0.0	2319.15	0.54	698.41	547.75	473.41	397.93	511.0	540.19	423.61	429.54	423.61	954.43	507.46	312.0	775.05	521.76
UNG	1015.93	1277.29	624.99	802.41	514.56	0.0	791.35	0.46	314.17	205.5	802.41	153.34	165.57	153.34	348.71	327.56	234.57	748.61	208.38	743.43	283.05	334.46
VPS25	2303.12	1950.0	1950.0	1844.76	1437.15	0.0	4095.0	0.0	1369.04	890.44	1447.15	633.73	435.55	511.0	616.37	1096.5	624.99	1674.06	511.0	1037.29	780.44	624.99
XRCC4	305.55	241.19	256.78	312.0	231.32	0.0	271.48	0.19	182.55	141.02	149.12	69.03	54.33	45.21	87.03	125.24	145.02	258.57	85.82	80.01	80.57	97.36
ZC3HC1	329.84	339.14	616.37	802.41	934.76	0.0	497.0	0.0	169.07	162.14	283.05	103.69	69.52	68.55	128.79	154.42	88.26	301.33	102.97	146.03	123.5	83.45
ZCCHC9	860.08	723.08	647.07	854.13	708.18	0.0	802.41	0.13	341.51	412.0	559.28	199.85	191.67	93.35	201.25	339.14	277.2	575.03	159.9	285.03	260.38	189.02
ZFP69	91.41	90.14	58.3	44.25	75.64	0.0	98.04	0.0	47.17	38.12	73.03	21.47	11.64	16.39	24.99	42.71	34.75	69.03	23.76	36.79	21.32	34.51
ZNF195	490.14	409.15	346.29	201.25	379.04	0.0	463.65	0.25	152.28	277.2	406.31	143.01	92.05	77.79	127.89	224.97	90.77	361.04	134.3	162.14	151.22	151.22
ZNF311	88.88	42.71	16.63	20.86	25.72	0.0	61.25	0.11	7.63	6.31	52.45	6.21	0.99	2.2	3.66	11.55	4.31	63.89	2.58	9.41	9.13	5.63
ZNHIT3	1259.69	1191.69	1225.22	1340.84	967.76	0.0	2178.83	0.27	802.41	708.18	1183.45	295.11	358.54	262.2	339.14	743.43	473.41	1268.46	368.65	728.11	450.94	412.0
