	TCGA.B8.5164.01A.01R.1420.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.BP.4807.01A.01R.1305.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.B3.8121.01A.21R.2404.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.B9.5156.01A.01R.1592.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A0ZA.01A.11R.A10U.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A420.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.Y5V6.0526.SM.4VBRV	GTEX.WHSE.0626.SM.4RGNF	GTEX.S4Z8.0326.SM.3K2AU	GTEX.1399R.0126.SM.5IFEV	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.V955.0426.SM.3GAEL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.13CF3.0926.SM.5LZZC	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
ATXN1L	536.45	616.37	460.44	575.03	587.13	540.19	381.68	518.15	563.18	248.0	159.9	248.0	162.14	255.0	205.5	98.73	193.01	138.1	150.17	153.34	111.99	100.83	199.85	171.45	205.5	108.9	202.66	185.11	223.41	183.82	212.78	228.13	182.55	187.71	176.29	139.07	202.66	309.83	214.27	206.94	176.29	120.94	195.72	183.82	90.77	293.07	218.79	231.32	154.42	124.37	158.79	100.13	158.79	191.67	251.48	166.73	229.72	281.09	141.02	127.0	224.97	262.2	244.57	142.01	166.73	193.01	98.04	169.07	325.29	157.68	316.37	133.36	120.1	123.5	165.57	209.84	139.07	169.07	178.77	170.25	172.65	236.21	130.6	269.6	214.27	232.94	140.04	178.77	186.4	146.03	121.79	142.01	356.05	226.54	314.17	363.56	358.54	447.82	371.22	358.54	426.57	353.59	312.0	237.86
BLOC1S5	665.29	587.13	775.05	417.77	684.02	563.18	473.41	748.61	414.87	159.9	136.19	236.21	159.9	193.01	154.42	148.09	178.77	164.42	149.12	135.24	127.0	116.78	206.94	135.24	180.02	142.01	163.28	199.85	187.71	101.54	141.02	158.79	140.04	175.07	147.06	136.19	147.06	215.77	186.4	199.85	147.06	155.5	145.02	136.19	112.77	143.01	148.09	165.57	105.15	127.0	176.29	106.63	156.59	149.12	226.54	147.06	170.25	189.02	147.06	121.79	171.45	175.07	153.34	148.09	169.07	178.77	114.36	181.28	154.42	138.1	220.32	131.51	104.42	152.28	154.42	147.06	161.02	166.73	145.02	109.66	181.28	189.02	120.1	194.36	150.17	180.02	116.78	141.02	144.01	149.12	113.56	164.42	275.28	232.94	231.32	232.94	323.03	253.23	341.51	289.02	220.32	167.9	212.78	183.82
BTBD7	277.2	579.04	656.11	511.0	543.96	466.88	366.09	525.39	454.09	287.01	221.86	295.11	262.2	351.14	229.72	171.45	256.78	218.79	218.79	199.85	185.11	127.0	297.17	209.84	255.0	157.68	273.37	264.03	279.14	211.31	258.57	249.73	221.86	303.44	232.94	183.82	267.73	361.04	275.28	260.38	228.13	189.02	215.77	281.09	138.1	323.03	277.2	262.2	231.32	209.84	260.38	152.28	193.01	281.09	303.44	218.79	299.25	325.29	201.25	205.5	291.04	351.14	273.37	187.71	242.88	309.83	183.82	251.48	368.65	199.85	381.68	229.72	175.07	194.36	217.27	223.41	228.13	237.86	220.32	180.02	228.13	273.37	169.07	285.03	251.48	301.33	186.4	218.79	223.41	205.5	176.29	221.86	420.68	353.59	299.25	318.57	361.04	400.71	420.68	426.57	312.0	307.69	332.14	281.09
CAP2	384.34	287.01	476.71	251.48	441.64	358.54	293.07	314.17	693.58	130.6	36.27	343.89	73.54	78.89	49.91	34.51	75.64	76.71	100.13	56.28	45.85	28.45	87.65	86.43	72.01	75.11	70.01	87.65	85.82	46.84	86.43	62.12	50.27	86.43	60.39	57.08	45.21	156.59	90.77	115.97	87.65	81.71	61.68	43.63	36.53	92.05	92.05	73.03	71.5	80.01	120.94	39.5	53.57	65.72	115.97	67.59	53.95	98.73	61.25	55.49	63.45	94.01	78.34	40.36	95.34	83.45	39.5	120.94	108.14	47.84	201.25	74.58	49.91	151.22	38.4	49.21	31.67	52.82	61.25	48.52	54.33	85.22	105.15	164.42	78.89	100.13	51.71	79.45	93.35	47.5	111.99	65.72	226.54	206.94	52.08	116.78	217.27	152.28	228.13	279.14	163.28	112.77	146.03	154.42
CDKL5	220.32	87.65	85.82	116.78	114.36	86.43	52.08	143.01	79.45	19.39	8.19	33.3	7.17	25.54	23.59	3.59	16.15	12.27	8.65	6.94	3.86	3.96	19.68	9.63	22.59	7.28	17.13	17.0	23.42	11.04	7.75	27.44	14.89	13.22	21.63	3.72	16.15	31.22	27.44	12.83	10.55	5.19	9.78	25.72	4.24	37.85	15.8	18.03	6.52	4.03	15.8	4.24	7.06	21.78	21.01	12.74	14.89	26.67	2.94	8.32	14.67	31.22	14.56	5.41	15.91	19.82	5.32	13.52	29.91	8.65	35.76	9.27	7.51	8.92	11.91	22.1	6.26	11.55	10.24	11.3	12.45	27.44	7.46	25.91	20.71	31.22	7.28	13.03	11.21	12.45	9.2	9.93	36.53	32.82	13.12	47.84	27.84	45.53	56.68	21.94	45.21	55.1	35.5	28.04
CLCN3	974.5	934.76	728.11	753.83	825.0	693.58	476.71	796.86	1477.58	348.71	275.28	497.0	318.57	376.41	334.46	223.41	414.87	339.14	295.11	248.0	226.54	157.68	299.25	295.11	336.79	204.07	397.93	406.31	384.34	217.27	309.83	332.14	297.17	409.15	336.79	176.29	371.22	470.14	454.09	297.17	320.8	232.94	312.0	387.02	206.94	463.65	426.57	361.04	395.18	251.48	406.31	221.86	256.78	358.54	387.02	332.14	346.29	444.72	205.5	260.38	371.22	500.46	303.44	275.28	361.04	368.65	223.41	312.0	620.67	271.48	591.22	325.29	236.21	289.02	320.8	343.89	307.69	327.56	336.79	232.94	339.14	343.89	186.4	454.09	309.83	454.09	223.41	285.03	334.46	264.03	291.04	314.17	547.75	642.59	299.25	514.56	480.04	511.0	684.02	616.37	400.71	441.64	518.15	457.25
COX10	217.27	438.59	241.19	379.04	483.38	447.82	291.04	500.46	291.04	159.9	101.54	336.79	118.43	177.53	97.36	125.24	117.6	100.83	107.38	117.6	81.71	89.51	236.21	176.29	109.66	80.57	117.6	229.72	123.5	108.9	132.44	110.43	103.69	191.67	110.43	105.15	111.21	117.6	215.77	135.24	165.57	120.94	132.44	105.15	88.26	138.1	144.01	126.12	118.43	106.63	163.28	81.71	99.43	93.35	132.44	94.01	124.37	197.09	140.04	95.34	104.42	187.71	211.31	119.26	127.89	122.64	94.01	131.51	289.02	106.63	139.07	93.35	75.11	141.02	98.73	123.5	71.5	92.7	102.25	109.66	108.14	122.64	98.73	229.72	92.7	127.0	95.34	104.42	151.22	99.43	109.66	119.26	211.31	199.85	166.73	279.14	234.57	244.57	267.73	239.52	171.45	180.02	187.71	226.54
COX15	1111.82	1242.34	988.12	995.0	1088.92	1059.11	1216.75	1331.57	738.29	540.19	403.5	1023.0	363.56	555.41	325.29	301.33	381.68	343.89	339.14	371.22	277.2	267.73	723.08	514.56	363.56	327.56	363.56	490.14	409.15	343.89	521.76	361.04	299.25	669.92	400.71	403.5	376.41	563.18	669.92	679.29	559.28	429.54	417.77	312.0	224.97	460.44	463.65	444.72	497.0	379.04	387.02	262.2	312.0	339.14	473.41	392.44	395.18	503.95	358.54	348.71	457.25	551.56	607.87	309.83	426.57	325.29	267.73	503.95	947.83	332.14	483.38	361.04	256.78	343.89	373.81	403.5	397.93	373.81	392.44	285.03	320.8	412.0	358.54	518.15	480.04	381.68	353.59	339.14	567.1	412.0	327.56	327.56	698.41	507.46	253.23	638.15	624.99	603.67	629.35	629.35	454.09	514.56	514.56	497.0
CSTF2T	518.15	228.13	363.56	269.6	334.46	358.54	198.47	275.28	341.51	258.57	223.41	255.0	241.19	303.44	211.31	169.07	309.83	234.57	185.11	212.78	159.9	110.43	241.19	212.78	232.94	117.6	267.73	180.02	255.0	201.25	202.66	244.57	195.72	232.94	206.94	176.29	226.54	318.57	236.21	204.07	217.27	193.01	253.23	198.47	146.03	314.17	209.84	316.37	221.86	214.27	267.73	147.06	199.85	205.5	265.87	224.97	283.05	277.2	172.65	221.86	251.48	277.2	195.72	181.28	236.21	264.03	146.03	251.48	351.14	246.28	361.04	201.25	164.42	206.94	185.11	197.09	167.9	172.65	226.54	241.19	218.79	237.86	163.28	199.85	226.54	244.57	221.86	244.57	212.78	191.67	178.77	204.07	256.78	320.8	223.41	363.56	387.02	289.02	389.72	348.71	336.79	379.04	339.14	336.79
CTSB	31432.17	60723.88	47642.77	67377.47	34158.52	50709.61	167058.21	37379.55	125731.67	378516.38	148488.36	365622.68	172949.54	129266.49	301123.38	158046.64	267651.2	253213.41	175363.84	140478.49	221968.2	215898.44	307450.64	193234.41	177811.84	198667.0	197294.7	290865.98	189257.69	116501.39	311742.51	174152.51	214407.12	389157.95	175363.84	144427.91	182810.84	107948.72	282912.21	220434.95	202841.44	242898.5	191899.64	201440.3	147462.67	204252.32	327241.36	160252.91	391864.76	198667.0	174152.51	200048.85	200048.85	168220.2	201440.3	176583.6	169390.27	121448.75	162489.97	114103.8	299043.36	185362.8	428815.23	168220.2	197294.7	208544.12	120609.84	190574.09	260332.24	141455.6	162489.97	218912.29	158046.64	175363.84	226632.25	152662.96	212926.09	241220.67	175363.84	174152.51	209994.66	184082.4	208544.12	288856.81	181548.07	214407.12	127486.83	168220.2	180294.02	236256.4	194578.47	180294.02	129266.49	116501.39	258533.99	92040.7	114897.47	97288.74	93325.55	118949.35	133825.1	138544.47	156954.93	191899.64
