	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.XR.A8TD.01A.12R.A39D.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.DD.AACV.01A.11R.A41C.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.QA.A7B7.01A.11R.A32O.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.A5.A1OH.01A.21R.A22K.07
CDK1	1286.18	327.56	187.71	255.0	1286.18	329.84	1359.57	532.74	441.64	1583.71	624.99	16.88	738.29	16.39	119.26	31.9	336.79	13.22	10.0	59.13	5.02	5.36	71.0	5.82	22.92	13.83	199.85	32.59	20.41	13.42	1936.53	2400.97
CDKN2C	954.43	490.14	454.09	283.05	289.02	603.67	1857.6	995.0	890.44	2609.3	708.18	29.91	728.11	63.45	249.73	88.88	287.01	47.5	108.9	136.19	34.02	25.72	123.5	104.42	46.84	129.69	287.01	62.56	75.64	201.25	1135.2	961.07
CHTF18	368.65	199.85	129.69	353.59	884.29	490.14	1685.71	791.35	323.03	995.0	896.64	60.82	201.25	72.01	120.94	115.16	343.89	90.14	172.65	37.32	55.89	114.36	86.43	118.43	148.09	122.64	183.82	154.42	88.26	49.21	1519.15	748.61
CKAP5	1745.2	1175.27	753.83	728.11	1183.45	656.11	1639.59	896.64	974.5	1519.15	1216.75	500.46	334.46	802.41	476.71	587.13	518.15	470.14	414.87	503.95	312.0	713.11	660.68	447.82	503.95	688.78	607.87	366.09	599.49	348.71	1268.46	848.22
CTC-534A2.2	53.57	41.22	49.21	87.65	58.3	69.52	159.9	37.32	100.83	116.78	102.97	14.67	37.32	27.44	35.25	34.75	54.72	35.5	18.56	25.54	26.67	28.45	22.43	14.67	25.17	14.14	47.17	39.5	19.97	8.78	63.0	58.3
DEPDC1	332.14	48.18	32.82	79.45	234.57	105.89	299.25	199.85	198.47	356.05	265.87	18.7	139.07	0.54	33.54	12.0	27.64	1.07	0.99	10.55	0.47	0.0	16.15	0.0	2.46	0.0	33.06	0.41	1.58	1.07	320.8	154.42
DLGAP5	575.03	114.36	80.01	129.69	441.64	165.57	429.54	101.54	165.57	229.72	295.11	2.23	269.6	3.08	49.21	6.26	73.54	3.66	1.79	18.03	0.0	3.47	29.7	0.0	1.79	4.21	48.87	3.76	0.75	0.77	785.88	718.08
DTL	309.83	136.19	101.54	191.67	287.01	152.28	764.36	447.82	229.72	444.72	555.41	2.76	89.51	8.19	125.24	24.81	109.66	14.89	21.47	11.21	2.2	6.16	20.56	19.68	18.43	1.91	41.81	5.5	9.78	3.66	403.5	287.01
EME1	158.79	76.71	23.76	138.1	275.28	121.79	373.81	303.44	142.01	234.57	260.38	4.7	45.53	4.9	70.51	17.0	166.73	4.03	20.26	9.56	5.68	3.76	20.26	5.68	22.1	6.94	59.13	10.96	6.57	5.23	563.18	351.14
HELLS	397.93	92.7	64.34	151.22	363.56	120.1	293.07	140.04	130.6	305.55	152.28	8.0	217.27	12.55	191.67	66.18	175.07	10.08	56.28	11.91	2.61	5.54	17.9	15.68	42.41	8.51	119.26	23.25	16.15	15.22	624.99	381.68
HMGB2	22225.61	1806.78	1685.71	2451.44	3874.05	2997.45	7537.18	2434.5	3325.99	6426.31	3614.55	514.56	3742.05	759.08	941.27	536.45	2240.11	503.95	447.82	872.1	660.68	242.88	476.71	299.25	759.08	392.44	2417.67	400.71	493.56	954.43	20737.16	6607.01
KIF11	529.06	69.52	66.65	101.54	295.11	60.82	183.82	126.12	120.1	248.0	121.79	4.39	301.33	6.57	62.56	11.38	93.35	9.48	6.57	26.67	8.0	10.31	29.06	12.0	9.27	10.24	108.14	5.23	4.43	12.83	587.13	336.79
KIFC1	921.88	255.0	120.1	314.17	1135.2	255.0	1369.04	884.29	660.68	514.56	518.15	11.73	414.87	8.65	57.89	19.97	217.27	4.7	12.18	48.52	3.63	4.46	46.18	3.79	13.72	7.51	125.24	21.94	7.46	7.57	1991.0	981.29
KNTC1	543.96	145.02	138.1	603.67	1051.79	307.69	2047.0	555.41	514.56	981.29	961.07	30.56	86.43	99.43	287.01	256.78	226.54	51.71	108.14	35.25	79.45	41.81	49.21	35.0	117.6	73.54	228.13	85.82	34.26	78.34	1508.65	511.0
LMNB1	3212.66	287.01	275.28	866.07	967.76	325.29	1286.18	830.75	620.67	934.76	896.64	63.45	1721.16	187.71	603.67	105.89	514.56	109.66	126.12	239.52	33.06	73.03	127.0	114.36	115.16	129.69	429.54	81.71	134.3	34.26	2777.33	1111.82
MAD2L1	1963.57	187.71	98.73	264.03	738.29	363.56	981.29	518.15	460.44	780.44	669.92	8.71	981.29	14.14	361.04	59.55	218.79	36.01	79.45	76.17	37.32	24.63	77.25	28.65	45.21	17.77	165.57	36.53	18.97	14.24	1639.59	872.1
NASP	10225.32	1498.22	1498.22	2875.3	5913.33	1870.53	4066.71	2417.67	2417.67	5441.3	2739.08	660.68	1216.75	1015.93	1685.71	1199.98	2287.2	825.0	1037.29	1199.98	995.0	1216.75	1001.93	1119.56	878.17	1572.76	1794.29	633.73	1037.29	647.07	7230.1	4575.41
NDC80	591.22	239.52	90.14	228.13	769.69	169.07	575.03	226.54	974.5	497.0	429.54	7.63	295.11	16.03	58.71	34.02	126.12	4.17	4.31	14.24	3.69	3.5	35.25	1.07	10.08	23.25	65.26	17.25	6.57	9.06	480.04	872.1
NEK2	921.88	209.84	186.4	209.84	642.59	253.23	1023.0	473.41	555.41	713.11	733.19	4.86	339.14	2.63	70.01	14.35	76.71	7.63	3.5	15.11	0.0	0.0	37.59	12.45	2.97	5.41	38.67	8.99	2.61	2.66	1044.52	571.05
NUF2	796.86	158.79	79.45	164.42	708.18	251.48	1127.35	463.65	579.04	748.61	457.25	8.92	201.25	4.82	43.32	17.51	64.34	2.41	3.56	13.83	4.21	0.0	15.8	5.28	7.94	1.43	49.91	4.1	0.95	9.2	1008.9	808.0
NUSAP1	1781.89	764.36	460.44	759.08	988.12	688.78	2701.35	2018.8	848.22	1896.65	825.0	41.52	1378.57	39.79	371.22	92.7	293.07	33.78	45.85	139.07	28.86	23.76	206.94	46.84	49.21	92.7	420.68	111.21	30.12	89.51	3103.19	1250.98
OIP5	447.82	102.25	46.18	166.73	251.48	253.23	688.78	473.41	379.04	414.87	262.2	12.55	336.79	6.11	111.99	9.27	60.39	6.62	11.21	29.7	1.91	9.13	20.56	9.27	12.64	7.11	59.13	21.47	9.56	14.45	373.81	264.03
ORC1	262.2	55.1	34.51	128.79	351.14	86.43	193.01	78.89	98.73	172.65	277.2	3.72	110.43	2.39	142.01	5.45	48.52	4.78	5.82	7.11	1.35	0.55	8.92	6.16	8.25	2.36	21.63	10.16	4.31	1.31	262.2	104.42
PGBD2	156.59	96.01	120.1	75.64	208.38	78.34	237.86	89.51	186.4	139.07	110.43	53.57	13.93	58.71	46.84	73.03	76.17	65.26	66.18	55.1	68.07	106.63	64.8	55.89	71.0	59.13	76.71	48.87	55.49	34.75	140.04	111.99
PHF19	1417.35	450.94	275.28	384.34	878.17	547.75	1030.12	551.56	866.07	1088.92	555.41	47.17	1008.9	109.66	201.25	104.42	267.73	57.49	80.01	61.25	14.45	41.22	117.6	44.25	75.11	52.45	312.0	109.66	77.25	38.12	1529.73	848.22
PIF1	318.57	42.71	20.56	138.1	318.57	128.79	239.52	163.28	237.86	343.89	221.86	4.82	92.05	7.82	13.72	15.0	52.45	9.13	5.92	12.18	1.68	4.46	15.11	0.09	11.47	7.46	30.34	14.89	8.65	2.1	785.88	309.83
PLK4	307.69	37.32	53.57	68.07	154.42	133.36	273.37	164.42	101.54	307.69	253.23	15.91	100.13	10.24	85.22	15.0	69.03	6.52	30.56	22.43	6.62	8.45	33.78	18.43	9.93	2.2	71.5	8.06	21.63	17.13	514.56	195.72
POLA2	813.63	262.2	197.09	356.05	684.02	384.34	819.3	358.54	536.45	780.44	866.07	76.17	312.0	103.69	551.56	102.25	497.0	72.52	136.19	100.83	67.12	82.87	111.21	55.1	167.9	154.42	194.36	214.27	77.25	48.87	1313.23	878.17
RAD51AP1	607.87	92.7	74.58	236.21	567.1	151.22	486.75	447.82	162.14	376.41	351.14	15.56	221.86	8.25	120.94	24.63	127.0	13.42	22.43	37.59	5.41	16.27	44.25	13.72	25.91	15.0	68.55	31.45	16.39	7.82	860.08	486.75
RMI2	3303.0	131.51	80.01	563.18	563.18	503.95	1437.15	358.54	127.89	915.51	660.68	25.54	285.03	23.42	301.33	122.64	191.67	14.24	96.01	49.21	6.62	35.0	57.89	8.32	66.65	41.81	151.22	133.36	41.52	29.06	2520.38	902.89
STMN1	64186.29	2163.77	1617.0	3716.2	6250.56	2591.27	12764.83	7911.95	6561.36	7749.1	4239.45	199.85	7230.1	595.34	1529.73	688.78	1832.01	397.93	444.72	988.12	133.36	323.03	830.75	460.44	384.34	764.36	4328.55	813.63	293.07	395.18	29531.18	20310.37
TMEM194A	305.55	100.83	57.89	170.25	260.38	90.77	400.71	217.27	124.37	249.73	204.07	49.91	142.01	61.68	98.04	75.64	89.51	52.45	77.25	177.53	44.25	56.68	65.72	37.59	75.11	62.12	79.45	44.57	54.33	39.79	579.04	255.0
TMPRSS15	31.22	0.0	8.85	3.35	13.22	0.83	116.78	3.06	2.01	87.03	289.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.64	5.28
TOPBP1	1617.0	209.84	265.87	329.84	624.99	279.14	791.35	389.72	327.56	414.87	567.1	35.0	182.55	92.05	212.78	144.01	181.28	68.07	88.26	93.35	42.41	70.01	102.25	71.0	135.24	53.95	151.22	88.26	80.01	86.43	1225.22	642.59
TTK	559.28	80.57	50.27	135.24	397.93	156.59	371.22	246.28	320.8	275.28	283.05	2.81	163.28	5.82	48.52	8.78	60.82	1.22	7.28	11.64	1.04	0.0	13.72	0.0	2.46	1.2	42.11	5.63	3.17	2.23	532.74	497.0
UBE2T	1963.57	470.14	353.59	543.96	1183.45	511.0	1427.22	780.44	1111.82	1781.89	1304.15	12.55	514.56	46.84	277.2	32.59	329.84	20.11	21.47	49.56	5.54	0.0	72.52	23.93	59.55	18.7	205.5	55.1	16.51	46.84	2384.37	1350.18
WDHD1	293.07	37.85	46.5	78.34	163.28	59.55	281.09	53.95	84.04	124.37	199.85	5.73	74.06	3.47	94.67	33.3	76.71	8.99	17.51	19.68	7.28	21.63	18.16	2.32	13.12	5.19	21.01	11.13	6.57	8.58	379.04	432.53
ZWINT	1378.57	651.58	264.03	450.94	1628.26	363.56	1721.16	1104.13	497.0	1119.56	848.22	22.26	1159.07	58.71	599.49	178.77	647.07	28.24	108.14	120.1	31.45	44.57	224.97	47.17	90.77	47.17	348.71	120.1	35.76	109.66	1233.75	1340.84
