	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.T2IS.1526.SM.32QPR	GTEX.ZF29.1926.SM.5S2P1	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.145LU.1326.SM.5LU9N	GTEX.SJXC.1226.SM.4DM78	TCGA.38.4625.01A.01R.1206.07.1
LYST	226.54	129.69	381.68	140.04	214.27	412.0	432.53	205.5	279.14	316.37	307.69	197.09	279.14	171.45	379.04	297.17	241.19	450.94	211.31	336.79	351.14	1066.48	571.05	248.0	50.98	748.61	202.66	480.04	193.01	101.54	154.42	94.01	113.56	171.45	48.52	170.25	173.85	104.42	0.68
MAN1A2	194.36	395.18	656.11	387.02	323.03	493.56	332.14	346.29	251.48	199.85	195.72	178.77	301.33	249.73	483.38	387.02	329.84	381.68	529.06	403.5	373.81	813.63	228.13	206.94	125.24	368.65	255.0	348.71	183.82	152.28	157.68	132.44	171.45	185.11	136.19	148.09	164.42	138.1	0.47
MAPK1	358.54	848.22	1135.2	490.14	476.71	1427.22	830.75	1066.48	414.87	624.99	511.0	703.28	1159.07	490.14	1806.78	1605.83	1498.22	1605.83	2104.58	1781.89	1605.83	2335.28	1073.91	915.51	536.45	1407.55	529.06	1540.37	234.57	204.07	197.09	201.25	223.41	232.94	215.77	164.42	258.57	171.45	0.68
MGAT4A	426.57	514.56	571.05	438.59	432.53	607.87	947.83	511.0	356.05	283.05	1233.75	281.09	698.41	392.44	743.43	563.18	775.05	775.05	928.3	559.28	1250.98	1540.37	490.14	718.08	241.19	723.08	1023.0	1498.22	171.45	135.24	104.42	124.37	105.89	96.68	63.89	38.12	201.25	105.89	0.62
MGP	469249.9	998912.34	1139523.1	593956.43	431797.89	736332.6	623486.02	716197.51	462789.59	489177.0	1196176.45	443937.41	623486.02	687022.54	191899.64	462789.59	800198.39	598087.73	585779.24	1524599.69	565825.41	334117.42	565825.41	869603.57	1100706.72	845824.19	1308968.45	614902.29	1143.1	854.13	1159.07	221.86	669.92	1844.76	420.68	866.07	1350.18	759.08	848.22
MIEF1	220.32	212.78	291.04	251.48	293.07	341.51	295.11	242.88	214.27	237.86	256.78	248.0	389.72	223.41	457.25	384.34	438.59	265.87	387.02	366.09	348.71	507.46	334.46	224.97	239.52	258.57	389.72	260.38	209.84	206.94	205.5	303.44	217.27	201.25	262.2	251.48	190.34	202.66	0.35
NRIP3	136.19	38.12	145.02	49.21	53.57	28.24	490.14	329.84	14.45	57.08	7.11	17.25	181.28	57.89	353.59	99.43	223.41	110.43	1594.73	688.78	106.63	629.35	674.59	32.36	98.04	57.08	74.58	275.28	2.81	0.65	7.69	0.0	0.0	1.11	0.37	3.76	2.48	2.71	181.28
NUP50	334.46	450.94	414.87	329.84	420.68	651.58	397.93	400.71	316.37	348.71	281.09	351.14	450.94	466.88	595.34	480.04	518.15	412.0	624.99	368.65	166.73	890.44	466.88	275.28	201.25	406.31	343.89	591.22	299.25	237.86	287.01	277.2	242.88	244.57	165.57	153.34	226.54	146.03	165.57
PABPC3	1.51	14.78	14.45	6.78	5.28	4.86	5.59	10.0	2.14	4.1	10.55	7.69	12.83	5.02	20.86	9.06	8.45	15.56	20.11	9.48	23.93	4.21	3.32	5.87	7.11	29.48	6.78	7.22	0.56	1.14	1.03	0.99	0.56	0.42	2.66	0.0	1.83	0.46	0.06
PEX26	185.11	336.79	212.78	281.09	217.27	480.04	273.37	376.41	204.07	336.79	249.73	186.4	287.01	273.37	376.41	420.68	373.81	329.84	273.37	406.31	273.37	420.68	217.27	194.36	109.66	199.85	353.59	363.56	194.36	146.03	139.07	181.28	201.25	132.44	126.12	155.5	123.5	178.77	63.89
PRR14L	236.21	217.27	232.94	161.02	271.48	384.34	234.57	275.28	148.09	241.19	231.32	209.84	260.38	242.88	373.81	275.28	249.73	201.25	387.02	214.27	157.68	275.28	255.0	123.5	98.04	185.11	131.51	171.45	111.21	98.73	89.51	102.97	74.58	144.01	90.14	84.63	111.21	87.03	148.09
PTPRJ	57.49	49.56	90.14	86.43	114.36	163.28	248.0	176.29	99.43	59.55	63.45	57.49	109.66	31.0	226.54	180.02	127.0	217.27	285.03	579.04	180.02	193.01	139.07	79.45	32.13	251.48	175.07	165.57	57.89	46.84	62.12	50.27	66.65	68.55	45.53	94.67	50.27	45.21	0.35
RBM12	318.57	571.05	988.12	679.29	738.29	743.43	633.73	866.07	438.59	629.35	612.11	486.75	620.67	417.77	961.07	1096.5	848.22	764.36	1104.13	1081.39	1331.57	1208.34	775.05	532.74	497.0	728.11	518.15	934.76	181.28	134.3	167.9	125.24	133.36	94.01	111.21	127.89	118.43	106.63	0.43
