	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.QLQW.0426.SM.447A7	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.1128S.1626.SM.5H12O	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.ZVP2.1526.SM.5NQ82	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.T5JW.1126.SM.4DM5V	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.CG.5734.11A.01R.1602.13
KIAA1033	633.73	684.02	954.43	651.58	260.38	473.41	177.53	265.87	182.55	87.65	190.34	153.34	194.36	353.59	353.59	218.79	204.07	246.28	224.97	149.12	159.9	157.68	251.48	193.01	220.32	283.05	363.56	237.86	139.07	198.47	289.02	356.05	334.46	212.78	234.57	212.78	248.0	525.39	255.0	136.19	150.17	299.25	195.72	366.09	325.29	135.24	77.79	669.92	928.3	738.29	819.3	129.69
M6PR	3280.18	2367.9	2555.58	2520.38	1340.84	2271.4	1857.6	1583.71	1477.58	1151.06	1950.0	1467.37	1639.59	2032.85	1769.57	1806.78	1331.57	2335.28	1268.46	915.51	1540.37	1331.57	1857.6	1923.14	1529.73	1457.23	1540.37	2148.82	1551.09	1001.93	2032.85	1857.6	1199.98	1605.83	1936.53	1322.37	1350.18	2935.74	1733.13	1870.53	1583.71	2090.03	1561.89	2104.58	1674.06	1340.84	791.35	2351.53	2835.7	1923.14	2119.22	836.53
MALT1	454.09	366.09	493.56	325.29	123.5	275.28	118.43	167.9	150.17	78.89	141.02	182.55	197.09	173.85	255.0	224.97	120.94	262.2	271.48	195.72	185.11	117.6	145.02	108.14	148.09	104.42	236.21	223.41	133.36	125.24	273.37	267.73	239.52	221.86	175.07	148.09	303.44	486.75	214.27	121.79	154.42	228.13	140.04	229.72	256.78	147.06	32.82	363.56	514.56	389.72	358.54	105.89
MAP3K7	633.73	532.74	688.78	587.13	209.84	356.05	217.27	242.88	199.85	136.19	217.27	215.77	198.47	299.25	295.11	265.87	172.65	229.72	223.41	164.42	199.85	191.67	273.37	190.34	224.97	220.32	303.44	287.01	166.73	164.42	260.38	334.46	209.84	253.23	218.79	144.01	212.78	376.41	246.28	208.38	246.28	285.03	181.28	289.02	287.01	190.34	64.34	400.71	518.15	470.14	486.75	131.51
MDM4	441.64	432.53	547.75	414.87	89.51	281.09	156.59	170.25	79.45	41.52	129.69	117.6	144.01	220.32	180.02	165.57	71.5	140.04	102.97	68.07	95.34	93.35	171.45	111.99	84.04	130.6	158.79	204.07	125.24	84.63	193.01	229.72	136.19	157.68	167.9	74.06	142.01	312.0	191.67	104.42	108.9	262.2	159.9	215.77	205.5	136.19	32.59	830.75	915.51	791.35	909.17	73.54
MON2	587.13	785.88	981.29	791.35	318.57	346.29	246.28	348.71	291.04	209.84	297.17	348.71	307.69	432.53	463.65	334.46	262.2	314.17	371.22	363.56	232.94	299.25	429.54	220.32	206.94	312.0	403.5	426.57	291.04	329.84	463.65	559.28	366.09	376.41	301.33	232.94	397.93	629.35	438.59	285.03	273.37	414.87	332.14	400.71	466.88	376.41	158.79	825.0	836.53	995.0	796.86	185.11
MTR	366.09	423.61	444.72	336.79	57.08	316.37	88.26	109.66	77.25	33.3	92.7	105.15	83.45	138.1	110.43	139.07	65.72	172.65	84.63	32.13	77.25	80.57	72.52	75.64	84.04	65.26	136.19	100.83	63.45	65.72	92.7	115.16	92.05	98.73	115.97	69.03	81.71	146.03	113.56	67.59	85.82	131.51	82.29	206.94	108.9	62.56	17.51	361.04	348.71	299.25	211.31	57.08
NAA25	325.29	314.17	429.54	403.5	71.5	559.28	81.14	85.82	73.03	49.91	87.03	93.35	96.68	122.64	98.73	117.6	78.34	140.04	73.03	36.27	73.03	88.26	76.71	84.04	85.82	96.01	130.6	110.43	66.18	59.13	101.54	117.6	75.64	92.7	88.88	69.03	90.77	187.71	100.83	84.04	96.68	126.12	84.63	136.19	102.97	69.03	29.06	314.17	336.79	295.11	361.04	57.08
NFATC2	497.0	236.21	234.57	152.28	24.11	309.83	52.45	62.12	75.64	27.64	46.18	56.28	82.29	181.28	63.0	119.26	20.11	88.26	55.49	26.67	42.71	42.71	53.95	88.88	127.89	32.59	90.14	131.51	57.08	40.64	95.34	115.97	52.45	62.12	111.21	29.7	53.57	297.17	65.26	57.08	166.73	102.97	52.45	92.05	100.13	35.76	32.13	325.29	521.76	583.07	234.57	134.3
NKTR	1268.46	1651.0	1572.76	1199.98	412.0	785.88	327.56	366.09	273.37	73.03	363.56	343.89	373.81	567.1	624.99	642.59	236.21	713.11	339.14	180.02	281.09	314.17	285.03	178.77	379.04	363.56	486.75	435.55	264.03	234.57	559.28	713.11	518.15	373.81	518.15	318.57	406.31	848.22	511.0	198.47	281.09	743.43	237.86	669.92	660.68	275.28	21.63	1662.49	2303.12	1923.14	1769.57	275.28
NPIPB5	3515.68	2555.58	2367.9	2271.4	961.07	2303.12	1233.75	1427.22	1073.91	493.56	728.11	1883.54	2367.9	2537.92	1359.57	2032.85	915.51	819.3	915.51	669.92	1199.98	1001.93	1313.23	954.43	1159.07	1540.37	1963.57	1617.0	1259.69	1437.15	1397.83	1685.71	1350.18	2047.0	1583.71	1259.69	1745.2	3665.02	2018.8	928.3	1191.69	2032.85	660.68	1322.37	2193.99	1883.54	41.52	6840.04	6037.61	7857.29	7749.1	688.78
NSMAF	612.11	579.04	693.58	575.03	262.2	941.27	387.02	361.04	204.07	211.31	400.71	343.89	395.18	540.19	507.46	503.95	363.56	420.68	327.56	208.38	277.2	339.14	423.61	273.37	293.07	432.53	454.09	444.72	273.37	271.48	426.57	587.13	336.79	406.31	392.44	198.47	426.57	738.29	476.71	241.19	351.14	438.59	323.03	473.41	486.75	264.03	56.68	896.64	967.76	723.08	698.41	120.94
NUP54	791.35	896.64	1295.13	1066.48	343.89	1127.35	460.44	511.0	417.77	291.04	389.72	540.19	457.25	688.78	563.18	728.11	327.56	703.28	518.15	336.79	409.15	463.65	607.87	559.28	599.49	426.57	753.83	607.87	299.25	368.65	521.76	656.11	444.72	514.56	651.58	339.14	463.65	753.83	532.74	332.14	476.71	507.46	525.39	599.49	559.28	486.75	99.43	591.22	674.59	753.83	651.58	295.11
PHGR1	5.59	110.43	59.55	237.86	783730.52	389157.95	472513.8	386469.83	313910.86	492579.5	273275.14	338781.54	348306.01	171754.88	355624.68	307450.64	301123.38	271387.49	288856.81	509950.32	320506.81	299043.36	437825.58	414208.18	311742.51	341137.96	107948.72	249727.34	249727.34	279017.26	187950.38	185362.8	307450.64	284880.02	303217.87	378516.38	370726.6	76330.98	389157.95	273275.14	400098.69	184082.4	419990.32	135693.24	288856.81	294926.33	0.0	1617.0	651.58	4903.87	9151.82	139508.13
PNN	1733.13	1498.22	1639.59	1896.65	665.29	2384.37	748.61	728.11	785.88	647.07	878.17	928.3	1167.14	1242.34	941.27	1143.1	819.3	941.27	872.1	532.74	878.17	759.08	902.89	802.41	872.1	896.64	1457.23	1159.07	785.88	583.07	1081.39	1397.83	1044.52	890.44	769.69	759.08	848.22	1167.14	1044.52	718.08	796.86	1259.69	638.15	1088.92	1059.11	981.29	158.79	1540.37	2591.27	2303.12	2119.22	674.59
PRPF38B	1216.75	1015.93	1081.39	1286.18	470.14	1331.57	450.94	713.11	703.28	414.87	633.73	647.07	819.3	1119.56	896.64	934.76	624.99	733.19	665.29	483.38	647.07	603.67	713.11	563.18	684.02	780.44	759.08	808.0	688.78	642.59	1119.56	1135.2	769.69	718.08	733.19	616.37	759.08	1159.07	825.0	571.05	674.59	941.27	486.75	796.86	902.89	748.61	46.18	1437.15	1709.26	1572.76	1819.35	808.0
QSER1	325.29	353.59	486.75	389.72	50.27	251.48	76.17	116.78	37.59	24.81	43.32	65.72	61.68	125.24	100.13	85.82	51.35	132.44	62.56	29.91	61.68	59.55	72.52	43.94	64.8	90.14	132.44	122.64	40.64	53.57	87.65	157.68	80.01	64.8	73.03	59.97	57.49	221.86	101.54	53.19	77.25	86.43	63.89	142.01	71.0	31.22	14.24	285.03	285.03	241.19	195.72	43.63
RAB3GAP2	403.5	460.44	579.04	444.72	178.77	305.55	140.04	178.77	152.28	77.25	101.54	147.06	190.34	180.02	201.25	176.29	132.44	212.78	172.65	131.51	118.43	120.94	138.1	98.04	147.06	183.82	256.78	134.3	77.79	143.01	164.42	253.23	199.85	156.59	122.64	156.59	198.47	339.14	176.29	158.79	138.1	163.28	155.5	234.57	208.38	113.56	35.5	397.93	438.59	432.53	470.14	105.89
RASA2	406.31	341.51	514.56	381.68	140.04	206.94	96.01	111.21	119.26	63.0	105.15	124.37	136.19	189.02	182.55	187.71	88.88	202.66	121.79	105.15	120.1	95.34	120.94	115.16	163.28	148.09	204.07	153.34	105.15	91.41	186.4	231.32	120.1	172.65	163.28	89.51	132.44	309.83	164.42	145.02	144.01	164.42	85.82	165.57	205.5	100.83	18.43	305.55	384.34	303.44	312.0	72.01
RBM26	909.17	890.44	1151.06	872.1	248.0	921.88	301.33	366.09	258.57	170.25	341.51	303.44	414.87	603.67	559.28	490.14	312.0	460.44	384.34	255.0	305.55	283.05	368.65	253.23	212.78	397.93	412.0	406.31	260.38	241.19	435.55	674.59	348.71	343.89	336.79	269.6	353.59	417.77	514.56	320.8	285.03	441.64	281.09	507.46	567.1	273.37	31.9	995.0	1350.18	1143.1	866.07	248.0
RINT1	341.51	314.17	420.68	366.09	145.02	483.38	199.85	211.31	191.67	140.04	183.82	234.57	241.19	271.48	316.37	260.38	185.11	260.38	172.65	159.9	153.34	206.94	232.94	218.79	199.85	155.5	291.04	275.28	185.11	181.28	218.79	236.21	176.29	214.27	218.79	194.36	212.78	414.87	234.57	180.02	273.37	208.38	224.97	299.25	237.86	215.77	75.11	463.65	463.65	480.04	555.41	157.68
SBF2	403.5	693.58	607.87	571.05	265.87	366.09	283.05	305.55	287.01	119.26	327.56	305.55	339.14	316.37	368.65	387.02	255.0	432.53	327.56	253.23	234.57	307.69	234.57	228.13	339.14	281.09	409.15	423.61	218.79	305.55	264.03	305.55	343.89	237.86	320.8	279.14	334.46	718.08	283.05	239.52	260.38	320.8	327.56	389.72	381.68	242.88	130.6	403.5	420.68	420.68	381.68	136.19
SLC25A36	1104.13	1551.09	2351.53	1950.0	221.86	988.12	379.04	412.0	309.83	127.0	384.34	444.72	363.56	559.28	567.1	633.73	289.02	785.88	392.44	217.27	348.71	312.0	299.25	293.07	303.44	295.11	521.76	591.22	262.2	265.87	387.02	563.18	629.35	371.22	503.95	299.25	395.18	728.11	460.44	217.27	339.14	620.67	361.04	723.08	647.07	318.57	8.71	2090.03	1397.83	1651.0	1191.69	293.07
SMC5	616.37	607.87	842.36	748.61	218.79	521.76	244.57	265.87	249.73	131.51	267.73	283.05	307.69	435.55	450.94	387.02	307.69	395.18	293.07	215.77	208.38	205.5	258.57	234.57	400.71	384.34	454.09	395.18	215.77	236.21	363.56	571.05	301.33	316.37	384.34	289.02	332.14	665.29	323.03	244.57	289.02	366.09	262.2	379.04	397.93	224.97	32.36	612.11	620.67	703.28	679.29	183.82
SRSF10	2004.85	2271.4	3103.19	2664.15	1104.13	2319.15	1143.1	1242.34	988.12	738.29	974.5	1167.14	1359.57	1721.16	1697.45	1709.26	1001.93	1551.09	1259.69	878.17	1051.79	961.07	1167.14	1015.93	1167.14	1583.71	1794.29	1551.09	1030.12	967.76	1519.15	2061.24	1277.29	1295.13	1127.35	1199.98	1233.75	1674.06	1378.57	995.0	981.29	1721.16	1250.98	1733.13	1457.23	1104.13	514.56	2047.0	2319.15	2664.15	2664.15	981.29
STYX	255.0	256.78	348.71	297.17	105.15	229.72	115.16	91.41	95.34	60.39	80.01	147.06	108.14	158.79	112.77	173.85	87.03	167.9	94.01	63.45	121.79	80.57	111.21	137.14	122.64	82.87	176.29	206.94	60.39	100.13	140.04	180.02	92.05	129.69	159.9	93.35	70.01	177.53	139.07	115.97	73.03	117.6	94.67	165.57	135.24	104.42	145.02	262.2	301.33	301.33	236.21	76.71
TXNDC16	142.01	242.88	348.71	305.55	54.72	202.66	107.38	122.64	125.24	41.22	55.49	100.13	85.22	132.44	100.13	98.04	57.08	131.51	68.07	31.22	76.17	75.11	72.52	90.77	64.8	87.03	172.65	127.89	53.19	73.03	115.16	144.01	105.15	96.01	169.07	57.08	90.14	105.15	86.43	76.17	76.71	70.51	100.83	170.25	86.43	47.17	29.91	105.15	127.0	181.28	128.79	52.82
U2SURP	1437.15	1605.83	2434.5	1757.34	470.14	2255.7	454.09	470.14	473.41	256.78	463.65	473.41	457.25	642.59	591.22	457.25	423.61	507.46	507.46	312.0	366.09	397.93	547.75	466.88	373.81	555.41	679.29	551.56	379.04	343.89	718.08	718.08	493.56	547.75	414.87	387.02	423.61	1233.75	665.29	346.29	361.04	679.29	470.14	842.36	723.08	412.0	61.25	1529.73	1832.01	2061.24	2133.97	473.41
UHRF1BP1	156.59	152.28	171.45	143.01	45.53	183.82	41.81	61.25	35.5	19.82	62.56	65.72	60.39	72.01	65.26	60.39	58.71	86.43	47.5	22.59	35.5	46.18	55.1	39.22	51.35	40.07	70.01	59.55	47.17	48.52	80.57	78.89	39.5	58.3	60.82	48.52	58.3	77.25	69.52	34.75	39.5	50.63	55.1	82.87	83.45	30.34	18.43	159.9	180.02	124.37	147.06	36.01
UHRF2	836.53	738.29	1208.34	995.0	241.19	665.29	307.69	353.59	329.84	197.09	244.57	329.84	363.56	591.22	420.68	476.71	208.38	351.14	265.87	190.34	229.72	236.21	384.34	253.23	231.32	312.0	466.88	366.09	264.03	251.48	361.04	571.05	358.54	299.25	387.02	178.77	327.56	713.11	447.82	303.44	269.6	406.31	316.37	480.04	447.82	194.36	82.87	808.0	1159.07	988.12	915.51	128.79
USP45	175.07	194.36	215.77	176.29	93.35	155.5	127.0	143.01	63.0	102.97	108.14	176.29	105.89	187.71	236.21	190.34	120.1	145.02	152.28	123.5	134.3	155.5	120.1	138.1	112.77	145.02	202.66	202.66	87.65	94.67	150.17	239.52	133.36	153.34	80.57	100.13	151.22	198.47	165.57	139.07	191.67	143.01	120.94	164.42	122.64	111.99	24.11	255.0	318.57	255.0	279.14	53.95
USP48	842.36	872.1	1183.45	995.0	343.89	599.49	432.53	497.0	353.59	246.28	348.71	400.71	438.59	607.87	460.44	503.95	363.56	476.71	432.53	223.41	429.54	363.56	406.31	339.14	329.84	497.0	547.75	497.0	334.46	299.25	688.78	567.1	441.64	414.87	529.06	381.68	409.15	1167.14	532.74	450.94	395.18	540.19	371.22	616.37	559.28	361.04	155.5	1073.91	1104.13	1111.82	909.17	271.48
VPS13C	1225.22	860.08	872.1	791.35	327.56	656.11	320.8	361.04	293.07	146.03	236.21	244.57	332.14	426.57	497.0	392.44	173.85	356.05	262.2	128.79	303.44	161.02	305.55	346.29	218.79	262.2	529.06	423.61	215.77	255.0	444.72	656.11	351.14	309.83	329.84	202.66	281.09	579.04	397.93	325.29	293.07	406.31	236.21	397.93	409.15	281.09	77.79	1191.69	1447.15	1286.18	1350.18	297.17
WDR36	318.57	323.03	480.04	368.65	88.26	279.14	87.65	112.77	80.57	70.01	88.26	96.68	90.14	183.82	186.4	130.6	110.43	141.02	98.04	35.25	100.13	98.04	111.21	96.68	114.36	120.94	142.01	155.5	77.79	72.01	190.34	199.85	105.15	122.64	122.64	68.55	92.05	242.88	121.79	122.64	98.04	146.03	90.77	157.68	128.79	73.54	69.52	361.04	289.02	323.03	291.04	70.51
XPO4	199.85	232.94	334.46	267.73	60.82	420.68	62.12	90.14	49.21	36.79	57.89	63.89	73.03	103.69	120.94	109.66	76.17	157.68	63.0	17.13	69.52	67.59	97.36	49.91	77.25	100.13	124.37	109.66	47.5	38.67	109.66	130.6	72.01	74.06	70.51	64.8	75.64	141.02	82.87	63.0	77.79	101.54	75.11	134.3	86.43	50.27	37.32	309.83	336.79	241.19	249.73	46.5
