	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.75.6203.01A.11R.1755.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.P44H.1126.SM.48TBU	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.XUJ4.1426.SM.4BONT	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07	TCGA.AJ.A3BG.01A.11R.A19W.07
BOD1L1	185.11	190.34	198.47	59.97	67.12	48.18	66.18	91.41	52.82	182.55	149.12	131.51	152.28	157.68	75.64	105.15	226.54	231.32	89.51	92.05	204.07	120.1	339.14	164.42	234.57	148.09	127.0	117.6	255.0	147.06	165.57	287.01	96.01	265.87	195.72	59.55	150.17	242.88	241.19	158.79	89.51	242.88	180.02	253.23	164.42	149.12	113.56	139.07	191.67	100.13	128.79	72.52	82.29	120.94	125.24	163.28	109.66	339.14	346.29	128.79	191.67	384.34	525.39	220.32	265.87	1909.85	599.49	256.78	232.94	429.54	429.54	231.32	409.15	612.11	642.59	366.09	371.22	381.68	417.77	470.14	961.07	476.71	379.04	579.04	403.5	607.87	432.53	426.57	185.11	633.73	275.28	366.09	356.05	493.56	353.59	595.34	444.72	460.44	612.11	379.04	575.03	583.07	279.14	82.87	237.86	115.97
BTNL9	23.42	59.55	30.12	29.06	12.83	47.5	50.63	11.04	18.03	80.57	47.5	37.59	35.76	27.84	77.25	26.67	283.05	109.66	78.34	142.01	74.58	92.05	105.15	38.67	69.03	37.32	19.39	63.0	35.25	36.27	148.09	293.07	38.95	123.5	190.34	4.54	140.04	81.14	18.16	381.68	57.49	195.72	49.91	94.01	11.55	147.06	37.32	31.9	39.79	39.22	127.89	21.16	15.0	98.04	36.27	93.35	30.78	688.78	521.76	64.34	63.0	733.19	525.39	514.56	647.07	3372.43	679.29	287.01	70.01	1081.39	142.01	45.85	1350.18	738.29	289.02	928.3	1844.76	1295.13	97.36	2627.46	239.52	1529.73	429.54	1508.65	708.18	1369.04	1225.22	909.17	99.43	212.78	2075.59	312.0	1008.9	603.67	796.86	878.17	432.53	974.5	1143.1	878.17	4123.49	3018.3	518.15	1.28	486.75	89.51
C10orf118	74.06	67.12	42.41	26.86	26.1	7.0	16.15	34.02	21.01	47.17	51.35	46.84	47.5	32.82	14.67	27.84	39.22	34.51	26.67	24.99	53.57	30.56	88.88	27.44	35.5	36.27	25.35	31.22	46.18	45.85	37.32	94.01	14.24	54.72	101.54	15.8	33.54	27.25	34.51	64.34	31.9	48.52	21.63	63.0	51.71	41.22	30.78	65.26	111.21	40.64	50.98	47.17	28.24	30.34	25.91	43.94	32.13	204.07	214.27	94.01	212.78	208.38	249.73	182.55	134.3	551.56	212.78	149.12	218.79	157.68	208.38	105.89	208.38	262.2	154.42	98.04	163.28	123.5	127.0	178.77	323.03	172.65	183.82	236.21	327.56	255.0	189.02	185.11	85.22	540.19	175.07	165.57	127.0	202.66	180.02	265.87	368.65	204.07	329.84	172.65	356.05	387.02	133.36	62.12	185.11	115.97
C14orf132	23.08	87.65	102.25	42.41	28.45	75.64	35.5	97.36	27.44	12.93	55.89	43.94	105.89	14.78	10.88	182.55	5.54	74.06	18.29	19.97	26.86	37.32	92.05	96.68	1.08	43.63	13.52	39.5	16.75	23.08	20.41	9.41	45.53	36.79	4.03	44.57	5.96	2.53	55.89	39.79	1.91	6.84	55.1	61.25	128.79	9.06	22.1	5.32	1.51	45.21	34.02	65.72	13.12	54.72	30.34	48.87	81.71	201.25	267.73	27.84	21.63	420.68	301.33	293.07	363.56	295.11	438.59	206.94	121.79	688.78	348.71	314.17	902.89	264.03	186.4	162.14	209.84	417.77	113.56	684.02	447.82	665.29	1233.75	493.56	162.14	684.02	463.65	279.14	167.9	420.68	656.11	212.78	480.04	974.5	218.79	896.64	239.52	629.35	780.44	748.61	638.15	426.57	571.05	10.39	267.73	4.94
C15orf38	271.48	202.66	339.14	226.54	181.28	183.82	283.05	258.57	318.57	169.07	91.41	119.26	97.36	96.68	82.29	92.05	117.6	53.95	155.5	87.65	149.12	145.02	136.19	214.27	206.94	142.01	109.66	71.5	105.89	205.5	55.89	98.04	226.54	135.24	90.77	115.97	96.68	110.43	105.15	125.24	70.01	94.01	141.02	190.34	186.4	68.55	105.89	94.01	78.89	80.01	299.25	105.15	29.7	126.12	129.69	105.15	169.07	341.51	309.83	82.87	115.16	363.56	511.0	297.17	242.88	265.87	511.0	507.46	400.71	587.13	334.46	351.14	764.36	381.68	305.55	334.46	483.38	325.29	500.46	563.18	555.41	802.41	665.29	728.11	454.09	723.08	624.99	262.2	412.0	830.75	616.37	525.39	291.04	579.04	444.72	854.13	381.68	656.11	353.59	483.38	363.56	208.38	438.59	237.86	295.11	221.86
C2orf91	11.3	4.78	10.39	0.0	1.81	1.85	0.38	8.38	1.01	0.0	0.48	0.0	0.0	0.0	1.68	0.0	0.44	0.0	0.0	2.86	1.85	0.0	0.0	0.0	0.0	0.0	3.41	0.0	1.53	1.77	0.0	0.0	0.0	0.44	0.0	0.0	0.0	1.39	0.36	0.0	0.0	0.0	0.0	6.31	8.71	1.45	1.68	0.0	0.0	0.0	0.34	0.0	0.0	2.63	0.0	4.86	0.0	38.95	9.7	0.0	0.0	28.04	23.76	7.75	13.32	46.18	23.42	17.38	22.43	8.06	1.81	37.32	8.58	1.79	17.38	4.35	10.63	11.3	1.71	12.45	23.93	7.0	4.66	6.21	41.22	26.28	4.13	13.72	1.79	115.16	7.63	18.03	17.9	2.97	8.06	6.16	19.53	17.13	14.35	31.67	32.36	16.51	21.01	0.0	16.39	5.68
CASP12	1.85	3.11	12.55	3.5	4.1	3.69	1.5	5.73	3.06	1.35	3.63	4.98	1.77	3.89	4.86	7.69	1.46	1.11	8.92	4.24	0.92	4.94	3.35	1.27	7.57	0.0	6.89	2.23	1.38	2.48	2.05	13.42	3.66	1.93	3.35	2.07	10.47	10.0	0.8	12.64	1.48	7.69	3.06	7.63	4.03	0.48	11.64	2.53	2.89	1.46	0.61	0.0	3.63	1.0	1.23	1.07	1.53	28.24	51.71	0.0	1.17	22.1	24.11	30.12	23.08	56.68	80.01	9.13	25.17	18.03	55.89	13.62	47.84	35.25	21.01	10.55	26.28	38.4	22.1	57.89	41.22	86.43	20.56	79.45	53.95	53.95	67.59	31.45	5.96	69.03	23.59	23.93	81.14	9.93	31.9	49.21	10.88	16.27	45.53	15.11	41.22	27.25	62.12	5.96	20.11	2.27
CASS4	32.82	16.88	40.36	21.01	9.41	24.99	48.18	20.71	21.32	32.82	21.63	8.45	18.29	10.71	12.27	3.0	19.53	6.52	5.11	4.98	26.67	1.99	49.21	1.13	21.78	8.51	2.48	8.51	2.32	5.45	7.34	17.51	7.75	13.62	16.39	2.66	20.56	43.94	24.81	16.15	8.38	7.34	15.45	58.71	11.38	14.89	11.55	9.56	11.55	17.51	52.45	10.0	19.39	21.47	18.16	77.79	20.26	139.07	177.53	38.4	5.92	113.56	244.57	146.03	85.82	143.01	429.54	651.58	7.34	361.04	38.95	133.36	379.04	21.16	111.21	217.27	262.2	221.86	84.63	412.0	253.23	825.0	532.74	409.15	101.54	361.04	246.28	283.05	58.3	144.01	253.23	223.41	202.66	444.72	511.0	426.57	332.14	334.46	224.97	293.07	318.57	169.07	269.6	17.25	211.31	2.25
CAV3	0.0	2.41	0.0	0.0	0.45	0.0	0.0	0.67	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.75	0.0	1.97	0.0	0.0	0.0	0.88	0.74	0.0	0.92	1.28	0.0	0.79	2.94	0.0	5.87	29.06	0.0	0.0	7.11	4.58	9.93	3.29	4.74	26.86	13.03	0.0	28.45	2.56	4.21	9.7	3.72	3.72	9.27	42.11	7.82	0.0	18.84	10.16	18.97	6.94	41.22	9.27	46.5	16.39	25.72	6.78	6.36	17.0	13.72	33.3	12.83	14.45	9.48	13.03	3.47	19.11	15.22	27.25	8.38	26.86	0.0	6.57	0.0
CC2D2B	2.97	7.57	4.24	1.19	1.39	0.0	0.77	1.71	0.36	1.35	9.85	3.44	0.93	2.18	0.58	0.85	3.72	1.11	0.56	1.33	2.16	4.39	3.29	0.49	1.25	1.43	1.28	1.38	0.0	0.51	1.07	1.87	2.71	9.93	0.91	0.43	2.12	0.49	0.46	11.64	1.14	3.99	1.39	6.57	0.54	2.89	3.35	1.87	0.39	2.61	4.74	0.41	1.0	0.0	1.28	3.11	0.0	14.35	4.1	2.1	2.58	9.2	8.06	7.94	9.06	20.41	17.64	5.92	1.58	8.92	6.62	6.01	7.22	2.41	9.63	7.34	10.0	6.16	2.73	8.58	10.79	6.01	5.06	10.47	2.51	18.29	7.82	5.92	8.92	11.38	12.74	5.23	5.5	4.21	3.59	7.46	2.48	4.31	8.19	18.7	8.71	5.63	23.08	0.57	10.39	0.38
CCDC69	332.14	293.07	688.78	173.85	262.2	426.57	318.57	299.25	305.55	260.38	285.03	698.41	409.15	373.81	84.63	780.44	228.13	441.64	212.78	339.14	532.74	232.94	620.67	688.78	166.73	305.55	301.33	493.56	348.71	162.14	323.03	305.55	346.29	579.04	81.14	158.79	183.82	76.17	102.25	397.93	88.88	246.28	132.44	358.54	232.94	191.67	397.93	171.45	251.48	215.77	177.53	351.14	395.18	305.55	684.02	320.8	802.41	638.15	684.02	173.85	87.65	848.22	1250.98	1331.57	1127.35	3443.31	3349.13	1151.06	536.45	2004.85	1030.12	162.14	1286.18	4671.57	1191.69	1467.37	902.89	1388.16	854.13	3419.52	808.0	1001.93	2720.15	2591.27	961.07	1909.85	748.61	2178.83	1059.11	796.86	3820.7	1963.57	988.12	2004.85	2004.85	830.75	1183.45	3690.52	1044.52	1457.23	1733.13	1857.6	460.44	113.56	1151.06	38.95
