	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
C14orf132	81.14	52.08	34.26	79.45	11.55	112.77	98.04	11.04	32.36	66.65	75.64	44.25	56.68	89.51	94.67	76.17	78.34	23.25	57.89	75.11	86.43	28.24	102.25	51.71	43.94	19.82	54.33	92.05	153.34	44.89	36.01	92.7	59.55	98.04	109.66	39.79	76.71	126.12	111.99	19.82	20.26	55.49	38.95	52.45	58.3	54.72	111.21	92.7	24.11	8.51	93.35	47.5	141.02	41.52	38.4	21.78	155.5	128.79	19.82	93.35	26.1	37.59	25.72	55.1	92.7	85.82	102.25	24.81	164.42	38.67	223.41	59.13	34.26	83.45	125.24	32.82	151.22	44.57	53.95	62.56	142.01	99.43	229.72	115.97	176.29	150.17	217.27	129.69	223.41	166.73	122.64	121.79	108.9	186.4	126.12	143.01	172.65	105.89	164.42	171.45
C14orf159	346.29	457.25	420.68	379.04	429.54	743.43	825.0	149.12	447.82	638.15	738.29	348.71	1008.9	559.28	279.14	285.03	173.85	532.74	713.11	813.63	620.67	612.11	339.14	397.93	153.34	514.56	351.14	532.74	450.94	366.09	142.01	525.39	142.01	616.37	775.05	221.86	155.5	674.59	603.67	684.02	140.04	361.04	173.85	624.99	785.88	547.75	693.58	497.0	89.51	91.41	493.56	147.06	420.68	316.37	256.78	82.29	571.05	551.56	153.34	802.41	224.97	769.69	616.37	341.51	693.58	543.96	656.11	178.77	500.46	137.14	872.1	89.51	119.26	511.0	769.69	197.09	633.73	587.13	500.46	547.75	866.07	651.58	854.13	866.07	988.12	860.08	902.89	896.64	915.51	860.08	921.88	638.15	738.29	660.68	902.89	961.07	665.29	896.64	902.89	947.83
C15orf59	120.94	57.08	74.58	150.17	47.84	314.17	255.0	47.84	13.83	264.03	191.67	198.47	135.24	148.09	117.6	217.27	105.15	32.13	180.02	336.79	318.57	98.04	22.59	102.97	101.54	48.87	81.14	130.6	129.69	120.94	39.79	105.89	24.28	132.44	312.0	88.88	148.09	332.14	420.68	21.94	24.28	166.73	170.25	166.73	115.16	202.66	62.12	66.65	120.1	65.26	194.36	77.25	31.9	96.01	58.3	56.28	204.07	255.0	81.14	130.6	125.24	63.45	17.77	88.26	249.73	110.43	273.37	82.87	158.79	91.41	351.14	318.57	84.63	123.5	384.34	56.68	81.71	27.05	105.89	67.59	242.88	150.17	305.55	483.38	297.17	460.44	414.87	483.38	450.94	435.55	463.65	332.14	412.0	376.41	264.03	486.75	351.14	224.97	480.04	334.46
C16orf62	583.07	500.46	493.56	470.14	356.05	629.35	603.67	348.71	406.31	559.28	567.1	312.0	336.79	579.04	567.1	620.67	473.41	387.02	571.05	620.67	543.96	316.37	426.57	493.56	429.54	540.19	371.22	595.34	518.15	389.72	441.64	483.38	120.94	511.0	587.13	447.82	511.0	507.46	571.05	400.71	483.38	642.59	612.11	500.46	543.96	438.59	612.11	514.56	329.84	265.87	571.05	463.65	387.02	403.5	366.09	441.64	603.67	620.67	397.93	500.46	490.14	507.46	285.03	583.07	624.99	476.71	555.41	490.14	466.88	351.14	591.22	497.0	543.96	500.46	587.13	432.53	579.04	500.46	466.88	483.38	651.58	651.58	733.19	708.18	656.11	616.37	656.11	616.37	583.07	708.18	660.68	624.99	629.35	612.11	624.99	679.29	693.58	620.67	629.35	759.08
CACHD1	165.57	32.59	16.88	80.01	30.56	102.97	148.09	17.9	6.73	55.49	71.5	59.97	86.43	98.04	67.12	88.26	63.45	32.82	92.05	115.16	83.45	21.47	38.12	33.54	41.81	37.85	48.87	108.14	53.57	45.85	38.95	77.25	2.81	31.45	64.8	55.49	35.0	122.64	66.65	5.19	36.79	59.55	91.41	72.01	84.04	45.53	57.08	81.14	17.9	13.42	67.59	31.45	21.32	43.94	31.45	9.93	85.22	198.47	36.27	47.17	18.7	29.7	15.34	17.0	88.26	65.72	91.41	17.9	95.34	20.41	186.4	9.63	40.93	48.52	170.25	26.28	68.55	19.25	43.02	31.67	120.1	77.79	260.38	166.73	269.6	121.79	171.45	118.43	115.97	237.86	96.68	136.19	108.14	115.16	159.9	228.13	157.68	92.7	145.02	220.32
CASC10	7.34	1.64	5.59	3.86	1.0	12.36	7.34	2.46	0.99	3.76	6.16	5.92	6.41	10.16	6.62	5.63	5.82	1.75	9.7	8.38	6.26	1.36	3.92	2.78	6.06	3.82	5.68	3.66	4.58	3.47	3.76	6.73	2.53	5.82	4.9	8.85	7.22	30.56	11.82	1.36	3.92	11.73	7.4	4.28	3.2	3.82	6.26	6.67	3.41	1.16	5.5	3.17	2.07	6.06	1.04	2.73	5.5	17.77	4.1	4.17	2.43	3.08	2.73	3.0	9.7	4.66	11.04	5.82	6.01	3.32	14.56	0.93	24.99	5.41	11.3	6.21	4.13	0.64	2.86	2.97	12.45	8.06	29.91	9.2	9.34	8.25	19.25	10.47	20.11	15.91	9.85	8.92	10.88	8.38	11.38	16.03	9.93	8.92	11.64	16.63
CAV2	400.71	248.0	99.43	295.11	122.64	500.46	493.56	78.89	44.57	379.04	339.14	323.03	384.34	521.76	206.94	289.02	435.55	59.55	603.67	718.08	381.68	79.45	106.63	177.53	215.77	127.89	246.28	353.59	163.28	159.9	224.97	518.15	32.59	156.59	336.79	211.31	135.24	733.19	579.04	41.52	70.01	353.59	397.93	403.5	368.65	125.24	346.29	371.22	84.63	45.53	395.18	111.21	63.0	248.0	77.79	90.77	603.67	583.07	121.79	198.47	124.37	152.28	57.49	59.55	642.59	301.33	406.31	147.06	309.83	121.79	866.07	37.32	305.55	323.03	674.59	132.44	279.14	46.84	144.01	122.64	748.61	273.37	1639.59	647.07	1191.69	819.3	1088.92	743.43	1233.75	1037.29	884.29	518.15	866.07	612.11	607.87	1437.15	688.78	583.07	995.0	878.17
CCDC69	381.68	163.28	95.34	389.72	78.34	368.65	426.57	55.89	106.63	244.57	450.94	260.38	312.0	441.64	232.94	329.84	211.31	83.45	525.39	679.29	400.71	100.83	194.36	223.41	165.57	144.01	149.12	323.03	237.86	172.65	246.28	432.53	31.67	289.02	253.23	234.57	239.52	603.67	651.58	32.36	77.79	307.69	204.07	339.14	279.14	126.12	185.11	264.03	84.04	30.56	423.61	127.0	105.15	204.07	89.51	46.5	591.22	480.04	106.63	231.32	110.43	253.23	46.5	106.63	603.67	248.0	500.46	73.03	214.27	102.25	665.29	54.72	133.36	260.38	638.15	111.21	265.87	72.52	164.42	153.34	633.73	309.83	995.0	521.76	543.96	775.05	1225.22	406.31	884.29	769.69	679.29	591.22	967.76	607.87	551.56	1023.0	624.99	423.61	1015.93	967.76
CCDC8	107.38	24.99	29.06	58.71	19.39	201.25	189.02	11.47	3.76	102.97	166.73	87.65	91.41	87.03	102.97	99.43	23.42	43.02	88.26	223.41	120.1	23.08	17.38	60.39	33.06	34.51	55.1	114.36	38.95	54.72	18.43	88.26	4.31	55.89	149.12	35.0	39.5	301.33	165.57	3.56	26.86	52.08	67.59	79.45	71.0	28.45	59.13	85.22	19.39	10.16	116.78	56.28	36.01	57.08	15.56	11.04	134.3	223.41	32.59	76.71	38.4	17.51	18.29	17.0	143.01	74.58	95.34	42.11	93.35	19.97	242.88	15.34	85.82	82.87	318.57	38.12	90.14	17.51	57.49	47.84	176.29	205.5	339.14	351.14	205.5	189.02	253.23	275.28	269.6	224.97	332.14	155.5	183.82	191.67	211.31	320.8	226.54	127.0	209.84	320.8
CLDN11	142.01	49.21	32.13	131.51	52.82	187.71	229.72	23.59	21.63	248.0	134.3	100.13	111.99	135.24	88.26	189.02	34.26	62.56	190.34	228.13	198.47	51.71	33.78	99.43	37.59	52.82	84.04	138.1	64.8	62.12	114.36	181.28	3.23	140.04	149.12	63.89	86.43	260.38	223.41	17.51	66.65	105.15	64.8	141.02	139.07	60.39	115.16	165.57	38.95	8.51	146.03	87.65	50.63	95.34	39.22	30.12	323.03	314.17	55.1	122.64	44.89	36.53	29.48	30.56	167.9	130.6	157.68	52.82	143.01	17.0	444.72	27.84	34.51	55.1	417.77	94.01	120.94	29.27	103.69	104.42	237.86	119.26	387.02	497.0	244.57	403.5	503.95	267.73	339.14	395.18	412.0	297.17	309.83	224.97	205.5	366.09	139.07	221.86	246.28	307.69
CNN2	1709.26	1313.23	1081.39	1340.84	1015.93	2090.03	1991.0	457.25	1008.9	1697.45	2032.85	2520.38	1457.23	2148.82	1183.45	1199.98	591.22	693.58	1870.53	2163.77	1583.71	339.14	412.0	1427.22	1950.0	915.51	1397.83	1233.75	819.3	1159.07	902.89	1151.06	753.83	1437.15	2061.24	1870.53	775.05	2335.28	1781.89	339.14	1096.5	872.1	902.89	1350.18	2004.85	688.78	1088.92	1119.56	1331.57	1350.18	1111.82	1417.35	1199.98	1685.71	660.68	417.77	1242.34	1950.0	860.08	1051.79	1628.26	420.68	420.68	529.06	1977.24	1191.69	1896.65	521.76	1250.98	1001.93	3235.01	743.43	848.22	1073.91	2240.11	1467.37	1427.22	713.11	921.88	723.08	1745.2	2032.85	3124.78	2502.97	2148.82	1991.0	2287.2	2335.28	1721.16	2255.7	2796.65	1794.29	2555.58	2018.8	2255.7	2287.2	1605.83	1628.26	1977.24	2777.33
COL4A6	277.2	102.25	27.44	91.41	34.75	246.28	269.6	13.03	13.03	121.79	180.02	115.16	205.5	236.21	119.26	108.14	42.41	41.52	143.01	339.14	170.25	27.25	23.76	53.95	87.03	35.0	76.71	143.01	62.12	85.82	39.79	108.14	8.32	46.84	228.13	91.41	35.5	366.09	181.28	6.16	13.22	89.51	40.07	127.89	136.19	38.12	54.72	131.51	18.03	15.34	171.45	52.45	42.11	73.54	19.39	6.67	206.94	217.27	31.22	92.05	40.64	62.56	17.51	13.12	239.52	79.45	149.12	48.52	93.35	40.64	348.71	15.11	22.75	128.79	327.56	39.79	69.03	10.88	65.72	59.55	253.23	182.55	348.71	371.22	426.57	301.33	381.68	595.34	476.71	301.33	316.37	204.07	264.03	228.13	303.44	583.07	483.38	189.02	500.46	486.75
