	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.BH.A18M.11A.33R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.ZLV1.1426.SM.4WWES	GTEX.11P81.1926.SM.5BC53	GTEX.Y3IK.2326.SM.4WWDT	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.58.8388.01A.11R.2326.07
C8orf86	2.14	4.06	0.68	1.08	2.51	2.05	4.46	1.79	1.04	0.38	1.04	10.16	1.11	1.17	7.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.62
C9orf170	1.5	0.73	1.75	2.23	1.87	1.45	3.59	1.87	2.16	1.57	1.81	2.46	2.18	4.5	4.62	0.62	1.19	2.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.58	0.6	0.64	0.43	0.85	0.0	0.39	0.82	0.0	0.0	0.43	0.46	0.84	7.51
CASP2	363.56	376.41	363.56	426.57	563.18	503.95	493.56	473.41	371.22	305.55	426.57	595.34	429.54	525.39	536.45	63.89	260.38	412.0	76.71	110.43	100.13	180.02	136.19	80.57	75.11	92.05	46.84	94.67	81.71	48.87	99.43	71.0	199.85	105.15	52.08	40.93	49.56	92.05	17.25	46.5	10.47	78.34	825.0
CCDC8	603.67	616.37	170.25	603.67	769.69	1135.2	884.29	947.83	775.05	248.0	738.29	1286.18	848.22	909.17	1151.06	11.13	167.9	45.85	3.92	5.68	7.88	75.11	5.63	4.54	16.75	18.7	6.73	14.67	24.28	7.88	11.3	9.27	186.4	17.0	5.32	9.78	26.86	12.64	8.13	8.45	1.03	9.34	1467.37
CEP170	429.54	406.31	353.59	457.25	483.38	409.15	507.46	486.75	447.82	463.65	551.56	583.07	275.28	620.67	412.0	98.73	297.17	679.29	93.35	141.02	150.17	309.83	194.36	177.53	148.09	186.4	68.07	151.22	161.02	93.35	218.79	148.09	279.14	154.42	220.32	65.72	95.34	79.45	77.79	100.13	44.89	134.3	1001.93
COL16A1	1127.35	1417.35	629.35	1096.5	1487.87	1832.01	1832.01	1709.26	1359.57	1111.82	2004.85	1286.18	1583.71	1167.14	1572.76	55.1	759.08	379.04	36.79	31.67	74.58	684.02	32.82	29.27	38.4	54.72	31.45	45.85	117.6	42.71	59.55	56.28	395.18	37.32	13.93	37.05	63.45	105.15	25.17	20.56	7.17	21.78	5995.9
CRB2	21.16	17.0	8.13	8.32	17.77	15.0	18.29	32.13	23.76	7.22	11.47	12.93	30.34	40.64	64.34	0.0	2.51	1.89	0.0	0.0	0.0	3.41	0.89	0.0	0.58	0.6	0.0	0.0	3.63	0.57	0.6	0.64	2.27	0.0	0.0	1.97	0.0	0.0	0.39	0.0	0.46	0.35	70.51
DAPK2	603.67	457.25	251.48	397.93	371.22	368.65	269.6	346.29	384.34	500.46	403.5	212.78	376.41	511.0	368.65	40.36	277.2	87.65	57.89	148.09	66.65	185.11	164.42	47.84	24.99	58.3	22.59	63.45	40.36	48.87	49.91	47.84	127.0	28.65	58.3	18.84	70.51	35.0	16.27	21.16	25.17	49.21	567.1
DHX57	241.19	232.94	239.52	412.0	305.55	295.11	332.14	287.01	291.04	232.94	299.25	384.34	353.59	351.14	414.87	72.52	209.84	269.6	135.24	232.94	150.17	178.77	189.02	130.6	107.38	112.77	51.71	69.52	118.43	96.01	81.71	110.43	127.89	99.43	87.03	93.35	65.72	84.63	105.89	64.34	42.41	62.12	480.04
DPYSL4	63.0	56.28	11.73	15.22	136.19	53.95	40.36	37.59	58.71	25.17	50.98	117.6	198.47	12.93	271.48	0.83	25.91	318.57	1.2	5.41	38.4	5.87	7.17	3.69	4.39	3.29	1.25	2.48	8.45	0.77	2.66	4.1	5.02	1.68	0.0	0.16	17.38	55.49	0.58	0.61	0.0	5.5	299.25
DZANK1	71.5	111.99	58.3	100.13	351.14	131.51	117.6	92.7	159.9	54.33	100.13	164.42	88.26	134.3	214.27	9.93	37.32	115.97	18.29	18.03	9.34	37.05	20.41	13.72	15.91	18.97	11.3	10.88	19.11	9.2	10.31	10.16	15.34	30.56	4.7	12.18	15.91	7.51	11.91	14.24	2.2	4.24	1081.39
DZIP1L	102.97	138.1	66.65	99.43	81.14	155.5	171.45	173.85	157.68	118.43	115.97	71.5	133.36	182.55	191.67	19.39	30.12	129.69	3.23	3.14	16.27	50.27	11.91	8.58	10.08	12.18	2.84	8.51	17.25	4.35	12.18	6.89	60.82	3.0	1.66	1.93	9.7	5.15	7.06	1.85	5.59	41.81	193.01
EFEMP2	1651.0	2287.2	1870.53	1745.2	1594.73	1561.89	1529.73	1745.2	1709.26	2004.85	2032.85	2367.9	1259.69	1191.69	1721.16	206.94	1350.18	4358.66	244.57	165.57	332.14	1242.34	217.27	248.0	277.2	414.87	166.73	211.31	346.29	236.21	325.29	271.48	1175.27	170.25	96.01	165.57	384.34	201.25	248.0	72.01	143.01	231.32	2855.44
ENPP6	8.71	14.14	13.52	38.4	52.82	50.27	27.64	38.4	11.82	12.09	15.0	21.32	24.99	96.01	72.52	4.39	28.04	2.23	0.0	0.0	48.87	4.62	0.96	1.14	0.61	2.23	1.48	1.08	0.61	0.59	3.76	0.66	5.54	12.83	0.88	2.53	0.12	12.45	0.17	0.0	0.24	4.94	123.5
EP400	198.47	217.27	180.02	211.31	312.0	379.04	329.84	301.33	248.0	170.25	258.57	353.59	273.37	303.44	275.28	63.0	167.9	162.14	67.12	78.89	98.04	108.14	127.0	85.82	71.5	108.14	47.5	62.56	104.42	43.32	91.41	57.08	102.25	68.07	68.07	59.97	66.18	63.45	28.24	59.97	12.55	68.07	387.02
EPHA7	20.41	10.24	6.73	13.12	28.45	10.88	19.53	35.76	15.68	14.45	3.17	7.17	38.12	18.29	52.45	2.41	87.03	309.83	0.99	0.0	0.0	0.51	0.0	0.0	0.0	0.68	0.0	0.65	2.78	0.66	0.0	0.72	1.48	0.0	1.36	0.46	0.0	0.01	0.0	0.0	0.0	0.52	204.07
EPHB3	327.56	423.61	417.77	426.57	2271.4	825.0	854.13	769.69	872.1	244.57	318.57	743.43	633.73	866.07	819.3	4.35	269.6	63.89	3.38	4.66	14.35	52.82	13.42	7.75	10.0	43.63	4.78	10.16	26.47	7.51	6.67	30.34	267.73	14.78	0.0	3.92	15.56	5.82	1.71	3.82	3.89	8.51	2835.7
FAM196B	50.98	97.36	15.8	107.38	309.83	189.02	329.84	105.89	71.0	16.15	79.45	224.97	116.78	264.03	262.2	0.0	15.8	17.51	0.54	0.0	0.0	1.83	6.36	0.0	3.14	2.58	0.0	0.62	1.27	0.64	0.0	0.0	2.73	1.0	0.0	0.0	0.0	0.0	0.32	1.07	0.0	0.99	28.65
FBXL2	172.65	220.32	248.0	212.78	281.09	214.27	285.03	189.02	253.23	176.29	232.94	426.57	182.55	269.6	358.54	7.69	106.63	103.69	7.28	6.57	13.12	37.85	10.31	8.99	6.11	11.13	4.35	5.28	13.72	5.36	6.26	6.57	58.3	14.56	3.17	4.35	10.31	6.67	3.76	0.66	0.56	5.54	289.02
FMOD	2104.58	5112.16	3060.45	4704.07	2417.67	3018.3	3540.14	3039.3	2591.27	4736.79	4210.15	5006.93	1519.15	3103.19	860.08	108.9	1519.15	872.1	54.72	53.95	111.99	764.36	29.91	85.82	141.02	187.71	43.32	96.01	166.73	135.24	94.67	191.67	902.89	73.03	21.16	49.21	91.41	115.16	138.1	42.11	85.82	101.54	4903.87
FSBP	33.78	31.22	15.45	63.45	57.08	80.01	78.89	40.36	59.55	31.45	44.57	81.71	37.05	103.69	53.19	9.78	20.11	84.04	8.92	8.13	9.41	8.45	26.1	12.74	10.47	29.91	9.27	4.78	8.65	10.79	3.26	9.41	18.84	8.51	13.83	5.63	0.93	8.38	10.39	21.16	20.71	9.13	73.54
FZD7	896.64	848.22	620.67	921.88	2018.8	1447.15	1551.09	1304.15	1199.98	435.55	941.27	1883.54	1242.34	1447.15	1857.6	26.1	928.3	117.6	9.56	8.0	12.64	75.11	2.51	11.04	8.0	32.13	7.57	16.27	30.56	11.3	14.89	14.67	107.38	4.74	3.06	6.31	17.77	54.33	10.88	4.66	1.46	6.01	1529.73
GAREML	55.1	76.17	69.52	48.52	47.5	58.3	31.45	65.72	40.64	74.58	70.51	81.14	55.89	66.65	86.43	3.82	23.08	50.98	3.23	5.87	6.01	20.26	20.26	4.28	4.17	4.86	1.71	2.92	4.17	9.85	5.96	3.92	15.22	0.97	0.14	0.89	5.63	5.32	13.12	0.0	0.0	2.41	420.68
GJC1	97.36	108.9	86.43	79.45	115.16	112.77	68.55	110.43	64.8	131.51	157.68	108.14	103.69	171.45	94.67	7.11	20.41	412.0	12.93	22.92	51.35	15.91	35.5	31.45	10.63	20.86	0.75	9.63	13.93	6.57	7.46	7.28	36.79	6.84	1.68	1.91	5.92	10.88	4.03	12.45	2.03	6.73	503.95
GLI2	24.63	58.71	24.81	46.84	58.3	65.72	66.65	41.81	35.5	35.5	52.08	142.01	48.18	53.95	63.0	1.53	15.8	59.13	1.68	2.1	4.21	32.82	1.14	1.36	5.02	9.27	1.31	11.3	10.16	1.43	3.35	2.89	21.47	1.68	2.14	4.54	2.76	2.76	3.59	1.43	0.0	3.79	218.79
INPP4A	180.02	198.47	187.71	232.94	217.27	285.03	246.28	237.86	204.07	189.02	248.0	221.86	197.09	236.21	234.57	70.51	161.02	133.36	38.4	56.68	75.64	115.97	100.13	78.34	65.26	72.52	20.86	43.02	84.63	39.5	85.22	47.84	133.36	84.04	43.63	46.84	70.01	59.97	45.21	31.67	22.75	70.01	323.03
KCTD15	231.32	269.6	426.57	197.09	334.46	435.55	343.89	341.51	283.05	212.78	368.65	327.56	624.99	246.28	403.5	138.1	138.1	514.56	173.85	48.52	164.42	134.3	81.14	77.25	26.1	113.56	54.33	180.02	79.45	128.79	73.54	68.07	206.94	85.82	13.22	208.38	239.52	49.56	40.64	77.79	3.56	105.89	1594.73
KIAA0753	204.07	177.53	156.59	220.32	271.48	309.83	346.29	226.54	262.2	147.06	253.23	432.53	204.07	293.07	267.73	41.52	153.34	149.12	45.21	48.18	61.68	102.25	45.21	53.95	45.53	71.0	36.27	34.75	52.45	36.53	52.08	41.81	80.01	53.57	46.18	18.56	50.98	24.11	36.53	31.67	11.47	60.82	277.2
KIAA1407	136.19	140.04	122.64	157.68	151.22	178.77	218.79	169.07	159.9	73.54	118.43	325.29	95.34	212.78	267.73	21.47	65.26	161.02	43.63	25.17	34.02	58.3	49.56	32.36	17.64	22.26	13.22	14.89	31.0	14.56	24.99	17.51	38.12	20.11	9.7	12.18	12.83	19.68	19.97	16.88	3.26	14.78	314.17
KIF7	82.29	110.43	55.1	94.67	139.07	105.15	95.34	131.51	111.21	81.14	120.94	82.29	92.7	53.57	97.36	14.03	50.63	72.52	17.25	34.02	11.64	47.17	13.32	14.89	9.78	11.82	7.11	8.78	10.39	10.71	6.94	4.62	26.47	5.63	2.29	9.34	17.25	11.64	15.11	2.92	2.18	5.96	339.14
KLHL24	493.56	529.06	275.28	409.15	595.34	665.29	674.59	575.03	435.55	543.96	559.28	583.07	412.0	703.28	460.44	248.0	507.46	283.05	206.94	158.79	193.01	248.0	258.57	279.14	376.41	273.37	158.79	223.41	312.0	175.07	237.86	265.87	217.27	267.73	138.1	166.73	127.0	209.84	323.03	358.54	373.81	271.48	1191.69
KRT79	7.4	39.5	48.18	26.86	12.74	6.01	2.84	19.68	10.79	30.34	34.75	1.38	28.04	52.45	13.93	0.0	0.68	1.13	1.01	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.69	0.64	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	56.28
LDB1	854.13	1008.9	808.0	1037.29	1322.37	1529.73	1662.49	1167.14	1487.87	698.41	1304.15	1639.59	884.29	1066.48	1340.84	226.54	1081.39	693.58	190.34	265.87	275.28	529.06	373.81	316.37	248.0	384.34	162.14	201.25	312.0	195.72	269.6	170.25	633.73	223.41	158.79	229.72	289.02	297.17	93.35	191.67	137.14	218.79	1896.65
LLGL1	273.37	303.44	264.03	256.78	368.65	438.59	397.93	318.57	334.46	190.34	320.8	521.76	379.04	329.84	435.55	37.32	320.8	124.37	50.98	57.08	59.97	150.17	63.0	67.12	36.53	62.12	28.45	36.53	67.59	37.32	32.13	23.93	116.78	53.19	40.07	29.06	60.82	40.64	12.93	28.24	9.41	49.56	529.06
LZTS1	100.13	150.17	61.68	183.82	221.86	279.14	379.04	241.19	185.11	44.89	161.02	381.68	161.02	143.01	221.86	8.99	41.52	273.37	9.27	21.16	30.78	43.63	31.9	24.11	8.51	15.68	3.23	13.12	17.77	5.15	16.63	3.92	61.68	22.59	25.91	4.1	13.22	13.22	3.41	7.46	0.56	11.55	423.61
MAPKBP1	199.85	271.48	194.36	236.21	389.72	403.5	426.57	307.69	447.82	151.22	291.04	297.17	287.01	265.87	447.82	34.26	124.37	165.57	49.91	53.19	45.85	96.01	122.64	53.19	22.75	60.82	25.54	34.51	55.49	27.25	36.79	29.48	84.63	59.97	42.41	62.12	33.54	47.84	18.29	70.51	8.25	66.18	486.75
METTL21B	221.86	223.41	251.48	314.17	397.93	226.54	248.0	248.0	285.03	177.53	195.72	412.0	242.88	403.5	329.84	67.59	281.09	420.68	69.52	61.25	68.55	108.9	100.13	71.5	62.56	92.7	39.5	60.39	100.13	72.01	82.87	64.34	53.95	67.12	71.5	41.22	120.94	72.52	31.67	87.03	42.11	91.41	293.07
MFI2	231.32	283.05	148.09	199.85	543.96	251.48	242.88	476.71	896.64	152.28	149.12	476.71	457.25	346.29	476.71	23.93	1286.18	182.55	18.97	29.7	10.08	201.25	10.24	14.67	20.41	27.05	10.79	20.11	27.44	10.63	18.16	22.1	253.23	9.41	3.72	5.45	22.26	44.57	27.25	5.41	6.31	23.93	4607.24
MICAL1	241.19	262.2	273.37	226.54	289.02	327.56	318.57	435.55	371.22	253.23	246.28	239.52	363.56	228.13	264.03	75.11	412.0	674.59	204.07	129.69	123.5	414.87	169.07	77.79	38.95	67.59	29.06	40.07	123.5	53.19	75.11	52.82	212.78	65.72	34.75	89.51	202.66	94.67	59.55	23.08	37.85	82.87	2682.69
MLLT6	1104.13	1073.91	1030.12	1023.0	1233.75	1936.53	1733.13	1467.37	1519.15	988.12	1331.57	1487.87	1322.37	1487.87	1467.37	199.85	1066.48	981.29	239.52	387.02	314.17	503.95	423.61	395.18	102.97	444.72	142.01	127.89	336.79	118.43	185.11	198.47	624.99	258.57	80.01	218.79	242.88	223.41	102.25	165.57	55.1	325.29	2193.99
NEO1	587.13	647.07	540.19	698.41	1331.57	1331.57	1135.2	733.19	988.12	381.68	813.63	2032.85	1242.34	616.37	1397.83	120.94	902.89	231.32	85.82	118.43	103.69	490.14	164.42	141.02	198.47	221.86	89.51	147.06	205.5	99.43	193.01	133.36	514.56	146.03	251.48	58.3	170.25	490.14	63.0	191.67	100.13	106.63	2119.22
NHSL2	39.79	59.13	31.22	63.45	61.68	98.04	66.65	98.04	65.72	87.65	80.01	58.71	78.89	76.17	80.57	3.89	25.91	23.93	1.64	5.96	7.82	6.78	7.17	5.63	6.46	6.62	0.72	6.16	7.51	2.48	5.5	2.14	26.28	3.72	4.43	2.46	1.95	2.81	1.23	6.84	2.03	10.39	45.21
NRF1	291.04	246.28	236.21	307.69	299.25	384.34	387.02	273.37	303.44	194.36	301.33	389.72	309.83	325.29	297.17	86.43	242.88	199.85	68.55	87.03	87.65	141.02	120.1	99.43	74.58	111.21	57.49	70.01	105.15	52.82	81.14	69.03	111.21	75.11	77.79	58.3	105.15	84.04	69.03	58.3	36.27	85.82	314.17
NTF4	198.47	155.5	53.19	121.79	195.72	339.14	299.25	223.41	314.17	32.13	249.73	176.29	209.84	151.22	264.03	1.23	92.05	4.82	0.0	0.0	1.66	1.27	0.0	0.0	0.0	0.0	0.0	0.0	2.27	0.0	0.0	0.67	0.88	0.0	0.0	0.0	0.0	3.89	0.0	0.0	0.0	0.0	540.19
PALB2	198.47	151.22	187.71	167.9	237.86	178.77	256.78	220.32	185.11	178.77	185.11	285.03	237.86	260.38	182.55	47.5	178.77	206.94	157.68	176.29	100.13	164.42	187.71	129.69	80.01	103.69	64.34	100.83	105.15	106.63	145.02	111.99	69.52	124.37	74.58	136.19	142.01	113.56	103.69	68.07	59.55	132.44	466.88
PCDHGA12	80.01	91.41	78.89	96.68	60.82	81.14	38.12	80.57	64.34	74.58	86.43	38.95	104.42	97.36	57.49	14.67	32.59	69.52	6.62	12.55	19.53	95.34	10.88	5.63	31.0	29.7	5.06	14.89	28.45	22.75	43.32	24.63	173.85	33.06	7.0	9.13	34.51	18.7	29.06	9.48	13.93	3.2	82.87
PCDHGC3	486.75	656.11	547.75	612.11	571.05	642.59	688.78	723.08	708.18	493.56	674.59	808.0	624.99	387.02	486.75	68.07	414.87	351.14	55.49	73.54	103.69	267.73	101.54	108.14	106.63	135.24	37.32	89.51	126.12	70.01	159.9	74.58	660.68	133.36	126.12	31.9	92.05	153.34	84.63	15.56	34.51	86.43	500.46
PCNXL2	151.22	167.9	131.51	137.14	191.67	251.48	279.14	237.86	244.57	108.9	195.72	307.69	231.32	218.79	301.33	13.32	150.17	231.32	15.34	10.39	13.83	74.06	14.67	24.46	14.35	22.75	1.57	7.06	26.1	12.93	15.91	9.85	49.21	1.64	33.78	6.89	17.9	33.54	3.14	0.27	5.23	50.27	432.53
PHLDB1	2240.11	3146.52	1870.53	2271.4	1639.59	2255.7	1936.53	2119.22	1651.0	4543.8	2609.3	1674.06	2835.7	2537.92	2119.22	116.78	665.29	1572.76	86.43	108.9	236.21	679.29	181.28	136.19	120.1	193.01	42.41	136.19	155.5	102.97	120.1	134.3	438.59	100.83	35.0	77.25	101.54	197.09	85.22	36.53	58.71	73.03	2502.97
PIAS3	791.35	988.12	947.83	974.5	1127.35	1331.57	1417.35	1030.12	1119.56	607.87	1015.93	1277.29	988.12	872.1	1331.57	119.26	575.03	813.63	181.28	122.64	205.5	332.14	236.21	151.22	126.12	152.28	58.71	102.25	162.14	102.25	127.89	95.34	277.2	135.24	80.01	131.51	142.01	126.12	58.71	103.69	28.24	132.44	1167.14
PIP4K2B	688.78	836.53	638.15	825.0	896.64	1111.82	967.76	934.76	825.0	890.44	947.83	1540.37	684.02	1508.65	1119.56	154.42	353.59	511.0	166.73	199.85	201.25	248.0	301.33	237.86	162.14	289.02	149.12	146.03	224.97	141.02	175.07	143.01	312.0	251.48	104.42	176.29	190.34	195.72	135.24	185.11	67.59	217.27	1015.93
PLXDC2	579.04	624.99	429.54	607.87	764.36	896.64	769.69	988.12	860.08	909.17	825.0	1407.55	518.15	825.0	723.08	44.25	529.06	830.75	28.86	26.67	95.34	173.85	55.1	267.73	77.25	61.25	17.9	50.98	59.55	29.7	76.71	48.87	397.93	129.69	18.56	58.3	80.57	87.03	25.72	16.15	132.44	53.57	514.56
POGZ	759.08	813.63	669.92	785.88	1250.98	1295.13	1322.37	1081.39	1015.93	733.19	1066.48	1583.71	830.75	1127.35	1127.35	277.2	447.82	941.27	228.13	223.41	395.18	376.41	583.07	285.03	209.84	351.14	175.07	264.03	336.79	158.79	260.38	218.79	429.54	228.13	134.3	146.03	201.25	178.77	149.12	241.19	111.99	249.73	1819.35
PPP1R14C	55.1	101.54	57.08	92.7	69.52	50.63	94.01	138.1	221.86	51.35	81.14	171.45	220.32	175.07	329.84	0.78	8.85	251.48	1.27	0.0	0.85	4.06	1.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	9.7	1.79	0.84	1.6	1.6	6.73	0.0	0.0	0.0	1.73	2682.69
PRNP	3491.39	2796.65	2895.31	3515.68	3168.41	3467.27	4419.52	3847.29	4239.45	2335.28	3190.46	6381.92	2400.97	4123.49	5633.22	802.41	2240.11	896.64	698.41	660.68	688.78	1175.27	633.73	941.27	1008.9	1127.35	633.73	974.5	836.53	764.36	1883.54	785.88	1369.04	813.63	1359.57	486.75	1651.0	633.73	808.0	753.83	693.58	890.44	4836.35
PRR12	199.85	269.6	172.65	239.52	371.22	403.5	318.57	265.87	237.86	154.42	241.19	536.45	255.0	305.55	305.55	54.72	214.27	170.25	47.84	68.55	82.29	142.01	150.17	71.0	66.18	90.14	35.0	54.33	104.42	45.21	52.45	46.18	181.28	81.71	46.5	41.22	68.07	84.63	25.91	87.65	20.86	70.01	698.41
