	GTEX.13CF3.2126.SM.5IFJP	TCGA.CZ.5466.11A.01R.1503.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF29.2026.SM.4WWB7	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.14A6H.2426.SM.5Q5BO	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
C14orf80	90.77	42.41	42.11	105.15	42.71	92.7	0.0	511.0	444.72	248.0	457.25	164.42	211.31	262.2	193.01	256.78	426.57	134.3	189.02	356.05	206.94	279.14	244.57	155.5	170.25	366.09	239.52	166.73	218.79	193.01	171.45	332.14	420.68	327.56	379.04	253.23	483.38	195.72	281.09	197.09	267.73	194.36	400.71	205.5	273.37	318.57	612.11	166.73	297.17	194.36	218.79	447.82	220.32	169.07	285.03	144.01	126.12	194.36	180.02	466.88	518.15	215.77	224.97	197.09	131.51	348.71	169.07	293.07	246.28	191.67	334.46	194.36
C17orf100	0.0	21.16	19.11	21.32	10.08	8.19	0.0	62.12	37.05	14.45	110.43	37.59	32.82	38.4	24.11	88.88	54.72	36.53	33.78	48.18	45.53	66.65	60.39	49.21	31.0	58.71	49.21	12.55	33.78	54.33	21.01	72.01	90.14	85.82	112.77	72.01	64.8	38.67	62.56	76.17	60.82	37.59	95.34	56.28	28.24	66.65	50.98	54.33	87.03	41.22	45.85	59.55	55.49	30.56	94.01	33.54	25.72	42.11	37.85	120.94	74.58	31.67	78.89	49.91	59.13	37.85	25.91	46.18	58.3	15.68	89.51	57.89
C17orf70	267.73	165.57	198.47	177.53	215.77	265.87	0.0	808.0	490.14	351.14	579.04	438.59	376.41	511.0	363.56	348.71	651.58	309.83	332.14	571.05	567.1	567.1	341.51	493.56	438.59	490.14	490.14	395.18	373.81	406.31	334.46	571.05	688.78	669.92	633.73	525.39	490.14	438.59	567.1	432.53	529.06	318.57	559.28	543.96	457.25	540.19	559.28	432.53	536.45	379.04	371.22	551.56	366.09	320.8	503.95	356.05	406.31	429.54	392.44	713.11	547.75	353.59	438.59	329.84	327.56	567.1	514.56	514.56	660.68	376.41	460.44	327.56
C9orf37	45.21	130.6	67.59	66.65	57.89	78.89	0.0	665.29	620.67	368.65	785.88	490.14	368.65	387.02	264.03	454.09	607.87	309.83	299.25	674.59	397.93	620.67	412.0	429.54	368.65	525.39	395.18	343.89	368.65	303.44	305.55	412.0	511.0	620.67	540.19	476.71	470.14	435.55	432.53	457.25	412.0	379.04	579.04	529.06	432.53	493.56	660.68	346.29	457.25	435.55	339.14	607.87	438.59	320.8	450.94	214.27	368.65	341.51	363.56	603.67	733.19	414.87	429.54	291.04	314.17	579.04	599.49	521.76	507.46	336.79	759.08	291.04
C9orf96	6.57	39.5	19.97	11.38	36.79	7.17	0.0	98.04	129.69	146.03	103.69	98.73	40.64	37.05	33.06	98.73	204.07	107.38	39.5	114.36	49.91	87.65	64.34	37.05	52.08	81.14	96.68	23.93	96.68	48.52	31.22	163.28	151.22	120.1	55.49	105.15	87.65	115.16	93.35	36.27	113.56	25.35	143.01	96.01	47.17	152.28	123.5	43.32	74.06	68.07	60.39	132.44	48.18	31.45	84.04	37.05	42.11	70.51	22.26	114.36	177.53	37.85	64.8	53.57	78.34	97.36	43.63	103.69	194.36	54.72	144.01	49.21
CAPN10	126.12	120.1	36.53	85.22	81.14	82.29	0.0	567.1	486.75	281.09	743.43	432.53	287.01	384.34	356.05	318.57	457.25	173.85	214.27	559.28	525.39	483.38	336.79	403.5	318.57	476.71	444.72	285.03	366.09	366.09	273.37	551.56	620.67	629.35	607.87	547.75	426.57	356.05	400.71	384.34	397.93	285.03	607.87	536.45	518.15	426.57	518.15	379.04	450.94	379.04	389.72	703.28	392.44	320.8	429.54	260.38	371.22	325.29	316.37	698.41	748.61	356.05	409.15	316.37	314.17	466.88	540.19	483.38	660.68	368.65	470.14	242.88
CBLN3	59.97	44.57	29.7	12.93	25.91	22.75	0.0	149.12	199.85	90.77	241.19	38.67	85.82	74.58	69.03	86.43	67.12	46.18	115.16	108.9	98.73	135.24	32.82	118.43	61.68	171.45	143.01	67.12	71.5	86.43	20.26	171.45	156.59	183.82	136.19	30.34	61.68	77.25	98.73	67.12	146.03	31.45	110.43	127.0	73.54	87.65	131.51	73.03	140.04	41.52	103.69	127.89	90.14	88.88	78.34	76.71	36.53	29.91	96.68	137.14	299.25	95.34	62.12	29.91	67.12	34.02	177.53	138.1	114.36	59.97	107.38	34.75
CCDC24	71.0	157.68	33.54	19.11	61.25	33.06	0.0	1519.15	1088.92	791.35	1104.13	651.58	575.03	669.92	583.07	759.08	1023.0	511.0	361.04	988.12	688.78	713.11	543.96	638.15	532.74	733.19	713.11	406.31	624.99	591.22	358.54	1001.93	1183.45	995.0	961.07	1111.82	836.53	665.29	1119.56	473.41	974.5	497.0	1208.34	981.29	679.29	1268.46	988.12	511.0	743.43	872.1	624.99	1066.48	674.59	438.59	878.17	417.77	669.92	587.13	483.38	1135.2	1015.93	547.75	764.36	320.8	555.41	1030.12	791.35	1191.69	1119.56	507.46	1008.9	493.56
CDK10	409.15	738.29	595.34	813.63	928.3	848.22	0.0	3955.48	2555.58	1437.15	3742.05	1991.0	1832.01	2047.0	1605.83	2240.11	2935.74	1551.09	1457.23	2609.3	2209.26	2271.4	1991.0	2434.5	2075.59	2133.97	2367.9	1583.71	1388.16	2303.12	995.0	2935.74	3540.14	2997.45	3564.78	3103.19	1991.0	2468.49	2047.0	2032.85	2209.26	1685.71	3190.46	3190.46	2468.49	2895.31	2417.67	2047.0	2537.92	2351.53	2004.85	2701.35	2148.82	1977.24	2915.45	1322.37	2384.37	2061.24	2018.8	3303.0	3443.31	1991.0	1950.0	1407.55	2400.97	2739.08	2537.92	3325.99	2976.74	2178.83	2875.3	1313.23
CDK5RAP3	842.36	1561.89	1883.54	1487.87	1457.23	1397.83	0.0	5555.65	5751.61	3039.3	6935.54	4639.29	3280.18	4512.4	3515.68	1923.14	5403.7	3467.27	2701.35	6983.79	3564.78	4298.64	4239.45	4298.64	3820.7	3982.99	3901.01	3589.58	3443.31	4388.98	2645.74	5831.91	6381.92	6652.97	6935.54	6381.92	5076.84	5183.54	4181.07	4328.55	4123.49	3146.52	6294.04	5403.7	4450.27	6037.61	5112.16	4239.45	5112.16	3794.3	3928.15	5954.47	4123.49	3901.01	5041.77	3081.75	5255.91	4010.71	3540.14	7433.4	7695.57	3212.66	4704.07	3235.01	3190.46	4937.99	5147.73	5872.48	6745.86	4298.64	5517.27	3081.75
CENPT	318.57	186.4	135.24	211.31	164.42	190.34	0.0	1487.87	1159.07	599.49	1322.37	791.35	470.14	629.35	575.03	753.83	902.89	366.09	403.5	1242.34	796.86	813.63	480.04	830.75	529.06	825.0	507.46	480.04	642.59	620.67	351.14	1135.2	1277.29	1304.15	1175.27	1081.39	961.07	656.11	713.11	775.05	1001.93	441.64	981.29	1159.07	723.08	1233.75	961.07	532.74	981.29	629.35	521.76	1127.35	688.78	447.82	872.1	348.71	567.1	559.28	536.45	1340.84	1561.89	486.75	529.06	547.75	571.05	934.76	813.63	1159.07	1457.23	624.99	967.76	414.87
CHKB-CPT1B	42.71	2.48	11.64	37.32	0.58	17.25	0.0	486.75	314.17	84.63	232.94	135.24	55.49	40.93	87.03	108.14	157.68	162.14	98.04	269.6	77.25	165.57	82.87	157.68	108.14	248.0	144.01	34.02	178.77	130.6	85.22	260.38	289.02	128.79	260.38	249.73	221.86	114.36	366.09	124.37	242.88	58.71	236.21	336.79	81.14	129.69	289.02	117.6	239.52	34.75	50.27	154.42	72.01	99.43	127.89	85.22	336.79	63.89	108.14	341.51	256.78	241.19	89.51	80.57	108.14	166.73	211.31	76.71	262.2	104.42	126.12	87.03
CPT1B	212.78	82.29	78.34	108.14	15.11	88.88	0.0	1487.87	713.11	269.6	693.58	426.57	277.2	144.01	215.77	232.94	490.14	329.84	264.03	764.36	309.83	454.09	248.0	397.93	341.51	429.54	397.93	156.59	607.87	351.14	271.48	842.36	1151.06	426.57	872.1	656.11	470.14	473.41	769.69	486.75	470.14	258.57	703.28	748.61	320.8	420.68	669.92	363.56	753.83	185.11	389.72	532.74	309.83	299.25	518.15	241.19	878.17	248.0	409.15	1111.82	981.29	536.45	307.69	226.54	432.53	660.68	429.54	323.03	934.76	412.0	368.65	199.85
CTD-3203P2.2	0.01	9.06	6.52	6.11	3.59	0.0	0.0	75.11	89.51	43.32	124.37	19.25	59.55	18.43	18.29	45.21	82.29	54.33	14.78	82.29	50.27	50.63	17.64	5.82	27.05	28.04	51.71	19.53	8.92	33.06	22.26	62.56	108.9	83.45	76.71	44.89	65.72	36.79	128.79	34.51	65.72	12.93	105.89	111.99	16.39	78.89	57.08	19.97	20.56	47.17	38.12	38.12	45.53	27.05	48.52	23.59	34.75	18.43	14.56	74.06	98.04	81.71	17.64	29.7	35.76	50.63	39.79	50.98	67.59	12.55	82.87	35.0
DPH7	191.67	126.12	111.99	85.22	101.54	94.67	0.0	941.27	769.69	476.71	967.76	463.65	397.93	454.09	420.68	595.34	819.3	426.57	358.54	890.44	575.03	688.78	429.54	470.14	400.71	587.13	511.0	426.57	490.14	486.75	368.65	825.0	878.17	947.83	909.17	769.69	660.68	555.41	563.18	551.56	651.58	400.71	872.1	738.29	473.41	842.36	660.68	460.44	660.68	373.81	392.44	928.3	473.41	406.31	769.69	351.14	497.0	358.54	441.64	1143.1	1059.11	395.18	454.09	397.93	423.61	698.41	599.49	836.53	1066.48	466.88	743.43	341.51
DTX2	141.02	93.35	98.04	139.07	147.06	149.12	0.0	379.04	248.0	187.71	423.61	205.5	176.29	191.67	183.82	176.29	285.03	291.04	120.1	271.48	223.41	205.5	232.94	244.57	177.53	209.84	483.38	157.68	208.38	198.47	151.22	249.73	339.14	353.59	346.29	220.32	241.19	249.73	249.73	189.02	309.83	156.59	279.14	226.54	223.41	228.13	277.2	191.67	293.07	214.27	208.38	371.22	204.07	193.01	265.87	163.28	205.5	223.41	197.09	466.88	429.54	239.52	262.2	157.68	172.65	242.88	285.03	228.13	381.68	171.45	215.77	111.99
DUSP28	75.64	103.69	54.72	48.52	52.08	34.51	0.0	169.07	173.85	211.31	271.48	127.89	143.01	143.01	102.25	177.53	204.07	114.36	91.41	237.86	142.01	132.44	139.07	170.25	78.34	172.65	159.9	105.89	165.57	140.04	100.13	165.57	283.05	253.23	199.85	158.79	236.21	163.28	182.55	148.09	190.34	125.24	214.27	190.34	190.34	167.9	198.47	129.69	193.01	171.45	116.78	202.66	155.5	98.73	173.85	127.89	106.63	148.09	130.6	186.4	176.29	132.44	135.24	146.03	105.15	144.01	129.69	193.01	209.84	170.25	212.78	134.3
DYRK1B	283.05	251.48	23.42	52.82	88.26	61.25	0.0	693.58	629.35	480.04	665.29	521.76	454.09	429.54	447.82	503.95	381.68	514.56	412.0	532.74	420.68	540.19	379.04	575.03	341.51	547.75	518.15	339.14	395.18	420.68	363.56	629.35	521.76	518.15	536.45	414.87	500.46	514.56	540.19	348.71	651.58	454.09	567.1	483.38	397.93	500.46	629.35	450.94	743.43	493.56	299.25	567.1	432.53	457.25	642.59	312.0	397.93	447.82	463.65	435.55	651.58	486.75	497.0	480.04	392.44	563.18	406.31	633.73	629.35	429.54	583.07	291.04
EHMT2	295.11	420.68	177.53	139.07	156.59	148.09	1529.73	1369.04	1233.75	1259.69	1268.46	830.75	579.04	698.41	723.08	866.07	1008.9	802.41	507.46	1191.69	748.61	981.29	708.18	785.88	713.11	1135.2	995.0	518.15	813.63	842.36	486.75	1268.46	1268.46	1277.29	854.13	802.41	954.43	1104.13	974.5	651.58	1051.79	647.07	1111.82	915.51	802.41	1051.79	1066.48	674.59	1030.12	921.88	842.36	1159.07	791.35	583.07	921.88	551.56	813.63	802.41	713.11	1313.23	1250.98	902.89	866.07	532.74	698.41	934.76	819.3	1369.04	1127.35	748.61	1233.75	567.1
ELMO3	35.0	325.29	22.43	2.89	63.45	47.5	0.0	981.29	571.05	412.0	780.44	511.0	289.02	403.5	291.04	376.41	503.95	376.41	273.37	555.41	599.49	693.58	368.65	490.14	423.61	447.82	599.49	267.73	395.18	417.77	189.02	665.29	934.76	583.07	665.29	669.92	409.15	521.76	603.67	358.54	511.0	297.17	629.35	896.64	486.75	579.04	555.41	414.87	444.72	463.65	381.68	902.89	493.56	473.41	470.14	275.28	432.53	417.77	429.54	764.36	624.99	511.0	620.67	186.4	316.37	518.15	808.0	567.1	884.29	348.71	514.56	234.57
ENDOV	164.42	327.56	169.07	95.34	125.24	205.5	0.0	842.36	583.07	463.65	733.19	412.0	497.0	514.56	423.61	514.56	466.88	348.71	447.82	718.08	555.41	480.04	389.72	518.15	389.72	555.41	444.72	420.68	493.56	507.46	406.31	660.68	684.02	624.99	656.11	607.87	490.14	466.88	587.13	575.03	547.75	356.05	688.78	651.58	460.44	638.15	567.1	480.04	563.18	497.0	432.53	785.88	559.28	470.14	575.03	429.54	486.75	599.49	426.57	728.11	753.83	406.31	514.56	497.0	420.68	607.87	395.18	532.74	616.37	400.71	536.45	392.44
EPN2	232.94	339.14	150.17	148.09	189.02	79.45	0.0	660.68	620.67	414.87	518.15	441.64	432.53	384.34	511.0	470.14	529.06	473.41	486.75	567.1	381.68	532.74	358.54	647.07	341.51	490.14	447.82	414.87	412.0	412.0	395.18	629.35	743.43	503.95	830.75	490.14	738.29	638.15	470.14	454.09	486.75	412.0	543.96	500.46	356.05	669.92	450.94	417.77	759.08	376.41	381.68	633.73	490.14	406.31	525.39	463.65	384.34	329.84	341.51	563.18	591.22	432.53	420.68	358.54	366.09	438.59	454.09	521.76	521.76	429.54	551.56	373.81
EXD3	64.8	98.73	69.03	55.1	74.06	72.52	0.0	884.29	567.1	305.55	563.18	356.05	264.03	327.56	249.73	414.87	406.31	166.73	277.2	547.75	490.14	389.72	511.0	336.79	242.88	379.04	303.44	220.32	307.69	316.37	157.68	551.56	595.34	441.64	540.19	1023.0	543.96	279.14	567.1	320.8	476.71	281.09	473.41	785.88	262.2	476.71	536.45	299.25	392.44	241.19	194.36	457.25	403.5	241.19	480.04	195.72	237.86	241.19	256.78	612.11	603.67	285.03	336.79	287.01	205.5	486.75	466.88	403.5	638.15	253.23	507.46	182.55
FAM186A	0.96	1.2	1.23	0.13	0.0	0.0	0.0	6.16	5.68	3.79	11.3	2.51	1.51	4.06	2.61	3.06	2.58	2.86	0.83	7.17	2.97	2.25	3.11	1.28	1.27	5.02	3.89	1.28	6.11	0.83	0.54	5.11	8.78	5.54	6.84	1.69	2.86	4.74	3.99	4.24	4.06	1.58	8.65	3.14	4.62	4.86	6.94	2.92	3.59	4.7	3.35	5.63	1.06	0.55	11.47	0.28	2.23	2.32	2.84	7.17	10.31	3.82	1.3	1.08	1.58	6.21	2.94	4.66	6.94	3.0	6.46	1.04
FAM200B	791.35	1721.16	660.68	438.59	769.69	532.74	0.0	2468.49	2209.26	2835.7	2335.28	1378.57	1322.37	1199.98	1191.69	2758.13	2271.4	1313.23	1340.84	2434.5	1378.57	1233.75	1605.83	1088.92	1030.12	2240.11	1769.57	1268.46	1733.13	1407.55	1127.35	1977.24	2090.03	2018.8	1794.29	2367.9	1857.6	1304.15	2400.97	1313.23	1819.35	1397.83	1819.35	2855.44	1340.84	1883.54	2335.28	1487.87	1977.24	1819.35	1304.15	2240.11	1487.87	1417.35	1628.26	1143.1	967.76	1605.83	1769.57	1651.0	1651.0	1617.0	1467.37	1135.2	1242.34	1685.71	2303.12	2434.5	2075.59	1427.22	2351.53	1066.48
