	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.TMMY.0726.SM.33HBE	TCGA.73.4676.11A.01R.1755.07	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.U412.0826.SM.3DB9K	GTEX.POYW.1226.SM.2XCEP	GTEX.13JUV.0526.SM.5K7XE	GTEX.ZYY3.0926.SM.5E454	GTEX.147F4.0926.SM.5Q5EO	GTEX.11UD2.0726.SM.5EQ69	GTEX.13O3P.1026.SM.5N9E7	GTEX.11GSP.0726.SM.5986L	GTEX.U3ZN.0626.SM.3DB7U	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.1128S.0726.SM.5N9D6	GTEX.12ZZW.0926.SM.5LZUD	GTEX.13JVG.1426.SM.5MR4W	GTEX.13NZA.1426.SM.5KM4Y	GTEX.N7MS.0926.SM.2HMIZ	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.NL3G.0526.SM.4RTWW	GTEX.PLZ5.0726.SM.2I5F9	GTEX.QEG4.0526.SM.48TZD	GTEX.QMR6.1926.SM.32PL9	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	TCGA.77.7338.11A.01R.2045.07
CCDC126	100.13	371.22	253.23	642.59	466.88	199.85	543.96	547.75	208.38	105.15	126.12	228.13	165.57	429.54	236.21	193.01	118.43	123.5	108.9	153.34	316.37	267.73	90.14	289.02	170.25	135.24	209.84	88.88	215.77	111.99	134.3	232.94	143.01	371.22	76.71	138.1	127.89	113.56	242.88
CCDC132	80.57	400.71	371.22	529.06	536.45	470.14	738.29	486.75	164.42	165.57	47.5	303.44	212.78	395.18	224.97	107.38	71.5	124.37	155.5	117.6	371.22	336.79	46.84	126.12	221.86	144.01	167.9	143.01	309.83	89.51	241.19	373.81	149.12	444.72	194.36	438.59	155.5	167.9	239.52
CGGBP1	529.06	1313.23	1417.35	1508.65	1427.22	1208.34	2303.12	1857.6	791.35	441.64	785.88	1447.15	1096.5	1519.15	1561.89	780.44	1096.5	603.67	703.28	629.35	1081.39	1583.71	1175.27	902.89	954.43	620.67	612.11	620.67	1250.98	878.17	947.83	1583.71	872.1	2367.9	713.11	1487.87	669.92	802.41	1127.35
CMPK1	1143.1	3443.31	3372.43	4358.66	3372.43	2627.46	3168.41	3540.14	2271.4	2240.11	1277.29	2255.7	2609.3	4481.23	2915.45	2777.33	2075.59	961.07	1857.6	1216.75	3146.52	4152.18	775.05	2468.49	3039.3	1250.98	3103.19	1950.0	3874.05	2384.37	1651.0	2627.46	1721.16	3665.02	1216.75	4123.49	1437.15	1551.09	2573.36
CNEP1R1	224.97	454.09	314.17	466.88	397.93	500.46	836.53	511.0	275.28	309.83	115.16	358.54	242.88	540.19	454.09	194.36	220.32	218.79	264.03	249.73	490.14	543.96	141.02	356.05	249.73	231.32	303.44	193.01	305.55	220.32	273.37	366.09	325.29	420.68	228.13	738.29	190.34	295.11	334.46
CPT2	149.12	371.22	320.8	271.48	406.31	423.61	267.73	420.68	275.28	275.28	87.65	228.13	201.25	204.07	244.57	165.57	92.7	205.5	197.09	143.01	395.18	215.77	81.71	209.84	279.14	212.78	316.37	142.01	234.57	113.56	217.27	376.41	161.02	441.64	244.57	361.04	224.97	269.6	295.11
DCAF10	176.29	624.99	563.18	555.41	642.59	547.75	842.36	454.09	239.52	232.94	90.77	363.56	316.37	283.05	336.79	246.28	169.07	107.38	228.13	195.72	368.65	429.54	122.64	277.2	218.79	156.59	265.87	353.59	361.04	195.72	239.52	403.5	318.57	291.04	232.94	208.38	297.17	195.72	309.83
EIF2A	1572.76	2400.97	2758.13	3146.52	2664.15	3018.3	4298.64	3742.05	1769.57	1313.23	780.44	1721.16	1183.45	3325.99	1447.15	1508.65	1551.09	612.11	988.12	775.05	4512.4	2090.03	718.08	830.75	1208.34	764.36	1015.93	728.11	1225.22	981.29	1175.27	1457.23	884.29	1923.14	743.43	3639.7	825.0	1651.0	1662.49
EXD2	124.37	511.0	507.46	486.75	514.56	813.63	813.63	518.15	318.57	178.77	105.15	420.68	392.44	571.05	420.68	218.79	138.1	156.59	314.17	205.5	497.0	444.72	92.7	299.25	371.22	154.42	265.87	265.87	450.94	215.77	473.41	583.07	305.55	532.74	368.65	366.09	291.04	361.04	381.68
FAM120A	753.83	1519.15	1529.73	1685.71	1594.73	1709.26	1870.53	1662.49	890.44	1487.87	656.11	1015.93	872.1	2400.97	1487.87	1059.11	785.88	974.5	1487.87	813.63	2573.36	1628.26	420.68	1487.87	1088.92	961.07	1008.9	878.17	1721.16	1073.91	802.41	1350.18	1233.75	1769.57	743.43	902.89	808.0	825.0	1191.69
FAM21C	138.1	521.76	536.45	493.56	825.0	791.35	1073.91	1023.0	232.94	279.14	108.9	607.87	743.43	813.63	540.19	178.77	226.54	249.73	251.48	173.85	555.41	620.67	287.01	417.77	346.29	199.85	395.18	395.18	435.55	186.4	518.15	559.28	229.72	656.11	361.04	423.61	343.89	480.04	358.54
FAM73A	31.45	351.14	356.05	420.68	563.18	563.18	543.96	412.0	76.71	74.58	50.27	201.25	149.12	237.86	135.24	80.57	95.34	67.12	66.18	49.21	217.27	181.28	14.78	153.34	126.12	87.03	60.39	116.78	156.59	51.35	275.28	187.71	59.13	264.03	146.03	281.09	93.35	94.01	182.55
FBXO38	226.54	559.28	476.71	656.11	753.83	669.92	660.68	878.17	414.87	447.82	185.11	392.44	376.41	403.5	403.5	312.0	232.94	262.2	316.37	356.05	1037.29	392.44	117.6	476.71	379.04	260.38	265.87	287.01	366.09	162.14	417.77	624.99	327.56	1151.06	356.05	808.0	429.54	423.61	470.14
GALNT7	120.1	559.28	414.87	748.61	591.22	503.95	785.88	728.11	148.09	153.34	103.69	215.77	119.26	363.56	161.02	156.59	34.02	86.43	131.51	128.79	616.37	295.11	18.16	269.6	251.48	161.02	73.03	115.16	329.84	139.07	351.14	450.94	194.36	536.45	202.66	1015.93	127.0	194.36	224.97
GEMIN5	169.07	248.0	269.6	226.54	305.55	312.0	346.29	318.57	142.01	211.31	70.51	155.5	128.79	265.87	177.53	183.82	67.12	133.36	112.77	93.35	224.97	173.85	47.17	175.07	182.55	116.78	131.51	100.83	198.47	63.0	169.07	140.04	127.89	267.73	90.14	197.09	134.3	108.9	197.09
HBB	12502.12	16045.82	469249.9	8963.45	1023.0	5403.7	9540.5	12244.81	466008.55	828417.36	573724.06	397335.0	316094.29	649962.87	411347.03	783730.52	506427.83	143430.26	1703415.74	217400.14	81809.59	3313672.43	165904.25	513497.31	156954.93	294926.33	389157.95	279017.26	462789.59	47974.16	659036.03	475800.4	309589.14	15075.35	517068.97	348306.01	1299926.74	1336472.68	246289.25
HSD17B4	1628.26	5329.3	3901.01	4639.29	2855.44	3257.52	4419.52	5555.65	4607.24	2777.33	1909.85	3081.75	2485.67	4937.99	3349.13	3982.99	2224.63	1963.57	3018.3	1769.57	6294.04	3146.52	1369.04	3614.55	3589.58	2335.28	2319.15	2682.69	2555.58	2502.97	3280.18	5831.91	3124.78	7130.55	2915.45	5112.16	2303.12	2573.36	4358.66
IPO8	242.88	660.68	665.29	693.58	728.11	616.37	1225.22	866.07	371.22	267.73	297.17	486.75	444.72	748.61	500.46	423.61	228.13	231.32	285.03	260.38	718.08	571.05	110.43	441.64	429.54	241.19	348.71	329.84	551.56	194.36	563.18	511.0	429.54	909.17	327.56	532.74	376.41	384.34	486.75
KBTBD7	14.45	134.3	199.85	137.14	193.01	265.87	332.14	197.09	49.56	30.78	38.95	92.05	63.0	117.6	85.82	28.86	20.56	33.78	59.55	16.88	118.43	108.9	12.18	48.87	77.25	38.95	61.68	19.53	80.01	19.82	63.89	81.71	37.59	157.68	59.55	90.77	65.26	71.0	85.82
KIAA1033	189.02	728.11	567.1	753.83	563.18	785.88	1268.46	934.76	353.59	361.04	281.09	497.0	353.59	954.43	400.71	327.56	341.51	329.84	248.0	260.38	642.59	540.19	140.04	575.03	351.14	297.17	218.79	224.97	493.56	258.57	612.11	679.29	341.51	860.08	363.56	1191.69	343.89	447.82	450.94
KIAA1430	151.22	854.13	738.29	1127.35	884.29	718.08	1977.24	1015.93	267.73	381.68	303.44	346.29	248.0	651.58	412.0	579.04	351.14	246.28	318.57	273.37	1183.45	470.14	86.43	454.09	397.93	161.02	204.07	164.42	341.51	351.14	323.03	371.22	262.2	480.04	285.03	521.76	277.2	264.03	503.95
LRRC58	115.97	417.77	373.81	483.38	301.33	409.15	813.63	532.74	127.89	157.68	35.0	177.53	136.19	327.56	275.28	146.03	120.1	190.34	158.79	54.72	466.88	209.84	36.01	186.4	239.52	99.43	87.03	197.09	185.11	85.22	281.09	177.53	109.66	318.57	154.42	406.31	134.3	145.02	208.38
MTMR10	173.85	743.43	599.49	679.29	466.88	872.1	1111.82	529.06	309.83	173.85	226.54	612.11	460.44	599.49	500.46	361.04	343.89	232.94	323.03	309.83	457.25	842.36	301.33	473.41	447.82	206.94	403.5	363.56	620.67	336.79	403.5	599.49	441.64	723.08	444.72	1199.98	249.73	346.29	441.64
NCK1	397.93	902.89	1059.11	1023.0	1369.04	1023.0	1628.26	688.78	775.05	470.14	334.46	981.29	780.44	1709.26	1059.11	620.67	447.82	329.84	713.11	320.8	769.69	848.22	363.56	1268.46	753.83	376.41	579.04	603.67	988.12	297.17	684.02	1733.13	336.79	1519.15	1340.84	1721.16	1001.93	733.19	802.41
NCOA4	1322.37	4704.07	4181.07	4512.4	4836.35	4869.99	6121.9	4239.45	3235.01	1529.73	1295.13	2104.58	1685.71	3928.15	2520.38	1936.53	1963.57	1059.11	2032.85	1844.76	4937.99	3794.3	1088.92	1857.6	2133.97	1088.92	1794.29	1427.22	2520.38	1233.75	1844.76	3874.05	1605.83	5292.48	1617.0	2627.46	1857.6	1806.78	3124.78
NEDD1	106.63	400.71	334.46	575.03	409.15	432.53	536.45	599.49	132.44	144.01	101.54	412.0	145.02	376.41	251.48	72.01	101.54	139.07	104.42	77.79	571.05	368.65	31.0	253.23	169.07	126.12	141.02	53.95	242.88	229.72	283.05	253.23	112.77	392.44	166.73	373.81	120.1	146.03	244.57
OSBPL11	96.01	400.71	293.07	307.69	329.84	389.72	293.07	299.25	269.6	237.86	102.25	258.57	199.85	497.0	253.23	318.57	154.42	189.02	162.14	191.67	559.28	244.57	175.07	299.25	241.19	148.09	185.11	204.07	234.57	132.44	242.88	358.54	295.11	441.64	150.17	409.15	218.79	244.57	237.86
PAK2	571.05	1066.48	1051.79	1066.48	723.08	947.83	1143.1	1088.92	583.07	718.08	629.35	848.22	660.68	1437.15	872.1	896.64	633.73	435.55	473.41	860.08	1757.34	698.41	301.33	1216.75	647.07	273.37	514.56	743.43	830.75	490.14	669.92	947.83	620.67	1369.04	616.37	878.17	551.56	503.95	785.88
PARP4	265.87	830.75	647.07	961.07	1159.07	1216.75	543.96	1096.5	490.14	241.19	384.34	536.45	400.71	738.29	265.87	366.09	205.5	329.84	500.46	150.17	1295.13	836.53	84.04	698.41	587.13	293.07	373.81	480.04	444.72	229.72	595.34	890.44	277.2	2193.99	490.14	836.53	224.97	435.55	579.04
PDIK1L	23.76	149.12	189.02	209.84	208.38	205.5	301.33	237.86	56.68	52.45	15.56	90.14	63.89	130.6	110.43	56.28	12.45	40.36	45.21	30.34	169.07	85.82	15.68	46.84	73.54	29.48	68.07	26.67	105.89	36.79	66.65	111.21	52.82	173.85	36.53	141.02	55.89	52.82	95.34
PIK3CB	149.12	612.11	642.59	669.92	563.18	599.49	947.83	669.92	318.57	199.85	215.77	490.14	336.79	389.72	356.05	384.34	201.25	138.1	275.28	154.42	612.11	497.0	105.89	591.22	417.77	178.77	241.19	217.27	265.87	158.79	447.82	921.88	295.11	713.11	244.57	417.77	283.05	244.57	392.44
POC5	46.18	224.97	158.79	285.03	283.05	265.87	356.05	348.71	120.1	122.64	22.59	242.88	134.3	283.05	164.42	93.35	48.52	102.97	126.12	50.27	231.32	166.73	43.94	126.12	161.02	89.51	150.17	58.3	146.03	54.33	176.29	164.42	56.28	279.14	115.16	297.17	117.6	136.19	173.85
PRUNE	209.84	665.29	693.58	703.28	633.73	842.36	1268.46	961.07	392.44	262.2	128.79	426.57	361.04	743.43	392.44	242.88	226.54	249.73	341.51	101.54	457.25	435.55	177.53	366.09	503.95	323.03	332.14	221.86	486.75	156.59	438.59	733.19	198.47	830.75	432.53	343.89	353.59	353.59	476.71
PSEN1	647.07	1015.93	1066.48	1096.5	1159.07	1088.92	1286.18	1909.85	981.29	536.45	432.53	1023.0	1191.69	995.0	981.29	511.0	825.0	361.04	563.18	620.67	1183.45	1037.29	429.54	454.09	656.11	674.59	981.29	819.3	723.08	438.59	872.1	981.29	703.28	1583.71	571.05	1304.15	607.87	674.59	896.64
RAD17	141.02	503.95	412.0	629.35	612.11	624.99	738.29	796.86	211.31	251.48	96.68	348.71	307.69	403.5	371.22	187.71	144.01	161.02	187.71	134.3	457.25	366.09	100.83	217.27	241.19	178.77	332.14	120.94	339.14	109.66	314.17	368.65	182.55	435.55	214.27	486.75	258.57	260.38	389.72
RBBP4	934.76	3103.19	3467.27	3794.3	4769.75	4388.98	3874.05	3325.99	1977.24	1617.0	620.67	1950.0	1183.45	1870.53	2163.77	1286.18	961.07	909.17	1151.06	1081.39	3212.66	1340.84	412.0	1605.83	1508.65	748.61	825.0	981.29	1923.14	909.17	1769.57	2434.5	665.29	3190.46	1417.35	1674.06	1295.13	1183.45	2303.12
RCBTB1	91.41	460.44	291.04	450.94	514.56	389.72	273.37	395.18	228.13	146.03	95.34	309.83	341.51	802.41	206.94	164.42	185.11	241.19	264.03	130.6	486.75	450.94	86.43	293.07	339.14	177.53	172.65	136.19	295.11	153.34	297.17	376.41	176.29	612.11	314.17	353.59	226.54	229.72	309.83
RHOT1	215.77	785.88	842.36	830.75	660.68	884.29	2240.11	753.83	656.11	368.65	303.44	642.59	728.11	902.89	591.22	503.95	316.37	279.14	371.22	271.48	1233.75	651.58	183.82	571.05	603.67	325.29	392.44	423.61	529.06	346.29	490.14	866.07	348.71	1073.91	595.34	928.3	381.68	503.95	656.11
RNF13	830.75	2434.5	2400.97	3564.78	2682.69	2485.67	4239.45	2664.15	3018.3	1183.45	780.44	2224.63	1936.53	3847.29	1923.14	1508.65	2133.97	921.88	1733.13	1015.93	3515.68	2875.3	808.0	1857.6	2018.8	941.27	1605.83	890.44	1617.0	1081.39	1561.89	2758.13	954.43	3235.01	1313.23	3212.66	1191.69	1844.76	2335.28
RNF20	198.47	571.05	909.17	567.1	1304.15	1447.15	1225.22	902.89	295.11	301.33	115.97	583.07	507.46	698.41	447.82	246.28	246.28	246.28	373.81	173.85	728.11	507.46	105.15	409.15	450.94	251.48	301.33	289.02	559.28	158.79	503.95	638.15	209.84	684.02	381.68	511.0	395.18	466.88	486.75
SETDB2	77.79	217.27	194.36	318.57	264.03	336.79	620.67	228.13	119.26	88.88	69.52	191.67	125.24	170.25	146.03	92.05	55.1	98.73	84.63	52.45	201.25	189.02	66.65	145.02	124.37	92.7	94.67	76.71	119.26	77.79	149.12	176.29	80.01	234.57	109.66	193.01	102.97	155.5	140.04
SMC3	220.32	674.59	1030.12	808.0	967.76	1216.75	1896.65	1427.22	289.02	303.44	239.52	529.06	351.14	954.43	429.54	483.38	329.84	256.78	262.2	206.94	1037.29	450.94	180.02	435.55	532.74	169.07	246.28	265.87	620.67	248.0	454.09	551.56	178.77	1066.48	353.59	511.0	373.81	323.03	563.18
SOS2	144.01	651.58	536.45	802.41	866.07	536.45	723.08	1081.39	228.13	234.57	232.94	444.72	351.14	540.19	460.44	275.28	303.44	202.66	262.2	312.0	493.56	616.37	178.77	348.71	329.84	264.03	297.17	329.84	406.31	253.23	363.56	444.72	277.2	775.05	312.0	928.3	140.04	301.33	336.79
STXBP3	368.65	1151.06	738.29	1628.26	1119.56	1350.18	1674.06	1561.89	607.87	429.54	432.53	1167.14	748.61	1508.65	854.13	432.53	599.49	318.57	486.75	486.75	1088.92	1369.04	299.25	583.07	890.44	616.37	559.28	780.44	620.67	559.28	934.76	753.83	743.43	1119.56	679.29	1583.71	371.22	642.59	830.75
TLK1	149.12	733.19	599.49	921.88	665.29	698.41	1369.04	808.0	195.72	150.17	220.32	457.25	273.37	503.95	267.73	229.72	157.68	211.31	277.2	124.37	559.28	420.68	67.12	318.57	343.89	158.79	234.57	237.86	205.5	239.52	444.72	571.05	226.54	480.04	277.2	412.0	253.23	236.21	299.25
TMEM106B	182.55	819.3	723.08	947.83	708.18	1037.29	1199.98	733.19	358.54	389.72	88.26	417.77	154.42	480.04	629.35	348.71	224.97	325.29	353.59	95.34	947.83	551.56	65.72	432.53	420.68	244.57	223.41	156.59	397.93	271.48	264.03	579.04	108.14	830.75	223.41	775.05	289.02	289.02	466.88
TMEM184C	110.43	540.19	514.56	665.29	813.63	836.53	954.43	860.08	218.79	305.55	103.69	376.41	363.56	466.88	348.71	223.41	167.9	186.4	251.48	150.17	483.38	432.53	80.01	201.25	273.37	177.53	256.78	151.22	412.0	131.51	426.57	395.18	197.09	583.07	260.38	329.84	299.25	265.87	400.71
USP1	199.85	563.18	693.58	909.17	733.19	723.08	2367.9	1417.35	346.29	242.88	122.64	486.75	299.25	764.36	470.14	312.0	217.27	151.22	206.94	148.09	934.76	490.14	226.54	339.14	417.77	198.47	332.14	248.0	463.65	260.38	373.81	450.94	281.09	896.64	246.28	409.15	295.11	376.41	460.44
USP25	221.86	830.75	684.02	808.0	660.68	981.29	1870.53	995.0	423.61	275.28	264.03	693.58	497.0	1104.13	457.25	518.15	497.0	473.41	457.25	202.66	1030.12	860.08	470.14	616.37	647.07	169.07	547.75	718.08	612.11	361.04	842.36	941.27	400.71	1225.22	693.58	1059.11	417.77	503.95	559.28
VPS33A	108.9	291.04	305.55	336.79	392.44	447.82	466.88	403.5	226.54	246.28	68.55	232.94	199.85	366.09	271.48	153.34	72.52	177.53	147.06	127.0	314.17	264.03	91.41	183.82	206.94	133.36	253.23	144.01	264.03	92.05	183.82	277.2	129.69	327.56	169.07	283.05	205.5	205.5	249.73
YIPF4	808.0	1059.11	1044.52	1199.98	941.27	1030.12	1242.34	954.43	599.49	540.19	343.89	759.08	748.61	1001.93	718.08	555.41	420.68	371.22	775.05	275.28	748.61	921.88	275.28	616.37	551.56	547.75	656.11	447.82	688.78	480.04	808.0	1088.92	486.75	872.1	607.87	620.67	642.59	587.13	813.63
ZNF398	102.25	170.25	172.65	197.09	228.13	156.59	307.69	249.73	70.51	124.37	34.51	122.64	109.66	129.69	173.85	110.43	54.72	91.41	113.56	62.12	171.45	108.14	45.85	147.06	98.73	72.01	96.68	91.41	155.5	59.13	88.88	105.15	100.83	201.25	81.71	152.28	119.26	83.45	111.99
ZYG11B	87.65	397.93	316.37	358.54	287.01	376.41	693.58	356.05	169.07	114.36	50.98	189.02	144.01	414.87	218.79	129.69	106.63	87.65	120.1	69.52	277.2	295.11	40.64	164.42	239.52	115.97	172.65	176.29	209.84	100.83	229.72	297.17	126.12	432.53	164.42	291.04	87.65	165.57	209.84
