	TCGA.LL.A440.01A.11R.A24H.07	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.98.A53H.01A.12R.A262.07	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.EL.A3CY.01A.11R.A19O.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.Y5LM.0626.SM.4V6G4	GTEX.11I78.0526.SM.5986A	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
SPHK1	1104.13	684.02	819.3	2434.5	764.36	785.88	105.15	126.12	172.65	273.37	303.44	189.02	253.23	141.02	88.26	299.25	138.1	211.31	103.69	281.09	70.51	123.5
SRSF4	2287.2	2271.4	2061.24	2061.24	2573.36	2224.63	1721.16	1844.76	1977.24	2240.11	2400.97	1977.24	1794.29	1721.16	1709.26	2319.15	1572.76	1794.29	2061.24	2209.26	2075.59	2004.85
SSH1	305.55	366.09	400.71	947.83	346.29	387.02	226.54	187.71	194.36	339.14	358.54	234.57	183.82	251.48	198.47	241.19	194.36	143.01	151.22	186.4	171.45	231.32
STX1A	236.21	297.17	327.56	507.46	149.12	206.94	72.01	68.55	77.79	111.21	87.03	103.69	94.67	100.13	59.13	178.77	86.43	57.89	82.87	135.24	71.0	105.89
SYDE1	334.46	915.51	318.57	1175.27	281.09	249.73	136.19	191.67	241.19	305.55	255.0	256.78	124.37	161.02	127.89	285.03	175.07	134.3	85.22	149.12	153.34	154.42
TAX1BP3	3124.78	3039.3	3794.3	2468.49	3564.78	2855.44	1175.27	1709.26	1540.37	2319.15	1572.76	1313.23	1477.58	1662.49	1242.34	1883.54	1733.13	2664.15	1388.16	1781.89	1369.04	1709.26
TGFB1I1	1617.0	3257.52	1175.27	2451.44	1832.01	1259.69	351.14	429.54	447.82	599.49	796.86	466.88	366.09	329.84	224.97	571.05	318.57	327.56	236.21	409.15	312.0	363.56
THPO	26.28	26.28	14.14	41.22	7.06	20.26	2.48	2.84	7.88	2.23	8.65	9.48	3.47	9.06	1.36	17.64	7.75	3.56	10.0	5.63	1.48	4.54
TNFAIP8L1	217.27	339.14	825.0	412.0	175.07	187.71	98.04	72.52	119.26	129.69	102.25	125.24	38.95	124.37	82.29	187.71	106.63	74.58	42.41	82.29	63.45	64.34
TNIP2	896.64	819.3	974.5	866.07	988.12	1059.11	529.06	490.14	638.15	802.41	460.44	551.56	555.41	669.92	555.41	791.35	607.87	738.29	612.11	713.11	525.39	620.67
TPO	93.35	156.59	40.93	28.45	848.22	4575.41	645473.24	757033.75	751804.53	402881.61	585779.24	828417.36	716197.51	1078054.48	687022.54	636586.81	919186.72	1890058.21	1327240.99	875652.15	386469.83	2111737.85
TREM1	123.5	83.45	500.46	2075.59	769.69	819.3	19.68	22.1	23.08	62.56	45.21	5.02	4.9	20.11	27.44	27.44	4.39	7.46	18.7	43.94	4.03	5.06
TSPAN9	954.43	587.13	713.11	1096.5	813.63	599.49	432.53	486.75	521.76	473.41	497.0	599.49	403.5	473.41	301.33	480.04	466.88	336.79	371.22	633.73	339.14	379.04
UBN1	500.46	532.74	420.68	656.11	384.34	346.29	323.03	275.28	348.71	435.55	454.09	320.8	307.69	358.54	363.56	417.77	226.54	244.57	234.57	291.04	239.52	305.55
ZNF469	162.14	23.08	122.64	414.87	17.38	26.1	1.64	0.52	2.41	14.89	10.55	5.63	2.18	3.5	1.64	4.74	1.11	0.13	1.3	2.34	1.16	1.41
ZNF703	2384.37	890.44	460.44	1806.78	329.84	287.01	162.14	191.67	221.86	221.86	285.03	244.57	167.9	191.67	136.19	299.25	190.34	136.19	110.43	201.25	147.06	169.07
ZNF783	389.72	406.31	264.03	297.17	285.03	279.14	163.28	175.07	190.34	180.02	234.57	228.13	170.25	194.36	154.42	255.0	156.59	107.38	138.1	164.42	156.59	182.55
ZYX	8479.89	9740.98	5076.84	7642.41	3928.15	5403.7	1066.48	1378.57	1781.89	2163.77	4210.15	2119.22	1628.26	1594.73	1037.29	2075.59	1697.45	1259.69	967.76	1561.89	974.5	1350.18
