	TCGA.ZF.AA53.01A.11R.A39I.07	GTEX.N7MS.1626.SM.3LK5F	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.FY.A3TY.11A.12R.A22U.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.ZV6S.1526.SM.5NQ7O
DCAF8	703.28	1135.2	848.22	1359.57	1322.37	1151.06	3982.99	1757.34	2303.12	1697.45	4543.8	4123.49	1857.6	2384.37	2104.58	3081.75	1561.89	3874.05	2627.46	2193.99	2451.44	3103.19	2537.92	3639.7	4066.71	3146.52	3768.09	2178.83	2758.13	2627.46	2573.36	2451.44	3124.78	1923.14	2895.31	2032.85	3928.15	4010.71	3018.3	3103.19	3395.89	3564.78	3039.3	4038.61	3303.0	3540.14	2682.69	4181.07	2148.82	2520.38	3690.52	693.58
DGCR8	220.32	155.5	24.11	126.12	159.9	114.36	642.59	264.03	279.14	224.97	688.78	521.76	258.57	269.6	255.0	500.46	212.78	591.22	283.05	195.72	264.03	497.0	275.28	532.74	536.45	507.46	507.46	303.44	351.14	232.94	265.87	273.37	476.71	194.36	490.14	264.03	518.15	563.18	417.77	532.74	497.0	525.39	435.55	503.95	397.93	460.44	406.31	571.05	248.0	206.94	511.0	198.47
ERVW-1	0.0	0.0	0.0	0.0	0.38	0.0	6.57	0.51	0.97	0.0	13.12	11.21	0.92	3.26	1.11	4.7	0.68	6.46	5.54	1.69	3.35	6.73	3.35	12.0	8.25	4.62	11.73	1.17	0.99	2.39	6.31	1.73	3.86	1.23	3.29	1.89	11.3	15.56	2.01	7.57	9.85	8.71	5.23	8.19	0.66	5.45	4.5	10.47	0.89	2.23	4.06	0.0
FAM106A	0.0	0.01	0.0	0.0	0.0	0.0	28.24	0.0	2.71	0.97	24.46	14.35	1.93	2.68	2.73	3.14	0.84	9.27	3.23	1.17	3.76	0.58	0.16	4.43	11.13	5.68	0.2	1.14	5.54	0.82	3.56	2.84	0.56	0.0	0.62	1.46	0.88	14.56	3.66	11.47	11.73	6.11	7.4	2.18	0.0	1.3	2.05	6.31	2.18	2.53	1.95	0.28
FAM205A	0.0	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.0	0.0	1.23	1.1	0.37	0.39	0.0	0.57	0.56	1.1	0.38	0.73	0.55	0.6	0.72	1.08	0.75	0.18	0.78	0.0	0.39	0.0	0.56	0.0	0.19	0.39	0.42	0.0	0.18	1.41	0.39	0.39	0.39	0.19	0.79	0.57	0.0	0.6	0.39	0.95	0.17	0.52	0.72	0.0
GORAB	114.36	50.98	27.64	40.64	8.19	50.98	320.8	99.43	144.01	135.24	341.51	444.72	199.85	185.11	193.01	185.11	172.65	231.32	133.36	183.82	175.07	258.57	218.79	307.69	341.51	195.72	277.2	177.53	199.85	212.78	172.65	217.27	248.0	181.28	148.09	180.02	242.88	229.72	195.72	204.07	260.38	211.31	182.55	248.0	182.55	194.36	195.72	295.11	177.53	99.43	224.97	141.02
HIST4H4	45.53	12.18	24.81	14.78	19.68	21.01	111.99	33.3	52.82	53.57	143.01	143.01	84.04	50.27	31.67	102.25	55.89	88.88	67.12	37.85	67.59	72.01	19.25	102.25	198.47	77.79	81.14	35.0	69.03	30.78	48.52	49.21	56.28	37.32	29.48	25.17	108.9	127.89	43.32	75.11	104.42	88.26	71.5	103.69	24.46	67.59	53.57	88.26	47.17	75.11	29.06	8.71
HNRNPH1	2701.35	1059.11	540.19	1617.0	1183.45	1857.6	15285.81	3212.66	4769.75	3982.99	15715.58	12415.75	4769.75	6471.02	6471.02	11504.21	5041.77	14262.1	6983.79	6426.31	9474.59	11035.54	9606.86	10084.54	11189.6	10440.2	10440.2	6652.97	8078.22	8247.98	9088.59	5633.22	10959.3	6381.92	7382.04	4836.35	12943.04	12943.04	7130.55	10225.32	10959.3	10733.74	11035.54	10225.32	5366.37	11345.82	5751.61	14461.21	7230.1	7331.05	11745.96	3768.09
KHNYN	221.86	124.37	23.93	169.07	260.38	229.72	934.76	287.01	314.17	241.19	713.11	836.53	329.84	403.5	332.14	620.67	291.04	679.29	371.22	316.37	361.04	703.28	395.18	660.68	693.58	536.45	525.39	470.14	438.59	397.93	486.75	358.54	536.45	381.68	400.71	379.04	591.22	612.11	323.03	500.46	698.41	656.11	638.15	559.28	343.89	497.0	420.68	476.71	417.77	343.89	486.75	265.87
KIAA1432	111.21	47.5	32.59	71.0	77.25	34.26	226.54	72.01	120.94	45.85	283.05	217.27	97.36	185.11	98.04	161.02	81.71	231.32	154.42	114.36	156.59	197.09	153.34	258.57	183.82	146.03	194.36	116.78	153.34	162.14	161.02	148.09	186.4	96.01	129.69	104.42	239.52	271.48	121.79	211.31	201.25	166.73	246.28	241.19	101.54	212.78	149.12	262.2	96.68	138.1	156.59	55.1
KIAA1468	89.51	138.1	69.03	145.02	72.52	84.04	423.61	127.89	214.27	113.56	447.82	612.11	262.2	241.19	170.25	379.04	229.72	339.14	332.14	223.41	291.04	373.81	358.54	384.34	371.22	318.57	373.81	253.23	260.38	262.2	293.07	221.86	295.11	234.57	265.87	265.87	358.54	409.15	271.48	343.89	406.31	332.14	387.02	447.82	218.79	305.55	277.2	327.56	217.27	325.29	329.84	139.07
KMT2D	102.97	253.23	31.22	221.86	255.0	110.43	819.3	287.01	379.04	316.37	902.89	591.22	500.46	483.38	454.09	748.61	334.46	896.64	620.67	466.88	656.11	780.44	511.0	819.3	842.36	796.86	896.64	441.64	563.18	403.5	575.03	493.56	660.68	409.15	713.11	490.14	819.3	748.61	397.93	842.36	759.08	688.78	764.36	743.43	414.87	665.29	529.06	1088.92	525.39	511.0	708.18	182.55
LHX4	2.2	2.56	0.0	1.6	0.4	1.17	25.54	2.39	3.11	1.97	31.45	31.9	7.34	8.51	3.03	7.63	4.62	18.03	5.82	10.96	5.87	8.25	18.03	17.64	13.42	10.55	9.93	7.22	15.22	9.41	12.36	8.78	11.3	5.15	8.32	6.84	12.93	22.1	2.68	15.11	12.0	7.06	12.27	14.03	4.39	14.03	7.17	14.78	3.26	6.16	12.18	0.0
MASP2	1.28	2.46	0.42	1.6	3.03	0.0	61.68	4.86	12.64	4.13	70.51	49.91	5.32	15.11	13.93	27.44	2.86	33.06	12.36	12.0	5.87	36.53	16.63	48.18	41.52	24.99	33.06	10.71	19.39	9.13	11.21	13.22	26.28	13.42	7.88	4.31	36.79	40.07	18.43	21.01	34.51	33.06	41.52	26.1	14.45	41.81	19.39	37.85	8.92	8.51	40.07	1.08
MAU2	193.01	163.28	37.59	221.86	255.0	176.29	1001.93	316.37	423.61	264.03	1037.29	836.53	384.34	555.41	503.95	651.58	420.68	759.08	567.1	373.81	684.02	603.67	669.92	872.1	967.76	647.07	718.08	563.18	633.73	647.07	620.67	543.96	587.13	476.71	466.88	441.64	713.11	878.17	426.57	555.41	743.43	748.61	638.15	674.59	420.68	651.58	612.11	629.35	473.41	529.06	669.92	220.32
MTMR3	108.14	153.34	60.39	159.9	258.57	114.36	738.29	332.14	361.04	209.84	796.86	854.13	329.84	450.94	423.61	629.35	376.41	638.15	466.88	336.79	595.34	603.67	532.74	679.29	738.29	684.02	674.59	473.41	450.94	476.71	551.56	406.31	454.09	356.05	486.75	343.89	733.19	679.29	366.09	525.39	693.58	684.02	525.39	575.03	426.57	624.99	463.65	642.59	334.46	521.76	518.15	153.34
NFATC2IP	237.86	118.43	50.98	279.14	149.12	191.67	651.58	218.79	232.94	241.19	599.49	571.05	214.27	273.37	232.94	384.34	190.34	450.94	246.28	251.48	277.2	305.55	366.09	454.09	441.64	329.84	460.44	297.17	358.54	332.14	316.37	303.44	275.28	246.28	318.57	226.54	417.77	547.75	285.03	368.65	348.71	379.04	381.68	320.8	218.79	379.04	318.57	376.41	295.11	303.44	397.93	80.57
NUP160	139.07	171.45	144.01	152.28	88.26	104.42	460.44	191.67	312.0	165.57	536.45	733.19	303.44	450.94	320.8	476.71	299.25	480.04	406.31	343.89	441.64	470.14	414.87	466.88	551.56	412.0	525.39	314.17	389.72	397.93	373.81	389.72	444.72	379.04	351.14	356.05	500.46	529.06	368.65	454.09	518.15	493.56	559.28	603.67	348.71	447.82	423.61	503.95	336.79	406.31	420.68	373.81
OCLM	1.27	0.0	0.0	0.0	0.0	0.0	22.92	2.39	2.51	0.0	31.9	29.27	6.62	4.54	0.58	8.51	6.31	8.71	8.58	5.45	11.21	15.56	0.56	14.14	11.13	16.27	20.56	3.56	3.23	3.17	5.11	6.67	7.34	4.94	9.27	7.82	15.0	14.89	4.28	11.91	13.52	9.78	22.26	11.82	0.83	10.08	4.82	7.69	4.82	14.03	6.01	0.0
OTUD3	35.76	21.94	3.99	27.44	32.82	24.63	181.28	33.06	57.49	56.28	98.04	146.03	43.02	66.65	87.65	68.55	42.71	141.02	66.65	50.63	56.28	90.14	73.03	87.65	166.73	100.83	126.12	72.01	214.27	74.06	68.55	95.34	70.51	57.08	59.97	58.3	76.17	82.87	73.03	74.58	72.01	75.64	87.65	69.52	52.08	90.77	65.26	154.42	51.35	53.57	125.24	20.11
PHF8	87.03	111.99	63.89	98.04	124.37	67.12	397.93	152.28	217.27	140.04	353.59	323.03	152.28	224.97	164.42	291.04	178.77	312.0	265.87	175.07	202.66	323.03	221.86	412.0	376.41	281.09	323.03	226.54	215.77	246.28	239.52	186.4	246.28	185.11	279.14	189.02	320.8	392.44	201.25	291.04	346.29	318.57	316.37	341.51	166.73	301.33	277.2	289.02	195.72	265.87	260.38	89.51
PPIP5K1	92.05	80.57	106.63	275.28	138.1	139.07	583.07	105.89	384.34	171.45	514.56	473.41	343.89	361.04	334.46	435.55	269.6	406.31	256.78	273.37	363.56	540.19	435.55	497.0	660.68	656.11	432.53	283.05	363.56	356.05	299.25	368.65	454.09	260.38	551.56	339.14	583.07	660.68	275.28	656.11	571.05	389.72	583.07	921.88	376.41	497.0	384.34	543.96	361.04	361.04	303.44	36.79
RNFT1	173.85	85.82	45.85	115.97	71.0	33.06	656.11	186.4	172.65	109.66	314.17	325.29	242.88	287.01	237.86	295.11	234.57	417.77	197.09	234.57	127.89	341.51	295.11	299.25	346.29	295.11	327.56	176.29	241.19	229.72	264.03	144.01	325.29	145.02	201.25	171.45	307.69	301.33	297.17	400.71	248.0	249.73	392.44	371.22	264.03	309.83	339.14	403.5	198.47	223.41	291.04	176.29
SREK1	191.67	221.86	169.07	170.25	43.94	164.42	1583.71	392.44	620.67	358.54	1950.0	1709.26	656.11	1037.29	591.22	1242.34	642.59	1529.73	872.1	954.43	921.88	1340.84	1088.92	1268.46	1583.71	1331.57	1583.71	753.83	1001.93	1159.07	1127.35	819.3	1199.98	703.28	1111.82	753.83	1572.76	1721.16	909.17	1508.65	1407.55	1313.23	1407.55	1651.0	733.19	1477.58	764.36	1991.0	713.11	1044.52	1350.18	397.93
SRSF11	708.18	466.88	325.29	287.01	161.02	583.07	6250.56	1199.98	1844.76	1081.39	5672.41	4512.4	1651.0	2303.12	2255.7	3325.99	1628.26	3564.78	2591.27	3018.3	2935.74	4123.49	3018.3	3419.52	4328.55	3060.45	4095.0	2133.97	3349.13	3419.52	3349.13	2537.92	2835.7	2796.65	1936.53	1991.0	4869.99	4181.07	2255.7	3257.52	4388.98	3395.89	2645.74	3742.05	2004.85	3742.05	1909.85	4769.75	2485.67	3168.41	4038.61	848.22
TAS2R4	0.0	0.0	0.0	0.0	0.0	0.0	44.25	0.0	3.35	5.96	27.44	26.47	2.66	5.32	7.57	9.63	5.82	18.56	10.24	5.5	8.13	1.25	10.16	30.34	12.45	6.52	11.13	8.06	18.29	7.75	7.06	8.45	7.75	9.7	0.59	7.57	12.27	18.97	2.86	14.67	4.94	12.74	15.0	6.46	3.89	4.58	5.02	7.94	11.64	3.53	14.89	1.99
TG	2915.45	66.18	94.67	106.63	432.53	490.14	280957.98	610654.84	834179.46	663619.99	496005.67	1264380.15	1393227.06	2068278.89	1085552.95	2247670.86	751804.53	2126426.15	1751305.3	2375828.71	1611529.43	1611529.43	1622738.51	1739208.14	1838374.44	1997825.68	1997825.68	1139523.1	1984025.69	2986448.72	1567462.05	2425749.94	1929772.37	1327240.99	1943195.01	1622738.51	1727194.55	1336472.68	2636147.11	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	2263304.65	2672946.37	1514068.5	1864037.21	10.55
TMEM131	236.21	155.5	69.03	208.38	158.79	135.24	450.94	264.03	297.17	161.02	420.68	493.56	283.05	309.83	295.11	271.48	275.28	426.57	312.0	265.87	287.01	353.59	346.29	381.68	426.57	343.89	379.04	271.48	325.29	314.17	320.8	329.84	309.83	248.0	277.2	295.11	389.72	371.22	246.28	334.46	387.02	363.56	348.71	353.59	248.0	361.04	255.0	432.53	241.19	303.44	334.46	204.07
TNRC6A	82.87	94.67	26.1	152.28	96.68	115.97	728.11	191.67	295.11	181.28	769.69	769.69	234.57	361.04	231.32	529.06	187.71	607.87	255.0	244.57	441.64	551.56	429.54	476.71	486.75	447.82	450.94	329.84	307.69	438.59	409.15	297.17	432.53	327.56	387.02	256.78	518.15	587.13	366.09	476.71	599.49	454.09	441.64	599.49	299.25	463.65	325.29	555.41	334.46	314.17	476.71	132.44
TSSK4	4.7	9.41	0.82	6.26	3.0	2.68	64.8	8.25	18.43	3.5	113.56	66.65	12.83	23.42	11.13	77.25	12.36	67.59	28.45	14.78	35.76	77.79	21.32	72.01	66.65	55.1	65.72	21.94	19.11	13.12	31.22	24.28	48.87	9.48	30.78	17.9	97.36	82.87	26.67	51.35	73.03	65.72	50.63	73.54	21.47	57.08	31.0	98.04	8.32	16.75	41.81	1.79
ZC3HAV1L	11.55	9.06	0.8	7.4	11.04	4.17	59.55	18.43	51.35	28.04	145.02	126.12	30.78	63.45	37.85	64.34	18.29	135.24	36.01	37.32	51.35	63.0	62.56	73.54	120.1	63.45	118.43	34.02	33.78	43.32	49.21	31.67	58.71	30.78	49.21	24.28	125.24	90.77	54.33	115.97	73.03	108.9	63.45	138.1	30.12	127.89	47.84	109.66	29.7	59.55	78.34	3.41
ZNF785	40.64	33.54	16.88	73.03	45.53	129.69	236.21	131.51	132.44	144.01	199.85	215.77	144.01	130.6	148.09	170.25	121.79	197.09	171.45	120.94	162.14	100.83	137.14	185.11	242.88	142.01	197.09	139.07	171.45	106.63	133.36	143.01	136.19	178.77	127.89	144.01	161.02	199.85	128.79	236.21	185.11	159.9	137.14	190.34	104.42	144.01	178.77	175.07	136.19	122.64	193.01	50.98
