	TCGA.38.4625.01A.01R.1206.07	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.ET.A39S.01A.11R.A19O.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.QV44.0826.SM.2S1RG	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
ATXN7L1	0.0	90.14	71.0	102.25	76.71	80.01	105.15	78.89	97.36	120.94	97.36	112.77	50.98	63.0	95.34	105.89	67.12	147.06	138.1	279.14	140.04	177.53	208.38	175.07	154.42	183.82	163.28	202.66	141.02	161.02	205.5	178.77	140.04	181.28	118.43	211.31	198.47	151.22	131.51	148.09	165.57	134.3	141.02	134.3	141.02	162.14	199.85	133.36	124.37	127.0	209.84	167.9	96.68	185.11	139.07	158.79	138.1
BAG2	0.0	115.16	191.67	101.54	84.04	217.27	221.86	77.25	232.94	279.14	242.88	162.14	110.43	159.9	228.13	246.28	187.71	287.01	358.54	674.59	283.05	241.19	215.77	264.03	371.22	412.0	223.41	260.38	273.37	303.44	325.29	244.57	336.79	194.36	190.34	341.51	346.29	363.56	287.01	343.89	327.56	303.44	389.72	379.04	503.95	253.23	293.07	287.01	316.37	314.17	356.05	244.57	389.72	332.14	198.47	336.79	325.29
BBS7	0.0	89.51	132.44	108.9	143.01	127.0	114.36	102.25	135.24	126.12	155.5	147.06	98.04	117.6	129.69	132.44	124.37	198.47	283.05	198.47	159.9	190.34	224.97	120.1	223.41	166.73	183.82	180.02	189.02	148.09	183.82	239.52	195.72	157.68	197.09	220.32	177.53	147.06	221.86	197.09	163.28	166.73	153.34	204.07	223.41	139.07	258.57	172.65	206.94	171.45	320.8	176.29	178.77	170.25	123.5	239.52	166.73
BEX2	0.0	2104.58	2004.85	1794.29	2739.08	3372.43	2417.67	4152.18	2032.85	1359.57	2664.15	1769.57	2240.11	1183.45	2240.11	1936.53	3280.18	3081.75	6381.92	8305.36	5672.41	2855.44	5076.84	1794.29	5831.91	4066.71	4639.29	3190.46	2758.13	3982.99	4607.24	3665.02	3303.0	3257.52	5633.22	4328.55	3124.78	5517.27	3280.18	4038.61	2047.0	4869.99	3768.09	4298.64	3039.3	4543.8	5292.48	3325.99	3235.01	4736.79	2935.74	3820.7	4903.87	4152.18	6652.97	5219.6	5517.27
BEX4	0.0	2976.74	2591.27	2090.03	2835.7	4010.71	3081.75	3955.48	2209.26	1844.76	2720.15	2591.27	3212.66	1963.57	2255.7	2976.74	3060.45	4010.71	7280.4	8598.28	4239.45	2915.45	4152.18	1870.53	5255.91	3874.05	4639.29	2835.7	2255.7	4512.4	3874.05	3103.19	3928.15	3168.41	6037.61	3589.58	3540.14	5594.3	4358.66	3443.31	2090.03	6337.83	6164.49	4450.27	2303.12	4123.49	5441.3	3325.99	3614.55	3794.3	3419.52	2915.45	5711.87	3491.39	5403.7	5517.27	5711.87
BHLHB9	0.0	51.35	33.3	29.7	45.53	64.8	41.52	49.91	47.5	40.64	54.72	59.13	27.05	38.95	65.26	45.85	62.12	166.73	121.79	167.9	63.0	70.51	92.7	68.55	93.35	182.55	102.25	87.65	53.95	110.43	98.04	73.03	99.43	81.14	77.25	93.35	105.89	108.9	133.36	59.97	48.18	94.01	98.73	76.71	85.22	76.17	100.83	82.87	60.82	72.01	135.24	96.01	87.03	71.5	109.66	129.69	105.89
BIVM	0.0	223.41	157.68	98.73	162.14	189.02	220.32	109.66	228.13	137.14	199.85	165.57	144.01	183.82	167.9	139.07	166.73	397.93	273.37	336.79	185.11	239.52	273.37	251.48	267.73	392.44	348.71	303.44	208.38	265.87	239.52	205.5	289.02	273.37	253.23	253.23	221.86	312.0	348.71	172.65	170.25	262.2	297.17	236.21	242.88	173.85	228.13	236.21	127.0	223.41	341.51	199.85	242.88	244.57	264.03	234.57	316.37
BLOC1S6	441.64	346.29	473.41	348.71	460.44	529.06	503.95	511.0	536.45	480.04	503.95	599.49	403.5	438.59	620.67	470.14	547.75	1104.13	1340.84	1322.37	769.69	733.19	884.29	638.15	1143.1	1135.2	974.5	656.11	532.74	1066.48	791.35	563.18	775.05	780.44	802.41	921.88	854.13	1001.93	981.29	679.29	500.46	1066.48	1151.06	629.35	529.06	688.78	928.3	854.13	679.29	854.13	854.13	854.13	679.29	836.53	866.07	1175.27	1008.9
BSN	0.0	5.06	3.03	2.73	6.62	7.0	2.2	5.28	7.75	2.58	6.62	9.34	3.63	3.72	10.71	4.54	4.58	13.42	8.78	14.14	5.87	6.31	7.63	5.92	8.78	6.52	16.39	10.0	9.2	15.0	9.93	6.16	17.77	14.78	8.0	11.73	8.32	17.77	12.27	5.45	5.15	12.83	9.41	3.76	6.21	9.34	16.15	11.3	1.48	12.64	15.8	6.11	5.15	8.25	25.54	18.29	14.35
C14orf142	0.0	197.09	212.78	165.57	186.4	239.52	299.25	205.5	232.94	226.54	249.73	183.82	214.27	221.86	185.11	206.94	226.54	269.6	454.09	295.11	231.32	279.14	244.57	281.09	454.09	397.93	356.05	285.03	269.6	389.72	351.14	237.86	346.29	334.46	353.59	316.37	262.2	417.77	275.28	281.09	305.55	444.72	426.57	376.41	353.59	251.48	244.57	287.01	358.54	329.84	251.48	255.0	414.87	389.72	312.0	454.09	457.25
C15orf65	0.0	63.0	56.28	36.27	28.24	50.27	119.26	51.35	68.55	48.18	74.58	37.05	63.89	93.35	41.81	49.21	50.63	162.14	124.37	118.43	72.52	121.79	84.04	120.94	72.01	155.5	111.21	96.68	104.42	102.25	112.77	94.67	75.64	92.7	55.89	85.22	116.78	120.94	115.16	123.5	98.04	100.83	128.79	159.9	198.47	76.17	55.89	72.01	127.89	143.01	115.97	84.04	100.83	85.22	109.66	114.36	140.04
C20orf96	129.69	256.78	217.27	180.02	307.69	249.73	228.13	299.25	249.73	176.29	253.23	289.02	249.73	161.02	283.05	255.0	387.02	525.39	540.19	728.11	336.79	414.87	511.0	339.14	518.15	575.03	733.19	420.68	316.37	642.59	490.14	397.93	743.43	540.19	674.59	693.58	417.77	435.55	723.08	334.46	444.72	511.0	587.13	497.0	460.44	325.29	780.44	226.54	332.14	346.29	974.5	341.51	373.81	406.31	981.29	607.87	713.11
C2CD5	0.0	307.69	301.33	130.6	420.68	432.53	332.14	444.72	397.93	285.03	346.29	406.31	348.71	253.23	389.72	409.15	460.44	1135.2	665.29	775.05	429.54	607.87	607.87	599.49	769.69	872.1	954.43	656.11	457.25	624.99	551.56	674.59	728.11	842.36	583.07	629.35	607.87	688.78	819.3	518.15	500.46	642.59	738.29	507.46	511.0	406.31	728.11	493.56	460.44	713.11	967.76	620.67	551.56	466.88	743.43	660.68	785.88
C3orf18	0.0	262.2	112.77	94.67	137.14	246.28	154.42	246.28	183.82	189.02	199.85	204.07	138.1	114.36	241.19	301.33	195.72	525.39	447.82	363.56	265.87	373.81	343.89	218.79	325.29	551.56	483.38	403.5	339.14	447.82	547.75	332.14	518.15	547.75	312.0	511.0	368.65	420.68	500.46	307.69	327.56	435.55	444.72	397.93	265.87	291.04	320.8	248.0	232.94	293.07	409.15	379.04	353.59	166.73	466.88	426.57	583.07
C3orf55	0.0	107.38	49.56	49.56	19.68	36.01	77.79	43.94	90.14	53.57	83.45	73.54	28.86	26.67	65.26	105.15	70.51	237.86	791.35	872.1	152.28	226.54	113.56	470.14	813.63	158.79	854.13	183.82	417.77	665.29	246.28	289.02	287.01	279.14	239.52	341.51	624.99	299.25	473.41	159.9	450.94	346.29	353.59	406.31	473.41	148.09	571.05	130.6	341.51	567.1	438.59	497.0	208.38	76.71	514.56	441.64	808.0
C4orf22	0.0	6.31	2.05	2.39	2.36	22.59	0.0	2.56	0.97	1.08	2.34	0.39	0.0	0.53	14.03	4.5	6.57	66.18	46.84	51.71	6.57	13.32	19.82	19.53	28.24	49.91	24.99	18.43	16.75	90.14	14.45	21.16	18.16	31.9	20.86	47.5	8.19	5.23	13.52	22.1	8.85	9.85	33.3	8.06	26.67	32.36	24.63	13.42	12.83	58.3	53.57	14.14	21.16	6.73	45.53	36.79	47.84
C4orf33	0.0	115.16	226.54	102.97	171.45	165.57	197.09	105.15	111.99	127.0	198.47	177.53	95.34	120.94	178.77	191.67	124.37	429.54	438.59	497.0	291.04	361.04	231.32	237.86	371.22	361.04	497.0	221.86	305.55	503.95	265.87	376.41	281.09	269.6	281.09	599.49	325.29	429.54	457.25	363.56	368.65	466.88	384.34	450.94	647.07	221.86	343.89	251.48	305.55	409.15	432.53	316.37	299.25	186.4	223.41	547.75	638.15
CASC1	0.0	27.84	37.32	21.78	54.33	44.25	57.89	52.08	28.86	23.59	57.08	29.91	18.03	28.04	39.79	25.54	53.19	157.68	148.09	177.53	49.21	62.12	99.43	53.57	132.44	185.11	175.07	84.63	82.87	148.09	123.5	105.89	105.15	106.63	100.83	201.25	72.01	145.02	121.79	74.06	52.82	83.45	190.34	102.25	90.14	96.01	137.14	66.65	84.63	91.41	142.01	108.14	105.89	38.95	144.01	116.78	144.01
CCDC146	0.0	85.82	63.0	34.02	91.41	93.35	106.63	85.22	75.64	61.25	115.97	75.11	68.55	52.82	70.01	87.03	185.11	575.03	1044.52	698.41	212.78	329.84	1397.83	178.77	660.68	1806.78	748.61	511.0	211.31	1259.69	603.67	486.75	934.76	728.11	486.75	1208.34	684.02	450.94	830.75	423.61	316.37	660.68	1487.87	480.04	332.14	500.46	703.28	214.27	346.29	612.11	1447.15	466.88	320.8	295.11	947.83	660.68	1191.69
CCDC158	0.0	3.99	7.82	6.89	7.17	16.39	11.73	14.03	16.03	10.47	13.12	18.43	6.46	16.15	12.64	11.73	7.11	48.52	29.7	45.53	34.02	57.49	63.45	30.56	32.13	56.28	14.89	38.12	29.91	30.56	53.95	45.53	10.88	18.84	24.99	36.27	39.79	87.65	25.72	17.77	21.78	28.45	11.21	25.91	27.05	71.5	70.01	33.54	15.22	34.51	75.11	53.19	14.67	34.75	16.75	54.33	19.53
CCDC170	0.0	30.78	14.35	20.11	39.5	13.72	60.82	26.86	31.0	26.1	50.98	30.34	14.89	21.16	15.68	32.13	47.84	279.14	334.46	241.19	82.29	63.0	156.59	35.25	156.59	291.04	214.27	66.18	68.55	220.32	108.9	58.3	158.79	295.11	166.73	237.86	182.55	325.29	193.01	113.56	76.71	152.28	220.32	36.79	143.01	38.95	154.42	72.01	31.45	57.08	234.57	77.25	85.22	65.72	229.72	201.25	301.33
CCDC30	0.0	82.29	80.01	63.0	102.25	95.34	94.67	100.13	112.77	73.03	96.01	104.42	59.97	64.34	108.14	92.7	135.24	454.09	180.02	414.87	152.28	194.36	185.11	177.53	260.38	395.18	332.14	234.57	127.0	309.83	249.73	193.01	289.02	236.21	297.17	303.44	158.79	353.59	214.27	151.22	126.12	236.21	244.57	161.02	120.1	147.06	307.69	120.94	133.36	228.13	389.72	167.9	242.88	269.6	314.17	297.17	329.84
CCDC36	0.0	4.17	3.23	3.29	4.54	6.31	11.04	6.31	4.98	5.45	7.82	7.75	2.48	4.9	3.76	7.75	7.82	37.05	14.89	11.91	13.72	22.92	37.85	31.22	11.38	54.33	37.32	16.51	9.63	15.91	30.56	14.89	26.28	38.95	18.29	28.24	38.67	25.91	23.93	11.04	12.55	18.97	28.04	17.13	11.82	13.32	55.1	18.29	5.82	17.38	64.34	9.48	9.63	8.92	10.71	20.26	39.22
CCDC81	0.0	12.36	6.84	4.1	14.03	9.56	13.52	7.06	6.57	5.68	5.11	14.89	10.71	8.06	5.59	16.75	21.47	93.35	26.67	68.55	7.57	27.25	21.94	23.76	21.94	39.22	40.36	38.67	21.47	50.27	31.22	37.85	37.32	21.47	23.93	45.21	24.99	49.91	43.02	21.01	24.81	51.35	37.85	23.93	12.64	13.42	68.07	18.43	21.16	12.09	61.68	12.83	16.27	23.08	20.71	22.26	69.52
CDKN1B	0.0	532.74	836.53	563.18	373.81	954.43	769.69	866.07	603.67	638.15	836.53	791.35	718.08	698.41	769.69	583.07	808.0	947.83	1529.73	1477.58	708.18	656.11	1001.93	995.0	1697.45	1088.92	1388.16	860.08	497.0	1605.83	698.41	796.86	1127.35	1135.2	1127.35	1417.35	1008.9	988.12	1191.69	665.29	514.56	1242.34	1340.84	669.92	651.58	796.86	1242.34	579.04	536.45	718.08	1447.15	633.73	878.17	1059.11	1037.29	1143.1	1073.91
CEP290	0.0	87.65	90.14	62.56	122.64	123.5	134.3	92.05	127.0	63.89	88.88	119.26	102.97	78.34	104.42	127.0	113.56	301.33	167.9	273.37	120.94	151.22	162.14	135.24	159.9	253.23	224.97	146.03	120.94	190.34	162.14	178.77	197.09	201.25	175.07	186.4	144.01	182.55	193.01	150.17	118.43	197.09	218.79	116.78	155.5	144.01	197.09	148.09	94.01	145.02	242.88	150.17	173.85	180.02	206.94	186.4	237.86
CEP97	0.0	28.24	26.1	12.55	52.82	48.18	40.07	47.5	44.57	28.65	43.02	61.25	30.34	34.51	47.17	55.49	33.78	94.01	72.01	75.64	32.36	32.36	50.27	48.52	41.81	60.39	53.57	49.21	34.02	62.56	43.32	51.71	55.49	65.26	38.12	60.82	55.89	43.32	66.18	37.05	33.78	39.79	64.34	37.59	51.71	39.79	72.52	44.25	26.28	40.64	102.97	45.85	44.89	48.87	49.56	60.39	45.21
CLK1	0.0	2502.97	2777.33	1651.0	2104.58	2956.17	2739.08	2627.46	2451.44	2004.85	1135.2	2468.49	2384.37	1639.59	1781.89	1883.54	3768.09	4639.29	2701.35	9279.58	2255.7	2224.63	2777.33	2627.46	3690.52	5183.54	5006.93	2609.3	1457.23	3257.52	1977.24	2287.2	3665.02	3540.14	5076.84	3395.89	2047.0	3280.18	3564.78	1662.49	2119.22	3768.09	4123.49	3124.78	2018.8	2224.63	4972.34	2434.5	1909.85	2485.67	4543.8	2090.03	3419.52	4181.07	3874.05	2835.7	3794.3
CLUL1	0.0	30.56	10.0	6.41	25.17	9.13	36.27	6.57	33.54	23.25	40.36	25.91	6.73	16.75	23.93	49.21	50.27	463.65	244.57	708.18	224.97	145.02	115.97	44.89	703.28	599.49	343.89	208.38	197.09	612.11	450.94	289.02	420.68	269.6	265.87	547.75	208.38	819.3	447.82	281.09	246.28	733.19	348.71	285.03	89.51	155.5	376.41	158.79	275.28	138.1	429.54	323.03	143.01	271.48	312.0	1127.35	366.09
CNNM4	351.14	92.7	143.01	141.02	177.53	118.43	115.97	159.9	198.47	191.67	146.03	224.97	92.05	147.06	198.47	147.06	202.66	503.95	412.0	429.54	195.72	239.52	264.03	260.38	234.57	309.83	417.77	239.52	166.73	309.83	283.05	187.71	429.54	417.77	281.09	279.14	323.03	339.14	500.46	147.06	205.5	420.68	384.34	150.17	171.45	193.01	454.09	209.84	113.56	226.54	414.87	156.59	279.14	267.73	389.72	343.89	389.72
COL4A6	0.0	10.47	6.67	0.91	1.31	7.34	2.73	5.15	5.73	3.11	4.31	6.26	3.0	1.5	3.29	6.31	10.24	78.34	37.59	49.91	22.92	22.43	20.56	3.82	12.83	53.95	27.44	35.25	24.99	50.27	77.25	46.18	44.25	27.44	21.94	41.22	6.67	23.93	74.06	9.48	19.39	21.78	25.54	14.67	19.53	15.91	30.78	24.81	9.2	16.88	20.86	34.02	12.0	3.35	48.87	22.75	57.89
COX20	0.0	1359.57	1208.34	836.53	1081.39	1175.27	1191.69	1295.13	1023.0	802.41	1127.35	954.43	872.1	698.41	902.89	1477.58	1135.2	2287.2	2502.97	1991.0	2061.24	1605.83	1963.57	1844.76	2224.63	1950.0	2319.15	1199.98	1781.89	2133.97	1991.0	1508.65	1498.22	1950.0	1572.76	2240.11	1369.04	2163.77	1857.6	1572.76	2468.49	2468.49	2384.37	2468.49	2287.2	1369.04	1628.26	1277.29	1806.78	2240.11	1697.45	1991.0	1819.35	1487.87	1832.01	2627.46	3124.78
CPXM1	0.0	133.36	79.45	12.83	71.0	33.06	40.93	32.82	21.01	16.75	40.64	171.45	51.35	195.72	64.34	187.71	133.36	6840.04	2997.45	3742.05	1359.57	187.71	1059.11	10.16	406.31	131.51	1685.71	244.57	264.03	2701.35	575.03	1447.15	1088.92	2351.53	860.08	4268.94	1051.79	2335.28	4575.41	371.22	197.09	2061.24	2271.4	753.83	1561.89	624.99	1051.79	571.05	921.88	162.14	2303.12	147.06	555.41	536.45	1369.04	1857.6	327.56
CXorf22	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.09	0.0	0.0	0.0	0.0	1.22	8.51	6.01	7.17	3.06	2.25	3.99	1.87	5.82	2.16	5.73	2.66	4.7	7.51	4.86	1.39	3.96	2.68	2.97	10.63	4.43	5.96	8.06	5.73	3.35	5.32	3.35	3.11	4.35	6.57	6.06	4.13	1.71	2.78	14.03	10.31	0.89	0.0	5.36	5.06	5.41
DEPDC4	0.0	10.79	11.47	14.03	19.39	13.83	14.56	51.35	13.62	17.51	14.45	11.04	5.02	10.88	12.83	8.92	26.47	50.27	43.02	53.57	16.03	24.46	36.01	19.82	39.22	40.93	50.98	26.47	29.27	32.36	31.45	25.91	35.76	29.7	37.05	20.56	40.93	41.22	42.71	15.68	34.26	38.67	12.64	20.56	10.24	22.92	42.41	22.26	18.7	29.7	53.57	8.13	22.1	5.82	29.7	38.4	41.52
DFNB31	0.0	107.38	88.26	120.94	176.29	134.3	107.38	173.85	140.04	171.45	98.73	157.68	81.71	171.45	191.67	149.12	155.5	170.25	152.28	447.82	140.04	206.94	267.73	103.69	175.07	242.88	234.57	244.57	214.27	206.94	177.53	218.79	221.86	301.33	320.8	258.57	170.25	255.0	215.77	198.47	161.02	228.13	202.66	171.45	176.29	217.27	339.14	164.42	242.88	180.02	400.71	190.34	241.19	258.57	236.21	197.09	212.78
DNAAF1	0.0	13.42	10.71	8.85	38.12	13.52	50.63	6.11	19.39	36.79	17.9	28.24	22.75	15.8	10.96	5.36	44.89	275.28	176.29	320.8	70.01	75.11	175.07	107.38	373.81	397.93	483.38	175.07	37.05	318.57	114.36	155.5	346.29	277.2	389.72	412.0	170.25	180.02	198.47	52.45	38.95	217.27	323.03	130.6	46.18	44.89	540.19	58.71	45.21	72.52	743.43	191.67	71.0	126.12	759.08	156.59	381.68
