	GTEX.13FLV.1126.SM.5J2NO	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	GTEX.13O3P.1026.SM.5N9E7	GTEX.1128S.0726.SM.5N9D6	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.11OF3.1126.SM.5986C	TCGA.56.8082.11A.01R.2247.07
C2orf47	185.11	934.76	1498.22	733.19	1304.15	1540.37	1313.23	759.08	1066.48	738.29	961.07	1159.07	1135.2	1023.0	1322.37	1159.07	629.35	1487.87	1286.18	1167.14	1081.39	1781.89	0.0	183.82	228.13	145.02	153.34	163.28	346.29
CIDEB	633.73	11267.44	48307.85	8479.89	8778.97	22535.88	18819.27	934.76	4450.27	4903.87	11112.3	21172.91	22692.63	12676.65	15392.14	9673.69	1199.98	16269.83	8840.04	23169.48	12589.08	10883.59	0.0	244.57	718.08	55.89	44.57	9.78	239.52
CPT2	147.06	1832.01	2835.7	1250.98	1870.53	2287.2	2537.92	1104.13	1781.89	1359.57	1191.69	2664.15	3768.09	3039.3	1794.29	2609.3	373.81	2104.58	1594.73	2645.74	1794.29	3491.39	0.0	197.09	209.84	111.21	98.04	72.52	156.59
CYP2J2	239.52	3235.01	6561.36	267.73	2573.36	13586.57	4481.23	813.63	1167.14	1208.34	1233.75	6079.61	4937.99	5147.73	2777.33	3325.99	559.28	4481.23	1651.0	2835.7	4769.75	11584.24	0.0	60.82	96.68	18.43	31.45	17.51	75.11
DARS2	75.64	189.02	381.68	226.54	246.28	246.28	325.29	129.69	142.01	232.94	150.17	269.6	305.55	255.0	190.34	204.07	110.43	226.54	189.02	156.59	229.72	409.15	0.0	109.66	100.13	117.6	114.36	79.45	88.88
DDC	22.26	1242.34	2104.58	23.25	738.29	2335.28	2075.59	55.1	299.25	54.33	830.75	1127.35	1977.24	3349.13	2133.97	1605.83	40.07	1832.01	2645.74	3190.46	1135.2	3124.78	0.0	1.79	0.0	53.19	19.97	27.64	18.7
DERA	420.68	1225.22	3235.01	988.12	1883.54	2209.26	2061.24	642.59	988.12	1143.1	872.1	1594.73	1819.35	1857.6	1628.26	1508.65	555.41	1709.26	1745.2	1268.46	1651.0	2956.17	0.0	532.74	473.41	356.05	346.29	195.72	638.15
DHFR	189.02	559.28	1044.52	206.94	348.71	808.0	921.88	141.02	279.14	493.56	260.38	738.29	679.29	848.22	518.15	511.0	185.11	679.29	536.45	575.03	723.08	896.64	483.38	100.13	65.26	66.18	79.45	87.03	123.5
ECI2	529.06	6516.03	8022.41	1857.6	4769.75	9088.59	11189.6	1769.57	3018.3	3235.01	2645.74	7911.95	9474.59	6516.03	8538.88	6337.83	1561.89	6561.36	5672.41	7081.29	6037.61	8718.32	0.0	842.36	1159.07	361.04	353.59	172.65	842.36
ESD	1447.15	3794.3	5479.15	3146.52	3168.41	4388.98	5041.77	2032.85	2609.3	2384.37	2701.35	4836.35	4639.29	4152.18	3768.09	3928.15	1745.2	4066.71	3874.05	3639.7	3395.89	5672.41	0.0	1844.76	1662.49	866.07	934.76	563.18	1923.14
ETFDH	555.41	2367.9	6207.38	743.43	4152.18	5366.37	4095.0	1417.35	3665.02	1628.26	1467.37	6079.61	5831.91	4671.57	1733.13	3982.99	688.78	2915.45	1487.87	5006.93	3847.29	8305.36	234.57	239.52	223.41	346.29	387.02	248.0	309.83
FAM96A	493.56	3257.52	4704.07	1277.29	4181.07	4903.87	4671.57	2240.11	3280.18	3124.78	2287.2	3491.39	2720.15	4181.07	4802.93	2915.45	1745.2	3874.05	2956.17	3847.29	4903.87	5366.37	0.0	1001.93	988.12	476.71	848.22	503.95	567.1
FBXO8	217.27	563.18	1073.91	547.75	808.0	1208.34	620.67	267.73	334.46	376.41	242.88	791.35	1806.78	791.35	599.49	830.75	384.34	884.29	444.72	878.17	575.03	1225.22	0.0	305.55	334.46	258.57	285.03	150.17	258.57
GOT2	1467.37	5112.16	9215.48	2061.24	6561.36	8363.13	10512.82	2434.5	5147.73	4802.93	4210.15	11424.74	8718.32	5954.47	5995.9	5403.7	1467.37	8191.0	5479.15	7280.4	5255.91	10440.2	0.0	1127.35	902.89	532.74	368.65	423.61	718.08
GPD1	4.94	1104.13	5255.91	988.12	1135.2	2075.59	4937.99	19.82	532.74	490.14	2502.97	2018.8	7857.29	6037.61	2935.74	2796.65	31.22	1313.23	5112.16	4010.71	2271.4	4010.71	0.0	151.22	132.44	158.79	253.23	460.44	258.57
HADH	743.43	2835.7	3874.05	1487.87	2997.45	5872.48	6381.92	934.76	2434.5	1857.6	1757.34	4836.35	4869.99	5006.93	4123.49	2609.3	802.41	4181.07	2796.65	7803.01	3395.89	9740.98	0.0	529.06	703.28	283.05	435.55	241.19	616.37
HADHA	1769.57	4239.45	7130.55	3639.7	4298.64	5633.22	4671.57	3235.01	4607.24	3212.66	3955.48	5255.91	7230.1	5594.3	3794.3	5329.3	2319.15	5076.84	4123.49	5594.3	4639.29	7589.61	0.0	1909.85	2047.0	1340.84	1286.18	1233.75	2032.85
HADHB	1467.37	4903.87	8598.28	3039.3	4607.24	9945.68	5633.22	3982.99	6207.38	3190.46	3491.39	7537.18	8538.88	6840.04	4152.18	5751.61	2193.99	6164.49	4038.61	6792.79	4972.34	9876.98	0.0	1369.04	1561.89	1295.13	1277.29	981.29	1561.89
HP	17.64	6183532.28	6014443.23	5972898.43	3.671840259E7	1.654623811E7	3.174442598E7	6719860.18	1.410789979E7	4252853.3	1.533154663E7	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	2186208.16	1.325469274E7	1.512047268E7	2.614442391E7	1.381756339E7	9838451.64	0.0	1697.45	201440.3	329.84	583.07	90.77	1167.14
HSD17B4	2104.58	9740.98	12415.75	3982.99	9808.75	14765.09	13306.94	4937.99	8022.41	9673.69	6079.61	14971.21	11992.79	11504.21	9279.58	9215.48	4358.66	13968.57	14561.8	11827.67	16383.0	27553.49	0.0	3018.3	3614.55	2163.77	2032.85	1963.57	3146.52
HSDL2	384.34	1769.57	4937.99	669.92	2976.74	3039.3	2935.74	808.0	1322.37	1721.16	988.12	3018.3	3280.18	2739.08	1794.29	2645.74	397.93	2609.3	1819.35	2915.45	2193.99	5672.41	0.0	507.46	575.03	486.75	316.37	423.61	555.41
IARS2	647.07	1259.69	1467.37	1008.9	1417.35	1844.76	1806.78	1111.82	1143.1	1250.98	753.83	1950.0	1437.15	1508.65	1322.37	1175.27	591.22	1662.49	1277.29	1322.37	1216.75	2645.74	0.0	493.56	540.19	262.2	341.51	316.37	583.07
MOCS2	507.46	1583.71	2047.0	591.22	2090.03	2224.63	2075.59	723.08	1651.0	1674.06	860.08	1991.0	1477.58	1519.15	2287.2	1457.23	1250.98	2133.97	2133.97	1909.85	2451.44	3212.66	0.0	314.17	620.67	529.06	708.18	1015.93	651.58
MRPL37	1044.52	2816.11	5041.77	2104.58	2502.97	4210.15	3325.99	2555.58	2645.74	1844.76	2417.67	3564.78	3190.46	4010.71	2417.67	3325.99	1313.23	4066.71	2875.3	4095.0	2520.38	4419.52	0.0	860.08	723.08	470.14	435.55	320.8	743.43
MRPL46	343.89	1757.34	3639.7	1268.46	1883.54	2555.58	2720.15	1183.45	2119.22	1427.22	1651.0	2178.83	2119.22	2434.5	1950.0	3039.3	866.07	2351.53	2209.26	2061.24	1794.29	3168.41	0.0	384.34	412.0	201.25	202.66	180.02	470.14
NDUFS2	2075.59	3540.14	5751.61	2609.3	3467.27	4836.35	3847.29	2956.17	3955.48	3395.89	2835.7	4388.98	4388.98	4298.64	3564.78	4268.94	2133.97	4095.0	3349.13	4038.61	3124.78	6250.56	1697.45	2502.97	2335.28	3190.46	2664.15	2591.27	1896.65
NIPSNAP1	470.14	4268.94	6935.54	2004.85	4181.07	6471.02	5831.91	1709.26	3303.0	2271.4	2956.17	6294.04	7081.29	8078.22	5147.73	5255.91	934.76	6699.25	5219.6	6745.86	5006.93	8901.53	2758.13	334.46	323.03	231.32	232.94	137.14	339.14
OCIAD2	764.36	3349.13	12589.08	555.41	1467.37	17317.18	8305.36	941.27	3168.41	2701.35	1313.23	6983.79	5076.84	6294.04	2255.7	5006.93	507.46	4450.27	2664.15	4298.64	6745.86	15499.21	0.0	400.71	303.44	346.29	305.55	339.14	866.07
PCTP	64.8	1216.75	2148.82	497.0	1407.55	2303.12	1572.76	400.71	1008.9	1023.0	1175.27	2061.24	2915.45	2417.67	1794.29	2090.03	361.04	1709.26	1662.49	2609.3	1628.26	2555.58	0.0	1001.93	813.63	69.03	125.24	145.02	303.44
PDZK1	10.63	2148.82	4704.07	381.68	2468.49	4769.75	3540.14	753.83	693.58	1119.56	579.04	3955.48	7130.55	3146.52	1437.15	1467.37	323.03	2104.58	915.51	1721.16	1769.57	4639.29	0.0	4.03	8.38	2.84	4.24	7.46	7.63
PEPD	651.58	2645.74	7230.1	3280.18	6121.9	5006.93	6381.92	854.13	2895.31	1806.78	3443.31	4937.99	7331.05	5329.3	5913.33	4937.99	748.61	3982.99	4450.27	7695.57	4152.18	4903.87	0.0	1119.56	825.0	587.13	665.29	802.41	1081.39
PIGP	267.73	981.29	1277.29	718.08	974.5	1127.35	1008.9	373.81	529.06	825.0	595.34	620.67	476.71	974.5	674.59	718.08	563.18	1051.79	1008.9	616.37	884.29	1088.92	0.0	334.46	318.57	244.57	145.02	197.09	371.22
PLA2G12B	2.53	1388.16	2032.85	92.05	3168.41	4607.24	2855.44	47.5	307.69	1388.16	1151.06	2303.12	3372.43	3190.46	2104.58	5219.6	20.56	2400.97	2609.3	2701.35	1662.49	3982.99	0.0	6.41	8.45	0.0	0.0	8.25	4.21
POLDIP2	1233.75	2555.58	4607.24	2591.27	2609.3	3395.89	3928.15	2935.74	2915.45	2591.27	2835.7	3690.52	4095.0	3540.14	3491.39	3280.18	1594.73	3168.41	3280.18	4639.29	3081.75	5403.7	0.0	1199.98	738.29	633.73	620.67	511.0	961.07
PPA2	1447.15	2090.03	3690.52	1378.57	2271.4	2351.53	2758.13	1508.65	1977.24	1806.78	1447.15	2240.11	1977.24	2367.9	1844.76	2133.97	1051.79	2224.63	2520.38	2520.38	2209.26	3639.7	0.0	1073.91	1225.22	915.51	848.22	466.88	1059.11
PRDX2	5076.84	7331.05	13399.51	4607.24	7331.05	7749.1	9876.98	8963.45	9279.58	6294.04	6840.04	10014.87	7911.95	10585.95	9088.59	8658.09	5183.54	9409.14	9025.81	7589.61	6607.01	11584.24	0.0	4704.07	2075.59	2018.8	2664.15	1605.83	2835.7
PXMP4	52.45	220.32	518.15	190.34	199.85	441.64	414.87	78.89	112.77	218.79	175.07	343.89	373.81	318.57	320.8	341.51	119.26	244.57	246.28	358.54	269.6	466.88	0.0	165.57	180.02	103.69	125.24	79.45	120.94
RAB4A	791.35	1175.27	2047.0	759.08	1359.57	1594.73	1388.16	848.22	808.0	954.43	1015.93	1540.37	1427.22	1487.87	1259.69	1662.49	480.04	1437.15	1159.07	2090.03	1096.5	2004.85	0.0	532.74	493.56	371.22	379.04	738.29	595.34
RETSAT	915.51	3372.43	3614.55	1369.04	3168.41	4152.18	3639.7	1286.18	1407.55	1295.13	3874.05	7130.55	8363.13	5366.37	3742.05	4066.71	974.5	2915.45	2664.15	4671.57	3955.48	6516.03	0.0	503.95	490.14	316.37	420.68	343.89	620.67
SCCPDH	127.0	1745.2	3901.01	1447.15	2758.13	5006.93	6164.49	890.44	1467.37	1605.83	1259.69	5672.41	4268.94	2271.4	1628.26	4903.87	599.49	3018.3	1733.13	1781.89	3794.3	11035.54	0.0	295.11	441.64	97.36	167.9	248.0	371.22
SDHB	1745.2	5441.3	13123.73	4328.55	9808.75	10512.82	8421.31	4239.45	8538.88	4181.07	5594.3	7749.1	9673.69	8022.41	8247.98	7433.4	2976.74	11035.54	8538.88	8363.13	7695.57	14971.21	0.0	1721.16	1322.37	890.44	1066.48	1359.57	1651.0
SDHC	2090.03	4607.24	8363.13	3540.14	4419.52	6337.83	6207.38	3982.99	4123.49	4543.8	3349.13	5594.3	7642.41	5594.3	5219.6	5183.54	1733.13	5954.47	4639.29	7331.05	4038.61	5995.9	0.0	1757.34	1769.57	1119.56	1037.29	830.75	2104.58
SLC16A13	24.11	540.19	1709.26	493.56	289.02	928.3	1051.79	173.85	1037.29	769.69	204.07	769.69	1639.59	2739.08	237.86	884.29	224.97	231.32	521.76	733.19	802.41	2664.15	0.0	81.71	67.59	102.97	108.9	40.36	33.54
TM4SF4	6.78	13399.51	34158.52	2796.65	27938.14	81809.59	47642.77	4972.34	6079.61	4010.71	7695.57	27363.16	43840.21	24660.96	15075.35	43537.38	3982.99	10883.59	13215.02	14461.21	8078.22	32540.65	0.0	1.43	0.0	3.26	6.11	6.46	25.91
UQCRC1	4268.94	7130.55	12589.08	4736.79	7537.18	11504.21	7966.99	6792.79	8718.32	5366.37	5751.61	8598.28	9808.75	8022.41	7382.04	7857.29	3589.58	10512.82	6121.9	9151.82	6471.02	14262.1	0.0	1977.24	2915.45	1832.01	1883.54	1397.83	2609.3
