	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0BJ.11A.23R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.T2IS.1526.SM.32QPR	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.14AS3.0126.SM.5Q5F4	GTEX.P78B.1326.SM.3P611	GTEX.13PVR.0126.SM.5S2PY	TCGA.38.4625.01A.01R.1206.07
C6orf195	0.95	0.34	0.71	4.31	0.0	0.35	0.32	0.34	1.03	1.19	0.96	0.0	1.57	0.96	2.41	0.61	2.78	0.68	0.96	0.0	1.14	0.78	0.93	0.93	0.99	13.03	3.44	5.23	6.73	1.39	3.29	3.35	3.76	6.57	6.41	7.46	4.13	1.46	2.43	11.3	5.15	2.39	3.32	2.18	6.41	2.81	3.59	0.96	7.4	2.51	3.56	5.11	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.53	1.1	0.52	0.39	0.0	0.0	0.0	0.0
C9orf131	1.68	1.45	0.4	0.69	0.0	3.26	1.35	1.08	0.75	3.69	5.02	0.71	3.69	0.38	1.48	0.0	0.0	5.96	0.38	3.23	0.34	0.85	0.0	0.0	2.73	6.26	0.4	1.6	2.27	1.87	1.57	6.16	1.79	3.47	4.46	4.62	0.77	6.84	3.66	5.02	1.19	3.11	9.2	5.06	7.94	5.23	1.99	2.53	0.1	0.0	0.27	4.1	0.0	0.78	0.0	0.0	0.0	0.0	1.06	0.0	0.93	6.41	1.85	0.0	1.22	1.6	0.64	0.77	0.0
CADM2	8.99	1.68	31.67	1.55	4.1	3.08	27.05	9.85	51.35	42.71	0.33	131.51	1.97	26.67	17.51	1.53	2.78	9.93	0.97	18.97	1.14	143.01	64.8	31.0	9.27	138.1	18.97	35.0	12.74	19.97	26.47	43.32	22.59	14.89	31.0	26.1	13.32	14.14	7.0	26.1	23.42	2.66	30.34	1.36	98.04	7.63	31.9	21.63	15.91	33.3	26.67	87.03	10.31	0.0	1.28	0.75	0.0	0.0	1.3	10.24	5.45	3.76	2.94	9.41	1.08	1.23	0.78	1.51	0.0
CDH8	5.87	2.46	6.52	0.22	0.21	1.57	13.93	19.68	13.12	5.11	0.84	10.39	8.85	2.63	25.17	4.54	24.46	12.36	2.66	7.34	2.34	3.56	15.11	5.45	2.07	122.64	9.34	28.86	126.12	31.45	32.59	10.71	11.73	4.74	19.97	36.53	4.46	12.27	24.81	18.03	17.9	8.13	30.12	49.56	28.45	5.32	26.47	13.03	39.79	94.01	2.92	8.06	0.0	5.54	0.57	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.93	0.0	1.06	0.0	0.0
CLMP	143.01	47.17	162.14	1015.93	48.52	162.14	107.38	237.86	124.37	318.57	20.71	92.05	208.38	150.17	116.78	76.71	90.77	239.52	47.84	295.11	35.5	127.0	31.0	46.84	24.99	603.67	175.07	575.03	521.76	473.41	507.46	688.78	579.04	521.76	555.41	395.18	379.04	400.71	277.2	325.29	387.02	872.1	665.29	429.54	279.14	241.19	503.95	470.14	368.65	647.07	299.25	414.87	5.73	1.41	2.32	0.0	0.0	0.48	0.0	2.46	2.81	0.0	0.8	0.74	0.85	8.19	0.0	6.06	0.0
CLUL1	242.88	105.15	158.79	141.02	37.32	41.22	8.19	223.41	366.09	64.34	232.94	961.07	98.73	73.03	47.5	67.12	132.44	85.22	107.38	138.1	186.4	41.81	642.59	457.25	40.64	1340.84	108.14	173.85	212.78	94.67	301.33	143.01	92.7	171.45	144.01	209.84	253.23	34.51	193.01	299.25	108.14	111.99	334.46	143.01	117.6	68.55	195.72	90.14	144.01	74.06	244.57	187.71	2.48	0.0	11.04	0.0	1.25	0.39	1.25	2.78	0.0	0.0	2.94	3.72	0.62	14.03	0.0	0.0	0.0
COL28A1	65.72	19.82	10.88	24.63	1.93	35.0	25.91	20.71	27.64	14.24	19.11	24.46	48.87	34.02	19.68	49.56	22.75	26.28	14.24	20.41	2.73	2.48	4.58	7.11	2.78	567.1	17.64	76.17	41.52	33.54	71.5	56.68	63.0	108.14	72.52	116.78	28.24	21.94	28.45	101.54	78.34	49.91	155.5	92.05	27.84	42.71	67.59	13.42	11.04	67.59	42.41	18.29	23.42	0.0	0.0	0.66	0.0	1.33	3.63	3.96	19.25	3.92	2.29	2.68	0.0	9.34	2.71	7.34	0.0
COL9A2	460.44	21.63	540.19	102.25	181.28	127.0	169.07	170.25	132.44	466.88	5672.41	237.86	111.21	211.31	473.41	688.78	136.19	616.37	208.38	441.64	30.12	59.55	45.53	56.28	105.15	4358.66	395.18	285.03	412.0	406.31	536.45	231.32	98.04	198.47	432.53	441.64	241.19	164.42	457.25	603.67	371.22	121.79	599.49	529.06	684.02	384.34	384.34	327.56	351.14	334.46	688.78	371.22	31.9	11.21	10.31	2.58	7.06	4.54	12.09	10.08	4.28	10.96	14.03	9.78	2.84	29.48	4.78	14.78	0.0
CREB3L2	379.04	638.15	836.53	1277.29	575.03	432.53	327.56	555.41	518.15	620.67	591.22	409.15	595.34	521.76	1268.46	497.0	503.95	674.59	587.13	775.05	473.41	854.13	718.08	392.44	229.72	3146.52	507.46	896.64	819.3	791.35	1023.0	836.53	1044.52	854.13	921.88	775.05	769.69	679.29	591.22	1051.79	1167.14	1111.82	633.73	1127.35	1088.92	638.15	941.27	1594.73	228.13	1685.71	525.39	1073.91	147.06	289.02	275.28	145.02	236.21	293.07	167.9	99.43	108.9	96.68	102.25	173.85	191.67	98.73	145.02	187.71	423.61
CTGF	2855.44	1059.11	7803.01	4836.35	2555.58	10296.45	3280.18	6250.56	4328.55	7433.4	1519.15	2075.59	4607.24	4736.79	1844.76	7130.55	1551.09	4010.71	679.29	1350.18	1286.18	5147.73	1467.37	1191.69	1427.22	73730.83	3467.27	5711.87	6294.04	18689.27	1529.73	11112.3	3467.27	4802.93	11992.79	2090.03	3257.52	13492.72	7032.37	13033.07	13681.08	15934.98	1781.89	3639.7	7911.95	7331.05	8658.09	25530.66	1909.85	16383.0	6079.61	15715.58	1733.13	1407.55	409.15	291.04	120.1	185.11	1175.27	1104.13	490.14	665.29	1721.16	1151.06	764.36	693.58	381.68	1427.22	981.29
CUBN	7.69	1.77	5.73	16.75	1.89	7.75	3.59	6.16	5.23	12.27	3.0	4.58	4.86	3.92	6.36	4.39	9.2	3.82	2.68	13.03	1.22	9.78	1.95	2.27	3.06	15.11	4.35	21.47	14.56	12.55	15.68	13.72	31.0	20.86	17.77	12.27	9.27	13.52	9.41	33.78	28.86	16.51	48.52	34.26	55.1	18.97	21.32	5.68	5.73	9.2	4.43	19.39	3.5	2.94	2.14	0.0	0.68	0.97	0.87	0.82	0.78	0.8	0.85	0.0	0.0	0.48	0.0	0.32	0.0
DDX43	3.59	1.77	3.96	1.0	2.78	1.11	0.38	3.14	3.53	3.66	1.03	1.99	7.22	0.0	2.53	1.62	8.19	3.82	3.0	13.12	0.93	3.59	0.37	2.27	3.69	118.43	7.11	77.25	41.81	18.84	23.08	30.12	6.52	11.64	8.45	11.21	1.85	11.64	9.7	35.5	28.45	25.17	22.26	3.03	10.55	49.91	0.83	7.51	18.56	7.46	2.94	35.0	5.36	2.78	1.1	1.33	1.43	0.0	0.84	1.38	3.47	0.78	3.92	3.03	0.0	9.78	1.6	14.67	0.0
DSE	123.5	105.89	208.38	507.46	135.24	265.87	191.67	361.04	297.17	525.39	215.77	98.04	409.15	237.86	171.45	167.9	206.94	406.31	80.01	157.68	105.89	444.72	85.22	57.89	85.82	769.69	157.68	327.56	339.14	389.72	341.51	366.09	457.25	356.05	454.09	191.67	248.0	571.05	256.78	291.04	363.56	1143.1	297.17	209.84	246.28	167.9	212.78	529.06	135.24	728.11	236.21	234.57	125.24	29.91	61.25	7.94	19.97	18.7	59.13	115.16	54.33	63.89	105.89	85.22	54.33	108.14	33.54	214.27	0.0
EBF3	33.78	15.11	64.8	19.53	9.2	62.12	29.91	57.08	55.89	71.5	3.41	19.39	32.13	45.85	64.34	39.79	21.01	23.93	12.18	36.79	3.63	30.12	19.25	9.85	10.39	327.56	40.93	127.89	108.9	127.89	95.34	190.34	177.53	108.14	137.14	58.3	75.64	348.71	54.72	56.28	55.49	334.46	105.89	74.58	323.03	129.69	117.6	48.52	26.47	155.5	43.63	194.36	6.31	11.38	6.62	1.17	2.71	3.08	3.23	1.64	1.53	2.27	1.0	0.93	0.02	3.92	0.27	0.16	0.0
EDIL3	212.78	90.14	287.01	149.12	64.8	91.41	197.09	563.18	87.65	329.84	117.6	53.95	507.46	122.64	327.56	102.97	117.6	146.03	86.43	43.32	76.17	327.56	81.71	4575.41	43.94	2502.97	43.02	406.31	167.9	127.0	242.88	206.94	291.04	149.12	164.42	234.57	133.36	275.28	212.78	271.48	318.57	218.79	84.04	76.71	42.41	55.49	14.14	379.04	68.55	902.89	149.12	318.57	15.91	34.26	38.67	6.84	10.47	6.16	7.46	3.29	2.1	2.23	10.47	2.68	5.45	6.62	1.38	0.12	1167.14
ENC1	426.57	103.69	616.37	514.56	195.72	785.88	323.03	271.48	647.07	764.36	100.83	111.99	400.71	249.73	368.65	208.38	409.15	514.56	138.1	579.04	224.97	1991.0	224.97	103.69	426.57	1977.24	363.56	262.2	470.14	214.27	500.46	307.69	684.02	305.55	373.81	373.81	500.46	356.05	143.01	366.09	447.82	420.68	480.04	848.22	356.05	934.76	224.97	381.68	88.88	503.95	103.69	429.54	226.54	647.07	70.01	84.63	111.99	100.83	161.02	312.0	258.57	234.57	155.5	124.37	138.1	173.85	226.54	105.89	0.0
ETV6	486.75	231.32	297.17	866.07	260.38	507.46	291.04	379.04	414.87	579.04	206.94	269.6	438.59	409.15	454.09	293.07	460.44	543.96	379.04	753.83	327.56	902.89	371.22	173.85	511.0	1487.87	624.99	1551.09	1331.57	836.53	1001.93	1183.45	728.11	1023.0	796.86	909.17	651.58	660.68	616.37	802.41	780.44	591.22	587.13	1605.83	988.12	1369.04	1015.93	718.08	457.25	1151.06	507.46	743.43	116.78	55.49	77.25	42.11	36.79	46.18	70.01	66.18	81.14	71.0	69.03	62.56	61.68	69.03	51.71	120.94	356.05
FAM101A	241.19	8.32	27.44	164.42	70.51	28.86	30.56	124.37	15.8	35.76	5.68	25.35	93.35	84.04	21.94	23.08	40.64	40.64	3.14	518.15	555.41	44.89	4.28	0.28	21.63	1175.27	490.14	161.02	212.78	78.34	181.28	195.72	87.03	113.56	205.5	432.53	223.41	73.03	93.35	241.19	194.36	147.06	205.5	395.18	748.61	173.85	137.14	21.47	718.08	23.08	164.42	241.19	3.0	5.54	0.66	0.59	2.23	0.55	0.69	1.17	1.1	0.0	0.68	1.13	0.0	3.59	0.0	0.49	0.0
FAM133A	4.58	1.31	7.06	2.41	0.58	1.01	1.23	4.86	2.32	3.06	0.0	0.62	5.32	2.16	1.35	0.91	0.0	1.64	0.32	1.0	0.28	0.39	0.3	0.0	0.64	15.68	1.35	2.92	2.78	1.71	3.2	1.08	5.28	3.89	3.11	1.66	4.66	2.84	3.38	14.35	7.82	7.69	9.7	9.06	5.63	7.57	0.83	5.68	1.39	0.33	3.06	8.38	0.62	0.0	0.0	43.32	0.0	0.0	0.6	1.04	0.0	0.56	0.0	1.46	1.07	1.31	0.07	0.21	309.83
GATSL2	21.16	55.89	41.22	31.45	49.21	12.09	25.17	15.0	7.17	23.25	61.68	48.18	40.93	30.56	22.26	16.63	15.22	16.75	35.5	9.2	17.77	23.76	4.7	11.13	17.77	74.58	23.42	28.04	38.4	36.27	41.52	44.57	40.36	43.02	32.82	23.42	34.75	36.53	21.32	55.89	28.24	98.04	37.32	27.84	43.02	30.78	43.02	32.13	34.02	45.21	40.93	52.82	0.0	49.56	15.45	19.82	26.67	24.46	3.38	6.21	0.0	6.11	7.94	5.36	13.62	12.18	7.46	0.0	0.0
GPM6B	244.57	31.9	67.59	555.41	20.11	102.97	98.04	253.23	75.64	82.87	32.59	11.04	100.13	124.37	106.63	18.7	71.5	85.82	88.88	693.58	24.28	279.14	74.06	26.28	30.56	1685.71	571.05	954.43	796.86	1008.9	813.63	1250.98	2178.83	1350.18	1096.5	743.43	775.05	579.04	368.65	633.73	1487.87	2758.13	679.29	884.29	332.14	543.96	780.44	450.94	483.38	693.58	872.1	915.51	31.45	4.9	3.23	3.96	0.77	12.64	10.31	9.48	6.73	8.19	8.19	7.51	1.64	22.75	5.92	2.46	0.0
GPR12	2.46	0.32	0.34	5.68	0.28	7.69	0.3	3.56	1.33	0.77	0.0	0.0	0.0	25.54	0.34	0.0	0.0	0.33	0.0	3.66	0.27	10.08	0.91	0.0	0.64	169.07	14.78	37.32	21.16	26.47	33.54	34.51	25.72	17.13	31.0	29.7	7.11	36.01	20.71	21.32	9.78	57.89	3.86	17.0	16.63	83.45	2.51	6.01	30.12	67.59	25.35	8.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR161	46.5	10.88	54.33	86.43	34.51	100.83	30.12	82.87	64.8	81.71	44.89	35.76	68.55	55.49	67.12	33.78	186.4	52.82	37.05	104.42	31.22	73.03	46.5	12.83	19.68	166.73	77.25	102.25	143.01	102.97	123.5	103.69	98.73	88.88	119.26	83.45	86.43	112.77	76.17	155.5	131.51	111.99	164.42	153.34	260.38	95.34	97.36	20.56	98.04	59.97	22.43	110.43	17.13	11.82	6.62	3.17	5.32	3.5	4.28	3.96	3.2	2.86	4.21	4.31	7.75	10.63	6.36	6.89	0.0
GRHL1	612.11	500.46	447.82	633.73	503.95	253.23	387.02	575.03	463.65	493.56	105.89	127.89	551.56	540.19	368.65	486.75	463.65	532.74	563.18	802.41	373.81	616.37	429.54	73.03	241.19	1359.57	595.34	1143.1	1111.82	669.92	941.27	1427.22	785.88	1313.23	1023.0	896.64	860.08	748.61	444.72	1066.48	854.13	603.67	825.0	1208.34	808.0	1059.11	713.11	450.94	521.76	866.07	651.58	748.61	95.34	53.19	40.07	20.86	25.72	23.93	81.14	45.53	102.97	42.11	84.63	60.82	107.38	52.82	30.56	113.56	0.0
GULP1	144.01	30.78	140.04	116.78	55.89	163.28	73.03	217.27	180.02	180.02	12.18	35.76	148.09	131.51	73.03	51.71	82.87	49.21	37.32	273.37	70.51	447.82	51.71	15.91	18.03	242.88	111.21	599.49	532.74	256.78	470.14	435.55	599.49	567.1	429.54	285.03	297.17	563.18	180.02	660.68	599.49	854.13	854.13	684.02	397.93	603.67	248.0	190.34	316.37	514.56	291.04	591.22	28.24	1.68	8.99	0.71	0.74	1.73	6.94	12.09	3.5	6.31	19.97	7.22	9.7	1.13	1.16	3.11	0.0
HEPH	152.28	47.84	208.38	246.28	96.01	120.94	195.72	403.5	165.57	211.31	100.83	50.98	246.28	195.72	158.79	97.36	180.02	339.14	68.07	293.07	84.63	234.57	64.34	40.36	52.08	866.07	336.79	435.55	713.11	450.94	507.46	679.29	397.93	444.72	414.87	262.2	387.02	361.04	532.74	490.14	638.15	500.46	1242.34	497.0	624.99	285.03	275.28	312.0	239.52	688.78	189.02	802.41	64.8	37.05	17.64	4.54	9.34	9.63	19.53	25.54	13.12	21.78	25.91	22.75	14.03	40.07	10.71	18.29	70.51
HOXA6	54.33	1.75	9.34	44.57	4.78	29.06	1.33	11.3	10.79	8.99	2.94	1.35	10.08	43.02	4.9	8.78	4.24	2.43	2.32	81.14	1.2	3.92	2.86	0.0	7.75	58.3	53.95	139.07	164.42	74.06	255.0	139.07	90.14	87.03	73.03	126.12	91.41	55.89	35.76	265.87	85.82	158.79	173.85	98.73	84.04	55.49	15.34	4.17	33.78	22.1	55.1	103.69	1.68	0.0	1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
