	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.BH.A0E9.01B.11R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0B7.11A.34R.A115.07	GTEX.WYVS.1726.SM.3NMAY	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.11ZUS.2526.SM.59872	GTEX.X4EO.1126.SM.4QARQ	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.145MH.0426.SM.5LU8T	GTEX.13O1R.0826.SM.5J2MB
HEATR6	503.95	231.32	368.65	239.52	318.57	281.09	267.73	303.44	273.37	262.2	551.56	66.65	43.94	55.1	47.17	36.79	18.97	42.41	15.0	30.12	32.59	226.54	111.99	156.59	186.4	166.73	159.9	172.65	373.81	162.14	131.51
HIST1H2AE	8421.31	708.18	1143.1	518.15	497.0	341.51	169.07	138.1	82.87	76.17	132.44	10.47	71.5	143.01	36.79	78.34	47.17	16.75	74.06	19.53	56.68	103.69	132.44	107.38	111.99	70.51	97.36	110.43	679.29	167.9	54.72
HIST1H2BL	3614.55	14.14	7.4	9.06	4.54	9.2	2.51	2.1	0.0	0.0	9.78	5.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45	0.0	2.23	8.25	0.0	1.93	0.0	8.92	11.38	0.0
HIST1H2BN	1594.73	104.42	159.9	74.58	40.93	92.05	50.63	41.52	41.22	31.67	55.49	14.78	1.51	4.66	12.09	7.63	19.82	13.72	37.85	17.9	31.22	14.24	37.85	34.51	24.63	20.11	26.67	28.04	43.63	38.12	20.41
HIST1H3E	249.73	166.73	356.05	72.01	70.01	327.56	35.5	51.35	34.51	33.54	105.89	15.22	17.13	13.52	13.83	7.4	6.78	13.42	2.56	1.75	3.08	7.11	53.95	39.5	57.49	31.67	48.52	19.39	108.14	51.71	17.25
HIST2H2BF	2104.58	536.45	660.68	165.57	438.59	267.73	97.36	92.05	99.43	72.52	103.69	0.0	5.82	0.0	7.46	7.88	11.55	1.57	7.22	0.74	4.54	81.14	40.36	41.81	22.59	55.89	45.53	60.39	417.77	40.93	117.6
HNRNPU	5954.47	6207.38	6471.02	6426.31	6792.79	6840.04	4388.98	4769.75	4903.87	5006.93	5219.6	1651.0	1685.71	1059.11	1467.37	1427.22	1051.79	1806.78	1242.34	1407.55	2148.82	3280.18	3742.05	4181.07	3018.3	3540.14	3395.89	3794.3	3614.55	3212.66	3540.14
IKBKB	1529.73	1369.04	1487.87	1407.55	1304.15	1259.69	1225.22	1359.57	1088.92	1059.11	1331.57	438.59	285.03	170.25	236.21	275.28	215.77	417.77	108.14	291.04	267.73	660.68	417.77	551.56	603.67	603.67	486.75	612.11	708.18	525.39	651.58
INTS2	403.5	124.37	166.73	105.89	122.64	146.03	122.64	151.22	159.9	149.12	264.03	42.71	25.54	21.16	43.94	38.67	16.15	22.43	8.65	7.34	8.0	73.03	47.5	70.01	53.19	82.29	61.68	67.59	102.25	87.65	58.3
INTS8	1015.93	607.87	629.35	633.73	854.13	647.07	591.22	769.69	647.07	842.36	941.27	277.2	156.59	98.73	164.42	211.31	120.1	86.43	96.01	88.26	56.68	387.02	381.68	444.72	368.65	454.09	426.57	547.75	624.99	547.75	358.54
ISG20L2	860.08	967.76	1208.34	954.43	1378.57	1015.93	698.41	813.63	825.0	848.22	1059.11	221.86	197.09	249.73	256.78	269.6	287.01	395.18	175.07	353.59	305.55	429.54	343.89	368.65	356.05	400.71	346.29	339.14	392.44	414.87	441.64
KLHL12	1467.37	713.11	967.76	915.51	1111.82	915.51	529.06	521.76	612.11	540.19	1037.29	277.2	177.53	194.36	220.32	211.31	109.66	126.12	75.64	71.0	89.51	353.59	275.28	341.51	343.89	346.29	305.55	336.79	529.06	438.59	395.18
LARS	1674.06	1216.75	1437.15	1857.6	1605.83	1733.13	1561.89	1757.34	2104.58	2271.4	2645.74	381.68	312.0	224.97	368.65	249.73	320.8	234.57	145.02	206.94	228.13	884.29	785.88	941.27	825.0	884.29	848.22	909.17	1051.79	1096.5	836.53
LRIT3	12.74	9.63	3.41	11.3	8.19	7.11	8.19	10.16	10.55	11.38	16.75	0.0	1.69	0.99	2.34	1.07	1.23	0.99	0.0	4.24	1.04	4.78	3.76	1.45	3.26	4.58	2.66	2.68	1.16	2.51	5.59
LYSMD1	258.57	339.14	256.78	400.71	329.84	314.17	212.78	242.88	195.72	170.25	320.8	67.59	52.45	101.54	81.71	77.25	49.56	37.59	116.78	15.45	43.63	165.57	108.14	171.45	158.79	197.09	137.14	162.14	194.36	142.01	102.97
LZIC	536.45	679.29	1001.93	575.03	660.68	915.51	669.92	854.13	1030.12	775.05	693.58	334.46	258.57	191.67	346.29	392.44	215.77	98.73	291.04	101.54	128.79	486.75	351.14	555.41	457.25	503.95	371.22	466.88	454.09	525.39	341.51
MED1	7280.4	521.76	567.1	450.94	518.15	616.37	543.96	612.11	679.29	603.67	769.69	146.03	116.78	81.14	128.79	125.24	114.36	82.29	23.76	99.43	51.71	264.03	205.5	301.33	249.73	293.07	204.07	265.87	226.54	305.55	303.44
METTL2A	466.88	264.03	473.41	309.83	343.89	381.68	293.07	269.6	217.27	285.03	271.48	190.34	153.34	193.01	193.01	205.5	169.07	191.67	145.02	189.02	147.06	202.66	186.4	218.79	237.86	215.77	212.78	195.72	215.77	177.53	198.47
MEX3A	139.07	43.32	63.89	21.63	173.85	22.59	84.63	90.14	120.1	176.29	146.03	20.86	8.51	1.69	11.3	5.19	15.22	17.38	2.58	5.77	9.7	9.34	8.71	14.56	6.26	8.32	3.96	17.51	13.72	11.21	4.7
MKRN1	1467.37	1896.65	1745.2	1909.85	2591.27	3372.43	2400.97	2255.7	2537.92	2240.11	2351.53	713.11	543.96	483.38	684.02	656.11	674.59	555.41	547.75	379.04	454.09	1733.13	1340.84	1857.6	1617.0	1963.57	1662.49	1639.59	1487.87	1467.37	1427.22
MRE11A	334.46	305.55	248.0	309.83	366.09	417.77	332.14	406.31	540.19	507.46	532.74	51.71	51.35	26.1	62.12	44.89	21.63	38.67	49.21	29.91	39.5	159.9	115.97	190.34	156.59	171.45	134.3	198.47	182.55	209.84	147.06
MSH6	698.41	753.83	872.1	866.07	954.43	890.44	860.08	866.07	854.13	961.07	1617.0	251.48	157.68	161.02	212.78	185.11	79.45	159.9	291.04	177.53	343.89	483.38	307.69	490.14	327.56	432.53	336.79	414.87	503.95	463.65	299.25
NCAPD3	346.29	493.56	220.32	409.15	532.74	665.29	267.73	295.11	356.05	363.56	291.04	126.12	103.69	127.89	199.85	169.07	106.63	204.07	90.77	58.71	115.16	183.82	149.12	145.02	185.11	148.09	155.5	164.42	620.67	279.14	336.79
NCEH1	500.46	195.72	193.01	295.11	341.51	351.14	175.07	242.88	193.01	195.72	231.32	55.49	50.98	15.68	28.65	30.34	9.27	10.24	2.81	12.09	3.38	90.77	102.25	145.02	109.66	91.41	89.51	113.56	187.71	163.28	88.88
NUP210	559.28	921.88	540.19	665.29	629.35	703.28	251.48	256.78	312.0	301.33	318.57	187.71	109.66	146.03	154.42	148.09	215.77	85.82	77.25	56.28	71.0	85.82	82.29	115.97	92.7	93.35	70.01	92.05	123.5	224.97	121.79
OSGEPL1	371.22	167.9	281.09	246.28	246.28	206.94	253.23	234.57	293.07	256.78	336.79	92.05	74.06	80.01	119.26	115.16	105.15	42.41	71.5	29.06	30.34	115.16	101.54	135.24	86.43	120.94	137.14	165.57	186.4	189.02	88.88
PBOV1	28.86	0.37	0.31	0.39	1.06	0.91	0.74	1.43	2.2	1.06	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.18	0.0	0.0
PDZD2	169.07	127.0	149.12	111.21	251.48	403.5	454.09	264.03	327.56	346.29	323.03	12.55	7.51	2.07	4.58	22.43	2.03	8.19	1.69	8.78	8.51	55.49	28.45	113.56	51.71	57.49	40.64	61.25	28.04	52.82	19.82
PEX1	536.45	343.89	361.04	470.14	532.74	579.04	511.0	476.71	460.44	470.14	521.76	181.28	164.42	116.78	217.27	169.07	189.02	208.38	130.6	118.43	93.35	258.57	384.34	267.73	318.57	332.14	271.48	420.68	450.94	343.89	371.22
PGBD4	67.12	36.79	36.79	29.7	29.7	45.21	44.89	45.53	60.39	42.11	46.18	16.51	9.41	7.63	18.7	15.56	14.45	5.77	3.82	8.71	5.68	18.43	16.15	19.39	23.59	27.84	27.05	20.11	43.02	20.71	14.14
PHAX	759.08	902.89	981.29	896.64	808.0	967.76	1059.11	1233.75	1216.75	1059.11	1127.35	536.45	420.68	202.66	483.38	429.54	358.54	229.72	234.57	221.86	260.38	551.56	423.61	651.58	629.35	728.11	463.65	543.96	563.18	638.15	466.88
POGK	1250.98	1001.93	1037.29	890.44	1216.75	1617.0	571.05	599.49	647.07	616.37	896.64	137.14	127.89	89.51	85.82	109.66	153.34	172.65	43.32	318.57	175.07	334.46	248.0	316.37	253.23	323.03	237.86	325.29	303.44	343.89	351.14
PPM1J	239.52	351.14	575.03	236.21	271.48	480.04	142.01	108.14	80.01	133.36	92.05	37.85	35.0	11.91	21.16	19.82	30.78	69.52	5.59	16.27	9.06	64.34	62.12	104.42	155.5	51.35	63.0	81.14	138.1	94.01	120.94
PWWP2A	346.29	281.09	220.32	267.73	221.86	406.31	279.14	346.29	275.28	361.04	271.48	79.45	81.14	28.65	71.5	80.01	71.5	114.36	36.79	62.12	36.01	175.07	134.3	152.28	161.02	191.67	112.77	158.79	262.2	224.97	147.06
PYGO2	808.0	1417.35	2163.77	1295.13	1242.34	1397.83	616.37	688.78	708.18	693.58	780.44	351.14	215.77	206.94	214.27	208.38	258.57	229.72	171.45	176.29	125.24	813.63	665.29	769.69	651.58	718.08	708.18	796.86	934.76	1030.12	748.61
RBBP5	684.02	406.31	536.45	483.38	466.88	346.29	283.05	314.17	329.84	305.55	450.94	101.54	100.83	99.43	145.02	145.02	108.14	93.35	70.51	96.68	78.89	202.66	150.17	208.38	151.22	190.34	173.85	202.66	209.84	205.5	165.57
RBM22	679.29	796.86	872.1	825.0	947.83	1183.45	1023.0	1066.48	1175.27	1096.5	1359.57	486.75	414.87	323.03	373.81	417.77	312.0	307.69	170.25	305.55	483.38	583.07	583.07	708.18	629.35	624.99	708.18	713.11	728.11	575.03	703.28
RBM48	226.54	265.87	279.14	277.2	325.29	423.61	318.57	293.07	361.04	332.14	540.19	105.89	92.7	54.72	111.21	100.13	80.01	77.79	56.28	66.18	70.01	166.73	157.68	187.71	220.32	193.01	217.27	215.77	271.48	301.33	178.77
RIPPLY3	57.89	76.71	71.5	64.34	28.04	21.16	7.82	8.58	5.19	11.04	19.11	3.29	1.95	0.95	1.48	0.56	5.11	0.0	0.0	2.78	7.69	3.66	4.98	53.95	13.83	10.31	3.38	9.06	1.57	13.93	0.97
RIT1	802.41	381.68	713.11	351.14	808.0	567.1	387.02	532.74	529.06	423.61	543.96	195.72	125.24	90.77	92.05	136.19	72.52	65.26	66.65	52.45	137.14	460.44	256.78	400.71	343.89	438.59	312.0	476.71	329.84	275.28	187.71
RNF20	607.87	947.83	842.36	1081.39	1119.56	1143.1	836.53	866.07	1111.82	860.08	1191.69	197.09	121.79	170.25	244.57	205.5	138.1	88.26	96.68	65.26	76.17	543.96	366.09	571.05	400.71	514.56	497.0	518.15	547.75	579.04	297.17
RRNAD1	1051.79	1519.15	2004.85	1617.0	1388.16	1674.06	1119.56	1183.45	819.3	872.1	1225.22	1088.92	896.64	775.05	748.61	669.92	902.89	679.29	555.41	373.81	785.88	981.29	1250.98	995.0	1119.56	954.43	1015.93	1159.07	1350.18	1127.35	890.44
SDR42E1	232.94	157.68	88.88	195.72	178.77	293.07	275.28	221.86	265.87	295.11	543.96	44.57	52.08	73.03	67.12	104.42	29.27	38.12	7.51	26.86	31.67	70.51	45.85	113.56	121.79	86.43	101.54	82.87	134.3	89.51	69.52
SEMG1	0.68	0.0	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2232145.06	3134925.09	2636147.11	4817989.11	3576208.94	4433454.0	3336720.86	4817989.11	0.0	0.0
SHQ1	435.55	351.14	395.18	397.93	432.53	366.09	305.55	285.03	291.04	343.89	432.53	113.56	102.97	87.03	93.35	110.43	90.77	63.45	64.34	105.89	56.28	185.11	186.4	221.86	194.36	194.36	220.32	246.28	191.67	211.31	197.09
SLC25A51	733.19	273.37	379.04	232.94	332.14	244.57	197.09	199.85	291.04	186.4	273.37	103.69	67.12	76.17	65.26	73.03	39.5	89.51	60.39	212.78	84.63	198.47	267.73	208.38	204.07	194.36	253.23	231.32	167.9	186.4	131.51
SLC2A10	2682.69	967.76	1225.22	483.38	860.08	387.02	629.35	665.29	490.14	599.49	327.56	503.95	299.25	320.8	381.68	438.59	129.69	149.12	191.67	175.07	94.67	246.28	275.28	267.73	264.03	253.23	267.73	323.03	559.28	587.13	232.94
SLC35E2	162.14	139.07	73.54	91.41	149.12	414.87	251.48	127.89	147.06	248.0	229.72	30.34	8.0	12.0	30.12	30.56	14.14	9.27	9.48	3.23	6.52	89.51	67.59	50.63	35.0	113.56	76.71	111.21	236.21	76.17	75.11
SMC3	934.76	813.63	819.3	902.89	872.1	791.35	915.51	1073.91	1143.1	1051.79	1259.69	244.57	204.07	73.54	229.72	194.36	152.28	147.06	119.26	115.97	115.16	447.82	320.8	575.03	412.0	493.56	420.68	457.25	511.0	624.99	438.59
SMG7	1111.82	1008.9	1199.98	1313.23	1457.23	1259.69	660.68	796.86	819.3	728.11	703.28	297.17	299.25	246.28	325.29	285.03	642.59	366.09	150.17	423.61	389.72	466.88	368.65	547.75	438.59	490.14	397.93	511.0	559.28	665.29	551.56
SPATA6	381.68	329.84	293.07	540.19	190.34	178.77	287.01	316.37	305.55	305.55	348.71	34.75	32.36	25.72	23.25	30.12	19.39	33.54	31.22	5.96	7.46	205.5	189.02	211.31	131.51	217.27	237.86	214.27	237.86	215.77	120.94
SPICE1	813.63	301.33	289.02	320.8	395.18	423.61	318.57	420.68	289.02	293.07	299.25	70.51	50.63	40.36	58.3	33.06	17.25	22.26	57.49	14.45	11.64	171.45	96.01	101.54	120.94	169.07	135.24	177.53	224.97	178.77	119.26
SPOPL	1378.57	612.11	651.58	575.03	728.11	764.36	647.07	708.18	629.35	532.74	796.86	102.97	91.41	50.63	89.51	102.25	51.71	92.05	61.68	52.45	26.86	229.72	139.07	204.07	191.67	285.03	186.4	234.57	267.73	208.38	159.9
SPTY2D1	579.04	423.61	371.22	373.81	332.14	616.37	397.93	392.44	476.71	368.65	665.29	87.03	70.51	72.52	119.26	97.36	73.54	67.12	80.57	98.73	96.68	167.9	157.68	197.09	208.38	190.34	149.12	170.25	182.55	163.28	185.11
SWT1	271.48	120.94	208.38	154.42	139.07	122.64	127.89	141.02	140.04	121.79	202.66	48.87	25.91	21.47	38.12	36.53	15.22	9.78	22.92	4.39	16.27	63.45	50.98	65.72	69.03	82.87	68.07	69.03	132.44	100.83	40.64
TCEANC2	132.44	84.04	120.94	82.87	61.68	115.97	109.66	118.43	137.14	117.6	145.02	37.85	17.0	20.56	22.1	26.1	19.68	15.45	13.52	5.59	6.52	59.97	46.18	57.89	37.05	60.39	57.08	70.01	61.68	72.01	39.79
THAP1	285.03	285.03	356.05	314.17	236.21	275.28	209.84	201.25	273.37	246.28	265.87	125.24	98.73	30.12	124.37	127.0	144.01	109.66	54.33	119.26	55.1	158.79	139.07	194.36	158.79	198.47	146.03	189.02	181.28	255.0	162.14
TLR5	507.46	285.03	547.75	193.01	486.75	341.51	271.48	299.25	341.51	392.44	575.03	18.43	19.97	13.52	22.59	31.0	7.63	12.45	13.03	14.78	5.5	80.57	55.1	115.97	75.64	72.52	71.0	75.11	205.5	75.11	112.77
TMPO	2209.26	780.44	559.28	713.11	796.86	1175.27	854.13	1104.13	1073.91	1088.92	1199.98	591.22	493.56	141.02	363.56	409.15	316.37	275.28	470.14	99.43	575.03	373.81	260.38	529.06	329.84	432.53	325.29	444.72	500.46	409.15	191.67
TOR1B	450.94	414.87	450.94	400.71	532.74	387.02	327.56	426.57	417.77	348.71	387.02	301.33	265.87	283.05	320.8	348.71	234.57	271.48	249.73	246.28	267.73	336.79	307.69	283.05	318.57	299.25	297.17	303.44	190.34	343.89	244.57
TRAPPC13	674.59	414.87	454.09	571.05	412.0	579.04	358.54	483.38	432.53	409.15	470.14	191.67	149.12	84.63	183.82	167.9	171.45	239.52	111.99	173.85	97.36	273.37	231.32	265.87	293.07	303.44	293.07	291.04	521.76	297.17	423.61
TRAPPC8	1359.57	587.13	575.03	642.59	1051.79	808.0	612.11	579.04	693.58	753.83	679.29	363.56	371.22	211.31	414.87	387.02	599.49	612.11	384.34	287.01	555.41	395.18	361.04	438.59	403.5	387.02	363.56	376.41	624.99	493.56	346.29
TRMT10A	205.5	206.94	314.17	301.33	135.24	169.07	159.9	153.34	173.85	167.9	229.72	82.87	89.51	65.26	186.4	146.03	99.43	53.57	92.7	30.34	28.04	88.88	59.13	100.83	61.68	108.14	76.17	104.42	133.36	132.44	86.43
TRMT1L	890.44	409.15	543.96	400.71	366.09	371.22	246.28	265.87	336.79	242.88	603.67	175.07	128.79	66.18	197.09	220.32	151.22	94.01	121.79	59.55	53.95	180.02	138.1	262.2	176.29	232.94	229.72	244.57	255.0	221.86	109.66
TTC30A	607.87	273.37	366.09	214.27	291.04	289.02	146.03	128.79	148.09	171.45	248.0	26.1	24.28	19.53	26.86	29.91	23.76	5.92	17.13	9.27	1.58	80.01	57.89	102.97	59.97	75.11	80.57	75.64	124.37	82.29	63.0
TTC37	1594.73	921.88	813.63	1119.56	688.78	1044.52	967.76	1037.29	1088.92	1037.29	1397.83	239.52	212.78	61.68	271.48	220.32	99.43	201.25	173.85	146.03	110.43	583.07	525.39	624.99	507.46	684.02	514.56	651.58	713.11	571.05	414.87
