	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A1.A0SG.01A.11R.A144.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.E9.A1R6.01A.11R.A14D.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.B8.5552.11A.01R.1672.07	TCGA.44.3918.01A.01R.A278.07
EARS2	503.95	1073.91	1697.45	733.19	1639.59	599.49	616.37	624.99	642.59	457.25	1697.45	395.18	1259.69	2018.8	674.59	1216.75	866.07	753.83	612.11	854.13	1096.5	486.75	854.13	327.56	896.64	753.83	318.57	435.55	366.09	497.0	384.34	406.31	733.19	265.87	339.14	733.19	332.14	532.74	507.46	454.09	251.48	269.6
EIF3CL	1066.48	2720.15	3847.29	1923.14	3443.31	896.64	4152.18	2997.45	2119.22	1519.15	2664.15	1832.01	1407.55	3589.58	1008.9	3325.99	1594.73	1159.07	1583.71	2915.45	2855.44	1447.15	2319.15	1467.37	1175.27	1794.29	1023.0	961.07	1572.76	915.51	1467.37	2004.85	1709.26	842.36	1617.0	1697.45	1977.24	1369.04	1427.22	1388.16	775.05	493.56
FAHD1	199.85	1388.16	1167.14	825.0	1286.18	318.57	813.63	743.43	629.35	616.37	1242.34	480.04	1313.23	1498.22	693.58	1268.46	830.75	785.88	575.03	1119.56	974.5	483.38	825.0	373.81	642.59	1001.93	384.34	351.14	473.41	325.29	267.73	460.44	273.37	289.02	373.81	373.81	780.44	473.41	457.25	624.99	791.35	236.21
FAM173A	205.5	3901.01	1583.71	802.41	2133.97	94.67	2018.8	1674.06	1023.0	460.44	974.5	825.0	1819.35	1721.16	361.04	1447.15	1216.75	684.02	684.02	759.08	1242.34	616.37	1096.5	373.81	981.29	1340.84	149.12	143.01	309.83	55.1	237.86	185.11	293.07	208.38	226.54	161.02	1427.22	56.28	587.13	255.0	228.13	96.01
FAM195A	209.84	5555.65	902.89	647.07	1242.34	361.04	1977.24	1135.2	1044.52	332.14	1037.29	395.18	1066.48	1529.73	470.14	1268.46	1037.29	497.0	511.0	665.29	974.5	417.77	1030.12	258.57	1096.5	934.76	139.07	126.12	265.87	69.03	208.38	195.72	262.2	215.77	214.27	146.03	1088.92	77.25	579.04	102.97	150.17	57.08
FAM83H	273.37	1159.07	1037.29	1540.37	2004.85	346.29	466.88	1508.65	775.05	438.59	1088.92	463.65	1909.85	2520.38	463.65	1832.01	934.76	473.41	947.83	748.61	1286.18	647.07	947.83	297.17	624.99	860.08	5.5	141.02	403.5	158.79	403.5	336.79	389.72	327.56	111.99	175.07	273.37	170.25	299.25	312.0	264.03	158.79
FAM86A	127.0	884.29	825.0	417.77	651.58	246.28	708.18	397.93	457.25	320.8	547.75	297.17	733.19	753.83	226.54	486.75	403.5	353.59	289.02	409.15	518.15	381.68	540.19	205.5	291.04	660.68	173.85	212.78	309.83	191.67	100.13	172.65	185.11	162.14	170.25	325.29	366.09	182.55	329.84	171.45	176.29	157.68
FBRS	279.14	1721.16	1991.0	1175.27	2956.17	612.11	1369.04	1651.0	1259.69	813.63	1685.71	1030.12	1870.53	2367.9	884.29	1757.34	1477.58	1059.11	854.13	1104.13	1594.73	1081.39	1508.65	780.44	928.3	1331.57	426.57	624.99	759.08	400.71	603.67	1119.56	909.17	981.29	441.64	387.02	536.45	371.22	587.13	638.15	543.96	271.48
FKBP4	3212.66	15934.98	11504.21	10659.59	7331.05	5517.27	8963.45	4802.93	6294.04	8022.41	11992.79	3515.68	8658.09	9740.98	11189.6	14262.1	6699.25	6561.36	4419.52	8022.41	4704.07	5292.48	9945.68	2935.74	12502.12	4671.57	764.36	1225.22	4937.99	1359.57	2090.03	2976.74	2104.58	2935.74	2367.9	2018.8	4450.27	3847.29	4038.61	2400.97	2271.4	1286.18
GCDH	563.18	961.07	571.05	470.14	947.83	155.5	1388.16	836.53	1001.93	490.14	232.94	379.04	638.15	1183.45	387.02	1059.11	872.1	493.56	540.19	954.43	595.34	563.18	718.08	397.93	1286.18	848.22	244.57	209.84	483.38	150.17	480.04	579.04	387.02	376.41	341.51	309.83	665.29	231.32	728.11	366.09	163.28	159.9
