	GTEX.U3ZN.1226.SM.4DXUD	GTEX.SNMC.0826.SM.4DM66	GTEX.WYVS.1726.SM.3NMAY	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.12WSI.0226.SM.5GCNA	GTEX.UTHO.2426.SM.4JBHD	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.Q734.0326.SM.48U15	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.13FTZ.0526.SM.5IJCW	GTEX.U412.0826.SM.3DB9K	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZYY3.0926.SM.5E454	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.111CU.0326.SM.5GZXO	GTEX.12WSE.0826.SM.5S2VL	GTEX.11PRG.0926.SM.5EGI8	GTEX.111FC.1126.SM.5GZWU	GTEX.11EI6.0826.SM.5985V	GTEX.RVPV.1726.SM.5SI8C	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.QDT8.0926.SM.32PL2	GTEX.ZDXO.1326.SM.57WBS	GTEX.U3ZH.0526.SM.3DB75	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.OXRP.0526.SM.2I3EW	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.145LU.0526.SM.5O9AT	GTEX.WK11.0526.SM.3NB3O	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.WVJS.0826.SM.4MVNR	GTEX.13OVL.0626.SM.5KM13	GTEX.QEG4.0526.SM.48TZD	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZE7O.3026.SM.51MS4	GTEX.13QJ3.2726.SM.5SI6L	GTEX.14BMV.2226.SM.5RQHX	GTEX.UPK5.2126.SM.4JBJK	GTEX.11ZTT.1726.SM.5EQL4	GTEX.11GSP.2426.SM.5N9BD	GTEX.WEY5.0726.SM.4LMID	GTEX.11EMC.1826.SM.5A5JT	GTEX.11ZTS.2326.SM.5EQMY
HDAC9	161.02	173.85	109.66	14.45	53.19	8.19	44.25	47.84	2.32	22.26	77.25	11.3	0.0	0.23	224.97	289.02	178.77	287.01	228.13	24.46	363.56	193.01	50.63	325.29	129.69	244.57	178.77	316.37	395.18	153.34	206.94	111.99	289.02	397.93	361.04	334.46	155.5	223.41	180.02	206.94	108.14	106.63	55.1	221.86	299.25	162.14	189.02	384.34	72.52	441.64	73.03	323.03	493.56	221.86	161.02	191.67	470.14	417.77	444.72	473.41	309.83	647.07	305.55	500.46	575.03
HEATR5B	221.86	191.67	669.92	85.82	54.33	56.68	84.63	97.36	114.36	56.68	79.45	31.22	0.0	0.27	148.09	305.55	170.25	441.64	248.0	124.37	420.68	127.89	151.22	325.29	149.12	275.28	157.68	348.71	341.51	361.04	191.67	107.38	483.38	232.94	414.87	215.77	105.15	224.97	212.78	164.42	152.28	162.14	193.01	145.02	82.87	165.57	285.03	299.25	228.13	251.48	175.07	384.34	205.5	130.6	185.11	82.29	154.42	171.45	164.42	128.79	295.11	139.07	135.24	206.94	214.27
KDM3B	748.61	423.61	1313.23	155.5	151.22	136.19	246.28	260.38	214.27	165.57	253.23	108.9	0.0	0.54	273.37	500.46	547.75	607.87	529.06	373.81	642.59	384.34	567.1	665.29	490.14	493.56	356.05	612.11	934.76	633.73	426.57	283.05	808.0	679.29	934.76	395.18	275.28	551.56	679.29	660.68	339.14	403.5	563.18	532.74	291.04	277.2	620.67	493.56	633.73	511.0	314.17	493.56	651.58	325.29	403.5	291.04	392.44	559.28	441.64	476.71	769.69	305.55	842.36	521.76	503.95
KIAA0430	713.11	339.14	1397.83	193.01	206.94	220.32	353.59	450.94	178.77	172.65	279.14	126.12	0.0	0.6	555.41	808.0	909.17	1127.35	1143.1	379.04	1059.11	454.09	189.02	1378.57	463.65	1477.58	854.13	1030.12	1199.98	1111.82	638.15	194.36	1639.59	669.92	1073.91	708.18	206.94	669.92	733.19	575.03	483.38	438.59	836.53	743.43	463.65	708.18	791.35	1023.0	466.88	934.76	866.07	1167.14	988.12	389.72	599.49	351.14	1030.12	1304.15	1111.82	743.43	713.11	902.89	470.14	1081.39	1111.82
KIAA1107	71.0	50.27	165.57	2.23	7.88	1.27	29.27	24.11	1.85	5.63	43.02	1.62	0.0	0.0	15.8	73.54	43.63	76.71	55.49	21.94	55.49	10.88	5.41	96.01	37.59	78.34	45.85	64.34	84.04	92.7	32.82	10.55	91.41	42.41	100.83	40.64	5.96	44.89	56.28	18.7	17.9	19.53	30.78	67.12	29.7	38.12	27.84	62.12	17.77	72.52	59.97	103.69	61.25	21.32	32.82	5.96	68.55	62.12	53.95	52.08	81.14	55.89	13.42	74.58	104.42
KPNA5	177.53	85.82	395.18	43.02	43.02	14.14	81.71	80.57	17.25	15.8	46.5	18.7	47.84	74.58	175.07	242.88	102.97	314.17	181.28	93.35	236.21	74.58	63.89	325.29	145.02	214.27	185.11	190.34	341.51	316.37	187.71	65.72	363.56	122.64	460.44	305.55	128.79	171.45	190.34	92.05	133.36	71.5	90.14	208.38	153.34	84.04	361.04	244.57	93.35	265.87	127.89	217.27	137.14	100.83	112.77	139.07	323.03	283.05	205.5	226.54	258.57	346.29	111.21	244.57	723.08
MAP3K4	555.41	511.0	733.19	158.79	172.65	96.68	267.73	215.77	121.79	120.1	139.07	81.71	0.0	0.78	293.07	457.25	234.57	674.59	301.33	205.5	376.41	323.03	128.79	656.11	339.14	329.84	591.22	303.44	587.13	624.99	603.67	69.03	299.25	620.67	796.86	273.37	224.97	353.59	543.96	297.17	384.34	279.14	366.09	457.25	332.14	173.85	684.02	426.57	329.84	460.44	209.84	457.25	599.49	297.17	327.56	316.37	674.59	507.46	438.59	429.54	500.46	555.41	176.29	563.18	503.95
MAU2	733.19	450.94	974.5	186.4	154.42	170.25	236.21	320.8	171.45	193.01	232.94	100.83	329.84	102.25	285.03	713.11	836.53	718.08	599.49	264.03	651.58	358.54	353.59	928.3	525.39	665.29	808.0	825.0	633.73	1259.69	432.53	332.14	791.35	529.06	1268.46	616.37	185.11	669.92	813.63	406.31	660.68	607.87	679.29	633.73	417.77	379.04	830.75	890.44	518.15	813.63	490.14	995.0	723.08	258.57	332.14	190.34	759.08	1397.83	1447.15	878.17	656.11	878.17	406.31	1059.11	928.3
MBTD1	147.06	199.85	679.29	49.21	74.06	59.13	134.3	139.07	48.52	61.68	79.45	62.12	83.45	84.04	114.36	189.02	137.14	289.02	156.59	96.68	181.28	102.25	71.0	291.04	104.42	197.09	89.51	175.07	343.89	281.09	120.94	60.82	381.68	163.28	334.46	232.94	80.57	161.02	212.78	96.68	155.5	74.58	110.43	158.79	85.82	77.25	249.73	165.57	91.41	173.85	139.07	242.88	205.5	67.12	177.53	100.13	285.03	264.03	260.38	187.71	237.86	312.0	71.5	287.01	376.41
MED23	305.55	215.77	669.92	92.7	90.77	74.06	162.14	202.66	68.55	84.63	173.85	67.59	0.0	0.61	129.69	327.56	209.84	532.74	199.85	130.6	307.69	170.25	118.43	384.34	118.43	423.61	177.53	329.84	438.59	583.07	158.79	146.03	638.15	341.51	743.43	376.41	136.19	221.86	384.34	297.17	161.02	214.27	212.78	260.38	176.29	195.72	473.41	285.03	212.78	376.41	265.87	532.74	256.78	132.44	283.05	158.79	403.5	406.31	486.75	339.14	420.68	412.0	186.4	575.03	660.68
MFAP4	95949.32	56265.94	12244.81	2555.58	1233.75	703.28	67377.47	60723.88	20.86	1096.5	24660.96	384.34	0.0	0.6	44145.15	61571.56	108699.57	28132.47	69753.56	44145.15	63742.91	86474.27	6121.9	132900.7	85283.74	71219.26	52497.92	59474.18	51775.15	43537.38	51062.33	32092.64	23820.89	63742.91	31432.17	47974.16	65082.31	75280.1	84109.6	65990.84	65990.84	40062.48	72715.74	61571.56	65082.31	59887.86	50011.46	56265.94	53973.86	80683.28	53601.03	104996.83	70238.75	51062.33	49322.93	42641.37	84694.64	67846.12	64186.29	55877.28	83528.61	75803.72	55491.3	55491.3	30572.63
MFSD8	144.01	199.85	305.55	114.36	96.01	76.17	146.03	133.36	206.94	78.34	58.3	79.45	0.0	0.2	98.73	142.01	111.21	336.79	93.35	95.34	220.32	79.45	100.83	181.28	96.01	145.02	103.69	147.06	281.09	228.13	92.05	136.19	323.03	172.65	351.14	178.77	72.01	190.34	241.19	224.97	100.13	123.5	100.13	154.42	97.36	82.87	256.78	206.94	148.09	195.72	103.69	273.37	195.72	127.89	134.3	60.82	186.4	140.04	180.02	126.12	209.84	176.29	154.42	177.53	256.78
MOB3B	74.58	72.01	384.34	38.4	41.81	8.78	123.5	346.29	21.63	9.34	123.5	11.21	0.0	0.27	181.28	403.5	220.32	307.69	158.79	189.02	547.75	199.85	94.01	532.74	279.14	327.56	334.46	275.28	567.1	444.72	297.17	142.01	438.59	191.67	351.14	371.22	165.57	201.25	316.37	228.13	212.78	183.82	204.07	239.52	86.43	74.58	215.77	314.17	156.59	303.44	190.34	348.71	183.82	62.12	171.45	151.22	713.11	514.56	258.57	223.41	143.01	122.64	72.01	102.25	214.27
NPHP3	231.32	202.66	660.68	53.95	51.35	21.78	103.69	205.5	50.98	45.85	131.51	33.54	0.0	0.64	169.07	323.03	412.0	341.51	275.28	190.34	332.14	154.42	82.87	289.02	123.5	392.44	269.6	438.59	595.34	567.1	193.01	135.24	693.58	242.88	684.02	329.84	43.63	223.41	417.77	133.36	202.66	171.45	271.48	236.21	264.03	348.71	346.29	460.44	148.09	591.22	366.09	575.03	307.69	189.02	177.53	50.98	571.05	571.05	525.39	400.71	305.55	543.96	215.77	688.78	708.18
NT5C3A	532.74	967.76	825.0	180.02	199.85	104.42	325.29	392.44	181.28	109.66	201.25	224.97	860.08	267.73	612.11	718.08	665.29	961.07	759.08	571.05	743.43	532.74	397.93	884.29	381.68	1015.93	403.5	1127.35	872.1	830.75	543.96	341.51	1508.65	387.02	830.75	521.76	389.72	532.74	633.73	371.22	395.18	312.0	575.03	708.18	728.11	463.65	825.0	500.46	660.68	684.02	540.19	1183.45	616.37	521.76	563.18	460.44	1088.92	759.08	974.5	616.37	616.37	769.69	381.68	633.73	961.07
PAN3	323.03	309.83	1030.12	127.0	99.43	29.27	189.02	199.85	68.07	82.29	91.41	98.04	172.65	358.54	420.68	486.75	429.54	791.35	332.14	277.2	466.88	318.57	165.57	529.06	297.17	529.06	361.04	616.37	603.67	480.04	371.22	251.48	848.22	412.0	825.0	447.82	332.14	373.81	392.44	379.04	395.18	239.52	457.25	376.41	376.41	387.02	620.67	463.65	343.89	381.68	287.01	647.07	473.41	341.51	332.14	334.46	450.94	376.41	435.55	256.78	529.06	583.07	262.2	497.0	698.41
PCMTD1	819.3	1286.18	3146.52	173.85	269.6	105.15	305.55	583.07	191.67	199.85	525.39	105.15	332.14	309.83	1427.22	1268.46	647.07	1639.59	890.44	775.05	1781.89	1233.75	218.79	1417.35	802.41	1757.34	796.86	1216.75	1950.0	1674.06	1111.82	406.31	1662.49	1088.92	1519.15	1304.15	507.46	1015.93	1104.13	1030.12	934.76	571.05	1023.0	1159.07	1081.39	1015.93	1437.15	1096.5	860.08	1331.57	733.19	1066.48	1331.57	802.41	988.12	1175.27	1359.57	1662.49	1216.75	995.0	1427.22	1119.56	563.18	1233.75	1769.57
PEX1	251.48	291.04	521.76	159.9	158.79	116.78	197.09	228.13	185.11	171.45	177.53	118.43	0.0	0.59	143.01	218.79	249.73	368.65	104.42	169.07	264.03	130.6	83.45	329.84	101.54	312.0	125.24	234.57	473.41	397.93	114.36	63.0	518.15	256.78	713.11	220.32	70.51	265.87	283.05	221.86	124.37	198.47	146.03	195.72	115.97	105.15	447.82	323.03	204.07	271.48	185.11	389.72	237.86	111.21	204.07	72.01	358.54	269.6	463.65	271.48	327.56	303.44	269.6	429.54	521.76
PHF3	444.72	379.04	1119.56	164.42	169.07	58.3	223.41	764.36	142.01	162.14	373.81	88.88	0.0	0.53	476.71	642.59	629.35	896.64	429.54	473.41	656.11	529.06	152.28	743.43	320.8	759.08	490.14	603.67	1015.93	660.68	603.67	159.9	1216.75	447.82	780.44	599.49	356.05	540.19	780.44	400.71	348.71	400.71	460.44	616.37	384.34	521.76	934.76	432.53	463.65	718.08	291.04	607.87	674.59	381.68	591.22	444.72	830.75	896.64	647.07	366.09	575.03	669.92	323.03	748.61	679.29
PIGG	802.41	718.08	1001.93	511.0	414.87	303.44	435.55	567.1	307.69	358.54	366.09	351.14	0.0	0.95	507.46	1001.93	1104.13	866.07	842.36	334.46	780.44	258.57	417.77	1183.45	575.03	1008.9	656.11	1159.07	819.3	1498.22	507.46	423.61	1769.57	555.41	1359.57	830.75	199.85	656.11	638.15	366.09	503.95	518.15	1059.11	878.17	532.74	320.8	785.88	1277.29	665.29	825.0	633.73	1208.34	872.1	420.68	460.44	224.97	713.11	1001.93	1388.16	651.58	896.64	651.58	476.71	1008.9	1066.48
PKN2	629.35	521.76	854.13	100.13	118.43	65.72	198.47	136.19	67.12	73.03	140.04	110.43	341.51	181.28	348.71	551.56	248.0	1081.39	376.41	231.32	381.68	309.83	190.34	620.67	363.56	543.96	353.59	493.56	808.0	571.05	329.84	194.36	890.44	521.76	753.83	400.71	231.32	368.65	432.53	299.25	287.01	279.14	325.29	346.29	242.88	281.09	426.57	343.89	353.59	432.53	332.14	620.67	414.87	301.33	327.56	251.48	470.14	438.59	624.99	420.68	583.07	647.07	265.87	575.03	651.58
