	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.B0.5691.01A.11R.1541.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5711.01A.11R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BP.5187.01A.01R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.B8.4622.01A.02R.1277.07	TCGA.DD.A3A8.11A.11R.A22L.07
LTN1	84.04	71.0	218.79	273.37	173.85	69.52	108.9	139.07	121.79	198.47	119.26	232.94	101.54	54.33	86.43	70.51	265.87	212.78	155.5	87.03	336.79	242.88	105.15	127.0	94.67	198.47	248.0	76.17	228.13	150.17	141.02	187.71	175.07	209.84	71.0	111.99	71.5	183.82	130.6	71.5	49.91	195.72	33.54
MAP3K7	191.67	195.72	312.0	387.02	273.37	214.27	226.54	285.03	175.07	277.2	186.4	363.56	197.09	172.65	314.17	251.48	305.55	351.14	265.87	249.73	389.72	316.37	262.2	307.69	289.02	460.44	376.41	275.28	307.69	258.57	277.2	423.61	389.72	264.03	273.37	231.32	189.02	358.54	229.72	183.82	191.67	358.54	64.34
MAP4K3	88.26	166.73	327.56	353.59	255.0	215.77	318.57	291.04	201.25	299.25	197.09	444.72	217.27	101.54	164.42	206.94	339.14	339.14	275.28	204.07	353.59	435.55	182.55	185.11	191.67	271.48	285.03	253.23	309.83	312.0	217.27	420.68	226.54	283.05	198.47	198.47	165.57	334.46	195.72	246.28	264.03	348.71	67.12
MAPK14	669.92	318.57	733.19	825.0	665.29	450.94	457.25	466.88	420.68	723.08	348.71	808.0	444.72	343.89	518.15	412.0	780.44	769.69	595.34	242.88	698.41	785.88	525.39	312.0	371.22	780.44	718.08	476.71	802.41	616.37	412.0	693.58	674.59	642.59	279.14	647.07	406.31	521.76	540.19	346.29	497.0	748.61	521.76
MARCH5	1662.49	297.17	620.67	647.07	583.07	366.09	438.59	529.06	208.38	536.45	323.03	723.08	579.04	420.68	497.0	327.56	624.99	629.35	599.49	217.27	583.07	698.41	400.71	511.0	389.72	444.72	555.41	379.04	616.37	579.04	466.88	595.34	503.95	571.05	293.07	518.15	420.68	587.13	473.41	480.04	244.57	638.15	417.77
MAVS	134.3	193.01	256.78	490.14	356.05	134.3	214.27	158.79	239.52	291.04	161.02	447.82	142.01	104.42	201.25	148.09	353.59	400.71	132.44	131.51	373.81	447.82	269.6	127.0	173.85	309.83	591.22	117.6	543.96	264.03	223.41	314.17	204.07	277.2	138.1	182.55	111.99	269.6	189.02	142.01	199.85	318.57	87.03
MBD5	176.29	152.28	371.22	551.56	353.59	128.79	312.0	301.33	156.59	316.37	166.73	417.77	211.31	141.02	173.85	201.25	450.94	444.72	246.28	166.73	400.71	361.04	224.97	153.34	208.38	540.19	521.76	220.32	429.54	320.8	234.57	320.8	218.79	429.54	214.27	220.32	229.72	480.04	291.04	163.28	177.53	351.14	98.04
MPHOSPH8	400.71	351.14	559.28	748.61	665.29	262.2	620.67	543.96	420.68	775.05	246.28	854.13	325.29	420.68	447.82	559.28	603.67	738.29	466.88	540.19	1111.82	728.11	514.56	299.25	486.75	656.11	961.07	267.73	967.76	483.38	503.95	536.45	329.84	785.88	476.71	325.29	412.0	733.19	813.63	348.71	379.04	629.35	98.73
NARG2	242.88	223.41	559.28	547.75	381.68	271.48	551.56	599.49	305.55	457.25	295.11	656.11	460.44	283.05	320.8	368.65	616.37	529.06	532.74	277.2	503.95	679.29	384.34	336.79	381.68	599.49	638.15	363.56	679.29	289.02	441.64	381.68	339.14	612.11	271.48	438.59	334.46	698.41	395.18	320.8	267.73	500.46	73.54
NDUFA4L2	327241.36	71219.26	66449.85	36610.26	73221.53	69271.73	83528.61	124000.67	96616.71	56657.31	120609.84	32315.87	96616.71	67377.47	88905.42	80683.28	51062.33	40904.3	81809.59	94628.34	102836.01	45072.75	167058.21	102836.01	100023.92	77396.54	46019.85	162489.97	53973.86	93325.55	95286.54	78476.96	109455.64	53230.77	96616.71	95949.32	73221.53	41475.31	92040.7	118127.7	94628.34	55107.99	120.1
OSBPL9	872.1	1159.07	1427.22	1651.0	1605.83	1023.0	1519.15	2047.0	1151.06	1733.13	638.15	1639.59	1216.75	813.63	1709.26	1127.35	1359.57	1745.2	1340.84	909.17	1769.57	1605.83	1096.5	1037.29	1594.73	1733.13	1651.0	981.29	1551.09	1437.15	1304.15	1651.0	1030.12	1697.45	1259.69	1277.29	1183.45	1572.76	1322.37	896.64	1023.0	1487.87	638.15
OXR1	1498.22	205.5	753.83	764.36	420.68	289.02	595.34	703.28	620.67	665.29	392.44	1250.98	373.81	208.38	356.05	381.68	620.67	785.88	395.18	470.14	2090.03	693.58	497.0	262.2	575.03	830.75	1104.13	547.75	819.3	825.0	332.14	713.11	500.46	848.22	400.71	389.72	309.83	1233.75	435.55	363.56	368.65	1111.82	105.15
PHC3	68.55	84.04	329.84	525.39	226.54	100.13	163.28	218.79	96.68	316.37	84.63	567.1	149.12	51.35	107.38	104.42	423.61	543.96	165.57	120.1	353.59	483.38	157.68	92.05	129.69	305.55	514.56	105.89	579.04	199.85	162.14	253.23	273.37	353.59	172.65	212.78	99.43	403.5	154.42	124.37	128.79	285.03	32.82
PIAS1	450.94	237.86	457.25	599.49	406.31	165.57	392.44	406.31	242.88	525.39	289.02	624.99	320.8	182.55	241.19	208.38	525.39	532.74	447.82	197.09	620.67	703.28	267.73	248.0	241.19	476.71	748.61	185.11	718.08	336.79	291.04	343.89	314.17	503.95	248.0	438.59	253.23	603.67	420.68	258.57	201.25	473.41	106.63
POLH	246.28	113.56	327.56	571.05	248.0	115.16	193.01	209.84	128.79	251.48	153.34	353.59	124.37	151.22	133.36	155.5	307.69	291.04	172.65	125.24	353.59	212.78	217.27	102.25	267.73	231.32	403.5	171.45	320.8	231.32	185.11	201.25	220.32	476.71	133.36	149.12	121.79	381.68	159.9	110.43	81.71	182.55	60.39
PTPN11	514.56	679.29	988.12	1143.1	738.29	575.03	616.37	629.35	486.75	1143.1	819.3	928.3	476.71	371.22	583.07	400.71	866.07	854.13	698.41	376.41	866.07	915.51	813.63	587.13	563.18	1159.07	748.61	432.53	896.64	866.07	571.05	665.29	738.29	860.08	423.61	748.61	620.67	848.22	599.49	579.04	503.95	921.88	291.04
RAB3GAP1	896.64	463.65	713.11	764.36	647.07	426.57	642.59	769.69	346.29	780.44	486.75	708.18	480.04	423.61	521.76	567.1	642.59	759.08	551.56	497.0	713.11	743.43	470.14	493.56	486.75	624.99	693.58	420.68	854.13	599.49	480.04	679.29	753.83	842.36	441.64	571.05	480.04	728.11	583.07	409.15	490.14	616.37	189.02
RAB3GAP2	180.02	139.07	269.6	397.93	303.44	167.9	234.57	218.79	143.01	351.14	195.72	371.22	212.78	114.36	157.68	134.3	366.09	389.72	249.73	132.44	299.25	381.68	182.55	190.34	197.09	303.44	392.44	126.12	450.94	267.73	228.13	309.83	275.28	336.79	191.67	244.57	162.14	366.09	260.38	175.07	135.24	297.17	35.5
RAD50	226.54	316.37	473.41	579.04	403.5	325.29	480.04	291.04	299.25	493.56	356.05	476.71	182.55	329.84	242.88	307.69	703.28	607.87	325.29	368.65	540.19	514.56	384.34	303.44	320.8	551.56	866.07	299.25	808.0	473.41	429.54	450.94	226.54	665.29	248.0	318.57	206.94	723.08	571.05	262.2	368.65	384.34	29.91
RASA1	211.31	146.03	432.53	536.45	368.65	239.52	309.83	295.11	169.07	444.72	267.73	583.07	237.86	212.78	267.73	273.37	518.15	525.39	320.8	262.2	575.03	470.14	299.25	273.37	204.07	486.75	718.08	264.03	507.46	307.69	297.17	503.95	435.55	432.53	167.9	293.07	209.84	507.46	432.53	318.57	231.32	438.59	75.64
RBL2	633.73	429.54	915.51	1127.35	830.75	384.34	703.28	1015.93	441.64	1008.9	423.61	1216.75	571.05	291.04	406.31	346.29	909.17	1286.18	813.63	503.95	1397.83	1111.82	599.49	423.61	389.72	1268.46	1498.22	518.15	1015.93	802.41	607.87	928.3	583.07	995.0	540.19	713.11	457.25	954.43	703.28	356.05	379.04	1175.27	249.73
RGPD8	3.17	13.32	30.12	58.3	33.3	4.82	17.0	21.32	19.97	16.15	9.78	37.05	8.85	5.92	18.97	8.99	45.21	33.54	5.02	22.1	25.54	41.22	17.0	24.28	9.56	34.51	52.08	8.51	46.84	16.63	17.64	31.22	47.84	20.26	15.34	10.55	7.17	43.02	15.0	4.1	19.82	36.79	8.19
RHOT1	444.72	329.84	540.19	607.87	532.74	379.04	441.64	497.0	463.65	612.11	414.87	595.34	400.71	264.03	336.79	287.01	525.39	525.39	490.14	293.07	616.37	583.07	361.04	371.22	493.56	551.56	591.22	389.72	511.0	595.34	450.94	536.45	490.14	532.74	384.34	466.88	420.68	656.11	441.64	329.84	318.57	466.88	159.9
RICTOR	87.03	68.07	135.24	242.88	145.02	109.66	123.5	150.17	87.65	172.65	139.07	224.97	80.57	61.25	70.51	109.66	186.4	242.88	111.21	130.6	178.77	228.13	103.69	70.01	85.82	154.42	256.78	102.25	197.09	119.26	138.1	195.72	150.17	190.34	114.36	116.78	57.08	205.5	108.14	152.28	101.54	187.71	24.11
