	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.B0.5691.01A.11R.1541.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5711.01A.11R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BP.5187.01A.01R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.B8.4622.01A.02R.1277.07	TCGA.DD.A3A8.11A.11R.A22L.07
VPS53	435.55	125.24	264.03	303.44	273.37	123.5	159.9	182.55	146.03	191.67	185.11	325.29	94.67	111.21	141.02	132.44	334.46	283.05	202.66	226.54	256.78	397.93	197.09	169.07	164.42	217.27	363.56	142.01	403.5	175.07	208.38	273.37	358.54	199.85	239.52	193.01	139.07	260.38	185.11	105.15	108.9	267.73	154.42
VWA9	567.1	463.65	684.02	647.07	591.22	368.65	595.34	612.11	406.31	656.11	536.45	743.43	633.73	490.14	363.56	536.45	679.29	665.29	603.67	387.02	629.35	612.11	547.75	559.28	518.15	651.58	567.1	543.96	674.59	470.14	521.76	575.03	521.76	665.29	403.5	571.05	480.04	718.08	1008.9	441.64	366.09	612.11	316.37
WHSC1L1	802.41	373.81	579.04	500.46	540.19	195.72	599.49	532.74	507.46	684.02	366.09	928.3	229.72	273.37	406.31	389.72	603.67	785.88	497.0	253.23	961.07	684.02	460.44	429.54	307.69	743.43	819.3	409.15	738.29	529.06	432.53	759.08	591.22	616.37	457.25	426.57	384.34	791.35	571.05	211.31	187.71	660.68	86.43
XPO4	49.91	50.27	141.02	183.82	129.69	63.0	88.88	92.7	65.72	125.24	57.89	171.45	71.5	50.63	74.06	54.72	161.02	155.5	96.68	48.87	116.78	162.14	82.87	55.1	74.58	127.89	141.02	38.95	158.79	106.63	94.67	111.99	87.65	151.22	53.57	119.26	58.3	139.07	78.89	73.03	33.3	133.36	37.32
YPEL2	64.34	264.03	511.0	595.34	447.82	221.86	384.34	387.02	368.65	764.36	260.38	921.88	435.55	198.47	293.07	323.03	802.41	896.64	483.38	285.03	902.89	575.03	403.5	441.64	291.04	674.59	764.36	329.84	743.43	460.44	275.28	647.07	376.41	559.28	336.79	341.51	466.88	514.56	688.78	269.6	435.55	587.13	78.34
YTHDC2	108.9	195.72	314.17	295.11	206.94	141.02	221.86	273.37	172.65	187.71	237.86	295.11	129.69	138.1	139.07	180.02	267.73	336.79	167.9	237.86	341.51	283.05	332.14	220.32	249.73	307.69	457.25	214.27	297.17	98.04	193.01	339.14	169.07	363.56	226.54	228.13	113.56	341.51	206.94	217.27	231.32	249.73	56.28
ZBED6	54.72	30.78	141.02	269.6	115.16	22.1	57.08	78.34	53.95	154.42	48.18	232.94	48.52	10.08	21.16	16.88	236.21	220.32	62.12	26.67	116.78	211.31	69.03	52.82	28.45	101.54	211.31	18.7	241.19	105.15	59.97	129.69	100.83	138.1	31.0	70.01	27.44	113.56	66.65	32.36	44.89	169.07	6.67
ZBTB43	387.02	49.91	83.45	148.09	89.51	47.5	64.8	90.77	70.51	96.01	48.18	172.65	54.33	73.54	43.32	55.89	140.04	187.71	122.64	58.3	130.6	110.43	89.51	87.03	44.57	122.64	130.6	40.93	115.16	57.49	76.71	115.16	70.51	82.87	76.17	78.89	53.57	178.77	141.02	35.76	98.04	64.34	54.72
ZCCHC4	69.52	80.01	127.0	167.9	127.0	100.13	128.79	163.28	76.71	158.79	92.05	149.12	115.16	95.34	90.77	121.79	141.02	141.02	118.43	94.01	151.22	104.42	138.1	72.52	104.42	153.34	167.9	138.1	147.06	94.67	114.36	118.43	109.66	146.03	130.6	107.38	92.05	151.22	143.01	85.22	73.03	137.14	36.27
ZFP91	507.46	384.34	775.05	954.43	660.68	363.56	470.14	483.38	318.57	759.08	387.02	819.3	480.04	381.68	366.09	371.22	813.63	896.64	591.22	356.05	638.15	775.05	483.38	341.51	432.53	733.19	718.08	371.22	769.69	633.73	454.09	780.44	543.96	780.44	309.83	780.44	473.41	759.08	521.76	371.22	215.77	703.28	212.78
