	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.A9ST.01A.11R.A42T.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.DK.A2I6.01A.12R.A18C.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.RA.A741.01A.11R.A33Z.07	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.VR.AA4G.01A.11R.A37I.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZT9W.2126.SM.51MSF
GPR115	291.04	45.21	27.25	228.13	77.79	241.19	698.41	1295.13	2573.36	2075.59	620.67	2075.59	2018.8	3928.15	1991.0	2956.17	2400.97	1242.34	2537.92	6079.61	5366.37	0.0	0.0	1617.0
GRASP	13.52	81.71	71.0	46.18	86.43	90.14	403.5	58.3	332.14	287.01	392.44	473.41	273.37	1806.78	198.47	343.89	120.94	1167.14	249.73	173.85	194.36	26.47	0.0	103.69
KIDINS220	139.07	140.04	140.04	107.38	181.28	176.29	1066.48	271.48	460.44	532.74	258.57	567.1	314.17	536.45	559.28	656.11	547.75	728.11	379.04	420.68	420.68	82.87	205.5	177.53
KRIT1	120.1	239.52	170.25	228.13	258.57	189.02	642.59	361.04	529.06	1008.9	447.82	738.29	379.04	1832.01	638.15	775.05	514.56	1081.39	447.82	476.71	435.55	117.6	0.0	224.97
LEMD3	84.04	53.19	49.91	130.6	202.66	163.28	323.03	197.09	267.73	309.83	177.53	312.0	197.09	1044.52	279.14	444.72	201.25	381.68	208.38	232.94	194.36	45.21	0.0	152.28
LMTK2	43.32	87.03	43.32	70.51	87.03	88.88	199.85	115.97	251.48	299.25	127.0	376.41	187.71	723.08	195.72	143.01	232.94	540.19	283.05	205.5	242.88	112.77	126.12	389.72
LPAR4	0.0	0.0	0.0	0.88	0.88	3.92	22.59	4.35	20.71	19.25	100.13	18.29	2.14	25.17	13.72	23.08	12.55	10.39	6.36	0.96	13.22	0.0	0.0	1.45
MSRB3	15.8	23.42	21.01	169.07	46.18	33.06	2351.53	45.53	587.13	551.56	339.14	205.5	665.29	591.22	332.14	624.99	152.28	283.05	77.79	669.92	307.69	54.72	0.0	25.91
OSBPL3	197.09	87.65	96.68	202.66	162.14	127.0	1001.93	232.94	206.94	316.37	202.66	872.1	133.36	1651.0	511.0	503.95	193.01	234.57	429.54	241.19	241.19	39.22	0.0	258.57
PDE3A	1.19	6.31	4.24	4.1	8.06	5.19	551.56	4.35	82.87	62.56	71.0	224.97	52.08	334.46	38.67	202.66	10.63	27.44	10.71	23.25	18.29	4.06	21.01	3.72
PEX1	99.43	142.01	81.14	115.97	241.19	177.53	397.93	167.9	323.03	563.18	297.17	540.19	208.38	981.29	514.56	432.53	366.09	733.19	303.44	249.73	277.2	73.54	0.0	119.26
PLEKHH2	13.62	3.38	2.03	5.92	5.59	49.21	429.54	46.84	131.51	346.29	39.5	206.94	65.26	236.21	98.73	204.07	61.25	409.15	98.73	150.17	102.97	2.58	0.0	6.84
PON2	320.8	974.5	1111.82	954.43	1350.18	480.04	2319.15	713.11	1529.73	4671.57	1963.57	2855.44	1216.75	9279.58	2119.22	2004.85	1295.13	3103.19	1685.71	1268.46	860.08	4704.07	0.0	253.23
POU6F1	81.71	33.54	38.12	50.63	76.71	62.56	320.8	15.0	172.65	95.34	58.3	158.79	183.82	297.17	85.22	409.15	75.64	155.5	110.43	139.07	97.36	44.57	0.0	19.68
RAPGEF5	23.25	14.67	21.47	47.17	41.81	44.25	825.0	99.43	312.0	366.09	214.27	444.72	246.28	866.07	450.94	409.15	262.2	303.44	237.86	228.13	271.48	43.63	0.0	155.5
RBAK	50.63	52.45	55.1	61.68	56.28	66.65	237.86	120.1	143.01	183.82	88.26	193.01	96.01	228.13	176.29	169.07	167.9	208.38	131.51	136.19	134.3	39.22	0.0	129.69
RP11-211G3.3	0.0	0.0	0.0	0.0	0.0	0.0	15.11	4.82	0.0	12.74	0.0	22.75	0.0	18.97	6.11	51.35	1.79	6.36	0.0	5.54	5.96	0.0	0.0	0.0
RP11-468E2.2	3.2	3.56	0.0	4.06	5.02	4.21	10.39	2.51	13.42	9.06	0.0	17.51	14.56	17.64	15.0	20.11	6.62	22.75	9.27	15.34	14.78	1.48	0.0	1.48
RUFY2	57.49	80.57	80.01	135.24	98.04	90.77	267.73	169.07	185.11	197.09	143.01	262.2	114.36	297.17	229.72	305.55	195.72	228.13	161.02	145.02	170.25	36.27	0.0	92.7
SCAF8	125.24	224.97	99.43	164.42	224.97	199.85	441.64	248.0	327.56	379.04	253.23	406.31	234.57	341.51	361.04	358.54	320.8	507.46	256.78	279.14	305.55	86.43	0.0	199.85
SHPRH	6.73	21.47	8.0	9.7	26.67	14.78	112.77	42.11	68.55	84.04	43.32	125.24	47.17	89.51	91.41	90.77	71.0	137.14	63.45	76.71	70.51	15.45	0.0	24.63
STK36	158.79	140.04	281.09	80.01	190.34	251.48	688.78	197.09	525.39	547.75	348.71	825.0	547.75	860.08	587.13	1051.79	669.92	995.0	587.13	406.31	579.04	91.41	0.0	60.82
SYNGAP1	38.12	47.5	17.77	78.89	55.49	100.83	543.96	110.43	406.31	813.63	255.0	432.53	312.0	395.18	414.87	642.59	312.0	866.07	251.48	301.33	316.37	11.73	0.0	63.45
TAOK1	58.71	111.99	128.79	108.14	84.04	94.67	412.0	159.9	279.14	273.37	165.57	406.31	185.11	638.15	295.11	334.46	283.05	392.44	248.0	231.32	206.94	47.17	148.09	155.5
TSLP	0.89	3.32	2.56	37.32	1.68	2.63	123.5	170.25	163.28	110.43	44.25	61.25	104.42	356.05	150.17	212.78	133.36	70.51	98.04	34.75	97.36	29.48	0.0	55.89
TUBA1A	454.09	660.68	4481.23	1015.93	1457.23	1023.0	9673.69	1250.98	3665.02	5672.41	3372.43	2468.49	12415.75	8191.0	5791.62	5403.7	1697.45	3491.39	1540.37	2335.28	2468.49	291.04	0.0	1104.13
VAMP2	406.31	651.58	314.17	780.44	423.61	693.58	1447.15	684.02	934.76	947.83	909.17	947.83	708.18	1674.06	1242.34	1304.15	921.88	1143.1	941.27	896.64	830.75	295.11	497.0	693.58
ZBTB1	123.5	145.02	105.89	173.85	195.72	248.0	551.56	273.37	395.18	376.41	193.01	463.65	281.09	525.39	412.0	830.75	384.34	444.72	249.73	361.04	373.81	82.29	0.0	234.57
ZNF536	0.0	0.0	0.0	0.3	0.0	0.33	6.36	0.79	12.83	1.79	1.28	2.71	16.39	4.5	7.22	2.25	7.4	3.96	0.85	24.46	26.47	0.0	0.0	0.0
