	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07
ANGPTL1	305.55	397.93	915.51	2682.69	518.15	246.28	291.04	961.07	738.29	432.53	327.56	551.56	255.0	961.07	830.75	591.22	400.71	361.04	297.17	256.78	275.28	389.72	336.79	656.11	366.09	50.98	198.47	4.06	31.9	110.43	44.57	132.44	208.38	89.51	92.05	123.5	127.89	0.0
ARSD	1286.18	1857.6	2047.0	2468.49	1806.78	2573.36	1561.89	1806.78	1388.16	1819.35	961.07	2271.4	764.36	2032.85	1437.15	2758.13	1745.2	2090.03	961.07	1104.13	1508.65	1378.57	1819.35	1769.57	1594.73	387.02	497.0	205.5	314.17	244.57	275.28	836.53	532.74	884.29	457.25	567.1	414.87	299.25
ATG2B	171.45	142.01	159.9	241.19	293.07	236.21	171.45	241.19	303.44	234.57	147.06	253.23	148.09	248.0	172.65	371.22	305.55	169.07	87.65	136.19	156.59	195.72	221.86	190.34	190.34	130.6	103.69	78.89	92.05	65.72	85.22	121.79	111.99	108.9	53.57	89.51	131.51	0.0
ATP13A5	2.58	1.07	2.68	0.83	17.13	2.86	7.4	21.47	11.3	4.54	1.81	8.0	1.23	31.0	9.06	5.82	2.71	3.11	0.33	1.06	4.28	2.94	3.41	0.0	4.46	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B3GALTL	175.07	187.71	293.07	187.71	265.87	151.22	231.32	450.94	199.85	237.86	144.01	269.6	116.78	199.85	224.97	180.02	187.71	159.9	121.79	138.1	115.16	189.02	139.07	234.57	164.42	43.94	46.5	23.59	68.07	44.25	26.1	42.41	84.04	28.24	28.86	35.5	41.81	0.0
BRI3BP	167.9	176.29	283.05	323.03	255.0	214.27	289.02	275.28	241.19	409.15	162.14	285.03	140.04	190.34	173.85	297.17	236.21	193.01	146.03	172.65	211.31	199.85	229.72	271.48	231.32	40.36	60.39	67.12	69.52	89.51	97.36	66.18	79.45	69.03	71.0	59.97	62.56	181.28
BTC	106.63	162.14	587.13	170.25	638.15	159.9	244.57	802.41	190.34	218.79	96.01	260.38	92.7	223.41	223.41	180.02	177.53	140.04	185.11	121.79	130.6	205.5	113.56	166.73	144.01	16.15	31.67	8.58	12.55	6.26	1.03	12.36	10.79	5.45	3.47	11.13	9.85	0.0
BTG2	5633.22	16045.82	18689.27	2682.69	4937.99	4972.34	13872.08	18052.61	17317.18	2255.7	3395.89	9025.81	1950.0	8247.98	3039.3	29327.18	11504.21	3564.78	9344.14	2434.5	2573.36	6561.36	5403.7	11909.94	4512.4	127.89	1159.07	155.5	314.17	142.01	269.6	928.3	221.86	236.21	153.34	363.56	206.94	0.0
BVES	36.01	38.95	191.67	68.55	199.85	65.72	21.94	293.07	75.11	72.52	18.16	73.03	10.31	39.79	94.67	115.97	104.42	28.65	19.11	8.45	21.01	20.26	23.08	63.45	98.04	1.55	3.44	2.14	3.82	1.38	2.66	3.11	3.89	2.71	2.61	2.92	1.85	0.0
C2ORF15	134.3	146.03	400.71	234.57	279.14	314.17	170.25	406.31	234.57	221.86	105.89	217.27	136.19	253.23	194.36	161.02	176.29	183.82	127.0	98.04	125.24	121.79	118.43	169.07	96.01	4.31	12.36	4.17	19.97	3.82	4.39	6.26	9.27	1.89	4.78	5.87	5.41	0.0
C5orf47	1.3	5.73	7.17	2.66	3.14	3.14	3.41	4.86	6.01	3.72	3.26	9.48	2.89	6.26	5.82	4.17	8.13	3.11	5.23	2.46	2.73	3.32	1.91	4.06	4.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5orf63	130.6	105.15	209.84	135.24	269.6	96.68	145.02	356.05	127.0	117.6	57.49	122.64	75.64	186.4	167.9	92.05	150.17	114.36	80.57	63.89	73.54	94.01	81.14	82.87	99.43	90.77	83.45	37.85	39.5	52.82	127.0	81.71	71.0	87.03	73.03	75.11	70.01	0.0
C7orf41	3039.3	2701.35	5633.22	3742.05	4181.07	2287.2	1950.0	6037.61	2956.17	3901.01	1605.83	4066.71	988.12	3349.13	3280.18	3039.3	2855.44	3168.41	1477.58	1628.26	2119.22	2997.45	1923.14	3847.29	3081.75	54.72	112.77	64.34	96.68	43.02	37.59	100.13	134.3	85.22	60.82	79.45	75.11	145.02
C8orf34	29.06	5.68	76.17	57.08	91.41	52.45	4.43	50.27	32.36	29.91	4.31	25.17	2.05	27.84	38.67	35.0	65.26	10.79	6.16	3.14	1.55	2.56	9.41	16.39	22.43	0.93	1.85	0.42	0.55	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCDC134	126.12	105.15	163.28	285.03	108.14	130.6	156.59	139.07	183.82	159.9	128.79	121.79	79.45	236.21	107.38	139.07	208.38	146.03	81.14	119.26	145.02	138.1	140.04	169.07	127.0	53.57	71.5	90.77	63.0	65.72	27.84	60.82	42.41	43.32	45.21	48.18	33.78	0.0
CCDC135	50.98	43.63	285.03	158.79	70.01	169.07	92.05	248.0	57.08	31.67	12.83	38.95	7.94	45.85	44.25	29.27	52.82	69.52	24.28	26.1	14.56	40.07	21.47	24.46	36.53	4.17	4.7	2.46	8.13	7.4	3.0	6.11	7.94	3.41	4.21	3.2	3.26	0.0
CLCN4	47.84	69.52	82.87	145.02	81.71	82.29	108.14	123.5	120.94	118.43	78.89	83.45	66.18	115.97	87.65	162.14	113.56	60.39	38.67	71.0	99.43	66.18	121.79	85.82	122.64	53.19	56.68	36.27	32.82	36.53	37.85	30.56	46.5	35.25	44.25	32.82	30.34	0.0
CLDN19	2047.0	2287.2	21026.65	6337.83	20737.16	3190.46	2645.74	19482.97	3716.2	2537.92	674.59	2915.45	457.25	2664.15	1977.24	2997.45	2855.44	2502.97	1183.45	1096.5	1662.49	2178.83	2240.11	4358.66	2875.3	3.92	8.38	0.49	7.51	2.01	0.52	3.66	3.76	0.52	0.49	1.06	0.0	0.0
CLMN	743.43	497.0	780.44	995.0	723.08	629.35	1119.56	796.86	872.1	703.28	532.74	796.86	463.65	651.58	529.06	928.3	830.75	403.5	470.14	825.0	543.96	759.08	620.67	665.29	872.1	426.57	403.5	251.48	536.45	303.44	511.0	384.34	607.87	423.61	363.56	438.59	198.47	194.36
COBLL1	1991.0	1857.6	4450.27	3443.31	5183.54	3901.01	4836.35	5441.3	5555.65	3768.09	1508.65	3018.3	1135.2	4358.66	2468.49	3443.31	3419.52	1745.2	1216.75	1286.18	1977.24	2133.97	1757.34	2835.7	2701.35	392.44	753.83	236.21	476.71	239.52	353.59	679.29	1350.18	1015.93	503.95	878.17	638.15	0.0
CORIN	37.59	12.93	120.94	61.25	117.6	19.97	16.75	75.11	85.22	22.1	20.86	44.25	12.09	102.25	40.93	52.08	58.71	21.94	26.67	17.64	17.64	14.45	16.03	26.47	49.56	1.87	4.46	0.74	2.66	0.0	0.77	2.14	0.82	1.33	0.77	6.46	1.45	0.0
DENND1B	159.9	175.07	318.57	283.05	366.09	232.94	320.8	463.65	444.72	289.02	152.28	297.17	218.79	379.04	253.23	379.04	297.17	165.57	123.5	150.17	183.82	169.07	176.29	309.83	253.23	36.27	86.43	31.0	82.29	45.21	57.89	53.95	63.0	43.63	18.03	66.65	59.55	136.19
DLG3	665.29	579.04	974.5	780.44	1167.14	629.35	571.05	1119.56	902.89	808.0	395.18	819.3	249.73	1015.93	583.07	981.29	1008.9	698.41	351.14	414.87	397.93	575.03	514.56	796.86	642.59	10.96	72.52	21.16	20.56	11.73	19.82	30.12	38.95	25.72	20.26	32.13	23.93	0.0
DNAJC19	2032.85	2935.74	3901.01	1651.0	2627.46	1651.0	1605.83	3794.3	2451.44	2720.15	1540.37	2573.36	1963.57	2664.15	4239.45	2032.85	1991.0	2720.15	2816.11	1572.76	1519.15	2367.9	1477.58	2240.11	1769.57	1487.87	1208.34	796.86	1250.98	961.07	1242.34	1572.76	1259.69	1397.83	743.43	1617.0	1369.04	0.0
DNM3	185.11	166.73	373.81	318.57	808.0	202.66	197.09	473.41	242.88	162.14	90.14	191.67	51.71	163.28	209.84	223.41	231.32	139.07	71.5	107.38	133.36	161.02	102.97	178.77	161.02	9.93	12.64	19.68	27.84	19.25	10.39	6.16	3.99	4.82	2.68	6.31	5.82	0.0
EGR2	305.55	884.29	423.61	130.6	325.29	212.78	3901.01	1151.06	507.46	12.0	186.4	1001.93	21.32	157.68	217.27	4239.45	947.83	106.63	669.92	118.43	55.49	291.04	295.11	1233.75	403.5	9.13	135.24	2.56	6.31	10.63	71.5	96.68	15.68	90.77	51.71	156.59	22.75	0.0
ELL3	65.26	73.03	100.83	55.1	116.78	75.64	31.22	96.01	80.01	100.13	64.8	84.63	47.17	58.71	121.79	53.95	63.0	120.1	82.87	76.17	77.25	92.7	71.0	44.89	92.05	23.42	54.33	90.77	34.51	37.32	21.78	32.59	21.47	4.66	9.27	48.87	33.06	0.0
ERC1	351.14	231.32	454.09	813.63	392.44	318.57	521.76	438.59	591.22	327.56	301.33	379.04	183.82	629.35	271.48	536.45	486.75	258.57	136.19	246.28	332.14	301.33	295.11	297.17	299.25	71.5	102.97	88.26	76.71	58.3	81.71	79.45	88.26	66.65	90.77	75.64	81.14	0.0
ERCC6	67.12	57.08	50.27	95.34	71.5	81.71	84.63	76.71	94.01	94.67	43.32	65.72	56.28	93.35	58.71	122.64	94.01	48.52	27.64	55.89	47.17	90.14	60.39	87.65	90.77	40.36	47.17	30.34	53.19	27.44	59.55	35.25	53.57	38.95	14.24	37.59	19.82	0.0
EYA1	7.82	9.7	64.8	5.77	25.17	13.12	12.93	13.12	5.36	12.45	9.13	4.03	3.76	7.34	9.48	11.3	8.13	3.14	4.94	10.88	1.97	10.0	4.98	7.75	7.94	0.0	0.0	0.0	1.13	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FA2H	279.14	314.17	518.15	417.77	343.89	1651.0	420.68	269.6	164.42	269.6	145.02	241.19	74.06	163.28	273.37	208.38	248.0	212.78	175.07	220.32	206.94	269.6	167.9	236.21	363.56	1.38	28.86	1.55	4.28	2.63	0.0	5.28	7.0	4.98	3.17	1.64	2.63	0.0
FAM13A	915.51	791.35	1208.34	1407.55	3039.3	819.3	738.29	3124.78	1639.59	1143.1	547.75	1313.23	769.69	1844.76	909.17	1331.57	1417.35	872.1	571.05	579.04	775.05	921.88	896.64	1745.2	1044.52	363.56	669.92	30.34	514.56	80.01	223.41	438.59	1242.34	599.49	438.59	775.05	438.59	0.0
FAM149B1	373.81	497.0	511.0	361.04	698.41	503.95	579.04	703.28	518.15	603.67	438.59	511.0	507.46	511.0	591.22	514.56	514.56	507.46	363.56	395.18	392.44	429.54	497.0	412.0	463.65	273.37	264.03	231.32	246.28	249.73	248.0	273.37	297.17	269.6	169.07	351.14	229.72	0.0
FAM161B	102.97	113.56	135.24	87.65	246.28	88.26	121.79	177.53	127.89	124.37	108.14	152.28	87.03	154.42	198.47	162.14	146.03	87.65	81.14	104.42	112.77	105.89	152.28	125.24	119.26	86.43	53.19	55.49	21.32	44.57	60.82	134.3	38.95	25.17	22.43	129.69	27.25	0.0
FAM227B	275.28	381.68	486.75	229.72	358.54	295.11	307.69	567.1	387.02	293.07	314.17	371.22	301.33	346.29	329.84	343.89	429.54	269.6	303.44	249.73	251.48	301.33	244.57	271.48	275.28	89.51	64.34	33.06	90.77	64.8	83.45	87.65	92.7	84.04	57.08	113.56	86.43	0.0
FAN1	260.38	277.2	514.56	334.46	764.36	400.71	249.73	575.03	497.0	525.39	220.32	486.75	248.0	429.54	351.14	466.88	420.68	316.37	195.72	269.6	260.38	351.14	334.46	441.64	403.5	119.26	183.82	105.89	214.27	78.34	96.68	119.26	152.28	115.97	103.69	104.42	125.24	0.0
FBXL4	312.0	332.14	603.67	432.53	620.67	341.51	379.04	703.28	543.96	490.14	271.48	460.44	248.0	466.88	384.34	497.0	473.41	356.05	244.57	267.73	299.25	309.83	323.03	454.09	371.22	114.36	135.24	82.29	128.79	92.7	76.71	156.59	146.03	146.03	121.79	173.85	129.69	0.0
FOXQ1	406.31	256.78	34.51	547.75	164.42	902.89	441.64	214.27	753.83	147.06	205.5	226.54	118.43	163.28	164.42	457.25	316.37	403.5	242.88	178.77	171.45	206.94	172.65	164.42	543.96	7.88	100.13	2.05	7.22	3.44	0.0	10.96	4.9	8.92	15.11	9.7	19.53	0.0
GABRB1	13.12	21.47	10.71	37.05	8.99	5.54	29.06	60.82	19.11	42.11	12.18	15.45	10.63	39.22	15.11	19.39	22.26	32.13	23.08	13.52	26.86	21.01	15.8	26.86	21.63	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GADL1	38.95	28.24	63.89	21.63	69.52	7.94	20.11	35.0	122.64	66.18	8.45	55.89	1.93	40.93	37.32	41.52	91.41	18.03	22.1	17.25	7.17	47.84	42.41	92.7	37.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCA	825.0	674.59	656.11	1051.79	409.15	532.74	842.36	688.78	974.5	733.19	599.49	669.92	607.87	842.36	743.43	684.02	961.07	647.07	825.0	559.28	514.56	559.28	480.04	567.1	723.08	303.44	320.8	35.25	341.51	236.21	223.41	146.03	248.0	124.37	126.12	181.28	237.86	0.0
GCNT2	329.84	567.1	480.04	400.71	460.44	316.37	412.0	543.96	532.74	473.41	312.0	476.71	265.87	521.76	387.02	559.28	599.49	353.59	297.17	318.57	329.84	417.77	269.6	507.46	500.46	138.1	150.17	128.79	46.5	102.25	105.89	139.07	175.07	162.14	166.73	176.29	181.28	0.0
GLIPR1L2	19.82	21.16	201.25	47.5	45.85	43.32	152.28	417.77	99.43	71.0	66.65	59.97	42.11	84.63	112.77	82.87	49.91	52.82	63.45	51.71	53.57	70.01	48.87	66.65	57.89	16.75	25.54	3.44	18.7	2.73	26.28	15.91	16.39	13.72	4.28	8.85	11.04	0.0
GNAI1	1639.59	1572.76	2875.3	2119.22	2895.31	1769.57	988.12	2855.44	2209.26	1963.57	791.35	2090.03	599.49	2090.03	2047.0	1819.35	2193.99	2075.59	1135.2	703.28	1023.0	1199.98	981.29	1977.24	1844.76	236.21	339.14	155.5	281.09	231.32	307.69	332.14	295.11	256.78	279.14	325.29	217.27	194.36
GNL3L	150.17	119.26	73.03	307.69	121.79	224.97	221.86	85.82	163.28	176.29	127.89	229.72	117.6	226.54	107.38	251.48	214.27	116.78	63.0	140.04	140.04	158.79	167.9	228.13	212.78	23.08	63.0	45.53	35.76	38.4	37.32	23.08	40.36	20.86	36.27	24.28	22.92	0.0
GRIP1	51.71	61.25	37.85	108.9	101.54	66.18	119.26	55.1	162.14	56.28	41.52	80.57	26.67	84.04	41.52	103.69	74.06	31.67	22.75	50.63	41.52	52.45	38.12	55.89	92.7	1.83	4.9	1.2	0.0	0.44	0.87	0.64	3.11	4.78	1.0	1.66	0.6	0.0
GTF2H2	341.51	339.14	435.55	241.19	269.6	460.44	429.54	283.05	420.68	387.02	249.73	473.41	177.53	514.56	595.34	497.0	473.41	320.8	473.41	170.25	167.9	346.29	61.68	1167.14	540.19	100.83	73.03	131.51	100.83	98.04	25.72	67.12	37.05	75.64	38.95	139.07	43.63	0.0
HIP1	629.35	665.29	1407.55	1216.75	1572.76	595.34	723.08	1923.14	921.88	961.07	379.04	1073.91	211.31	825.0	842.36	915.51	1030.12	1015.93	289.02	379.04	567.1	884.29	529.06	921.88	688.78	142.01	166.73	130.6	120.1	90.14	148.09	88.26	124.37	92.7	139.07	90.14	98.73	0.0
HOXC10	1233.75	1594.73	2997.45	848.22	3820.7	915.51	743.43	4575.41	1167.14	1295.13	1225.22	1519.15	1286.18	1250.98	1639.59	1313.23	1457.23	1477.58	1295.13	1023.0	1135.2	860.08	1529.73	1781.89	1369.04	0.0	0.0	1.53	0.0	0.0	5.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HOXC9	358.54	460.44	599.49	187.71	1051.79	262.2	221.86	769.69	258.57	234.57	218.79	361.04	197.09	669.92	759.08	412.0	371.22	518.15	291.04	163.28	204.07	289.02	269.6	409.15	199.85	0.0	0.0	2.2	2.34	0.0	8.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IGSF10	25.54	16.03	36.01	46.18	44.25	24.11	8.32	96.68	43.94	40.36	7.57	54.72	6.16	64.8	55.1	33.78	30.12	42.41	10.39	4.54	18.29	15.11	17.13	63.0	28.86	1.93	17.64	0.88	5.28	4.82	3.0	23.76	4.5	3.23	8.45	17.51	13.42	0.0
IGSF3	529.06	540.19	381.68	656.11	314.17	974.5	607.87	309.83	638.15	674.59	376.41	674.59	206.94	802.41	327.56	748.61	674.59	571.05	246.28	368.65	426.57	555.41	490.14	743.43	466.88	27.05	18.97	13.83	7.69	6.06	18.43	4.74	7.17	4.1	4.86	4.43	7.0	0.0
IL1RL2	163.28	73.03	142.01	56.68	209.84	40.93	89.51	116.78	64.8	111.99	49.56	88.26	44.25	79.45	80.57	108.9	89.51	119.26	40.93	54.33	62.56	110.43	71.5	112.77	199.85	7.94	32.82	34.51	10.47	15.0	39.79	33.78	15.34	30.34	15.68	39.5	40.64	0.0
KAT2B	291.04	389.72	620.67	420.68	866.07	358.54	525.39	1066.48	559.28	470.14	314.17	493.56	332.14	426.57	540.19	555.41	483.38	346.29	327.56	334.46	303.44	392.44	363.56	507.46	441.64	157.68	334.46	125.24	228.13	183.82	185.11	241.19	392.44	279.14	186.4	376.41	297.17	0.0
KCNH1	0.96	1.77	1.69	2.61	4.39	1.75	8.51	5.15	9.93	1.64	0.72	5.06	0.0	7.94	0.36	5.77	6.01	5.41	1.62	1.73	4.24	6.57	4.54	0.8	3.76	0.45	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KCNK13	149.12	122.64	587.13	389.72	587.13	269.6	169.07	339.14	327.56	181.28	146.03	460.44	62.56	223.41	285.03	277.2	202.66	293.07	170.25	116.78	197.09	172.65	258.57	241.19	180.02	0.71	16.63	4.13	2.12	2.92	4.35	0.93	8.0	2.03	1.95	3.96	2.25	0.0
KCTD16	37.05	32.13	241.19	95.34	291.04	37.32	49.56	264.03	83.45	63.0	12.83	80.57	12.18	49.21	45.21	76.71	63.89	32.36	17.25	8.99	27.44	29.27	25.72	75.64	56.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.56	0.0
KDM4D	12.83	16.27	23.76	24.63	27.25	24.46	15.8	20.56	17.25	19.82	22.75	31.45	13.93	26.1	28.45	24.63	23.59	24.11	20.11	16.03	28.45	17.25	23.59	34.75	10.88	7.46	8.51	2.66	6.01	1.93	4.39	5.06	6.06	2.41	4.17	5.23	1.06	0.0
KIAA0947	260.38	248.0	361.04	295.11	483.38	229.72	239.52	493.56	327.56	309.83	205.5	301.33	185.11	320.8	221.86	318.57	285.03	228.13	162.14	224.97	215.77	303.44	258.57	267.73	229.72	70.01	108.14	62.12	82.29	50.63	55.49	69.52	87.65	51.35	29.7	63.45	63.45	0.0
KIAA1024	3.29	2.89	2.92	8.13	3.69	2.68	2.81	4.21	19.11	9.63	1.48	4.43	2.92	2.12	3.66	2.94	3.08	1.19	1.33	2.48	3.14	4.1	2.32	2.46	10.39	0.69	0.71	0.62	1.31	0.64	0.65	0.0	0.71	0.0	0.0	0.72	0.0	0.0
KLHL14	155.5	127.0	660.68	476.71	551.56	226.54	318.57	684.02	307.69	269.6	77.79	256.78	43.32	327.56	205.5	206.94	327.56	175.07	109.66	90.77	90.14	135.24	156.59	226.54	175.07	0.0	1.45	0.0	0.0	0.0	1.28	0.0	1.11	0.56	0.54	0.0	0.0	0.0
KLLN	18.7	17.0	27.44	25.54	30.12	16.03	28.24	59.97	27.64	28.45	23.76	35.25	26.28	47.84	24.99	38.12	27.64	21.32	16.51	19.11	25.17	16.88	26.86	33.06	15.68	4.13	5.15	4.31	11.82	6.31	4.13	6.41	11.47	4.03	8.13	8.13	5.5	0.0
LHX1	51.71	110.43	31.67	134.3	197.09	201.25	967.76	65.26	48.87	127.0	109.66	108.14	84.04	120.1	62.56	92.7	68.07	148.09	79.45	171.45	120.1	226.54	186.4	49.21	186.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LMO7	2209.26	1832.01	2609.3	3018.3	3901.01	2400.97	2434.5	3540.14	2915.45	2502.97	1313.23	2485.67	872.1	2351.53	2400.97	2384.37	2485.67	1923.14	1233.75	1322.37	1733.13	2209.26	1662.49	2133.97	2739.08	836.53	941.27	497.0	743.43	536.45	743.43	836.53	954.43	728.11	703.28	780.44	723.08	0.0
LRGUK	9.2	4.39	5.28	14.45	2.53	7.0	6.41	6.46	6.84	4.66	5.54	8.92	5.5	16.27	7.06	12.27	8.25	9.85	4.31	5.73	4.39	7.51	6.57	7.0	13.93	3.86	0.95	0.85	0.0	2.89	1.41	2.56	0.0	2.23	0.95	1.03	2.43	0.0
