	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.S4Q7.0626.SM.4AD5M	GTEX.13FLV.1126.SM.5J2NO	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.5375.01A.01R.1628.07	TCGA.50.5055.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5049.01A.01R.1628.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31
MRPS23	332.14	1051.79	743.43	974.5	571.05	748.61	587.13	591.22	733.19	420.68	2682.69	8840.04	1605.83	1806.78	4543.8	3395.89	2485.67	0.08	2287.2	5633.22	8421.31	3690.52	4972.34	4972.34	5041.77	2895.31	981.29	1030.12	1183.45	1175.27	1127.35	579.04	718.08
MRPS28	447.82	1594.73	941.27	1199.98	941.27	1051.79	764.36	884.29	836.53	651.58	5791.62	2915.45	1639.59	2178.83	4268.94	5633.22	2075.59	0.52	1832.01	3928.15	2875.3	4903.87	2591.27	2591.27	3395.89	3742.05	1378.57	1286.18	1369.04	1674.06	1519.15	684.02	713.11
MTFP1	85.82	567.1	172.65	111.99	115.16	297.17	206.94	454.09	567.1	567.1	1407.55	2090.03	435.55	624.99	1883.54	1135.2	1051.79	0.23	796.86	1745.2	1551.09	2417.67	890.44	890.44	1447.15	902.89	265.87	651.58	476.71	693.58	473.41	351.14	285.03
NDUFA6	1199.98	1819.35	1745.2	1733.13	1594.73	1572.76	2303.12	1540.37	1216.75	1322.37	4298.64	6652.97	1819.35	3491.39	2434.5	2997.45	2777.33	0.85	2104.58	3039.3	5594.3	4512.4	2351.53	2351.53	4239.45	3589.58	3690.52	1896.65	2119.22	1991.0	3280.18	2032.85	1457.23
NDUFA7	368.65	2976.74	1883.54	1250.98	1662.49	2018.8	1870.53	1617.0	1467.37	1467.37	3614.55	4010.71	2133.97	3467.27	6037.61	3190.46	2895.31	0.52	1806.78	2976.74	6250.56	4010.71	2351.53	2351.53	3372.43	3515.68	3190.46	2609.3	2400.97	2758.13	2224.63	1259.69	1119.56
NDUFA8	507.46	1561.89	1191.69	1127.35	1088.92	1277.29	1208.34	1295.13	1051.79	872.1	2032.85	3515.68	1794.29	2004.85	2645.74	3235.01	1896.65	0.21	1477.58	2148.82	2520.38	2451.44	3614.55	3614.55	2468.49	3395.89	1806.78	1832.01	1685.71	2178.83	1617.0	934.76	1059.11
NDUFB6	108.14	1388.16	941.27	1030.12	796.86	842.36	813.63	684.02	595.34	808.0	2502.97	3018.3	1498.22	2400.97	2758.13	4358.66	1331.57	0.66	1639.59	3325.99	2997.45	4736.79	2573.36	2573.36	3039.3	5366.37	2271.4	1733.13	1437.15	1709.26	2573.36	928.3	836.53
NDUFB7	351.14	4038.61	5403.7	3190.46	4903.87	5913.33	5329.3	4268.94	4123.49	3847.29	10512.82	10659.59	6121.9	12160.22	13872.08	13968.57	7857.29	0.87	5995.9	10585.95	12943.04	11827.67	7382.04	7382.04	10883.59	9344.14	6516.03	5791.62	5751.61	6516.03	7230.1	3847.29	3018.3
NDUFB9	1870.53	4512.4	5006.93	4836.35	4038.61	7485.11	4358.66	4543.8	3955.48	3847.29	23492.92	37639.55	7803.01	9540.5	22850.48	20310.37	11584.24	0.83	8305.36	13968.57	16045.82	19618.49	13033.07	13033.07	13968.57	15285.81	7803.01	7857.29	7857.29	8778.97	9215.48	4298.64	3443.31
NEDD8	1936.53	7180.15	5147.73	5711.87	5255.91	5594.3	5112.16	3874.05	3103.19	3349.13	15607.02	17437.64	5791.62	8022.41	19892.37	22692.63	7382.04	0.97	7966.99	12076.21	12329.98	18052.61	6699.25	6699.25	14163.58	9673.69	9945.68	5831.91	8305.36	6381.92	10084.54	2758.13	2796.65
NHP2L1	961.07	2875.3	2664.15	3060.45	2032.85	3443.31	2061.24	1540.37	1685.71	2664.15	8247.98	11992.79	4481.23	3257.52	5872.48	6294.04	4836.35	0.92	4802.93	6516.03	7485.11	5479.15	6745.86	6745.86	6079.61	6471.02	3325.99	3540.14	2335.28	2645.74	2520.38	1857.6	1769.57
NPC2	2796.65	5751.61	3564.78	4704.07	3280.18	2609.3	3325.99	3349.13	3716.2	3491.39	8840.04	7857.29	5183.54	5555.65	9673.69	19892.37	17681.08	0.29	21617.82	20737.16	36106.23	15075.35	8658.09	8658.09	25005.23	10883.59	3168.41	6426.31	3372.43	4543.8	4210.15	3060.45	2468.49
NSMCE2	366.09	713.11	571.05	674.59	563.18	575.03	450.94	303.44	363.56	389.72	1819.35	2032.85	612.11	1059.11	2573.36	2240.11	961.07	0.72	1104.13	2119.22	2351.53	1757.34	1662.49	1662.49	2119.22	1159.07	713.11	612.11	567.1	620.67	575.03	420.68	412.0
NUDT14	172.65	1313.23	295.11	297.17	403.5	521.76	363.56	607.87	555.41	435.55	1191.69	1191.69	583.07	698.41	2555.58	3820.7	1583.71	0.3	1605.83	1963.57	1594.73	2645.74	2148.82	2148.82	1950.0	733.19	457.25	620.67	395.18	514.56	318.57	281.09	305.55
OAZ1	4450.27	30361.44	18304.63	16843.62	19754.96	19892.37	20593.91	18431.96	17197.56	16157.44	24153.43	43236.64	22535.88	28525.2	27553.49	34635.37	35363.15	5329.3	35363.15	40904.3	50359.33	52135.28	24490.61	24490.61	38164.99	42641.37	17437.64	16727.26	30785.28	20310.37	24490.61	11745.96	10959.3
