	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.BH.A0DT.01A.21R.A12D.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A25A.01A.12R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.AR.A2LO.01A.31R.A18M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.BH.A0DK.01A.21R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.A8.A06N.01A.11R.A00Z.07	TCGA.A2.A0CV.01A.31R.A115.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CCDC71L	95.34	142.01	70.01	76.17	150.17	234.57	117.6	212.78	105.89	329.84	320.8	171.45	96.68	99.43	54.72	189.02	107.38	107.38	267.73	130.6	94.67	164.42	239.52	158.79	38.95	41.52	125.24	55.89	177.53	76.17	92.05	70.01	228.13	108.9	57.89	96.01	132.44	60.39	129.69	121.79	42.41	220.32	84.04	400.71	170.25	74.06	194.36	183.82	15.45	153.34	67.12	145.02	92.7	126.12	221.86	124.37	80.01	221.86	107.38	289.02	104.42	80.57	101.54	137.14	100.13	91.41	98.04	1104.13	97.36
CLDN11	39.5	432.53	27.25	26.47	57.49	269.6	147.06	202.66	79.45	860.08	785.88	325.29	34.51	85.82	3.86	571.05	26.86	29.91	87.03	24.63	17.77	137.14	708.18	223.41	75.11	19.68	90.14	6.67	137.14	67.12	116.78	40.64	629.35	159.9	102.97	39.22	124.37	30.56	325.29	12.64	58.3	228.13	5.54	384.34	420.68	23.76	249.73	497.0	4.7	58.71	27.44	158.79	52.45	63.89	460.44	68.07	38.4	703.28	12.0	642.59	87.65	6.06	10.47	64.34	18.7	7.22	30.56	16.88	162.14
CNRIP1	77.25	239.52	42.11	127.0	145.02	412.0	155.5	173.85	73.03	536.45	547.75	217.27	153.34	139.07	99.43	218.79	60.39	92.05	231.32	63.0	47.17	295.11	463.65	198.47	132.44	70.51	96.01	55.89	318.57	130.6	119.26	66.65	395.18	195.72	89.51	74.06	218.79	112.77	189.02	109.66	74.06	281.09	35.25	264.03	384.34	67.12	253.23	460.44	32.82	92.05	58.71	199.85	85.82	125.24	412.0	98.04	108.9	120.94	62.12	339.14	98.04	43.02	8.71	63.89	59.13	23.25	191.67	0.0	0.62
CNTNAP3B	2.34	32.36	1.75	2.63	9.56	26.1	9.78	23.25	2.56	162.14	144.01	53.19	8.58	5.59	0.74	66.65	0.46	5.68	6.01	0.44	0.4	34.26	26.67	24.46	7.4	4.24	1.45	0.0	19.53	1.19	10.24	2.46	31.0	7.46	9.78	10.79	26.28	8.32	36.79	1.46	4.78	17.0	0.41	37.59	38.12	3.82	47.17	18.84	4.39	3.17	1.79	47.84	17.77	1.1	28.86	1.36	0.42	52.08	2.61	60.39	10.71	6.94	0.0	2.41	3.79	7.51	3.2	0.0	0.36
COX6C	168220.2	223512.12	256748.15	331809.5	194578.47	48643.87	209994.66	47313.67	170568.48	15180.22	13123.73	198667.0	221968.2	211455.3	355624.68	92680.9	265802.39	195931.88	263966.36	242898.5	140478.49	144427.91	74760.09	148488.36	228208.61	28723.62	186652.11	229795.93	69753.56	391864.76	425853.18	217400.14	39785.74	320506.81	170568.48	205673.01	177811.84	117311.73	82951.62	269512.87	174152.51	160252.91	76861.91	50011.46	48643.87	189257.69	38164.99	56265.94	195931.88	194578.47	253213.41	180294.02	437825.58	527933.71	6250.56	200048.85	197294.7	184082.4	228208.61	39510.91	286861.53	205673.01	180294.02	223512.12	492579.5	204252.32	164758.26	7331.05	1167.14
DZIP1	40.36	126.12	26.47	46.5	71.5	169.07	31.9	98.73	33.78	299.25	177.53	139.07	32.36	64.8	20.71	150.17	53.57	59.55	79.45	11.91	13.62	102.25	162.14	122.64	44.57	30.56	61.68	23.93	106.63	69.03	55.1	40.07	166.73	154.42	46.18	33.78	80.57	27.84	105.15	53.95	22.26	73.54	7.22	119.26	171.45	24.63	133.36	125.24	16.03	59.13	19.25	71.0	35.5	55.1	146.03	51.35	30.34	121.79	24.46	163.28	52.08	17.77	3.44	56.28	15.22	5.02	151.22	0.0	0.64
EGFR	25.54	277.2	23.59	18.03	59.97	301.33	40.07	140.04	16.39	603.67	379.04	248.0	64.34	59.13	6.46	279.14	19.97	45.53	43.02	9.13	8.06	104.42	269.6	163.28	42.41	13.22	22.43	6.46	190.34	37.05	45.21	10.16	199.85	122.64	25.54	35.25	248.0	17.51	220.32	24.46	28.86	72.52	0.77	148.09	177.53	13.93	163.28	361.04	2.16	24.11	6.89	136.19	31.9	24.46	255.0	24.81	80.01	217.27	7.0	305.55	43.32	9.41	2.23	34.51	6.36	1.36	41.22	0.0	0.72
F2RL2	181.28	825.0	118.43	61.25	56.28	1447.15	253.23	728.11	120.1	1721.16	1199.98	1733.13	490.14	723.08	72.01	748.61	90.77	551.56	206.94	22.1	87.65	713.11	1259.69	703.28	497.0	88.26	348.71	57.49	988.12	209.84	287.01	114.36	1781.89	507.46	4.31	234.57	961.07	117.6	514.56	33.54	78.34	368.65	2.71	638.15	808.0	131.51	371.22	954.43	2.94	181.28	99.43	651.58	218.79	115.16	915.51	66.65	438.59	293.07	16.39	775.05	287.01	5.28	583.07	423.61	32.13	25.72	195.72	0.0	0.3
FLRT2	21.32	67.12	13.62	29.06	41.22	209.84	32.13	65.72	11.38	423.61	215.77	82.29	16.63	47.17	25.17	105.89	12.18	12.83	57.08	7.4	13.72	100.83	239.52	90.14	20.86	13.93	15.11	10.96	74.58	43.63	40.93	12.18	126.12	62.12	23.25	18.29	94.67	18.03	90.77	44.25	22.43	61.68	2.12	101.54	279.14	15.56	103.69	150.17	1.66	21.16	7.11	79.45	17.0	22.59	249.73	31.67	16.39	57.49	10.96	218.79	17.25	1.81	0.62	25.91	5.96	5.5	63.89	0.0	0.51
FOXO1	111.99	307.69	57.49	38.95	194.36	351.14	81.71	265.87	53.19	417.77	395.18	327.56	134.3	155.5	31.45	226.54	84.63	107.38	140.04	94.67	36.27	202.66	279.14	212.78	74.06	50.63	85.22	50.27	248.0	132.44	108.14	61.68	281.09	182.55	61.68	123.5	129.69	61.68	223.41	77.79	55.89	211.31	124.37	231.32	301.33	40.07	384.34	341.51	46.5	66.18	34.02	209.84	57.08	98.73	420.68	83.45	98.73	113.56	84.04	363.56	121.79	20.86	39.79	74.58	60.82	52.82	99.43	0.0	0.44
GRIA4	1.13	55.49	1.16	0.55	0.0	18.03	1.51	34.26	3.56	56.68	63.89	4.82	7.69	0.0	0.0	65.72	0.95	1.77	0.65	1.19	0.24	4.17	65.26	14.89	6.01	2.18	2.68	0.52	48.52	0.62	0.31	0.89	8.58	13.72	3.66	1.95	3.26	3.72	80.57	0.0	0.62	8.38	0.0	38.95	38.67	1.38	19.53	6.89	0.0	3.35	2.12	18.16	2.34	2.05	40.07	0.0	8.13	91.41	1.38	76.71	8.13	0.52	0.51	4.39	0.54	2.14	0.28	0.0	0.0
JAM2	92.05	297.17	31.0	124.37	115.16	660.68	236.21	281.09	96.68	860.08	1167.14	426.57	139.07	182.55	73.54	363.56	68.07	99.43	218.79	43.94	44.25	341.51	563.18	329.84	181.28	38.67	120.1	56.28	341.51	157.68	102.25	78.89	470.14	161.02	64.34	81.14	271.48	165.57	279.14	161.02	75.11	305.55	17.64	500.46	486.75	75.11	256.78	441.64	47.5	70.01	51.35	389.72	123.5	120.1	555.41	93.35	105.89	253.23	37.05	358.54	100.83	23.93	9.06	65.72	66.18	24.99	136.19	0.0	0.1
KLHL29	6.41	45.85	9.41	13.32	14.24	35.0	25.91	33.54	12.74	141.02	69.03	60.82	22.1	13.42	3.26	67.12	6.46	17.13	10.39	3.79	2.78	28.86	60.82	38.95	8.06	3.96	8.65	4.31	30.56	14.45	12.74	6.78	28.45	22.59	11.47	8.06	32.13	12.74	61.68	12.93	9.34	31.22	1.35	44.89	40.36	4.74	50.63	38.67	1.46	10.88	2.81	38.95	22.43	6.62	81.71	9.06	17.0	52.08	2.92	65.26	17.51	8.13	1.89	9.13	3.53	4.31	10.96	0.0	0.54
KLHL4	0.79	2.23	1.39	5.28	7.22	21.16	4.78	4.1	3.5	39.5	14.35	12.83	1.48	5.82	3.03	6.41	4.06	13.22	3.59	3.53	0.46	17.0	13.83	6.41	4.43	0.56	2.89	1.83	14.45	2.18	2.89	4.74	12.74	5.59	4.78	3.53	6.11	2.41	8.32	20.41	2.51	1.68	0.75	5.32	34.51	0.77	5.59	31.45	0.0	4.5	1.73	7.82	2.56	2.27	12.45	2.73	3.32	1.79	1.89	13.32	8.06	1.81	0.2	1.69	1.87	0.0	9.78	0.0	0.0
LIPG	8.25	37.05	15.68	6.16	4.86	69.52	18.43	50.63	11.91	91.41	84.04	78.89	6.41	18.97	2.36	61.25	3.35	4.31	10.39	0.64	3.32	30.34	34.75	21.01	7.82	7.75	4.03	1.14	25.54	5.02	5.15	4.1	19.97	32.59	11.3	23.76	15.45	5.19	37.85	1.91	4.06	16.15	0.87	31.9	46.18	7.51	32.13	35.5	6.78	5.11	1.27	38.67	2.46	3.08	25.72	14.14	10.47	6.46	1.46	59.97	3.92	0.85	1.11	5.5	1.17	0.57	3.56	0.0	0.0
LRCH2	8.71	19.82	4.86	3.44	11.55	50.27	7.63	19.68	5.45	64.8	45.85	27.05	4.78	8.85	2.23	21.47	4.24	10.31	9.13	2.71	2.66	18.97	44.89	24.28	8.51	2.81	4.94	3.59	21.78	13.52	8.99	7.28	38.67	17.13	6.67	5.73	9.93	4.46	15.68	8.25	4.66	15.91	0.97	20.41	35.0	3.69	19.68	33.54	1.38	8.99	3.69	19.68	4.82	9.27	48.87	9.78	6.46	15.34	1.91	32.13	9.85	3.89	0.65	7.69	1.89	0.37	17.25	0.0	0.28
MRVI1	87.65	255.0	76.71	85.82	113.56	206.94	81.14	170.25	57.89	551.56	297.17	128.79	27.44	50.27	60.39	150.17	116.78	61.25	115.16	44.25	34.02	197.09	277.2	237.86	175.07	32.59	74.06	34.75	183.82	187.71	77.79	52.82	248.0	204.07	172.65	50.27	92.05	70.51	152.28	85.22	62.56	105.15	17.77	119.26	199.85	29.27	187.71	224.97	12.45	153.34	28.86	96.01	56.68	116.78	262.2	70.01	61.25	89.51	46.18	234.57	100.83	81.14	38.4	111.21	41.81	85.22	115.16	0.0	0.59
MSRB3	151.22	450.94	79.45	194.36	260.38	703.28	173.85	423.61	111.99	947.83	785.88	356.05	117.6	122.64	66.65	483.38	167.9	169.07	249.73	100.83	49.56	521.76	693.58	532.74	212.78	87.65	147.06	90.14	356.05	305.55	183.82	127.89	708.18	497.0	178.77	162.14	299.25	138.1	450.94	309.83	144.01	334.46	24.11	387.02	603.67	94.01	426.57	503.95	25.35	251.48	55.49	283.05	72.01	205.5	866.07	149.12	148.09	441.64	74.58	688.78	255.0	97.36	5.15	190.34	43.02	10.24	314.17	0.0	0.55
NGFR	11.91	371.22	63.45	56.28	42.41	234.57	132.44	277.2	37.85	753.83	447.82	279.14	36.79	125.24	27.25	679.29	30.12	34.26	41.52	64.8	7.28	224.97	395.18	368.65	47.5	28.86	74.06	3.53	229.72	45.21	57.49	4.24	175.07	100.13	31.0	76.17	136.19	32.82	348.71	6.62	24.63	373.81	9.63	314.17	303.44	32.36	255.0	152.28	4.54	68.55	2.56	256.78	186.4	18.97	525.39	18.16	70.51	555.41	0.45	211.31	44.89	69.03	18.43	40.36	6.73	5.63	3.32	0.0	0.52
NUAK1	145.02	156.59	112.77	66.65	204.07	327.56	86.43	185.11	124.37	291.04	406.31	130.6	62.56	78.89	106.63	242.88	262.2	87.03	154.42	41.22	44.25	199.85	281.09	220.32	98.04	68.07	201.25	66.65	162.14	264.03	94.01	105.89	293.07	181.28	73.03	54.33	158.79	94.67	137.14	193.01	57.49	177.53	18.16	92.05	202.66	86.43	204.07	231.32	24.28	138.1	44.57	147.06	161.02	127.0	363.56	112.77	109.66	125.24	18.56	287.01	175.07	38.4	86.43	148.09	152.28	45.53	181.28	39.79	120.94
PARVA	309.83	1498.22	228.13	708.18	1127.35	1963.57	607.87	1313.23	836.53	1781.89	1572.76	1051.79	279.14	723.08	529.06	848.22	1757.34	583.07	1191.69	438.59	480.04	1135.2	1519.15	1340.84	995.0	796.86	890.44	616.37	1059.11	665.29	703.28	718.08	1617.0	1378.57	967.76	1135.2	854.13	860.08	1388.16	447.82	909.17	836.53	866.07	1081.39	1508.65	909.17	1111.82	1447.15	872.1	616.37	642.59	1733.13	642.59	921.88	1583.71	769.69	743.43	934.76	567.1	1529.73	674.59	463.65	447.82	708.18	656.11	420.68	1259.69	0.0	0.67
PCSK5	53.57	95.34	10.24	19.39	75.11	215.77	51.35	67.59	25.91	166.73	258.57	61.68	19.97	28.45	12.64	99.43	16.63	49.91	45.53	8.58	14.56	109.66	163.28	77.25	38.95	11.64	20.26	9.2	102.97	52.82	36.27	18.29	248.0	72.52	25.54	26.86	57.08	46.84	85.22	29.27	22.26	88.26	3.99	96.68	82.29	15.68	58.3	194.36	3.06	24.63	14.78	53.95	18.29	34.26	159.9	46.18	29.48	56.28	16.63	107.38	27.84	3.66	1.85	34.75	18.03	4.82	39.5	0.0	0.49
PDE1C	3.06	43.94	5.28	11.55	10.16	42.41	15.91	33.3	5.54	101.54	56.28	57.89	8.13	5.96	3.0	72.01	5.73	6.26	5.68	9.78	2.56	15.11	52.45	49.56	8.25	1.69	7.51	1.75	23.76	6.78	4.58	1.64	28.04	19.53	4.54	4.86	7.57	6.26	52.45	7.34	6.84	7.63	3.5	35.5	53.19	3.26	24.28	13.12	0.35	8.99	3.86	27.44	8.92	9.56	60.82	4.46	10.39	42.11	4.13	84.04	9.93	14.35	1.43	8.38	3.82	0.32	6.52	0.0	0.39
PDZRN3	128.79	500.46	25.72	72.52	186.4	1199.98	95.34	295.11	187.71	1104.13	866.07	221.86	55.89	173.85	80.57	271.48	193.01	158.79	258.57	38.67	93.35	255.0	728.11	358.54	176.29	91.41	112.77	237.86	320.8	221.86	205.5	141.02	647.07	269.6	256.78	114.36	165.57	164.42	307.69	52.45	138.1	339.14	255.0	651.58	384.34	195.72	303.44	616.37	616.37	115.16	420.68	665.29	87.65	218.79	1359.57	163.28	77.79	325.29	217.27	559.28	152.28	81.71	3.47	133.36	75.11	11.64	262.2	55.1	151.22
PLEKHG1	41.22	115.97	27.84	49.21	68.55	209.84	47.17	118.43	30.34	242.88	255.0	153.34	46.5	84.04	23.42	134.3	41.52	35.5	63.45	39.5	15.91	155.5	139.07	128.79	63.0	23.25	37.05	14.56	156.59	59.97	54.33	32.36	167.9	111.21	34.26	45.21	63.0	48.52	72.01	73.54	43.02	74.06	19.53	110.43	164.42	26.47	145.02	143.01	16.03	43.32	35.76	127.0	32.13	44.25	209.84	35.5	48.87	59.13	16.51	180.02	52.45	22.75	1.93	40.07	18.84	5.59	58.3	0.0	0.28
PRICKLE1	89.51	177.53	33.06	97.36	197.09	708.18	59.13	242.88	111.21	890.44	612.11	244.57	49.91	131.51	48.52	301.33	204.07	142.01	221.86	25.72	37.32	363.56	403.5	256.78	78.89	41.22	73.03	40.07	237.86	130.6	131.51	63.89	642.59	277.2	78.89	83.45	187.71	85.82	361.04	171.45	81.14	166.73	3.79	301.33	476.71	58.3	226.54	466.88	11.64	101.54	42.71	175.07	135.24	98.73	713.11	111.99	92.05	170.25	33.06	447.82	142.01	11.47	2.78	98.73	15.34	3.44	186.4	0.0	0.26
PRKD1	29.06	73.54	10.39	28.24	36.53	105.89	28.86	57.49	19.82	228.13	120.1	59.13	21.47	32.82	10.0	73.03	23.59	32.59	41.52	16.15	14.78	84.04	108.9	71.0	21.01	12.45	23.59	18.03	70.51	56.28	39.79	23.59	138.1	102.97	16.75	22.43	45.21	16.39	63.45	31.0	20.41	51.35	4.7	63.45	128.79	17.64	64.8	90.14	4.43	46.84	11.73	49.21	26.28	33.78	110.43	32.36	19.68	46.5	12.0	143.01	21.16	9.93	1.6	27.25	8.38	5.5	70.01	0.0	0.46
