	TCGA.BP.4798.01A.01R.1305.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11GSP.0626.SM.5986T	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	TCGA.55.6985.11A.01R.1949.07	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.S7SE.0926.SM.2XCD6	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13NZA.1426.SM.5KM4Y	GTEX.W5X1.0526.SM.3GILH
HIP1	258.57	139.07	108.9	124.37	134.3	103.69	56.68	66.18	66.65	102.25	500.46	595.34	842.36	299.25	961.07	819.3	551.56	242.88
HMG20A	567.1	226.54	400.71	392.44	291.04	379.04	389.72	260.38	371.22	406.31	629.35	595.34	785.88	872.1	878.17	819.3	379.04	830.75
HNRNPU	3081.75	1059.11	2895.31	1457.23	1697.45	1551.09	1617.0	1923.14	2271.4	1721.16	4210.15	6652.97	4543.8	2997.45	4239.45	3614.55	2163.77	4268.94
IL1R1	403.5	480.04	1519.15	599.49	1208.34	1088.92	764.36	884.29	547.75	854.13	2502.97	2090.03	1268.46	915.51	1407.55	1127.35	1477.58	1572.76
INMT-FAM188B	7.06	3.08	5.73	4.46	0.0	2.89	11.3	2.51	0.0	9.85	60.82	733.19	551.56	208.38	555.41	87.03	6.62	126.12
KHDRBS2	7.88	1.31	4.94	0.0	0.0	1.51	3.99	0.0	2.2	0.0	70.51	728.11	579.04	392.44	860.08	769.69	101.54	738.29
KIAA1407	96.01	4.94	49.91	20.11	16.75	34.26	17.25	33.54	25.91	33.54	125.24	248.0	265.87	343.89	265.87	341.51	65.26	314.17
KIAA1462	441.64	27.44	62.12	13.12	35.5	11.64	36.01	75.11	15.8	37.85	896.64	1936.53	1909.85	981.29	4010.71	2591.27	4358.66	1697.45
KRT1	1.62	0.0	17.13	4.62	1.41	3.26	0.55	12.74	87.03	1.89	17.0	336.79	540.19	148.09	177.53	223.41	23.93	17.25
LEPROT	1963.57	438.59	521.76	629.35	444.72	1001.93	656.11	511.0	486.75	642.59	1662.49	1651.0	3212.66	2555.58	3901.01	2061.24	1304.15	2335.28
LPHN3	9.93	0.0	9.85	6.01	10.47	4.58	2.46	0.91	3.63	6.46	36.79	547.75	112.77	145.02	476.71	748.61	70.51	22.43
MAML2	343.89	7.06	99.43	12.0	55.1	37.59	32.59	37.32	12.93	32.59	267.73	503.95	633.73	395.18	791.35	454.09	89.51	379.04
MCM9	178.77	36.79	141.02	49.91	44.25	88.26	98.73	133.36	85.22	115.16	197.09	175.07	346.29	429.54	316.37	249.73	211.31	316.37
MIB1	150.17	46.18	108.14	73.03	88.88	69.03	60.39	88.26	59.13	83.45	220.32	316.37	417.77	314.17	371.22	389.72	104.42	291.04
MPZL3	89.51	65.26	63.0	100.83	54.33	60.82	132.44	88.88	96.01	51.71	318.57	384.34	497.0	248.0	136.19	182.55	115.16	205.5
MRAP2	20.56	0.58	2.25	0.21	0.21	7.94	1.73	1.81	5.73	0.19	32.82	13.62	63.0	25.35	183.82	26.86	23.42	11.04
OTUD6B	111.99	17.51	60.39	49.56	30.12	68.55	59.55	55.1	36.53	70.01	146.03	178.77	189.02	171.45	414.87	215.77	127.0	162.14
P2RX5-TAX1BP3	6.01	2.2	0.28	2.12	2.1	2.84	6.01	0.99	1.28	2.48	7.4	8.58	6.84	10.96	5.63	11.13	6.94	7.34
PCDHB4	21.16	7.34	3.56	1.99	0.12	5.82	3.44	1.45	2.76	8.92	42.41	102.97	106.63	94.67	307.69	145.02	22.75	66.18
PELI1	567.1	56.68	307.69	47.17	312.0	126.12	107.38	114.36	414.87	129.69	738.29	961.07	860.08	406.31	587.13	595.34	397.93	320.8
PHACTR2	269.6	20.56	70.51	33.54	37.85	63.0	65.26	126.12	159.9	114.36	603.67	825.0	1991.0	457.25	1417.35	974.5	279.14	866.07
PNPLA8	387.02	76.71	242.88	249.73	307.69	253.23	189.02	209.84	289.02	237.86	432.53	884.29	665.29	368.65	395.18	500.46	346.29	454.09
POLR2M	638.15	112.77	295.11	217.27	232.94	267.73	248.0	251.48	217.27	205.5	490.14	988.12	669.92	583.07	848.22	638.15	559.28	909.17
PPP3R1	842.36	529.06	633.73	665.29	884.29	769.69	769.69	660.68	571.05	708.18	1001.93	1127.35	1909.85	1015.93	1073.91	1030.12	819.3	981.29
PRKACB	607.87	87.03	181.28	202.66	177.53	212.78	127.0	128.79	83.45	92.7	361.04	878.17	878.17	1119.56	1023.0	703.28	201.25	974.5
PRKRIR	703.28	105.15	316.37	180.02	141.02	165.57	271.48	267.73	264.03	244.57	693.58	775.05	2104.58	941.27	1369.04	780.44	629.35	1388.16
PURB	339.14	37.32	117.6	76.71	118.43	127.0	79.45	118.43	114.36	120.1	297.17	371.22	532.74	395.18	303.44	426.57	348.71	336.79
PYGO1	8.85	0.61	3.41	0.78	0.75	3.66	1.95	3.63	4.82	3.14	52.45	220.32	215.77	145.02	101.54	234.57	6.78	100.83
RAB30	134.3	70.51	112.77	49.56	58.71	38.12	82.29	77.79	75.11	85.22	149.12	693.58	406.31	197.09	297.17	293.07	73.03	211.31
RBMXL1	151.22	58.3	163.28	48.18	153.34	163.28	144.01	120.1	107.38	117.6	208.38	175.07	314.17	204.07	211.31	275.28	137.14	138.1
RECK	94.01	22.43	87.03	22.43	23.25	52.08	38.4	51.71	22.59	76.17	258.57	417.77	358.54	346.29	603.67	457.25	122.64	248.0
RNF11	2319.15	728.11	651.58	1030.12	633.73	1151.06	934.76	1030.12	679.29	738.29	1733.13	2645.74	3955.48	2209.26	3325.99	2645.74	1977.24	2537.92
RNF168	119.26	55.49	147.06	79.45	96.01	120.94	80.01	118.43	130.6	93.35	217.27	204.07	287.01	191.67	152.28	287.01	223.41	175.07
RUNX1T1	28.86	0.75	25.72	11.91	11.13	14.35	27.25	22.75	15.0	15.45	122.64	341.51	395.18	234.57	518.15	336.79	60.39	325.29
RYK	674.59	149.12	361.04	312.0	275.28	226.54	301.33	341.51	351.14	473.41	854.13	1143.1	2997.45	1477.58	1340.84	1295.13	463.65	1498.22
SKIL	432.53	42.11	232.94	62.12	182.55	113.56	116.78	348.71	190.34	163.28	624.99	1594.73	1709.26	507.46	460.44	1008.9	400.71	679.29
SLC7A4	1.11	7.22	19.53	1.97	3.14	7.94	5.32	11.04	9.48	7.69	27.84	52.82	51.35	31.45	152.28	47.17	9.93	23.25
SMIM13	103.69	73.54	82.29	128.79	59.97	100.13	130.6	113.56	101.54	92.05	124.37	119.26	255.0	94.01	80.57	190.34	119.26	178.77
SOCS5	234.57	38.67	133.36	38.67	56.28	81.14	82.87	78.34	71.0	120.94	224.97	293.07	309.83	332.14	397.93	312.0	159.9	327.56
SPARCL1	2956.17	58.71	872.1	92.7	153.34	599.49	293.07	140.04	264.03	463.65	5672.41	12415.75	13399.51	9344.14	16383.0	15824.9	1769.57	3018.3
TAF5L	318.57	153.34	181.28	134.3	212.78	202.66	169.07	198.47	157.68	199.85	297.17	312.0	426.57	316.37	341.51	409.15	273.37	299.25
TBC1D9	447.82	72.01	358.54	84.63	249.73	171.45	148.09	169.07	108.9	140.04	476.71	967.76	1225.22	934.76	961.07	1183.45	309.83	616.37
TMEM43	1340.84	232.94	463.65	180.02	256.78	251.48	253.23	291.04	303.44	336.79	1397.83	1350.18	1794.29	1806.78	2485.67	2701.35	1073.91	1397.83
TSPAN12	2287.2	256.78	273.37	493.56	954.43	450.94	215.77	624.99	307.69	320.8	1286.18	5183.54	12244.81	1697.45	13872.08	8134.41	3564.78	4268.94
TTBK2	112.77	21.78	92.7	31.9	20.56	38.12	32.82	27.44	43.02	36.27	105.89	117.6	114.36	127.89	140.04	141.02	51.35	142.01
TWISTNB	144.01	34.75	77.25	76.17	186.4	84.04	104.42	84.04	87.03	85.82	198.47	353.59	220.32	136.19	199.85	185.11	180.02	224.97
UBE2E2	915.51	563.18	878.17	753.83	341.51	902.89	1175.27	273.37	381.68	708.18	802.41	1540.37	759.08	1498.22	2224.63	1250.98	1662.49	1286.18
UBE3A	607.87	134.3	432.53	334.46	316.37	441.64	353.59	346.29	363.56	500.46	571.05	679.29	1096.5	583.07	1088.92	796.86	379.04	860.08
VHL	363.56	115.97	176.29	194.36	98.04	199.85	157.68	279.14	194.36	186.4	389.72	341.51	473.41	395.18	356.05	457.25	341.51	486.75
ZFHX3	183.82	16.03	45.21	27.64	40.07	26.86	33.78	32.59	25.54	58.3	140.04	148.09	248.0	94.67	325.29	205.5	49.56	127.89
ZFP82	46.84	6.11	32.59	5.54	16.75	16.39	5.02	55.89	1.08	14.67	52.08	125.24	152.28	202.66	137.14	209.84	74.06	122.64
ZFP90	327.56	82.29	110.43	88.26	39.22	153.34	114.36	75.11	34.51	89.51	303.44	441.64	470.14	454.09	353.59	476.71	279.14	511.0
ZHX1	273.37	169.07	532.74	457.25	232.94	277.2	698.41	417.77	279.14	543.96	432.53	571.05	848.22	507.46	733.19	713.11	303.44	616.37
ZNF254	113.56	24.99	249.73	93.35	51.71	68.55	107.38	102.25	130.6	214.27	211.31	353.59	547.75	381.68	518.15	403.5	246.28	412.0
ZNF43	229.72	1.35	20.56	0.74	6.52	12.74	17.13	8.38	5.45	88.26	111.99	124.37	320.8	679.29	708.18	195.72	341.51	406.31
ZNF610	33.06	2.92	35.0	0.53	2.07	8.78	5.28	8.78	3.96	4.39	57.89	135.24	246.28	75.64	249.73	255.0	43.02	47.5
ZNF624	55.89	1.13	13.22	7.11	11.55	16.27	8.0	16.15	1.58	10.79	47.17	69.52	74.58	66.65	126.12	62.56	31.45	93.35
