	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.G4.6306.01A.11R.1774.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.62.A46U.01A.11R.A24H.07	TCGA.75.5122.01A.01R.1755.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.S7SE.0926.SM.2XCD6	GTEX.147JS.1226.SM.5RQK4	GTEX.X3Y1.0626.SM.3P5YS	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU	TCGA.33.4589.01A.01R.1443.07	TCGA.18.3406.01A.01R.0980.07	GTEX.WHPG.0426.SM.4M1XW
PCDH18	22.59	14.89	16.63	15.34	25.72	18.7	6.84	1.73	11.38	19.39	4.21	7.22	17.64	40.93	39.79	14.03	127.89	262.2	81.71	96.01	532.74	334.46	82.87	154.42	54.33	144.01	105.89	59.55	172.65	42.71	262.2	47.5	82.29	40.36	127.0	98.73	45.85	94.01	7.4	44.25	83.45
PCDHGA3	2.97	2.14	3.47	1.99	0.0	1.71	0.97	0.72	2.43	6.78	1.01	5.15	0.0	8.51	18.29	12.74	52.45	43.94	34.02	26.1	84.63	78.89	50.27	29.7	96.01	30.12	72.52	52.82	8.06	48.52	37.85	17.25	5.63	20.71	62.56	43.02	1.06	38.67	1.01	7.28	6.94
PCSK5	11.82	2.48	11.3	7.69	12.83	3.32	53.19	4.74	6.16	87.03	4.17	3.92	28.24	52.45	100.83	41.22	180.02	267.73	255.0	113.56	432.53	214.27	62.56	41.52	194.36	303.44	147.06	164.42	180.02	39.79	142.01	96.68	143.01	58.71	106.63	231.32	228.13	115.16	38.67	54.33	69.03
PDLIM2	420.68	279.14	281.09	579.04	368.65	559.28	432.53	665.29	435.55	356.05	454.09	293.07	363.56	447.82	2004.85	679.29	4512.4	3419.52	1437.15	1757.34	6207.38	3928.15	1685.71	2319.15	633.73	2627.46	2739.08	1583.71	2018.8	1199.98	1551.09	2956.17	2537.92	543.96	2502.97	1388.16	1832.01	1359.57	356.05	373.81	1143.1
PEAK1	45.21	38.4	97.36	49.91	98.73	19.53	27.84	41.22	85.82	91.41	51.35	30.34	114.36	171.45	540.19	305.55	521.76	808.0	656.11	457.25	988.12	1081.39	1066.48	748.61	693.58	1199.98	775.05	500.46	669.92	507.46	753.83	698.41	256.78	426.57	660.68	866.07	187.71	620.67	12.55	83.45	144.01
PLCL1	12.74	1.83	9.7	4.43	22.92	12.74	3.59	2.03	4.06	5.11	3.63	2.07	25.72	45.85	71.5	57.49	202.66	164.42	27.44	87.03	438.59	220.32	64.34	36.27	92.05	209.84	95.34	50.27	97.36	50.63	147.06	98.73	65.26	37.85	77.79	69.52	29.48	305.55	3.29	20.11	8.58
PPM1K	37.85	88.26	62.12	45.53	44.57	80.01	23.25	23.93	95.34	29.7	56.68	71.0	80.57	209.84	171.45	115.16	397.93	647.07	107.38	656.11	1044.52	595.34	332.14	126.12	157.68	361.04	299.25	125.24	444.72	226.54	329.84	373.81	167.9	265.87	143.01	305.55	115.16	275.28	20.71	116.78	81.14
PPP3CC	194.36	116.78	166.73	234.57	234.57	297.17	74.58	273.37	301.33	61.68	241.19	72.01	307.69	289.02	579.04	447.82	353.59	536.45	417.77	363.56	629.35	511.0	532.74	633.73	435.55	813.63	329.84	480.04	320.8	497.0	426.57	392.44	232.94	738.29	642.59	612.11	312.0	791.35	178.77	373.81	112.77
PRKG1	11.73	3.38	9.41	7.34	8.25	11.73	3.99	1.16	2.73	28.24	2.51	2.34	16.03	28.24	217.27	58.3	249.73	171.45	146.03	100.83	647.07	356.05	199.85	157.68	269.6	323.03	166.73	88.88	159.9	248.0	201.25	166.73	94.67	98.04	144.01	236.21	35.5	287.01	11.13	55.49	52.45
PRPH2	4.28	0.93	3.47	0.85	5.23	1.19	1.91	0.79	2.27	2.56	0.64	0.61	3.2	3.72	32.82	5.92	13.42	38.67	37.85	9.85	22.75	44.25	10.63	23.59	19.97	10.08	28.24	2.81	13.52	35.5	15.8	30.78	7.22	15.91	5.32	11.82	8.45	13.32	0.0	3.63	13.32
PTPN21	19.53	47.5	83.45	60.39	87.65	12.55	106.63	121.79	94.01	63.45	24.46	21.78	59.55	86.43	397.93	223.41	1051.79	954.43	441.64	395.18	1769.57	1427.22	1037.29	480.04	267.73	1340.84	1001.93	361.04	612.11	480.04	607.87	884.29	620.67	432.53	819.3	753.83	158.79	493.56	23.59	53.57	75.64
PTPRB	39.22	8.58	36.27	15.11	29.27	35.0	6.94	3.82	13.22	51.71	15.68	18.84	65.72	157.68	532.74	190.34	1685.71	860.08	507.46	780.44	2573.36	1191.69	624.99	438.59	1037.29	2004.85	1159.07	607.87	728.11	642.59	902.89	1359.57	1044.52	1628.26	921.88	1819.35	68.55	2335.28	15.56	64.8	57.49
RNF11	642.59	660.68	718.08	599.49	1037.29	808.0	684.02	785.88	688.78	358.54	244.57	423.61	988.12	1340.84	2061.24	2701.35	3168.41	2209.26	1832.01	1167.14	3325.99	2645.74	2895.31	1977.24	3491.39	3212.66	2018.8	3235.01	2537.92	2591.27	2104.58	1781.89	1909.85	1709.26	2816.11	3467.27	1023.0	3280.18	1417.35	2119.22	775.05
RUNX1T1	3.63	3.06	5.02	8.45	6.01	1.58	1.99	2.34	3.72	2.32	3.17	2.58	9.13	2.89	46.5	59.97	38.12	234.57	58.71	127.0	518.15	336.79	143.01	52.08	45.85	90.14	209.84	74.58	325.29	87.65	185.11	89.51	82.29	57.89	116.78	77.25	17.0	90.77	1.16	19.11	25.54
SCN7A	3.26	0.0	0.64	0.6	0.0	0.0	0.0	0.89	0.0	0.0	0.56	0.0	1.25	4.54	176.29	93.35	860.08	309.83	51.35	2018.8	2485.67	1286.18	204.07	61.25	463.65	759.08	466.88	102.25	231.32	305.55	400.71	3190.46	175.07	366.09	167.9	336.79	20.11	518.15	0.83	73.03	9.06
SLC19A1	314.17	571.05	159.9	256.78	48.18	115.16	88.26	217.27	183.82	426.57	414.87	476.71	287.01	323.03	336.79	507.46	1191.69	2935.74	866.07	947.83	669.92	1950.0	563.18	289.02	536.45	753.83	808.0	325.29	1044.52	265.87	866.07	872.1	518.15	547.75	764.36	684.02	476.71	397.93	164.42	202.66	115.16
SLIT2	33.06	0.0	15.0	8.25	12.45	2.53	1.31	1.35	6.31	6.78	5.11	10.71	16.03	52.08	575.03	291.04	1685.71	1519.15	363.56	356.05	3081.75	2915.45	529.06	830.75	1651.0	921.88	1313.23	358.54	457.25	703.28	633.73	1030.12	708.18	195.72	921.88	1199.98	161.02	595.34	9.85	105.15	23.25
SLIT3	37.05	4.66	45.21	46.5	33.3	37.32	25.17	2.61	8.38	4.9	12.36	3.79	43.02	77.79	884.29	249.73	808.0	1794.29	3874.05	848.22	2400.97	2287.2	1191.69	1073.91	5403.7	1397.83	1369.04	559.28	379.04	1844.76	1250.98	2018.8	454.09	718.08	1008.9	2720.15	836.53	1447.15	25.17	37.59	129.69
SORBS3	1628.26	450.94	486.75	1369.04	830.75	791.35	271.48	1159.07	567.1	567.1	1208.34	525.39	1191.69	1259.69	2701.35	1628.26	3491.39	3716.2	2163.77	4836.35	4836.35	5479.15	3018.3	2287.2	2682.69	2777.33	4639.29	1159.07	2573.36	1977.24	2090.03	6294.04	1963.57	1674.06	3018.3	2758.13	1143.1	3467.27	361.04	713.11	1407.55
SULT1C4	7.82	1.55	7.82	3.14	8.51	2.86	0.93	0.68	2.07	2.14	1.36	3.69	19.39	10.47	295.11	141.02	571.05	392.44	201.25	107.38	698.41	1059.11	148.09	267.73	392.44	961.07	199.85	73.03	223.41	223.41	387.02	303.44	189.02	305.55	217.27	392.44	48.87	1127.35	1.03	22.59	8.38
SVEP1	31.0	4.31	12.27	33.06	14.45	1.71	1.2	16.15	3.99	26.67	8.92	15.22	10.88	12.55	339.14	96.01	836.53	463.65	332.14	244.57	1066.48	1143.1	466.88	384.34	1594.73	277.2	457.25	228.13	423.61	281.09	738.29	409.15	536.45	493.56	432.53	1051.79	69.03	336.79	14.78	72.52	42.11
TGFBR3	126.12	3.47	195.72	29.06	74.58	20.71	4.28	7.75	10.0	128.79	63.0	11.64	32.59	44.57	961.07	318.57	624.99	327.56	212.78	368.65	1467.37	679.29	406.31	269.6	1183.45	1819.35	674.59	579.04	237.86	679.29	514.56	813.63	285.03	780.44	2047.0	1457.23	123.5	2434.5	7.46	47.5	175.07
TMEM245	212.78	176.29	149.12	182.55	141.02	193.01	231.32	170.25	148.09	172.65	242.88	255.0	486.75	289.02	521.76	379.04	830.75	775.05	376.41	651.58	1151.06	802.41	457.25	255.0	480.04	1572.76	571.05	473.41	848.22	346.29	836.53	1447.15	624.99	934.76	463.65	497.0	450.94	525.39	229.72	220.32	208.38
TMEM47	36.53	7.17	121.79	10.79	122.64	8.99	9.27	2.81	16.39	43.02	12.74	17.38	28.04	49.91	432.53	206.94	1127.35	713.11	281.09	409.15	2351.53	1295.13	791.35	532.74	1167.14	1350.18	638.15	400.71	470.14	616.37	708.18	348.71	412.0	289.02	629.35	961.07	163.28	753.83	16.75	206.94	148.09
TNKS	84.04	66.18	75.11	88.88	115.97	52.08	44.25	95.34	178.77	71.0	35.25	66.65	102.97	89.51	220.32	163.28	141.02	323.03	136.19	223.41	248.0	182.55	182.55	181.28	182.55	397.93	267.73	358.54	269.6	312.0	153.34	198.47	80.57	301.33	165.57	172.65	109.66	185.11	38.95	85.22	110.43
TSPAN18	60.82	7.4	97.36	27.64	45.53	11.04	19.53	7.28	35.0	15.45	23.59	31.0	38.95	65.72	429.54	40.07	1457.23	769.69	559.28	237.86	3235.01	1304.15	267.73	131.51	532.74	780.44	483.38	102.97	1674.06	204.07	1685.71	1233.75	1350.18	66.65	368.65	669.92	248.0	172.65	10.08	60.82	255.0
ZFPM2	14.67	0.64	5.02	3.14	8.71	4.1	6.31	1.39	0.91	3.72	1.79	3.53	13.62	14.24	87.65	37.32	72.52	114.36	124.37	116.78	301.33	262.2	93.35	108.14	55.89	150.17	130.6	32.59	55.89	59.13	73.54	104.42	118.43	55.89	72.01	135.24	18.43	116.78	3.59	29.91	22.92
ZNF521	17.0	2.78	19.11	13.42	22.43	6.21	2.34	2.71	10.08	15.34	4.39	4.1	20.11	16.03	224.97	45.85	198.47	836.53	37.59	329.84	638.15	295.11	75.64	48.52	96.01	167.9	665.29	24.81	291.04	201.25	126.12	140.04	208.38	42.41	104.42	149.12	69.03	75.11	4.9	60.82	87.03
ZNF671	32.59	13.72	20.11	24.28	31.22	40.36	19.68	9.63	43.02	7.88	53.19	5.59	92.05	142.01	77.79	54.33	142.01	373.81	182.55	460.44	212.78	285.03	44.57	22.43	98.73	106.63	140.04	34.51	121.79	111.21	145.02	169.07	127.89	139.07	85.82	90.77	180.02	12.83	13.32	32.59	92.7
