	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.147F4.0926.SM.5Q5EO	GTEX.11OF3.1126.SM.5986C	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.11WQK.2926.SM.5EQKT	GTEX.YFC4.2826.SM.5P9FR	GTEX.P78B.2526.SM.3P5ZY
CLSTN1	2271.4	3280.18	1963.57	2209.26	454.09	656.11	921.88	3060.45	1127.35	5479.15	7230.1
COL16A1	2133.97	1457.23	1447.15	0.0	1.13	583.07	264.03	3325.99	149.12	3303.0	3589.58
COX16	660.68	669.92	348.71	0.0	0.47	373.81	536.45	1963.57	620.67	1794.29	842.36
CSRP1	1645391.11	428815.23	938500.81	2047.0	291.04	16843.62	10659.59	111755.56	3443.31	38430.46	40341.14
CTDSP1	3280.18	1950.0	2502.97	0.0	0.47	1322.37	819.3	3257.52	551.56	3540.14	4210.15
CUEDC2	2502.97	1242.34	1923.14	0.0	0.69	483.38	379.04	3039.3	389.72	2664.15	3018.3
CYHR1	1304.15	1088.92	961.07	1066.48	559.28	450.94	490.14	2367.9	371.22	2701.35	2193.99
DGCR6L	1540.37	890.44	1030.12	0.0	0.51	320.8	318.57	2796.65	265.87	2956.17	1781.89
DHRS12	457.25	363.56	417.77	0.0	0.3	223.41	217.27	1183.45	118.43	1037.29	896.64
DHRS4L2	748.61	703.28	656.11	0.0	0.42	215.77	285.03	1242.34	142.01	1709.26	1233.75
DRD2	8.78	31.45	8.58	0.0	0.07	11.04	2.05	136.19	1.33	170.25	73.54
EEFSEC	371.22	379.04	301.33	0.0	0.43	92.7	50.63	376.41	77.79	493.56	638.15
EIF2D	1008.9	713.11	802.41	0.0	0.55	432.53	269.6	1467.37	303.44	1733.13	1963.57
ERI3	1259.69	1313.23	1216.75	0.0	0.72	351.14	348.71	1628.26	320.8	2075.59	1340.84
EXOSC1	748.61	551.56	529.06	0.0	0.62	269.6	264.03	1127.35	808.0	1127.35	1081.39
FKBP8	10014.87	5329.3	7382.04	5872.48	3564.78	4802.93	4328.55	12502.12	3515.68	11664.82	10733.74
FXYD1	4152.18	2075.59	5831.91	0.0	0.34	3349.13	3039.3	16269.83	18.29	19482.97	15824.9
GNPTG	1369.04	1030.12	1037.29	0.0	0.88	595.34	669.92	2209.26	575.03	3103.19	2720.15
GTF2IRD2B	854.13	420.68	629.35	215.77	211.31	303.44	158.79	718.08	77.25	1037.29	902.89
HAUS4	1104.13	974.5	688.78	0.0	0.72	450.94	154.42	1437.15	255.0	2148.82	1331.57
HDAC11	603.67	438.59	802.41	0.0	0.36	98.04	107.38	612.11	139.07	728.11	660.68
HDAC5	1199.98	1159.07	2090.03	0.0	0.38	1030.12	1081.39	1417.35	603.67	1286.18	2061.24
HDDC3	197.09	111.99	69.52	0.0	0.08	198.47	100.13	591.22	185.11	500.46	616.37
HEXDC	397.93	684.02	438.59	0.0	0.64	161.02	197.09	518.15	58.3	928.3	1304.15
HHLA3	232.94	283.05	267.73	0.0	0.1	69.03	134.3	921.88	52.08	780.44	514.56
HMGN2	10084.54	9025.81	8598.28	10585.95	4575.41	7749.1	5441.3	19618.49	1498.22	20451.65	12676.65
HOXC8	6.62	21.94	1.48	0.0	0.21	0.0	0.0	5.68	0.72	15.34	2.01
HS1BP3	1594.73	1286.18	2451.44	0.0	0.15	271.48	124.37	1378.57	157.68	802.41	1066.48
HYI	1378.57	665.29	808.0	0.0	0.75	563.18	295.11	2682.69	186.4	2178.83	2434.5
IZUMO4	64.8	89.51	73.03	0.0	0.79	48.87	23.08	187.71	6.31	161.02	95.34
LAS1L	612.11	703.28	679.29	0.0	0.8	356.05	228.13	928.3	392.44	1167.14	902.89
LRP5	1015.93	947.83	860.08	0.0	0.61	336.79	521.76	1909.85	379.04	1487.87	1151.06
LRRC24	37.32	55.89	81.71	0.0	0.51	7.28	18.84	133.36	2.81	129.69	141.02
LRRC37A	24.63	48.52	38.4	0.0	0.31	10.79	29.48	71.0	7.0	74.06	45.53
LRRC37A2	316.37	343.89	271.48	0.0	0.27	75.11	232.94	423.61	66.65	830.75	466.88
LYRM9	599.49	182.55	246.28	0.0	0.16	135.24	84.04	633.73	92.05	1304.15	514.56
MPV17	1794.29	1819.35	1529.73	0.0	0.39	703.28	603.67	1697.45	624.99	3419.52	2627.46
MRPS2	1001.93	902.89	764.36	0.0	0.49	197.09	368.65	1407.55	780.44	1407.55	1561.89
MVB12A	1051.79	713.11	454.09	0.0	0.67	267.73	305.55	1561.89	733.19	1745.2	1508.65
NFKBIL1	748.61	283.05	420.68	0.0	0.6	307.69	166.73	1127.35	223.41	1151.06	1331.57
NME3	1662.49	1896.65	1277.29	0.0	0.99	406.31	514.56	3124.78	343.89	3614.55	2178.83
NPRL3	518.15	616.37	429.54	0.0	0.49	236.21	183.82	785.88	149.12	1295.13	1008.9
NT5M	301.33	107.38	214.27	0.0	0.48	53.19	10.24	260.38	13.93	341.51	220.32
NUDT3	403.5	414.87	409.15	149.12	180.02	177.53	271.48	493.56	122.64	575.03	381.68
OGFOD3	450.94	348.71	341.51	0.0	0.66	248.0	166.73	896.64	316.37	738.29	532.74
OXER1	44.25	42.71	47.17	0.0	0.38	15.22	5.68	115.97	1.07	140.04	102.97
PAAF1	547.75	332.14	591.22	0.0	0.41	175.07	97.36	954.43	42.11	934.76	444.72
PCBP4	1183.45	638.15	915.51	0.0	0.69	540.19	287.01	1073.91	234.57	1674.06	1378.57
PFDN5	18689.27	15715.58	14262.1	0.0	1.31	23169.48	18560.17	43236.64	10014.87	32767.0	33922.56
PIH1D1	1519.15	1447.15	1259.69	0.0	0.72	872.1	915.51	2178.83	884.29	1769.57	2664.15
PMF1	1059.11	988.12	947.83	0.0	0.66	848.22	785.88	1437.15	435.55	2271.4	1662.49
PMF1-BGLAP	229.72	111.21	138.1	0.0	0.14	43.63	96.68	316.37	74.58	525.39	444.72
PPIE	1697.45	1216.75	1088.92	0.0	0.51	343.89	239.52	1991.0	525.39	1733.13	1757.34
PPP1R3E	246.28	281.09	262.2	0.0	0.58	27.64	40.07	295.11	11.73	379.04	246.28
PPP1R3G	162.14	102.25	190.34	0.0	0.06	7.57	4.35	273.37	7.69	135.24	155.5
PSMD4	4123.49	4328.55	4066.71	0.0	1.08	1397.83	896.64	6426.31	2645.74	5711.87	7180.15
RANGRF	1233.75	819.3	1015.93	0.0	0.67	187.71	279.14	2434.5	173.85	1477.58	1304.15
RNASEH2C	1832.01	1242.34	1216.75	0.0	0.57	293.07	651.58	2609.3	529.06	2645.74	2573.36
RRNAD1	674.59	426.57	476.71	0.0	0.67	283.05	163.28	947.83	130.6	1350.18	1359.57
RTTN	92.7	166.73	124.37	0.0	0.55	39.22	33.54	156.59	8.19	244.57	183.82
SCAND1	1225.22	1529.73	1044.52	0.0	0.85	320.8	819.3	2148.82	579.04	2271.4	2485.67
SLC25A21-AS1	115.16	31.45	49.21	0.0	0.16	5.32	0.53	214.27	2.07	202.66	81.14
SLC38A4	7.11	8.58	3.63	0.0	0.18	0.0	11.21	109.66	3.99	83.45	13.52
SLC43A1	571.05	111.21	193.01	0.0	0.57	138.1	52.45	540.19	77.25	842.36	836.53
SLC46A1	194.36	120.94	176.29	0.0	0.14	35.76	65.26	309.83	56.68	679.29	397.93
SMTN	641014.63	318292.9	1034138.94	0.0	0.48	1936.53	2224.63	49322.93	1857.6	6887.62	8840.04
STUB1	3168.41	2609.3	2537.92	0.0	0.89	872.1	1923.14	4869.99	2335.28	4239.45	3928.15
TAB1	718.08	497.0	473.41	0.0	0.21	136.19	56.28	642.59	95.34	941.27	713.11
TADA3	1572.76	728.11	1037.29	0.0	0.53	463.65	351.14	2148.82	281.09	2555.58	2875.3
TAF6	1685.71	1437.15	1295.13	0.0	0.71	414.87	392.44	1225.22	392.44	1369.04	1447.15
TCEAL8	1745.2	872.1	830.75	0.0	0.54	819.3	470.14	1819.35	555.41	2468.49	2468.49
TIGD5	111.99	108.14	81.71	0.0	0.27	12.36	43.02	159.9	93.35	127.0	189.02
TMEM161A	518.15	591.22	450.94	0.0	0.61	125.24	114.36	651.58	269.6	872.1	1096.5
TMEM175	633.73	540.19	728.11	0.0	0.8	221.86	120.1	830.75	170.25	1487.87	878.17
TMEM221	33.06	12.0	11.64	0.0	0.09	3.29	0.58	47.5	2.46	45.21	43.02
TMEM222	941.27	629.35	775.05	0.0	0.39	376.41	346.29	1487.87	896.64	1487.87	1322.37
TMEM42	339.14	228.13	158.79	0.0	0.17	100.13	81.14	854.13	59.13	1369.04	866.07
TPM1	535303.41	789181.81	2201414.44	7230.1	5147.73	4704.07	3395.89	68318.04	2739.08	17927.91	23986.58
TPM2	1063212.58	706337.4	2392353.91	0.0	1.2	6079.61	4123.49	149521.18	4450.27	47974.16	58655.36
TRIM28	8247.98	6337.83	5041.77	0.0	1.2	4481.23	6935.54	7695.57	6294.04	10585.95	14361.31
TRIM65	389.72	414.87	277.2	0.0	0.56	197.09	141.02	249.73	94.01	334.46	426.57
TSNARE1	323.03	242.88	246.28	0.0	0.55	57.49	39.79	334.46	84.04	392.44	379.04
TSSC4	1208.34	802.41	947.83	0.0	0.66	743.43	954.43	1191.69	934.76	1397.83	1857.6
UAP1L1	92.7	368.65	104.42	0.0	0.56	78.89	99.43	236.21	37.32	253.23	129.69
UBL7	1662.49	733.19	967.76	0.0	0.2	403.5	343.89	1617.0	348.71	2224.63	3103.19
UBXN1	4010.71	2816.11	2976.74	0.0	0.97	4388.98	3614.55	5831.91	2956.17	5403.7	8421.31
UBXN6	3168.41	1819.35	2796.65	0.0	0.93	1819.35	1023.0	4268.94	3212.66	4010.71	3639.7
USE1	848.22	521.76	503.95	0.0	0.49	249.73	264.03	1721.16	211.31	1651.0	1359.57
VPS51	2178.83	1583.71	2075.59	0.0	0.79	896.64	1233.75	3768.09	1066.48	4388.98	8022.41
WBP1	2075.59	1030.12	1369.04	0.0	0.42	967.76	759.08	3716.2	555.41	3955.48	3955.48
WBSCR16	1119.56	748.61	921.88	0.0	0.41	208.38	150.17	1268.46	267.73	1167.14	1277.29
WDR45	1583.71	1216.75	1242.34	0.0	0.95	2075.59	1096.5	1605.83	866.07	2271.4	2537.92
XRCC1	961.07	470.14	511.0	0.0	0.61	209.84	194.36	884.29	140.04	1119.56	1991.0
ZCCHC18	94.01	85.82	63.89	0.0	0.39	32.36	31.45	68.55	0.43	169.07	115.97
ZDHHC1	395.18	493.56	470.14	0.0	0.4	239.52	138.1	536.45	116.78	775.05	703.28
ZNF337	521.76	514.56	450.94	0.0	0.82	147.06	78.89	473.41	84.04	669.92	540.19
ZNF358	3742.05	2240.11	4736.79	0.0	0.67	591.22	684.02	4481.23	264.03	4066.71	5517.27
ZNF385C	15.68	21.63	13.03	0.0	0.13	25.35	22.75	69.03	12.55	79.45	36.01
ZNF444	941.27	500.46	679.29	0.0	0.54	169.07	409.15	988.12	105.89	1250.98	1594.73
ZNF524	511.0	356.05	376.41	0.0	0.29	108.14	124.37	791.35	212.78	819.3	1745.2
ZNF581	599.49	376.41	281.09	0.0	0.54	301.33	480.04	728.11	283.05	1378.57	2468.49
ZNF688	656.11	363.56	389.72	0.0	0.21	93.35	133.36	693.58	61.25	1104.13	967.76
ZNF821	136.19	126.12	88.26	0.0	0.23	145.02	234.57	220.32	57.89	273.37	384.34
