	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.FL.A1YT.11A.12R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YL.11A.11R.A16F.07	TCGA.AX.A0J0.11A.11R.A27V.07	TCGA.FL.A1YV.11A.12R.A32Y.07	GTEX.RWS6.1326.SM.47JXB	GTEX.11DXX.1526.SM.5H115	GTEX.11I78.2126.SM.5A5K8	GTEX.QCQG.1326.SM.48U24
C15orf56	9.56	6.62	0.8	2.56	2.36	3.26	0.33	2.01	0.0	3.69	7.63	3.53	2.68	0.0	0.0	18.7	7.75	21.01	17.25	27.64	57.89	16.39	25.72	22.43
C16orf93	8.25	17.64	27.25	21.94	21.32	16.03	19.11	8.51	13.12	14.89	43.02	63.0	46.84	0.0	0.22	94.01	68.55	128.79	68.55	87.03	214.27	214.27	275.28	497.0
C17orf75	167.9	244.57	253.23	181.28	127.89	175.07	111.99	119.26	111.99	211.31	226.54	334.46	255.0	0.0	0.15	253.23	409.15	316.37	287.01	336.79	438.59	503.95	392.44	728.11
C17orf99	5.11	9.78	7.0	2.27	0.0	7.0	0.0	4.58	0.0	0.0	0.0	3.11	0.6	0.0	0.16	6.06	25.17	1.45	1.83	6.84	90.14	16.51	22.1	107.38
C1orf87	0.0	0.0	3.89	0.88	1.89	3.5	0.39	1.48	0.0	0.39	4.17	1.03	2.48	0.0	0.0	16.75	4.98	2.78	2.36	14.35	49.21	12.64	24.99	18.16
C3orf72	0.0	0.0	1.73	0.0	0.43	0.0	0.0	0.0	0.0	1.45	0.0	0.44	0.0	0.0	0.15	368.65	1030.12	346.29	231.32	224.97	1081.39	76.71	866.07	1628.26
C4orf27	688.78	563.18	518.15	723.08	728.11	525.39	444.72	397.93	624.99	785.88	633.73	642.59	497.0	0.0	0.17	688.78	967.76	728.11	1023.0	785.88	1023.0	1208.34	1037.29	1350.18
C7orf57	0.39	2.89	0.0	0.27	3.2	1.75	0.0	0.0	0.0	0.0	0.0	9.06	0.0	0.0	0.0	2.39	6.94	5.45	3.17	5.77	34.75	2.51	8.51	42.71
CACNA2D2	12.36	16.75	28.86	28.65	2.12	3.23	12.27	12.83	23.76	14.67	11.04	32.82	61.68	0.0	0.09	59.55	149.12	55.1	84.63	64.34	251.48	277.2	1111.82	450.94
CCDC103	22.26	11.55	22.59	45.21	56.28	45.21	22.59	47.17	43.32	21.63	26.1	57.49	11.38	0.0	0.0	65.26	72.52	88.88	43.63	90.77	162.14	332.14	162.14	218.79
CCDC114	1.71	0.95	18.97	0.62	5.73	0.0	1.58	0.0	3.08	2.97	15.0	9.27	4.39	0.0	0.0	43.63	27.25	33.78	12.18	57.49	145.02	57.08	58.3	126.12
CCDC115	679.29	688.78	934.76	607.87	500.46	684.02	366.09	575.03	603.67	884.29	902.89	813.63	981.29	0.0	0.07	1617.0	1191.69	1605.83	1757.34	1844.76	2255.7	1407.55	1819.35	1447.15
CCDC151	1.71	3.59	10.47	3.99	30.12	4.7	8.85	12.18	5.77	4.1	3.96	1.91	8.38	0.0	0.0	24.46	23.93	23.08	13.72	27.05	55.89	28.45	9.85	275.28
CCDC8	63.89	33.78	264.03	31.9	162.14	59.55	14.03	42.71	17.38	120.94	185.11	417.77	56.68	0.0	0.35	860.08	547.75	796.86	647.07	1104.13	2895.31	4152.18	6983.79	2303.12
CEACAM19	22.43	58.3	126.12	19.82	36.79	35.0	49.21	23.76	18.16	60.39	84.63	54.72	113.56	0.0	0.79	103.69	162.14	141.02	96.01	125.24	76.71	358.54	218.79	258.57
CFC1	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	2.25	2.01	0.0	0.0	9.27	0.0	0.0	24.81	27.64	50.98	0.39	29.91	2351.53	57.49	0.0	1096.5
CNPY4	249.73	229.72	651.58	299.25	595.34	279.14	162.14	193.01	220.32	412.0	336.79	318.57	406.31	0.0	0.09	860.08	954.43	836.53	769.69	738.29	1199.98	1519.15	1896.65	866.07
COIL	169.07	214.27	251.48	187.71	208.38	193.01	121.79	151.22	145.02	163.28	246.28	297.17	205.5	0.0	0.31	351.14	336.79	363.56	423.61	363.56	423.61	384.34	476.71	258.57
COQ7	346.29	325.29	358.54	289.02	155.5	127.0	253.23	258.57	356.05	291.04	320.8	454.09	301.33	0.0	0.26	518.15	521.76	599.49	525.39	669.92	928.3	571.05	796.86	470.14
DENND6B	64.8	66.65	149.12	90.77	90.77	55.1	35.0	32.59	59.97	94.67	140.04	128.79	96.68	0.0	0.22	241.19	281.09	267.73	166.73	281.09	551.56	599.49	511.0	514.56
DVL2	255.0	277.2	450.94	209.84	307.69	262.2	172.65	171.45	194.36	312.0	480.04	432.53	341.51	0.0	0.85	1023.0	947.83	995.0	679.29	1030.12	1059.11	599.49	819.3	1051.79
EFS	303.44	379.04	358.54	69.52	450.94	102.25	122.64	35.25	63.0	99.43	540.19	363.56	172.65	0.0	0.95	684.02	603.67	928.3	397.93	703.28	2032.85	1135.2	1001.93	5403.7
EMILIN3	3.66	2.23	8.51	5.36	0.55	4.58	0.99	6.94	8.0	9.78	13.93	82.29	9.34	0.0	0.25	376.41	157.68	323.03	145.02	190.34	2915.45	346.29	473.41	242.88
EXTL2	256.78	269.6	351.14	217.27	373.81	209.84	124.37	221.86	171.45	409.15	214.27	264.03	125.24	0.0	0.36	312.0	591.22	339.14	454.09	363.56	603.67	872.1	656.11	688.78
FABP4	394590.4	489177.0	716197.51	602247.76	569761.05	327241.36	558035.51	906531.99	417089.23	1078054.48	1838374.44	394590.4	636586.81	0.0	0.15	198.47	161.02	273.37	371.22	48.18	92.05	1259.69	30.56	1.73
FAM187A	7.63	10.63	14.35	10.55	8.92	7.57	1.01	14.45	13.83	9.41	16.03	18.7	3.66	0.0	0.0	24.81	27.25	36.01	21.32	41.81	50.27	161.02	108.9	81.14
FAM198A	55.49	51.35	45.21	14.35	339.14	96.68	38.4	3.92	64.8	36.27	47.84	30.12	124.37	0.0	0.42	195.72	514.56	91.41	197.09	139.07	718.08	1030.12	854.13	934.76
FKBP7	314.17	381.68	454.09	255.0	629.35	353.59	104.42	102.25	100.83	358.54	511.0	511.0	249.73	0.0	0.48	1540.37	1572.76	1388.16	1963.57	1286.18	2875.3	1605.83	2609.3	2400.97
FOXO6	2.07	2.23	17.0	2.94	12.45	6.52	0.73	3.79	0.79	12.83	14.03	23.76	6.06	0.0	0.39	149.12	61.68	195.72	54.72	148.09	358.54	435.55	603.67	260.38
FUNDC1	371.22	327.56	493.56	389.72	334.46	293.07	156.59	323.03	483.38	232.94	287.01	285.03	297.17	0.0	0.16	476.71	483.38	441.64	660.68	511.0	759.08	525.39	460.44	921.88
GARNL3	70.01	154.42	303.44	62.12	81.14	88.26	17.13	47.84	59.55	137.14	138.1	191.67	204.07	0.0	0.26	507.46	693.58	432.53	438.59	441.64	674.59	551.56	563.18	656.11
HMGN4	1037.29	1191.69	1487.87	1417.35	1096.5	1498.22	941.27	890.44	679.29	1313.23	1721.16	1407.55	1397.83	0.0	0.71	1923.14	2090.03	1794.29	1909.85	1950.0	2018.8	2193.99	2351.53	1551.09
IDUA	180.02	137.14	153.34	107.38	152.28	134.3	198.47	78.89	64.8	147.06	226.54	156.59	255.0	0.0	1.0	361.04	483.38	521.76	309.83	656.11	830.75	1059.11	612.11	961.07
IFT52	738.29	866.07	688.78	708.18	457.25	587.13	473.41	503.95	802.41	738.29	733.19	764.36	941.27	0.0	0.39	1127.35	1059.11	1081.39	1175.27	1216.75	1745.2	1427.22	1427.22	934.76
ISLR	1769.57	1721.16	2573.36	511.0	1617.0	1844.76	69.52	612.11	223.41	1561.89	2018.8	2400.97	1277.29	320.8	187.71	9540.5	6381.92	7966.99	7803.01	8421.31	34876.28	12502.12	39510.91	20737.16
ISYNA1	231.32	325.29	1745.2	353.59	325.29	493.56	86.43	187.71	117.6	1159.07	688.78	733.19	1191.69	0.0	0.67	3515.68	1857.6	2319.15	2664.15	3212.66	7331.05	3372.43	16960.78	10154.69
KAZALD1	130.6	115.97	88.88	55.89	71.5	98.73	5.87	67.59	39.79	71.5	83.45	62.56	356.05	0.0	0.35	283.05	463.65	348.71	273.37	507.46	1183.45	1001.93	397.93	409.15
KBTBD13	0.41	0.0	1.41	0.44	0.23	1.25	0.0	1.1	0.42	1.1	0.41	1.45	5.15	0.0	0.0	6.73	7.57	3.96	1.57	7.88	9.48	14.89	9.2	8.92
KCNG1	2.51	3.99	7.06	3.29	6.89	0.0	0.0	0.0	0.0	3.82	4.7	29.48	12.18	0.0	0.47	1295.13	1030.12	599.49	356.05	915.51	4671.57	1529.73	6935.54	2004.85
LCN12	7.75	4.28	24.81	6.36	6.36	2.58	1.73	7.4	0.67	7.88	8.25	9.93	17.77	0.0	0.62	426.57	131.51	563.18	120.1	915.51	1508.65	108.9	1159.07	5555.65
LCN8	0.0	0.0	2.03	1.14	0.16	0.59	0.0	0.18	0.0	0.0	0.0	1.71	1.31	0.0	0.0	5.02	0.78	15.22	1.16	9.63	18.03	7.94	4.94	3.44
LINC00908	1.68	3.96	3.86	0.0	3.35	1.99	0.0	0.22	0.85	3.53	4.78	15.22	7.0	0.0	0.0	273.37	115.97	318.57	172.65	253.23	642.59	170.25	780.44	251.48
LLGL1	156.59	187.71	420.68	134.3	279.14	178.77	98.04	111.99	126.12	325.29	316.37	277.2	201.25	0.0	0.4	490.14	463.65	540.19	351.14	540.19	642.59	674.59	723.08	595.34
LNP1	54.33	53.57	38.95	53.19	46.84	36.01	9.06	38.67	10.96	63.0	40.93	70.01	26.86	0.0	0.16	111.99	111.21	115.16	139.07	128.79	249.73	146.03	169.07	249.73
LRFN1	7.88	14.89	37.32	12.74	10.08	3.32	12.93	19.11	9.7	82.87	37.32	37.85	22.26	0.0	0.53	54.72	82.29	40.93	19.82	23.25	221.86	62.12	890.44	35.0
MAGED1	1175.27	1008.9	1378.57	612.11	981.29	698.41	830.75	988.12	1259.69	1583.71	1023.0	1427.22	1001.93	0.0	0.66	2468.49	3847.29	2400.97	2485.67	2384.37	7280.4	4358.66	8901.53	9540.5
MBLAC2	54.72	81.71	119.26	78.34	75.64	49.91	50.27	47.84	39.5	83.45	88.88	88.88	59.97	0.0	0.0	139.07	193.01	143.01	169.07	145.02	255.0	197.09	237.86	133.36
MICU2	796.86	748.61	575.03	612.11	400.71	669.92	567.1	521.76	748.61	460.44	595.34	743.43	934.76	0.0	0.59	769.69	902.89	825.0	1059.11	884.29	791.35	981.29	607.87	928.3
MORN4	69.03	105.15	128.79	102.97	119.26	56.68	34.75	78.34	50.98	107.38	120.1	140.04	59.13	0.0	0.25	316.37	521.76	314.17	287.01	417.77	473.41	309.83	234.57	753.83
MRFAP1L1	1104.13	890.44	1331.57	1111.82	1127.35	1277.29	669.92	759.08	974.5	1008.9	1191.69	1417.35	1001.93	0.0	0.35	2739.08	1950.0	2627.46	2739.08	2609.3	3146.52	2417.67	3847.29	2451.44
MRGPRE	1.2	0.88	12.74	2.25	2.78	1.62	0.0	0.0	0.0	13.03	0.0	3.96	0.0	0.0	0.0	88.26	28.45	65.26	16.15	31.22	87.03	14.89	50.63	43.63
NDRG3	361.04	435.55	878.17	397.93	660.68	444.72	178.77	231.32	275.28	728.11	591.22	447.82	612.11	0.0	0.19	733.19	759.08	713.11	780.44	738.29	796.86	1088.92	1304.15	607.87
NPHP1	72.01	109.66	121.79	91.41	70.51	96.01	29.48	18.84	72.52	88.88	80.57	155.5	59.55	0.0	0.03	153.34	232.94	197.09	193.01	218.79	303.44	297.17	208.38	651.58
NPIPB7	0.91	2.73	10.55	3.26	6.78	1.39	1.62	0.21	0.64	1.35	8.51	0.31	4.9	0.0	0.22	4.03	10.31	5.28	3.86	14.89	6.46	10.55	15.22	12.09
NT5M	101.54	47.5	152.28	102.25	59.55	25.17	103.69	32.82	144.01	117.6	60.39	65.72	25.35	0.0	0.48	140.04	156.59	172.65	114.36	223.41	866.07	334.46	226.54	293.07
NUDT10	7.22	5.68	99.43	4.13	33.06	5.59	1.41	0.0	2.12	40.64	16.27	44.25	26.67	0.0	0.19	202.66	175.07	164.42	264.03	236.21	316.37	172.65	500.46	373.81
OLFML3	1457.23	1295.13	890.44	543.96	708.18	769.69	191.67	480.04	307.69	493.56	708.18	2032.85	1044.52	0.0	0.6	4869.99	5555.65	5366.37	4298.64	4937.99	9606.86	14163.58	8247.98	23492.92
PAGR1	314.17	271.48	521.76	281.09	426.57	281.09	159.9	183.82	201.25	353.59	381.68	353.59	334.46	0.0	0.0	1216.75	638.15	1167.14	866.07	1369.04	1081.39	954.43	1111.82	878.17
PIAS3	368.65	616.37	629.35	241.19	532.74	353.59	325.29	228.13	318.57	466.88	854.13	896.64	620.67	0.0	1.07	961.07	1605.83	1159.07	1008.9	1151.06	1268.46	1909.85	1709.26	1794.29
PNMAL1	52.82	68.07	283.05	19.11	92.05	9.78	10.47	5.02	23.93	171.45	34.75	221.86	15.22	0.0	0.16	540.19	638.15	567.1	624.99	647.07	10883.59	2061.24	13586.57	2976.74
PPP1R21	412.0	454.09	460.44	392.44	432.53	432.53	215.77	297.17	466.88	309.83	412.0	384.34	414.87	0.0	0.39	575.03	679.29	603.67	1183.45	595.34	854.13	591.22	559.28	518.15
PPP1R3F	39.22	36.01	79.45	11.73	53.19	43.32	40.93	37.85	80.01	45.21	74.06	118.43	53.95	0.0	0.43	185.11	129.69	157.68	138.1	178.77	595.34	483.38	633.73	514.56
PRAF2	301.33	420.68	563.18	660.68	890.44	483.38	320.8	234.57	161.02	1322.37	967.76	679.29	612.11	0.0	0.83	1721.16	1572.76	1397.83	1427.22	1304.15	2319.15	5006.93	3639.7	3190.46
PRICKLE1	131.51	208.38	395.18	62.12	228.13	118.43	21.01	76.17	38.12	49.91	135.24	81.71	86.43	0.0	0.26	473.41	483.38	325.29	329.84	231.32	392.44	733.19	339.14	56.28
PRL	2.51	2.71	3.66	1.99	4.78	5.41	1.1	1.87	3.59	0.92	0.0	3.17	2.05	0.0	0.0	5.28	23.76	4.82	11.21	6.01	0.96	45.85	43.02	22.26
PTCH2	23.42	31.0	52.82	10.71	20.41	17.51	7.34	6.36	8.92	23.59	31.67	38.95	10.16	0.0	0.33	148.09	149.12	154.42	77.79	108.9	253.23	205.5	301.33	287.01
RAB17	2.68	2.48	108.14	14.78	14.03	28.45	13.12	22.43	23.08	49.21	185.11	121.79	170.25	0.0	0.55	285.03	133.36	295.11	232.94	403.5	1628.26	819.3	679.29	2956.17
RBBP7	1662.49	1662.49	2163.77	1037.29	1151.06	1745.2	620.67	743.43	1477.58	1216.75	2104.58	1651.0	1551.09	2739.08	264.03	3081.75	4639.29	3257.52	3372.43	3564.78	4836.35	8022.41	5441.3	7695.57
RGAG4	135.24	197.09	555.41	82.29	281.09	83.45	24.11	97.36	242.88	175.07	329.84	215.77	61.68	0.0	0.48	460.44	299.25	403.5	341.51	305.55	551.56	384.34	1183.45	507.46
RHBDL3	3.69	10.24	41.22	0.87	2.97	13.62	5.28	0.0	19.11	28.86	14.67	38.4	4.17	0.0	0.35	39.5	17.9	53.19	23.42	63.0	70.01	78.89	138.1	21.32
RND2	34.75	15.45	115.97	26.1	15.0	10.24	12.45	2.68	2.76	106.63	31.22	47.5	22.92	0.0	0.38	223.41	214.27	320.8	327.56	457.25	1199.98	4181.07	2032.85	1286.18
RP11-444E17.6	0.0	0.92	0.84	0.54	0.48	0.8	0.08	0.35	0.1	1.11	1.55	0.51	0.6	0.0	0.0	0.88	2.29	1.89	1.6	1.23	5.77	2.81	1.33	3.08
RP11-514P8.6	3.79	0.0	1.22	6.26	2.12	0.0	7.63	4.82	0.47	12.09	5.73	3.69	10.08	0.0	0.6	13.72	77.79	52.82	35.25	73.54	44.89	38.12	49.56	61.25
SARDH	11.47	10.24	34.51	4.5	16.39	1.07	0.8	7.75	8.58	6.67	17.77	19.97	18.97	0.0	0.34	128.79	134.3	111.99	63.0	125.24	332.14	241.19	153.34	454.09
SCARA3	283.05	320.8	665.29	132.44	351.14	218.79	50.27	22.1	49.21	473.41	291.04	599.49	194.36	0.0	0.41	2224.63	2090.03	3515.68	2004.85	3190.46	4298.64	4937.99	4450.27	3395.89
SCOC	1519.15	1250.98	1277.29	1304.15	842.36	819.3	1096.5	1617.0	1359.57	1216.75	1096.5	1417.35	1119.56	0.0	0.49	1183.45	1709.26	1447.15	1936.53	1350.18	2485.67	1857.6	1651.0	1268.46
SERP2	42.41	74.58	74.06	41.52	131.51	66.65	8.0	28.86	1.99	53.19	125.24	114.36	117.6	0.0	0.35	397.93	234.57	438.59	358.54	412.0	854.13	511.0	693.58	764.36
SHQ1	162.14	176.29	223.41	176.29	299.25	224.97	137.14	167.9	145.02	236.21	258.57	186.4	215.77	0.0	0.13	277.2	271.48	251.48	251.48	262.2	297.17	307.69	575.03	291.04
SLC22A17	126.12	153.34	486.75	75.64	204.07	90.14	32.36	35.25	40.36	206.94	289.02	417.77	232.94	0.0	0.71	1073.91	708.18	1191.69	988.12	1111.82	2701.35	1870.53	3901.01	1051.79
SLC25A35	181.28	316.37	115.97	204.07	141.02	231.32	75.64	150.17	78.89	133.36	132.44	197.09	193.01	0.0	0.39	269.6	412.0	262.2	211.31	463.65	1709.26	447.82	547.75	1519.15
SLC41A3	633.73	713.11	1008.9	769.69	780.44	909.17	567.1	470.14	450.94	934.76	988.12	1369.04	1286.18	0.0	0.66	2319.15	1519.15	1923.14	1936.53	2720.15	3039.3	2997.45	3325.99	2537.92
SLC8A1	59.97	100.83	189.02	93.35	63.45	52.82	31.45	176.29	84.04	126.12	59.55	94.67	71.5	0.0	0.24	460.44	1066.48	775.05	575.03	460.44	921.88	1295.13	921.88	363.56
SMYD3	178.77	191.67	262.2	117.6	293.07	161.02	175.07	115.16	130.6	376.41	309.83	244.57	229.72	0.0	0.44	400.71	281.09	332.14	480.04	384.34	713.11	884.29	830.75	1167.14
SPAG8	23.76	30.56	25.91	17.64	44.89	19.39	3.86	9.85	7.94	31.22	16.63	25.17	12.55	0.0	0.06	70.01	69.03	109.66	77.25	156.59	316.37	136.19	120.94	262.2
SUSD3	25.72	52.45	314.17	19.82	76.17	42.71	10.63	31.0	4.74	125.24	395.18	113.56	96.68	0.0	0.28	616.37	616.37	612.11	389.72	748.61	2502.97	1870.53	3280.18	3212.66
TADA1	131.51	154.42	190.34	145.02	132.44	94.67	123.5	111.99	118.43	135.24	186.4	218.79	124.37	0.0	0.52	309.83	381.68	314.17	346.29	327.56	503.95	361.04	514.56	264.03
TAF6	518.15	514.56	1127.35	463.65	928.3	583.07	463.65	525.39	255.0	902.89	708.18	785.88	775.05	0.0	0.71	1540.37	1427.22	1551.09	1216.75	1757.34	1819.35	1977.24	2451.44	2573.36
TCTEX1D2	197.09	155.5	277.2	204.07	341.51	132.44	90.77	156.59	108.14	262.2	262.2	185.11	221.86	0.0	0.39	387.02	376.41	454.09	387.02	543.96	1662.49	392.44	896.64	1340.84
TCTN1	414.87	532.74	497.0	339.14	575.03	371.22	183.82	297.17	403.5	368.65	447.82	638.15	251.48	0.0	0.39	995.0	728.11	1015.93	915.51	1044.52	1923.14	1066.48	866.07	2255.7
TMEM14A	503.95	441.64	928.3	540.19	728.11	406.31	208.38	381.68	267.73	551.56	460.44	583.07	764.36	0.0	0.22	753.83	878.17	791.35	1119.56	1037.29	1304.15	1378.57	1119.56	1111.82
TMEM196	0.0	1.25	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	7.82	0.0	0.04	64.34	15.22	281.09	6.06	60.39	46.18	12.36	22.43	63.0
TMEM248	954.43	1051.79	1088.92	775.05	753.83	1295.13	1295.13	693.58	902.89	1208.34	1081.39	1467.37	1059.11	2287.2	112.77	1662.49	1561.89	1561.89	1883.54	1561.89	1697.45	1769.57	2287.2	1378.57
TMEM9	967.76	1135.2	1388.16	703.28	1350.18	813.63	624.99	651.58	571.05	1540.37	825.0	1397.83	915.51	4181.07	928.3	4298.64	2701.35	3639.7	3257.52	4239.45	11504.21	4038.61	8078.22	8134.41
TP53TG3C	4.17	6.16	3.96	6.67	17.51	2.76	6.57	4.31	0.0	12.09	24.28	12.09	0.75	0.0	0.06	21.47	13.03	5.28	28.04	9.27	76.17	83.45	73.54	39.79
TRAF3IP2	497.0	525.39	486.75	551.56	1096.5	872.1	612.11	239.52	264.03	753.83	1001.93	896.64	981.29	0.0	0.61	2816.11	1437.15	2835.7	1407.55	2224.63	3794.3	2271.4	2758.13	4419.52
TRDMT1	85.22	138.1	100.83	63.89	109.66	60.82	36.53	43.32	94.01	226.54	116.78	142.01	73.54	0.0	0.22	84.63	120.94	103.69	93.35	88.26	183.82	289.02	205.5	120.1
TRUB1	209.84	199.85	224.97	242.88	161.02	147.06	121.79	229.72	153.34	293.07	190.34	197.09	133.36	414.87	93.35	244.57	441.64	320.8	379.04	316.37	493.56	387.02	432.53	373.81
TSHZ3	81.14	88.88	155.5	98.73	77.25	70.51	34.26	44.89	54.72	96.68	138.1	239.52	105.15	0.0	0.65	836.53	718.08	624.99	412.0	420.68	2148.82	466.88	1769.57	1216.75
UNK	212.78	262.2	358.54	167.9	341.51	237.86	176.29	157.68	149.12	384.34	351.14	325.29	351.14	0.0	0.64	693.58	571.05	825.0	616.37	928.3	961.07	674.59	842.36	860.08
USH1G	0.0	0.0	4.86	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.62	0.0	0.0	0.0	50.27	41.52	60.82	13.52	47.17	68.07	97.36	76.71	37.05
ZDHHC1	194.36	241.19	164.42	114.36	86.43	186.4	197.09	65.72	95.34	186.4	248.0	267.73	301.33	0.0	0.4	813.63	607.87	764.36	432.53	728.11	995.0	1127.35	1151.06	1183.45
ZFR2	1.64	3.47	8.06	5.5	0.38	2.27	0.0	0.0	1.73	6.21	5.77	23.42	1.87	0.0	0.0	4.62	6.21	4.86	8.19	10.16	1015.93	46.84	55.49	57.08
ZNF213	116.78	143.01	166.73	103.69	169.07	123.5	115.97	142.01	64.34	155.5	190.34	170.25	249.73	0.0	0.09	400.71	211.31	361.04	256.78	395.18	314.17	412.0	356.05	307.69
ZNF580	656.11	575.03	473.41	785.88	599.49	417.77	371.22	395.18	343.89	1457.23	603.67	607.87	603.67	239.52	486.75	1350.18	954.43	1225.22	848.22	1175.27	1508.65	2367.9	1794.29	2609.3
