	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07
DDX46	551.56	854.13	1081.39	466.88	490.14	890.44	314.17	884.29	728.11	753.83	363.56	759.08	896.64	656.11	629.35	587.13	583.07	518.15	543.96	571.05	346.29	753.83	503.95	1208.34	961.07	785.88	753.83	414.87	98.73	301.33	165.57	202.66	348.71	181.28	126.12
DENND4C	185.11	525.39	733.19	191.67	223.41	518.15	253.23	624.99	426.57	420.68	138.1	587.13	620.67	381.68	348.71	387.02	356.05	438.59	463.65	320.8	141.02	503.95	363.56	866.07	988.12	1216.75	1242.34	309.83	83.45	90.77	60.82	74.58	79.45	68.07	69.03
DHFRL1	77.79	111.21	124.37	147.06	82.29	137.14	55.1	172.65	111.99	118.43	76.71	125.24	256.78	78.34	72.52	124.37	78.89	133.36	90.14	68.07	69.52	149.12	45.21	143.01	197.09	116.78	208.38	85.82	19.39	72.52	37.85	35.0	34.75	57.08	33.54
DMXL1	251.48	444.72	529.06	271.48	258.57	466.88	122.64	493.56	236.21	373.81	145.02	441.64	403.5	277.2	253.23	318.57	275.28	323.03	351.14	253.23	185.11	395.18	265.87	780.44	775.05	684.02	915.51	232.94	75.64	115.16	135.24	127.89	132.44	124.37	57.89
EFTUD1	281.09	423.61	316.37	395.18	217.27	457.25	115.16	346.29	332.14	318.57	312.0	420.68	518.15	392.44	480.04	417.77	312.0	299.25	244.57	381.68	183.82	387.02	346.29	423.61	703.28	579.04	454.09	185.11	106.63	194.36	85.82	108.9	139.07	125.24	91.41
ERAP1	403.5	1477.58	713.11	307.69	633.73	1066.48	206.94	1216.75	438.59	825.0	182.55	540.19	1119.56	205.5	244.57	624.99	612.11	825.0	1088.92	412.0	299.25	392.44	438.59	934.76	1051.79	665.29	1277.29	406.31	242.88	299.25	397.93	202.66	384.34	234.57	336.79
ERBB2IP	486.75	1015.93	1143.1	693.58	532.74	1151.06	271.48	1088.92	624.99	836.53	242.88	1208.34	1127.35	669.92	1066.48	890.44	718.08	884.29	642.59	723.08	153.34	842.36	1008.9	1467.37	1216.75	1651.0	1250.98	638.15	78.34	264.03	191.67	175.07	193.01	181.28	89.51
FAM114A2	387.02	450.94	647.07	285.03	346.29	470.14	138.1	559.28	426.57	529.06	348.71	497.0	612.11	325.29	450.94	497.0	389.72	323.03	497.0	211.31	162.14	389.72	249.73	460.44	473.41	647.07	480.04	175.07	151.22	178.77	157.68	183.82	99.43	166.73	127.0
FBXO38	327.56	587.13	713.11	381.68	381.68	620.67	232.94	733.19	417.77	638.15	358.54	669.92	638.15	500.46	536.45	403.5	420.68	384.34	346.29	204.07	173.85	559.28	417.77	967.76	733.19	599.49	791.35	343.89	145.02	262.2	201.25	204.07	202.66	181.28	167.9
GIGYF2	476.71	656.11	1233.75	454.09	540.19	909.17	379.04	1044.52	921.88	693.58	400.71	954.43	1051.79	647.07	688.78	928.3	642.59	642.59	825.0	660.68	325.29	947.83	624.99	1037.29	1277.29	1073.91	1037.29	503.95	323.03	229.72	146.03	177.53	187.71	144.01	155.5
GIN1	153.34	182.55	182.55	133.36	73.54	142.01	32.13	194.36	94.67	133.36	77.79	194.36	152.28	96.01	116.78	194.36	65.72	138.1	93.35	73.03	35.0	72.01	67.12	186.4	191.67	132.44	100.13	132.44	19.39	46.5	87.65	41.52	82.29	36.53	18.56
HEATR5B	152.28	277.2	483.38	144.01	189.02	529.06	153.34	540.19	303.44	265.87	193.01	470.14	457.25	291.04	301.33	341.51	232.94	305.55	295.11	264.03	92.05	348.71	218.79	463.65	591.22	379.04	547.75	209.84	76.71	88.26	45.85	70.51	64.34	40.36	56.68
IPO11	392.44	559.28	624.99	281.09	373.81	466.88	209.84	536.45	389.72	567.1	325.29	435.55	612.11	447.82	409.15	336.79	470.14	341.51	336.79	518.15	202.66	629.35	287.01	603.67	748.61	583.07	802.41	285.03	107.38	236.21	224.97	165.57	198.47	195.72	99.43
KDM3B	305.55	909.17	1359.57	423.61	493.56	878.17	297.17	890.44	738.29	753.83	361.04	1044.52	1044.52	647.07	708.18	642.59	647.07	603.67	616.37	376.41	363.56	612.11	612.11	1216.75	1208.34	1127.35	902.89	802.41	406.31	229.72	177.53	163.28	256.78	148.09	136.19
KIAA0825	48.52	60.39	84.63	14.14	26.1	67.59	13.42	89.51	48.87	39.5	15.8	70.01	83.45	26.47	23.59	20.56	27.84	41.52	19.39	39.79	4.58	42.41	19.11	76.17	73.03	72.01	90.77	11.82	1.83	2.12	2.29	6.21	3.47	2.63	2.18
KIAA2018	157.68	301.33	228.13	141.02	136.19	248.0	92.05	214.27	159.9	183.82	93.35	279.14	305.55	236.21	165.57	126.12	285.03	183.82	176.29	89.51	101.54	158.79	208.38	241.19	373.81	209.84	242.88	183.82	80.57	167.9	105.15	135.24	159.9	173.85	151.22
KIF3A	148.09	181.28	320.8	98.04	83.45	236.21	87.65	279.14	231.32	291.04	55.49	283.05	275.28	145.02	129.69	241.19	119.26	197.09	111.21	149.12	55.49	169.07	126.12	521.76	295.11	307.69	202.66	102.25	17.51	27.64	25.72	24.81	22.26	22.75	9.13
KLHL9	353.59	563.18	981.29	348.71	409.15	638.15	536.45	769.69	480.04	503.95	199.85	660.68	819.3	559.28	381.68	444.72	525.39	438.59	353.59	332.14	117.6	454.09	507.46	759.08	1023.0	884.29	1104.13	336.79	106.63	117.6	82.29	71.0	82.87	98.04	86.43
LIN54	69.03	177.53	183.82	111.99	97.36	176.29	77.79	181.28	159.9	94.01	63.89	198.47	169.07	144.01	142.01	162.14	117.6	107.38	119.26	258.57	30.12	145.02	145.02	217.27	208.38	148.09	167.9	62.56	17.64	52.08	46.84	50.63	49.21	49.91	22.26
LMLN	66.65	135.24	135.24	70.51	68.55	187.71	63.0	208.38	132.44	105.89	69.52	189.02	190.34	102.97	85.82	102.97	87.03	154.42	84.04	61.25	28.86	86.43	88.26	269.6	117.6	106.63	183.82	109.66	14.35	11.55	9.63	10.08	6.52	8.38	7.57
LNPEP	63.89	231.32	429.54	116.78	155.5	295.11	69.52	525.39	159.9	212.78	54.33	208.38	432.53	119.26	122.64	251.48	186.4	215.77	480.04	193.01	58.3	229.72	150.17	412.0	460.44	466.88	303.44	105.15	40.07	34.75	23.59	25.35	31.9	26.1	21.47
LTN1	130.6	277.2	373.81	78.34	155.5	295.11	103.69	368.65	285.03	224.97	71.5	285.03	323.03	217.27	151.22	262.2	299.25	187.71	209.84	138.1	37.85	173.85	123.5	486.75	599.49	358.54	490.14	87.03	21.94	38.67	32.82	47.84	51.35	45.53	33.54
LYRM7	102.97	159.9	217.27	104.42	85.22	127.0	29.48	118.43	75.11	79.45	60.82	117.6	118.43	140.04	43.63	83.45	125.24	87.65	82.29	84.04	34.51	185.11	67.59	246.28	293.07	185.11	195.72	72.52	14.56	72.01	102.25	86.43	54.72	53.95	32.36
MBLAC2	49.91	114.36	115.16	44.89	47.84	97.36	27.64	107.38	94.01	53.95	32.59	71.0	68.55	51.71	58.71	86.43	58.3	101.54	96.68	100.13	25.91	119.26	49.56	194.36	253.23	144.01	182.55	93.35	10.88	38.67	34.02	29.7	31.22	28.45	19.97
MGEA5	1151.06	2061.24	3443.31	1233.75	1111.82	1769.57	759.08	1685.71	1051.79	1487.87	507.46	2178.83	2061.24	2384.37	896.64	1561.89	1639.59	1794.29	1104.13	854.13	718.08	1216.75	1119.56	2777.33	3372.43	2915.45	2319.15	1233.75	351.14	587.13	599.49	460.44	738.29	356.05	470.14
MIER3	175.07	353.59	503.95	134.3	178.77	334.46	102.97	403.5	265.87	221.86	92.05	339.14	423.61	241.19	303.44	133.36	153.34	189.02	204.07	155.5	40.93	307.69	215.77	603.67	476.71	780.44	253.23	173.85	26.67	80.57	66.18	55.49	56.68	60.82	49.56
MSH3	92.7	297.17	353.59	206.94	138.1	277.2	87.03	260.38	234.57	262.2	84.04	358.54	269.6	224.97	218.79	202.66	172.65	156.59	214.27	146.03	53.95	189.02	202.66	332.14	379.04	224.97	432.53	116.78	15.8	69.52	48.18	63.0	64.34	47.17	34.02
MTX3	32.59	156.59	241.19	31.67	72.52	167.9	20.86	111.21	154.42	89.51	8.13	141.02	162.14	72.01	53.19	177.53	67.59	51.35	102.97	50.27	8.25	115.16	72.01	260.38	295.11	112.77	229.72	48.52	6.94	12.93	5.59	8.32	7.17	6.26	4.7
NFX1	363.56	473.41	733.19	629.35	361.04	629.35	500.46	571.05	591.22	555.41	555.41	638.15	521.76	775.05	595.34	698.41	642.59	555.41	429.54	387.02	403.5	616.37	457.25	753.83	764.36	866.07	583.07	454.09	226.54	358.54	281.09	301.33	327.56	221.86	251.48
NPEPPS	796.86	1551.09	1551.09	759.08	796.86	1628.26	483.38	1819.35	1685.71	1572.76	660.68	1369.04	1651.0	511.0	1407.55	1135.2	808.0	1331.57	1030.12	764.36	647.07	1250.98	819.3	2240.11	2240.11	2209.26	1477.58	961.07	432.53	320.8	275.28	497.0	332.14	277.2	267.73
PGGT1B	435.55	414.87	698.41	339.14	281.09	591.22	153.34	591.22	392.44	447.82	193.01	507.46	583.07	507.46	303.44	417.77	334.46	269.6	323.03	447.82	150.17	500.46	285.03	587.13	599.49	514.56	890.44	167.9	104.42	152.28	111.21	107.38	88.26	88.88	129.69
PHC3	125.24	287.01	896.64	155.5	271.48	583.07	131.51	620.67	555.41	262.2	118.43	547.75	967.76	323.03	262.2	435.55	299.25	234.57	269.6	190.34	55.49	387.02	217.27	866.07	1015.93	1216.75	483.38	209.84	41.81	59.55	33.3	40.07	45.85	19.25	32.82
PJA2	934.76	1617.0	2178.83	679.29	1151.06	1781.89	579.04	1909.85	1286.18	1233.75	669.92	1832.01	1883.54	1572.76	1008.9	1498.22	1159.07	1540.37	1359.57	941.27	314.17	1457.23	1051.79	2367.9	2627.46	4123.49	2573.36	791.35	366.09	525.39	303.44	325.29	327.56	423.61	476.71
POLK	165.57	400.71	514.56	151.22	234.57	426.57	85.82	460.44	242.88	275.28	78.34	371.22	384.34	221.86	234.57	341.51	231.32	277.2	273.37	265.87	35.25	275.28	205.5	490.14	620.67	854.13	669.92	147.06	16.63	76.71	62.12	46.18	37.05	59.13	18.29
PTCD2	116.78	128.79	198.47	123.5	101.54	157.68	50.63	173.85	108.9	155.5	72.01	156.59	118.43	102.97	81.71	133.36	135.24	116.78	104.42	75.64	72.01	99.43	81.71	197.09	248.0	251.48	287.01	78.89	75.64	65.26	58.3	80.57	36.01	69.03	62.56
PUM1	532.74	967.76	1417.35	543.96	872.1	1081.39	620.67	1111.82	1322.37	713.11	366.09	802.41	1388.16	656.11	764.36	624.99	842.36	842.36	1037.29	620.67	361.04	796.86	1096.5	1457.23	1685.71	1651.0	1909.85	967.76	368.65	346.29	236.21	228.13	232.94	251.48	228.13
PUM2	769.69	1242.34	2075.59	791.35	947.83	1572.76	563.18	1487.87	1119.56	884.29	536.45	1519.15	1896.65	1127.35	1044.52	1233.75	1331.57	1104.13	1015.93	698.41	376.41	1073.91	1001.93	1733.13	2193.99	1662.49	1896.65	872.1	275.28	563.18	291.04	285.03	447.82	336.79	291.04
PWWP2A	208.38	232.94	329.84	137.14	199.85	242.88	90.77	281.09	258.57	185.11	143.01	334.46	285.03	387.02	197.09	223.41	197.09	182.55	228.13	165.57	92.05	267.73	172.65	361.04	409.15	334.46	260.38	234.57	24.99	93.35	78.89	61.25	84.04	68.55	28.65
QTRTD1	150.17	325.29	417.77	182.55	185.11	351.14	169.07	358.54	267.73	305.55	124.37	361.04	460.44	242.88	178.77	327.56	381.68	198.47	226.54	189.02	117.6	346.29	211.31	397.93	698.41	412.0	387.02	137.14	85.82	105.15	69.52	92.05	81.14	39.5	52.82
RAD17	329.84	532.74	624.99	329.84	312.0	518.15	156.59	486.75	341.51	403.5	287.01	473.41	463.65	507.46	376.41	376.41	318.57	373.81	371.22	426.57	187.71	366.09	258.57	718.08	738.29	395.18	532.74	336.79	125.24	183.82	189.02	182.55	205.5	191.67	131.51
RAD50	309.83	612.11	928.3	356.05	295.11	642.59	166.73	961.07	490.14	603.67	314.17	703.28	629.35	450.94	555.41	435.55	476.71	473.41	389.72	358.54	115.97	486.75	318.57	941.27	954.43	629.35	583.07	275.28	14.45	204.07	140.04	189.02	137.14	162.14	29.91
RBM22	796.86	1023.0	1051.79	642.59	703.28	902.89	406.31	802.41	764.36	954.43	780.44	954.43	988.12	860.08	723.08	896.64	591.22	698.41	698.41	457.25	575.03	802.41	723.08	1051.79	1427.22	1191.69	1151.06	884.29	460.44	529.06	450.94	420.68	532.74	450.94	323.03
RBM27	155.5	291.04	480.04	183.82	195.72	309.83	130.6	363.56	325.29	239.52	107.38	325.29	414.87	205.5	231.32	289.02	271.48	236.21	232.94	205.5	61.25	246.28	206.94	454.09	536.45	438.59	435.55	126.12	16.15	95.34	63.89	59.97	71.5	58.3	22.26
RBM47	693.58	1397.83	1794.29	669.92	244.57	1151.06	532.74	1143.1	1781.89	954.43	529.06	1437.15	1225.22	1674.06	872.1	1159.07	1037.29	860.08	1225.22	743.43	221.86	1096.5	961.07	1350.18	1127.35	796.86	995.0	928.3	316.37	473.41	281.09	336.79	255.0	343.89	126.12
RNF20	470.14	616.37	954.43	493.56	518.15	854.13	271.48	780.44	616.37	796.86	373.81	860.08	961.07	371.22	616.37	490.14	587.13	514.56	525.39	348.71	291.04	638.15	454.09	764.36	825.0	836.53	872.1	460.44	214.27	202.66	182.55	208.38	201.25	164.42	170.25
RPAP3	454.09	579.04	684.02	414.87	397.93	599.49	318.57	651.58	466.88	503.95	373.81	629.35	785.88	409.15	575.03	412.0	599.49	490.14	466.88	587.13	180.02	480.04	500.46	884.29	713.11	612.11	540.19	307.69	34.75	232.94	214.27	172.65	275.28	156.59	40.07
SCAMP1	514.56	1023.0	1088.92	420.68	665.29	896.64	329.84	884.29	830.75	669.92	348.71	808.0	1001.93	708.18	665.29	775.05	728.11	808.0	679.29	563.18	159.9	753.83	785.88	1322.37	1331.57	1745.2	1551.09	500.46	111.21	153.34	128.79	167.9	96.01	201.25	73.54
SCGB2A2	964885.69	1800541.22	262143.0	978355.0	857631.47	938500.81	731246.37	1318073.06	1238359.56	1788103.97	1751305.3	2279047.19	589853.66	1668359.93	1422501.74	1600397.78	1524599.69	8805660.77	1345768.59	912837.43	77934.88	1578364.61	1187913.85	9876.98	3395.89	641014.63	731246.37	1503610.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SETD2	271.48	536.45	848.22	384.34	420.68	571.05	320.8	660.68	514.56	336.79	214.27	638.15	629.35	426.57	429.54	444.72	575.03	480.04	473.41	336.79	190.34	397.93	420.68	638.15	967.76	612.11	624.99	387.02	65.26	211.31	148.09	140.04	208.38	156.59	60.82
SLC35A5	463.65	708.18	830.75	409.15	629.35	698.41	281.09	860.08	567.1	599.49	273.37	599.49	896.64	457.25	444.72	518.15	693.58	381.68	591.22	432.53	155.5	460.44	351.14	954.43	1111.82	954.43	842.36	414.87	260.38	175.07	120.1	138.1	162.14	176.29	232.94
SLU7	703.28	1073.91	988.12	616.37	718.08	896.64	387.02	718.08	884.29	934.76	638.15	1104.13	1001.93	890.44	775.05	1233.75	651.58	791.35	825.0	540.19	518.15	642.59	551.56	1135.2	934.76	854.13	775.05	583.07	87.65	450.94	490.14	414.87	403.5	346.29	75.11
SMARCA5	447.82	934.76	1030.12	733.19	473.41	884.29	540.19	866.07	764.36	616.37	429.54	808.0	915.51	460.44	647.07	693.58	1331.57	540.19	633.73	559.28	215.77	511.0	624.99	988.12	967.76	1001.93	934.76	371.22	46.84	212.78	190.34	158.79	438.59	164.42	50.63
SMU1	1175.27	1286.18	1870.53	1023.0	896.64	1583.71	1051.79	1628.26	1096.5	1551.09	1111.82	1427.22	1617.0	1561.89	1508.65	1088.92	1304.15	1059.11	1001.93	1001.93	775.05	1175.27	1051.79	1651.0	1697.45	1991.0	1617.0	928.3	703.28	633.73	423.61	423.61	473.41	332.14	507.46
SNRNP48	85.22	159.9	220.32	199.85	171.45	194.36	73.03	145.02	143.01	170.25	92.05	228.13	155.5	185.11	154.42	78.89	157.68	172.65	102.25	126.12	43.32	80.57	141.02	295.11	379.04	237.86	201.25	153.34	11.13	105.15	66.65	92.7	83.45	78.34	25.54
SPTLC1	954.43	1350.18	1883.54	693.58	1417.35	1583.71	728.11	1540.37	1151.06	1561.89	708.18	1551.09	1487.87	1369.04	1073.91	1225.22	1225.22	981.29	1427.22	718.08	669.92	1583.71	703.28	1806.78	1572.76	2609.3	1685.71	954.43	555.41	312.0	163.28	223.41	224.97	267.73	229.72
TET2	59.55	166.73	281.09	70.01	97.36	193.01	53.57	226.54	128.79	77.79	42.11	190.34	217.27	100.83	92.7	156.59	143.01	133.36	130.6	68.07	38.67	114.36	108.9	273.37	366.09	194.36	248.0	126.12	10.39	16.51	15.11	17.9	22.92	15.0	9.85
THAP9	38.67	82.87	84.04	71.0	46.5	97.36	36.27	113.56	68.07	55.1	39.5	76.71	78.89	98.04	49.21	49.91	63.89	82.29	54.72	74.06	26.47	64.8	37.59	158.79	178.77	81.14	73.03	65.26	6.62	22.1	24.99	32.36	40.64	29.06	11.55
TIAL1	921.88	1487.87	1721.16	1369.04	1183.45	1685.71	1037.29	1662.49	1350.18	1037.29	1135.2	1561.89	1529.73	1662.49	1437.15	1487.87	1059.11	1529.73	1096.5	921.88	802.41	1127.35	1111.82	2178.83	2417.67	1909.85	1583.71	1437.15	395.18	748.61	753.83	848.22	1127.35	660.68	454.09
TMEM161B	232.94	281.09	281.09	132.44	115.97	314.17	77.79	299.25	189.02	253.23	133.36	239.52	228.13	234.57	187.71	320.8	181.28	212.78	165.57	236.21	76.71	273.37	223.41	454.09	490.14	379.04	289.02	156.59	86.43	105.89	86.43	85.22	74.06	76.17	69.03
TMEM184C	162.14	447.82	620.67	258.57	305.55	480.04	170.25	432.53	435.55	231.32	154.42	460.44	529.06	371.22	281.09	525.39	267.73	248.0	420.68	295.11	132.44	397.93	332.14	551.56	595.34	379.04	373.81	403.5	215.77	153.34	86.43	135.24	115.97	72.52	116.78
TMEM245	320.8	417.77	759.08	269.6	356.05	616.37	258.57	486.75	547.75	563.18	170.25	497.0	507.46	295.11	318.57	466.88	327.56	514.56	703.28	435.55	139.07	647.07	189.02	878.17	961.07	612.11	693.58	351.14	236.21	125.24	151.22	429.54	231.32	295.11	186.4
TOPORS	185.11	329.84	361.04	285.03	232.94	384.34	212.78	336.79	285.03	334.46	173.85	336.79	353.59	312.0	332.14	234.57	305.55	293.07	231.32	180.02	86.43	285.03	307.69	480.04	536.45	341.51	423.61	251.48	23.93	124.37	63.89	92.05	89.51	100.13	34.02
