	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.QEG4.0726.SM.4R1JL	GTEX.Q2AH.0826.SM.48TZN	GTEX.Y3IK.1126.SM.51MSV	GTEX.RU1J.0326.SM.46MUM	GTEX.QDVJ.0726.SM.48U1W	GTEX.14E1K.1226.SM.5S2PD	GTEX.VJYA.0726.SM.4KL1T	GTEX.RWS6.0826.SM.47JXF	GTEX.13PVR.1826.SM.5Q5CC	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.145MF.0826.SM.5QGQA	GTEX.14DAQ.1726.SM.5S2R2	GTEX.14753.1626.SM.5NQ9L	TCGA.IN.8663.11A.01R.2402.13
COMMD5	305.55	616.37	728.11	555.41	674.59	514.56	503.95	563.18	301.33	511.0	500.46	432.53	529.06	514.56	444.72	447.82	432.53	376.41	450.94	363.56	400.71	389.72	397.93	234.57	447.82	206.94	414.87
DCAF12	1909.85	954.43	490.14	1295.13	1127.35	1073.91	981.29	1167.14	718.08	988.12	981.29	819.3	961.07	759.08	748.61	237.86	262.2	241.19	366.09	395.18	275.28	301.33	209.84	217.27	253.23	269.6	915.51
DHX37	116.78	297.17	363.56	193.01	269.6	204.07	409.15	285.03	177.53	262.2	314.17	211.31	297.17	283.05	175.07	90.14	87.03	88.26	110.43	75.64	104.42	92.05	76.17	83.45	72.52	35.25	159.9
DIS3L2	301.33	669.92	454.09	583.07	432.53	941.27	693.58	688.78	420.68	785.88	392.44	444.72	878.17	733.19	518.15	191.67	166.73	134.3	190.34	195.72	181.28	202.66	232.94	173.85	215.77	221.86	536.45
DNAJC10	83.45	414.87	429.54	248.0	376.41	246.28	493.56	713.11	441.64	473.41	429.54	336.79	728.11	358.54	409.15	228.13	220.32	178.77	260.38	346.29	226.54	389.72	239.52	241.19	339.14	65.26	332.14
DNAJC11	323.03	688.78	665.29	511.0	656.11	555.41	1044.52	638.15	493.56	902.89	819.3	620.67	669.92	753.83	603.67	406.31	460.44	423.61	507.46	476.71	563.18	503.95	314.17	438.59	450.94	279.14	500.46
DNMT3A	55.89	212.78	142.01	194.36	159.9	172.65	190.34	214.27	119.26	198.47	176.29	172.65	223.41	205.5	154.42	80.57	51.71	65.72	83.45	75.11	51.71	59.97	72.52	42.41	90.77	15.34	159.9
DOT1L	395.18	384.34	395.18	332.14	466.88	463.65	514.56	457.25	256.78	718.08	616.37	392.44	454.09	438.59	339.14	61.25	84.04	72.52	72.01	60.39	53.95	94.01	73.03	89.51	52.45	69.03	287.01
DUOXA1	329517.51	9279.58	8134.41	9673.69	8022.41	8305.36	5555.65	4210.15	2739.08	4038.61	4298.64	4358.66	5831.91	5147.73	4123.49	1.66	1.55	0.0	4.21	0.0	4.39	3.11	0.39	4.66	9.63	0.0	6935.54
E2F4	708.18	1819.35	2537.92	1388.16	1794.29	1457.23	2384.37	1662.49	928.3	1617.0	1757.34	1359.57	1733.13	1397.83	1286.18	381.68	438.59	348.71	417.77	339.14	341.51	361.04	242.88	249.73	312.0	102.25	830.75
E2F6	212.78	212.78	208.38	138.1	234.57	126.12	241.19	211.31	118.43	220.32	182.55	226.54	197.09	224.97	193.01	104.42	142.01	116.78	106.63	185.11	79.45	131.51	88.26	106.63	128.79	43.32	178.77
ECM1	992012.34	353168.2	107203.06	1187913.85	394590.4	746611.43	17078.76	79022.82	33688.23	42937.97	26614.89	40621.74	29943.43	28328.16	60304.42	551.56	995.0	878.17	1104.13	1081.39	872.1	1277.29	3467.27	775.05	3190.46	339.14	33224.42
EFCAB14	1397.83	660.68	511.0	743.43	595.34	928.3	1685.71	1674.06	854.13	1923.14	1277.29	1233.75	2119.22	1447.15	1167.14	358.54	409.15	429.54	587.13	620.67	476.71	426.57	358.54	368.65	532.74	403.5	1721.16
EIF6	10585.95	9740.98	15499.21	7749.1	13399.51	10659.59	5479.15	6294.04	5041.77	4358.66	6471.02	5441.3	7433.4	6037.61	6079.61	3901.01	3639.7	3874.05	3540.14	3190.46	3820.7	2835.7	4298.64	3847.29	3515.68	3257.52	4769.75
EMP1	610654.84	301123.38	35609.13	641014.63	194578.47	610654.84	59063.35	79572.48	75280.1	70727.3	51062.33	63742.91	53973.86	65990.84	72213.45	115.16	106.63	10.96	49.56	629.35	155.5	447.82	3190.46	102.25	277.2	232.94	84109.6
FAM105B	575.03	269.6	183.82	198.47	242.88	248.0	318.57	246.28	239.52	414.87	323.03	368.65	336.79	297.17	167.9	147.06	162.14	153.34	242.88	285.03	149.12	220.32	255.0	197.09	239.52	275.28	180.02
FAM189A1	62.56	1.99	3.17	0.64	2.29	0.54	3.0	1.14	0.4	3.29	3.44	5.15	4.9	3.96	1.22	0.66	0.61	2.1	1.97	0.62	1.08	1.27	2.27	2.84	0.04	0.82	4.54
FAM83G	3564.78	2367.9	1498.22	2555.58	902.89	3564.78	1963.57	1104.13	878.17	1304.15	1183.45	1397.83	1250.98	1208.34	954.43	153.34	96.01	65.72	87.03	51.71	84.04	117.6	169.07	50.27	43.32	15.56	967.76
FAM83H	2956.17	2502.97	2303.12	2119.22	2997.45	20170.07	2555.58	2004.85	1674.06	1781.89	2133.97	1662.49	2796.65	2319.15	1651.0	215.77	136.19	180.02	158.79	117.6	162.14	169.07	175.07	269.6	120.94	60.39	2591.27
FANCB	15.91	10.24	23.59	14.56	15.91	18.84	16.39	12.0	8.92	40.93	8.38	8.45	11.64	21.32	27.25	1.3	0.0	0.62	1.62	2.36	0.61	2.63	1.97	6.41	5.11	0.26	6.26
FBXO46	791.35	642.59	540.19	373.81	507.46	620.67	819.3	708.18	329.84	647.07	435.55	638.15	591.22	483.38	318.57	115.16	150.17	147.06	152.28	114.36	136.19	114.36	104.42	136.19	180.02	94.01	417.77
FUT1	208.38	28.04	29.27	12.64	19.68	13.62	141.02	135.24	53.19	115.97	86.43	96.01	144.01	54.33	70.51	6.11	10.0	6.11	9.27	15.22	5.96	8.99	34.75	7.06	9.06	3.89	69.03
FUT6	212926.09	11992.79	6250.56	26614.89	21468.49	27745.15	1857.6	3742.05	1388.16	2777.33	2163.77	1594.73	3190.46	1936.53	1519.15	320.8	92.05	165.57	224.97	154.42	135.24	106.63	185.11	78.34	432.53	23.08	753.83
GATAD2A	1304.15	1159.07	1304.15	796.86	934.76	941.27	1159.07	1572.76	665.29	1183.45	928.3	830.75	1191.69	738.29	665.29	341.51	251.48	329.84	406.31	412.0	287.01	327.56	353.59	289.02	379.04	281.09	733.19
GEMIN5	82.87	173.85	164.42	110.43	142.01	127.0	134.3	130.6	102.97	137.14	133.36	127.0	189.02	127.0	109.66	63.89	72.01	65.72	94.67	92.7	77.79	75.64	65.72	69.52	69.03	43.63	96.68
GLYR1	1167.14	1175.27	1143.1	1066.48	1225.22	1159.07	1030.12	1242.34	915.51	1407.55	1340.84	1096.5	1159.07	1233.75	915.51	435.55	414.87	503.95	785.88	633.73	669.92	473.41	429.54	525.39	656.11	503.95	878.17
GMEB2	129.69	265.87	269.6	231.32	295.11	217.27	327.56	283.05	118.43	217.27	232.94	164.42	269.6	199.85	186.4	77.79	92.05	91.41	88.26	62.12	77.79	90.77	62.12	82.87	57.89	57.08	144.01
GOLGA3	234.57	432.53	387.02	343.89	381.68	429.54	638.15	486.75	273.37	638.15	571.05	536.45	575.03	595.34	295.11	105.89	100.83	127.89	150.17	84.63	145.02	129.69	78.89	102.25	64.8	59.13	366.09
GPR115	4298.64	2573.36	2018.8	2400.97	2537.92	5366.37	166.73	297.17	241.19	277.2	312.0	255.0	457.25	341.51	267.73	0.0	0.0	0.0	0.51	0.56	0.0	2.23	0.0	0.0	0.0	0.71	154.42
GZF1	132.44	151.22	90.14	149.12	127.89	113.56	100.13	221.86	90.14	178.77	134.3	82.29	185.11	156.59	115.97	65.72	61.25	84.63	86.43	139.07	98.73	74.06	113.56	46.84	52.82	81.71	105.15
HIC2	17.25	74.58	51.35	66.18	58.71	75.11	113.56	152.28	28.65	105.89	67.59	54.72	69.52	57.49	43.32	19.68	19.39	18.56	10.24	13.12	13.62	17.25	30.12	11.91	22.59	9.7	48.52
IER5	2573.36	1467.37	1378.57	1794.29	1359.57	1781.89	1508.65	1096.5	575.03	1313.23	1331.57	902.89	915.51	878.17	902.89	83.45	141.02	64.34	106.63	249.73	74.58	166.73	547.75	152.28	90.77	279.14	981.29
IFRD2	679.29	1127.35	2061.24	842.36	1651.0	1088.92	3467.27	1794.29	909.17	2193.99	1697.45	1397.83	2090.03	1322.37	1340.84	1551.09	1378.57	1757.34	1870.53	1159.07	1583.71	1250.98	1066.48	1628.26	775.05	909.17	791.35
IL1RN	598087.73	619179.28	358098.26	2408994.05	672883.8	2053992.24	67846.12	60304.42	35609.13	53230.77	39237.98	44452.21	48982.22	47642.77	45072.75	2119.22	3665.02	5913.33	8078.22	9740.98	5041.77	6207.38	1674.06	1119.56	4328.55	52135.28	46662.28
IRAK1	1199.98	1844.76	3190.46	1487.87	1794.29	1628.26	2468.49	2075.59	1111.82	2047.0	2047.0	1487.87	2090.03	1662.49	1369.04	500.46	638.15	902.89	607.87	242.88	698.41	620.67	536.45	713.11	299.25	371.22	1183.45
IRF2BPL	444.72	348.71	555.41	265.87	220.32	346.29	316.37	336.79	260.38	343.89	353.59	264.03	329.84	332.14	301.33	208.38	229.72	193.01	289.02	258.57	229.72	283.05	255.0	186.4	248.0	872.1	283.05
KDM2B	902.89	540.19	620.67	607.87	620.67	878.17	521.76	444.72	409.15	525.39	493.56	486.75	607.87	559.28	414.87	165.57	215.77	287.01	246.28	199.85	186.4	134.3	122.64	155.5	305.55	244.57	392.44
LA16c-431H6.6	2.53	3.53	1.13	2.14	3.59	0.61	1.95	5.45	1.71	9.41	0.0	1.01	4.74	2.16	3.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51
LETM1	514.56	866.07	836.53	480.04	1417.35	651.58	1051.79	890.44	480.04	878.17	796.86	748.61	860.08	848.22	693.58	231.32	205.5	255.0	269.6	217.27	237.86	241.19	171.45	206.94	169.07	150.17	511.0
MBD1	909.17	988.12	1191.69	1051.79	1044.52	1051.79	1674.06	2271.4	490.14	3540.14	1651.0	1359.57	2004.85	1208.34	718.08	406.31	395.18	392.44	480.04	381.68	435.55	329.84	397.93	314.17	441.64	232.94	819.3
MCM3AP	409.15	974.5	802.41	775.05	791.35	1081.39	921.88	796.86	529.06	1233.75	1059.11	660.68	1030.12	1066.48	733.19	483.38	595.34	559.28	638.15	293.07	441.64	426.57	400.71	358.54	432.53	228.13	802.41
MED1	228.13	387.02	269.6	265.87	314.17	256.78	212.78	295.11	190.34	325.29	283.05	242.88	366.09	248.0	158.79	118.43	120.1	113.56	159.9	169.07	128.79	146.03	105.15	121.79	106.63	23.76	221.86
MSTO1	226.54	748.61	688.78	470.14	656.11	525.39	1001.93	802.41	457.25	638.15	660.68	351.14	967.76	753.83	629.35	361.04	182.55	193.01	211.31	220.32	220.32	293.07	156.59	140.04	136.19	64.34	389.72
MYBBP1A	457.25	1286.18	1498.22	961.07	1313.23	947.83	1378.57	1030.12	718.08	995.0	1159.07	830.75	1350.18	1073.91	669.92	389.72	283.05	273.37	381.68	323.03	339.14	373.81	285.03	264.03	312.0	155.5	620.67
NAT9	281.09	633.73	813.63	435.55	813.63	497.0	884.29	651.58	291.04	567.1	543.96	514.56	713.11	429.54	303.44	271.48	329.84	323.03	318.57	202.66	237.86	258.57	293.07	242.88	297.17	170.25	228.13
NOM1	127.89	224.97	205.5	182.55	271.48	189.02	312.0	187.71	162.14	273.37	251.48	228.13	336.79	373.81	145.02	110.43	100.13	92.7	155.5	150.17	106.63	121.79	70.51	98.04	54.72	63.89	116.78
NOP56	2178.83	3982.99	5555.65	2255.7	4123.49	3190.46	5006.93	4972.34	2485.67	4736.79	3794.3	2956.17	4937.99	3690.52	2915.45	1111.82	848.22	718.08	733.19	836.53	647.07	842.36	633.73	500.46	529.06	154.42	1561.89
NPLOC4	1909.85	1991.0	1697.45	1757.34	1781.89	1572.76	2163.77	1896.65	1096.5	1674.06	1477.58	1268.46	1540.37	1457.23	1437.15	476.71	406.31	483.38	612.11	325.29	450.94	457.25	346.29	684.02	376.41	341.51	1088.92
NUP188	563.18	988.12	1015.93	915.51	1015.93	954.43	759.08	995.0	503.95	1051.79	808.0	791.35	796.86	872.1	511.0	128.79	122.64	101.54	146.03	131.51	110.43	111.99	120.1	104.42	152.28	44.57	748.61
PAQR5	507.46	273.37	178.77	420.68	140.04	423.61	387.02	503.95	373.81	733.19	454.09	376.41	444.72	571.05	366.09	7.46	12.55	7.75	17.51	27.64	9.41	20.86	34.51	5.32	9.63	4.74	693.58
PCNXL3	429.54	748.61	860.08	698.41	669.92	693.58	872.1	785.88	444.72	703.28	775.05	616.37	743.43	629.35	497.0	187.71	183.82	234.57	228.13	92.7	202.66	167.9	119.26	211.31	135.24	69.52	503.95
PELP1	563.18	860.08	836.53	620.67	1127.35	579.04	1081.39	759.08	441.64	647.07	718.08	642.59	848.22	674.59	403.5	397.93	329.84	343.89	314.17	329.84	363.56	329.84	301.33	251.48	323.03	132.44	423.61
PEX26	152.28	318.57	269.6	221.86	312.0	231.32	244.57	395.18	211.31	363.56	438.59	285.03	426.57	281.09	197.09	146.03	161.02	186.4	267.73	186.4	229.72	177.53	141.02	217.27	234.57	185.11	231.32
PLA2G4B	1175.27	1369.04	2777.33	3515.68	1250.98	1487.87	2271.4	1437.15	575.03	1781.89	759.08	947.83	1844.76	1066.48	595.34	88.88	129.69	57.49	36.53	27.64	35.0	36.27	79.45	78.34	77.79	36.27	915.51
PLB1	33.54	106.63	71.5	111.99	67.12	81.71	56.68	63.0	32.59	36.79	37.32	28.86	82.29	57.49	41.81	16.27	17.38	20.11	17.9	19.39	19.68	31.9	18.7	20.86	2.89	17.51	40.93
PMM2	759.08	497.0	684.02	454.09	688.78	429.54	1350.18	785.88	559.28	1030.12	872.1	624.99	1159.07	825.0	728.11	559.28	287.01	395.18	503.95	403.5	392.44	703.28	361.04	490.14	412.0	490.14	571.05
POM121	125.24	563.18	470.14	444.72	486.75	463.65	775.05	356.05	246.28	503.95	555.41	444.72	521.76	559.28	381.68	175.07	212.78	201.25	341.51	371.22	285.03	197.09	153.34	309.83	256.78	206.94	387.02
POM121C	195.72	660.68	591.22	603.67	563.18	543.96	743.43	406.31	287.01	511.0	497.0	457.25	551.56	441.64	406.31	214.27	220.32	194.36	275.28	262.2	249.73	195.72	135.24	218.79	232.94	114.36	473.41
PPFIA3	1044.52	447.82	429.54	426.57	624.99	559.28	540.19	291.04	214.27	454.09	463.65	332.14	363.56	366.09	283.05	112.77	117.6	102.97	144.01	81.14	134.3	88.26	166.73	170.25	102.25	102.97	205.5
PPIP5K1	454.09	486.75	356.05	376.41	303.44	314.17	507.46	759.08	426.57	708.18	435.55	368.65	733.19	633.73	332.14	46.5	69.52	63.89	85.22	63.0	67.12	78.89	81.71	94.67	40.93	26.1	234.57
PRR22	94.67	66.18	112.77	51.71	90.77	29.48	142.01	157.68	103.69	98.04	87.03	39.5	96.01	115.16	76.71	81.14	80.57	56.28	68.07	40.93	49.91	47.17	74.06	90.77	64.8	19.53	30.78
PTX4	0.0	1.36	0.0	0.75	0.95	1.57	3.08	3.82	0.0	2.05	1.27	1.81	1.16	2.66	1.28	0.0	1.2	0.61	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
PUS7	197.09	239.52	206.94	150.17	170.25	173.85	277.2	244.57	154.42	318.57	223.41	198.47	320.8	248.0	167.9	67.59	48.52	59.13	96.68	86.43	77.25	69.03	63.89	24.63	34.51	25.54	155.5
QSOX2	39.22	146.03	162.14	90.14	180.02	94.01	175.07	135.24	46.84	106.63	145.02	115.16	161.02	120.94	66.65	93.35	85.82	85.82	94.67	71.5	59.13	85.82	57.49	72.52	82.87	30.78	52.08
RAB44	2.03	16.03	10.63	14.03	7.22	10.39	19.11	18.29	4.74	13.12	8.71	5.59	10.88	11.21	11.91	0.0	0.83	0.0	0.0	0.0	0.0	1.71	0.71	0.41	0.0	1.03	2.34
RABGGTA	1191.69	7032.37	10368.08	12160.22	4388.98	9540.5	2997.45	3928.15	1936.53	4836.35	2739.08	3235.01	3443.31	3103.19	2573.36	447.82	460.44	400.71	395.18	371.22	457.25	409.15	400.71	297.17	346.29	273.37	1896.65
RHBDD3	246.28	555.41	759.08	397.93	591.22	341.51	647.07	547.75	262.2	400.71	463.65	273.37	454.09	417.77	297.17	381.68	242.88	312.0	361.04	255.0	336.79	297.17	267.73	343.89	303.44	165.57	244.57
RNF126	3325.99	2303.12	3564.78	1605.83	2335.28	2133.97	2796.65	1674.06	1508.65	1427.22	1639.59	1322.37	2047.0	1781.89	1498.22	967.76	915.51	1135.2	872.1	723.08	708.18	769.69	872.1	802.41	902.89	791.35	1259.69
RNF4	532.74	860.08	866.07	728.11	848.22	796.86	1143.1	1388.16	521.76	836.53	848.22	674.59	1529.73	759.08	780.44	262.2	285.03	271.48	381.68	363.56	316.37	318.57	214.27	220.32	244.57	146.03	656.11
RRP7A	555.41	551.56	785.88	426.57	532.74	500.46	1183.45	486.75	314.17	529.06	728.11	463.65	551.56	607.87	318.57	441.64	480.04	665.29	435.55	532.74	255.0	432.53	265.87	518.15	409.15	438.59	460.44
RRS1	329.84	450.94	486.75	269.6	521.76	366.09	567.1	543.96	316.37	540.19	463.65	361.04	743.43	397.93	460.44	187.71	105.15	102.97	175.07	180.02	111.99	323.03	162.14	156.59	88.26	77.79	269.6
RUNDC1	193.01	173.85	154.42	134.3	234.57	148.09	159.9	218.79	141.02	241.19	241.19	172.65	237.86	180.02	156.59	67.59	62.12	60.39	62.12	90.14	59.13	67.59	55.1	30.78	55.49	26.67	153.34
SIPA1L2	1073.91	928.3	620.67	981.29	647.07	1015.93	974.5	684.02	480.04	733.19	693.58	785.88	1183.45	796.86	356.05	55.89	54.72	79.45	103.69	66.18	49.56	22.75	37.05	8.51	83.45	18.03	356.05
SLC1A3	555.41	336.79	316.37	616.37	392.44	346.29	153.34	237.86	285.03	438.59	262.2	299.25	435.55	507.46	221.86	8.92	14.78	10.08	57.08	11.55	14.24	63.45	13.22	2.43	20.71	6.94	339.14
SLC27A4	1427.22	2335.28	3665.02	1923.14	3540.14	3515.68	2627.46	1350.18	1151.06	1594.73	1757.34	1008.9	1651.0	1477.58	1167.14	764.36	414.87	540.19	429.54	343.89	470.14	693.58	486.75	480.04	444.72	457.25	1081.39
SLC29A2	358.54	129.69	118.43	54.33	334.46	69.52	312.0	262.2	130.6	163.28	134.3	92.7	246.28	209.84	108.14	28.65	23.25	24.28	29.91	20.41	21.94	28.65	14.35	39.5	47.17	10.24	75.11
SLC35F6	947.83	1369.04	825.0	909.17	769.69	921.88	708.18	961.07	684.02	738.29	693.58	583.07	967.76	703.28	629.35	293.07	221.86	271.48	363.56	287.01	258.57	305.55	253.23	231.32	309.83	249.73	808.0
SLC7A5	3168.41	1322.37	2627.46	1757.34	529.06	866.07	3540.14	5995.9	2104.58	4210.15	3768.09	3018.3	4358.66	3665.02	2335.28	180.02	283.05	202.66	143.01	112.77	204.07	339.14	215.77	82.87	84.04	693.58	2335.28
SMYD5	189.02	429.54	616.37	295.11	460.44	277.2	616.37	454.09	307.69	400.71	412.0	293.07	483.38	389.72	318.57	165.57	201.25	194.36	157.68	151.22	118.43	161.02	108.9	156.59	135.24	35.25	190.34
SNX11	457.25	490.14	473.41	583.07	607.87	470.14	718.08	748.61	376.41	426.57	507.46	417.77	587.13	470.14	460.44	176.29	228.13	189.02	176.29	157.68	197.09	169.07	204.07	234.57	183.82	108.9	454.09
