	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.B0.4834.01A.01R.1305.07	TCGA.B8.4619.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.SJXC.1226.SM.4DM78	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A4CR.01A.11R.A24K.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.3M.AB47.01A.22R.A414.31	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07
C5orf51	450.94	246.28	341.51	102.97	444.72	423.61	417.77	287.01	242.88	141.02	187.71	186.4	63.0	48.18	93.35	100.13	89.51	629.35	299.25	1037.29	353.59	234.57	579.04	376.41	191.67	226.54	139.07	287.01	183.82	215.77	256.78	343.89	208.38	190.34
CAMSAP1	262.2	87.65	120.94	79.45	175.07	139.07	141.02	115.16	128.79	106.63	130.6	181.28	30.34	36.27	42.71	38.67	44.25	185.11	177.53	371.22	152.28	202.66	267.73	169.07	110.43	102.97	93.35	87.03	78.89	142.01	78.34	127.89	78.34	71.0
CAND1	1870.53	376.41	409.15	223.41	836.53	1023.0	995.0	961.07	1250.98	199.85	400.71	595.34	265.87	242.88	277.2	351.14	273.37	1437.15	1277.29	2400.97	1277.29	995.0	1594.73	1051.79	486.75	1191.69	808.0	954.43	616.37	860.08	1111.82	1073.91	660.68	521.76
CCNT1	400.71	102.25	104.42	66.65	159.9	279.14	293.07	242.88	215.77	69.03	69.52	115.16	38.67	60.39	90.14	70.51	65.72	193.01	269.6	314.17	295.11	277.2	432.53	201.25	101.54	170.25	101.54	214.27	135.24	111.99	153.34	217.27	116.78	100.83
CDC5L	473.41	94.01	166.73	74.58	209.84	303.44	309.83	224.97	279.14	137.14	143.01	159.9	105.15	129.69	149.12	158.79	170.25	316.37	329.84	674.59	312.0	231.32	356.05	269.6	218.79	258.57	175.07	186.4	162.14	251.48	208.38	176.29	180.02	161.02
CDC73	591.22	142.01	223.41	67.12	387.02	299.25	262.2	371.22	414.87	148.09	218.79	171.45	82.87	63.89	157.68	105.15	97.36	361.04	332.14	567.1	346.29	214.27	397.93	470.14	232.94	229.72	236.21	228.13	176.29	211.31	199.85	264.03	206.94	234.57
COCH	50.63	33.06	0.75	8.45	3.26	307.69	144.01	45.53	31.67	8.0	32.36	52.82	3.44	0.16	11.47	8.32	8.25	60.82	103.69	1447.15	115.97	309.83	353.59	71.0	34.75	10.24	15.22	15.45	21.78	42.11	5.15	37.59	5.63	8.65
CREB1	769.69	106.63	93.35	63.45	236.21	327.56	358.54	323.03	438.59	87.65	134.3	108.9	103.69	70.51	141.02	88.88	97.36	400.71	460.44	633.73	466.88	297.17	780.44	273.37	211.31	283.05	189.02	182.55	212.78	244.57	212.78	214.27	208.38	126.12
CSNK2A1	1487.87	759.08	890.44	1051.79	1498.22	1519.15	1832.01	1051.79	1096.5	547.75	830.75	819.3	312.0	301.33	314.17	264.03	289.02	1081.39	1175.27	2701.35	1250.98	860.08	2758.13	961.07	1051.79	698.41	842.36	723.08	595.34	743.43	733.19	595.34	579.04	708.18
CTDSPL2	567.1	100.83	115.16	92.7	198.47	260.38	279.14	256.78	279.14	72.01	85.82	110.43	37.59	51.71	100.83	51.35	67.59	358.54	426.57	460.44	435.55	228.13	450.94	256.78	176.29	195.72	131.51	132.44	130.6	244.57	146.03	162.14	133.36	87.65
CUL4A	1088.92	447.82	775.05	629.35	1167.14	1143.1	1427.22	878.17	934.76	466.88	567.1	688.78	447.82	346.29	403.5	441.64	503.95	1340.84	1417.35	2627.46	1096.5	1088.92	1340.84	941.27	587.13	860.08	389.72	1295.13	728.11	607.87	848.22	1037.29	698.41	753.83
CUL4B	1081.39	389.72	358.54	397.93	638.15	688.78	728.11	563.18	595.34	248.0	265.87	234.57	104.42	137.14	177.53	190.34	251.48	902.89	819.3	878.17	708.18	346.29	473.41	802.41	429.54	547.75	432.53	514.56	373.81	571.05	511.0	493.56	384.34	463.65
DCUN1D2	271.48	202.66	258.57	159.9	248.0	299.25	403.5	281.09	231.32	69.52	105.89	87.03	72.52	116.78	163.28	116.78	94.01	361.04	473.41	819.3	299.25	356.05	289.02	251.48	170.25	209.84	69.52	244.57	163.28	156.59	146.03	129.69	72.01	172.65
DDX21	1216.75	131.51	206.94	205.5	457.25	595.34	688.78	470.14	555.41	237.86	299.25	283.05	120.1	293.07	229.72	220.32	182.55	1088.92	1216.75	1216.75	1023.0	555.41	1250.98	961.07	371.22	500.46	368.65	480.04	318.57	532.74	529.06	703.28	341.51	224.97
DENND4A	264.03	72.52	108.9	113.56	147.06	417.77	583.07	262.2	217.27	74.06	104.42	126.12	84.04	193.01	199.85	156.59	182.55	361.04	555.41	679.29	529.06	204.07	234.57	201.25	190.34	224.97	94.67	96.68	131.51	199.85	137.14	134.3	173.85	82.29
DIS3	656.11	62.56	139.07	139.07	279.14	414.87	432.53	251.48	285.03	115.97	120.94	161.02	89.51	130.6	97.36	144.01	143.01	435.55	529.06	1477.58	447.82	277.2	587.13	334.46	185.11	281.09	116.78	289.02	201.25	244.57	267.73	232.94	194.36	159.9
DNAJC3	967.76	318.57	373.81	193.01	583.07	928.3	915.51	738.29	780.44	262.2	389.72	426.57	248.0	273.37	426.57	363.56	314.17	743.43	679.29	1883.54	860.08	314.17	616.37	409.15	703.28	329.84	214.27	764.36	674.59	358.54	583.07	1104.13	651.58	287.01
DPY19L4	587.13	249.73	285.03	134.3	532.74	392.44	466.88	323.03	392.44	115.16	169.07	138.1	63.0	149.12	135.24	173.85	175.07	447.82	368.65	612.11	395.18	366.09	612.11	332.14	260.38	201.25	142.01	287.01	226.54	182.55	198.47	217.27	194.36	189.02
EEA1	353.59	52.82	49.91	47.5	150.17	218.79	197.09	159.9	152.28	49.56	93.35	80.01	17.38	27.84	61.25	57.49	58.3	171.45	211.31	195.72	198.47	144.01	175.07	152.28	123.5	124.37	88.26	142.01	71.5	133.36	128.79	150.17	79.45	68.55
ERC1	403.5	167.9	78.34	175.07	191.67	271.48	283.05	303.44	381.68	75.11	202.66	189.02	90.77	86.43	78.34	96.68	93.35	220.32	283.05	575.03	273.37	108.14	226.54	237.86	197.09	218.79	153.34	234.57	186.4	215.77	208.38	232.94	204.07	115.16
EXOC2	426.57	96.01	255.0	163.28	260.38	346.29	368.65	275.28	363.56	151.22	212.78	249.73	138.1	88.26	120.1	206.94	116.78	420.68	373.81	497.0	289.02	195.72	329.84	293.07	161.02	423.61	211.31	293.07	229.72	211.31	229.72	329.84	251.48	205.5
EXOSC2	423.61	149.12	202.66	156.59	199.85	283.05	273.37	255.0	260.38	277.2	221.86	244.57	232.94	275.28	271.48	215.77	199.85	476.71	414.87	688.78	463.65	660.68	1561.89	463.65	226.54	251.48	193.01	295.11	318.57	260.38	234.57	271.48	249.73	162.14
FAM105B	269.6	183.82	124.37	118.43	158.79	215.77	260.38	223.41	201.25	113.56	198.47	150.17	147.06	170.25	195.72	154.42	124.37	215.77	316.37	934.76	226.54	153.34	412.0	166.73	99.43	166.73	119.26	139.07	79.45	58.71	197.09	175.07	85.82	110.43
FBXW8	202.66	73.03	63.0	55.1	111.99	173.85	237.86	154.42	176.29	94.67	120.1	155.5	52.82	50.63	49.91	54.72	41.22	173.85	181.28	384.34	212.78	123.5	175.07	162.14	74.06	220.32	113.56	262.2	176.29	129.69	191.67	392.44	153.34	91.41
FNDC3A	896.64	110.43	182.55	158.79	368.65	961.07	1175.27	660.68	713.11	199.85	283.05	316.37	146.03	264.03	651.58	525.39	457.25	854.13	796.86	2061.24	1015.93	473.41	575.03	607.87	409.15	414.87	170.25	808.0	525.39	368.65	450.94	587.13	563.18	231.32
FSD1L	67.12	72.52	25.17	21.94	31.9	48.52	74.58	59.97	49.56	15.45	35.76	25.72	4.06	1.16	5.92	8.06	7.46	141.02	96.68	409.15	84.04	25.72	74.58	77.25	20.11	17.64	10.79	24.99	22.26	53.57	33.78	23.08	30.12	16.51
FZD3	175.07	49.91	38.4	42.71	56.68	69.52	131.51	87.65	79.45	19.82	64.34	24.81	6.62	7.4	10.24	8.25	9.41	145.02	82.29	314.17	111.21	107.38	218.79	87.65	45.85	15.22	59.55	68.07	48.18	46.84	38.95	63.45	47.84	19.11
GMNN	1733.13	71.5	253.23	98.73	303.44	212.78	400.71	490.14	473.41	185.11	154.42	299.25	191.67	82.87	164.42	93.35	241.19	587.13	414.87	2434.5	503.95	612.11	2271.4	414.87	738.29	275.28	237.86	248.0	224.97	358.54	251.48	232.94	256.78	201.25
GOLGA7	1427.22	780.44	1008.9	279.14	1151.06	1127.35	1023.0	1322.37	1388.16	571.05	1199.98	764.36	529.06	656.11	540.19	412.0	463.65	961.07	1127.35	2287.2	1143.1	669.92	915.51	1037.29	1250.98	607.87	679.29	579.04	463.65	848.22	447.82	616.37	529.06	579.04
GOLPH3	1896.65	1199.98	1331.57	698.41	1369.04	2224.63	1781.89	1617.0	1769.57	802.41	974.5	872.1	902.89	1127.35	1199.98	974.5	1119.56	2915.45	1639.59	5147.73	1794.29	1457.23	2976.74	2835.7	1378.57	836.53	928.3	1044.52	836.53	1175.27	1191.69	1175.27	915.51	928.3
GOLT1B	769.69	490.14	264.03	173.85	426.57	791.35	848.22	361.04	420.68	212.78	299.25	551.56	129.69	132.44	166.73	170.25	189.02	555.41	693.58	1540.37	684.02	647.07	796.86	607.87	366.09	351.14	307.69	384.34	281.09	454.09	543.96	435.55	312.0	366.09
GPALPP1	518.15	100.83	287.01	99.43	327.56	373.81	397.93	303.44	301.33	175.07	163.28	177.53	78.89	170.25	209.84	164.42	142.01	447.82	470.14	1151.06	429.54	249.73	320.8	293.07	269.6	312.0	117.6	406.31	293.07	271.48	295.11	320.8	267.73	255.0
GTF2H3	796.86	166.73	183.82	113.56	346.29	273.37	363.56	271.48	283.05	103.69	163.28	258.57	114.36	97.36	218.79	119.26	136.19	376.41	368.65	603.67	384.34	271.48	738.29	273.37	152.28	242.88	211.31	217.27	158.79	229.72	248.0	244.57	149.12	209.84
HBS1L	1250.98	305.55	392.44	170.25	802.41	1313.23	1388.16	769.69	878.17	361.04	412.0	384.34	356.05	279.14	336.79	406.31	414.87	647.07	842.36	1175.27	836.53	525.39	947.83	607.87	607.87	1295.13	753.83	759.08	511.0	540.19	738.29	738.29	511.0	607.87
HIATL1	785.88	607.87	490.14	248.0	591.22	693.58	651.58	511.0	591.22	291.04	412.0	511.0	99.43	118.43	145.02	102.25	75.64	967.76	723.08	1030.12	703.28	612.11	802.41	981.29	507.46	346.29	265.87	336.79	423.61	620.67	299.25	454.09	460.44	329.84
HNRNPA1	32315.87	8191.0	10733.74	8963.45	8022.41	21320.18	22850.48	16727.26	19082.0	15392.14	16843.62	15075.35	6294.04	7081.29	6381.92	6792.79	5403.7	17927.91	24490.61	27363.16	24832.5	31650.8	24490.61	28525.2	9606.86	12244.81	12943.04	17681.08	14867.79	25005.23	10225.32	10733.74	18560.17	12764.83
HNRNPU	5183.54	1844.76	2148.82	1151.06	2573.36	2104.58	2119.22	3124.78	3794.3	2627.46	2468.49	2520.38	1059.11	1051.79	995.0	1191.69	974.5	4181.07	4450.27	5441.3	4123.49	3235.01	3794.3	3847.29	2163.77	2758.13	2758.13	3081.75	2591.27	3564.78	2855.44	2485.67	2915.45	2032.85
IPO5	1896.65	218.79	563.18	379.04	878.17	1844.76	1963.57	1295.13	1407.55	476.71	525.39	447.82	351.14	218.79	406.31	363.56	368.65	2468.49	1651.0	9025.81	1340.84	1066.48	2255.7	1304.15	1250.98	915.51	603.67	1111.82	748.61	1015.93	830.75	1037.29	830.75	607.87
IPO7	1427.22	493.56	420.68	599.49	813.63	1605.83	1407.55	981.29	1175.27	555.41	620.67	575.03	180.02	267.73	279.14	224.97	264.03	1127.35	1350.18	2018.8	1030.12	616.37	1519.15	1023.0	624.99	1023.0	1001.93	1159.07	866.07	769.69	1208.34	633.73	872.1	607.87
IQCB1	409.15	100.13	205.5	139.07	197.09	150.17	260.38	193.01	137.14	65.72	189.02	260.38	46.5	51.35	96.01	102.97	59.13	379.04	429.54	551.56	532.74	258.57	406.31	287.01	100.13	312.0	170.25	206.94	289.02	299.25	237.86	356.05	223.41	318.57
KAT6A	656.11	120.1	104.42	94.01	234.57	279.14	285.03	251.48	285.03	78.89	125.24	84.04	61.25	45.85	60.39	52.08	62.12	389.72	493.56	1059.11	387.02	197.09	656.11	283.05	226.54	194.36	166.73	218.79	182.55	191.67	111.99	265.87	197.09	100.13
KDM2B	312.0	325.29	253.23	187.71	301.33	314.17	281.09	212.78	163.28	52.45	166.73	187.71	182.55	185.11	180.02	126.12	265.87	403.5	633.73	836.53	466.88	327.56	406.31	253.23	152.28	327.56	336.79	351.14	193.01	167.9	334.46	283.05	265.87	226.54
KHDRBS1	2739.08	791.35	1030.12	486.75	1143.1	1331.57	1350.18	1721.16	1857.6	1277.29	1242.34	1498.22	490.14	441.64	460.44	457.25	629.35	1617.0	1950.0	2758.13	1769.57	1806.78	2061.24	2018.8	1143.1	1151.06	1104.13	1417.35	1331.57	2119.22	1081.39	1340.84	1498.22	1088.92
KIAA0020	802.41	395.18	221.86	356.05	260.38	532.74	595.34	500.46	518.15	450.94	412.0	518.15	131.51	371.22	309.83	379.04	242.88	688.78	866.07	954.43	775.05	4239.45	813.63	890.44	228.13	363.56	476.71	264.03	366.09	420.68	329.84	309.83	341.51	587.13
KIAA0947	441.64	175.07	150.17	99.43	258.57	356.05	384.34	251.48	273.37	85.22	90.77	115.97	29.7	76.71	74.06	115.97	75.11	361.04	339.14	1023.0	332.14	147.06	470.14	249.73	125.24	249.73	159.9	269.6	148.09	150.17	279.14	277.2	120.1	163.28
KIAA1715	490.14	232.94	105.15	111.99	221.86	444.72	447.82	186.4	193.01	89.51	127.0	140.04	80.01	77.25	90.77	74.58	95.34	242.88	187.71	460.44	228.13	181.28	279.14	237.86	127.0	180.02	130.6	122.64	110.43	110.43	109.66	125.24	105.89	74.58
KIF2A	563.18	94.67	72.52	43.63	281.09	241.19	329.84	208.38	236.21	48.18	120.1	139.07	18.16	15.56	25.17	28.65	21.78	327.56	555.41	532.74	444.72	232.94	363.56	287.01	140.04	209.84	111.21	180.02	89.51	224.97	194.36	195.72	101.54	102.25
KPNB1	3614.55	836.53	2047.0	642.59	2351.53	2682.69	2875.3	2224.63	2367.9	2148.82	1674.06	1639.59	423.61	366.09	743.43	921.88	830.75	2303.12	2956.17	4328.55	2720.15	3639.7	4152.18	2178.83	1008.9	2777.33	2451.44	2240.11	1721.16	1806.78	2018.8	2555.58	1991.0	1340.84
LATS1	423.61	55.1	120.94	51.71	256.78	297.17	248.0	217.27	212.78	73.54	106.63	98.73	43.02	66.65	76.71	96.68	44.25	237.86	336.79	384.34	363.56	226.54	332.14	218.79	145.02	205.5	119.26	146.03	127.0	148.09	132.44	170.25	126.12	105.15
LRP11	884.29	532.74	351.14	595.34	503.95	1936.53	1781.89	896.64	1096.5	426.57	376.41	256.78	124.37	218.79	248.0	234.57	172.65	629.35	432.53	2004.85	454.09	559.28	616.37	429.54	463.65	343.89	426.57	503.95	612.11	941.27	267.73	587.13	555.41	228.13
LRP6	447.82	90.77	92.7	33.78	208.38	417.77	412.0	256.78	309.83	61.25	89.51	96.01	101.54	109.66	361.04	150.17	269.6	267.73	246.28	660.68	336.79	180.02	389.72	190.34	114.36	181.28	100.83	195.72	138.1	150.17	137.14	265.87	138.1	69.52
LRRC58	460.44	151.22	237.86	96.68	490.14	332.14	346.29	361.04	356.05	212.78	159.9	220.32	28.86	92.05	102.97	74.58	109.66	473.41	395.18	595.34	376.41	232.94	358.54	327.56	190.34	190.34	164.42	267.73	135.24	156.59	191.67	334.46	172.65	131.51
MED1	1104.13	133.36	218.79	102.97	406.31	540.19	555.41	303.44	376.41	190.34	165.57	232.94	81.14	114.36	208.38	162.14	96.68	412.0	412.0	559.28	417.77	293.07	503.95	279.14	163.28	384.34	256.78	271.48	214.27	297.17	260.38	295.11	204.07	146.03
MED13L	1044.52	206.94	181.28	133.36	348.71	575.03	559.28	435.55	363.56	126.12	145.02	193.01	49.91	66.65	152.28	83.45	76.17	555.41	718.08	890.44	684.02	353.59	438.59	403.5	264.03	381.68	224.97	441.64	244.57	256.78	291.04	441.64	241.19	228.13
MGA	287.01	67.59	52.08	60.82	97.36	123.5	175.07	141.02	161.02	40.93	53.95	49.21	16.63	48.87	34.51	46.5	29.06	214.27	258.57	412.0	256.78	139.07	231.32	130.6	111.21	107.38	81.14	88.88	82.87	85.82	78.89	97.36	92.7	57.49
MOB4	1143.1	409.15	260.38	190.34	435.55	447.82	497.0	463.65	563.18	197.09	255.0	285.03	143.01	180.02	279.14	208.38	181.28	547.75	497.0	961.07	708.18	780.44	1037.29	633.73	470.14	281.09	348.71	325.29	376.41	532.74	339.14	260.38	363.56	318.57
MSH6	1001.93	114.36	151.22	76.17	244.57	244.57	267.73	303.44	353.59	90.14	185.11	133.36	161.02	79.45	117.6	126.12	164.42	521.76	551.56	1498.22	525.39	262.2	595.34	320.8	262.2	249.73	339.14	204.07	234.57	371.22	171.45	237.86	251.48	156.59
MT-CO1	456418.21	3551506.25	3007221.12	4282434.24	3290783.22	2442622.37	2156109.97	2786455.11	2493947.08	5420519.65	3526974.2	4342214.81	1877002.62	2805836.45	2247670.86	1838374.44	2216726.5	1800541.22	3049200.37	834179.46	1825675.85	3651352.71	1472666.19	2691538.19	3995652.37	3832885.91	7202167.89	4885245.74	3676749.88	6956835.58	5308966.95	3676749.88	3526974.2	9307742.35
MTHFD1L	444.72	262.2	295.11	309.83	629.35	785.88	854.13	148.09	191.67	157.68	387.02	400.71	111.21	45.21	35.76	50.98	12.64	336.79	412.0	1331.57	447.82	718.08	599.49	392.44	70.01	555.41	633.73	366.09	441.64	559.28	264.03	373.81	400.71	279.14
MTMR6	381.68	80.57	142.01	108.14	256.78	397.93	406.31	327.56	423.61	94.67	180.02	166.73	41.81	90.14	104.42	90.14	78.89	320.8	403.5	836.53	314.17	118.43	169.07	256.78	228.13	271.48	115.97	381.68	159.9	172.65	281.09	251.48	170.25	189.02
NEDD1	486.75	80.01	112.77	55.1	217.27	218.79	206.94	195.72	229.72	84.04	153.34	136.19	17.9	17.64	50.63	18.97	21.63	228.13	258.57	567.1	264.03	178.77	371.22	177.53	90.77	159.9	99.43	170.25	105.89	157.68	152.28	169.07	105.89	98.04
NUDCD1	470.14	71.0	116.78	83.45	171.45	299.25	277.2	176.29	231.32	102.25	165.57	139.07	35.76	75.64	52.82	50.98	57.08	432.53	381.68	500.46	283.05	312.0	656.11	346.29	120.94	167.9	161.02	211.31	132.44	198.47	142.01	189.02	139.07	112.77
NUP153	629.35	78.34	157.68	109.66	265.87	457.25	435.55	305.55	376.41	125.24	148.09	187.71	144.01	110.43	163.28	153.34	159.9	575.03	536.45	1030.12	607.87	258.57	642.59	480.04	208.38	332.14	201.25	232.94	158.79	214.27	221.86	271.48	182.55	197.09
NUP155	361.04	124.37	94.01	84.04	153.34	232.94	239.52	119.26	144.01	74.58	64.8	84.63	81.14	100.83	42.41	55.49	51.35	403.5	358.54	1561.89	291.04	199.85	748.61	193.01	113.56	186.4	165.57	150.17	80.57	143.01	177.53	205.5	117.6	130.6
NUPL1	543.96	109.66	169.07	128.79	329.84	275.28	314.17	432.53	341.51	154.42	214.27	262.2	87.65	96.68	152.28	126.12	108.14	473.41	591.22	2451.44	500.46	400.71	607.87	309.83	223.41	371.22	131.51	412.0	281.09	246.28	316.37	327.56	212.78	239.52
NUS1	769.69	177.53	532.74	126.12	780.44	651.58	599.49	633.73	665.29	293.07	371.22	348.71	191.67	269.6	426.57	289.02	287.01	514.56	521.76	1135.2	791.35	518.15	698.41	483.38	409.15	490.14	353.59	603.67	470.14	314.17	480.04	642.59	490.14	336.79
OTUD6B	214.27	94.01	68.55	44.57	102.97	164.42	199.85	108.14	115.16	39.5	59.13	47.17	17.51	52.08	49.56	45.21	24.99	194.36	232.94	414.87	146.03	142.01	232.94	171.45	38.12	141.02	144.01	165.57	94.67	80.57	143.01	121.79	75.11	111.99
PAIP1	2645.74	967.76	1259.69	693.58	1745.2	2004.85	2224.63	1561.89	1844.76	1369.04	1331.57	1295.13	503.95	642.59	698.41	733.19	688.78	1870.53	1001.93	2855.44	1286.18	1051.79	2720.15	1628.26	1159.07	1662.49	1417.35	2018.8	1073.91	2193.99	1963.57	1950.0	1216.75	1183.45
PARP11	237.86	38.12	43.32	34.02	87.65	130.6	131.51	120.94	140.04	19.39	69.03	86.43	32.13	20.56	12.09	52.82	18.43	98.04	162.14	309.83	135.24	43.63	18.03	78.89	50.27	108.14	71.0	132.44	92.7	82.87	127.0	124.37	94.01	62.12
PCMT1	1697.45	836.53	1059.11	679.29	1119.56	1529.73	1529.73	1143.1	1313.23	555.41	854.13	902.89	981.29	629.35	579.04	733.19	571.05	1081.39	1119.56	1963.57	1015.93	1225.22	1340.84	981.29	1073.91	1909.85	1259.69	1191.69	1388.16	934.76	1359.57	1216.75	1397.83	1295.13
PHF16	199.85	54.33	76.17	98.04	111.21	197.09	195.72	102.97	148.09	48.18	32.13	69.52	54.33	51.35	71.0	50.98	85.22	251.48	127.89	457.25	148.09	82.87	162.14	128.79	100.83	122.64	58.3	90.77	91.41	85.22	82.29	96.01	82.29	189.02
PHF20	612.11	92.05	115.16	102.25	186.4	231.32	273.37	214.27	258.57	111.99	165.57	158.79	55.89	68.55	80.57	77.25	65.72	361.04	500.46	409.15	314.17	483.38	480.04	256.78	172.65	212.78	158.79	208.38	167.9	187.71	215.77	189.02	156.59	172.65
PHF6	395.18	224.97	232.94	143.01	490.14	287.01	305.55	206.94	241.19	68.55	127.0	101.54	36.27	59.55	82.29	58.3	54.72	403.5	392.44	587.13	275.28	144.01	389.72	387.02	136.19	234.57	170.25	293.07	186.4	170.25	260.38	234.57	211.31	194.36
POLA1	204.07	34.75	43.32	55.89	76.17	84.63	131.51	78.89	93.35	43.02	44.57	53.57	21.78	11.13	13.93	23.42	23.25	305.55	221.86	674.59	134.3	104.42	232.94	120.94	71.0	92.05	70.01	72.52	53.57	85.82	92.05	65.72	62.56	60.39
