	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.V1D1.1026.SM.4JBHE	GTEX.ZZPT.1426.SM.5N9C5	GTEX.UJHI.0826.SM.4IHLM	GTEX.ZAB4.1126.SM.5HL86	GTEX.P4QS.0626.SM.3NMD1	GTEX.13YAN.2026.SM.5Q5EY	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.VQ.A8PQ.01A.11R.A414.31
LRCH4	146.03	928.3	343.89	297.17	1322.37	1745.2	728.11	1721.16	1295.13	1709.26	1143.1	1628.26	1617.0	1745.2	1769.57	1628.26	2178.83	1617.0	1870.53	2004.85	2591.27	500.46	0.0	1.22	217.27	226.54	473.41	563.18	633.73	503.95	480.04	412.0	2351.53
LRRC48	7.34	65.26	19.53	10.79	55.89	67.12	20.86	51.71	41.22	66.65	80.01	47.17	38.67	43.02	40.36	80.57	161.02	66.65	67.12	68.55	118.43	19.82	0.0	0.0	14.89	5.54	40.64	11.04	17.51	19.82	16.88	19.39	143.01
MAN2A2	80.57	106.63	76.17	64.34	616.37	559.28	220.32	688.78	490.14	361.04	656.11	312.0	493.56	450.94	529.06	708.18	1277.29	567.1	941.27	785.88	1819.35	71.0	0.0	1.13	26.67	32.82	92.7	234.57	175.07	115.97	127.89	63.0	1745.2
MAPK8IP3	15.68	320.8	148.09	108.14	1111.82	866.07	503.95	1127.35	1143.1	995.0	769.69	915.51	836.53	733.19	915.51	1135.2	3280.18	1023.0	1806.78	1216.75	2271.4	119.26	0.0	1.69	40.36	23.93	157.68	159.9	176.29	151.22	81.71	72.52	2209.26
MZF1	21.16	239.52	135.24	62.12	647.07	463.65	384.34	660.68	432.53	432.53	429.54	463.65	435.55	363.56	536.45	941.27	1081.39	718.08	909.17	785.88	1066.48	72.01	0.0	1.01	20.41	34.02	123.5	111.99	177.53	100.83	105.15	99.43	1250.98
NR2C2	74.58	98.04	63.0	50.27	152.28	195.72	145.02	234.57	178.77	186.4	189.02	167.9	165.57	182.55	199.85	212.78	194.36	248.0	356.05	226.54	373.81	82.29	0.0	0.48	23.93	75.11	131.51	96.68	130.6	87.65	133.36	47.17	417.77
PTK2B	142.01	1023.0	143.01	371.22	500.46	547.75	559.28	457.25	679.29	529.06	327.56	376.41	559.28	473.41	444.72	934.76	1923.14	1135.2	1051.79	1183.45	318.57	170.25	0.0	0.82	373.81	158.79	126.12	361.04	532.74	236.21	309.83	234.57	2119.22
RP11-231C14.4	4.1	118.43	46.5	47.17	698.41	529.06	285.03	1286.18	406.31	693.58	460.44	432.53	343.89	341.51	392.44	764.36	2875.3	629.35	866.07	764.36	1397.83	25.54	0.0	1.2	6.01	5.77	92.7	127.89	84.63	57.49	65.26	102.25	2384.37
SECISBP2	175.07	279.14	218.79	373.81	547.75	466.88	381.68	669.92	403.5	567.1	551.56	444.72	460.44	460.44	429.54	791.35	1081.39	759.08	808.0	884.29	1331.57	236.21	0.0	0.88	112.77	171.45	242.88	191.67	267.73	242.88	176.29	185.11	941.27
SLC26A1	4.03	15.91	7.22	2.39	29.27	37.32	8.71	27.64	27.44	17.51	31.9	20.56	46.18	20.26	24.63	42.41	348.71	116.78	113.56	131.51	58.71	2.32	0.0	0.57	3.2	0.49	10.63	18.43	6.31	1.66	10.88	0.78	199.85
SLC8B1	493.56	220.32	262.2	253.23	500.46	525.39	651.58	521.76	612.11	483.38	409.15	371.22	647.07	563.18	387.02	759.08	1250.98	785.88	878.17	693.58	967.76	229.72	0.0	0.88	217.27	229.72	265.87	273.37	387.02	307.69	323.03	303.44	769.69
SUPT6H	389.72	624.99	450.94	373.81	703.28	981.29	819.3	1051.79	836.53	921.88	802.41	808.0	954.43	1066.48	808.0	872.1	941.27	902.89	961.07	961.07	1159.07	248.0	0.0	0.84	164.42	309.83	674.59	536.45	684.02	860.08	660.68	579.04	1359.57
SZT2	57.49	253.23	197.09	134.3	291.04	325.29	248.0	381.68	371.22	316.37	297.17	373.81	358.54	269.6	381.68	447.82	547.75	429.54	551.56	447.82	583.07	94.67	0.0	0.84	44.89	63.0	220.32	111.21	201.25	159.9	180.02	111.21	587.13
TBC1D3H	1.6	109.66	3.66	6.52	126.12	183.82	16.51	297.17	50.98	135.24	100.83	131.51	62.12	118.43	69.03	234.57	197.09	435.55	218.79	75.11	265.87	4.13	0.0	0.99	0.0	0.46	9.7	7.63	18.16	8.06	19.53	1.35	161.02
TBC1D8	48.52	241.19	194.36	65.72	490.14	348.71	232.94	447.82	206.94	387.02	348.71	283.05	323.03	329.84	271.48	921.88	647.07	896.64	1208.34	665.29	866.07	124.37	0.0	0.51	88.88	183.82	444.72	176.29	320.8	403.5	265.87	234.57	830.75
TSPYL6	0.0	0.0	0.0	0.0	0.49	0.22	0.0	0.95	0.01	0.2	0.18	0.04	0.01	0.33	0.12	0.6	0.49	3.38	1.68	1.14	2.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.11
TSSK4	6.11	31.0	1.51	1.93	36.53	46.5	17.0	72.52	22.43	54.72	31.45	30.12	45.21	29.48	36.53	61.68	73.03	100.83	115.16	73.03	86.43	3.72	0.0	0.41	0.0	4.24	25.17	4.21	7.94	12.93	8.99	4.82	150.17
VPS39	185.11	529.06	303.44	253.23	607.87	738.29	518.15	890.44	642.59	759.08	738.29	764.36	620.67	599.49	743.43	941.27	1159.07	842.36	1051.79	1044.52	1359.57	281.09	0.0	0.6	93.35	204.07	400.71	229.72	406.31	500.46	384.34	356.05	1350.18
WDR37	33.3	145.02	68.55	31.9	129.69	170.25	120.1	134.3	138.1	157.68	183.82	155.5	143.01	99.43	189.02	229.72	353.59	307.69	387.02	334.46	441.64	65.72	0.0	0.65	64.8	67.59	104.42	67.12	126.12	146.03	100.83	124.37	325.29
XPNPEP1	454.09	921.88	928.3	483.38	1059.11	1143.1	1286.18	1096.5	1183.45	1059.11	1119.56	981.29	1175.27	1135.2	909.17	967.76	1467.37	928.3	1286.18	1487.87	1369.04	532.74	0.0	0.96	555.41	802.41	759.08	1008.9	902.89	934.76	698.41	438.59	1250.98
ZZEF1	52.08	143.01	73.03	83.45	320.8	500.46	287.01	571.05	414.87	423.61	376.41	384.34	432.53	256.78	525.39	547.75	426.57	493.56	583.07	466.88	660.68	82.29	0.0	0.75	24.63	82.87	232.94	147.06	187.71	220.32	199.85	113.56	728.11
