	TCGA.E5.A4TZ.01A.11R.A31N.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.GV.A3QH.01A.11R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.LT.A5Z6.01A.11R.A28M.07	GTEX.146FQ.1026.SM.5LU8I	GTEX.133LE.0626.SM.5IFFJ	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	TCGA.60.2716.01A.01R.0851.07	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.VUSG.0426.SM.3GIKD	GTEX.117YX.1226.SM.5H11S
CENPQ	228.13	74.06	155.5	195.72	144.01	181.28	215.77	138.1	171.45	139.07	228.13	58.3	67.59	48.18	82.29	74.06	31.0	32.36	36.27	51.71	72.01	70.51	92.05	96.68	68.07	44.57	43.63	123.5	71.5	63.0	71.0	57.89	59.97	61.68	83.45	65.72	96.01	63.89	48.52	63.45	62.12	67.59	82.87	100.13	57.08	55.49	68.55	120.1	77.25	30.34	6.94	52.82	68.55	57.49	41.22	43.94	48.87	51.71	42.71	45.85	48.18	56.28	45.21	58.71	14.14	32.82	31.67	116.78	118.43	91.41	105.15	86.43	92.7	82.87	98.04	76.71	100.13	81.71	92.05	95.34	61.25	67.12	63.89	84.63	74.58	98.73	66.65	120.94	89.51
CEP192	511.0	314.17	444.72	379.04	547.75	332.14	339.14	265.87	791.35	525.39	426.57	166.73	53.57	112.77	88.88	86.43	78.34	77.25	164.42	79.45	105.15	138.1	147.06	195.72	152.28	79.45	100.13	186.4	169.07	116.78	126.12	100.13	140.04	115.16	111.21	201.25	89.51	171.45	121.79	137.14	127.89	147.06	138.1	100.83	136.19	100.13	137.14	130.6	156.59	76.71	48.52	121.79	170.25	92.05	87.03	144.01	125.24	78.89	96.68	131.51	118.43	125.24	115.16	108.14	49.21	138.1	35.25	295.11	381.68	265.87	426.57	366.09	392.44	353.59	285.03	309.83	341.51	267.73	277.2	289.02	363.56	361.04	320.8	323.03	255.0	316.37	239.52	412.0	327.56
CEP76	181.28	96.01	212.78	166.73	194.36	172.65	170.25	94.67	366.09	156.59	177.53	99.43	65.26	84.63	82.29	47.17	67.59	56.28	67.12	68.55	74.58	84.04	59.13	77.25	59.97	79.45	76.17	90.14	69.52	75.64	104.42	60.82	61.25	79.45	57.89	83.45	59.13	85.22	62.56	66.65	67.12	64.8	76.17	93.35	66.18	82.29	59.55	73.54	75.64	37.05	34.02	65.72	72.52	58.71	47.84	78.89	74.06	55.49	45.21	68.55	47.5	75.64	54.72	62.56	44.57	33.78	23.25	125.24	98.73	139.07	114.36	93.35	86.43	110.43	105.15	81.14	68.07	84.04	90.77	136.19	81.14	81.14	70.51	82.87	62.56	124.37	82.29	75.11	89.51
CEP78	241.19	161.02	152.28	287.01	435.55	246.28	341.51	148.09	358.54	332.14	409.15	126.12	110.43	108.9	121.79	124.37	71.0	139.07	104.42	108.14	281.09	101.54	60.39	79.45	46.5	103.69	140.04	208.38	127.89	145.02	132.44	91.41	130.6	134.3	137.14	157.68	118.43	171.45	138.1	146.03	108.14	167.9	156.59	121.79	128.79	138.1	119.26	158.79	150.17	79.45	18.43	121.79	138.1	122.64	107.38	126.12	129.69	108.9	120.1	107.38	156.59	104.42	109.66	124.37	29.91	102.25	49.91	211.31	158.79	143.01	128.79	221.86	151.22	134.3	269.6	113.56	183.82	131.51	185.11	119.26	133.36	145.02	159.9	139.07	170.25	175.07	124.37	194.36	134.3
DCLRE1C	147.06	190.34	157.68	228.13	163.28	205.5	175.07	241.19	620.67	211.31	267.73	117.6	65.72	80.01	84.63	53.95	66.65	73.03	55.1	34.75	93.35	90.77	98.73	144.01	80.57	56.28	74.06	95.34	82.29	81.14	105.89	51.71	77.79	88.88	64.34	114.36	84.63	89.51	135.24	73.54	85.82	87.03	92.7	82.87	61.68	90.77	72.52	82.87	85.22	26.67	11.13	73.03	90.77	52.08	56.68	76.17	74.58	63.45	42.71	59.97	71.5	80.57	60.39	51.35	3.26	25.17	61.25	180.02	120.1	105.15	169.07	141.02	153.34	111.99	138.1	141.02	120.1	126.12	171.45	161.02	150.17	122.64	124.37	127.89	116.78	151.22	84.63	144.01	138.1
DKC1	1467.37	915.51	1498.22	1594.73	1191.69	1304.15	2090.03	579.04	1216.75	1340.84	1551.09	511.0	366.09	540.19	429.54	457.25	420.68	454.09	476.71	429.54	620.67	525.39	543.96	457.25	536.45	381.68	438.59	813.63	507.46	559.28	603.67	438.59	476.71	423.61	463.65	525.39	358.54	500.46	503.95	507.46	454.09	555.41	507.46	429.54	521.76	486.75	521.76	575.03	543.96	435.55	295.11	414.87	525.39	412.0	447.82	454.09	454.09	348.71	417.77	438.59	444.72	480.04	460.44	460.44	236.21	327.56	172.65	1806.78	1135.2	1066.48	967.76	921.88	1135.2	915.51	934.76	802.41	860.08	928.3	988.12	1111.82	802.41	947.83	842.36	896.64	890.44	1037.29	878.17	1044.52	842.36
DNA2	135.24	100.13	117.6	76.71	144.01	114.36	96.68	31.22	89.51	93.35	173.85	16.03	13.93	12.18	15.22	9.7	19.39	23.42	49.56	10.24	28.45	98.04	8.38	28.24	11.21	9.56	7.82	52.08	42.11	7.63	14.89	14.89	11.47	10.24	7.22	14.45	16.27	23.59	9.85	8.99	13.42	17.51	16.63	27.25	7.63	8.92	8.19	9.2	16.27	10.55	2.71	13.83	19.82	10.47	5.73	9.13	12.64	10.63	11.82	14.45	33.3	10.0	10.71	8.65	4.31	23.42	13.72	116.78	23.76	14.45	17.13	34.51	26.1	25.91	29.27	22.75	25.91	14.24	16.15	13.12	18.43	16.75	16.51	24.81	14.78	31.0	23.59	36.01	15.0
DNAJC9	1008.9	384.34	647.07	624.99	703.28	688.78	429.54	316.37	796.86	595.34	785.88	164.42	113.56	172.65	162.14	115.97	115.97	146.03	193.01	121.79	173.85	170.25	127.89	147.06	177.53	107.38	135.24	244.57	162.14	124.37	162.14	127.89	121.79	144.01	142.01	139.07	120.94	136.19	172.65	141.02	140.04	145.02	170.25	127.89	117.6	182.55	156.59	167.9	151.22	107.38	81.71	145.02	178.77	127.0	132.44	112.77	158.79	118.43	110.43	114.36	156.59	120.1	121.79	120.1	75.11	191.67	51.71	486.75	320.8	214.27	244.57	229.72	256.78	267.73	363.56	232.94	291.04	217.27	251.48	197.09	206.94	239.52	224.97	218.79	220.32	253.23	221.86	232.94	208.38
EED	457.25	1191.69	555.41	463.65	432.53	555.41	470.14	587.13	785.88	575.03	503.95	217.27	176.29	164.42	164.42	169.07	139.07	155.5	186.4	167.9	262.2	267.73	194.36	209.84	262.2	169.07	199.85	287.01	260.38	199.85	224.97	163.28	214.27	191.67	181.28	217.27	205.5	199.85	171.45	201.25	190.34	262.2	232.94	209.84	215.77	171.45	176.29	224.97	253.23	87.03	120.1	197.09	173.85	137.14	140.04	195.72	191.67	144.01	162.14	170.25	215.77	176.29	173.85	177.53	95.34	177.53	90.77	387.02	376.41	497.0	358.54	358.54	447.82	376.41	575.03	264.03	457.25	289.02	341.51	320.8	325.29	262.2	299.25	356.05	420.68	406.31	320.8	426.57	346.29
EWSR1	5219.6	4481.23	4937.99	5006.93	5255.91	6983.79	7966.99	3257.52	5831.91	4512.4	4481.23	3303.0	2075.59	3257.52	2485.67	2520.38	2520.38	2609.3	3124.78	2240.11	3639.7	3467.27	2451.44	3589.58	2777.33	1963.57	2090.03	3280.18	3018.3	2537.92	2451.44	2758.13	2591.27	2573.36	2520.38	2193.99	2163.77	2335.28	3235.01	2895.31	2701.35	2645.74	3168.41	2224.63	2739.08	2627.46	3103.19	2193.99	3039.3	1594.73	2573.36	2555.58	3124.78	2855.44	3060.45	2555.58	3060.45	2645.74	2520.38	2997.45	2796.65	2609.3	2935.74	2645.74	2148.82	1639.59	1628.26	4388.98	4038.61	3742.05	4095.0	4181.07	4769.75	4298.64	5112.16	4066.71	3419.52	5147.73	3982.99	4512.4	4802.93	4575.41	4328.55	4639.29	5112.16	4575.41	4802.93	4239.45	3847.29
EXOC1	540.19	703.28	902.89	718.08	559.28	836.53	728.11	651.58	878.17	854.13	896.64	305.55	314.17	297.17	343.89	332.14	348.71	336.79	429.54	283.05	483.38	642.59	460.44	473.41	665.29	297.17	329.84	351.14	368.65	447.82	409.15	371.22	444.72	395.18	379.04	473.41	309.83	486.75	392.44	435.55	387.02	441.64	441.64	384.34	417.77	320.8	384.34	432.53	463.65	273.37	74.06	334.46	376.41	363.56	289.02	346.29	351.14	334.46	361.04	384.34	371.22	348.71	301.33	339.14	44.57	149.12	116.78	718.08	642.59	679.29	483.38	536.45	551.56	429.54	525.39	454.09	525.39	429.54	441.64	529.06	503.95	429.54	389.72	426.57	536.45	447.82	457.25	447.82	480.04
FAM122B	802.41	1081.39	1378.57	836.53	1008.9	909.17	934.76	603.67	775.05	612.11	728.11	429.54	255.0	356.05	273.37	332.14	283.05	202.66	351.14	220.32	466.88	420.68	371.22	289.02	283.05	253.23	361.04	532.74	457.25	392.44	395.18	273.37	343.89	334.46	281.09	400.71	281.09	376.41	376.41	358.54	363.56	381.68	363.56	265.87	325.29	336.79	351.14	339.14	371.22	212.78	189.02	295.11	343.89	283.05	289.02	267.73	291.04	301.33	291.04	314.17	309.83	293.07	269.6	309.83	110.43	107.38	115.16	397.93	559.28	647.07	612.11	669.92	703.28	532.74	669.92	693.58	559.28	532.74	599.49	571.05	532.74	454.09	470.14	571.05	595.34	603.67	583.07	638.15	551.56
FANCL	1233.75	915.51	595.34	819.3	1322.37	728.11	624.99	651.58	1159.07	684.02	447.82	195.72	205.5	176.29	220.32	181.28	116.78	122.64	202.66	117.6	251.48	183.82	332.14	358.54	316.37	155.5	171.45	329.84	215.77	191.67	209.84	157.68	176.29	187.71	218.79	231.32	143.01	217.27	185.11	208.38	175.07	212.78	241.19	189.02	198.47	157.68	171.45	217.27	205.5	100.13	47.17	189.02	191.67	159.9	145.02	158.79	183.82	133.36	151.22	169.07	189.02	141.02	162.14	145.02	104.42	211.31	229.72	493.56	872.1	866.07	571.05	540.19	547.75	392.44	802.41	454.09	612.11	387.02	503.95	493.56	397.93	507.46	384.34	366.09	607.87	490.14	414.87	748.61	547.75
FKBPL	291.04	124.37	289.02	206.94	197.09	232.94	214.27	166.73	866.07	195.72	320.8	112.77	127.0	117.6	131.51	81.71	147.06	131.51	136.19	186.4	129.69	171.45	173.85	177.53	197.09	126.12	140.04	127.89	93.35	130.6	144.01	115.97	138.1	117.6	144.01	129.69	139.07	120.94	111.99	138.1	117.6	118.43	112.77	130.6	132.44	116.78	107.38	148.09	125.24	94.01	162.14	149.12	119.26	102.25	124.37	129.69	154.42	102.25	115.16	105.89	136.19	129.69	126.12	129.69	75.64	127.0	117.6	150.17	190.34	217.27	341.51	209.84	329.84	248.0	262.2	237.86	295.11	253.23	470.14	435.55	351.14	299.25	255.0	201.25	236.21	316.37	454.09	262.2	371.22
GABPB1	351.14	183.82	251.48	221.86	314.17	275.28	363.56	237.86	341.51	279.14	183.82	177.53	156.59	166.73	173.85	139.07	108.14	173.85	159.9	154.42	204.07	140.04	237.86	135.24	202.66	176.29	149.12	212.78	154.42	183.82	223.41	137.14	136.19	140.04	148.09	175.07	209.84	163.28	139.07	152.28	175.07	185.11	176.29	164.42	157.68	147.06	178.77	185.11	171.45	85.82	85.22	127.0	153.34	126.12	117.6	134.3	123.5	121.79	117.6	135.24	140.04	183.82	124.37	124.37	80.01	157.68	100.13	255.0	241.19	204.07	177.53	159.9	171.45	205.5	208.38	214.27	170.25	205.5	164.42	256.78	157.68	212.78	208.38	194.36	151.22	236.21	236.21	232.94	197.09
GALNT12	279.14	423.61	231.32	348.71	1159.07	287.01	575.03	612.11	2555.58	642.59	483.38	156.59	71.0	128.79	126.12	48.52	111.99	76.17	66.18	117.6	205.5	896.64	151.22	251.48	111.21	76.17	119.26	151.22	102.97	134.3	124.37	144.01	85.82	127.0	138.1	83.45	102.25	123.5	108.9	112.77	100.13	90.14	122.64	117.6	108.14	125.24	153.34	118.43	122.64	165.57	503.95	118.43	140.04	133.36	106.63	106.63	102.97	148.09	132.44	100.83	109.66	164.42	108.9	158.79	5.96	297.17	6.01	249.73	107.38	334.46	348.71	629.35	314.17	507.46	463.65	387.02	334.46	389.72	642.59	713.11	555.41	555.41	603.67	351.14	403.5	395.18	239.52	693.58	567.1
GAN	111.21	157.68	35.76	189.02	103.69	80.01	81.71	58.71	214.27	115.16	115.97	11.38	5.02	11.47	3.96	7.11	8.78	9.27	13.42	7.94	23.76	16.15	11.13	15.8	8.85	12.18	14.67	24.81	15.56	13.42	16.88	13.32	17.0	11.13	11.47	15.34	9.27	16.63	13.42	15.56	12.27	18.97	10.71	8.78	14.89	11.3	10.71	12.09	19.82	15.22	7.4	12.83	16.88	9.41	10.31	12.74	18.29	11.82	11.13	13.03	15.0	15.0	15.68	12.0	3.96	5.87	8.06	48.52	22.92	50.27	27.25	43.94	33.78	30.78	31.67	22.1	21.63	28.04	32.59	18.7	22.75	29.91	24.99	32.82	26.28	34.75	31.45	35.76	32.82
