	TCGA.CV.5442.01A.01R.1514.07	GTEX.X4XY.1626.SM.46MVN	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.111CU.0326.SM.5GZXO	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.13X6J.0826.SM.5LU32	GTEX.11I78.0526.SM.5986A	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.OHPK.2626.SM.2HMK9	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
C16orf89	1.99	7.94	0.0	0.24	1127.35	19754.96	35609.13	7485.11	3928.15	30361.44	34396.12	36610.26	5219.6	37901.36	5831.91	7966.99	48307.85	12943.04	37379.55	25708.25	1963.57	38164.99	28132.47	9409.14	8840.04	1457.23	6983.79	8479.89	6935.54	2400.97	27938.14	12160.22	36106.23	43537.38
C1QL4	0.44	1.55	0.0	0.12	0.0	33.78	251.48	13.03	14.56	37.05	7.17	77.79	27.05	43.02	8.85	9.7	69.52	44.25	133.36	31.9	8.51	60.39	25.54	7.46	3.5	8.45	31.45	19.25	30.56	12.93	46.18	15.11	29.06	50.27
C2orf50	0.0	0.0	0.0	0.0	0.0	5.5	2.18	0.0	4.58	6.26	2.14	7.94	1.79	0.0	0.0	1.81	5.73	2.86	4.9	10.55	1.77	3.99	10.55	3.0	4.54	2.23	1.81	0.0	2.27	1.36	2.1	0.89	2.14	3.66
CBX1	599.49	253.23	0.0	0.82	267.73	1378.57	2178.83	1051.79	1030.12	1594.73	1870.53	1427.22	921.88	1605.83	1242.34	1088.92	1519.15	1143.1	1529.73	1794.29	1037.29	1617.0	1757.34	1159.07	1088.92	1225.22	884.29	1073.91	1104.13	988.12	1175.27	1427.22	1769.57	1617.0
CCDC160	0.0	0.0	0.0	0.0	0.0	12.93	10.71	6.16	3.99	13.93	7.75	8.51	5.87	10.96	0.0	1.77	3.53	4.21	4.82	17.9	5.73	7.63	26.67	15.22	9.34	7.75	2.68	6.67	8.85	2.63	4.21	1.2	7.34	5.54
CCDC170	0.35	0.0	0.0	0.0	10.63	84.63	334.46	82.29	63.0	191.67	156.59	214.27	97.36	220.32	19.39	58.3	158.79	166.73	325.29	221.86	44.25	193.01	220.32	36.79	143.01	38.95	69.52	31.45	57.08	46.18	166.73	85.22	201.25	301.33
CCDC85C	490.14	104.42	0.0	0.32	312.0	403.5	366.09	237.86	307.69	346.29	420.68	339.14	208.38	373.81	202.66	242.88	379.04	223.41	353.59	343.89	228.13	409.15	373.81	291.04	265.87	249.73	287.01	237.86	283.05	208.38	244.57	507.46	460.44	511.0
CCDC90B	447.82	796.86	0.0	0.4	387.02	1030.12	1407.55	988.12	928.3	1277.29	1417.35	1295.13	890.44	1437.15	808.0	866.07	1066.48	954.43	1540.37	1295.13	780.44	1175.27	1605.83	1030.12	1250.98	890.44	698.41	878.17	1127.35	802.41	1037.29	1233.75	1359.57	1508.65
CD164	2178.83	4268.94	5441.3	191.67	4298.64	6516.03	10659.59	5366.37	4972.34	7857.29	9409.14	4937.99	4388.98	7331.05	4328.55	4388.98	5913.33	5594.3	10733.74	8598.28	4450.27	7589.61	10659.59	6561.36	5112.16	5555.65	3515.68	4736.79	6337.83	4736.79	6294.04	6516.03	9540.5	7180.15
CHST1	361.04	59.55	0.0	0.52	26.67	444.72	928.3	376.41	356.05	543.96	896.64	954.43	521.76	470.14	387.02	258.57	1561.89	291.04	575.03	1583.71	191.67	1208.34	764.36	414.87	199.85	521.76	236.21	447.82	265.87	547.75	825.0	902.89	1225.22	1015.93
COL22A1	0.72	0.0	0.0	0.3	10.16	15.56	3.53	5.28	2.12	25.91	21.16	6.46	1.07	18.03	2.16	3.32	37.59	1.0	20.86	13.83	1.39	6.46	12.0	10.55	3.17	7.75	4.03	0.65	1.85	4.66	19.97	1.62	10.96	4.1
COL28A1	2.71	0.41	0.0	0.37	9.56	24.11	56.68	9.41	16.88	31.0	74.06	88.26	14.56	71.0	20.86	20.71	36.01	45.21	24.81	35.5	15.45	78.89	56.28	12.74	9.34	21.16	3.99	3.38	8.92	10.08	50.27	22.1	38.67	72.01
CTD-2054N24.2	2.43	0.0	0.0	0.23	15.11	43.02	159.9	55.89	151.22	139.07	144.01	138.1	59.13	94.01	25.54	72.01	223.41	211.31	106.63	173.85	46.84	173.85	133.36	71.0	64.34	154.42	35.5	55.1	66.18	78.89	171.45	31.9	92.7	165.57
CXXC4	0.61	1.33	0.0	0.04	0.39	56.68	111.21	49.21	146.03	96.68	108.14	211.31	83.45	77.25	63.0	64.34	61.68	13.62	76.17	297.17	25.54	98.04	126.12	127.89	78.34	50.63	28.86	63.0	87.65	32.13	34.51	49.91	42.71	158.79
DZIP3	24.81	20.11	0.0	0.08	45.53	295.11	356.05	215.77	229.72	371.22	301.33	299.25	214.27	336.79	111.99	275.28	273.37	316.37	329.84	368.65	231.32	283.05	371.22	198.47	289.02	221.86	183.82	155.5	271.48	211.31	305.55	299.25	361.04	409.15
FAM150A	0.0	9.93	0.0	0.03	8.25	80.01	151.22	19.97	98.04	165.57	139.07	80.01	109.66	214.27	105.15	141.02	84.04	134.3	94.67	195.72	49.21	120.1	128.79	114.36	117.6	68.55	61.25	129.69	57.89	70.01	70.01	116.78	130.6	149.12
FNDC5	4.31	80.57	0.0	0.08	24.11	68.07	141.02	57.08	48.52	164.42	78.89	180.02	23.93	193.01	12.18	65.72	158.79	57.89	102.97	32.59	15.34	186.4	143.01	22.59	41.52	85.82	64.8	25.91	18.7	95.34	161.02	30.78	154.42	110.43
GALNT11	555.41	248.0	0.0	0.64	521.76	961.07	1388.16	961.07	988.12	1277.29	1498.22	1167.14	884.29	1467.37	796.86	872.1	1242.34	1030.12	1340.84	1216.75	775.05	1378.57	1295.13	842.36	860.08	884.29	728.11	684.02	961.07	819.3	1037.29	1008.9	1340.84	1286.18
GDPD1	2.86	19.25	0.0	0.06	10.47	45.85	111.99	27.05	37.85	71.5	88.26	87.03	53.57	85.22	47.5	74.06	56.68	48.52	76.17	116.78	45.85	130.6	132.44	54.33	50.27	43.32	15.56	42.41	53.19	59.97	90.14	47.17	30.56	65.72
GLIPR1L2	5.06	13.03	0.0	0.0	12.18	53.95	94.67	12.45	67.12	111.99	148.09	138.1	12.27	60.39	42.41	38.12	68.07	92.7	105.15	154.42	33.06	102.97	124.37	73.03	51.71	27.25	22.26	40.07	17.38	37.85	55.89	10.79	87.65	149.12
GOLM1	190.34	669.92	0.0	0.71	281.09	2224.63	1199.98	1487.87	525.39	3540.14	2835.7	3372.43	1191.69	967.76	1073.91	693.58	2319.15	738.29	3901.01	2240.11	872.1	1183.45	2335.28	1369.04	1030.12	1167.14	872.1	493.56	1437.15	559.28	1733.13	1467.37	2609.3	1950.0
GPR27	1.46	2.16	0.0	0.35	91.41	167.9	262.2	99.43	72.52	348.71	239.52	231.32	112.77	366.09	60.39	129.69	341.51	175.07	381.68	529.06	120.1	341.51	176.29	92.7	100.13	191.67	68.55	53.57	23.93	102.25	299.25	303.44	403.5	454.09
GXYLT2	100.13	0.0	69.52	420.68	11.91	112.77	249.73	50.98	58.71	178.77	138.1	187.71	63.89	258.57	88.26	73.03	316.37	103.69	336.79	285.03	68.55	236.21	208.38	85.22	91.41	74.58	146.03	47.84	140.04	92.7	189.02	176.29	265.87	164.42
HEXIM2	59.13	109.66	0.0	0.0	90.14	220.32	371.22	140.04	167.9	320.8	256.78	351.14	205.5	303.44	134.3	195.72	607.87	220.32	283.05	392.44	172.65	336.79	348.71	201.25	226.54	201.25	208.38	170.25	204.07	155.5	251.48	248.0	249.73	507.46
HHAT	27.05	30.34	0.0	0.18	33.78	212.78	381.68	183.82	226.54	339.14	323.03	275.28	137.14	356.05	96.01	142.01	301.33	293.07	341.51	303.44	134.3	314.17	299.25	171.45	246.28	169.07	116.78	126.12	217.27	120.94	271.48	217.27	341.51	279.14
HIST1H2BC	8.25	1104.13	0.0	0.29	44.57	139.07	269.6	63.45	53.19	82.29	148.09	119.26	38.67	137.14	40.64	23.76	114.36	16.27	241.19	165.57	44.89	137.14	75.11	23.93	60.39	61.68	24.46	33.3	78.34	112.77	101.54	63.89	143.01	236.21
HIST1H4I	4.5	4.62	0.0	0.35	2.73	7.57	8.0	6.26	6.11	11.55	7.34	13.52	6.41	12.36	5.96	1.75	12.45	11.55	7.28	24.28	3.0	7.0	18.84	7.57	7.75	4.7	5.45	2.58	3.99	2.78	20.26	10.88	8.32	12.55
IQCK	182.55	167.9	0.0	0.22	110.43	1001.93	1583.71	1104.13	961.07	1051.79	1733.13	1268.46	753.83	1143.1	872.1	785.88	954.43	1104.13	1225.22	878.17	842.36	1183.45	1359.57	995.0	1008.9	902.89	703.28	928.3	1088.92	819.3	848.22	848.22	1331.57	1175.27
KCNK2	0.0	0.0	0.0	0.14	4.31	480.04	1268.46	190.34	175.07	339.14	305.55	543.96	48.52	420.68	241.19	42.71	836.53	59.13	616.37	890.44	131.51	1191.69	323.03	409.15	218.79	100.13	29.91	73.03	141.02	239.52	361.04	1111.82	934.76	665.29
KLHL14	0.0	0.0	0.0	0.08	0.21	376.41	514.56	214.27	353.59	403.5	376.41	438.59	343.89	353.59	215.77	291.04	262.2	220.32	325.29	536.45	208.38	429.54	426.57	273.37	429.54	224.97	244.57	320.8	327.56	161.02	366.09	265.87	392.44	583.07
KY	0.66	0.65	0.0	0.01	0.27	100.83	264.03	86.43	68.07	165.57	151.22	242.88	32.82	154.42	55.1	90.77	226.54	84.04	131.51	285.03	21.32	420.68	128.79	50.98	120.94	66.65	76.17	25.54	81.71	15.11	96.68	65.72	234.57	309.83
LOH12CR2	3.44	6.84	0.0	0.0	10.55	54.72	162.14	52.82	51.35	92.05	105.15	118.43	39.79	118.43	42.41	51.71	148.09	94.01	164.42	131.51	63.0	156.59	120.1	65.26	53.19	48.18	28.65	50.27	56.68	34.26	87.03	52.08	118.43	159.9
MARCKSL1	830.75	591.22	0.0	0.4	669.92	4769.75	7180.15	3146.52	3303.0	4836.35	6607.01	3794.3	3124.78	6294.04	4152.18	3874.05	5711.87	2384.37	5831.91	3794.3	1628.26	4512.4	6983.79	2855.44	3794.3	2148.82	3742.05	2417.67	3349.13	3443.31	3515.68	7130.55	7695.57	7911.95
MNS1	20.26	3.82	70.01	181.28	23.93	90.14	119.26	56.28	70.51	138.1	133.36	127.89	71.0	144.01	29.27	77.25	110.43	82.29	143.01	133.36	62.56	128.79	136.19	63.45	71.5	70.01	60.82	23.42	66.18	53.95	113.56	47.84	117.6	110.43
NME9	3.32	0.24	0.0	0.08	11.47	51.35	75.64	16.88	42.71	27.84	80.01	52.82	23.59	51.71	41.22	46.5	31.45	81.14	57.08	108.14	25.91	59.13	125.24	41.81	54.33	37.85	30.12	39.22	40.93	33.3	42.71	36.27	46.84	56.68
NTRK2	13.72	0.69	0.0	0.33	4.5	2976.74	7032.37	1745.2	1936.53	5517.27	5517.27	3395.89	1242.34	5255.91	1313.23	1909.85	4575.41	2434.5	3742.05	4181.07	1250.98	5791.62	5076.84	1437.15	2384.37	2520.38	2351.53	1674.06	2627.46	1909.85	2739.08	2255.7	6337.83	3690.52
NUPR1L	19.82	0.0	0.0	0.11	64.34	417.77	1605.83	525.39	258.57	2075.59	1388.16	1896.65	323.03	1832.01	232.94	521.76	1175.27	1457.23	1151.06	1794.29	303.44	1001.93	884.29	860.08	775.05	163.28	120.1	361.04	1250.98	92.05	1378.57	921.88	1340.84	2485.67
ODF3L1	7.82	0.0	0.0	0.0	45.85	17.13	74.06	18.84	25.72	24.81	34.75	29.27	19.39	103.69	5.63	0.0	56.68	21.78	42.41	21.32	9.13	101.54	113.56	7.94	13.93	5.63	5.63	7.51	0.0	6.78	53.19	4.21	37.59	17.13
PABPC4L	0.44	0.0	0.0	0.08	4.5	31.45	36.79	21.63	13.93	20.26	16.03	44.57	11.47	25.54	15.0	12.18	17.0	20.56	29.7	57.49	16.39	18.7	32.82	32.36	20.56	19.82	9.85	13.62	28.45	16.63	18.97	13.12	23.08	33.54
PACRG	10.63	3.38	0.0	0.0	14.67	51.35	136.19	64.8	24.99	104.42	71.0	108.14	22.43	130.6	30.78	39.5	99.43	101.54	167.9	85.82	61.25	87.65	100.13	67.12	44.89	73.03	29.06	47.84	66.65	41.22	52.08	36.01	226.54	170.25
PGRMC1	1662.49	1936.53	0.0	0.74	1605.83	2255.7	4671.57	2240.11	1923.14	4038.61	4736.79	2417.67	1721.16	3665.02	2209.26	2104.58	3103.19	3443.31	3372.43	3280.18	2163.77	3820.7	4152.18	2701.35	1977.24	2468.49	1498.22	2537.92	2335.28	1721.16	2417.67	2976.74	3794.3	2682.69
PLEKHB1	4.17	62.56	0.0	0.27	297.17	1561.89	1605.83	842.36	769.69	1923.14	1950.0	2061.24	555.41	2193.99	591.22	934.76	1883.54	2271.4	2271.4	1745.2	463.65	1417.35	1073.91	961.07	591.22	780.44	518.15	624.99	1388.16	575.03	1896.65	1721.16	1447.15	2018.8
RASGEF1C	25.17	1.0	0.0	0.13	2.51	49.91	96.01	38.95	48.52	68.55	71.5	136.19	35.76	113.56	18.16	36.27	100.13	120.94	58.71	167.9	14.78	121.79	66.18	57.08	71.0	17.0	23.25	27.84	25.54	14.89	69.03	29.48	52.45	136.19
RCBTB2	131.51	88.88	0.0	0.27	206.94	764.36	934.76	525.39	603.67	728.11	688.78	896.64	521.76	738.29	575.03	612.11	669.92	583.07	703.28	1051.79	423.61	860.08	830.75	669.92	612.11	420.68	423.61	473.41	633.73	242.88	674.59	466.88	684.02	866.07
RNASET2	775.05	260.38	0.0	0.71	1583.71	2777.33	3874.05	1397.83	2255.7	4038.61	4419.52	4095.0	1923.14	4268.94	1991.0	2417.67	4736.79	4239.45	5403.7	4066.71	1617.0	4607.24	5555.65	3018.3	2451.44	1594.73	2090.03	2701.35	1617.0	1369.04	3690.52	2682.69	4543.8	4388.98
RPA3-AS1	353.59	351.14	356.05	3794.3	172.65	842.36	1437.15	796.86	785.88	1216.75	1191.69	902.89	607.87	1216.75	642.59	612.11	872.1	791.35	1359.57	830.75	753.83	718.08	1023.0	854.13	703.28	759.08	674.59	624.99	759.08	785.88	791.35	902.89	1259.69	988.12
RPS6KA5	44.25	54.33	99.43	78.89	45.21	55.49	144.01	66.18	75.11	147.06	103.69	105.89	53.19	93.35	45.85	70.51	81.14	97.36	111.21	105.89	96.01	144.01	131.51	68.07	61.68	108.14	51.71	49.56	76.17	57.49	116.78	58.71	128.79	65.26
SCCPDH	12.09	463.65	0.0	0.52	497.0	665.29	1216.75	563.18	486.75	1268.46	915.51	830.75	579.04	988.12	480.04	624.99	819.3	961.07	896.64	1001.93	624.99	909.17	909.17	981.29	665.29	974.5	454.09	947.83	775.05	656.11	703.28	764.36	1073.91	775.05
SCPEP1	226.54	102.25	2351.53	1407.55	2627.46	5403.7	10883.59	6337.83	7081.29	10296.45	12676.65	7485.11	5711.87	8191.0	4419.52	5076.84	7433.4	8363.13	9151.82	8658.09	3467.27	11189.6	8421.31	8305.36	3982.99	4010.71	3168.41	6164.49	6250.56	2835.7	7642.41	6935.54	7803.01	7911.95
SERPINI1	45.85	28.24	0.0	0.31	21.94	166.73	323.03	121.79	74.06	348.71	267.73	327.56	111.21	571.05	78.89	158.79	271.48	182.55	301.33	426.57	97.36	309.83	220.32	151.22	115.97	125.24	84.63	80.01	161.02	76.17	279.14	164.42	463.65	241.19
SH3BGRL	473.41	50.63	0.0	0.61	1417.35	2047.0	3665.02	2075.59	1769.57	3103.19	3515.68	2875.3	1733.13	3443.31	1844.76	1991.0	2434.5	2682.69	2915.45	3103.19	1685.71	3146.52	3820.7	2163.77	1883.54	2004.85	1709.26	1883.54	2193.99	1605.83	2591.27	2609.3	2720.15	3081.75
SLC15A2	13.62	9.2	0.0	0.2	127.0	167.9	376.41	59.97	170.25	145.02	190.34	232.94	152.28	305.55	35.0	201.25	271.48	113.56	167.9	406.31	28.24	201.25	226.54	156.59	191.67	23.08	79.45	166.73	92.7	24.81	193.01	69.52	198.47	271.48
SLC25A23	1015.93	251.48	1709.26	1467.37	473.41	2682.69	3982.99	2758.13	2319.15	3690.52	3768.09	3372.43	2032.85	4095.0	1909.85	1923.14	4481.23	2976.74	4066.71	3060.45	1806.78	3515.68	3820.7	2701.35	2537.92	2271.4	2319.15	2664.15	2777.33	1427.22	2520.38	3303.0	3768.09	4268.94
SP3	607.87	329.84	0.0	0.57	420.68	878.17	1508.65	819.3	934.76	1081.39	1378.57	1008.9	830.75	1015.93	866.07	915.51	769.69	698.41	780.44	1143.1	915.51	1111.82	1175.27	802.41	928.3	1023.0	607.87	753.83	830.75	769.69	878.17	633.73	1066.48	1104.13
SPESP1	3.69	2.66	0.0	0.34	16.03	45.21	111.21	44.25	56.28	12.93	76.71	18.84	23.93	34.51	18.16	4.5	46.18	105.15	42.41	215.77	11.82	91.41	26.47	70.51	27.84	23.42	6.94	29.91	5.11	13.03	21.01	18.43	220.32	651.58
SPTSSB	1.2	0.26	0.0	0.23	0.61	0.69	24.46	3.06	0.39	6.89	0.89	17.13	1.22	11.47	3.17	1.53	2.29	2.94	7.88	5.5	2.27	17.64	23.93	0.66	2.53	1.51	0.12	0.87	2.68	1.22	3.44	4.1	4.58	3.47
ST3GAL3	90.77	156.59	0.0	0.67	173.85	351.14	312.0	299.25	223.41	392.44	373.81	371.22	223.41	454.09	239.52	312.0	483.38	295.11	384.34	341.51	253.23	441.64	447.82	199.85	221.86	246.28	356.05	297.17	214.27	221.86	255.0	358.54	368.65	429.54
STAMBP	444.72	507.46	0.0	0.48	239.52	591.22	708.18	579.04	575.03	759.08	748.61	656.11	532.74	629.35	529.06	591.22	647.07	591.22	638.15	703.28	529.06	718.08	802.41	620.67	587.13	567.1	511.0	525.39	583.07	493.56	651.58	595.34	603.67	698.41
STPG2	0.0	4.43	0.0	0.06	0.0	6.11	7.63	4.03	4.1	10.39	3.72	16.15	7.75	8.92	0.93	5.82	6.21	4.17	13.32	15.11	5.87	6.84	3.38	2.14	3.26	2.48	2.76	3.86	3.41	4.66	7.75	6.67	15.0	7.4
TDRD3	197.09	96.68	0.0	0.18	198.47	281.09	420.68	260.38	221.86	346.29	381.68	409.15	248.0	323.03	208.38	226.54	392.44	373.81	414.87	356.05	231.32	373.81	348.71	234.57	273.37	279.14	269.6	193.01	228.13	262.2	325.29	327.56	389.72	403.5
TG	6.36	7.75	0.0	0.64	27.64	1364554.84	2068278.89	2247670.86	2126426.15	1751305.3	2375828.71	1622738.51	1493223.86	1535204.12	1093103.58	1997825.68	1984025.69	2986448.72	2425749.94	1139523.1	1402917.72	1318073.06	1589343.01	2636147.11	2263304.65	2111737.85	1238359.56	3178687.03	3886391.01	711250.37	1535204.12	2672946.37	1634025.56	1482909.4
TMCC3	139.07	7.69	136.19	60.82	120.1	148.09	260.38	173.85	118.43	341.51	295.11	206.94	101.54	234.57	102.25	129.69	248.0	273.37	348.71	358.54	88.88	155.5	218.79	106.63	157.68	303.44	145.02	100.83	175.07	255.0	156.59	118.43	169.07	180.02
TMED4	884.29	848.22	1561.89	4210.15	629.35	4836.35	6561.36	3928.15	3874.05	6121.9	6121.9	5076.84	3794.3	5995.9	3081.75	4210.15	4481.23	4095.0	5517.27	6250.56	3280.18	5872.48	5292.48	4802.93	4268.94	3280.18	3280.18	3190.46	4607.24	2573.36	4802.93	5076.84	6250.56	4769.75
TMEM14A	166.73	229.72	0.0	0.22	285.03	733.19	1277.29	688.78	656.11	1037.29	1191.69	1015.93	620.67	1111.82	642.59	684.02	836.53	743.43	974.5	1051.79	624.99	860.08	1167.14	941.27	974.5	514.56	426.57	708.18	718.08	466.88	748.61	616.37	1081.39	1111.82
TTLL1	60.39	38.12	0.0	0.0	67.59	249.73	400.71	226.54	171.45	332.14	363.56	358.54	178.77	389.72	169.07	212.78	389.72	289.02	389.72	334.46	171.45	376.41	341.51	215.77	161.02	204.07	150.17	166.73	211.31	157.68	264.03	232.94	339.14	447.82
ZMYND12	2.94	3.76	0.0	0.0	16.03	153.34	414.87	120.1	94.67	209.84	283.05	248.0	113.56	279.14	47.17	152.28	275.28	204.07	318.57	307.69	109.66	206.94	353.59	191.67	118.43	83.45	53.95	148.09	158.79	96.01	212.78	165.57	275.28	307.69
ZNF610	2.41	5.82	0.0	0.21	29.7	84.63	128.79	63.89	54.72	132.44	111.21	131.51	65.72	116.78	37.59	55.89	105.89	85.82	95.34	126.12	56.28	120.94	133.36	59.55	54.72	55.89	54.33	24.99	70.51	55.1	81.14	72.52	118.43	121.79
