	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.BH.A0B7.01A.12R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.131YS.0626.SM.5EGKL	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.38.4625.01A.01R.1206.07	GTEX.13NYC.2626.SM.5K7VN
CCDC174	260.38	476.71	223.41	211.31	283.05	426.57	429.54	490.14	373.81	409.15	693.58	599.49	202.66	205.5	185.11	0.0	271.48
CDRT4	14.67	121.79	12.0	21.94	1.11	162.14	136.19	51.35	117.6	66.18	417.77	220.32	52.08	36.01	7.51	0.0	23.76
CLUAP1	156.59	540.19	368.65	205.5	116.78	563.18	536.45	616.37	503.95	599.49	1015.93	514.56	120.94	212.78	231.32	429.54	229.72
CNTRL	85.82	258.57	75.64	208.38	176.29	299.25	287.01	400.71	283.05	251.48	429.54	271.48	36.01	61.68	73.54	0.0	51.71
COMMD10	373.81	591.22	417.77	620.67	547.75	633.73	629.35	728.11	620.67	629.35	780.44	759.08	323.03	214.27	241.19	0.0	343.89
COX19	90.77	144.01	117.6	111.99	125.24	173.85	158.79	209.84	180.02	146.03	228.13	201.25	77.25	98.73	71.0	176.29	89.51
CRB1	0.36	3.44	0.32	1.71	0.28	14.14	3.41	9.06	5.96	3.96	10.39	10.08	0.0	0.0	0.0	0.0	3.72
CRYZ	215.77	890.44	633.73	981.29	123.5	1044.52	1088.92	1457.23	967.76	1561.89	1662.49	708.18	651.58	146.03	283.05	0.0	638.15
CWC27	237.86	373.81	287.01	334.46	332.14	420.68	441.64	476.71	406.31	409.15	579.04	483.38	307.69	237.86	265.87	0.0	450.94
DKFZP667F0711	2.32	10.55	1.43	8.0	1.57	9.48	8.71	22.26	4.31	11.38	22.26	11.82	1.28	1.25	0.0	0.0	1.1
DNALI1	63.0	703.28	24.11	738.29	22.26	718.08	743.43	633.73	909.17	819.3	1977.24	1369.04	12.64	7.75	7.28	0.0	14.03
DZANK1	42.71	656.11	11.47	53.19	50.27	178.77	115.16	262.2	202.66	201.25	224.97	147.06	13.03	13.32	10.47	0.0	26.67
EIF2D	684.02	1417.35	743.43	738.29	981.29	1487.87	1397.83	1540.37	1639.59	1388.16	2119.22	2502.97	693.58	470.14	547.75	0.0	1135.2
ENTPD6	1617.0	1417.35	575.03	1369.04	1277.29	1388.16	1225.22	1628.26	1304.15	1001.93	1819.35	1745.2	642.59	447.82	595.34	0.0	426.57
ERMARD	366.09	420.68	297.17	438.59	177.53	536.45	612.11	620.67	490.14	525.39	599.49	921.88	249.73	249.73	202.66	0.0	301.33
FAM194B	11.64	8.06	1.91	4.7	8.78	23.93	12.74	27.05	16.75	20.41	9.2	18.7	0.0	2.58	2.03	0.0	2.01
FAM19A2	20.56	36.79	29.48	14.56	10.55	45.85	38.67	46.5	36.01	33.78	57.08	59.55	3.66	0.68	9.41	0.0	16.03
FAM200A	90.77	164.42	49.21	89.51	71.0	195.72	146.03	190.34	189.02	214.27	325.29	172.65	106.63	88.26	56.28	0.0	114.36
FARP1	902.89	2178.83	299.25	1167.14	551.56	1313.23	1628.26	1628.26	1183.45	2400.97	1794.29	2209.26	232.94	41.81	64.8	218.79	138.1
GATAD1	358.54	551.56	412.0	218.79	206.94	775.05	579.04	698.41	595.34	679.29	961.07	909.17	98.73	198.47	142.01	483.38	202.66
GLT8D1	1437.15	1378.57	1001.93	1331.57	902.89	1594.73	1617.0	1628.26	1651.0	1844.76	1923.14	2451.44	571.05	423.61	406.31	1350.18	414.87
GPATCH1	109.66	180.02	92.05	82.29	156.59	206.94	180.02	293.07	189.02	237.86	264.03	301.33	62.12	87.65	86.43	0.0	149.12
GPBP1	1127.35	1617.0	521.76	1304.15	1950.0	1757.34	1721.16	1950.0	1857.6	1769.57	2537.92	1617.0	514.56	748.61	698.41	713.11	902.89
GTF2H2C	353.59	547.75	253.23	332.14	248.0	507.46	607.87	599.49	599.49	642.59	896.64	551.56	115.97	111.21	136.19	493.56	351.14
HKR1	503.95	854.13	289.02	595.34	251.48	1135.2	947.83	1216.75	1135.2	1111.82	1313.23	1233.75	95.34	101.54	71.0	0.0	483.38
IFT74	102.25	334.46	40.93	118.43	115.97	356.05	429.54	457.25	358.54	403.5	612.11	351.14	111.21	73.03	183.82	0.0	131.51
IFT88	150.17	248.0	100.83	208.38	172.65	255.0	277.2	336.79	287.01	334.46	529.06	303.44	82.87	74.06	81.71	0.0	108.14
IL25	0.0	1.5	1.39	0.0	0.0	0.0	1.81	2.16	1.41	0.38	3.92	3.76	0.0	0.0	0.0	0.0	0.84
KIAA1407	53.57	186.4	37.32	53.95	30.34	182.55	182.55	186.4	138.1	189.02	307.69	223.41	20.26	19.97	26.86	0.0	24.46
KIAA1731	124.37	187.71	92.05	176.29	122.64	180.02	242.88	309.83	211.31	204.07	323.03	264.03	42.11	69.03	91.41	0.0	108.9
KRCC1	607.87	1135.2	928.3	638.15	651.58	1081.39	1096.5	1066.48	1051.79	1127.35	1781.89	830.75	389.72	435.55	336.79	0.0	579.04
LARP7	708.18	1175.27	638.15	1023.0	703.28	1023.0	1417.35	1340.84	1151.06	1015.93	1583.71	1191.69	435.55	551.56	503.95	0.0	674.59
LMAN2L	293.07	543.96	242.88	423.61	314.17	633.73	571.05	642.59	703.28	808.0	878.17	921.88	239.52	167.9	180.02	0.0	271.48
LRIT3	4.9	9.85	0.41	3.0	0.37	10.47	9.7	11.38	7.69	6.52	16.75	9.56	0.65	0.64	0.64	0.0	2.86
METTL16	269.6	532.74	305.55	336.79	226.54	651.58	633.73	738.29	688.78	579.04	928.3	808.0	221.86	251.48	242.88	199.85	412.0
MICU2	780.44	902.89	603.67	518.15	808.0	995.0	1183.45	1059.11	1008.9	1183.45	2032.85	1073.91	473.41	591.22	624.99	0.0	860.08
MIEF2	201.25	297.17	137.14	176.29	144.01	303.44	327.56	273.37	400.71	258.57	454.09	348.71	115.16	231.32	154.42	159.9	157.68
MMS19	954.43	1037.29	825.0	947.83	309.83	1135.2	1081.39	1457.23	1151.06	1111.82	1199.98	1685.71	884.29	733.19	825.0	0.0	688.78
MNAT1	547.75	500.46	769.69	536.45	521.76	684.02	808.0	708.18	708.18	642.59	1191.69	656.11	493.56	279.14	417.77	0.0	575.03
MSANTD2	76.71	165.57	49.91	85.22	55.89	199.85	171.45	209.84	169.07	172.65	231.32	221.86	32.13	31.67	25.17	0.0	70.51
MUCL1	2216726.5	131071.0	828417.36	167058.21	1255646.43	169390.27	161367.56	161367.56	143430.26	253213.41	294926.33	887875.81	267.73	356.05	1088.92	0.0	9635979.21
NAIP	180.02	466.88	98.04	151.22	98.73	260.38	336.79	297.17	244.57	277.2	629.35	202.66	15.68	36.53	44.57	164.42	63.89
NCOR1	679.29	1674.06	928.3	981.29	483.38	1628.26	1519.15	2032.85	1551.09	2090.03	1870.53	1594.73	738.29	866.07	825.0	423.61	1001.93
NEK11	187.71	249.73	137.14	229.72	149.12	316.37	251.48	275.28	305.55	301.33	665.29	325.29	45.21	15.11	52.45	0.0	64.34
NHLRC3	305.55	497.0	283.05	232.94	202.66	480.04	493.56	503.95	397.93	490.14	909.17	669.92	65.26	128.79	96.01	248.0	92.05
NMNAT3	30.12	186.4	9.13	30.78	55.89	273.37	234.57	242.88	299.25	237.86	890.44	733.19	88.88	133.36	144.01	0.0	255.0
NPHP1	45.53	144.01	42.11	72.01	84.63	155.5	182.55	185.11	159.9	127.0	318.57	195.72	15.45	19.25	27.64	0.0	143.01
NR6A1	12.64	32.13	10.16	22.59	4.28	28.86	36.79	29.06	23.76	35.76	54.72	31.67	16.75	20.86	19.68	12.64	22.75
PCDHGA7	23.08	44.57	3.08	9.56	6.16	33.3	30.78	47.17	38.67	67.12	35.5	70.01	3.99	1.11	1.6	0.0	40.93
PIFO	22.43	176.29	51.35	130.6	24.28	253.23	204.07	173.85	220.32	140.04	412.0	500.46	2.61	10.79	3.96	0.0	17.9
PLEKHB1	84.04	583.07	39.5	190.34	16.27	525.39	518.15	665.29	633.73	406.31	723.08	796.86	2.53	9.41	27.05	0.0	134.3
POC5	172.65	244.57	172.65	144.01	153.34	241.19	301.33	318.57	329.84	211.31	429.54	371.22	49.21	77.79	73.03	191.67	129.69
POGZ	336.79	1104.13	329.84	612.11	237.86	1208.34	988.12	1135.2	1023.0	1088.92	1662.49	1216.75	155.5	167.9	212.78	366.09	353.59
PRIMPOL	201.25	267.73	248.0	208.38	167.9	318.57	312.0	463.65	361.04	249.73	470.14	406.31	99.43	149.12	95.34	0.0	223.41
RIOK2	460.44	387.02	403.5	379.04	470.14	620.67	543.96	532.74	444.72	563.18	1044.52	575.03	291.04	269.6	202.66	0.0	358.54
RP11-770J1.4	0.38	2.23	0.35	0.73	0.3	0.38	0.72	1.07	0.35	0.39	1.36	0.44	0.0	0.0	0.0	0.0	0.0
RPA2	759.08	1350.18	819.3	1001.93	1037.29	1208.34	1001.93	1119.56	1225.22	1233.75	1498.22	1397.83	341.51	547.75	738.29	0.0	1030.12
SERTAD3	872.1	743.43	575.03	698.41	669.92	718.08	1008.9	651.58	1225.22	890.44	1977.24	1159.07	320.8	497.0	332.14	0.0	500.46
SH3YL1	1096.5	2004.85	1051.79	555.41	1096.5	3212.66	1639.59	2701.35	2271.4	2682.69	3039.3	1923.14	1088.92	1030.12	633.73	0.0	718.08
STRADB	412.0	480.04	343.89	285.03	232.94	460.44	476.71	403.5	476.71	551.56	718.08	351.14	118.43	194.36	165.57	0.0	265.87
TAF7	1487.87	1936.53	1037.29	1331.57	1674.06	2451.44	2555.58	2451.44	2271.4	2384.37	3395.89	2193.99	995.0	1111.82	981.29	0.0	1963.57
TLR5	79.45	361.04	88.88	202.66	35.76	291.04	262.2	392.44	356.05	327.56	575.03	406.31	113.56	164.42	140.04	0.0	55.49
TMEM78	0.39	0.38	0.0	0.75	0.0	1.53	1.46	1.83	0.71	1.16	2.46	0.46	0.0	0.0	0.0	0.0	0.0
TRAPPC2	234.57	351.14	191.67	236.21	204.07	366.09	289.02	343.89	323.03	343.89	346.29	358.54	74.58	137.14	128.79	212.78	139.07
TRIM52	165.57	309.83	76.71	181.28	98.73	412.0	309.83	373.81	361.04	379.04	400.71	547.75	28.24	40.64	36.79	0.0	60.39
TSEN2	194.36	269.6	111.21	134.3	166.73	301.33	312.0	334.46	303.44	237.86	387.02	429.54	102.97	98.04	97.36	0.0	297.17
TYW1	258.57	314.17	198.47	287.01	279.14	392.44	346.29	429.54	341.51	356.05	540.19	444.72	141.02	172.65	155.5	0.0	356.05
USPL1	191.67	295.11	129.69	182.55	180.02	336.79	299.25	397.93	299.25	320.8	417.77	217.27	62.56	102.25	67.12	0.0	129.69
WDR19	307.69	633.73	121.79	351.14	190.34	629.35	656.11	769.69	603.67	738.29	961.07	647.07	119.26	111.21	72.01	0.0	143.01
ZCCHC9	283.05	435.55	343.89	327.56	318.57	514.56	473.41	438.59	518.15	473.41	624.99	420.68	426.57	414.87	387.02	0.0	414.87
ZNF18	103.69	162.14	126.12	133.36	100.13	149.12	151.22	162.14	171.45	156.59	175.07	223.41	88.26	108.9	148.09	0.0	116.78
ZNF182	57.49	121.79	24.28	75.11	49.56	127.0	121.79	167.9	142.01	136.19	191.67	151.22	20.86	22.92	17.77	0.0	34.02
ZNF211	150.17	275.28	95.34	178.77	94.01	312.0	271.48	336.79	387.02	332.14	507.46	277.2	69.03	71.0	50.63	0.0	115.16
ZNF212	201.25	285.03	183.82	146.03	101.54	291.04	241.19	285.03	320.8	279.14	341.51	299.25	226.54	237.86	195.72	0.0	154.42
ZNF232	81.71	236.21	84.04	162.14	51.35	267.73	253.23	483.38	269.6	258.57	316.37	260.38	114.36	79.45	67.12	0.0	91.41
ZNF280B	2.43	5.06	1.91	3.06	0.57	8.71	4.03	13.42	3.59	4.98	12.0	12.64	0.57	1.48	1.03	0.0	0.0
ZNF554	61.25	120.94	55.49	42.41	27.84	185.11	108.9	133.36	131.51	150.17	161.02	170.25	26.67	27.64	16.75	0.0	39.79
ZNF671	84.04	157.68	38.4	64.8	11.3	186.4	146.03	223.41	253.23	232.94	521.76	156.59	8.78	12.55	14.03	0.0	31.45
ZNF691	229.72	262.2	150.17	215.77	103.69	301.33	234.57	314.17	363.56	295.11	384.34	273.37	48.87	98.73	69.52	0.0	115.16
ZNF786	127.0	127.0	106.63	102.25	42.41	145.02	151.22	145.02	197.09	161.02	180.02	153.34	73.03	91.41	78.34	52.45	95.34
ZNF823	159.9	159.9	53.57	72.52	104.42	193.01	241.19	209.84	260.38	177.53	559.28	218.79	70.01	137.14	81.71	0.0	42.41
ZNF839	224.97	289.02	170.25	142.01	111.21	346.29	297.17	356.05	412.0	323.03	518.15	503.95	103.69	129.69	105.15	0.0	143.01
ZSCAN21	246.28	226.54	229.72	140.04	150.17	323.03	283.05	316.37	341.51	339.14	381.68	339.14	76.71	53.19	68.07	0.0	129.69
