	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.IG.A4QT.01A.21R.A260.31	GTEX.P4QS.1126.SM.3NMD5	TCGA.BP.4988.01A.01R.1334.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.117YX.1326.SM.5H125	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13N2G.0826.SM.5IJE6	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.OHPM.0526.SM.2YUMJ	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.98.A53C.01A.11R.A262.07	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.IN.7808.01A.11R.2203.13
ARGLU1	4769.75	547.75	5329.3	275.28	7911.95	279.14	6699.25	5441.3	1111.82	1397.83	1417.35	753.83	3419.52	1407.55	1896.65	1551.09	2004.85	2104.58	3372.43	1135.2	1605.83	2163.77	1617.0	2224.63	3690.52	3955.48	2104.58	1909.85	1216.75	2090.03	1639.59	2163.77	1066.48	5255.91	4181.07	2351.53	3060.45
ARHGAP4	4066.71	88.26	2682.69	193.01	3982.99	77.79	2682.69	2434.5	0.0	460.44	525.39	384.34	2816.11	529.06	457.25	387.02	836.53	802.41	1340.84	1208.34	327.56	825.0	323.03	265.87	6699.25	314.17	1066.48	1295.13	624.99	616.37	1498.22	1015.93	154.42	8963.45	2720.15	2271.4	1883.54
ARHGAP9	4607.24	78.89	2224.63	44.89	4543.8	69.52	1540.37	1199.98	0.0	358.54	186.4	384.34	954.43	189.02	647.07	567.1	808.0	813.63	463.65	915.51	363.56	320.8	454.09	339.14	2271.4	417.77	575.03	1397.83	497.0	297.17	591.22	1081.39	518.15	7280.4	1991.0	1923.14	2148.82
ARHGEF1	7433.4	490.14	7749.1	438.59	8421.31	460.44	6337.83	5711.87	0.0	1674.06	1313.23	1697.45	6426.31	1757.34	2573.36	1936.53	3372.43	3419.52	3665.02	3564.78	2240.11	1617.0	2609.3	1313.23	21468.49	3820.7	4575.41	3665.02	2417.67	3103.19	3768.09	3349.13	1250.98	15607.02	4937.99	7130.55	7130.55
ATG16L2	1733.13	95.34	2451.44	59.55	2682.69	59.55	2384.37	1733.13	0.0	273.37	291.04	255.0	1883.54	228.13	642.59	532.74	915.51	813.63	708.18	536.45	529.06	454.09	438.59	368.65	1081.39	825.0	785.88	1135.2	551.56	854.13	1208.34	1143.1	228.13	2739.08	1477.58	1427.22	1286.18
C17orf62	3395.89	1151.06	4736.79	769.69	3146.52	656.11	2351.53	2351.53	0.0	1417.35	1242.34	1427.22	2835.7	1143.1	1008.9	1051.79	1572.76	1896.65	1467.37	1733.13	1561.89	1096.5	1225.22	1313.23	2485.67	1674.06	2104.58	1870.53	1844.76	915.51	2664.15	2303.12	1388.16	6337.83	3235.01	2417.67	2573.36
CCDC130	1277.29	161.02	1819.35	309.83	1896.65	180.02	1583.71	1457.23	0.0	303.44	423.61	423.61	796.86	346.29	529.06	616.37	463.65	567.1	909.17	575.03	473.41	406.31	497.0	346.29	2133.97	514.56	1199.98	785.88	559.28	521.76	836.53	536.45	226.54	2032.85	1268.46	1437.15	1437.15
CCDC154	80.01	3.03	49.21	6.52	205.5	8.71	127.0	141.02	0.0	3.41	7.69	20.11	56.68	1.22	8.99	35.0	8.25	14.89	75.64	6.94	14.35	3.59	3.63	0.96	38.4	23.42	8.85	6.31	14.89	28.04	40.07	17.0	0.24	253.23	88.88	61.68	59.55
CCDC84	995.0	78.34	1208.34	69.03	1857.6	108.14	1870.53	1427.22	0.0	728.11	366.09	830.75	866.07	559.28	825.0	642.59	297.17	587.13	808.0	1096.5	555.41	384.34	406.31	878.17	1313.23	438.59	2018.8	748.61	409.15	624.99	1088.92	559.28	295.11	1540.37	1143.1	896.64	825.0
CCDC88B	2303.12	125.24	1757.34	49.91	2609.3	78.34	1498.22	1583.71	0.0	237.86	191.67	395.18	1015.93	166.73	579.04	314.17	629.35	511.0	595.34	543.96	295.11	264.03	346.29	215.77	3235.01	521.76	813.63	825.0	532.74	444.72	1030.12	616.37	197.09	5041.77	1359.57	1030.12	878.17
CDK11A	1477.58	258.57	1819.35	215.77	2935.74	180.02	1745.2	866.07	358.54	642.59	320.8	323.03	684.02	438.59	718.08	624.99	529.06	514.56	633.73	525.39	718.08	363.56	432.53	591.22	1427.22	624.99	620.67	665.29	450.94	287.01	753.83	603.67	476.71	3443.31	1923.14	1662.49	2555.58
CDK5R1	134.3	11.47	432.53	34.75	49.21	3.38	27.64	67.59	0.0	77.25	6.78	18.84	42.11	3.29	33.06	15.45	62.56	40.64	29.91	20.26	10.0	16.88	15.91	7.88	20.41	2.97	32.13	40.64	6.46	31.9	21.78	34.26	7.82	381.68	59.55	96.68	100.13
CDRT4	293.07	37.32	279.14	5.59	536.45	3.76	500.46	187.71	0.0	19.11	0.88	61.68	379.04	57.89	74.06	40.64	58.3	73.54	79.45	59.55	98.73	12.83	29.7	28.45	336.79	162.14	92.7	97.36	8.19	120.94	224.97	217.27	11.47	518.15	217.27	146.03	299.25
CETP	387.02	16.03	555.41	50.98	205.5	132.44	73.03	112.77	0.0	31.0	55.49	29.27	232.94	13.12	22.26	54.33	57.08	26.86	87.03	50.63	20.86	50.27	31.67	15.91	105.89	67.59	92.7	65.72	30.12	29.27	28.45	62.56	24.46	813.63	146.03	303.44	316.37
CHKB	3081.75	473.41	3491.39	463.65	4328.55	323.03	2956.17	2434.5	0.0	567.1	647.07	808.0	2502.97	536.45	1378.57	848.22	1286.18	1378.57	1674.06	1277.29	1259.69	624.99	1073.91	1066.48	2895.31	1233.75	1991.0	1304.15	854.13	1119.56	1794.29	1508.65	271.48	4123.49	2400.97	1721.16	1991.0
CIITA	1594.73	22.1	825.0	44.89	1594.73	5.68	995.0	884.29	163.28	429.54	674.59	258.57	2520.38	208.38	620.67	85.22	1295.13	547.75	244.57	1159.07	647.07	281.09	366.09	67.59	3060.45	878.17	974.5	251.48	397.93	651.58	624.99	2645.74	132.44	2400.97	743.43	1617.0	1322.37
CLASRP	1883.54	267.73	3564.78	176.29	4704.07	265.87	2193.99	2875.3	0.0	514.56	384.34	301.33	884.29	329.84	665.29	438.59	583.07	620.67	830.75	769.69	329.84	403.5	651.58	258.57	2319.15	860.08	764.36	775.05	500.46	819.3	775.05	1037.29	341.51	3794.3	2119.22	1721.16	3018.3
CLK1	5555.65	332.14	8840.04	397.93	6607.01	555.41	5441.3	4481.23	0.0	878.17	647.07	808.0	2645.74	1350.18	1674.06	1950.0	1977.24	1757.34	1819.35	753.83	1662.49	1551.09	928.3	1923.14	3349.13	2591.27	1561.89	1216.75	713.11	1950.0	1199.98	1936.53	693.58	6745.86	4481.23	3491.39	2895.31
CORO7	1208.34	202.66	1819.35	205.5	1143.1	111.21	1487.87	967.76	0.0	493.56	343.89	336.79	665.29	269.6	409.15	363.56	417.77	769.69	470.14	647.07	325.29	366.09	373.81	327.56	2240.11	848.22	1096.5	708.18	616.37	460.44	921.88	511.0	323.03	2032.85	1051.79	1529.73	1477.58
CTRL	86.43	0.49	47.5	2.61	204.07	3.41	84.04	89.51	0.0	21.32	9.85	14.24	24.81	2.84	23.42	13.32	20.56	15.8	20.26	27.64	3.59	8.45	7.63	4.31	47.17	20.26	13.03	16.27	14.67	21.78	13.42	21.16	12.83	176.29	57.49	83.45	54.72
DEF6	2209.26	163.28	6079.61	26.67	1583.71	16.27	947.83	1111.82	0.0	194.36	150.17	228.13	1023.0	118.43	273.37	142.01	409.15	373.81	361.04	348.71	291.04	198.47	201.25	135.24	2777.33	289.02	540.19	400.71	303.44	329.84	497.0	447.82	100.83	3928.15	1030.12	1977.24	1583.71
DENND4B	1572.76	194.36	2209.26	220.32	2739.08	87.65	1359.57	1191.69	379.04	312.0	297.17	353.59	1225.22	217.27	381.68	366.09	830.75	532.74	454.09	620.67	503.95	301.33	547.75	450.94	1167.14	624.99	607.87	620.67	647.07	447.82	759.08	1159.07	256.78	2997.45	1322.37	2555.58	1745.2
DGKA	5555.65	312.0	14561.8	98.04	6426.31	29.06	1340.84	1583.71	0.0	251.48	314.17	109.66	753.83	154.42	356.05	208.38	218.79	493.56	199.85	392.44	183.82	246.28	307.69	191.67	4704.07	616.37	334.46	432.53	229.72	384.34	353.59	305.55	141.02	8963.45	2520.38	2915.45	2384.37
DNAH1	253.23	13.22	217.27	29.48	432.53	10.0	287.01	212.78	0.0	59.97	44.25	40.93	241.19	47.5	92.05	76.17	202.66	88.26	81.71	95.34	60.39	26.86	55.89	69.52	417.77	262.2	138.1	167.9	64.34	70.01	167.9	121.79	22.26	486.75	226.54	480.04	371.22
DNHD1	271.48	18.97	400.71	20.41	567.1	9.78	341.51	241.19	0.0	117.6	48.52	27.25	156.59	44.25	152.28	52.08	94.67	77.25	128.79	154.42	54.33	34.02	81.71	94.67	432.53	197.09	130.6	116.78	37.05	146.03	140.04	201.25	30.78	599.49	285.03	460.44	301.33
EHBP1L1	1340.84	305.55	3982.99	113.56	2777.33	89.51	2032.85	2090.03	0.0	543.96	384.34	323.03	1757.34	273.37	454.09	400.71	947.83	616.37	866.07	733.19	473.41	417.77	511.0	376.41	1721.16	713.11	890.44	825.0	651.58	656.11	785.88	884.29	423.61	3212.66	1936.53	1697.45	1111.82
EML3	1477.58	384.34	3280.18	289.02	2777.33	271.48	1950.0	1745.2	0.0	713.11	633.73	457.25	1066.48	417.77	718.08	698.41	599.49	860.08	890.44	884.29	395.18	483.38	620.67	441.64	2287.2	808.0	1081.39	941.27	503.95	529.06	708.18	748.61	620.67	3039.3	1733.13	1388.16	1250.98
ENTHD2	764.36	108.14	1417.35	101.54	1594.73	99.43	1151.06	854.13	0.0	124.37	220.32	208.38	507.46	158.79	343.89	297.17	395.18	429.54	339.14	417.77	312.0	351.14	373.81	167.9	612.11	217.27	656.11	603.67	305.55	226.54	591.22	314.17	126.12	1832.01	947.83	1001.93	791.35
ERICH1	587.13	144.01	718.08	279.14	1051.79	145.02	587.13	476.71	0.0	289.02	438.59	287.01	1313.23	293.07	454.09	353.59	808.0	373.81	769.69	336.79	409.15	447.82	307.69	373.81	1051.79	567.1	281.09	607.87	620.67	521.76	334.46	624.99	163.28	836.53	503.95	624.99	890.44
FAM193B	1991.0	237.86	3540.14	112.77	5831.91	269.6	3060.45	2758.13	0.0	237.86	493.56	297.17	1015.93	376.41	547.75	579.04	693.58	791.35	1030.12	532.74	543.96	595.34	607.87	423.61	1806.78	1896.65	693.58	1088.92	329.84	1498.22	947.83	728.11	267.73	4210.15	2255.7	1498.22	1709.26
FCHO1	620.67	8.25	450.94	6.11	389.72	9.27	220.32	182.55	0.0	43.32	20.86	39.22	183.82	24.81	105.89	75.11	126.12	87.65	43.32	182.55	59.13	46.84	58.71	18.7	1331.57	199.85	169.07	102.97	115.97	51.71	96.68	153.34	64.8	1277.29	214.27	791.35	476.71
FCHSD1	961.07	13.83	1037.29	43.32	1709.26	12.93	587.13	674.59	0.0	93.35	134.3	48.52	381.68	123.5	161.02	57.08	189.02	287.01	166.73	197.09	169.07	94.67	107.38	98.73	1199.98	241.19	253.23	221.86	114.36	157.68	180.02	384.34	55.1	1397.83	629.35	836.53	679.29
FLJ00104	48.18	4.39	111.99	8.0	175.07	2.32	79.45	59.55	0.0	18.7	8.38	9.7	48.87	16.27	14.45	10.24	53.19	37.32	19.11	34.51	18.7	17.77	18.43	12.36	70.51	24.28	29.48	36.79	24.81	20.86	24.28	43.02	12.36	194.36	85.82	118.43	81.71
GPR152	5.54	0.0	2.92	0.0	5.87	0.0	2.18	3.82	0.0	0.95	0.0	0.0	0.53	0.56	0.73	0.69	0.0	0.57	0.52	2.05	0.0	0.0	0.0	1.71	6.36	1.66	1.25	1.77	0.52	0.0	0.0	1.28	0.52	9.7	4.39	13.52	19.53
GSDMB	785.88	15.45	395.18	22.75	1208.34	66.18	830.75	854.13	0.0	45.21	52.82	37.05	376.41	45.53	148.09	123.5	130.6	229.72	147.06	124.37	95.34	82.87	52.08	107.38	1066.48	329.84	148.09	163.28	69.03	165.57	239.52	289.02	63.45	848.22	603.67	1183.45	693.58
HDAC10	915.51	204.07	1467.37	190.34	2075.59	183.82	1467.37	1216.75	0.0	258.57	309.83	361.04	1388.16	251.48	507.46	463.65	595.34	728.11	769.69	493.56	387.02	241.19	420.68	181.28	1639.59	642.59	708.18	656.11	412.0	483.38	896.64	842.36	147.06	2224.63	1167.14	961.07	802.41
INSL3	130.6	0.0	42.71	2.34	51.35	0.0	9.06	48.52	0.0	6.46	0.8	5.02	14.89	0.27	14.35	17.38	4.86	5.68	3.14	25.54	0.84	1.17	0.6	2.61	34.75	0.26	2.92	10.39	4.82	3.86	8.45	1.81	5.32	224.97	57.89	141.02	406.31
IRF3	3395.89	514.56	3589.58	791.35	3589.58	603.67	2855.44	3124.78	1685.71	819.3	890.44	1037.29	2209.26	808.0	967.76	1268.46	1340.84	1407.55	1832.01	1304.15	1096.5	921.88	1242.34	780.44	2573.36	2178.83	1605.83	1651.0	941.27	1572.76	1697.45	2047.0	1135.2	5479.15	2645.74	2224.63	3639.7
ITGB7	1457.23	18.7	3303.0	218.79	1936.53	70.01	447.82	753.83	0.0	131.51	88.26	120.94	624.99	53.95	140.04	76.17	295.11	223.41	137.14	346.29	92.7	89.51	106.63	47.84	1519.15	142.01	176.29	234.57	127.0	96.01	170.25	297.17	42.41	1457.23	660.68	1030.12	591.22
KLHL17	214.27	30.34	559.28	24.28	389.72	23.76	435.55	341.51	0.0	23.42	34.75	44.25	172.65	37.59	96.01	89.51	117.6	115.16	86.43	87.65	52.82	66.65	88.26	38.4	173.85	95.34	115.16	206.94	54.33	93.35	137.14	161.02	21.63	543.96	432.53	303.44	229.72
KRT72	49.91	0.0	277.2	0.0	6.73	0.0	13.72	5.15	0.0	0.23	0.0	1.14	0.92	0.24	0.0	2.89	5.77	0.47	0.51	0.31	0.42	0.79	1.2	0.69	3.17	0.77	2.76	2.14	0.89	1.43	0.62	1.48	3.96	234.57	8.51	74.06	17.9
LAT	3146.52	10.71	4181.07	16.03	995.0	24.28	921.88	988.12	0.0	389.72	82.29	327.56	1088.92	118.43	242.88	262.2	305.55	348.71	567.1	486.75	332.14	206.94	215.77	171.45	1832.01	269.6	432.53	532.74	327.56	253.23	387.02	514.56	85.82	3665.02	819.3	1498.22	1498.22
LCK	2816.11	9.41	1313.23	43.63	785.88	4.13	679.29	624.99	0.0	49.21	50.27	94.01	633.73	58.71	94.01	215.77	256.78	356.05	178.77	379.04	123.5	129.69	73.54	68.55	3564.78	255.0	169.07	299.25	119.26	98.04	316.37	301.33	74.06	3443.31	688.78	1832.01	1407.55
LRCH4	2915.45	363.56	3372.43	454.09	2255.7	176.29	3018.3	2627.46	0.0	551.56	813.63	780.44	1896.65	764.36	1175.27	733.19	995.0	1721.16	1350.18	1378.57	733.19	669.92	1199.98	679.29	4038.61	2163.77	1977.24	1340.84	1250.98	1709.26	2047.0	981.29	336.79	5441.3	2209.26	2351.53	2758.13
LRMP	2119.22	17.64	1001.93	60.39	3060.45	28.04	265.87	381.68	0.0	103.69	42.71	44.57	295.11	44.89	144.01	57.49	249.73	260.38	119.26	99.43	127.89	80.01	101.54	57.89	651.58	363.56	249.73	133.36	75.11	244.57	92.7	155.5	39.79	4802.93	363.56	785.88	665.29
MAN2C1	2855.44	348.71	5791.62	575.03	7382.04	521.76	5872.48	5633.22	0.0	896.64	1794.29	718.08	3716.2	1628.26	2075.59	1001.93	1111.82	1304.15	3060.45	1757.34	1909.85	934.76	1487.87	928.3	4869.99	2609.3	2816.11	1233.75	1508.65	2119.22	3467.27	1896.65	665.29	4769.75	4903.87	3146.52	3467.27
MAPK8IP3	1119.56	62.12	2384.37	90.77	3982.99	35.25	1594.73	1551.09	0.0	229.72	193.01	63.89	808.0	255.0	497.0	98.73	271.48	612.11	301.33	441.64	157.68	138.1	514.56	151.22	1870.53	981.29	836.53	518.15	193.01	543.96	941.27	567.1	101.54	3018.3	1551.09	2209.26	1617.0
MSS51	48.18	4.5	94.01	4.74	94.01	5.02	81.14	52.08	0.0	10.08	8.78	12.83	31.0	4.03	15.68	24.28	12.93	13.93	26.28	12.93	24.81	13.93	8.51	16.15	60.82	36.27	34.26	15.0	6.94	13.52	29.48	20.86	4.78	96.01	43.63	65.72	100.83
MTRF1	295.11	92.05	265.87	139.07	426.57	134.3	236.21	191.67	0.0	82.29	85.82	107.38	214.27	75.11	153.34	135.24	134.3	217.27	183.82	124.37	169.07	128.79	114.36	167.9	166.73	91.41	182.55	144.01	83.45	112.77	186.4	155.5	44.25	397.93	186.4	312.0	536.45
NAA16	334.46	98.73	346.29	93.35	348.71	58.71	348.71	255.0	176.29	99.43	102.97	127.89	195.72	145.02	138.1	154.42	111.21	127.89	153.34	151.22	159.9	149.12	153.34	248.0	320.8	242.88	265.87	156.59	108.9	246.28	186.4	142.01	135.24	366.09	323.03	579.04	447.82
NFKBID	450.94	17.38	679.29	42.11	884.29	16.27	511.0	473.41	0.0	239.52	124.37	152.28	703.28	166.73	271.48	121.79	406.31	206.94	123.5	176.29	120.94	102.97	185.11	80.01	497.0	283.05	180.02	172.65	166.73	172.65	178.77	1030.12	54.33	1378.57	414.87	395.18	698.41
NPFF	77.79	5.92	287.01	4.43	150.17	11.73	85.82	147.06	0.0	53.95	19.82	68.07	51.71	22.43	50.63	84.04	47.17	12.27	47.84	53.19	20.71	27.84	48.52	34.26	101.54	21.32	33.3	47.17	28.04	40.07	30.56	68.55	37.32	215.77	95.34	30.78	66.18
NPIPB11	41.52	3.56	144.01	3.79	214.27	2.41	56.28	51.35	0.0	8.25	1.2	3.63	17.64	3.79	5.87	10.0	11.38	10.71	55.49	8.65	8.06	5.63	8.38	5.32	28.24	9.56	11.64	22.43	7.57	5.87	21.16	15.56	2.92	197.09	61.68	123.5	135.24
NPIPB3	3515.68	348.71	5292.48	158.79	9279.58	152.28	3515.68	3325.99	0.0	543.96	258.57	409.15	1397.83	348.71	463.65	624.99	656.11	703.28	954.43	514.56	507.46	511.0	346.29	403.5	4181.07	1242.34	830.75	1127.35	728.11	723.08	1781.89	1508.65	466.88	7180.15	2895.31	3901.01	3847.29
NPIPB4	2319.15	173.85	3515.68	134.3	5831.91	35.5	1697.45	1950.0	0.0	669.92	198.47	195.72	961.07	260.38	547.75	197.09	595.34	486.75	189.02	466.88	234.57	323.03	379.04	221.86	2627.46	518.15	473.41	748.61	463.65	395.18	928.3	1487.87	287.01	4450.27	1832.01	4869.99	4512.4
OGT	3060.45	532.74	3039.3	473.41	4038.61	154.42	2976.74	2303.12	0.0	587.13	665.29	285.03	1963.57	563.18	796.86	368.65	728.11	1467.37	854.13	514.56	1378.57	708.18	791.35	638.15	2287.2	2758.13	1127.35	884.29	412.0	1008.9	902.89	1313.23	466.88	3081.75	2664.15	4704.07	2701.35
PARP15	1175.27	2.16	518.15	2.71	1313.23	5.96	299.25	373.81	0.0	52.08	118.43	74.58	368.65	18.56	109.66	87.03	165.57	318.57	134.3	104.42	217.27	107.38	87.03	78.89	2335.28	397.93	339.14	163.28	75.11	81.71	356.05	94.01	12.36	1529.73	507.46	1051.79	713.11
PBX4	283.05	3.99	217.27	13.42	281.09	0.17	348.71	264.03	0.0	60.39	31.22	36.01	64.34	39.79	63.89	61.68	35.25	140.04	147.06	189.02	33.54	43.63	36.79	40.36	1259.69	52.82	110.43	100.13	43.32	116.78	155.5	51.35	24.81	551.56	358.54	669.92	429.54
PCSK7	1508.65	392.44	3564.78	348.71	2090.03	177.53	1427.22	1508.65	295.11	890.44	629.35	500.46	759.08	813.63	575.03	536.45	629.35	802.41	529.06	1104.13	473.41	470.14	723.08	579.04	4123.49	808.0	866.07	842.36	529.06	571.05	780.44	738.29	435.55	2682.69	1477.58	1781.89	1936.53
PIDD	373.81	64.8	669.92	48.52	642.59	93.35	532.74	514.56	0.0	44.25	125.24	67.12	351.14	116.78	156.59	150.17	120.1	198.47	223.41	152.28	104.42	66.18	170.25	147.06	511.0	271.48	376.41	237.86	90.77	242.88	392.44	279.14	24.99	1051.79	447.82	463.65	518.15
PILRB	3235.01	104.42	2895.31	309.83	3235.01	559.28	2664.15	1583.71	0.0	242.88	346.29	536.45	698.41	205.5	698.41	591.22	460.44	540.19	813.63	358.54	981.29	371.22	947.83	236.21	2777.33	638.15	1397.83	1447.15	255.0	555.41	1733.13	703.28	316.37	4607.24	1540.37	1819.35	2367.9
PLCB2	1508.65	45.85	1639.59	54.72	2875.3	59.55	2739.08	1447.15	0.0	332.14	400.71	376.41	4152.18	127.0	647.07	412.0	2148.82	656.11	2090.03	967.76	1417.35	214.27	698.41	490.14	3515.68	684.02	780.44	813.63	866.07	480.04	1508.65	1427.22	262.2	2976.74	1322.37	1216.75	819.3
PNISR	4388.98	460.44	6471.02	397.93	4152.18	173.85	2976.74	2090.03	775.05	358.54	656.11	392.44	1594.73	551.56	872.1	836.53	1143.1	1304.15	1135.2	529.06	1066.48	842.36	836.53	1208.34	2075.59	2485.67	1159.07	802.41	647.07	1059.11	961.07	878.17	400.71	3589.58	2627.46	3372.43	3564.78
POLG	1104.13	547.75	1457.23	587.13	1561.89	318.57	1135.2	1051.79	0.0	665.29	414.87	669.92	974.5	591.22	674.59	836.53	688.78	848.22	836.53	808.0	802.41	579.04	713.11	808.0	1259.69	718.08	1111.82	866.07	785.88	616.37	1119.56	1216.75	607.87	1844.76	1313.23	1359.57	1733.13
PPP6R1	1857.6	473.41	1685.71	660.68	1030.12	423.61	1023.0	1008.9	490.14	941.27	629.35	514.56	1104.13	836.53	921.88	679.29	1073.91	708.18	651.58	1572.76	583.07	647.07	642.59	521.76	2645.74	967.76	934.76	1242.34	961.07	665.29	1143.1	1551.09	961.07	2895.31	1073.91	2193.99	1977.24
