	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
ATF7IP	417.77	381.68	58.71	111.99	169.07	397.93	409.15	117.6	493.56	45.53	139.07	171.45	156.59	336.79	493.56	194.36	438.59	108.14	187.71	426.57	215.77	175.07	403.5	248.0	108.9	173.85	420.68	111.99	102.97	131.51	135.24	309.83	283.05	173.85	189.02	126.12	307.69	543.96	116.78	180.02	218.79	189.02	183.82	255.0	82.29	256.78	122.64	295.11	119.26	253.23	226.54	69.03	85.22	480.04	521.76	108.9	100.13	332.14	170.25	60.82	136.19	145.02	94.01	92.05	169.07	115.97	376.41	236.21	329.84	220.32	297.17	381.68	157.68	106.63	141.02	395.18	167.9	178.77	136.19	147.06	157.68	460.44	305.55	100.83	148.09	193.01	371.22	88.88	197.09	368.65	182.55	149.12	334.46	384.34	77.79	121.79	111.99	305.55	181.28	127.0	138.1	110.43	90.14	165.57	115.16	249.73	113.56	108.14	327.56	307.69	171.45	323.03	381.68	197.09	133.36
ATRX	536.45	511.0	109.66	195.72	267.73	503.95	642.59	229.72	603.67	121.79	224.97	251.48	256.78	579.04	571.05	277.2	559.28	176.29	325.29	457.25	299.25	358.54	518.15	429.54	214.27	205.5	693.58	255.0	157.68	241.19	231.32	420.68	353.59	273.37	246.28	260.38	297.17	616.37	206.94	223.41	486.75	312.0	223.41	507.46	253.23	486.75	180.02	444.72	177.53	323.03	343.89	98.04	115.97	563.18	620.67	256.78	139.07	432.53	258.57	134.3	314.17	258.57	193.01	190.34	267.73	186.4	426.57	376.41	463.65	387.02	356.05	376.41	253.23	176.29	208.38	511.0	325.29	220.32	237.86	234.57	323.03	603.67	500.46	165.57	271.48	332.14	507.46	122.64	275.28	521.76	256.78	267.73	420.68	493.56	162.14	226.54	215.77	392.44	217.27	142.01	205.5	191.67	197.09	253.23	211.31	323.03	191.67	198.47	463.65	287.01	285.03	358.54	547.75	334.46	197.09
BCL9L	547.75	563.18	92.05	366.09	295.11	764.36	540.19	244.57	642.59	156.59	166.73	239.52	202.66	559.28	796.86	400.71	808.0	208.38	392.44	503.95	500.46	483.38	395.18	674.59	214.27	409.15	764.36	241.19	246.28	239.52	476.71	563.18	406.31	356.05	435.55	497.0	346.29	483.38	189.02	249.73	371.22	318.57	251.48	563.18	193.01	575.03	202.66	450.94	277.2	500.46	309.83	166.73	136.19	679.29	769.69	343.89	164.42	518.15	159.9	167.9	358.54	226.54	170.25	228.13	185.11	237.86	511.0	708.18	346.29	395.18	480.04	463.65	273.37	172.65	336.79	525.39	665.29	309.83	183.82	368.65	123.5	669.92	521.76	191.67	529.06	417.77	753.83	199.85	314.17	473.41	316.37	285.03	521.76	638.15	171.45	255.0	239.52	480.04	387.02	142.01	193.01	283.05	232.94	389.72	136.19	371.22	287.01	236.21	738.29	521.76	414.87	563.18	638.15	318.57	220.32
BIVM-ERCC5	108.14	85.82	0.0	0.0	38.95	85.82	85.22	35.5	108.9	0.0	0.0	7.34	11.91	77.79	120.1	47.17	102.97	5.02	42.41	59.13	38.4	60.39	73.54	68.55	0.0	45.85	116.78	37.32	0.0	21.63	7.82	81.14	26.47	21.94	0.0	52.45	46.5	129.69	8.78	0.0	50.98	41.22	23.93	101.54	0.0	85.82	4.17	54.33	5.73	41.22	31.9	0.0	0.0	96.68	81.71	22.75	0.0	94.67	0.0	0.0	27.64	37.32	7.34	0.0	1.22	13.72	75.64	21.78	70.01	37.32	52.82	16.51	29.91	0.0	6.46	88.88	51.71	22.92	0.0	16.15	10.08	106.63	49.56	0.0	17.51	31.22	105.89	0.0	21.78	107.38	28.04	0.0	52.45	111.99	2.73	0.0	0.0	73.54	1.99	3.5	7.4	3.89	0.0	42.71	19.97	13.62	0.0	3.63	63.89	38.67	0.0	65.72	69.03	16.39	1.71
BTBD7	295.11	285.03	128.79	155.5	185.11	371.22	327.56	170.25	373.81	148.09	195.72	161.02	209.84	303.44	341.51	177.53	329.84	208.38	220.32	363.56	221.86	256.78	325.29	260.38	171.45	209.84	387.02	195.72	122.64	206.94	166.73	327.56	191.67	194.36	187.71	209.84	214.27	307.69	150.17	234.57	267.73	209.84	199.85	220.32	178.77	301.33	108.14	307.69	176.29	275.28	191.67	115.97	110.43	332.14	384.34	189.02	139.07	256.78	181.28	158.79	248.0	167.9	170.25	180.02	211.31	237.86	314.17	262.2	314.17	251.48	244.57	218.79	176.29	164.42	163.28	283.05	248.0	182.55	152.28	226.54	170.25	376.41	343.89	169.07	209.84	234.57	327.56	144.01	195.72	363.56	177.53	187.71	256.78	256.78	190.34	186.4	132.44	289.02	208.38	130.6	183.82	265.87	209.84	229.72	159.9	256.78	167.9	165.57	289.02	262.2	197.09	303.44	301.33	208.38	166.73
BTBD8	28.24	34.02	0.77	11.64	10.79	32.59	28.65	4.74	40.93	2.78	6.46	8.06	12.45	36.79	37.05	12.64	39.22	5.96	12.45	26.47	12.27	18.84	30.56	15.11	2.97	14.35	40.93	3.92	1.41	14.24	11.04	16.03	17.77	14.56	7.82	11.13	17.9	13.32	7.06	4.28	15.8	11.3	14.35	57.49	1.43	13.72	5.59	23.25	7.51	12.27	8.65	1.53	1.08	41.81	29.06	13.12	2.84	32.82	5.68	2.25	17.13	9.34	6.11	2.27	9.78	4.06	26.1	16.51	24.81	9.85	17.64	20.11	7.17	2.1	10.0	40.36	12.74	12.09	7.57	10.0	7.57	29.7	32.13	3.14	13.52	11.82	28.45	1.39	9.56	28.04	11.64	4.7	27.25	25.35	3.03	4.21	4.46	26.67	13.72	2.66	5.19	5.92	7.34	14.03	6.94	12.27	6.73	3.96	21.63	28.04	7.17	29.7	32.36	11.47	2.86
BTBD9	185.11	211.31	100.83	94.67	161.02	262.2	214.27	149.12	277.2	99.43	127.89	100.13	91.41	265.87	307.69	129.69	289.02	122.64	187.71	197.09	158.79	139.07	325.29	214.27	90.14	128.79	256.78	133.36	86.43	115.16	139.07	205.5	151.22	124.37	109.66	108.14	154.42	332.14	78.89	171.45	108.9	120.94	105.15	208.38	103.69	195.72	113.56	208.38	114.36	134.3	164.42	70.51	96.01	255.0	307.69	153.34	76.71	260.38	125.24	124.37	170.25	164.42	133.36	122.64	87.03	107.38	209.84	201.25	265.87	186.4	223.41	197.09	149.12	115.16	150.17	248.0	182.55	151.22	94.01	197.09	87.65	279.14	236.21	120.94	195.72	163.28	267.73	102.97	135.24	260.38	180.02	96.01	178.77	221.86	105.89	128.79	127.89	191.67	152.28	88.26	80.57	136.19	125.24	125.24	110.43	173.85	117.6	131.51	158.79	147.06	120.1	218.79	228.13	84.04	108.14
C11orf30	318.57	348.71	111.21	143.01	194.36	356.05	346.29	201.25	381.68	206.94	166.73	158.79	269.6	316.37	389.72	209.84	339.14	218.79	220.32	417.77	239.52	258.57	400.71	249.73	166.73	172.65	297.17	239.52	162.14	229.72	226.54	277.2	234.57	201.25	173.85	209.84	295.11	409.15	249.73	175.07	346.29	271.48	206.94	325.29	158.79	297.17	165.57	314.17	231.32	269.6	299.25	111.99	117.6	409.15	336.79	400.71	108.14	312.0	197.09	161.02	206.94	223.41	239.52	162.14	187.71	176.29	320.8	291.04	283.05	267.73	297.17	379.04	316.37	187.71	169.07	493.56	285.03	191.67	178.77	209.84	154.42	332.14	323.03	120.94	232.94	206.94	303.44	131.51	239.52	258.57	271.48	205.5	246.28	297.17	152.28	202.66	185.11	316.37	239.52	173.85	193.01	231.32	237.86	231.32	193.01	189.02	198.47	162.14	228.13	287.01	154.42	239.52	265.87	175.07	134.3
CEP78	149.12	127.0	86.43	111.99	107.38	167.9	201.25	69.03	191.67	87.65	87.03	120.1	81.14	201.25	185.11	88.26	161.02	108.9	120.1	215.77	108.14	130.6	211.31	141.02	67.12	86.43	176.29	109.66	96.01	94.67	98.04	151.22	84.63	100.83	90.77	148.09	132.44	154.42	39.22	85.22	154.42	90.14	117.6	119.26	112.77	170.25	137.14	137.14	85.22	134.3	198.47	94.67	81.71	110.43	248.0	103.69	96.68	190.34	91.41	68.55	153.34	128.79	128.79	126.12	76.17	76.17	158.79	120.1	187.71	148.09	143.01	318.57	142.01	84.04	95.34	118.43	162.14	100.13	83.45	127.0	116.78	145.02	178.77	107.38	98.04	105.15	145.02	89.51	114.36	159.9	122.64	102.25	130.6	199.85	90.14	101.54	105.89	142.01	97.36	98.73	81.71	127.0	104.42	133.36	105.15	123.5	111.21	118.43	133.36	102.97	107.38	124.37	151.22	116.78	108.14
CLPX	769.69	748.61	275.28	384.34	441.64	718.08	642.59	414.87	684.02	368.65	332.14	647.07	532.74	612.11	713.11	403.5	743.43	307.69	454.09	633.73	454.09	607.87	780.44	493.56	325.29	414.87	703.28	417.77	432.53	435.55	379.04	647.07	435.55	514.56	275.28	435.55	540.19	802.41	470.14	351.14	698.41	571.05	463.65	733.19	409.15	642.59	341.51	559.28	387.02	493.56	441.64	265.87	289.02	854.13	633.73	547.75	366.09	376.41	555.41	368.65	514.56	454.09	373.81	363.56	373.81	334.46	669.92	473.41	571.05	521.76	579.04	567.1	460.44	312.0	417.77	759.08	713.11	320.8	348.71	379.04	591.22	785.88	555.41	395.18	426.57	507.46	612.11	312.0	525.39	647.07	497.0	356.05	514.56	633.73	312.0	392.44	497.0	624.99	441.64	277.2	363.56	376.41	423.61	384.34	318.57	426.57	420.68	409.15	466.88	493.56	246.28	476.71	529.06	392.44	309.83
COL4A3BP	660.68	684.02	301.33	320.8	441.64	703.28	536.45	466.88	753.83	150.17	341.51	142.01	387.02	780.44	698.41	450.94	785.88	291.04	688.78	518.15	480.04	457.25	748.61	555.41	473.41	429.54	698.41	228.13	169.07	351.14	351.14	521.76	591.22	463.65	409.15	236.21	514.56	665.29	373.81	511.0	563.18	486.75	583.07	633.73	616.37	607.87	346.29	819.3	301.33	500.46	595.34	237.86	289.02	738.29	642.59	587.13	269.6	547.75	314.17	177.53	493.56	432.53	466.88	353.59	397.93	356.05	713.11	454.09	642.59	503.95	693.58	206.94	409.15	329.84	307.69	738.29	525.39	543.96	438.59	265.87	409.15	733.19	698.41	323.03	392.44	624.99	698.41	211.31	470.14	733.19	269.6	444.72	791.35	753.83	218.79	255.0	256.78	656.11	432.53	500.46	392.44	414.87	400.71	450.94	392.44	587.13	361.04	353.59	511.0	483.38	366.09	669.92	693.58	500.46	343.89
CPD	1111.82	854.13	277.2	295.11	684.02	1119.56	921.88	493.56	1572.76	169.07	551.56	336.79	830.75	1268.46	1175.27	414.87	1023.0	281.09	529.06	842.36	674.59	599.49	1359.57	836.53	305.55	432.53	1081.39	353.59	314.17	376.41	279.14	813.63	514.56	417.77	490.14	775.05	698.41	842.36	371.22	567.1	514.56	444.72	555.41	559.28	423.61	1167.14	540.19	848.22	307.69	293.07	334.46	181.28	309.83	688.78	1216.75	389.72	376.41	780.44	567.1	279.14	693.58	483.38	353.59	366.09	316.37	371.22	1143.1	708.18	954.43	941.27	743.43	521.76	612.11	457.25	438.59	866.07	684.02	361.04	397.93	387.02	848.22	1304.15	748.61	314.17	438.59	688.78	1001.93	244.57	540.19	1487.87	563.18	412.0	693.58	884.29	287.01	518.15	603.67	915.51	366.09	269.6	343.89	358.54	358.54	346.29	400.71	764.36	500.46	397.93	616.37	571.05	406.31	620.67	808.0	409.15	444.72
CREB1	486.75	603.67	143.01	178.77	305.55	507.46	555.41	246.28	612.11	135.24	198.47	277.2	299.25	612.11	693.58	291.04	713.11	206.94	287.01	490.14	318.57	309.83	620.67	507.46	156.59	258.57	616.37	251.48	248.0	236.21	229.72	397.93	423.61	275.28	258.57	293.07	332.14	656.11	190.34	214.27	447.82	312.0	314.17	525.39	223.41	503.95	208.38	567.1	237.86	289.02	371.22	115.16	143.01	718.08	642.59	295.11	123.5	555.41	212.78	183.82	366.09	251.48	189.02	159.9	260.38	182.55	493.56	368.65	387.02	356.05	500.46	371.22	320.8	158.79	239.52	551.56	339.14	285.03	249.73	291.04	281.09	633.73	447.82	206.94	275.28	271.48	555.41	144.01	334.46	435.55	164.42	221.86	429.54	591.22	149.12	206.94	169.07	438.59	239.52	211.31	241.19	214.27	185.11	265.87	182.55	387.02	202.66	170.25	426.57	470.14	273.37	476.71	555.41	358.54	228.13
CREBBP	733.19	624.99	156.59	312.0	348.71	642.59	656.11	301.33	679.29	185.11	305.55	389.72	470.14	480.04	819.3	371.22	612.11	299.25	379.04	612.11	346.29	412.0	591.22	603.67	279.14	432.53	713.11	371.22	392.44	376.41	373.81	511.0	336.79	395.18	423.61	387.02	429.54	764.36	275.28	325.29	532.74	417.77	429.54	476.71	224.97	514.56	226.54	454.09	361.04	591.22	500.46	197.09	212.78	698.41	738.29	283.05	180.02	642.59	373.81	265.87	403.5	368.65	289.02	275.28	334.46	318.57	693.58	567.1	476.71	454.09	417.77	454.09	366.09	229.72	351.14	684.02	476.71	358.54	339.14	387.02	241.19	536.45	497.0	287.01	429.54	447.82	587.13	255.0	291.04	500.46	426.57	381.68	480.04	547.75	305.55	312.0	334.46	500.46	376.41	217.27	348.71	406.31	341.51	493.56	269.6	384.34	269.6	293.07	616.37	420.68	426.57	511.0	612.11	329.84	251.48
CSNK1G1	123.5	120.1	48.87	78.89	75.64	178.77	120.94	59.97	161.02	58.3	69.03	70.01	78.34	143.01	166.73	80.57	167.9	66.18	79.45	114.36	85.82	102.25	175.07	111.99	51.71	73.03	155.5	71.5	72.01	71.0	90.14	135.24	98.04	76.17	71.5	85.22	98.04	137.14	64.8	82.87	111.99	74.58	78.89	111.99	65.72	111.99	65.26	129.69	64.8	69.03	86.43	59.55	51.71	181.28	158.79	88.26	58.3	110.43	69.03	72.52	90.77	83.45	71.5	58.71	61.25	70.01	152.28	99.43	135.24	111.21	117.6	120.94	84.63	55.1	68.07	135.24	130.6	70.01	69.03	88.26	66.18	129.69	106.63	77.25	82.29	94.01	135.24	60.39	83.45	129.69	58.3	61.25	116.78	155.5	56.28	56.68	72.52	116.78	94.67	61.68	64.8	67.12	80.57	94.67	49.91	88.88	69.52	67.12	100.13	93.35	64.8	95.34	119.26	78.89	60.82
CSNK2A1	1183.45	1199.98	532.74	651.58	954.43	1605.83	1208.34	723.08	1498.22	551.56	638.15	866.07	688.78	1001.93	1437.15	825.0	1208.34	633.73	884.29	1295.13	1037.29	995.0	1498.22	1208.34	684.02	808.0	1487.87	909.17	551.56	684.02	599.49	1159.07	934.76	796.86	733.19	848.22	866.07	1628.26	612.11	854.13	1127.35	808.0	753.83	1225.22	642.59	1216.75	890.44	1151.06	688.78	819.3	813.63	603.67	536.45	1417.35	1322.37	780.44	571.05	1023.0	825.0	470.14	884.29	947.83	738.29	571.05	728.11	748.61	1111.82	934.76	1096.5	934.76	547.75	1015.93	1015.93	684.02	796.86	1295.13	2520.38	624.99	679.29	769.69	884.29	1583.71	947.83	660.68	915.51	813.63	1119.56	567.1	890.44	1159.07	896.64	723.08	909.17	1313.23	543.96	775.05	896.64	1066.48	775.05	583.07	555.41	620.67	665.29	854.13	599.49	780.44	733.19	718.08	947.83	890.44	688.78	941.27	1127.35	796.86	728.11
CSNK2A3	30.56	14.35	3.23	7.06	10.24	38.67	24.28	11.3	25.35	2.76	4.24	9.85	12.64	34.02	54.72	8.19	24.81	6.62	23.25	24.81	27.64	12.55	43.63	9.41	4.5	14.35	40.93	6.26	4.35	11.13	8.85	14.35	10.24	11.04	6.06	14.45	35.76	42.71	9.56	4.9	19.39	13.93	5.15	26.1	11.04	33.54	10.63	7.75	6.78	6.78	9.85	4.13	3.92	28.65	15.34	12.55	3.82	18.29	13.22	3.69	12.93	10.16	11.3	4.58	2.92	10.96	16.88	14.45	36.27	20.41	8.25	17.0	7.94	5.02	6.73	18.56	60.39	4.1	7.46	9.7	9.78	39.5	23.93	6.67	5.92	20.11	29.7	10.79	7.69	30.78	13.22	6.89	20.71	39.5	0.65	3.38	10.71	30.78	6.01	3.29	3.99	2.56	5.73	15.34	7.4	10.79	6.21	9.7	16.75	14.89	7.82	29.7	24.11	5.87	5.11
CTDSPL2	368.65	346.29	87.03	129.69	193.01	406.31	503.95	135.24	450.94	90.77	149.12	172.65	144.01	387.02	473.41	181.28	366.09	138.1	178.77	295.11	190.34	264.03	368.65	316.37	131.51	159.9	476.71	191.67	88.26	155.5	136.19	273.37	189.02	151.22	166.73	153.34	185.11	406.31	121.79	148.09	295.11	193.01	151.22	316.37	136.19	325.29	130.6	258.57	149.12	228.13	159.9	87.65	73.03	348.71	414.87	180.02	122.64	316.37	173.85	107.38	229.72	157.68	133.36	132.44	158.79	87.03	339.14	217.27	327.56	229.72	251.48	314.17	143.01	113.56	118.43	406.31	231.32	120.1	137.14	178.77	183.82	444.72	316.37	99.43	189.02	194.36	325.29	104.42	177.53	392.44	164.42	154.42	249.73	400.71	126.12	148.09	151.22	255.0	161.02	92.05	153.34	162.14	138.1	170.25	124.37	198.47	125.24	135.24	281.09	312.0	169.07	262.2	392.44	241.19	170.25
CTR9	620.67	525.39	334.46	409.15	529.06	563.18	629.35	389.72	665.29	289.02	426.57	366.09	486.75	674.59	698.41	483.38	656.11	366.09	466.88	591.22	555.41	599.49	629.35	620.67	387.02	463.65	674.59	400.71	295.11	397.93	312.0	555.41	518.15	409.15	417.77	507.46	463.65	532.74	301.33	426.57	624.99	457.25	435.55	567.1	381.68	532.74	406.31	579.04	346.29	444.72	397.93	226.54	287.01	674.59	665.29	444.72	301.33	575.03	351.14	373.81	575.03	511.0	457.25	341.51	444.72	327.56	563.18	470.14	603.67	529.06	518.15	563.18	435.55	371.22	356.05	796.86	563.18	363.56	368.65	400.71	503.95	713.11	567.1	358.54	441.64	486.75	571.05	339.14	444.72	555.41	403.5	412.0	543.96	616.37	299.25	406.31	507.46	571.05	412.0	371.22	341.51	320.8	414.87	376.41	387.02	480.04	441.64	426.57	543.96	457.25	392.44	567.1	525.39	441.64	400.71
DAAM1	583.07	723.08	150.17	371.22	514.56	819.3	713.11	336.79	1015.93	166.73	271.48	305.55	318.57	808.0	866.07	460.44	954.43	323.03	486.75	575.03	591.22	529.06	830.75	620.67	305.55	348.71	872.1	397.93	209.84	371.22	406.31	638.15	521.76	389.72	371.22	400.71	514.56	995.0	253.23	339.14	738.29	540.19	493.56	1001.93	320.8	808.0	253.23	633.73	305.55	525.39	361.04	234.57	198.47	854.13	753.83	480.04	205.5	591.22	329.84	231.32	507.46	571.05	260.38	271.48	373.81	323.03	796.86	540.19	769.69	511.0	718.08	665.29	366.09	262.2	279.14	860.08	669.92	341.51	291.04	414.87	351.14	819.3	791.35	246.28	629.35	559.28	693.58	248.0	483.38	748.61	463.65	395.18	603.67	802.41	251.48	368.65	327.56	603.67	486.75	332.14	318.57	299.25	348.71	361.04	332.14	438.59	299.25	275.28	595.34	559.28	397.93	688.78	723.08	389.72	314.17
DCAF16	503.95	460.44	178.77	231.32	309.83	651.58	583.07	312.0	450.94	239.52	361.04	346.29	358.54	414.87	579.04	287.01	532.74	287.01	361.04	397.93	417.77	420.68	616.37	518.15	287.01	307.69	651.58	521.76	150.17	318.57	239.52	507.46	373.81	299.25	269.6	323.03	343.89	409.15	277.2	285.03	426.57	376.41	283.05	457.25	318.57	423.61	293.07	400.71	356.05	507.46	368.65	587.13	165.57	567.1	473.41	271.48	197.09	371.22	320.8	318.57	363.56	392.44	253.23	265.87	329.84	273.37	500.46	400.71	356.05	447.82	432.53	493.56	348.71	305.55	307.69	543.96	656.11	291.04	285.03	307.69	414.87	435.55	414.87	289.02	476.71	384.34	551.56	173.85	361.04	483.38	591.22	299.25	406.31	567.1	231.32	265.87	314.17	417.77	265.87	164.42	299.25	264.03	283.05	366.09	264.03	403.5	307.69	305.55	420.68	395.18	283.05	429.54	435.55	325.29	241.19
DCAF7	1001.93	1183.45	642.59	629.35	974.5	1104.13	1081.39	785.88	1340.84	802.41	738.29	785.88	703.28	1167.14	1457.23	713.11	1447.15	769.69	769.69	1044.52	848.22	1023.0	1697.45	1199.98	642.59	796.86	1111.82	802.41	547.75	743.43	669.92	988.12	981.29	612.11	738.29	775.05	819.3	1023.0	612.11	974.5	1059.11	703.28	775.05	1008.9	583.07	1304.15	974.5	1143.1	642.59	921.88	629.35	483.38	551.56	1397.83	1427.22	728.11	420.68	1127.35	780.44	656.11	961.07	884.29	928.3	595.34	599.49	603.67	1175.27	915.51	1096.5	1268.46	1073.91	1066.48	620.67	974.5	713.11	1498.22	1127.35	500.46	595.34	854.13	599.49	1208.34	819.3	543.96	651.58	921.88	1369.04	547.75	1008.9	1088.92	842.36	656.11	890.44	1096.5	555.41	669.92	915.51	967.76	656.11	555.41	547.75	674.59	571.05	698.41	624.99	1081.39	698.41	738.29	915.51	813.63	679.29	941.27	974.5	603.67	656.11
DCP1A	269.6	273.37	96.01	134.3	153.34	283.05	320.8	119.26	267.73	94.01	117.6	167.9	204.07	236.21	312.0	127.89	283.05	145.02	201.25	281.09	191.67	185.11	339.14	279.14	145.02	190.34	320.8	161.02	115.16	153.34	138.1	248.0	143.01	151.22	165.57	126.12	146.03	221.86	137.14	161.02	221.86	185.11	124.37	237.86	113.56	255.0	135.24	217.27	175.07	185.11	155.5	80.57	96.01	229.72	281.09	147.06	73.03	256.78	118.43	114.36	165.57	163.28	155.5	131.51	146.03	145.02	275.28	195.72	224.97	239.52	195.72	204.07	119.26	91.41	127.0	325.29	256.78	127.0	132.44	130.6	131.51	299.25	211.31	137.14	158.79	187.71	256.78	82.87	159.9	229.72	182.55	140.04	199.85	329.84	105.15	98.73	178.77	194.36	171.45	85.82	147.06	143.01	152.28	201.25	92.7	166.73	130.6	120.1	231.32	199.85	262.2	202.66	289.02	172.65	128.79
DDX52	293.07	301.33	166.73	176.29	229.72	265.87	312.0	191.67	406.31	176.29	190.34	211.31	283.05	312.0	346.29	199.85	293.07	169.07	258.57	325.29	171.45	307.69	325.29	239.52	217.27	229.72	346.29	183.82	159.9	215.77	162.14	295.11	221.86	228.13	166.73	100.83	267.73	361.04	163.28	204.07	348.71	215.77	248.0	299.25	191.67	318.57	194.36	258.57	199.85	190.34	206.94	132.44	172.65	218.79	309.83	211.31	166.73	279.14	251.48	131.51	323.03	206.94	201.25	197.09	223.41	215.77	348.71	209.84	281.09	279.14	214.27	269.6	165.57	165.57	162.14	323.03	255.0	182.55	202.66	193.01	265.87	397.93	251.48	209.84	198.47	241.19	301.33	140.04	242.88	305.55	234.57	202.66	231.32	384.34	162.14	164.42	167.9	289.02	209.84	163.28	206.94	185.11	231.32	202.66	198.47	246.28	202.66	194.36	256.78	287.01	187.71	241.19	287.01	202.66	195.72
