	TCGA.BH.A1F0.01A.11R.A137.07	TCGA.A2.A25F.01A.11R.A169.07	TCGA.AR.A1AO.01A.11R.A12P.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.B2.4098.01A.02R.1325.07	TCGA.86.8669.01A.11R.2403.07	TCGA.86.8674.01A.21R.2403.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.67.6215.01A.11R.1755.07	TCGA.62.8395.01A.11R.2326.07	TCGA.73.4677.01A.01R.1206.07	TCGA.44.7671.01A.11R.2066.07	TCGA.86.7713.01A.11R.2066.07	TCGA.55.6970.01A.11R.1949.07	TCGA.85.8355.01A.11R.2296.07	TCGA.M7.A71Z.01A.12R.A32O.07
CD53	3614.55	7280.4	5366.37	170.25	603.67	2240.11	1208.34	189.02	275.28	1073.91	860.08	878.17	441.64	500.46	1508.65	3690.52	63.89
CD68	7803.01	13681.08	23009.42	4869.99	1487.87	11909.94	3280.18	1313.23	866.07	5147.73	3060.45	3419.52	3614.55	2777.33	7230.1	14765.09	70.01
CD72	371.22	366.09	176.29	10.16	42.41	262.2	111.99	21.32	43.02	55.1	95.34	43.63	51.71	43.63	190.34	616.37	9.85
CD80	117.6	148.09	48.18	1.0	0.0	33.54	47.5	3.06	9.85	30.56	18.7	21.32	25.91	15.8	50.27	96.68	0.0
CD84	368.65	1037.29	603.67	11.55	34.26	346.29	102.25	14.78	33.06	111.99	103.69	66.65	58.71	64.34	258.57	518.15	2.68
CD86	928.3	1096.5	713.11	23.42	65.26	353.59	158.79	17.77	47.5	211.31	108.9	119.26	110.43	89.51	305.55	457.25	7.06
CDC40	466.88	420.68	283.05	190.34	253.23	293.07	241.19	89.51	150.17	226.54	151.22	305.55	226.54	204.07	283.05	476.71	111.99
CEP57L1	450.94	218.79	195.72	106.63	93.35	159.9	109.66	59.55	76.17	165.57	85.82	90.14	119.26	81.71	182.55	181.28	41.52
CLEC4A	258.57	503.95	366.09	16.75	40.93	206.94	133.36	15.56	35.5	118.43	73.54	84.63	31.9	50.27	115.97	171.45	20.26
CMKLR1	473.41	961.07	376.41	6.11	18.97	346.29	97.36	15.45	40.36	83.45	177.53	78.89	101.54	65.72	265.87	368.65	14.56
CRYBB1	32.82	29.48	59.13	4.7	6.06	35.0	8.92	0.68	1.55	18.97	14.45	12.83	14.67	5.41	22.59	24.81	0.6
CSF2RA	323.03	563.18	237.86	7.0	48.52	209.84	100.13	40.64	28.24	88.26	76.17	99.43	70.51	42.11	107.38	205.5	8.51
CTSB	28328.16	44761.41	48307.85	23169.48	28525.2	54349.29	15934.98	20593.91	11584.24	28525.2	18178.19	14262.1	19754.96	9025.81	26431.04	41188.81	1015.93
CYB5R4	587.13	684.02	521.76	303.44	226.54	587.13	194.36	136.19	128.79	395.18	143.01	301.33	264.03	208.38	559.28	571.05	62.56
CYBB	1844.76	6037.61	2400.97	37.05	91.41	1044.52	417.77	27.84	114.36	536.45	379.04	307.69	155.5	197.09	785.88	1073.91	11.82
DNAJC5B	73.54	323.03	104.42	4.17	8.45	108.9	69.52	4.94	7.82	46.18	23.42	44.57	10.88	5.41	88.88	123.5	0.0
EPM2A	90.77	71.5	75.11	25.35	47.5	102.25	28.86	13.03	21.32	30.12	27.25	53.57	46.18	17.51	56.68	70.51	36.01
EVI2A	791.35	1551.09	909.17	69.03	105.89	417.77	189.02	34.02	59.97	197.09	177.53	267.73	105.89	84.63	307.69	525.39	7.82
F13A1	1233.75	2720.15	497.0	131.51	236.21	1104.13	297.17	36.53	158.79	78.34	693.58	878.17	327.56	208.38	447.82	769.69	11.73
FBXO30	185.11	142.01	122.64	32.82	47.84	113.56	74.06	37.85	47.17	47.84	56.68	69.03	92.05	53.57	100.83	163.28	10.16
FCER1G	9088.59	10440.2	16960.78	273.37	555.41	6207.38	2119.22	429.54	595.34	3467.27	1467.37	1498.22	1250.98	1088.92	3564.78	5041.77	166.73
FCGR2B	2047.0	1447.15	2537.92	68.55	189.02	1617.0	232.94	43.63	73.03	518.15	373.81	316.37	162.14	249.73	450.94	733.19	10.16
FCGR3A	5006.93	5441.3	2193.99	42.41	52.08	3372.43	607.87	120.1	178.77	1127.35	674.59	603.67	579.04	559.28	2303.12	2104.58	33.06
FGFR1OP	447.82	414.87	325.29	205.5	134.3	312.0	281.09	156.59	127.0	269.6	126.12	232.94	189.02	166.73	271.48	273.37	95.34
FIG4	332.14	371.22	346.29	202.66	204.07	441.64	115.16	81.14	96.68	239.52	171.45	287.01	199.85	116.78	241.19	273.37	94.67
FOLR2	1088.92	1721.16	2319.15	63.89	253.23	941.27	595.34	70.01	215.77	376.41	848.22	866.07	543.96	169.07	698.41	1088.92	61.25
FPR3	2032.85	2816.11	1519.15	66.18	37.05	503.95	229.72	16.63	74.58	320.8	187.71	208.38	155.5	177.53	638.15	665.29	9.7
GNB4	1295.13	808.0	583.07	50.98	56.68	131.51	133.36	13.03	31.67	97.36	111.99	65.26	121.79	89.51	232.94	470.14	2.84
GOPC	389.72	457.25	366.09	118.43	309.83	329.84	249.73	114.36	217.27	279.14	209.84	339.14	307.69	260.38	327.56	412.0	92.05
GPR150	22.75	22.1	76.71	0.0	4.06	8.25	3.35	0.92	0.66	4.58	5.41	6.11	7.34	0.34	5.77	18.16	3.08
GPR34	473.41	470.14	417.77	26.28	68.07	336.79	88.88	5.23	33.06	80.57	147.06	108.9	49.56	36.01	166.73	220.32	14.24
HAVCR2	708.18	934.76	1159.07	8.65	48.87	2777.33	176.29	32.36	37.32	249.73	148.09	175.07	100.13	87.03	318.57	438.59	12.0
HBS1L	10585.95	1417.35	1467.37	769.69	612.11	896.64	607.87	246.28	334.46	521.76	435.55	878.17	723.08	638.15	1066.48	1023.0	438.59
HIVEP2	258.57	325.29	229.72	178.77	172.65	212.78	147.06	49.56	86.43	108.9	102.25	258.57	164.42	153.34	148.09	356.05	40.64
HS3ST2	470.14	46.18	503.95	4.78	22.1	563.18	40.36	25.54	11.04	154.42	63.0	190.34	75.64	29.06	221.86	412.0	28.04
HSF2	285.03	231.32	195.72	111.21	135.24	164.42	234.57	85.82	159.9	185.11	90.14	128.79	169.07	125.24	176.29	236.21	88.26
IFI30	16269.83	20881.4	33922.56	1350.18	599.49	8718.32	13399.51	4639.29	3146.52	8598.28	4038.61	5403.7	4802.93	3589.58	9740.98	13033.07	447.82
IGSF6	743.43	1757.34	1617.0	150.17	81.71	507.46	305.55	25.91	57.89	432.53	251.48	217.27	125.24	101.54	493.56	769.69	11.82
IL10	169.07	91.41	221.86	1.41	6.21	56.68	18.03	8.99	8.78	25.91	38.12	13.52	5.73	29.7	52.45	144.01	0.0
KMO	120.94	320.8	476.71	18.03	12.0	105.15	33.78	7.88	7.75	46.84	25.35	36.53	24.99	23.08	53.57	94.67	5.32
KRT6A	147.06	22.1	633.73	2.01760973986E9	2.41604469791E9	0.51	5.92	447.82	0.0	688.78	214.27	3280.18	8078.22	12.93	890.44	58655.36	2.73
LAIR1	1662.49	2591.27	2061.24	72.01	107.38	1331.57	543.96	94.67	106.63	603.67	483.38	303.44	253.23	232.94	769.69	1250.98	23.76
LAPTM5	9808.75	13968.57	17558.94	341.51	1030.12	6516.03	2915.45	536.45	603.67	3349.13	2193.99	2133.97	1477.58	1167.14	4181.07	7966.99	138.1
LATS1	244.57	273.37	197.09	74.06	143.01	182.55	181.28	71.5	104.42	170.25	111.21	176.29	172.65	156.59	175.07	265.87	84.04
LILRA1	55.89	32.59	58.3	3.96	2.89	62.56	20.11	1.64	2.05	10.96	15.56	12.0	4.06	10.55	20.86	40.07	1.73
LILRA6	176.29	232.94	444.72	11.73	6.16	291.04	82.29	18.16	17.51	197.09	78.89	59.13	50.63	47.84	178.77	521.76	6.73
LILRB3	177.53	191.67	320.8	11.55	10.71	325.29	173.85	36.01	48.87	173.85	77.79	81.71	32.36	61.68	152.28	414.87	11.21
LILRB5	241.19	438.59	406.31	6.52	22.43	115.16	53.95	13.32	28.45	59.13	59.55	125.24	51.71	35.76	103.69	432.53	4.58
LIPA	2855.44	5751.61	10084.54	543.96	698.41	4298.64	1250.98	368.65	796.86	1359.57	836.53	1498.22	1487.87	633.73	2935.74	5183.54	366.09
LRRC25	226.54	285.03	361.04	29.91	31.45	231.32	161.02	12.64	27.84	100.83	120.94	74.06	50.98	44.89	143.01	283.05	9.13
LY86	878.17	656.11	1757.34	51.35	107.38	603.67	144.01	25.35	40.36	277.2	151.22	156.59	102.25	44.57	208.38	470.14	13.83
MARCH1	551.56	718.08	343.89	29.7	80.01	275.28	57.49	14.14	38.4	85.82	93.35	46.5	46.84	59.55	191.67	307.69	7.57
MCM9	351.14	258.57	176.29	142.01	150.17	198.47	162.14	71.5	96.01	159.9	108.9	220.32	149.12	186.4	214.27	242.88	37.32
MED23	567.1	397.93	279.14	156.59	332.14	307.69	299.25	127.0	256.78	287.01	206.94	334.46	246.28	236.21	299.25	371.22	215.77
MGAT5	358.54	647.07	409.15	381.68	102.25	414.87	612.11	150.17	283.05	258.57	341.51	244.57	363.56	267.73	384.34	353.59	137.14
MPEG1	1183.45	2104.58	1111.82	64.34	77.79	555.41	249.73	20.86	82.87	197.09	264.03	185.11	145.02	127.0	559.28	915.51	9.85
MS4A4A	1769.57	1594.73	2502.97	18.29	111.99	1572.76	368.65	34.51	80.01	511.0	277.2	473.41	220.32	241.19	723.08	988.12	30.56
MS4A6A	4869.99	6337.83	4358.66	234.57	684.02	4239.45	1143.1	177.53	417.77	1457.23	1191.69	1286.18	483.38	503.95	2255.7	3168.41	100.13
MS4A7	1277.29	1295.13	1225.22	35.0	95.34	1059.11	279.14	32.13	92.05	616.37	339.14	312.0	283.05	189.02	825.0	1143.1	36.79
MSR1	2075.59	1519.15	2193.99	18.16	22.92	1331.57	253.23	35.5	61.68	656.11	376.41	309.83	237.86	211.31	808.0	808.0	9.7
MYO5A	454.09	521.76	392.44	78.89	11.91	232.94	110.43	35.25	31.0	109.66	125.24	64.8	111.21	88.88	164.42	320.8	42.41
NLRC4	117.6	146.03	113.56	5.02	6.84	45.85	22.43	4.24	7.06	50.27	15.8	27.25	6.94	17.38	40.64	50.27	3.14
NLRP3	155.5	144.01	115.97	7.4	17.13	91.41	47.5	7.0	13.32	24.81	41.52	59.55	35.5	19.53	37.59	108.14	1.89
NUP43	493.56	511.0	363.56	215.77	191.67	409.15	351.14	125.24	158.79	358.54	204.07	348.71	305.55	256.78	373.81	414.87	171.45
NUS1	791.35	785.88	607.87	318.57	457.25	529.06	480.04	281.09	332.14	441.64	236.21	647.07	454.09	373.81	595.34	603.67	211.31
NXPE3	248.0	348.71	183.82	7.63	20.11	178.77	151.22	18.43	37.59	79.45	59.97	65.26	78.89	96.01	130.6	473.41	21.94
OSTM1	698.41	909.17	490.14	94.67	234.57	995.0	371.22	90.77	145.02	397.93	164.42	438.59	287.01	154.42	412.0	813.63	139.07
OTOA	10.47	9.41	85.82	0.8	0.0	22.26	4.82	0.99	0.18	10.0	7.0	8.58	3.44	1.62	11.64	25.17	2.66
PIK3AP1	612.11	764.36	656.11	25.54	16.51	728.11	122.64	18.97	22.43	144.01	95.34	71.0	78.34	116.78	269.6	457.25	82.87
PKIB	1331.57	175.07	371.22	96.01	124.37	221.86	191.67	21.16	55.89	165.57	88.88	167.9	262.2	33.06	214.27	85.22	78.89
PLEK	1304.15	3325.99	2209.26	28.24	106.63	1044.52	318.57	39.5	99.43	253.23	244.57	212.78	126.12	163.28	638.15	1059.11	10.24
PLEKHO2	753.83	1583.71	1583.71	220.32	209.84	708.18	341.51	135.24	125.24	351.14	379.04	417.77	336.79	205.5	466.88	866.07	102.97
PPIL4	579.04	642.59	571.05	212.78	358.54	406.31	395.18	212.78	249.73	409.15	273.37	620.67	356.05	332.14	368.65	435.55	258.57
QRSL1	426.57	228.13	161.02	65.26	229.72	316.37	127.89	65.26	78.34	103.69	101.54	187.71	169.07	135.24	244.57	305.55	85.22
RAB42	295.11	258.57	371.22	14.03	33.78	329.84	94.67	32.82	35.25	173.85	86.43	38.12	35.0	54.33	180.02	199.85	4.98
RGS18	149.12	133.36	88.26	7.94	8.0	61.68	40.07	2.71	12.18	30.34	25.35	32.13	10.88	13.12	82.29	71.0	1.51
RNASE6	1437.15	1685.71	1909.85	76.17	289.02	1127.35	587.13	54.72	146.03	353.59	303.44	303.44	170.25	198.47	616.37	785.88	65.26
RNGTT	220.32	285.03	170.25	175.07	151.22	180.02	114.36	57.49	70.01	131.51	73.54	105.89	109.66	118.43	186.4	239.52	60.39
SCAF8	651.58	583.07	473.41	159.9	336.79	389.72	334.46	171.45	246.28	339.14	277.2	409.15	325.29	251.48	409.15	444.72	111.21
SEC63	2758.13	1508.65	1331.57	642.59	1350.18	1001.93	759.08	669.92	780.44	1498.22	708.18	1111.82	802.41	647.07	1191.69	1369.04	866.07
SIGLEC5	63.45	38.12	18.16	2.89	13.52	37.05	24.81	0.0	3.99	24.46	12.64	16.88	11.21	8.32	36.79	38.95	1.58
SIGLEC7	180.02	218.79	361.04	8.0	12.09	221.86	48.52	8.51	16.75	64.34	48.87	37.32	34.02	34.02	117.6	181.28	3.2
SIGLEC9	151.22	202.66	320.8	4.46	9.48	201.25	73.03	5.68	13.52	104.42	74.58	50.63	37.32	36.79	95.34	171.45	3.29
SIRPA	1477.58	1594.73	1991.0	429.54	414.87	1447.15	356.05	63.89	76.71	447.82	343.89	223.41	226.54	154.42	599.49	819.3	109.66
SIRPB2	162.14	356.05	206.94	4.46	16.39	137.14	84.04	12.27	9.85	96.01	64.8	38.67	43.32	20.56	106.63	143.01	0.59
SLAMF8	1119.56	2555.58	1819.35	34.02	48.52	633.73	312.0	59.55	71.0	201.25	201.25	205.5	102.97	115.16	470.14	1008.9	14.78
SLC36A1	205.5	206.94	234.57	47.84	31.67	177.53	126.12	29.48	31.0	115.97	83.45	56.68	127.0	33.3	98.73	256.78	109.66
SLC7A7	1044.52	1721.16	1350.18	12.0	60.39	595.34	341.51	47.17	108.14	353.59	291.04	253.23	332.14	122.64	473.41	693.58	8.13
SNCA	325.29	111.21	368.65	32.36	44.25	162.14	47.17	13.12	26.86	120.1	81.14	88.26	75.64	21.63	81.14	764.36	34.51
SRGN	7857.29	11112.3	8191.0	111.99	514.56	4836.35	2720.15	366.09	651.58	2178.83	1199.98	2777.33	2119.22	1388.16	3874.05	6381.92	209.84
STAB2	17.77	11.55	26.1	0.46	10.16	16.03	0.97	0.28	1.53	3.76	5.92	4.21	10.96	3.08	14.03	111.99	4.86
STX7	1268.46	1225.22	1143.1	579.04	414.87	1540.37	743.43	251.48	273.37	525.39	447.82	921.88	728.11	392.44	878.17	665.29	106.63
SUCNR1	65.26	162.14	185.11	1.22	10.08	45.85	18.29	2.68	6.89	24.11	16.15	17.77	8.13	5.87	38.67	49.56	0.3
TLR4	450.94	759.08	435.55	2.86	11.3	348.71	85.22	8.65	24.63	101.54	76.17	93.35	54.72	50.63	212.78	205.5	7.75
TLR8	124.37	470.14	122.64	0.01	4.28	71.5	31.22	1.03	5.28	33.3	19.11	16.27	8.06	15.11	71.0	123.5	0.27
TYROBP	9808.75	10296.45	33455.53	460.44	1088.92	7081.29	3614.55	753.83	769.69	4239.45	2816.11	3212.66	2032.85	1208.34	3955.48	9808.75	348.71
UBE2J1	1277.29	1313.23	866.07	460.44	540.19	708.18	995.0	406.31	406.31	656.11	457.25	624.99	444.72	514.56	941.27	848.22	555.41
ZBTB24	199.85	218.79	124.37	57.08	114.36	108.9	90.14	28.45	46.84	73.03	56.68	108.14	88.88	104.42	105.89	155.5	20.86
