	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.E9.A243.01A.21R.A169.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.55.7283.01A.11R.2039.07	TCGA.78.7536.01A.11R.2066.07	TCGA.05.4420.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.55.7815.01A.11R.2170.07	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.86.8674.01A.21R.2403.07	TCGA.78.7159.01A.11R.2039.07	TCGA.97.7938.01A.11R.2170.07	TCGA.55.8203.01A.11R.2241.07	TCGA.55.6642.01A.11R.1858.07	TCGA.55.6971.01A.11R.1949.07	TCGA.91.6849.01A.11R.1949.07	TCGA.55.6986.01A.11R.1949.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.50.5932.01A.11R.1755.07	TCGA.55.8615.01A.11R.2403.07	TCGA.NJ.A4YF.01A.12R.A262.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.05.4396.01A.21R.1858.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.73.4675.01A.01R.1206.07	TCGA.99.8032.01A.11R.2241.07	TCGA.55.7724.01A.11R.2170.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4384.01A.01R.1755.07	TCGA.73.7498.01A.12R.2187.07	TCGA.91.8497.01A.11R.2403.07	TCGA.44.8119.01A.11R.2241.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7537.01A.11R.2066.07	TCGA.99.7458.01A.11R.2039.07	TCGA.55.8508.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.55.7725.01A.11R.2170.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.69.7764.01A.11R.2170.07	TCGA.55.6970.01A.11R.1949.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WWYW.0926.SM.3NB2Z	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FH7.1726.SM.5IJE7
ABCB10	51.35	111.21	450.94	53.95	285.03	100.13	169.07	223.41	37.32	146.03	123.5	142.01	145.02	182.55	173.85	116.78	204.07	162.14	143.01	80.57	289.02	273.37	173.85	226.54	444.72	209.84	241.19	150.17	305.55	309.83	343.89	211.31	253.23	248.0	183.82	295.11	323.03	470.14	258.57	140.04	265.87	212.78	301.33	215.77	172.65	232.94	285.03	265.87	214.27	206.94	220.32	189.02	199.85	214.27	140.04	314.17	258.57	165.57	214.27	287.01	244.57	334.46	151.22	420.68	226.54	358.54	256.78	185.11	220.32	264.03	191.67
ABI1	414.87	476.71	1397.83	429.54	1304.15	329.84	1529.73	1857.6	438.59	316.37	318.57	164.42	305.55	341.51	336.79	341.51	429.54	175.07	314.17	175.07	764.36	1159.07	1044.52	934.76	1331.57	748.61	872.1	642.59	780.44	813.63	830.75	1340.84	1001.93	651.58	703.28	1015.93	890.44	1088.92	928.3	651.58	878.17	928.3	1143.1	669.92	595.34	567.1	1268.46	567.1	698.41	909.17	753.83	693.58	813.63	848.22	529.06	884.29	723.08	718.08	567.1	981.29	764.36	1191.69	503.95	1447.15	866.07	1417.35	961.07	624.99	1104.13	1143.1	890.44
ABL2	54.33	69.52	223.41	37.05	264.03	86.43	91.41	94.67	61.25	60.82	43.63	23.42	27.64	29.27	45.85	17.77	42.41	40.36	46.84	16.63	208.38	133.36	52.82	190.34	303.44	153.34	137.14	122.64	171.45	211.31	148.09	201.25	129.69	164.42	85.82	105.15	177.53	180.02	146.03	98.73	145.02	108.14	84.04	146.03	91.41	136.19	242.88	121.79	111.99	150.17	163.28	110.43	175.07	154.42	116.78	256.78	144.01	96.68	120.1	137.14	170.25	217.27	105.89	173.85	159.9	186.4	80.57	204.07	133.36	211.31	148.09
ACBD3	190.34	264.03	1757.34	297.17	1208.34	137.14	848.22	1037.29	267.73	329.84	277.2	139.07	242.88	363.56	297.17	190.34	320.8	289.02	260.38	190.34	1313.23	1322.37	486.75	1030.12	1437.15	665.29	1001.93	836.53	902.89	1651.0	1081.39	928.3	974.5	1015.93	764.36	1277.29	1617.0	1639.59	909.17	483.38	896.64	819.3	1477.58	928.3	764.36	890.44	1037.29	842.36	1119.56	796.86	703.28	612.11	878.17	753.83	759.08	1447.15	848.22	567.1	708.18	1277.29	802.41	1208.34	791.35	1037.29	1088.92	1143.1	854.13	532.74	759.08	836.53	733.19
ADSS	457.25	603.67	1832.01	368.65	1639.59	441.64	624.99	836.53	255.0	353.59	198.47	190.34	214.27	346.29	264.03	140.04	291.04	281.09	579.04	165.57	1540.37	1073.91	567.1	1066.48	1757.34	796.86	1051.79	1015.93	769.69	1651.0	1104.13	878.17	934.76	890.44	1096.5	961.07	1685.71	1844.76	753.83	1037.29	1340.84	629.35	791.35	825.0	947.83	813.63	1073.91	764.36	954.43	1015.93	995.0	669.92	921.88	974.5	764.36	1259.69	909.17	387.02	928.3	1757.34	1350.18	1508.65	1199.98	1143.1	1023.0	1662.49	785.88	808.0	438.59	1674.06	769.69
AGPS	78.34	115.16	285.03	82.29	389.72	148.09	206.94	339.14	97.36	123.5	148.09	83.45	130.6	161.02	170.25	104.42	88.88	126.12	201.25	54.33	273.37	281.09	186.4	182.55	379.04	173.85	232.94	96.01	218.79	277.2	159.9	215.77	208.38	144.01	181.28	175.07	161.02	224.97	162.14	100.83	205.5	157.68	220.32	152.28	140.04	202.66	395.18	223.41	215.77	215.77	151.22	158.79	199.85	185.11	139.07	301.33	121.79	124.37	134.3	249.73	237.86	295.11	112.77	202.66	152.28	327.56	309.83	150.17	253.23	211.31	334.46
AHCTF1	220.32	236.21	988.12	90.77	890.44	305.55	400.71	409.15	21.78	181.28	206.94	202.66	156.59	185.11	137.14	176.29	262.2	197.09	277.2	48.52	713.11	454.09	273.37	480.04	780.44	441.64	503.95	559.28	540.19	607.87	483.38	476.71	397.93	429.54	358.54	543.96	684.02	764.36	514.56	571.05	555.41	389.72	473.41	450.94	376.41	536.45	595.34	595.34	420.68	444.72	432.53	329.84	490.14	447.82	412.0	490.14	406.31	295.11	555.41	791.35	483.38	759.08	486.75	796.86	500.46	764.36	334.46	470.14	224.97	348.71	253.23
ALS2	72.01	72.52	143.01	100.83	334.46	58.3	156.59	164.42	108.9	107.38	109.66	126.12	156.59	112.77	187.71	185.11	111.21	98.04	166.73	185.11	198.47	796.86	153.34	251.48	414.87	198.47	242.88	119.26	217.27	281.09	181.28	149.12	249.73	162.14	146.03	143.01	170.25	215.77	209.84	155.5	162.14	199.85	287.01	182.55	146.03	253.23	277.2	209.84	182.55	182.55	164.42	204.07	199.85	145.02	147.06	182.55	194.36	115.97	139.07	211.31	339.14	242.88	144.01	277.2	242.88	305.55	223.41	118.43	201.25	267.73	209.84
AP3M1	279.14	339.14	896.64	241.19	928.3	220.32	466.88	612.11	229.72	215.77	226.54	152.28	287.01	283.05	258.57	246.28	199.85	201.25	229.72	241.19	723.08	660.68	460.44	728.11	660.68	381.68	629.35	379.04	529.06	674.59	521.76	679.29	511.0	483.38	500.46	323.03	595.34	647.07	529.06	262.2	718.08	429.54	728.11	323.03	529.06	500.46	785.88	414.87	529.06	607.87	454.09	457.25	426.57	595.34	341.51	785.88	341.51	480.04	376.41	713.11	518.15	688.78	299.25	656.11	551.56	995.0	684.02	287.01	830.75	429.54	620.67
APPBP2	127.89	107.38	483.38	87.65	743.43	105.15	242.88	336.79	96.01	91.41	70.51	90.14	64.34	73.54	83.45	72.01	90.77	76.17	65.72	62.12	343.89	361.04	246.28	299.25	480.04	283.05	329.84	142.01	305.55	412.0	234.57	343.89	368.65	275.28	246.28	173.85	339.14	473.41	262.2	120.94	297.17	166.73	253.23	215.77	149.12	199.85	426.57	384.34	348.71	297.17	234.57	236.21	314.17	236.21	201.25	473.41	182.55	237.86	176.29	312.0	260.38	384.34	146.03	351.14	476.71	363.56	327.56	297.17	543.96	483.38	228.13
ARL5A	229.72	229.72	1037.29	197.09	872.1	251.48	651.58	961.07	145.02	187.71	178.77	147.06	181.28	161.02	198.47	194.36	105.89	132.44	166.73	157.68	693.58	540.19	848.22	854.13	1757.34	490.14	988.12	332.14	854.13	866.07	848.22	616.37	884.29	454.09	669.92	878.17	603.67	902.89	651.58	872.1	599.49	713.11	825.0	435.55	500.46	571.05	1277.29	848.22	651.58	587.13	483.38	473.41	507.46	656.11	381.68	848.22	403.5	802.41	438.59	642.59	693.58	1167.14	301.33	1059.11	825.0	1233.75	738.29	638.15	896.64	738.29	583.07
ARNT	135.24	220.32	629.35	244.57	769.69	201.25	395.18	417.77	285.03	318.57	255.0	231.32	205.5	341.51	400.71	275.28	463.65	291.04	318.57	493.56	684.02	587.13	277.2	791.35	738.29	808.0	796.86	521.76	559.28	890.44	629.35	769.69	1081.39	579.04	299.25	599.49	878.17	607.87	896.64	511.0	620.67	567.1	703.28	540.19	463.65	483.38	738.29	493.56	483.38	791.35	819.3	728.11	647.07	603.67	536.45	728.11	656.11	518.15	420.68	599.49	854.13	660.68	397.93	624.99	941.27	988.12	392.44	571.05	988.12	392.44	551.56
ASH1L	53.95	59.97	532.74	85.82	813.63	117.6	299.25	303.44	34.75	54.33	56.68	39.5	36.79	54.33	47.17	40.64	98.04	55.1	85.82	24.11	438.59	368.65	136.19	450.94	460.44	497.0	511.0	218.79	325.29	373.81	356.05	571.05	441.64	262.2	199.85	232.94	447.82	503.95	234.57	180.02	373.81	218.79	348.71	251.48	221.86	255.0	384.34	256.78	201.25	447.82	473.41	373.81	312.0	244.57	314.17	547.75	287.01	201.25	269.6	540.19	571.05	379.04	275.28	450.94	483.38	432.53	176.29	327.56	318.57	400.71	165.57
ASXL2	30.78	43.02	273.37	43.63	329.84	55.49	157.68	241.19	43.94	23.08	20.41	20.71	35.5	26.28	36.53	20.86	35.5	20.41	35.0	23.25	177.53	236.21	143.01	155.5	265.87	119.26	191.67	51.71	144.01	159.9	197.09	303.44	224.97	112.77	113.56	173.85	138.1	169.07	138.1	91.41	165.57	107.38	198.47	85.22	106.63	121.79	232.94	164.42	127.89	172.65	129.69	157.68	165.57	135.24	79.45	229.72	105.15	124.37	100.13	155.5	128.79	183.82	87.65	314.17	143.01	262.2	214.27	79.45	255.0	137.14	180.02
ATAD1	220.32	309.83	896.64	187.71	1340.84	255.0	591.22	547.75	273.37	353.59	255.0	239.52	249.73	323.03	256.78	209.84	65.72	195.72	269.6	297.17	674.59	486.75	507.46	830.75	718.08	669.92	559.28	392.44	842.36	796.86	616.37	633.73	543.96	587.13	647.07	400.71	429.54	974.5	698.41	395.18	802.41	511.0	660.68	466.88	559.28	713.11	878.17	583.07	616.37	607.87	603.67	480.04	633.73	656.11	497.0	718.08	320.8	571.05	629.35	753.83	540.19	860.08	551.56	909.17	629.35	1096.5	500.46	351.14	389.72	954.43	769.69
ATE1	165.57	90.14	339.14	76.17	543.96	105.15	309.83	368.65	93.35	153.34	115.97	104.42	152.28	132.44	161.02	126.12	127.89	145.02	165.57	111.99	229.72	223.41	171.45	251.48	403.5	215.77	262.2	122.64	305.55	323.03	242.88	334.46	289.02	221.86	232.94	162.14	267.73	339.14	163.28	81.14	287.01	215.77	260.38	193.01	162.14	221.86	376.41	236.21	271.48	202.66	190.34	214.27	334.46	339.14	140.04	277.2	137.14	199.85	215.77	236.21	244.57	376.41	159.9	514.56	281.09	559.28	211.31	182.55	293.07	234.57	231.32
ATF2	100.83	151.22	536.45	98.04	753.83	231.32	309.83	339.14	123.5	215.77	275.28	173.85	193.01	223.41	237.86	201.25	148.09	206.94	258.57	122.64	444.72	808.0	358.54	603.67	1008.9	412.0	665.29	379.04	518.15	656.11	802.41	514.56	532.74	429.54	353.59	412.0	483.38	579.04	426.57	289.02	514.56	480.04	616.37	329.84	435.55	476.71	563.18	723.08	447.82	435.55	400.71	438.59	463.65	373.81	417.77	325.29	343.89	366.09	297.17	616.37	684.02	638.15	295.11	591.22	511.0	638.15	343.89	305.55	547.75	373.81	248.0
BAZ2B	91.41	63.89	384.34	100.13	915.51	145.02	295.11	457.25	24.46	83.45	57.49	40.36	41.81	54.72	98.04	19.82	34.75	50.63	57.08	22.92	275.28	547.75	204.07	503.95	728.11	429.54	571.05	81.71	470.14	536.45	480.04	384.34	426.57	232.94	267.73	316.37	231.32	470.14	334.46	163.28	314.17	395.18	395.18	291.04	109.66	287.01	444.72	486.75	244.57	444.72	395.18	457.25	307.69	264.03	199.85	400.71	199.85	218.79	239.52	381.68	518.15	432.53	283.05	389.72	406.31	441.64	341.51	429.54	612.11	343.89	156.59
BBS10	22.26	59.13	133.36	34.26	241.19	57.49	87.65	118.43	28.45	50.63	50.98	55.1	63.45	67.59	59.97	87.65	88.26	25.91	82.87	42.71	118.43	140.04	212.78	148.09	285.03	202.66	143.01	73.03	132.44	191.67	144.01	135.24	150.17	105.15	81.14	82.87	122.64	211.31	175.07	51.71	152.28	74.06	143.01	81.71	134.3	142.01	251.48	161.02	105.89	232.94	209.84	115.16	139.07	116.78	92.05	151.22	85.22	147.06	105.15	170.25	199.85	205.5	78.34	109.66	279.14	249.73	158.79	90.14	212.78	78.89	134.3
BCL9	115.97	72.01	265.87	151.22	500.46	236.21	206.94	265.87	101.54	42.71	60.39	32.36	38.67	57.08	57.49	38.12	48.87	67.59	80.01	65.72	703.28	429.54	166.73	540.19	353.59	460.44	444.72	397.93	327.56	435.55	457.25	638.15	316.37	244.57	246.28	511.0	665.29	633.73	435.55	223.41	409.15	281.09	559.28	426.57	234.57	267.73	180.02	409.15	291.04	713.11	476.71	387.02	218.79	423.61	201.25	551.56	525.39	228.13	361.04	318.57	511.0	551.56	206.94	334.46	532.74	728.11	423.61	133.36	368.65	258.57	285.03
BIRC6	244.57	273.37	842.36	255.0	954.43	366.09	507.46	642.59	204.07	217.27	368.65	217.27	265.87	275.28	264.03	275.28	312.0	127.89	341.51	212.78	660.68	808.0	551.56	665.29	764.36	656.11	693.58	339.14	723.08	819.3	738.29	988.12	723.08	547.75	616.37	543.96	551.56	638.15	532.74	412.0	624.99	432.53	713.11	454.09	454.09	591.22	753.83	860.08	540.19	616.37	616.37	571.05	669.92	514.56	486.75	651.58	563.18	447.82	486.75	791.35	591.22	733.19	571.05	1295.13	642.59	753.83	493.56	759.08	483.38	571.05	521.76
BMPR1A	57.08	57.89	343.89	55.1	483.38	52.08	242.88	175.07	28.24	28.45	35.76	23.59	41.81	41.52	42.41	30.78	35.25	28.24	68.55	33.54	204.07	241.19	166.73	285.03	164.42	199.85	189.02	53.19	175.07	275.28	136.19	185.11	204.07	71.5	100.83	79.45	120.1	287.01	236.21	78.89	154.42	128.79	223.41	134.3	92.7	147.06	224.97	140.04	137.14	151.22	162.14	118.43	113.56	178.77	133.36	193.01	83.45	104.42	73.54	153.34	146.03	277.2	79.45	256.78	198.47	283.05	251.48	148.09	208.38	348.71	232.94
BPIFA1	1.95	0.0	94628.34	0.0	1.3	0.0	431797.89	204252.32	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	6745.86	233003.78	141455.6	74.58	150561.19	184082.4	1111.82	30151.71	154794.07	32.82	103551.29	98646.85	139508.13	187.71	4.54	353168.2	10440.2	1583.71	103551.29	70727.3	47642.77	301123.38	122293.5	66449.85	3540.14	65990.84	117311.73	348306.01	201440.3	102125.66	9740.98	1781.89	127486.83	17804.06	220.32	110.43	129266.49	211455.3	171.45	6.57	85.22	29531.18	6.31	7433.4	7642.41	693.58	123144.13	125731.67	82378.63	659036.03	136637.07
BRPF3	126.12	127.0	395.18	180.02	802.41	246.28	323.03	351.14	212.78	149.12	273.37	273.37	144.01	175.07	229.72	187.71	249.73	180.02	201.25	208.38	733.19	674.59	633.73	656.11	567.1	511.0	620.67	620.67	656.11	1127.35	665.29	624.99	447.82	381.68	454.09	525.39	872.1	1015.93	713.11	412.0	389.72	400.71	1111.82	332.14	253.23	336.79	368.65	583.07	379.04	559.28	703.28	476.71	332.14	444.72	429.54	854.13	575.03	417.77	303.44	521.76	802.41	813.63	429.54	825.0	902.89	764.36	275.28	181.28	928.3	136.19	258.57
BTRC	86.43	70.51	186.4	152.28	503.95	77.25	211.31	329.84	114.36	64.34	67.12	53.19	79.45	52.82	64.34	46.84	53.95	50.63	67.59	52.82	195.72	144.01	124.37	156.59	297.17	171.45	215.77	128.79	182.55	249.73	167.9	256.78	189.02	135.24	158.79	137.14	163.28	199.85	189.02	63.45	194.36	117.6	241.19	117.6	146.03	129.69	253.23	106.63	153.34	217.27	136.19	164.42	116.78	171.45	113.56	241.19	101.54	125.24	151.22	193.01	134.3	242.88	122.64	155.5	140.04	264.03	171.45	92.7	366.09	137.14	103.69
C6orf89	423.61	514.56	1023.0	397.93	1242.34	438.59	830.75	967.76	785.88	444.72	551.56	902.89	543.96	536.45	603.67	785.88	507.46	836.53	429.54	346.29	1059.11	743.43	890.44	1242.34	1529.73	825.0	1340.84	928.3	915.51	1216.75	921.88	1088.92	723.08	961.07	629.35	688.78	1397.83	1427.22	854.13	748.61	679.29	775.05	1066.48	872.1	547.75	665.29	1037.29	947.83	728.11	909.17	1216.75	902.89	753.83	981.29	791.35	909.17	642.59	775.05	511.0	1037.29	1199.98	1183.45	497.0	591.22	1175.27	1104.13	1051.79	500.46	842.36	748.61	1175.27
CCDC132	90.14	121.79	309.83	79.45	529.06	167.9	218.79	299.25	49.56	75.11	126.12	88.88	102.25	117.6	108.9	80.57	75.64	111.21	76.17	47.84	307.69	356.05	293.07	215.77	327.56	194.36	212.78	128.79	223.41	281.09	273.37	183.82	232.94	155.5	191.67	229.72	199.85	267.73	172.65	91.41	211.31	170.25	309.83	120.1	228.13	141.02	301.33	226.54	248.0	297.17	220.32	186.4	150.17	162.14	198.47	275.28	199.85	198.47	134.3	283.05	301.33	232.94	162.14	301.33	239.52	381.68	265.87	165.57	371.22	144.01	180.02
CDC73	152.28	325.29	480.04	78.34	583.07	166.73	265.87	301.33	58.71	195.72	125.24	177.53	148.09	143.01	118.43	127.0	176.29	236.21	137.14	82.87	438.59	438.59	194.36	447.82	890.44	368.65	400.71	457.25	616.37	507.46	384.34	366.09	346.29	432.53	269.6	291.04	483.38	373.81	275.28	189.02	454.09	262.2	389.72	303.44	232.94	389.72	511.0	426.57	329.84	435.55	346.29	237.86	376.41	356.05	297.17	503.95	341.51	297.17	358.54	486.75	493.56	476.71	264.03	454.09	403.5	713.11	256.78	214.27	423.61	255.0	277.2
CEP350	226.54	176.29	633.73	72.01	575.03	63.45	242.88	287.01	23.59	71.0	89.51	170.25	74.06	145.02	87.65	79.45	197.09	197.09	115.97	29.91	341.51	441.64	124.37	316.37	551.56	189.02	400.71	209.84	392.44	336.79	366.09	486.75	346.29	218.79	142.01	189.02	332.14	454.09	267.73	303.44	353.59	287.01	285.03	191.67	111.21	246.28	356.05	287.01	217.27	281.09	251.48	224.97	307.69	264.03	232.94	529.06	271.48	182.55	275.28	486.75	265.87	348.71	157.68	529.06	316.37	438.59	130.6	301.33	166.73	170.25	140.04
CEP97	22.75	33.3	129.69	21.78	158.79	26.47	44.57	111.99	8.06	17.38	16.75	6.57	7.11	12.27	10.55	18.56	23.08	12.93	14.56	3.66	68.55	130.6	55.49	47.84	58.71	36.53	73.03	30.12	76.17	71.5	84.63	111.21	76.17	31.67	35.5	42.11	48.87	44.25	32.36	28.65	74.06	30.56	70.01	33.54	20.11	41.81	102.97	58.71	54.72	43.63	34.51	43.02	57.49	44.89	33.54	72.52	44.25	51.71	22.59	57.89	46.5	53.19	24.63	117.6	38.95	100.83	118.43	82.29	153.34	122.64	48.18
CHUK	81.71	112.77	363.56	101.54	563.18	89.51	246.28	271.48	158.79	206.94	181.28	134.3	166.73	175.07	176.29	137.14	128.79	144.01	131.51	137.14	346.29	514.56	429.54	414.87	603.67	381.68	309.83	199.85	536.45	363.56	429.54	406.31	341.51	325.29	260.38	237.86	384.34	450.94	343.89	157.68	339.14	332.14	511.0	314.17	309.83	379.04	346.29	287.01	432.53	309.83	232.94	239.52	536.45	400.71	205.5	303.44	199.85	289.02	244.57	279.14	264.03	543.96	182.55	406.31	277.2	620.67	441.64	312.0	336.79	314.17	406.31
CLASP1	136.19	110.43	258.57	158.79	486.75	205.5	334.46	353.59	147.06	147.06	158.79	139.07	138.1	105.15	148.09	107.38	100.13	70.51	175.07	146.03	329.84	289.02	187.71	460.44	420.68	346.29	629.35	255.0	373.81	366.09	305.55	373.81	406.31	287.01	285.03	343.89	356.05	363.56	260.38	224.97	343.89	329.84	387.02	234.57	186.4	332.14	429.54	348.71	221.86	346.29	348.71	332.14	271.48	353.59	239.52	397.93	246.28	223.41	214.27	336.79	511.0	423.61	242.88	583.07	403.5	403.5	356.05	432.53	414.87	457.25	197.09
COG5	127.0	239.52	493.56	146.03	607.87	209.84	397.93	450.94	140.04	93.35	82.29	165.57	105.15	127.89	73.03	96.68	102.25	130.6	111.99	77.79	466.88	723.08	514.56	423.61	521.76	217.27	336.79	232.94	381.68	409.15	363.56	376.41	438.59	279.14	239.52	466.88	329.84	423.61	218.79	244.57	309.83	351.14	599.49	279.14	356.05	256.78	503.95	400.71	460.44	341.51	307.69	301.33	607.87	373.81	228.13	511.0	297.17	267.73	228.13	366.09	329.84	397.93	206.94	571.05	358.54	693.58	376.41	218.79	532.74	521.76	273.37
CREB1	221.86	191.67	587.13	98.04	728.11	133.36	323.03	466.88	67.12	126.12	73.54	138.1	76.17	94.01	117.6	81.14	90.77	98.73	105.15	103.69	480.04	1225.22	332.14	547.75	603.67	256.78	507.46	206.94	389.72	536.45	368.65	466.88	591.22	194.36	260.38	299.25	301.33	518.15	325.29	154.42	417.77	432.53	373.81	373.81	232.94	323.03	511.0	395.18	387.02	444.72	423.61	384.34	426.57	325.29	211.31	536.45	264.03	395.18	244.57	483.38	432.53	599.49	218.79	571.05	567.1	651.58	466.88	248.0	665.29	490.14	262.2
CSTF2T	197.09	186.4	356.05	239.52	480.04	102.25	346.29	332.14	121.79	185.11	139.07	118.43	90.14	145.02	165.57	199.85	161.02	46.84	163.28	134.3	368.65	368.65	175.07	353.59	279.14	46.18	312.0	248.0	273.37	231.32	312.0	395.18	248.0	251.48	239.52	140.04	348.71	358.54	224.97	127.89	368.65	130.6	397.93	248.0	258.57	314.17	318.57	283.05	253.23	356.05	269.6	297.17	189.02	297.17	208.38	297.17	147.06	55.89	215.77	277.2	309.83	323.03	211.31	239.52	204.07	420.68	493.56	178.77	551.56	206.94	444.72
CTDSPL2	43.94	99.43	376.41	71.5	665.29	69.52	209.84	303.44	24.46	62.12	54.72	52.45	43.63	46.5	74.06	54.72	90.14	49.21	78.89	37.59	204.07	295.11	264.03	267.73	332.14	214.27	392.44	117.6	293.07	353.59	154.42	275.28	267.73	152.28	177.53	144.01	180.02	358.54	119.26	136.19	262.2	122.64	299.25	102.97	131.51	175.07	307.69	283.05	267.73	251.48	242.88	221.86	299.25	157.68	156.59	353.59	120.94	265.87	205.5	312.0	221.86	297.17	134.3	444.72	226.54	307.69	162.14	293.07	279.14	438.59	156.59
CWC22	162.14	153.34	417.77	127.0	500.46	201.25	285.03	339.14	23.42	195.72	121.79	139.07	89.51	87.03	161.02	131.51	99.43	96.68	144.01	40.36	381.68	376.41	217.27	353.59	447.82	312.0	403.5	209.84	376.41	387.02	397.93	256.78	343.89	309.83	277.2	343.89	283.05	366.09	289.02	187.71	277.2	269.6	285.03	186.4	229.72	267.73	346.29	376.41	172.65	307.69	258.57	281.09	242.88	287.01	248.0	323.03	241.19	209.84	346.29	438.59	450.94	371.22	197.09	389.72	392.44	420.68	265.87	158.79	348.71	187.71	262.2
DCAF17	45.53	48.18	229.72	48.52	341.51	75.11	96.01	169.07	40.36	46.5	46.5	43.94	31.9	31.9	55.89	31.45	25.91	35.76	76.71	29.27	152.28	187.71	143.01	159.9	193.01	108.14	191.67	62.12	152.28	193.01	195.72	127.0	199.85	123.5	143.01	120.1	105.89	146.03	117.6	62.56	159.9	86.43	185.11	69.03	90.77	127.89	190.34	158.79	119.26	147.06	120.94	130.6	124.37	120.94	84.04	161.02	92.7	47.5	101.54	206.94	170.25	198.47	118.43	320.8	189.02	260.38	107.38	61.68	255.0	75.64	98.04
DDX18	351.14	414.87	1111.82	325.29	1359.57	629.35	698.41	860.08	139.07	426.57	318.57	297.17	297.17	244.57	371.22	373.81	234.57	277.2	256.78	214.27	1397.83	1208.34	896.64	988.12	1508.65	591.22	1340.84	409.15	1191.69	1059.11	988.12	981.29	1135.2	571.05	995.0	780.44	780.44	1059.11	397.93	679.29	890.44	718.08	1066.48	595.34	587.13	802.41	1286.18	860.08	934.76	890.44	703.28	665.29	1001.93	698.41	563.18	1096.5	438.59	1008.9	743.43	1208.34	941.27	1340.84	555.41	1457.23	896.64	1457.23	1088.92	463.65	698.41	665.29	1111.82
DDX6	98.04	94.01	1233.75	121.79	1639.59	194.36	890.44	1175.27	132.44	88.88	78.34	63.45	100.13	78.34	108.9	66.65	94.01	66.65	92.05	116.78	579.04	830.75	483.38	802.41	902.89	563.18	961.07	295.11	656.11	743.43	503.95	1167.14	723.08	366.09	612.11	483.38	825.0	981.29	305.55	373.81	753.83	376.41	808.0	389.72	320.8	500.46	1191.69	500.46	575.03	769.69	728.11	603.67	775.05	693.58	426.57	1111.82	403.5	423.61	363.56	1008.9	723.08	791.35	444.72	961.07	559.28	921.88	567.1	500.46	941.27	1208.34	493.56
DENND1B	47.5	69.52	420.68	128.79	486.75	37.32	181.28	262.2	22.43	55.49	36.27	29.27	31.0	45.21	57.89	30.78	44.89	33.06	81.71	18.03	217.27	193.01	110.43	189.02	237.86	134.3	220.32	122.64	133.36	307.69	182.55	232.94	206.94	136.19	99.43	158.79	229.72	236.21	155.5	59.13	256.78	100.83	205.5	150.17	97.36	143.01	251.48	131.51	102.25	172.65	152.28	127.0	199.85	127.89	135.24	358.54	152.28	85.82	120.94	279.14	189.02	265.87	183.82	134.3	229.72	289.02	131.51	149.12	201.25	351.14	90.77
ECD	379.04	343.89	521.76	366.09	738.29	208.38	420.68	470.14	224.97	371.22	273.37	323.03	351.14	325.29	265.87	441.64	211.31	234.57	255.0	187.71	693.58	591.22	229.72	583.07	651.58	476.71	460.44	423.61	493.56	532.74	521.76	563.18	309.83	441.64	417.77	279.14	507.46	540.19	463.65	329.84	559.28	373.81	480.04	293.07	483.38	463.65	547.75	348.71	426.57	490.14	486.75	366.09	473.41	486.75	429.54	571.05	305.55	441.64	514.56	769.69	376.41	583.07	384.34	567.1	429.54	775.05	320.8	142.01	429.54	395.18	395.18
