	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.E9.A243.01A.21R.A169.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.55.7283.01A.11R.2039.07	TCGA.78.7536.01A.11R.2066.07	TCGA.05.4420.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.55.7815.01A.11R.2170.07	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.86.8674.01A.21R.2403.07	TCGA.78.7159.01A.11R.2039.07	TCGA.97.7938.01A.11R.2170.07	TCGA.55.8203.01A.11R.2241.07	TCGA.55.6642.01A.11R.1858.07	TCGA.55.6971.01A.11R.1949.07	TCGA.91.6849.01A.11R.1949.07	TCGA.55.6986.01A.11R.1949.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.50.5932.01A.11R.1755.07	TCGA.55.8615.01A.11R.2403.07	TCGA.NJ.A4YF.01A.12R.A262.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.05.4396.01A.21R.1858.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.73.4675.01A.01R.1206.07	TCGA.99.8032.01A.11R.2241.07	TCGA.55.7724.01A.11R.2170.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4384.01A.01R.1755.07	TCGA.73.7498.01A.12R.2187.07	TCGA.91.8497.01A.11R.2403.07	TCGA.44.8119.01A.11R.2241.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7537.01A.11R.2066.07	TCGA.99.7458.01A.11R.2039.07	TCGA.55.8508.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.55.7725.01A.11R.2170.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.69.7764.01A.11R.2170.07	TCGA.55.6970.01A.11R.1949.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WWYW.0926.SM.3NB2Z	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FH7.1726.SM.5IJE7
IKZF5	53.19	53.95	271.48	57.89	647.07	63.0	191.67	255.0	33.06	130.6	150.17	53.95	128.79	98.73	114.36	89.51	76.17	64.34	128.79	59.55	289.02	264.03	206.94	327.56	323.03	209.84	309.83	96.68	228.13	249.73	202.66	291.04	146.03	161.02	161.02	157.68	237.86	334.46	169.07	112.77	277.2	120.94	395.18	94.01	185.11	214.27	236.21	149.12	197.09	305.55	220.32	249.73	221.86	265.87	189.02	305.55	114.36	113.56	142.01	279.14	323.03	297.17	178.77	361.04	198.47	269.6	159.9	212.78	248.0	204.07	136.19
IWS1	532.74	356.05	780.44	376.41	674.59	547.75	543.96	603.67	150.17	486.75	376.41	693.58	406.31	379.04	500.46	361.04	327.56	353.59	384.34	199.85	909.17	941.27	759.08	1191.69	974.5	854.13	1044.52	642.59	819.3	1030.12	780.44	642.59	753.83	633.73	591.22	896.64	842.36	988.12	836.53	579.04	743.43	884.29	791.35	693.58	651.58	674.59	769.69	842.36	595.34	743.43	728.11	688.78	583.07	684.02	612.11	651.58	511.0	633.73	769.69	890.44	1051.79	934.76	669.92	1225.22	1191.69	1119.56	902.89	420.68	718.08	651.58	748.61
KIDINS220	136.19	116.78	521.76	153.34	902.89	202.66	423.61	497.0	132.44	134.3	121.79	82.87	121.79	108.14	140.04	87.03	147.06	82.87	194.36	76.17	579.04	579.04	332.14	802.41	872.1	483.38	896.64	269.6	571.05	708.18	587.13	878.17	532.74	400.71	381.68	480.04	387.02	595.34	339.14	305.55	497.0	343.89	490.14	281.09	320.8	444.72	688.78	713.11	432.53	476.71	529.06	543.96	454.09	490.14	483.38	995.0	438.59	381.68	353.59	575.03	624.99	759.08	356.05	718.08	713.11	629.35	392.44	258.57	769.69	825.0	387.02
KIF1B	127.0	118.43	312.0	108.14	543.96	159.9	928.3	507.46	204.07	88.88	118.43	97.36	223.41	125.24	107.38	155.5	217.27	177.53	134.3	115.16	239.52	255.0	255.0	444.72	406.31	180.02	470.14	206.94	236.21	361.04	231.32	343.89	255.0	320.8	215.77	194.36	358.54	246.28	165.57	237.86	229.72	191.67	246.28	165.57	218.79	208.38	373.81	267.73	212.78	279.14	258.57	221.86	291.04	305.55	146.03	460.44	171.45	236.21	171.45	237.86	368.65	323.03	143.01	525.39	281.09	287.01	155.5	241.19	228.13	229.72	202.66
KIFAP3	194.36	426.57	1143.1	343.89	738.29	229.72	490.14	518.15	223.41	334.46	241.19	320.8	256.78	348.71	316.37	389.72	426.57	351.14	346.29	194.36	624.99	432.53	133.36	603.67	819.3	438.59	713.11	629.35	529.06	915.51	718.08	473.41	417.77	599.49	334.46	371.22	743.43	674.59	353.59	169.07	660.68	460.44	426.57	376.41	389.72	447.82	511.0	559.28	228.13	447.82	435.55	429.54	463.65	473.41	521.76	665.29	708.18	309.83	343.89	587.13	684.02	532.74	444.72	348.71	551.56	684.02	860.08	409.15	748.61	941.27	591.22
KMT2E	111.21	126.12	591.22	171.45	909.17	277.2	457.25	551.56	45.85	105.15	84.04	75.11	56.28	82.29	115.97	75.64	92.05	87.03	162.14	46.18	802.41	764.36	323.03	612.11	791.35	529.06	775.05	314.17	521.76	633.73	563.18	733.19	974.5	463.65	341.51	463.65	466.88	896.64	343.89	283.05	532.74	420.68	718.08	253.23	497.0	420.68	638.15	616.37	412.0	559.28	551.56	656.11	435.55	486.75	514.56	921.88	483.38	336.79	341.51	791.35	743.43	529.06	470.14	988.12	723.08	651.58	392.44	547.75	521.76	769.69	346.29
MAP3K2	53.19	88.88	325.29	75.11	563.18	81.14	199.85	373.81	43.32	105.15	119.26	99.43	67.59	98.04	114.36	120.94	105.89	61.25	122.64	43.94	211.31	246.28	159.9	312.0	397.93	231.32	381.68	148.09	234.57	312.0	253.23	289.02	332.14	220.32	144.01	221.86	248.0	246.28	220.32	191.67	255.0	215.77	329.84	173.85	224.97	205.5	351.14	194.36	187.71	242.88	234.57	258.57	307.69	194.36	187.71	387.02	138.1	185.11	163.28	289.02	312.0	341.51	158.79	271.48	291.04	318.57	239.52	172.65	212.78	295.11	133.36
MARCH7	450.94	283.05	1242.34	363.56	2090.03	241.19	1111.82	1583.71	156.59	559.28	409.15	281.09	403.5	444.72	540.19	381.68	277.2	187.71	454.09	232.94	1127.35	1073.91	1119.56	1225.22	1781.89	738.29	1159.07	620.67	1051.79	1397.83	1540.37	947.83	1175.27	723.08	679.29	866.07	1183.45	1304.15	738.29	450.94	909.17	656.11	1378.57	441.64	718.08	647.07	1639.59	954.43	854.13	1104.13	759.08	665.29	728.11	878.17	638.15	1369.04	507.46	1044.52	674.59	1143.1	1216.75	1304.15	616.37	1427.22	808.0	1991.0	718.08	872.1	878.17	764.36	412.0
MCMBP	476.71	571.05	1437.15	457.25	1088.92	409.15	813.63	854.13	277.2	500.46	267.73	190.34	260.38	269.6	309.83	262.2	262.2	267.73	297.17	191.67	836.53	1044.52	813.63	902.89	961.07	738.29	688.78	555.41	872.1	780.44	764.36	915.51	679.29	567.1	620.67	463.65	612.11	884.29	620.67	525.39	802.41	748.61	967.76	575.03	579.04	669.92	1023.0	669.92	860.08	733.19	669.92	587.13	1030.12	769.69	511.0	651.58	483.38	791.35	674.59	796.86	688.78	1066.48	583.07	974.5	642.59	1066.48	981.29	435.55	583.07	698.41	1208.34
MOB4	500.46	373.81	698.41	209.84	981.29	309.83	825.0	921.88	150.17	371.22	191.67	171.45	182.55	249.73	334.46	190.34	130.6	273.37	182.55	143.01	830.75	890.44	961.07	540.19	915.51	547.75	674.59	511.0	698.41	819.3	718.08	521.76	651.58	536.45	547.75	684.02	532.74	660.68	525.39	629.35	583.07	723.08	854.13	409.15	486.75	583.07	909.17	703.28	642.59	647.07	417.77	426.57	674.59	684.02	500.46	599.49	603.67	563.18	579.04	723.08	743.43	769.69	348.71	642.59	435.55	1233.75	660.68	291.04	684.02	493.56	915.51
NCOA1	217.27	143.01	447.82	150.17	633.73	134.3	473.41	381.68	137.14	172.65	153.34	82.87	85.22	84.63	136.19	96.01	111.99	88.88	128.79	102.25	303.44	669.92	256.78	384.34	540.19	336.79	318.57	157.68	297.17	536.45	318.57	376.41	400.71	281.09	135.24	327.56	253.23	400.71	348.71	177.53	307.69	246.28	429.54	251.48	151.22	312.0	503.95	470.14	285.03	384.34	379.04	366.09	341.51	283.05	242.88	287.01	237.86	215.77	147.06	339.14	348.71	406.31	249.73	209.84	525.39	379.04	265.87	303.44	466.88	363.56	214.27
