	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FD.01A.11R.A336.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.JY.A93E.01A.11R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.X4XY.1726.SM.46MVO	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQC.0626.SM.5EQMF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.IN.8663.01A.11R.2402.13
ATP5O	15934.98	5633.22	4152.18	4038.61	3515.68	3491.39	2796.65	4210.15	2997.45	4123.49	4181.07	5594.3	2520.38	10883.59	12764.83	13306.94	13215.02	15715.58	0.0	0.95	1359.57	14663.09	14663.09	8598.28	8134.41	7857.29	11504.21	7081.29	8598.28	10296.45	33224.42	2104.58	2520.38
ATPIF1	11035.54	11992.79	2915.45	3955.48	4328.55	3589.58	3280.18	3190.46	2875.3	4095.0	5791.62	3491.39	1977.24	8901.53	13399.51	11992.79	10440.2	9025.81	0.0	0.65	2682.69	8963.45	12244.81	9279.58	4575.41	5112.16	7433.4	10733.74	5517.27	10225.32	18950.18	3039.3	3491.39
AURKAIP1	3124.78	3235.01	2287.2	2664.15	3540.14	2417.67	1844.76	2367.9	2335.28	2451.44	3325.99	2720.15	2956.17	3690.52	5076.84	4671.57	4607.24	4450.27	0.0	0.75	769.69	4769.75	4869.99	3419.52	3690.52	3039.3	4066.71	3146.52	3690.52	4239.45	8718.32	1757.34	2335.28
C14orf2	7032.37	4123.49	2468.49	3901.01	4268.94	3955.48	3419.52	3212.66	2997.45	4419.52	4836.35	4575.41	2287.2	5872.48	5751.61	7642.41	4937.99	4575.41	3742.05	1151.06	1242.34	8479.89	6294.04	5479.15	3491.39	2468.49	5672.41	4152.18	3768.09	5751.61	13872.08	2335.28	1697.45
C19orf70	2537.92	1447.15	748.61	1963.57	1467.37	1295.13	1233.75	1551.09	1159.07	1757.34	1832.01	1857.6	1199.98	2645.74	3742.05	3515.68	3742.05	4181.07	0.0	0.47	397.93	3901.01	3928.15	2061.24	2163.77	2287.2	4298.64	1674.06	2537.92	2351.53	6294.04	769.69	450.94
C21orf33	5403.7	1781.89	1709.26	1561.89	1216.75	1111.82	974.5	866.07	1073.91	1529.73	1295.13	1709.26	1369.04	5292.48	5183.54	4388.98	5633.22	7485.11	0.0	0.52	525.39	3303.0	3690.52	1806.78	1923.14	2335.28	6471.02	2468.49	2384.37	1909.85	10296.45	616.37	579.04
C9orf3	6037.61	2520.38	2018.8	3039.3	2777.33	3419.52	2400.97	2417.67	3103.19	3212.66	2855.44	3794.3	1487.87	3716.2	3235.01	4210.15	3540.14	2739.08	642.59	195.72	1447.15	4358.66	6294.04	6164.49	3768.09	3768.09	5872.48	5711.87	2664.15	5831.91	12676.65	961.07	1183.45
CDH13	1183.45	457.25	198.47	309.83	303.44	447.82	426.57	147.06	607.87	287.01	438.59	190.34	25.35	518.15	567.1	417.77	1030.12	1037.29	0.0	0.54	301.33	753.83	1369.04	1191.69	518.15	343.89	825.0	454.09	242.88	1044.52	2451.44	791.35	33.54
CNBP	22692.63	7966.99	5517.27	6207.38	7081.29	7857.29	6164.49	5633.22	9279.58	6840.04	5479.15	6381.92	3168.41	10808.41	12502.12	14461.21	14065.74	12853.63	7081.29	13968.57	9606.86	12943.04	13776.25	9673.69	7803.01	7331.05	14065.74	8247.98	6887.62	11189.6	16611.71	3874.05	6294.04
COQ5	1457.23	866.07	559.28	361.04	392.44	423.61	320.8	441.64	361.04	397.93	521.76	403.5	373.81	974.5	669.92	884.29	1407.55	1199.98	0.0	0.08	221.86	753.83	941.27	450.94	591.22	651.58	738.29	493.56	532.74	429.54	1844.76	244.57	423.61
COX4I1	23330.64	17804.06	9740.98	11504.21	9025.81	8901.53	9279.58	9673.69	8479.89	10585.95	10512.82	15934.98	9474.59	26614.89	29124.6	28723.62	25354.3	33922.56	0.0	1.39	4802.93	31432.17	36106.23	21026.65	18431.96	21172.91	24490.61	21768.19	22535.88	24660.96	72213.45	7803.01	7485.11
COX5A	25530.66	13033.07	3018.3	5041.77	3190.46	4181.07	3982.99	3540.14	4123.49	4802.93	5041.77	7180.15	6699.25	17078.76	17437.64	16383.0	18178.19	19482.97	0.0	0.8	1561.89	15607.02	14262.1	10585.95	11035.54	9945.68	16496.96	12329.98	11664.82	14262.1	44452.21	3443.31	3901.01
COX5B	18304.63	7589.61	5255.91	5831.91	3928.15	4607.24	4802.93	4358.66	4639.29	4972.34	6840.04	6607.01	3768.09	11664.82	12502.12	12853.63	11424.74	12076.21	0.0	1.07	1015.93	11664.82	14971.21	8479.89	7911.95	6652.97	11345.82	7589.61	7695.57	10225.32	32994.92	3018.3	2224.63
COX6B1	19348.38	13033.07	5366.37	8305.36	5913.33	7911.95	5517.27	5751.61	5479.15	8022.41	8022.41	8778.97	4639.29	11992.79	14262.1	17804.06	12076.21	15824.9	0.0	1.14	1407.55	20030.74	20881.4	18689.27	11827.67	12502.12	14867.79	13215.02	14971.21	14163.58	36106.23	4543.8	4123.49
COX6C	20030.74	6250.56	6607.01	9279.58	8134.41	9540.5	9606.86	5594.3	8901.53	8658.09	12415.75	9474.59	4869.99	16157.44	14765.09	21468.49	14361.31	13681.08	7331.05	1167.14	4543.8	16960.78	20170.07	15075.35	10512.82	9344.14	17197.56	12329.98	10512.82	18819.27	40341.14	6337.83	5517.27
COX7C	44145.15	16611.71	10225.32	10585.95	8538.88	10014.87	9673.69	9606.86	9409.14	10883.59	10014.87	15824.9	4937.99	35609.13	32994.92	44761.41	37901.36	40904.3	0.0	1.23	7537.18	43537.38	37639.55	17927.91	18950.18	17804.06	37121.34	21617.82	18431.96	26431.04	75803.72	5872.48	4419.52
COX8A	24153.43	18560.17	7803.01	13399.51	9673.69	11664.82	8479.89	10154.69	8840.04	12502.12	11909.94	15285.81	13033.07	21468.49	25530.66	22380.2	23492.92	24321.43	0.0	1.03	3103.19	27553.49	27553.49	27174.14	20593.91	20881.4	22850.48	23009.42	20737.16	27363.16	50359.33	6164.49	5831.91
CS	10440.2	3768.09	1870.53	3325.99	2739.08	2835.7	2434.5	1832.01	2720.15	3325.99	3081.75	4095.0	2796.65	6516.03	5633.22	5292.48	7032.37	7485.11	2537.92	285.03	2271.4	4210.15	4937.99	4769.75	3874.05	4066.71	4802.93	4704.07	4481.23	4181.07	7966.99	2193.99	2240.11
CYC1	12076.21	2682.69	3060.45	3982.99	3874.05	3039.3	2796.65	2119.22	3443.31	3103.19	4671.57	3820.7	3325.99	8078.22	9088.59	7911.95	11035.54	11424.74	0.0	1.03	612.11	7180.15	9673.69	6037.61	6250.56	5995.9	9540.5	5076.84	6037.61	6207.38	21026.65	2018.8	1721.16
CYCS	9088.59	2502.97	1733.13	1651.0	2193.99	2004.85	1322.37	1594.73	2090.03	1369.04	2303.12	1369.04	1066.48	5517.27	7589.61	7911.95	7032.37	6079.61	0.0	0.38	995.0	7230.1	5633.22	4543.8	8022.41	3768.09	7230.1	3443.31	3901.01	4038.61	9279.58	1639.59	1950.0
DECR1	3928.15	1923.14	902.89	1268.46	1674.06	1331.57	1225.22	947.83	1143.1	1350.18	1378.57	1685.71	1066.48	4010.71	3419.52	3928.15	3955.48	4152.18	0.0	0.66	1242.34	4481.23	3540.14	2520.38	2335.28	2384.37	3540.14	2739.08	2720.15	3928.15	7180.15	1104.13	1104.13
ECHS1	4769.75	3665.02	1417.35	2090.03	1104.13	1583.71	1322.37	1662.49	1617.0	1991.0	2178.83	2434.5	1819.35	3589.58	4607.24	4298.64	4575.41	5076.84	0.0	0.33	713.11	5076.84	4802.93	4419.52	3589.58	3540.14	5751.61	4671.57	3874.05	3639.7	5831.91	743.43	1467.37
EIF3K	12676.65	5219.6	5913.33	7180.15	4575.41	7130.55	5517.27	5594.3	5441.3	6337.83	6935.54	8022.41	2976.74	11189.6	13033.07	13492.72	12244.81	13872.08	0.0	1.35	1359.57	17804.06	21919.61	10084.54	10733.74	10585.95	15392.14	8778.97	10154.69	10154.69	29124.6	3491.39	2303.12
ETFA	8598.28	3515.68	1923.14	2193.99	2119.22	2434.5	1950.0	1936.53	2004.85	2335.28	2163.77	2627.46	941.27	5672.41	5112.16	5633.22	6471.02	4836.35	0.0	0.82	669.92	6164.49	4736.79	5076.84	3614.55	3955.48	6250.56	3303.0	3564.78	4152.18	6516.03	1427.22	1277.29
ETFB	4419.52	15075.35	1745.2	3039.3	2573.36	2895.31	1721.16	1617.0	1870.53	3235.01	2451.44	4038.61	1159.07	7230.1	4937.99	6652.97	8840.04	7857.29	0.0	0.62	429.54	5441.3	6887.62	7589.61	4066.71	4066.71	6983.79	8658.09	6561.36	9740.98	17317.18	1104.13	813.63
FH	4388.98	1233.75	1322.37	1111.82	1015.93	1167.14	967.76	1073.91	1233.75	1001.93	1066.48	1127.35	444.72	2915.45	2816.11	3257.52	3443.31	3716.2	0.0	0.29	275.28	2682.69	2664.15	2502.97	1991.0	1617.0	2627.46	1721.16	1977.24	1733.13	5292.48	733.19	624.99
FKBP3	7331.05	1651.0	1359.57	1447.15	1397.83	1844.76	1191.69	1331.57	1350.18	1583.71	1427.22	1175.27	753.83	3928.15	3901.01	4836.35	4575.41	3614.55	0.0	0.71	1127.35	3190.46	3467.27	2240.11	2209.26	1883.54	2240.11	1806.78	1757.34	2468.49	6607.01	884.29	802.41
GAMT	12415.75	11992.79	186.4	156.59	147.06	122.64	67.59	56.28	117.6	221.86	87.65	283.05	92.05	4481.23	5831.91	6607.01	10512.82	10883.59	0.0	0.49	187.71	642.59	13123.73	334.46	1870.53	500.46	7966.99	1350.18	607.87	503.95	19348.38	152.28	19.68
GHITM	7803.01	3690.52	1561.89	2224.63	2075.59	2271.4	1733.13	1721.16	1832.01	2287.2	2119.22	2451.44	1909.85	6250.56	6121.9	5995.9	7695.57	8247.98	0.0	0.73	921.88	6840.04	5479.15	5183.54	5329.3	4450.27	7382.04	3639.7	4869.99	5995.9	10733.74	1651.0	2895.31
GLRX5	2758.13	656.11	547.75	743.43	708.18	825.0	791.35	738.29	579.04	603.67	884.29	688.78	379.04	2163.77	1709.26	1870.53	2319.15	1963.57	0.0	0.67	435.55	2193.99	1662.49	1135.2	1331.57	819.3	961.07	1096.5	902.89	1175.27	3564.78	511.0	813.63
GNAL	248.0	444.72	85.22	178.77	78.34	127.0	90.14	82.87	223.41	124.37	118.43	120.94	57.49	218.79	163.28	262.2	320.8	149.12	12.45	60.82	140.04	69.52	500.46	34.51	647.07	371.22	497.0	287.01	159.9	297.17	854.13	71.0	31.67
GOT1	12076.21	1001.93	603.67	1051.79	536.45	713.11	460.44	595.34	679.29	813.63	995.0	1127.35	1159.07	8078.22	7433.4	5366.37	10154.69	11267.44	0.0	0.11	135.24	2209.26	5672.41	1757.34	2417.67	2075.59	4769.75	1832.01	1832.01	1769.57	11504.21	473.41	1369.04
GOT2	11035.54	2193.99	1322.37	1832.01	1697.45	1991.0	1059.11	1159.07	1388.16	1561.89	2104.58	1628.26	529.06	5633.22	7695.57	3847.29	8022.41	7433.4	0.0	0.77	420.68	4358.66	5517.27	3639.7	4152.18	3716.2	4268.94	3564.78	3280.18	4095.0	12160.22	1073.91	1081.39
GRHPR	3146.52	1781.89	1508.65	1950.0	1498.22	1806.78	1388.16	1467.37	1369.04	1721.16	1806.78	2255.7	759.08	3280.18	2777.33	2895.31	3257.52	3901.01	1769.57	98.73	743.43	3614.55	3794.3	3491.39	1605.83	3639.7	3614.55	3847.29	2451.44	1551.09	7280.4	1216.75	854.13
HADHA	9088.59	3372.43	2018.8	2609.3	2178.83	2104.58	1844.76	1662.49	2018.8	2645.74	2240.11	3124.78	1216.75	4736.79	4607.24	5995.9	9344.14	6745.86	0.0	0.71	1225.22	3768.09	5219.6	3325.99	3742.05	3395.89	5711.87	4066.71	3665.02	3955.48	4736.79	1605.83	1277.29
KRT4	0.0	3.697379928E7	606436.73	1.810644424E7	716197.51	6140819.49	5.23	38.4	778316.89	2.276004283E7	3359929.59	3.109113511E7	156954.93	527933.71	226632.25	76330.98	172.65	507.46	0.0	0.0	135.24	1.236706555E7	1950.0	2.900905474E7	6357375.06	1.236706555E7	45072.75	2.213766823E7	1.887534821E7	2.10891839E7	1282030.25	1.14	1.85
LACE1	98.04	117.6	45.53	55.89	59.97	45.21	39.22	38.95	37.05	43.02	46.5	46.18	65.72	92.05	101.54	92.7	78.34	137.14	0.0	0.04	22.43	142.01	111.99	145.02	77.79	90.14	68.07	81.14	97.36	105.89	185.11	41.22	29.06
MAPKAPK3	2384.37	1529.73	211.31	1322.37	414.87	785.88	403.5	591.22	708.18	1175.27	848.22	1477.58	1331.57	2915.45	3235.01	2835.7	3168.41	3847.29	0.0	0.18	406.31	3665.02	2627.46	2255.7	2451.44	1639.59	4268.94	1977.24	2271.4	1936.53	3690.52	423.61	2224.63
MDH1	17681.08	3124.78	3589.58	2335.28	1757.34	2148.82	1757.34	2133.97	1909.85	1977.24	2682.69	2224.63	1628.26	12329.98	12943.04	9151.82	13492.72	13872.08	0.0	0.61	954.43	6792.79	7857.29	4152.18	5995.9	4836.35	6037.61	4639.29	4639.29	4298.64	27363.16	1529.73	1896.65
MDH2	15824.9	5076.84	4639.29	6516.03	4450.27	5366.37	3467.27	3847.29	4704.07	5183.54	5711.87	5831.91	2133.97	11504.21	14361.31	10808.41	18304.63	19618.49	0.0	0.61	759.08	9088.59	13586.57	10014.87	9151.82	7966.99	17078.76	8363.13	8191.0	8078.22	20881.4	3443.31	2720.15
MLIP	3847.29	371.22	45.21	277.2	139.07	264.03	32.36	12.0	182.55	395.18	341.51	316.37	88.26	1369.04	995.0	1143.1	2434.5	2537.92	0.0	0.34	1.31	796.86	1883.54	656.11	921.88	318.57	1487.87	400.71	447.82	470.14	3614.55	9.7	1.75
MPC1	4937.99	974.5	629.35	693.58	486.75	563.18	547.75	514.56	571.05	713.11	642.59	1143.1	1151.06	4298.64	3515.68	2701.35	5403.7	5791.62	0.0	0.75	392.44	2163.77	2335.28	1250.98	1508.65	1111.82	1407.55	884.29	1159.07	1457.23	11345.82	733.19	376.41
MRPL15	3303.0	1447.15	802.41	872.1	1044.52	1023.0	915.51	647.07	1059.11	764.36	1119.56	796.86	463.65	2303.12	2240.11	1225.22	3018.3	2758.13	0.0	0.03	226.54	3303.0	2664.15	1225.22	1437.15	1583.71	2351.53	1437.15	2209.26	1651.0	5711.87	825.0	1950.0
MRPL46	1467.37	486.75	497.0	647.07	490.14	555.41	353.59	406.31	473.41	536.45	708.18	563.18	447.82	954.43	1242.34	1286.18	1151.06	1437.15	0.0	0.0	251.48	1437.15	1104.13	743.43	1199.98	808.0	1508.65	941.27	1111.82	961.07	2367.9	209.84	334.46
MRPS18B	3443.31	1936.53	1119.56	1081.39	1259.69	1051.79	909.17	909.17	860.08	961.07	928.3	974.5	954.43	2319.15	2018.8	2417.67	2875.3	3491.39	2855.44	2367.9	603.67	2178.83	2935.74	1397.83	1096.5	1709.26	2555.58	1447.15	1769.57	1561.89	4419.52	723.08	1143.1
MRPS22	1794.29	1088.92	728.11	1044.52	1081.39	1023.0	854.13	738.29	1081.39	1030.12	1143.1	1015.93	642.59	1437.15	1487.87	1639.59	1498.22	1617.0	1250.98	392.44	361.04	2537.92	1561.89	1923.14	2032.85	1167.14	1572.76	1832.01	1397.83	2271.4	3018.3	454.09	476.71
MYF5	94.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.26	27.05	30.56	108.9	137.14	0.0	0.0	0.0	128.79	147.06	0.0	18.43	0.0	71.5	2.25	2.12	0.0	253.23	0.0	0.0
NDUFA1	10225.32	3018.3	1936.53	2701.35	2240.11	2591.27	2400.97	2627.46	2193.99	2645.74	2720.15	2935.74	1208.34	8191.0	7032.37	10585.95	7749.1	6935.54	0.0	0.8	1832.01	5255.91	7230.1	4639.29	3325.99	3955.48	7485.11	3874.05	3901.01	3820.7	12415.75	1745.2	2163.77
NDUFA10	6207.38	3349.13	2451.44	2997.45	1639.59	2537.92	1883.54	2335.28	2468.49	2739.08	2758.13	3639.7	2591.27	4512.4	5517.27	4736.79	4769.75	4607.24	1639.59	1044.52	1127.35	3742.05	5366.37	4298.64	3589.58	3589.58	4419.52	3103.19	3325.99	5633.22	8840.04	1583.71	1242.34
NDUFA11	6745.86	6337.83	4419.52	7857.29	5711.87	5112.16	4671.57	5594.3	5913.33	7180.15	7230.1	8022.41	6983.79	8078.22	11584.24	10883.59	10368.08	11664.82	0.0	1.13	1844.76	14065.74	10659.59	8191.0	7382.04	7331.05	11504.21	10296.45	9409.14	9344.14	20737.16	2664.15	2004.85
NDUFA12	7130.55	2855.44	1909.85	2645.74	3081.75	2682.69	2119.22	2178.83	2104.58	2240.11	2555.58	2573.36	1135.2	4010.71	4802.93	5292.48	5041.77	4869.99	0.0	0.49	1127.35	4038.61	4512.4	3515.68	3419.52	2956.17	5219.6	3018.3	3124.78	3665.02	8078.22	1909.85	2520.38
NDUFA13	10808.41	5006.93	4268.94	5183.54	2997.45	3768.09	3303.0	3690.52	4123.49	5076.84	4972.34	5995.9	4268.94	10084.54	11992.79	13776.25	11827.67	13586.57	0.0	1.06	3540.14	10512.82	13123.73	8658.09	9088.59	7642.41	13306.94	7911.95	7803.01	9673.69	22380.2	3515.68	1745.2
NDUFA2	3847.29	2468.49	1697.45	1639.59	1350.18	1359.57	1369.04	1605.83	1304.15	1685.71	1617.0	1733.13	1199.98	2976.74	3768.09	3955.48	3639.7	3742.05	0.0	0.84	769.69	3901.01	3060.45	1605.83	1909.85	2119.22	3419.52	1991.0	2351.53	2209.26	5872.48	1104.13	1001.93
NDUFA6	4358.66	1819.35	1151.06	1745.2	1551.09	1733.13	1322.37	1369.04	1437.15	1594.73	1572.76	2303.12	1104.13	3235.01	3081.75	4066.71	3395.89	3716.2	0.0	0.85	819.3	3589.58	2895.31	3690.52	1662.49	1896.65	3515.68	2119.22	1991.0	3280.18	8598.28	1268.46	587.13
NDUFA7	5292.48	2976.74	1143.1	1883.54	1685.71	1250.98	1417.35	1617.0	1388.16	1662.49	2018.8	1870.53	1350.18	3168.41	4769.75	5219.6	4639.29	4736.79	0.0	0.52	409.15	3515.68	5913.33	3190.46	2255.7	2609.3	4704.07	2400.97	2758.13	2224.63	8022.41	728.11	941.27
NDUFA8	4736.79	1561.89	934.76	1191.69	1242.34	1127.35	974.5	988.12	848.22	1088.92	1277.29	1208.34	563.18	3124.78	2895.31	3690.52	3982.99	4607.24	0.0	0.21	518.15	3395.89	3325.99	1806.78	2119.22	1832.01	3589.58	1685.71	2178.83	1617.0	8901.53	928.3	848.22
NDUFA9	3874.05	1104.13	2104.58	1498.22	1498.22	1447.15	961.07	1191.69	2104.58	1295.13	1639.59	1127.35	954.43	3168.41	2915.45	3280.18	3146.52	3820.7	0.0	0.64	334.46	1896.65	3349.13	1963.57	1313.23	1397.83	2061.24	1844.76	1857.6	2835.7	6426.31	1457.23	796.86
NDUFB1	13586.57	6381.92	4066.71	5831.91	5006.93	5555.65	5112.16	4704.07	3901.01	6516.03	8247.98	8022.41	2796.65	11827.67	13492.72	17078.76	14361.31	13681.08	0.0	0.95	3280.18	16960.78	14262.1	7642.41	5711.87	6983.79	14262.1	8078.22	7180.15	9808.75	24832.5	2997.45	2664.15
NDUFB11	6079.61	4607.24	1250.98	1909.85	1832.01	1388.16	1594.73	1896.65	1909.85	2032.85	1844.76	2319.15	2104.58	4038.61	3874.05	4450.27	4671.57	4419.52	0.0	0.82	743.43	4066.71	4123.49	2018.8	2701.35	3039.3	4869.99	4239.45	3491.39	3639.7	9088.59	1135.2	603.67
NDUFB2	17558.94	5147.73	3665.02	4481.23	2555.58	3665.02	3589.58	2895.31	3515.68	4095.0	4181.07	5041.77	2664.15	11267.44	13215.02	14065.74	16157.44	14461.21	0.0	0.64	2417.67	12943.04	12244.81	6745.86	8305.36	7642.41	13586.57	6079.61	7230.1	6607.01	22225.61	2875.3	1487.87
NDUFB3	8538.88	3325.99	1806.78	2271.4	1225.22	2287.2	1467.37	1617.0	1769.57	2720.15	2434.5	2367.9	1359.57	5219.6	5076.84	5913.33	5219.6	4972.34	0.0	0.24	679.29	6121.9	4066.71	4152.18	3349.13	3039.3	4836.35	4095.0	3372.43	3820.7	9606.86	890.44	1378.57
NDUFB4	11584.24	7589.61	2720.15	5831.91	5594.3	5041.77	3928.15	4010.71	5006.93	5555.65	5995.9	4869.99	1832.01	8191.0	8840.04	10959.3	9344.14	10368.08	0.0	1.28	3349.13	14461.21	10440.2	7749.1	6079.61	6699.25	8134.41	7642.41	7180.15	10368.08	21617.82	2895.31	2796.65
NDUFB7	9151.82	4038.61	2193.99	5403.7	3467.27	3190.46	2997.45	3901.01	3280.18	4903.87	5913.33	5329.3	3146.52	8598.28	10808.41	11827.67	12244.81	12676.65	0.0	0.87	1135.2	9344.14	9740.98	6516.03	4639.29	5791.62	8363.13	5751.61	6516.03	7230.1	24321.43	2720.15	1498.22
NDUFB8	6935.54	4038.61	3768.09	3820.7	3039.3	3190.46	3190.46	3168.41	3372.43	3794.3	3820.7	4836.35	2384.37	8479.89	8718.32	9740.98	9088.59	10883.59	0.0	1.1	1529.73	7803.01	9606.86	6337.83	4543.8	5633.22	7803.01	5479.15	5913.33	5633.22	22535.88	2090.03	2018.8
