	TCGA.BH.A0DP.01A.21R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.BH.A0BQ.01A.21R.A115.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E9.A249.01A.11R.A169.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E2.A1IK.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.113JC.0126.SM.5EGJW	GTEX.WWYW.0826.SM.3NB2X	GTEX.WHSE.0626.SM.4RGNF	GTEX.11EQ8.0826.SM.5N9FG	GTEX.145MI.1126.SM.5O9AK
ECI2	974.5	2303.12	1923.14	2434.5	1806.78	1467.37	890.44	2720.15	2133.97	2319.15	3540.14	1127.35	1143.1	1540.37	1388.16	1259.69	1143.1	1378.57	1295.13	759.08	921.88	693.58	1199.98	808.0
EFHD1	5255.91	4836.35	6426.31	3146.52	5366.37	5954.47	5751.61	11267.44	4481.23	3212.66	6381.92	249.73	100.83	271.48	106.63	153.34	145.02	120.1	371.22	248.0	211.31	215.77	547.75	329.84
ENSA	8840.04	9409.14	12676.65	11504.21	8718.32	10659.59	7485.11	12853.63	8305.36	5872.48	9409.14	3564.78	3690.52	4181.07	3874.05	3515.68	3018.3	3515.68	2915.45	4736.79	4298.64	5006.93	3124.78	3349.13
ERGIC1	3614.55	4388.98	4066.71	5292.48	3639.7	2956.17	5672.41	6381.92	4607.24	5292.48	5441.3	2520.38	2997.45	3146.52	2133.97	2148.82	2271.4	2591.27	4639.29	2777.33	2047.0	2956.17	2682.69	2502.97
FAM104A	332.14	595.34	470.14	403.5	629.35	503.95	466.88	708.18	547.75	483.38	379.04	435.55	366.09	381.68	371.22	332.14	358.54	323.03	387.02	309.83	281.09	373.81	255.0	255.0
FANCF	381.68	291.04	255.0	226.54	249.73	483.38	400.71	429.54	412.0	307.69	265.87	133.36	151.22	180.02	152.28	135.24	177.53	205.5	183.82	58.71	61.25	53.19	161.02	181.28
FDPS	3901.01	3124.78	5006.93	3103.19	3303.0	4066.71	2956.17	3901.01	4419.52	2451.44	3212.66	2163.77	2075.59	2303.12	2739.08	1991.0	2178.83	2075.59	2627.46	1883.54	2163.77	1487.87	2384.37	2609.3
GGPS1	1769.57	1617.0	2032.85	2178.83	1208.34	2664.15	1583.71	2627.46	2163.77	1096.5	2178.83	620.67	656.11	638.15	669.92	698.41	629.35	780.44	656.11	511.0	769.69	819.3	954.43	759.08
GLE1	603.67	638.15	525.39	660.68	713.11	791.35	842.36	591.22	733.19	679.29	591.22	397.93	293.07	450.94	379.04	414.87	356.05	389.72	420.68	132.44	246.28	178.77	307.69	334.46
GMDS	587.13	1208.34	988.12	941.27	665.29	656.11	571.05	791.35	934.76	866.07	928.3	285.03	684.02	551.56	607.87	384.34	551.56	616.37	373.81	251.48	420.68	373.81	293.07	463.65
GPC4	381.68	808.0	1127.35	1030.12	267.73	616.37	551.56	1268.46	529.06	599.49	1250.98	514.56	117.6	265.87	208.38	395.18	264.03	339.14	172.65	242.88	265.87	170.25	224.97	161.02
GPR39	129.69	158.79	150.17	167.9	139.07	81.71	205.5	366.09	134.3	283.05	156.59	49.21	73.03	45.85	55.89	41.52	39.5	36.01	51.71	28.45	19.39	8.51	37.59	40.36
GUCY1B3	147.06	223.41	158.79	186.4	151.22	76.17	348.71	599.49	450.94	373.81	129.69	155.5	24.63	41.22	32.13	102.25	52.08	113.56	96.68	51.35	108.9	105.89	70.51	79.45
HARBI1	110.43	111.21	86.43	149.12	105.15	137.14	102.97	127.89	108.9	106.63	108.14	59.13	45.85	44.89	72.01	46.18	44.25	61.25	74.58	29.7	38.12	30.12	39.22	61.25
HEATR2	660.68	486.75	395.18	318.57	503.95	660.68	466.88	381.68	373.81	293.07	432.53	351.14	267.73	314.17	234.57	305.55	283.05	279.14	389.72	246.28	220.32	231.32	293.07	246.28
HIST1H2AL	3.69	4.39	7.0	12.45	24.11	4.94	3.92	12.45	6.16	12.74	1.31	0.0	0.0	1.62	0.0	0.0	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0
HIST1H2BC	159.9	529.06	1369.04	633.73	1143.1	58.71	1551.09	3124.78	1127.35	1088.92	178.77	51.71	102.25	84.04	66.18	46.84	120.94	181.28	563.18	43.94	134.3	44.57	559.28	358.54
IARS2	2520.38	1806.78	2119.22	2537.92	2178.83	3564.78	2417.67	3564.78	2502.97	1135.2	2485.67	1001.93	928.3	1191.69	1066.48	1104.13	1159.07	941.27	1427.22	483.38	563.18	476.71	555.41	493.56
ICMT	718.08	981.29	819.3	1096.5	808.0	647.07	1001.93	780.44	713.11	884.29	1216.75	909.17	698.41	674.59	599.49	718.08	775.05	698.41	629.35	305.55	409.15	281.09	567.1	521.76
IGSF8	1259.69	1498.22	1388.16	981.29	1135.2	1143.1	1857.6	2119.22	1277.29	1340.84	2303.12	733.19	896.64	791.35	1023.0	780.44	836.53	866.07	1250.98	961.07	866.07	748.61	780.44	473.41
INPP4B	1709.26	358.54	470.14	275.28	518.15	104.42	148.09	483.38	265.87	98.73	796.86	64.8	23.59	72.52	35.0	69.52	41.52	59.55	70.51	98.73	41.81	40.93	57.08	34.51
JKAMP	1008.9	1208.34	890.44	1551.09	1397.83	1322.37	1208.34	1721.16	1313.23	1322.37	1313.23	616.37	703.28	647.07	819.3	759.08	688.78	775.05	988.12	563.18	587.13	638.15	915.51	974.5
KIFAP3	1096.5	764.36	1088.92	866.07	780.44	1407.55	708.18	1304.15	1030.12	503.95	947.83	412.0	356.05	470.14	444.72	432.53	384.34	423.61	493.56	303.44	371.22	376.41	373.81	368.65
LYPLAL1	1447.15	1143.1	1397.83	1417.35	808.0	2119.22	947.83	1605.83	1651.0	884.29	1259.69	409.15	105.15	197.09	343.89	473.41	260.38	571.05	656.11	480.04	693.58	543.96	295.11	323.03
MIF4GD	599.49	733.19	896.64	947.83	1183.45	1073.91	954.43	1572.76	688.78	1191.69	860.08	518.15	329.84	400.71	447.82	353.59	441.64	483.38	540.19	417.77	191.67	271.48	444.72	293.07
MPC2	3794.3	4038.61	2935.74	3018.3	2739.08	3768.09	1277.29	3060.45	2485.67	1551.09	3794.3	1225.22	1066.48	1407.55	1268.46	1151.06	1127.35	1268.46	2303.12	825.0	884.29	1023.0	1073.91	802.41
MRPS14	1151.06	988.12	981.29	1250.98	890.44	1407.55	1111.82	1397.83	1331.57	819.3	1208.34	620.67	563.18	733.19	728.11	633.73	674.59	651.58	884.29	540.19	624.99	514.56	607.87	536.45
NAA20	2255.7	2163.77	2047.0	1936.53	2335.28	2895.31	2367.9	3955.48	3235.01	2664.15	2555.58	1427.22	1819.35	1769.57	1651.0	1639.59	1721.16	2004.85	1781.89	1467.37	1529.73	1617.0	1051.79	1331.57
NHLRC1	58.3	79.45	59.13	108.14	108.9	59.55	52.08	193.01	68.55	127.89	74.06	37.05	21.63	45.21	32.82	17.13	38.67	26.47	73.54	3.5	11.47	6.57	12.64	15.11
NME1	2485.67	2520.38	3768.09	2400.97	3564.78	4123.49	1605.83	5517.27	3614.55	3212.66	2148.82	1030.12	1844.76	1417.35	1369.04	1081.39	1143.1	1111.82	1183.45	616.37	928.3	1037.29	536.45	954.43
NOMO1	1572.76	2032.85	2061.24	2537.92	2240.11	1936.53	2591.27	1870.53	2303.12	2047.0	2417.67	1295.13	1447.15	1111.82	1008.9	1151.06	1286.18	1167.14	1066.48	507.46	563.18	595.34	830.75	813.63
NOSTRIN	1073.91	872.1	470.14	2018.8	890.44	791.35	1572.76	1322.37	1233.75	638.15	728.11	334.46	175.07	234.57	248.0	376.41	301.33	307.69	166.73	165.57	38.4	72.01	75.11	21.47
NSL1	967.76	915.51	802.41	954.43	878.17	1044.52	713.11	1233.75	890.44	460.44	842.36	406.31	351.14	518.15	444.72	500.46	381.68	426.57	514.56	297.17	395.18	256.78	575.03	567.1
NUP133	1143.1	703.28	836.53	954.43	813.63	1268.46	890.44	974.5	1081.39	409.15	842.36	387.02	309.83	423.61	332.14	389.72	368.65	368.65	435.55	267.73	295.11	376.41	332.14	309.83
PARP1	2627.46	2796.65	3716.2	2400.97	2148.82	3742.05	1909.85	2555.58	2682.69	1447.15	2384.37	1437.15	728.11	1015.93	780.44	1111.82	872.1	934.76	1175.27	441.64	595.34	511.0	785.88	813.63
PBX1	2193.99	2400.97	2047.0	4239.45	4481.23	1685.71	2915.45	5112.16	3372.43	1143.1	2816.11	1572.76	486.75	1167.14	444.72	1304.15	780.44	954.43	1233.75	679.29	1081.39	629.35	813.63	738.29
PEX19	1963.57	1991.0	1583.71	2303.12	2075.59	1551.09	2075.59	3018.3	2400.97	1304.15	2271.4	1216.75	842.36	941.27	1023.0	1096.5	1111.82	1073.91	1242.34	1175.27	1508.65	1540.37	967.76	796.86
PIGX	723.08	836.53	591.22	921.88	679.29	642.59	753.83	988.12	890.44	665.29	819.3	368.65	353.59	373.81	366.09	435.55	361.04	343.89	368.65	183.82	217.27	158.79	256.78	248.0
PLGRKT	2178.83	1628.26	1467.37	1259.69	1427.22	2004.85	1427.22	1685.71	1135.2	2537.92	1594.73	348.71	480.04	490.14	387.02	518.15	356.05	514.56	579.04	275.28	454.09	279.14	466.88	507.46
PON2	2133.97	2502.97	1225.22	3820.7	3081.75	2720.15	1745.2	2976.74	1781.89	1923.14	4639.29	981.29	1044.52	928.3	764.36	934.76	954.43	1340.84	1073.91	733.19	429.54	397.93	529.06	387.02
PPA2	2609.3	2319.15	2384.37	3768.09	1963.57	3060.45	1896.65	2816.11	3614.55	2417.67	3039.3	1651.0	1561.89	1709.26	1870.53	1437.15	1781.89	1757.34	2255.7	1143.1	1427.22	1487.87	947.83	947.83
PPP2R5A	1225.22	1923.14	1151.06	1909.85	1135.2	2400.97	1896.65	2701.35	2163.77	842.36	2047.0	620.67	665.29	612.11	679.29	753.83	708.18	808.0	688.78	521.76	769.69	713.11	1250.98	1059.11
PRIM1	234.57	229.72	178.77	307.69	208.38	305.55	256.78	438.59	314.17	159.9	246.28	90.14	64.34	95.34	93.35	92.7	93.35	88.88	105.89	45.53	107.38	84.63	118.43	61.25
PSMD4	6699.25	4671.57	6471.02	4419.52	4671.57	6121.9	3491.39	6207.38	5112.16	3589.58	3820.7	3303.0	2895.31	3280.18	2976.74	2816.11	2855.44	3303.0	2777.33	2271.4	2240.11	1639.59	2997.45	2434.5
PTP4A2	10659.59	14765.09	8598.28	20737.16	14971.21	8778.97	10440.2	21026.65	8479.89	12244.81	17437.64	4038.61	4903.87	4607.24	4704.07	4388.98	4123.49	5219.6	2502.97	3820.7	5711.87	7081.29	5831.91	6607.01
RAB8A	1051.79	1369.04	1313.23	2287.2	1721.16	1561.89	954.43	1498.22	909.17	1304.15	1208.34	860.08	1008.9	890.44	698.41	769.69	796.86	703.28	780.44	426.57	555.41	497.0	571.05	591.22
RAE1	638.15	733.19	808.0	825.0	921.88	1259.69	688.78	921.88	842.36	785.88	791.35	435.55	387.02	500.46	441.64	387.02	423.61	460.44	571.05	307.69	327.56	246.28	529.06	603.67
RALGPS2	791.35	620.67	460.44	928.3	896.64	743.43	728.11	1167.14	748.61	241.19	738.29	86.43	87.03	120.1	115.97	135.24	117.6	146.03	113.56	107.38	72.52	178.77	100.13	76.71
RBM45	256.78	226.54	223.41	301.33	209.84	289.02	212.78	297.17	299.25	260.38	244.57	175.07	205.5	193.01	183.82	152.28	186.4	234.57	224.97	116.78	124.37	88.88	144.01	177.53
RDH14	825.0	780.44	780.44	915.51	902.89	656.11	759.08	1008.9	743.43	995.0	842.36	483.38	444.72	551.56	483.38	518.15	444.72	466.88	529.06	514.56	540.19	351.14	603.67	547.75
RNF139	759.08	698.41	603.67	902.89	796.86	848.22	703.28	1051.79	802.41	587.13	1242.34	341.51	267.73	341.51	309.83	366.09	314.17	381.68	409.15	397.93	353.59	432.53	289.02	283.05
RNF2	934.76	1030.12	258.57	1388.16	1498.22	511.0	915.51	1651.0	902.89	679.29	1340.84	226.54	289.02	312.0	279.14	277.2	226.54	312.0	234.57	195.72	165.57	264.03	309.83	237.86
RP11-345J4.5	473.41	684.02	866.07	647.07	450.94	738.29	490.14	723.08	497.0	1088.92	583.07	158.79	201.25	307.69	325.29	178.77	194.36	303.44	237.86	151.22	224.97	128.79	123.5	291.04
RPL39L	1066.48	633.73	988.12	432.53	529.06	1151.06	435.55	693.58	447.82	361.04	665.29	191.67	34.26	118.43	85.82	128.79	101.54	130.6	143.01	63.0	82.87	37.05	117.6	85.82
SCFD2	190.34	204.07	244.57	220.32	163.28	223.41	169.07	299.25	248.0	226.54	234.57	169.07	124.37	159.9	115.97	153.34	134.3	125.24	161.02	100.13	105.89	72.01	55.89	94.01
SCYL3	507.46	363.56	417.77	444.72	379.04	493.56	325.29	633.73	417.77	127.89	301.33	150.17	101.54	187.71	152.28	185.11	150.17	161.02	187.71	99.43	118.43	113.56	121.79	191.67
SEMG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2232145.06	3134925.09	2636147.11	4817989.11	3576208.94	4433454.0	3336720.86	4817989.11	0.0	0.0	0.0	0.0	0.0
SLC30A1	796.86	633.73	353.59	748.61	1628.26	1295.13	547.75	808.0	412.0	244.57	607.87	214.27	215.77	221.86	146.03	281.09	205.5	256.78	293.07	131.51	145.02	112.77	381.68	175.07
SMG8	217.27	217.27	201.25	277.2	325.29	271.48	267.73	341.51	307.69	208.38	241.19	157.68	117.6	172.65	143.01	166.73	152.28	146.03	187.71	68.55	108.9	72.52	147.06	169.07
SNAP47	1313.23	921.88	981.29	1167.14	813.63	878.17	1175.27	1467.37	878.17	728.11	791.35	532.74	341.51	473.41	438.59	441.64	470.14	547.75	733.19	336.79	540.19	454.09	567.1	547.75
SNAPIN	1685.71	1617.0	1950.0	2047.0	1745.2	2047.0	1259.69	2367.9	1757.34	1208.34	1651.0	1143.1	836.53	1015.93	995.0	941.27	878.17	941.27	1175.27	1104.13	1167.14	1175.27	1059.11	723.08
SPDYE3	129.69	58.71	115.97	114.36	108.9	186.4	96.68	130.6	140.04	81.71	60.39	65.72	46.18	55.49	43.63	50.98	43.02	40.64	62.56	37.05	52.82	34.02	39.79	46.5
SQRDL	1697.45	2875.3	2434.5	2434.5	1870.53	1250.98	1963.57	3146.52	2104.58	2701.35	3589.58	679.29	571.05	769.69	785.88	708.18	698.41	759.08	1208.34	514.56	620.67	567.1	967.76	1407.55
SRD5A3	1015.93	1081.39	967.76	1551.09	1397.83	612.11	669.92	1096.5	878.17	1073.91	1487.87	287.01	460.44	202.66	132.44	191.67	173.85	199.85	271.48	164.42	239.52	75.64	239.52	92.05
SRP9	10084.54	12415.75	9279.58	9945.68	8778.97	11664.82	10368.08	15824.9	13776.25	7695.57	12943.04	3212.66	3665.02	4239.45	3257.52	4095.0	3901.01	4419.52	3443.31	2956.17	3124.78	2997.45	3901.01	3564.78
TADA1	376.41	293.07	279.14	438.59	283.05	525.39	320.8	500.46	420.68	175.07	283.05	169.07	104.42	165.57	148.09	158.79	140.04	165.57	151.22	150.17	162.14	136.19	193.01	157.68
TATDN3	397.93	387.02	429.54	463.65	441.64	381.68	283.05	642.59	493.56	283.05	368.65	218.79	223.41	273.37	232.94	218.79	264.03	262.2	287.01	104.42	215.77	187.71	177.53	199.85
TMC5	1639.59	1127.35	2178.83	769.69	88.26	1594.73	191.67	718.08	173.85	208.38	1709.26	5.68	8.0	74.06	13.72	0.95	1.83	11.38	246.28	25.54	13.83	3.06	22.1	30.56
TMCO1	5594.3	5872.48	6516.03	6337.83	4972.34	6037.61	4836.35	8901.53	6887.62	3820.7	6561.36	2591.27	3564.78	2976.74	3716.2	3124.78	3639.7	3060.45	3395.89	1551.09	2434.5	1794.29	1769.57	2609.3
TMEM177	314.17	275.28	403.5	289.02	316.37	154.42	212.78	264.03	217.27	293.07	231.32	228.13	139.07	251.48	181.28	165.57	211.31	175.07	251.48	111.99	136.19	84.04	110.43	135.24
TMEM254	1477.58	2004.85	1745.2	2148.82	1697.45	2148.82	2061.24	2417.67	2148.82	1572.76	2609.3	665.29	583.07	733.19	775.05	595.34	733.19	651.58	1225.22	329.84	507.46	339.14	674.59	660.68
TOR1A	738.29	915.51	848.22	785.88	848.22	791.35	836.53	884.29	836.53	1015.93	872.1	733.19	775.05	599.49	733.19	665.29	684.02	660.68	665.29	497.0	493.56	503.95	543.96	684.02
TOR3A	1225.22	896.64	1369.04	785.88	684.02	1457.23	713.11	1051.79	1008.9	688.78	1051.79	497.0	423.61	426.57	444.72	435.55	379.04	414.87	511.0	264.03	293.07	309.83	366.09	500.46
TP53	1081.39	1104.13	1059.11	995.0	718.08	1991.0	1096.5	417.77	1023.0	967.76	866.07	647.07	361.04	571.05	327.56	417.77	476.71	480.04	507.46	166.73	466.88	348.71	265.87	447.82
TRAP1	2148.82	1111.82	1991.0	1628.26	1923.14	2645.74	1950.0	1225.22	1457.23	1651.0	915.51	1242.34	1044.52	961.07	934.76	961.07	1015.93	1030.12	1081.39	1008.9	651.58	500.46	547.75	536.45
TRIAP1	651.58	743.43	866.07	679.29	764.36	1066.48	563.18	791.35	796.86	902.89	748.61	363.56	483.38	591.22	429.54	473.41	406.31	547.75	587.13	221.86	291.04	307.69	466.88	470.14
TRPS1	2178.83	1832.01	1519.15	3146.52	3690.52	2664.15	3665.02	3280.18	2835.7	1030.12	3081.75	148.09	68.55	121.79	81.14	161.02	115.97	126.12	158.79	35.25	69.03	108.14	96.68	71.0
