	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.CM.6167.01A.11R.1653.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6603.11A.02R.1839.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.OXRL.0726.SM.3NM9A	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RM2N.0626.SM.48FD6	GTEX.TKQ2.1226.SM.4DXSV	GTEX.14BMV.1426.SM.5S2WA	GTEX.XBEW.1426.SM.4AT4J	GTEX.TML8.1426.SM.4DXUT	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.8297.01A.12R.2343.13	TCGA.BR.A453.01A.11R.A24K.31	TCGA.BR.A4J2.01A.21R.A251.31	TCGA.CD.8530.01A.11R.2343.13
CLDN14	9.2	46.18	2.73	1.1	26.67	0.73	0.0	6.62	0.44	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.94	1.11	22.92	13.93
CLSPN	103.69	7.82	21.01	10.39	52.08	11.55	0.0	32.13	0.0	0.0	2.32	6.84	5.5	2.32	0.0	1.2	6.46	12.45	70.51	22.59	69.03	100.13
CMIP	1378.57	1216.75	1304.15	995.0	1199.98	703.28	679.29	872.1	353.59	246.28	336.79	368.65	420.68	521.76	232.94	312.0	432.53	718.08	1594.73	1467.37	1870.53	2178.83
COMMD4	2209.26	1529.73	1721.16	1378.57	1721.16	1583.71	1286.18	1407.55	934.76	1457.23	1359.57	1340.84	1250.98	1250.98	1277.29	1350.18	1268.46	1268.46	1769.57	1651.0	1583.71	1674.06
COMT	3564.78	3235.01	2417.67	2224.63	2739.08	2520.38	2319.15	2287.2	1551.09	1487.87	1457.23	1519.15	1721.16	1540.37	1594.73	1594.73	1583.71	1819.35	2224.63	2351.53	2468.49	3039.3
CTBS	361.04	223.41	295.11	236.21	283.05	323.03	189.02	201.25	119.26	81.14	182.55	153.34	187.71	161.02	114.36	135.24	231.32	336.79	500.46	432.53	371.22	353.59
CXCR6	260.38	47.5	63.0	21.94	82.29	48.87	18.16	24.63	8.45	4.39	20.56	11.47	21.78	17.25	15.0	16.63	16.51	35.5	70.51	48.18	117.6	105.15
DPYSL2	1015.93	2061.24	1059.11	941.27	1059.11	941.27	1487.87	1923.14	1674.06	638.15	769.69	995.0	753.83	785.88	813.63	718.08	1015.93	1304.15	1561.89	1628.26	1159.07	1870.53
DTL	115.97	41.81	55.1	26.86	61.25	32.36	0.66	69.52	0.0	0.0	3.08	5.41	5.06	10.96	1.06	1.57	9.7	24.81	82.29	45.21	62.56	80.57
E2F1	229.72	118.43	221.86	81.14	115.16	59.55	21.78	152.28	29.48	47.17	64.34	108.14	96.01	34.75	124.37	74.06	65.72	39.22	232.94	171.45	215.77	214.27
E2F7	38.4	12.27	23.25	3.89	16.27	8.71	1.43	50.27	0.0	0.75	0.75	1.19	0.0	1.2	1.66	0.75	3.38	13.03	23.59	5.82	33.3	37.85
ECEL1	25.17	48.52	69.03	3.76	18.84	21.16	16.15	73.54	24.99	1.93	5.15	14.35	17.25	8.13	12.27	8.71	9.27	8.99	63.0	25.91	325.29	223.41
ENPP2	988.12	764.36	473.41	620.67	547.75	813.63	674.59	366.09	176.29	75.64	152.28	127.89	384.34	318.57	163.28	88.26	248.0	769.69	361.04	536.45	616.37	1066.48
FAM72B	100.83	34.51	41.52	10.96	52.08	16.51	18.84	51.71	5.32	9.56	8.0	12.93	22.92	13.12	8.78	13.72	9.93	18.43	84.04	39.22	83.45	71.0
FBLIM1	1417.35	1561.89	1498.22	2451.44	1397.83	1977.24	1936.53	1378.57	1286.18	915.51	928.3	1259.69	1081.39	1407.55	1183.45	1268.46	842.36	1498.22	2451.44	2976.74	1769.57	1745.2
FBXO4	339.14	167.9	281.09	145.02	193.01	217.27	175.07	182.55	115.97	173.85	199.85	120.94	145.02	146.03	181.28	158.79	149.12	224.97	248.0	249.73	248.0	214.27
FEN1	780.44	363.56	271.48	255.0	435.55	232.94	163.28	332.14	137.14	133.36	150.17	122.64	139.07	135.24	79.45	127.89	142.01	205.5	303.44	223.41	409.15	414.87
FKBP11	2520.38	825.0	780.44	329.84	1896.65	866.07	96.68	314.17	102.97	191.67	178.77	563.18	316.37	194.36	258.57	289.02	221.86	336.79	1143.1	764.36	1883.54	2319.15
FMOD	1697.45	1651.0	1583.71	738.29	1674.06	934.76	1242.34	299.25	325.29	500.46	571.05	866.07	616.37	500.46	518.15	599.49	389.72	1001.93	2855.44	1340.84	3212.66	1950.0
FOXM1	483.38	73.03	81.71	69.52	384.34	78.89	12.74	110.43	1.11	12.93	12.36	43.94	13.42	36.79	47.84	29.06	38.95	51.71	583.07	194.36	595.34	480.04
G3BP1	1250.98	1407.55	1073.91	1044.52	921.88	836.53	563.18	830.75	575.03	379.04	507.46	543.96	497.0	559.28	435.55	420.68	665.29	1023.0	1119.56	591.22	1037.29	1208.34
GABRD	22.75	44.89	41.81	2.84	2.25	6.57	4.43	33.06	2.36	4.35	1.55	3.2	0.59	3.59	4.31	1.53	4.7	1.91	38.67	12.27	74.06	141.02
GJA9	4.82	1.33	2.89	10.08	3.72	4.5	1.83	1.95	5.63	1.87	1.85	0.0	1.38	1.36	4.21	0.0	0.0	4.74	4.1	1.77	15.68	6.84
GORASP2	1277.29	1674.06	1498.22	1447.15	1572.76	1417.35	1467.37	1250.98	967.76	1088.92	1159.07	1096.5	1208.34	1151.06	713.11	921.88	1051.79	1369.04	1685.71	1498.22	1950.0	1529.73
HIST1H2AM	30.34	2.1	5.11	2.25	18.84	5.41	0.93	4.58	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	40.36	12.74	24.99	29.27
HIST3H2A	185.11	201.25	312.0	73.03	133.36	102.97	56.68	206.94	51.35	36.79	66.65	59.55	44.25	84.63	86.43	83.45	138.1	56.28	447.82	180.02	181.28	460.44
HMGB3	1963.57	612.11	607.87	327.56	555.41	651.58	97.36	909.17	105.89	113.56	181.28	176.29	106.63	86.43	70.01	157.68	100.13	293.07	872.1	497.0	575.03	967.76
HNF4G	13.32	19.53	20.86	43.02	29.7	85.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.63	0.0	0.0	0.0	35.0	234.57	127.0	81.71	120.1
HPRT1	1044.52	624.99	921.88	426.57	414.87	575.03	299.25	521.76	224.97	329.84	332.14	420.68	255.0	218.79	242.88	253.23	384.34	444.72	1331.57	571.05	1417.35	703.28
KCNK6	361.04	351.14	262.2	460.44	514.56	295.11	417.77	68.55	30.34	41.52	64.8	87.65	102.25	54.33	80.57	103.69	153.34	366.09	241.19	197.09	271.48	713.11
KISS1	8.65	20.86	6.26	2.41	0.91	3.06	4.82	0.21	0.0	17.25	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.52	11.47	9.48	164.42
LAYN	264.03	1529.73	981.29	547.75	438.59	830.75	854.13	239.52	244.57	88.88	205.5	94.01	237.86	170.25	127.0	193.01	143.01	698.41	1529.73	934.76	289.02	343.89
LTBR	3039.3	2777.33	2609.3	2720.15	2682.69	2240.11	2664.15	2796.65	1963.57	2104.58	1977.24	2351.53	1857.6	2434.5	2434.5	2997.45	1909.85	2061.24	3280.18	3901.01	3349.13	2915.45
MAD2L1	718.08	215.77	231.32	108.9	246.28	220.32	29.06	441.64	24.63	17.51	38.4	49.56	41.52	55.1	33.3	21.78	48.52	164.42	323.03	181.28	289.02	223.41
MAGOH	2367.9	1225.22	1721.16	1030.12	1277.29	1304.15	961.07	1388.16	902.89	669.92	890.44	791.35	688.78	928.3	693.58	802.41	848.22	1250.98	1498.22	1487.87	1259.69	1769.57
MCM4	1127.35	791.35	358.54	376.41	351.14	239.52	211.31	825.0	186.4	91.41	118.43	159.9	122.64	149.12	239.52	99.43	223.41	316.37	1331.57	583.07	941.27	1143.1
MINA	532.74	466.88	525.39	420.68	389.72	358.54	358.54	307.69	241.19	231.32	281.09	309.83	314.17	283.05	281.09	277.2	236.21	435.55	490.14	373.81	540.19	486.75
MMS22L	62.12	56.28	74.58	41.81	60.39	31.22	36.79	60.82	22.75	10.47	18.29	23.59	33.54	25.54	40.07	21.16	29.7	63.0	109.66	81.14	106.63	96.68
MND1	123.5	49.21	93.35	21.78	113.56	59.13	8.0	30.78	8.38	14.89	4.21	36.01	8.32	13.22	33.3	3.76	23.42	37.05	106.63	88.88	98.04	53.95
MRPL3	2193.99	1583.71	1437.15	1199.98	1331.57	1331.57	1030.12	1199.98	825.0	759.08	1111.82	842.36	947.83	878.17	748.61	872.1	1066.48	1359.57	1909.85	1457.23	2075.59	2119.22
NCOA7	733.19	860.08	780.44	432.53	656.11	669.92	361.04	954.43	435.55	143.01	221.86	242.88	275.28	231.32	190.34	256.78	277.2	563.18	909.17	743.43	1037.29	764.36
NFKBIE	414.87	307.69	256.78	158.79	214.27	214.27	75.64	147.06	109.66	53.57	104.42	85.22	87.65	108.14	105.89	122.64	51.71	98.73	182.55	148.09	432.53	289.02
NMB	629.35	275.28	171.45	88.26	173.85	98.04	127.0	162.14	69.03	84.04	44.57	46.84	71.5	135.24	35.76	118.43	87.65	143.01	195.72	224.97	183.82	277.2
NMRAL1	988.12	866.07	902.89	791.35	967.76	842.36	718.08	599.49	343.89	450.94	854.13	638.15	743.43	536.45	514.56	698.41	629.35	575.03	1088.92	928.3	934.76	896.64
NOB1	1397.83	1277.29	1350.18	860.08	961.07	915.51	728.11	902.89	540.19	441.64	723.08	693.58	616.37	616.37	480.04	547.75	674.59	890.44	1508.65	1127.35	1159.07	1001.93
NUDT1	1477.58	620.67	961.07	476.71	769.69	723.08	575.03	1175.27	356.05	242.88	366.09	244.57	348.71	353.59	320.8	246.28	206.94	507.46	642.59	503.95	555.41	759.08
NUSAP1	567.1	54.33	141.02	55.49	356.05	162.14	8.99	63.0	1.41	14.56	14.35	25.91	19.82	33.3	25.91	21.94	55.49	108.9	563.18	178.77	476.71	299.25
PAPPA-AS1	19.11	4.28	10.24	13.32	4.03	7.88	13.72	29.91	16.27	0.0	1.11	3.03	4.54	4.46	0.0	1.66	1.13	13.03	15.8	25.54	15.11	140.04
PFDN2	4066.71	2163.77	3491.39	1322.37	1832.01	1896.65	1844.76	3443.31	1662.49	1015.93	1322.37	1127.35	1073.91	947.83	1674.06	1259.69	1250.98	1350.18	2148.82	1909.85	2855.44	3168.41
PGM2L1	154.42	177.53	110.43	94.01	87.03	90.77	98.04	70.01	71.0	6.84	20.41	53.95	60.39	26.86	25.35	21.16	42.41	113.56	147.06	63.45	137.14	155.5
PHKG1	47.5	327.56	525.39	182.55	346.29	251.48	651.58	638.15	26.86	24.11	8.92	47.84	20.26	32.13	35.25	22.92	44.57	400.71	146.03	146.03	163.28	55.89
POLE2	206.94	60.39	70.01	64.34	74.58	43.32	18.16	93.35	3.23	15.45	14.03	29.27	16.88	22.1	29.27	28.86	12.83	49.91	176.29	82.87	283.05	113.56
PRC1	854.13	397.93	366.09	173.85	603.67	283.05	76.71	181.28	92.7	91.41	167.9	100.13	102.25	109.66	198.47	145.02	155.5	171.45	674.59	361.04	665.29	665.29
PTTG1	1651.0	281.09	327.56	116.78	928.3	476.71	43.32	146.03	5.68	25.91	61.68	58.3	40.64	47.5	57.49	41.52	78.89	145.02	703.28	503.95	669.92	981.29
RAB1A	4152.18	3257.52	3768.09	3325.99	3665.02	3665.02	2915.45	2645.74	2796.65	2119.22	2935.74	2502.97	2468.49	2335.28	2451.44	2400.97	2739.08	3349.13	4123.49	4123.49	4419.52	4869.99
RAD51	251.48	51.35	34.51	61.68	105.89	63.0	3.59	29.48	3.56	8.19	16.27	9.56	11.04	3.96	8.92	5.59	14.56	35.25	110.43	65.72	140.04	89.51
RAD51AP1	204.07	60.39	49.56	40.93	119.26	90.77	19.11	63.89	8.51	11.3	19.68	4.82	14.24	27.44	16.15	10.24	22.26	89.51	133.36	50.98	175.07	122.64
RECQL4	579.04	297.17	289.02	121.79	303.44	96.68	52.82	73.03	13.62	57.08	73.54	111.99	37.32	77.25	96.68	75.11	88.88	52.08	476.71	212.78	473.41	551.56
REEP4	791.35	444.72	358.54	236.21	733.19	507.46	161.02	507.46	45.53	162.14	206.94	318.57	358.54	262.2	206.94	231.32	265.87	299.25	1088.92	409.15	603.67	1457.23
RHNO1	638.15	450.94	483.38	312.0	417.77	387.02	291.04	356.05	195.72	173.85	205.5	232.94	246.28	301.33	187.71	169.07	309.83	412.0	713.11	674.59	466.88	555.41
RIPPLY3	25.72	1.75	28.45	0.4	1.48	1.23	0.0	1.01	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.19	3.47	0.36	6.06
RMI2	242.88	113.56	197.09	73.54	285.03	201.25	28.86	69.03	0.37	5.54	27.44	55.49	9.27	15.8	27.44	3.56	31.67	77.25	169.07	79.45	224.97	134.3
RNF157	75.64	220.32	145.02	142.01	155.5	348.71	87.65	65.72	80.01	33.3	63.45	59.97	73.54	38.12	27.05	132.44	47.17	141.02	155.5	236.21	189.02	186.4
RPA3-AS1	363.56	346.29	447.82	356.05	414.87	511.0	379.04	190.34	206.94	281.09	476.71	229.72	346.29	309.83	343.89	246.28	392.44	426.57	780.44	555.41	518.15	723.08
RRBP1	2451.44	2627.46	2287.2	3235.01	3081.75	1628.26	808.0	1143.1	860.08	1551.09	860.08	1617.0	988.12	1551.09	854.13	1159.07	1268.46	1397.83	2739.08	1923.14	4210.15	6207.38
RRM2	1242.34	85.22	130.6	46.84	1685.71	128.79	0.44	15.68	0.0	2.41	10.96	18.03	7.51	7.46	6.84	13.12	23.76	39.5	612.11	239.52	825.0	743.43
SEZ6L2	476.71	285.03	146.03	167.9	150.17	122.64	72.52	18.97	14.45	12.93	45.53	75.64	57.89	28.45	21.16	19.39	77.79	114.36	457.25	52.08	878.17	536.45
SHMT2	1977.24	1529.73	1111.82	808.0	1487.87	1242.34	642.59	785.88	223.41	457.25	616.37	507.46	587.13	493.56	277.2	454.09	457.25	780.44	1674.06	941.27	1498.22	2133.97
SKA1	92.05	23.59	19.39	6.73	62.56	25.91	1.64	6.16	0.0	0.0	4.35	1.5	1.01	2.97	2.48	0.0	4.39	16.51	81.14	29.06	56.28	81.14
SKA3	128.79	11.73	37.59	12.09	46.5	22.26	1.36	11.04	0.0	0.0	1.71	1.69	11.13	7.22	1.17	12.74	11.55	15.11	114.36	73.54	112.77	197.09
SLC16A10	89.51	40.36	14.89	12.18	9.7	31.22	3.63	5.54	0.34	5.02	3.03	2.36	10.47	3.69	5.68	1.11	1.77	22.92	31.67	19.82	177.53	118.43
SLC25A17	486.75	329.84	348.71	209.84	224.97	253.23	193.01	205.5	144.01	194.36	209.84	201.25	173.85	182.55	152.28	215.77	144.01	246.28	307.69	279.14	343.89	376.41
SNRPG	4972.34	2555.58	4010.71	1697.45	2591.27	2485.67	1794.29	3639.7	1819.35	1662.49	1883.54	1417.35	1583.71	1322.37	1135.2	2004.85	1096.5	2075.59	3874.05	2895.31	3639.7	2758.13
SNX8	1313.23	612.11	624.99	525.39	547.75	463.65	371.22	575.03	191.67	251.48	202.66	223.41	256.78	264.03	289.02	283.05	269.6	356.05	629.35	567.1	693.58	791.35
SPC24	246.28	68.07	78.34	34.02	76.17	64.8	12.0	125.24	29.7	37.85	47.84	32.13	34.75	17.77	10.55	47.17	61.25	33.78	138.1	220.32	96.68	273.37
STAC2	4.43	49.56	11.38	27.25	10.47	29.7	38.4	44.25	3.63	10.0	8.51	4.31	2.32	0.91	2.29	0.91	1.27	14.24	7.75	19.11	57.49	13.42
STEAP1	1378.57	444.72	486.75	336.79	329.84	387.02	189.02	642.59	127.89	75.11	74.58	189.02	121.79	167.9	108.9	85.22	152.28	209.84	934.76	392.44	1508.65	785.88
STOML3	1.48	0.0	1.0	1.41	0.01	2.58	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.0	2.12	2.14
SURF4	3124.78	2976.74	2417.67	2468.49	2777.33	2400.97	1769.57	1781.89	1561.89	2004.85	1721.16	1733.13	1757.34	1529.73	1023.0	1561.89	1674.06	1794.29	2417.67	2417.67	3395.89	3467.27
TAGLN	67846.12	585779.24	440870.9	485798.0	329517.51	869603.57	3113270.58	857631.47	1703415.74	286861.53	370726.6	311742.51	292889.12	253213.41	318292.9	313910.86	254974.66	561916.97	202841.44	370726.6	63742.91	50011.46
TCEB1	3349.13	2224.63	2720.15	1407.55	1477.58	1745.2	1617.0	2004.85	1909.85	1295.13	1662.49	1081.39	1447.15	1183.45	1397.83	1388.16	1437.15	1697.45	2591.27	2163.77	2178.83	2720.15
TFG	2367.9	2004.85	1605.83	1819.35	1963.57	1745.2	1457.23	1870.53	1477.58	1277.29	1697.45	1498.22	1359.57	1540.37	1498.22	1295.13	1519.15	1794.29	2255.7	1950.0	2271.4	2090.03
TMEM87B	267.73	277.2	366.09	409.15	236.21	373.81	128.79	277.2	128.79	151.22	157.68	223.41	204.07	264.03	167.9	161.02	223.41	403.5	351.14	178.77	540.19	403.5
TOMM40	1923.14	954.43	947.83	1268.46	1225.22	836.53	769.69	836.53	703.28	808.0	796.86	674.59	511.0	525.39	633.73	708.18	547.75	647.07	1295.13	1191.69	1001.93	954.43
TONSL	133.36	144.01	92.7	76.17	118.43	43.02	41.81	59.55	18.03	17.25	31.9	59.97	34.51	45.53	55.1	31.45	52.82	56.28	301.33	104.42	205.5	253.23
TOP2A	1331.57	76.71	591.22	73.03	392.44	299.25	7.94	400.71	0.22	11.21	14.35	8.71	26.67	20.71	13.32	11.55	32.82	170.25	753.83	403.5	934.76	633.73
TOR1A	728.11	703.28	738.29	642.59	591.22	612.11	521.76	567.1	480.04	518.15	567.1	480.04	595.34	423.61	329.84	441.64	540.19	591.22	591.22	638.15	693.58	656.11
TRIP13	454.09	77.79	100.13	20.71	102.97	47.5	13.42	27.05	5.41	3.96	7.63	21.01	21.94	22.1	9.06	31.0	23.93	22.92	167.9	81.71	100.83	137.14
TTYH3	1208.34	791.35	1143.1	316.37	866.07	343.89	211.31	738.29	220.32	264.03	218.79	457.25	363.56	361.04	269.6	332.14	392.44	273.37	532.74	656.11	1437.15	1540.37
UBALD2	1651.0	1044.52	866.07	1030.12	1407.55	1477.58	599.49	775.05	255.0	371.22	890.44	356.05	1051.79	460.44	595.34	718.08	536.45	660.68	1870.53	1769.57	2417.67	2664.15
UBE2S	2855.44	1259.69	1322.37	633.73	1191.69	728.11	503.95	1857.6	890.44	656.11	620.67	432.53	579.04	353.59	466.88	718.08	368.65	353.59	1277.29	1594.73	1427.22	2701.35
USP6NL	146.03	215.77	166.73	161.02	154.42	151.22	137.14	228.13	79.45	80.01	108.9	110.43	136.19	122.64	114.36	116.78	133.36	183.82	255.0	140.04	253.23	234.57
VMO1	325.29	113.56	167.9	41.52	64.8	63.0	58.3	69.03	36.53	5.73	27.05	36.01	7.46	31.22	11.73	17.64	38.4	33.06	111.21	71.5	241.19	2178.83
VOPP1	1857.6	1191.69	1322.37	796.86	961.07	878.17	435.55	1685.71	301.33	339.14	260.38	493.56	454.09	470.14	197.09	366.09	420.68	775.05	1457.23	854.13	1594.73	1127.35
VRK1	414.87	262.2	346.29	209.84	291.04	265.87	147.06	199.85	102.25	66.18	172.65	115.97	183.82	131.51	197.09	153.34	153.34	229.72	287.01	224.97	269.6	246.28
WSB2	1135.2	1044.52	656.11	1286.18	995.0	1088.92	819.3	684.02	915.51	1427.22	830.75	915.51	981.29	796.86	567.1	764.36	848.22	928.3	1331.57	1322.37	1119.56	1322.37
XRCC2	29.48	12.45	28.45	8.65	15.91	8.71	3.0	25.72	3.44	1.6	5.45	5.36	3.79	7.51	3.76	5.82	5.06	8.45	74.06	27.05	63.0	59.55
ZNF22	429.54	389.72	454.09	297.17	371.22	490.14	397.93	312.0	256.78	260.38	265.87	267.73	376.41	356.05	186.4	269.6	283.05	497.0	384.34	343.89	420.68	463.65
ZNF367	44.57	53.95	59.13	39.5	43.63	25.72	10.16	79.45	40.93	26.67	29.91	18.56	35.76	14.89	15.0	20.71	39.5	42.11	108.14	105.15	94.67	83.45
