	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.12WSD.2026.SM.5HL7D	GTEX.11DYG.1426.SM.5A5JR	GTEX.12WSD.1926.SM.5GCOV	TCGA.CV.7183.11A.01R.2016.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.38.4625.01A.01R.1206.07	TCGA.EJ.A8FO.11A.11R.A36G.07	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3732.11A.01R.1660.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZP4G.1926.SM.57WDZ	GTEX.13CF2.2426.SM.5LZYL
INPPL1	1628.26	1540.37	2303.12	1857.6	2720.15	2627.46	2591.27	4481.23	3820.7	3955.48	251.48	205.5	0.0	1551.09	1397.83	981.29	1295.13	1806.78	115.16	346.29	511.0
KCNT2	20.11	16.03	24.46	547.75	738.29	251.48	201.25	224.97	122.64	127.0	2.68	6.26	0.0	7.46	29.91	13.72	17.9	35.25	2.48	1.75	8.32
KIAA0907	514.56	500.46	583.07	808.0	860.08	532.74	860.08	1572.76	1199.98	1340.84	226.54	115.16	0.0	476.71	358.54	214.27	339.14	591.22	41.22	121.79	158.79
LCAT	406.31	493.56	872.1	764.36	1477.58	1023.0	1519.15	1477.58	1628.26	1167.14	28.24	713.11	0.0	493.56	420.68	241.19	211.31	511.0	11.21	27.05	171.45
LRP2BP	54.72	21.63	75.64	66.65	111.99	136.19	57.49	185.11	114.36	141.02	5.41	3.63	0.0	33.54	16.88	13.22	19.53	90.77	2.05	6.94	38.12
LZTR1	928.3	785.88	1233.75	1617.0	1794.29	1477.58	1447.15	1832.01	1923.14	1561.89	129.69	189.02	0.0	808.0	642.59	669.92	381.68	1081.39	151.22	228.13	299.25
MAP7D3	156.59	154.42	239.52	518.15	651.58	579.04	476.71	366.09	336.79	325.29	22.26	36.79	0.0	141.02	151.22	109.66	156.59	242.88	84.63	59.97	231.32
MDC1	429.54	368.65	507.46	403.5	780.44	466.88	1037.29	669.92	743.43	514.56	41.22	190.34	0.0	409.15	447.82	414.87	381.68	381.68	47.84	93.35	264.03
MSS51	19.25	24.11	38.12	32.13	53.95	25.91	45.85	94.01	87.03	61.68	2.68	5.02	0.0	24.63	10.39	7.94	10.24	31.45	2.03	3.89	21.16
NPIPB11	24.63	14.78	17.13	30.56	41.52	25.91	52.45	72.52	96.01	67.59	3.29	2.41	0.0	17.51	4.13	5.23	4.31	17.64	3.11	1.93	14.78
NPIPB4	819.3	460.44	1044.52	1183.45	1923.14	698.41	2555.58	2816.11	3742.05	1806.78	76.17	35.5	0.0	759.08	107.38	217.27	133.36	819.3	38.12	63.45	198.47
NR2C1	480.04	483.38	500.46	693.58	1350.18	540.19	693.58	941.27	1023.0	934.76	162.14	232.94	0.0	334.46	353.59	346.29	460.44	669.92	156.59	195.72	473.41
OTUD7A	21.63	27.64	21.94	35.76	50.63	37.05	40.36	60.82	51.35	51.35	3.17	6.31	0.0	21.01	6.62	26.67	16.63	21.63	7.88	8.71	13.32
PACS2	1183.45	941.27	1467.37	1447.15	1617.0	1407.55	1477.58	2075.59	1721.16	1709.26	201.25	132.44	0.0	1135.2	629.35	660.68	490.14	995.0	209.84	395.18	1159.07
PAPD7	316.37	251.48	339.14	555.41	551.56	500.46	521.76	728.11	642.59	595.34	83.45	100.13	0.0	334.46	221.86	217.27	258.57	356.05	78.89	166.73	201.25
PIGG	808.0	878.17	764.36	1008.9	1167.14	571.05	1250.98	1769.57	1519.15	1857.6	381.68	234.57	0.0	728.11	909.17	723.08	718.08	743.43	158.79	273.37	226.54
POGZ	934.76	638.15	1088.92	1551.09	1583.71	1388.16	2004.85	2682.69	2319.15	1857.6	153.34	98.73	366.09	603.67	543.96	470.14	400.71	1023.0	80.01	214.27	406.31
PRDM15	92.05	43.32	68.07	119.26	101.54	81.14	99.43	148.09	139.07	148.09	24.46	5.54	0.0	63.89	37.59	54.72	28.04	55.1	21.32	32.13	54.33
PRIMA1	1001.93	967.76	1963.57	497.0	1073.91	1127.35	1639.59	1583.71	1529.73	1388.16	21.78	0.25	0.0	406.31	169.07	387.02	175.07	1388.16	18.97	77.79	76.17
RNF166	325.29	376.41	426.57	381.68	371.22	348.71	547.75	500.46	555.41	551.56	66.65	115.16	0.0	339.14	183.82	175.07	116.78	339.14	87.03	86.43	208.38
SEC31B	136.19	75.11	143.01	237.86	444.72	154.42	368.65	624.99	473.41	518.15	7.11	8.78	0.0	119.26	52.45	26.28	19.25	140.04	1.19	4.24	157.68
SUGP2	785.88	514.56	693.58	1322.37	1259.69	1015.93	1233.75	1794.29	1651.0	1781.89	137.14	152.28	0.0	928.3	466.88	698.41	679.29	728.11	106.63	189.02	305.55
TMEM74B	42.71	20.11	18.43	92.05	69.03	34.02	100.13	102.25	181.28	85.82	10.31	6.78	0.0	18.29	2.84	9.93	3.99	25.72	1.19	10.08	35.0
TPM2	217400.14	303217.87	1063212.58	706337.4	663619.99	2392353.91	408505.64	112532.89	104271.56	130165.62	138.1	161.02	0.0	104996.83	251464.33	179048.63	275175.93	209994.66	9876.98	2609.3	554180.87
UBR4	3124.78	1977.24	2287.2	2384.37	4239.45	2875.3	5403.7	4419.52	4769.75	3768.09	1051.79	1369.04	0.0	2609.3	2303.12	2209.26	2875.3	1963.57	1457.23	2193.99	1857.6
WWC3	423.61	287.01	423.61	503.95	796.86	780.44	708.18	753.83	723.08	708.18	102.97	85.22	66.18	423.61	403.5	348.71	312.0	381.68	154.42	177.53	172.65
YEATS2	239.52	242.88	381.68	591.22	366.09	371.22	279.14	490.14	438.59	463.65	110.43	47.17	0.0	242.88	262.2	277.2	251.48	332.14	153.34	133.36	88.26
ZMIZ2	1286.18	921.88	1378.57	1605.83	1674.06	1508.65	1639.59	2956.17	1819.35	2104.58	277.2	144.01	0.0	1023.0	974.5	780.44	674.59	1044.52	177.53	525.39	536.45
ZNF160	341.51	318.57	473.41	435.55	656.11	476.71	438.59	1216.75	638.15	921.88	96.01	39.22	0.0	287.01	253.23	228.13	299.25	409.15	43.63	55.89	53.95
ZNF333	293.07	279.14	466.88	371.22	532.74	291.04	490.14	679.29	514.56	490.14	45.53	22.43	0.0	204.07	156.59	136.19	212.78	381.68	20.71	28.45	84.63
