	TCGA.BL.A13I.01A.11R.A277.07	TCGA.BL.A13I.01A.11R.A13Y.07	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.14C38.2626.SM.5RQI4	TCGA.CN.6019.01A.11R.1686.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.BW.A5NQ.01A.11R.A27V.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.A73A.01A.12R.A32O.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACW.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.60.2709.01A.21R.1820.07	TCGA.18.3411.01A.01R.0980.07	TCGA.66.2737.01A.01R.0980.07	TCGA.43.6773.01A.41R.1949.07	TCGA.77.8007.11A.01R.2187.07	TCGA.34.7107.11A.01R.1949.07
C9orf84	50.27	59.55	5.19	6.31	2.46	1.6	3.63	1.64	0.0	0.0	0.41	0.45	0.0	1.25	0.0	0.59	1.45	8.0	0.0	0.57	0.55	6.16	0.6	0.0	2.84	0.0	0.0	0.0	0.0	0.49	0.48	3.29	0.0	0.0	0.0	1.25	1.0	0.0	0.54	0.0	0.0	0.55	4.03	0.52	3.79	0.0	0.0	1.97	0.58	0.48	0.0	0.0	0.58	0.0	0.0	0.89	0.52	0.51	0.0	0.43	0.77	0.0	0.0	0.95	0.06	0.0	0.0	0.73	2.73	7.46	0.0	1.93	1.66	3.2	3.69	0.52	0.57	1.5	0.35	2.71	0.0	7.94	0.0	1.73	11.55	16.39	16.75	1.77	4.39	1.03
CACNA1G	148.09	56.28	3.32	15.91	6.89	17.51	10.71	1.25	1.85	0.69	0.84	0.46	0.38	0.0	0.0	0.0	0.53	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.44	3.66	0.0	0.0	0.0	0.0	0.52	0.49	0.49	0.0	0.0	0.51	0.0	0.47	0.42	0.0	0.0	0.0	0.54	0.0	0.0	0.41	0.99	0.0	0.68	1.22	0.46	0.45	0.15	0.6	1.33	0.0	0.0	0.61	0.0	0.49	0.16	9.06	5.96	1.39	1.57	2.43	3.72	10.88	3.17	21.16	1.19	10.55	11.3	3.92	2.25	10.08	3.26	2.1	1.55	1.31	4.28	3.96	3.26	5.82
CACNG8	30.78	41.52	4.39	1.1	1.79	3.79	1.57	2.86	1.83	0.35	4.58	0.0	0.37	0.43	0.0	0.0	1.71	0.0	0.44	0.0	0.87	0.97	0.52	0.43	0.45	0.0	0.83	0.51	1.25	0.0	0.41	0.46	0.52	0.44	0.44	0.0	1.68	0.46	0.45	0.41	0.48	2.01	0.78	0.0	0.72	0.0	0.0	0.42	0.51	0.41	0.44	0.0	0.92	0.45	0.0	1.48	0.43	0.0	0.38	0.0	1.01	0.0	0.0	1.2	0.56	0.0	0.4	2.39	1.81	1.87	0.41	0.53	0.59	2.16	0.06	0.43	0.97	1.68	0.0	1.83	0.96	1.17	1.68	0.62	1.1	0.35	1.03	0.91	0.4	0.88
CCR3	218.79	220.32	101.54	2.12	32.36	26.86	1.51	11.47	5.45	4.06	5.41	3.14	2.92	4.58	0.0	5.06	1.01	5.02	6.16	0.0	37.59	12.64	0.0	2.76	23.76	0.0	0.52	0.0	10.63	0.0	0.47	4.94	1.07	0.52	2.48	0.0	4.39	3.79	2.16	0.0	0.0	1.81	63.45	0.0	2.86	0.42	0.0	0.88	3.26	52.45	0.0	215.77	2.84	2.14	0.0	4.62	0.51	22.92	2.66	0.0	1.58	2.43	0.48	3.32	9.48	0.0	0.48	5.45	12.09	43.63	37.59	3.08	1.0	17.0	1.33	15.91	5.36	5.73	7.22	38.95	3.23	9.41	1.64	43.02	4.03	3.06	17.64	5.36	10.39	22.75
CD209	7966.99	2400.97	329.84	163.28	195.72	14.78	105.15	89.51	87.65	39.22	98.04	78.89	161.02	10.79	13.83	50.27	22.43	30.78	38.67	23.08	28.04	44.89	7.94	55.89	16.15	12.83	13.32	4.46	71.0	5.59	5.73	12.0	10.08	12.45	24.28	3.92	60.39	32.59	99.43	2.92	5.59	58.3	7.4	9.27	21.47	34.02	13.03	12.18	10.08	106.63	4.78	40.07	82.87	22.92	13.52	76.71	13.03	37.05	17.13	26.86	32.36	11.64	31.9	85.82	120.1	15.11	84.04	147.06	120.94	5.59	237.86	307.69	217.27	470.14	17.38	40.64	44.25	371.22	718.08	132.44	77.79	275.28	84.04	115.97	70.01	52.45	139.07	157.68	301.33	113.56
CLSTN2	3515.68	525.39	16.88	26.86	28.86	15.8	126.12	31.0	151.22	65.26	111.21	13.72	34.51	0.52	1.22	2.39	3.56	0.0	2.03	0.57	0.56	0.45	1.07	3.08	0.54	5.15	1.33	1.04	3.03	0.0	0.0	15.22	0.6	0.53	2.43	1.62	18.7	5.63	0.54	0.85	1.43	4.17	6.11	0.91	15.34	0.43	1.62	0.51	1.48	1.91	0.92	4.24	7.34	1.35	14.78	13.22	3.47	4.39	2.2	6.31	6.78	4.54	4.17	8.65	11.38	2.27	19.97	11.47	4.06	7.82	4.62	15.0	23.59	3.69	38.95	12.18	12.83	72.01	50.98	17.38	32.59	7.94	9.93	18.84	26.86	4.58	50.27	20.41	4.5	13.12
CNRIP1	486.75	1388.16	503.95	518.15	896.64	232.94	444.72	563.18	223.41	173.85	450.94	131.51	228.13	50.98	30.34	76.71	91.41	30.56	72.01	41.81	48.52	50.98	31.22	53.57	40.93	37.32	31.0	22.92	65.72	20.71	16.15	56.28	34.02	23.08	40.64	35.0	132.44	74.06	70.01	13.12	35.5	120.1	27.84	18.16	64.8	13.72	26.67	64.8	28.65	40.93	36.27	34.26	163.28	35.0	26.86	193.01	26.86	54.72	29.91	28.65	82.87	49.56	49.56	40.64	103.69	48.87	60.39	447.82	343.89	84.63	521.76	476.71	647.07	579.04	674.59	607.87	301.33	947.83	836.53	403.5	291.04	163.28	271.48	283.05	226.54	106.63	224.97	220.32	647.07	679.29
CPA4	1233.75	836.53	80.57	54.33	36.01	3.06	21.16	21.01	4.82	5.19	10.08	22.59	13.32	0.56	0.0	1.57	1.97	5.06	0.0	2.78	6.67	0.83	0.0	0.56	1.79	0.61	0.99	0.64	2.71	0.0	0.54	2.23	0.0	0.0	0.57	0.0	6.46	1.43	7.94	0.0	2.34	0.0	0.55	0.0	4.24	0.79	0.55	3.17	0.0	3.72	0.0	1.51	2.01	1.0	2.29	2.46	0.0	2.76	1.71	22.26	0.19	0.0	2.39	0.0	1.07	1.01	0.74	0.66	9.93	1.28	20.26	1.25	1.03	32.82	0.0	8.78	0.0	239.52	15.34	0.0	1.11	20.11	0.0	0.39	10.47	29.91	55.1	9.56	17.64	5.82
CPZ	915.51	1030.12	1519.15	426.57	466.88	118.43	769.69	353.59	111.99	76.17	154.42	69.03	93.35	5.02	0.0	33.78	36.27	15.34	26.67	0.0	20.41	5.96	0.0	20.86	5.59	1.41	14.89	1.46	31.22	1.55	0.48	36.27	5.68	2.39	33.54	10.08	194.36	15.68	22.92	0.48	1.39	85.82	0.0	1.27	48.52	11.04	0.87	3.66	1.01	0.48	0.0	0.45	43.94	18.56	1.87	105.15	0.0	32.13	24.46	23.08	60.39	18.03	35.5	24.28	7.34	5.54	13.93	1350.18	158.79	163.28	166.73	27.05	753.83	728.11	107.38	866.07	128.79	332.14	723.08	140.04	165.57	204.07	191.67	134.3	1135.2	84.63	536.45	314.17	447.82	559.28
CTTNBP2NL	293.07	142.01	262.2	403.5	353.59	836.53	363.56	426.57	236.21	181.28	167.9	136.19	94.67	27.84	17.13	62.12	50.27	50.98	56.28	27.25	37.59	44.25	19.11	28.24	36.79	30.78	26.47	33.06	95.34	16.51	18.29	38.4	37.59	28.86	36.01	16.88	136.19	59.13	38.95	14.78	32.36	76.17	95.34	12.27	52.45	38.95	23.08	26.86	31.22	35.5	27.05	57.49	97.36	31.45	40.93	153.34	53.19	71.0	16.03	17.64	94.67	12.09	21.32	30.56	64.34	30.78	39.5	312.0	209.84	115.97	209.84	420.68	236.21	256.78	438.59	194.36	187.71	343.89	314.17	540.19	470.14	109.66	214.27	387.02	301.33	185.11	283.05	218.79	224.97	341.51
CXCL12	16045.82	17197.56	3467.27	5831.91	3419.52	1191.69	1286.18	3190.46	2303.12	1757.34	4388.98	802.41	2240.11	151.22	65.26	435.55	441.64	66.18	521.76	45.21	264.03	126.12	466.88	543.96	256.78	543.96	279.14	125.24	669.92	12.45	33.3	409.15	236.21	45.85	656.11	836.53	2664.15	660.68	583.07	6.46	1044.52	872.1	69.52	127.0	366.09	23.25	40.36	237.86	211.31	170.25	376.41	285.03	995.0	389.72	251.48	954.43	80.57	329.84	2090.03	5751.61	2047.0	3515.68	3768.09	1119.56	4388.98	182.55	3419.52	2796.65	872.1	490.14	1066.48	1023.0	4769.75	5076.84	2720.15	5711.87	312.0	5329.3	4575.41	2935.74	532.74	11909.94	1044.52	1331.57	1259.69	204.07	1295.13	1135.2	2485.67	2956.17
CYP26B1	2004.85	813.63	57.89	67.12	47.17	107.38	146.03	68.07	53.19	28.45	24.99	30.56	80.57	1.36	19.82	2.1	3.38	14.35	7.46	0.0	2.78	6.26	0.68	1.77	5.02	3.76	2.25	1.6	23.59	0.57	2.78	3.53	1.66	1.83	1.01	0.58	4.17	6.78	0.0	6.31	17.9	1.5	6.46	1.81	13.83	17.0	2.12	6.21	90.14	5.96	0.0	6.11	7.82	2.27	77.25	9.56	9.56	20.11	0.0	0.61	2.14	0.68	2.94	38.95	6.94	6.67	9.48	72.01	172.65	82.29	22.75	16.88	36.79	66.18	332.14	624.99	19.97	205.5	49.56	7.57	39.5	117.6	159.9	23.08	40.36	8.0	63.45	172.65	34.51	47.5
CYTL1	890.44	2609.3	220.32	148.09	728.11	17.9	76.71	151.22	53.57	23.93	96.68	26.1	30.12	1.73	3.59	21.63	16.27	6.62	3.0	9.2	11.64	13.12	12.93	6.11	7.22	1.06	7.28	3.0	5.02	5.54	0.0	2.29	8.99	11.21	7.17	1.31	20.86	8.78	8.65	0.89	5.15	8.92	0.0	6.26	9.48	4.94	5.63	2.12	2.05	21.01	15.22	1.87	12.83	6.06	3.63	53.95	1.75	6.36	2.41	3.89	2.51	8.85	14.67	1.48	5.63	0.96	0.0	180.02	125.24	14.24	111.21	74.58	50.27	116.78	57.08	186.4	57.49	211.31	137.14	181.28	7.46	64.8	470.14	107.38	100.13	387.02	51.71	40.36	95.34	260.38
ELF4	366.09	327.56	441.64	463.65	555.41	521.76	409.15	392.44	226.54	133.36	295.11	239.52	205.5	18.43	8.19	57.49	43.94	56.68	41.81	21.63	43.63	39.79	18.03	19.11	41.22	6.11	14.78	24.28	128.79	5.96	8.78	62.56	29.27	19.39	17.9	18.16	99.43	38.4	30.12	4.35	26.86	70.01	19.11	5.5	50.63	10.0	7.63	24.28	18.29	15.8	16.51	43.94	69.03	22.59	17.51	148.09	45.21	38.4	11.38	11.04	54.33	4.7	25.35	32.36	61.25	12.64	27.25	366.09	376.41	46.18	271.48	293.07	312.0	406.31	251.48	195.72	253.23	248.0	244.57	934.76	463.65	283.05	318.57	417.77	579.04	218.79	551.56	400.71	271.48	423.61
EMR1	373.81	1119.56	61.68	16.15	54.33	753.83	8.32	142.01	39.79	16.63	60.82	19.68	21.16	1.95	0.72	5.59	1.6	2.89	6.21	4.62	12.93	29.7	2.1	4.62	23.93	0.55	0.8	0.93	31.0	0.43	0.41	1.14	4.98	0.47	0.16	0.74	11.64	10.71	8.38	0.41	16.15	7.06	5.36	1.08	2.84	0.82	1.04	10.63	3.06	2.68	2.34	7.82	4.46	1.45	1.75	13.93	1.97	15.0	12.36	37.59	108.9	7.57	20.26	27.25	37.32	13.83	31.67	24.28	36.27	1.31	59.13	98.73	23.93	70.51	93.35	27.25	228.13	39.5	53.19	156.59	224.97	269.6	25.72	65.26	14.14	14.24	9.06	26.28	42.41	133.36
ENTPD1	1757.34	1572.76	941.27	616.37	872.1	387.02	1008.9	1583.71	334.46	303.44	819.3	201.25	417.77	65.72	39.79	242.88	231.32	94.67	189.02	76.71	115.16	170.25	44.57	83.45	163.28	55.1	96.68	40.07	285.03	37.32	36.79	115.97	99.43	56.28	83.45	58.3	346.29	187.71	145.02	29.48	87.03	305.55	68.07	36.27	105.89	49.21	46.18	91.41	75.11	68.07	68.07	94.01	283.05	87.65	38.12	612.11	61.25	167.9	68.07	37.05	49.21	63.89	89.51	51.71	81.71	27.25	49.91	896.64	529.06	173.85	575.03	698.41	954.43	785.88	830.75	575.03	244.57	1242.34	1127.35	1508.65	194.36	249.73	723.08	511.0	669.92	299.25	743.43	796.86	713.11	1096.5
